Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
12/04/2017;3;11;42;Muy buena / Oso ona;16;68;97;Buena / Ona;15;Muy buena / Oso ona;2;5;Muy buena / Oso ona;248;83;1018,7;0;367,9;12;1,02;Buena / Ona
11/04/2017;2;10;20;Muy buena / Oso ona;12;81;;Sin datos / Daturik gabe;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;275;80;1022,8;0;198,7;13;0,59;Muy buena / Oso ona
10/04/2017;;;;Sin datos / Daturik gabe;14;86;108;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;2;16;Muy buena / Oso ona;279;86;1022,7;0;45,8;13;1,07;Mejorable / Hobetzeko modukoa
09/04/2017;;;;Sin datos / Daturik gabe;17;76;108;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;2;10;Muy buena / Oso ona;353;76;1017,9;0;368,1;15;0,56;Mejorable / Hobetzeko modukoa
08/04/2017;;;;Sin datos / Daturik gabe;15;75;105;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;2;8;Muy buena / Oso ona;168;59;1014,2;0;367,2;17;0,93;Mejorable / Hobetzeko modukoa
07/04/2017;6;17;34;Muy buena / Oso ona;25;64;94;Buena / Ona;19;Muy buena / Oso ona;2;7;Muy buena / Oso ona;218;79;1018;0;359,9;12;0,39;Buena / Ona
06/04/2017;3;15;36;Muy buena / Oso ona;18;73;90;Buena / Ona;18;Muy buena / Oso ona;2;5;Muy buena / Oso ona;339;81;1022,7;0;282,8;13;1,03;Buena / Ona
05/04/2017;3;9;17;Muy buena / Oso ona;13;80;85;Buena / Ona;13;Muy buena / Oso ona;2;3;Muy buena / Oso ona;326;84;1024,3;0;79;12;2,11;Buena / Ona
04/04/2017;3;10;20;Muy buena / Oso ona;13;74;86;Buena / Ona;10;Muy buena / Oso ona;2;4;Muy buena / Oso ona;273;82;1025;0;103,4;12;1,13;Buena / Ona
03/04/2017;3;11;32;Muy buena / Oso ona;15;69;94;Buena / Ona;12;Muy buena / Oso ona;2;4;Muy buena / Oso ona;232;77;1022,3;0;343;12;0,97;Buena / Ona
02/04/2017;3;4;11;Muy buena / Oso ona;9;85;96;Buena / Ona;12;Muy buena / Oso ona;1;4;Muy buena / Oso ona;286;77;1021,7;0;150,6;11;1,85;Buena / Ona
01/04/2017;4;3;6;Muy buena / Oso ona;9;86;95;Buena / Ona;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;265;72;1017,7;0;186,8;12;2,89;Buena / Ona
31/03/2017;6;16;45;Muy buena / Oso ona;24;73;94;Buena / Ona;14;Muy buena / Oso ona;2;5;Muy buena / Oso ona;255;77;1014,7;0,1;177,1;14;0,98;Buena / Ona
30/03/2017;3;8;13;Muy buena / Oso ona;12;90;99;Buena / Ona;13;Muy buena / Oso ona;2;3;Muy buena / Oso ona;184;44;1015,3;0;172,3;21;1,23;Buena / Ona
29/03/2017;4;15;39;Muy buena / Oso ona;20;75;84;Buena / Ona;13;Muy buena / Oso ona;2;7;Muy buena / Oso ona;194;52;1020,2;0;338,4;18;1,14;Buena / Ona
28/03/2017;3;13;30;Muy buena / Oso ona;17;76;89;Buena / Ona;10;Muy buena / Oso ona;2;6;Muy buena / Oso ona;216;61;1021,1;0;311,9;15;1,11;Buena / Ona
27/03/2017;2;7;19;Muy buena / Oso ona;11;87;100;Buena / Ona;8;Muy buena / Oso ona;1;3;Muy buena / Oso ona;195;56;1012,4;0;258,3;15;1,58;Buena / Ona
26/03/2017;2;6;14;Muy buena / Oso ona;9;74;85;Buena / Ona;6;Muy buena / Oso ona;1;2;Muy buena / Oso ona;179;64;1009,5;0;147,4;13;1,34;Buena / Ona
25/03/2017;3;6;8;Muy buena / Oso ona;10;80;82;Buena / Ona;3;Muy buena / Oso ona;1;2;Muy buena / Oso ona;213;89;1008,9;0,3;11;8;1,42;Buena / Ona
24/03/2017;5;16;46;Muy buena / Oso ona;24;65;84;Buena / Ona;9;Muy buena / Oso ona;2;8;Muy buena / Oso ona;149;63;1012,4;0;255,7;9;0,52;Buena / Ona
23/03/2017;2;4;14;Muy buena / Oso ona;7;78;91;Buena / Ona;3;Muy buena / Oso ona;1;2;Muy buena / Oso ona;196;58;1006,2;0;356,2;8;2,22;Buena / Ona
22/03/2017;3;10;22;Muy buena / Oso ona;15;73;79;Buena / Ona;6;Muy buena / Oso ona;1;3;Muy buena / Oso ona;200;79;1007,3;0,1;35,5;8;1,02;Buena / Ona
21/03/2017;3;9;14;Muy buena / Oso ona;13;74;90;Buena / Ona;6;Muy buena / Oso ona;1;3;Muy buena / Oso ona;251;82;1015,1;0;33,3;10;1,15;Buena / Ona
20/03/2017;4;14;24;Muy buena / Oso ona;20;61;77;Buena / Ona;21;Muy buena / Oso ona;2;6;Muy buena / Oso ona;242;79;1015,3;0;24,7;11;0,85;Buena / Ona
19/03/2017;1;8;14;Muy buena / Oso ona;9;65;88;Buena / Ona;13;Muy buena / Oso ona;2;5;Muy buena / Oso ona;290;83;1018,8;0;159,2;10;0,37;Buena / Ona
18/03/2017;1;10;22;Muy buena / Oso ona;12;64;78;Buena / Ona;11;Muy buena / Oso ona;2;5;Muy buena / Oso ona;236;79;1022,2;0;74,5;11;0,45;Buena / Ona
17/03/2017;3;17;36;Muy buena / Oso ona;22;64;85;Buena / Ona;19;Muy buena / Oso ona;2;5;Muy buena / Oso ona;273;84;1021,3;0;82,4;12;0,82;Buena / Ona
16/03/2017;2;15;44;Muy buena / Oso ona;18;69;97;Buena / Ona;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;164;58;1016,7;0;320,1;17;1,17;Buena / Ona
15/03/2017;3;15;34;Muy buena / Oso ona;19;54;79;Buena / Ona;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;220;84;1024,7;0;242,8;12;0,6;Buena / Ona
14/03/2017;4;13;32;Muy buena / Oso ona;19;65;82;Buena / Ona;17;Muy buena / Oso ona;2;5;Muy buena / Oso ona;344;87;1030,2;0;43,4;12;1,42;Buena / Ona
13/03/2017;5;11;20;Muy buena / Oso ona;18;80;89;Buena / Ona;21;Muy buena / Oso ona;2;18;Muy buena / Oso ona;327;82;1026,3;0,2;13,5;11;3,61;Buena / Ona
12/03/2017;5;4;8;Muy buena / Oso ona;12;85;91;Buena / Ona;14;Muy buena / Oso ona;1;9;Muy buena / Oso ona;288;75;1018,5;0,1;37,4;12;3,58;Buena / Ona
11/03/2017;6;21;66;Buena / Ona;31;61;93;Buena / Ona;28;Buena / Ona;2;9;Muy buena / Oso ona;298;67;1014,5;0;140,2;15;1,34;Buena / Ona
10/03/2017;22;40;68;Buena / Ona;74;21;41;Muy buena / Oso ona;40;Buena / Ona;3;13;Muy buena / Oso ona;131;74;1017,3;0;292,4;14;0,35;Buena / Ona
09/03/2017;7;20;33;Muy buena / Oso ona;31;39;57;Muy buena / Oso ona;21;Muy buena / Oso ona;2;6;Muy buena / Oso ona;187;83;1023,2;0;257,1;13;0,34;Muy buena / Oso ona
08/03/2017;7;14;39;Muy buena / Oso ona;25;55;70;Buena / Ona;16;Muy buena / Oso ona;2;6;Muy buena / Oso ona;351;80;1025,2;0;193,1;14;0,42;Buena / Ona
07/03/2017;7;7;12;Muy buena / Oso ona;17;68;74;Buena / Ona;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;268;78;1023,8;0;44,7;13;1,91;Buena / Ona
06/03/2017;7;9;19;Muy buena / Oso ona;20;75;90;Buena / Ona;22;Muy buena / Oso ona;2;4;Muy buena / Oso ona;260;71;1019,1;0;21,1;14;2,31;Buena / Ona
05/03/2017;7;8;27;Muy buena / Oso ona;19;70;80;Buena / Ona;18;Muy buena / Oso ona;2;5;Muy buena / Oso ona;206;71;1010,4;0;66,4;13;1,63;Buena / Ona
04/03/2017;7;6;30;Muy buena / Oso ona;17;78;90;Buena / Ona;7;Muy buena / Oso ona;1;3;Muy buena / Oso ona;240;59;1002,2;0;201,1;9;1,9;Buena / Ona
03/03/2017;8;10;25;Muy buena / Oso ona;23;77;88;Buena / Ona;8;Muy buena / Oso ona;1;4;Muy buena / Oso ona;235;62;998,4;0;50;13;1,05;Buena / Ona
02/03/2017;20;23;61;Buena / Ona;54;47;69;Buena / Ona;15;Muy buena / Oso ona;2;9;Muy buena / Oso ona;184;69;1012,5;0;156;13;0,77;Buena / Ona
01/03/2017;7;9;27;Muy buena / Oso ona;20;65;76;Buena / Ona;6;Muy buena / Oso ona;1;4;Muy buena / Oso ona;199;68;1013,8;0;259,4;12;1,79;Buena / Ona
28/02/2017;9;6;12;Muy buena / Oso ona;21;76;88;Buena / Ona;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;234;77;1009;0,1;25,3;10;1,81;Buena / Ona
27/02/2017;8;8;17;Muy buena / Oso ona;20;72;85;Buena / Ona;13;Muy buena / Oso ona;2;4;Muy buena / Oso ona;217;63;1007,5;0;220;14;1,37;Buena / Ona
26/02/2017;7;13;19;Muy buena / Oso ona;23;55;78;Buena / Ona;15;Muy buena / Oso ona;2;8;Muy buena / Oso ona;190;76;1016,6;0;240,5;12;0,19;Buena / Ona
25/02/2017;10;25;41;Muy buena / Oso ona;41;42;63;Buena / Ona;18;Muy buena / Oso ona;2;7;Muy buena / Oso ona;120;75;1017,2;0;250,9;10;0,87;Buena / Ona
24/02/2017;9;16;33;Muy buena / Oso ona;29;68;82;Buena / Ona;11;Muy buena / Oso ona;2;6;Muy buena / Oso ona;341;86;1018,4;0,1;46,7;9;0,74;Buena / Ona
23/02/2017;11;23;37;Muy buena / Oso ona;39;39;56;Muy buena / Oso ona;29;Buena / Ona;2;12;Muy buena / Oso ona;250;83;1014;0;67,3;11;0,67;Buena / Ona
22/02/2017;14;25;44;Muy buena / Oso ona;46;37;58;Muy buena / Oso ona;20;Muy buena / Oso ona;2;9;Muy buena / Oso ona;112;88;1018,3;0;228,9;10;0,16;Muy buena / Oso ona
21/02/2017;13;27;63;Buena / Ona;47;40;57;Muy buena / Oso ona;14;Muy buena / Oso ona;2;8;Muy buena / Oso ona;145;81;1024,8;0;58,2;10;0,46;Buena / Ona
20/02/2017;7;15;31;Muy buena / Oso ona;26;56;86;Buena / Ona;14;Muy buena / Oso ona;2;4;Muy buena / Oso ona;260;80;1029,7;0;221,1;11;0,33;Buena / Ona
19/02/2017;7;12;19;Muy buena / Oso ona;23;69;95;Buena / Ona;12;Muy buena / Oso ona;1;4;Muy buena / Oso ona;305;85;1028,9;0;37,4;11;0,44;Buena / Ona
18/02/2017;8;19;38;Muy buena / Oso ona;31;53;92;Buena / Ona;16;Muy buena / Oso ona;2;5;Muy buena / Oso ona;300;81;1023,2;0;154,4;11;0,53;Buena / Ona
17/02/2017;10;26;45;Muy buena / Oso ona;41;44;64;Buena / Ona;19;Muy buena / Oso ona;2;6;Muy buena / Oso ona;166;71;1027,3;0;234,7;12;0,63;Buena / Ona
16/02/2017;6;14;36;Muy buena / Oso ona;23;61;71;Buena / Ona;15;Muy buena / Oso ona;2;4;Muy buena / Oso ona;192;62;1030,5;0;221,8;14;2,17;Buena / Ona
15/02/2017;5;7;18;Muy buena / Oso ona;14;68;72;Buena / Ona;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;183;52;1029,2;0;183,3;15;1,98;Buena / Ona
14/02/2017;4;5;7;Muy buena / Oso ona;11;73;82;Buena / Ona;5;Muy buena / Oso ona;1;3;Muy buena / Oso ona;191;52;1020;0;183,2;15;1,77;Buena / Ona
13/02/2017;5;9;27;Muy buena / Oso ona;16;68;83;Buena / Ona;18;Muy buena / Oso ona;1;3;Muy buena / Oso ona;141;61;1005,3;0;96,8;15;2,05;Buena / Ona
12/02/2017;4;7;16;Muy buena / Oso ona;14;58;82;Buena / Ona;20;Muy buena / Oso ona;1;4;Muy buena / Oso ona;140;74;1004,3;0,9;32;12;1,69;Buena / Ona
11/02/2017;5;18;31;Muy buena / Oso ona;26;35;49;Muy buena / Oso ona;16;Muy buena / Oso ona;2;5;Muy buena / Oso ona;111;87;1014,9;3,4;41,8;7;0,41;Muy buena / Oso ona
10/02/2017;5;10;28;Muy buena / Oso ona;18;63;77;Buena / Ona;10;Muy buena / Oso ona;1;4;Muy buena / Oso ona;171;50;1011,6;0;87,9;11;1,23;Buena / Ona
09/02/2017;6;10;46;Muy buena / Oso ona;19;62;77;Buena / Ona;5;Muy buena / Oso ona;1;4;Muy buena / Oso ona;171;62;1018,1;0,1;187,4;10;1,53;Buena / Ona
