Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;ICA Estación
01/02/2017;58;68;Buena / Ona;Buena / Ona
31/01/2017;53;60;Muy buena / Oso ona;Muy buena / Oso ona
30/01/2017;51;55;Muy buena / Oso ona;Muy buena / Oso ona
29/01/2017;65;75;Buena / Ona;Buena / Ona
28/01/2017;74;83;Buena / Ona;Buena / Ona
27/01/2017;73;79;Buena / Ona;Buena / Ona
26/01/2017;73;85;Buena / Ona;Buena / Ona
25/01/2017;84;86;Buena / Ona;Buena / Ona
24/01/2017;81;87;Buena / Ona;Buena / Ona
23/01/2017;84;90;Buena / Ona;Buena / Ona
22/01/2017;80;89;Buena / Ona;Buena / Ona
21/01/2017;81;85;Buena / Ona;Buena / Ona
20/01/2017;73;79;Buena / Ona;Buena / Ona
19/01/2017;49;56;Muy buena / Oso ona;Muy buena / Oso ona
18/01/2017;60;74;Buena / Ona;Buena / Ona
17/01/2017;73;77;Buena / Ona;Buena / Ona
16/01/2017;83;92;Buena / Ona;Buena / Ona
15/01/2017;88;92;Buena / Ona;Buena / Ona
14/01/2017;83;85;Buena / Ona;Buena / Ona
13/01/2017;85;88;Buena / Ona;Buena / Ona
12/01/2017;53;68;Buena / Ona;Buena / Ona
11/01/2017;71;87;Buena / Ona;Buena / Ona
10/01/2017;82;87;Buena / Ona;Buena / Ona
09/01/2017;74;77;Buena / Ona;Buena / Ona
08/01/2017;82;94;Buena / Ona;Buena / Ona
07/01/2017;88;89;Buena / Ona;Buena / Ona
06/01/2017;75;80;Buena / Ona;Buena / Ona
05/01/2017;77;80;Buena / Ona;Buena / Ona
04/01/2017;57;70;Buena / Ona;Buena / Ona
03/01/2017;59;65;Buena / Ona;Buena / Ona
02/01/2017;43;44;Muy buena / Oso ona;Muy buena / Oso ona
01/01/2017;42;53;Muy buena / Oso ona;Muy buena / Oso ona
