Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/09/2017;32;37;59;Buena / Ona;83;30;71;Buena / Ona;27;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;93;1019,4;0;159,2;;;Buena / Ona
27/09/2017;24;26;51;Buena / Ona;60;34;69;Buena / Ona;19;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;203;87;1018,2;0;169,4;16,6;1,21;Buena / Ona
26/09/2017;17;23;41;Muy buena / Oso ona;45;30;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;21;87;1020,8;0;153,7;17,3;0,46;Muy buena / Oso ona
25/09/2017;;;;Sin datos / Daturik gabe;43;43;75;Buena / Ona;13;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;;94;1021,1;0,1;93,5;;;Buena / Ona
24/09/2017;9;16;29;Muy buena / Oso ona;26;53;83;Buena / Ona;21;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;360;88;1017,6;0;167,2;19,1;0,59;Buena / Ona
23/09/2017;10;18;39;Muy buena / Oso ona;31;49;87;Buena / Ona;17;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;211;77;1017,3;0;173,2;20;0,96;Buena / Ona
22/09/2017;21;28;51;Buena / Ona;51;31;69;Buena / Ona;16;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;300;93;1020,6;0;68,7;16,5;0,3;Buena / Ona
21/09/2017;30;24;62;Buena / Ona;63;40;77;Buena / Ona;20;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;231;84;1017,5;0;165,1;16,6;0,17;Buena / Ona
20/09/2017;21;28;51;Buena / Ona;56;26;57;Muy buena / Oso ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;128;79;1019,5;0;184,8;15,2;0,11;Buena / Ona
19/09/2017;15;23;48;Muy buena / Oso ona;38;37;72;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;247;88;1024,1;0;120,7;14,6;0,28;Buena / Ona
18/09/2017;;;;Sin datos / Daturik gabe;34;39;61;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;293;89;1019,2;0,1;84,7;15,9;0,51;Buena / Ona
17/09/2017;;;;Sin datos / Daturik gabe;11;51;72;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;240;78;1017,3;0;120,1;15,4;0,99;Buena / Ona
16/09/2017;;;;Sin datos / Daturik gabe;12;52;73;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;234;78;1016;0;140,9;13,6;1,95;Buena / Ona
15/09/2017;11;14;38;Muy buena / Oso ona;26;47;64;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;230;82;1017;0,1;166,3;14,5;2,26;Buena / Ona
14/09/2017;;;;Sin datos / Daturik gabe;23;46;63;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;249;79;1021;0,1;130,8;17;0,43;Buena / Ona
13/09/2017;;;;Sin datos / Daturik gabe;32;33;58;Muy buena / Oso ona;13;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;291;88;1020;0;189,8;19,4;0,64;Muy buena / Oso ona
12/09/2017;10;18;61;Buena / Ona;30;47;69;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;89;1018,4;0;170,2;;;Buena / Ona
11/09/2017;;;;Sin datos / Daturik gabe;28;53;58;Muy buena / Oso ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;93;1013,8;0,3;80,4;;;Muy buena / Oso ona
10/09/2017;;;;Sin datos / Daturik gabe;10;60;70;Buena / Ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;221;76;1012,9;0,1;112;17,6;1,54;Buena / Ona
09/09/2017;;;;Sin datos / Daturik gabe;12;57;60;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;220;85;1009,3;0,3;109,8;16,6;2,31;Muy buena / Oso ona
08/09/2017;11;19;45;Muy buena / Oso ona;30;42;69;Buena / Ona;18;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;274;76;1014,2;0;177,3;17,9;0,45;Buena / Ona
07/09/2017;11;17;44;Muy buena / Oso ona;28;40;68;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;285;76;1021,4;0;118,1;18,3;0,47;Buena / Ona
06/09/2017;;;;Sin datos / Daturik gabe;;57;65;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;3;79;1025,2;0,1;86,8;19,9;0,95;Buena / Ona
05/09/2017;11;12;27;Muy buena / Oso ona;26;36;60;Muy buena / Oso ona;11;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;89;1022,2;0;173;;;Muy buena / Oso ona
04/09/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;90;1017,1;0;172,3;;;Sin datos / Daturik gabe
03/09/2017;3;14;22;Muy buena / Oso ona;19;43;78;Buena / Ona;10;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;271;73;1014,5;0;164,2;19,2;0,27;Buena / Ona
02/09/2017;5;15;39;Muy buena / Oso ona;18;50;72;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;252;76;1022,8;0;88,8;17,8;0,59;Buena / Ona
01/09/2017;6;16;39;Muy buena / Oso ona;25;47;70;Buena / Ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;235;87;1022,3;0,1;129,4;17;1,26;Buena / Ona
31/08/2017;5;15;43;Muy buena / Oso ona;22;47;72;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;324;85;1020,9;0;119,8;17,8;0,75;Buena / Ona
30/08/2017;8;14;46;Muy buena / Oso ona;26;53;73;Buena / Ona;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;341;91;1014,2;0,4;120,9;19,9;0,46;Buena / Ona
29/08/2017;9;19;44;Muy buena / Oso ona;33;43;69;Buena / Ona;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;359;89;1013;0,1;175,1;21,2;0,59;Buena / Ona
28/08/2017;18;29;53;Buena / Ona;56;28;54;Muy buena / Oso ona;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;238;81;1013,3;0,2;128,5;22,8;0,77;Buena / Ona
27/08/2017;7;24;41;Muy buena / Oso ona;34;21;34;Muy buena / Oso ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;213;82;1013,3;0;56,6;23;0,65;Muy buena / Oso ona
26/08/2017;2;11;28;Muy buena / Oso ona;14;45;70;Buena / Ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;358;90;1013,4;0;131,8;21,3;0,8;Buena / Ona
25/08/2017;7;11;39;Muy buena / Oso ona;22;42;61;Buena / Ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;321;91;1015,2;0;108,3;20,6;0,48;Buena / Ona
24/08/2017;4;10;34;Muy buena / Oso ona;16;47;62;Buena / Ona;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;335;87;1015,5;0;132,4;21,7;0,84;Buena / Ona
23/08/2017;4;14;40;Muy buena / Oso ona;20;49;73;Buena / Ona;24;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;25;86;1017,2;0;125,4;21,3;1,07;Buena / Ona
22/08/2017;7;20;79;Buena / Ona;29;68;89;Buena / Ona;34;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;249;72;1014,9;0;173,7;24,5;0,84;Buena / Ona
21/08/2017;13;31;57;Buena / Ona;50;40;86;Buena / Ona;20;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;104;71;1016,2;0;232;22,7;0,07;Buena / Ona
20/08/2017;2;13;31;Muy buena / Oso ona;15;54;74;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;26;70;1024,1;0;234,4;19,6;0,97;Buena / Ona
19/08/2017;2;10;30;Muy buena / Oso ona;13;60;68;Buena / Ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona;26;75;1023;0;220,3;20,5;1,73;Buena / Ona
18/08/2017;6;17;38;Muy buena / Oso ona;26;39;64;Buena / Ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;268;88;1020;0;74,6;20,7;0,42;Buena / Ona
17/08/2017;12;17;37;Muy buena / Oso ona;36;37;72;Buena / Ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;347;80;1019,6;0;237,6;20,8;0,63;Buena / Ona
16/08/2017;5;17;40;Muy buena / Oso ona;25;34;54;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;88;1021,2;0;136,6;20,3;0,66;Muy buena / Oso ona
15/08/2017;1;6;13;Muy buena / Oso ona;8;53;73;Buena / Ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;334;87;1018,8;0;67,4;21;0,97;Buena / Ona
14/08/2017;11;18;37;Muy buena / Oso ona;34;53;92;Buena / Ona;22;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;245;72;1012,9;0;235,4;24,2;0,69;Buena / Ona
13/08/2017;4;16;26;Muy buena / Oso ona;21;42;69;Buena / Ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;11;80;1019;0;247,6;20,1;0,86;Buena / Ona
12/08/2017;4;15;23;Muy buena / Oso ona;21;48;79;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;11;77;1023;0;253,1;18,2;0,65;Buena / Ona
11/08/2017;5;14;42;Muy buena / Oso ona;22;53;72;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;302;71;1024,5;0;211,3;18;0,54;Buena / Ona
10/08/2017;4;13;24;Muy buena / Oso ona;18;62;69;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;219;81;1024,7;0,3;60,2;17,3;1,25;Buena / Ona
09/08/2017;4;11;19;Muy buena / Oso ona;16;60;71;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;2;Muy buena / Oso ona;226;78;1020,8;0,1;159,8;17,1;1,4;Buena / Ona
08/08/2017;7;12;33;Muy buena / Oso ona;21;57;78;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;230;86;1018,2;0,1;143,9;17,5;1,15;Buena / Ona
07/08/2017;4;14;39;Muy buena / Oso ona;20;56;79;Buena / Ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;247;81;1014,1;0;122,4;20,3;0,92;Buena / Ona
06/08/2017;1;8;15;Muy buena / Oso ona;9;62;71;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;15;70;1021,1;0;226,6;20,4;1,19;Buena / Ona
05/08/2017;3;12;35;Muy buena / Oso ona;16;48;63;Buena / Ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;2;Muy buena / Oso ona;20;85;1020;0,1;62;20,5;1,85;Buena / Ona
04/08/2017;6;15;31;Muy buena / Oso ona;24;43;59;Muy buena / Oso ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;15;82;1017;0;262,1;24,5;1,26;Muy buena / Oso ona
03/08/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;11;81;1017,7;0;255,6;22,8;1,33;Muy buena / Oso ona
02/08/2017;7;12;39;Muy buena / Oso ona;23;40;57;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;336;84;1017,5;0;225,5;21,4;0,85;Muy buena / Oso ona
01/08/2017;6;16;44;Muy buena / Oso ona;25;42;59;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;8;81;1015,8;0;129,3;20,8;0,72;Muy buena / Oso ona
31/07/2017;2;11;21;Muy buena / Oso ona;14;45;61;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;12;80;1012,4;0;97,6;20,7;0,85;Buena / Ona
30/07/2017;2;17;34;Muy buena / Oso ona;20;38;56;Muy buena / Oso ona;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;8;81;1014,2;0;95,8;21,1;0,66;Muy buena / Oso ona
29/07/2017;6;16;31;Muy buena / Oso ona;24;44;76;Buena / Ona;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;352;81;1014,5;0;268,2;22,4;0,71;Buena / Ona
28/07/2017;4;10;27;Muy buena / Oso ona;16;47;73;Buena / Ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;9;87;1017,6;0;120,9;21,4;1,44;Buena / Ona
27/07/2017;14;18;40;Muy buena / Oso ona;39;50;90;Buena / Ona;22;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;352;82;1015,8;0;238;20,7;0,56;Buena / Ona
26/07/2017;6;13;36;Muy buena / Oso ona;22;47;68;Buena / Ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;321;82;1017,4;0;235,1;18,9;0,5;Buena / Ona
25/07/2017;2;7;20;Muy buena / Oso ona;10;60;71;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;325;78;1020,7;0;118,6;19,3;0,67;Buena / Ona
24/07/2017;5;10;22;Muy buena / Oso ona;17;43;50;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;223;88;1021,7;0,1;79,5;19,1;1,1;Muy buena / Oso ona
23/07/2017;2;9;14;Muy buena / Oso ona;12;50;70;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;313;76;1020,8;0;264,8;20,1;0,89;Buena / Ona
22/07/2017;3;13;22;Muy buena / Oso ona;18;42;70;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;322;78;1016,5;0;215,9;19,5;0,56;Buena / Ona
21/07/2017;6;16;43;Muy buena / Oso ona;26;32;58;Muy buena / Oso ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;304;85;1013,7;0;93,9;18,4;0,68;Muy buena / Oso ona
20/07/2017;5;13;21;Muy buena / Oso ona;21;43;67;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;263;93;1017;0,1;72,6;17,5;0,72;Buena / Ona
19/07/2017;3;9;18;Muy buena / Oso ona;13;80;93;Buena / Ona;26;Buena / Ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;332;85;1012,8;0;119,4;21,5;1,16;Buena / Ona
18/07/2017;3;14;34;Muy buena / Oso ona;18;83;97;Buena / Ona;31;Buena / Ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;265;76;1009,3;0;251,9;24,4;1,56;Buena / Ona
17/07/2017;9;34;55;Buena / Ona;47;52;94;Buena / Ona;34;Buena / Ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;7;79;1012,5;0;217,3;25,7;0,31;Buena / Ona
16/07/2017;3;11;21;Muy buena / Oso ona;16;55;87;Buena / Ona;19;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;338;83;1019,9;0;283,9;21,1;1,18;Buena / Ona
15/07/2017;2;7;16;Muy buena / Oso ona;10;53;74;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;22;80;1022,8;0;203,6;20,1;1,41;Buena / Ona
14/07/2017;5;10;29;Muy buena / Oso ona;17;49;72;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;9;87;1023;0;177,9;19,6;1,23;Buena / Ona
13/07/2017;4;8;23;Muy buena / Oso ona;13;43;51;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;1;85;1022,2;0;124,9;20,3;1,26;Muy buena / Oso ona
12/07/2017;12;15;39;Muy buena / Oso ona;33;29;48;Muy buena / Oso ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;351;87;1020,6;0;165,2;19,9;0,71;Muy buena / Oso ona
11/07/2017;6;13;43;Muy buena / Oso ona;22;35;53;Muy buena / Oso ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;8;88;1016,8;0;203,3;19,6;0,82;Muy buena / Oso ona
10/07/2017;5;9;30;Muy buena / Oso ona;16;38;48;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;283;92;1016,4;0;105,5;19,3;0,78;Muy buena / Oso ona
09/07/2017;1;4;8;Muy buena / Oso ona;6;61;71;Buena / Ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;293;87;1015,1;0,1;271,6;19,8;1,32;Buena / Ona
08/07/2017;2;8;20;Muy buena / Oso ona;10;70;75;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;316;94;1017;0;57,4;19,4;0,8;Buena / Ona
07/07/2017;9;14;44;Muy buena / Oso ona;28;45;63;Buena / Ona;23;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;287;92;1017,3;0;207,6;20,2;0,81;Buena / Ona
06/07/2017;6;19;55;Buena / Ona;28;48;66;Buena / Ona;24;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;11;85;1015,7;0;170,2;20,6;0,95;Buena / Ona
05/07/2017;3;8;23;Muy buena / Oso ona;13;83;102;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;255;70;1012,4;0;278;23,7;1,37;Mejorable / Hobetzeko modukoa
04/07/2017;19;28;54;Buena / Ona;57;35;75;Buena / Ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;51;82;1014,3;0;293,8;22,7;0,39;Buena / Ona
03/07/2017;12;14;37;Muy buena / Oso ona;32;20;35;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;356;88;1024;0;235,1;17,5;0,96;Muy buena / Oso ona
02/07/2017;3;9;19;Muy buena / Oso ona;13;41;66;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;329;87;1027,5;0;209,9;16,6;0,83;Buena / Ona
01/07/2017;3;7;17;Muy buena / Oso ona;11;55;65;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;219;85;1024,9;0,1;45,4;15,1;2,86;Buena / Ona
30/06/2017;6;11;35;Muy buena / Oso ona;19;53;66;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;223;80;1016,6;0,1;109,5;15,3;3,27;Buena / Ona
