Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
05/07/2017;1;9;18;Muy buena / Oso ona;10;73;99;Buena / Ona;230;69;963,7;284,4;20,4;2,03;Buena / Ona
04/07/2017;2;10;25;Muy buena / Oso ona;13;72;102;Mejorable / Hobetzeko modukoa;150;62;965,4;489,4;24,1;4,94;Mejorable / Hobetzeko modukoa
03/07/2017;2;7;18;Muy buena / Oso ona;10;34;52;Muy buena / Oso ona;120;81;974,2;507,1;16,8;3,52;Muy buena / Oso ona
02/07/2017;1;5;11;Muy buena / Oso ona;6;53;57;Muy buena / Oso ona;338;86;977,8;284,5;13,9;2,13;Muy buena / Oso ona
01/07/2017;0;2;5;Muy buena / Oso ona;3;59;70;Buena / Ona;319;88;975,6;110,6;11,9;8,86;Buena / Ona
30/06/2017;0;5;13;Muy buena / Oso ona;6;67;73;Buena / Ona;299;84;967,4;97,2;11,9;10,55;Buena / Ona
29/06/2017;0;4;7;Muy buena / Oso ona;4;68;73;Buena / Ona;301;69;961;318,9;13,6;11,14;Buena / Ona
28/06/2017;0;4;16;Muy buena / Oso ona;5;58;70;Buena / Ona;293;78;956,9;324,3;15,6;9,55;Buena / Ona
27/06/2017;4;14;36;Muy buena / Oso ona;20;41;59;Muy buena / Oso ona;312;89;960;90,7;16;3,28;Muy buena / Oso ona
26/06/2017;1;8;25;Muy buena / Oso ona;10;49;55;Muy buena / Oso ona;301;85;961,5;276,6;18,4;2,47;Muy buena / Oso ona
25/06/2017;1;5;11;Muy buena / Oso ona;6;42;44;Muy buena / Oso ona;96;90;967,5;101,7;16,7;2,27;Muy buena / Oso ona
24/06/2017;1;5;14;Muy buena / Oso ona;6;44;51;Muy buena / Oso ona;17;93;972,3;81,1;15,8;2,63;Muy buena / Oso ona
23/06/2017;1;7;16;Muy buena / Oso ona;8;51;64;Buena / Ona;348;92;973,6;62,5;16;3,09;Buena / Ona
22/06/2017;0;7;24;Muy buena / Oso ona;8;66;139;Mejorable / Hobetzeko modukoa;332;95;969,4;54,9;16,6;3,61;Mejorable / Hobetzeko modukoa
21/06/2017;1;10;26;Muy buena / Oso ona;11;134;151;Mala / Txarra;236;44;966,2;456,8;27,9;1,49;Mala / Txarra
20/06/2017;1;12;29;Muy buena / Oso ona;14;116;141;Mala / Txarra;239;45;967,2;343,3;26,2;2,49;Mala / Txarra
19/06/2017;1;7;13;Muy buena / Oso ona;8;114;137;Mejorable / Hobetzeko modukoa;213;47;965,1;439,3;27;6,46;Mejorable / Hobetzeko modukoa
18/06/2017;1;5;13;Muy buena / Oso ona;7;104;124;Mejorable / Hobetzeko modukoa;122;53;965,9;513,9;24,5;3,11;Mejorable / Hobetzeko modukoa
17/06/2017;1;4;12;Muy buena / Oso ona;5;82;108;Mejorable / Hobetzeko modukoa;115;68;971,8;515,6;19,9;2,9;Mejorable / Hobetzeko modukoa
16/06/2017;2;11;30;Muy buena / Oso ona;13;40;55;Muy buena / Oso ona;74;96;975;105,1;15,1;2,64;Muy buena / Oso ona
