Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
12/06/2017;5;11;22;Muy buena / Oso ona;18;15;Muy buena / Oso ona;Muy buena / Oso ona
11/06/2017;;;;Sin datos / Daturik gabe;11;17;Muy buena / Oso ona;Muy buena / Oso ona
10/06/2017;3;11;17;Muy buena / Oso ona;15;18;Muy buena / Oso ona;Muy buena / Oso ona
09/06/2017;5;20;36;Muy buena / Oso ona;28;19;Muy buena / Oso ona;Muy buena / Oso ona
08/06/2017;11;19;33;Muy buena / Oso ona;36;23;Muy buena / Oso ona;Muy buena / Oso ona
07/06/2017;9;18;36;Muy buena / Oso ona;31;20;Muy buena / Oso ona;Muy buena / Oso ona
06/06/2017;3;12;27;Muy buena / Oso ona;17;15;Muy buena / Oso ona;Muy buena / Oso ona
05/06/2017;5;18;40;Muy buena / Oso ona;26;10;Muy buena / Oso ona;Muy buena / Oso ona
04/06/2017;2;8;19;Muy buena / Oso ona;11;6;Muy buena / Oso ona;Muy buena / Oso ona
03/06/2017;2;13;26;Muy buena / Oso ona;14;8;Muy buena / Oso ona;Muy buena / Oso ona
02/06/2017;4;16;36;Muy buena / Oso ona;21;16;Muy buena / Oso ona;Muy buena / Oso ona
01/06/2017;8;18;29;Muy buena / Oso ona;29;20;Muy buena / Oso ona;Muy buena / Oso ona
31/05/2017;5;16;36;Muy buena / Oso ona;24;15;Muy buena / Oso ona;Muy buena / Oso ona
30/05/2017;3;13;25;Muy buena / Oso ona;17;8;Muy buena / Oso ona;Muy buena / Oso ona
29/05/2017;6;16;52;Buena / Ona;25;14;Muy buena / Oso ona;Buena / Ona
28/05/2017;1;12;37;Muy buena / Oso ona;14;18;Muy buena / Oso ona;Muy buena / Oso ona
27/05/2017;2;18;43;Muy buena / Oso ona;22;25;Muy buena / Oso ona;Muy buena / Oso ona
26/05/2017;7;23;56;Buena / Ona;33;27;Buena / Ona;Buena / Ona
25/05/2017;10;23;38;Muy buena / Oso ona;39;26;Buena / Ona;Buena / Ona
24/05/2017;5;23;55;Buena / Ona;31;23;Muy buena / Oso ona;Buena / Ona
23/05/2017;3;13;32;Muy buena / Oso ona;19;21;Muy buena / Oso ona;Muy buena / Oso ona
22/05/2017;11;21;50;Muy buena / Oso ona;37;29;Buena / Ona;Buena / Ona
21/05/2017;4;16;35;Muy buena / Oso ona;23;13;Muy buena / Oso ona;Muy buena / Oso ona
20/05/2017;5;16;27;Muy buena / Oso ona;24;14;Muy buena / Oso ona;Muy buena / Oso ona
19/05/2017;12;19;38;Muy buena / Oso ona;37;14;Muy buena / Oso ona;Muy buena / Oso ona
18/05/2017;6;23;47;Muy buena / Oso ona;32;9;Muy buena / Oso ona;Muy buena / Oso ona
17/05/2017;11;26;53;Buena / Ona;42;20;Muy buena / Oso ona;Buena / Ona
16/05/2017;11;31;41;Muy buena / Oso ona;48;25;Muy buena / Oso ona;Muy buena / Oso ona
15/05/2017;12;25;50;Muy buena / Oso ona;43;17;Muy buena / Oso ona;Muy buena / Oso ona
14/05/2017;3;14;31;Muy buena / Oso ona;18;11;Muy buena / Oso ona;Muy buena / Oso ona
13/05/2017;4;16;29;Muy buena / Oso ona;22;11;Muy buena / Oso ona;Muy buena / Oso ona
12/05/2017;4;21;43;Muy buena / Oso ona;27;11;Muy buena / Oso ona;Muy buena / Oso ona
11/05/2017;4;21;47;Muy buena / Oso ona;27;8;Muy buena / Oso ona;Muy buena / Oso ona
10/05/2017;10;27;70;Buena / Ona;42;15;Muy buena / Oso ona;Buena / Ona
09/05/2017;8;27;58;Buena / Ona;40;22;Muy buena / Oso ona;Buena / Ona
08/05/2017;11;20;30;Muy buena / Oso ona;37;14;Muy buena / Oso ona;Muy buena / Oso ona
07/05/2017;4;13;27;Muy buena / Oso ona;20;10;Muy buena / Oso ona;Muy buena / Oso ona
06/05/2017;3;13;27;Muy buena / Oso ona;18;10;Muy buena / Oso ona;Muy buena / Oso ona
05/05/2017;8;25;53;Buena / Ona;36;20;Muy buena / Oso ona;Buena / Ona
04/05/2017;16;29;51;Buena / Ona;53;22;Muy buena / Oso ona;Buena / Ona
03/05/2017;11;16;28;Muy buena / Oso ona;32;16;Muy buena / Oso ona;Muy buena / Oso ona
02/05/2017;21;24;36;Muy buena / Oso ona;55;14;Muy buena / Oso ona;Muy buena / Oso ona
01/05/2017;3;14;33;Muy buena / Oso ona;19;12;Muy buena / Oso ona;Muy buena / Oso ona
30/04/2017;2;13;36;Muy buena / Oso ona;17;8;Muy buena / Oso ona;Muy buena / Oso ona
29/04/2017;4;13;26;Muy buena / Oso ona;19;13;Muy buena / Oso ona;Muy buena / Oso ona
28/04/2017;8;16;30;Muy buena / Oso ona;28;12;Muy buena / Oso ona;Muy buena / Oso ona
27/04/2017;8;17;35;Muy buena / Oso ona;29;11;Muy buena / Oso ona;Muy buena / Oso ona
26/04/2017;4;16;39;Muy buena / Oso ona;21;8;Muy buena / Oso ona;Muy buena / Oso ona
25/04/2017;12;32;59;Buena / Ona;49;18;Muy buena / Oso ona;Buena / Ona
