Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
16/05/2017;6;26;48;Muy buena / Oso ona;36;12;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;59;;1018,9;0;211,1;;0,22;Muy buena / Oso ona
15/05/2017;6;24;35;Muy buena / Oso ona;33;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;131;;1020,7;0;248,6;;0,09;Muy buena / Oso ona
14/05/2017;4;17;27;Muy buena / Oso ona;23;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;53;;1018,4;0;288,7;;0,12;Muy buena / Oso ona
13/05/2017;5;15;35;Muy buena / Oso ona;23;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;41;;1010,4;0;229,8;;0,22;Muy buena / Oso ona
12/05/2017;5;12;20;Muy buena / Oso ona;19;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;209;;999,3;0;168,7;;0,93;Muy buena / Oso ona
11/05/2017;4;12;22;Muy buena / Oso ona;19;8;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;198;;991,7;0;168,7;;0,81;Muy buena / Oso ona
10/05/2017;5;20;40;Muy buena / Oso ona;28;16;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;188;;995,2;0;241,3;;0,34;Muy buena / Oso ona
09/05/2017;8;28;48;Muy buena / Oso ona;40;24;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;76;;1004,9;0;173,3;;0,15;Buena / Ona
08/05/2017;6;17;33;Muy buena / Oso ona;26;12;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;54;;1015,9;0;254,5;;0,23;Muy buena / Oso ona
07/05/2017;4;16;22;Muy buena / Oso ona;22;8;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;44;;1018,2;0;275,7;;0,08;Muy buena / Oso ona
06/05/2017;4;14;24;Muy buena / Oso ona;21;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;94;;1012,1;0;286,7;;0,04;Muy buena / Oso ona
05/05/2017;7;19;41;Muy buena / Oso ona;29;19;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;190;;1001,6;0,1;107;;0,48;Muy buena / Oso ona
04/05/2017;7;22;35;Muy buena / Oso ona;32;22;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;68;;1006,8;0;198,1;;0,16;Muy buena / Oso ona
03/05/2017;7;18;35;Muy buena / Oso ona;28;14;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;47;;1012,3;0;253,4;;0,17;Muy buena / Oso ona
02/05/2017;5;20;48;Muy buena / Oso ona;28;13;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;229;;1016;0;53,8;;0,09;Muy buena / Oso ona
01/05/2017;4;14;28;Muy buena / Oso ona;20;9;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;210;;1015,3;0;224,6;;0,16;Muy buena / Oso ona
30/04/2017;3;10;22;Muy buena / Oso ona;15;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;205;;1003,1;0,1;53,9;;0,8;Muy buena / Oso ona
29/04/2017;4;12;34;Muy buena / Oso ona;18;14;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;185;;1005;0;243,5;;1,01;Muy buena / Oso ona
28/04/2017;6;23;44;Muy buena / Oso ona;32;13;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;26;;1014,7;0;274;;0,23;Muy buena / Oso ona
27/04/2017;5;20;40;Muy buena / Oso ona;27;13;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;38;;1014,8;0;268,2;;0,22;Muy buena / Oso ona
26/04/2017;4;20;45;Muy buena / Oso ona;26;9;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;15;;1010,5;0,1;174,6;;0,34;Muy buena / Oso ona
25/04/2017;7;33;65;Buena / Ona;44;21;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;158;;1005,4;0,1;47,3;;0,03;Buena / Ona
24/04/2017;8;28;65;Buena / Ona;40;20;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;55;;1009,6;0;254,2;;0,26;Buena / Ona
23/04/2017;6;27;51;Buena / Ona;36;20;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;63;;1013,6;0;259;;0,23;Buena / Ona
