Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
04/03/2017;4;11;22;Muy buena / Oso ona;17;9;Muy buena / Oso ona;5;Muy buena / Oso ona;19;Muy buena / Oso ona;225;;1000,6;0;91,8;;0,52;Muy buena / Oso ona
03/03/2017;10;22;36;Muy buena / Oso ona;37;17;Muy buena / Oso ona;8;Muy buena / Oso ona;10;Muy buena / Oso ona;205;;996,7;0,1;98,8;;1,33;Muy buena / Oso ona
02/03/2017;11;21;37;Muy buena / Oso ona;38;20;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;116;;1011,4;0;130,9;;0,05;Muy buena / Oso ona
01/03/2017;7;19;34;Muy buena / Oso ona;30;13;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;218;;1012,5;0;153,5;;0,79;Muy buena / Oso ona
28/02/2017;5;15;27;Muy buena / Oso ona;23;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;247;;1007,2;0,1;31,6;;0,27;Muy buena / Oso ona
27/02/2017;7;18;28;Muy buena / Oso ona;29;21;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;214;;1006,3;0;150,2;;0,78;Muy buena / Oso ona
26/02/2017;6;18;33;Muy buena / Oso ona;26;28;Buena / Ona;21;Buena / Ona;2;Muy buena / Oso ona;166;;1015,2;0;134,8;;0,11;Buena / Ona
25/02/2017;7;17;28;Muy buena / Oso ona;28;18;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;182;;1016;0;158,2;;0,11;Muy buena / Oso ona
24/02/2017;5;17;35;Muy buena / Oso ona;25;14;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;66;;1016,3;0,1;58,9;;0,11;Muy buena / Oso ona
23/02/2017;7;19;29;Muy buena / Oso ona;30;45;Buena / Ona;33;Buena / Ona;2;Muy buena / Oso ona;192;;1012,3;0;42,9;;0,1;Buena / Ona
22/02/2017;15;23;37;Muy buena / Oso ona;46;38;Buena / Ona;32;Buena / Ona;3;Muy buena / Oso ona;121;;1017,1;0;134,6;;0,11;Buena / Ona
21/02/2017;10;21;35;Muy buena / Oso ona;36;22;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;126;;1022,2;0;125,4;;0,11;Muy buena / Oso ona
20/02/2017;10;22;44;Muy buena / Oso ona;36;24;Muy buena / Oso ona;19;Buena / Ona;2;Muy buena / Oso ona;171;;1024;0;36,9;;0,16;Buena / Ona
19/02/2017;5;18;36;Muy buena / Oso ona;26;29;Buena / Ona;26;Buena / Ona;2;Muy buena / Oso ona;185;;1023;0;33,3;;0,13;Buena / Ona
18/02/2017;7;17;29;Muy buena / Oso ona;29;35;Buena / Ona;31;Buena / Ona;2;Muy buena / Oso ona;192;;1017,5;0;116,6;;0,09;Buena / Ona
17/02/2017;11;26;39;Muy buena / Oso ona;43;29;Buena / Ona;20;Buena / Ona;2;Muy buena / Oso ona;198;;1021,9;0;140,3;;0,15;Buena / Ona
16/02/2017;9;28;51;Buena / Ona;41;26;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;206;;1025,1;0;121,2;;0,19;Buena / Ona
15/02/2017;7;17;50;Muy buena / Oso ona;28;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;206;;1024,4;0;133,6;;0,9;Muy buena / Oso ona
14/02/2017;10;16;38;Muy buena / Oso ona;32;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;194;;1015,7;0,1;81,4;;0,63;Muy buena / Oso ona
13/02/2017;5;13;36;Muy buena / Oso ona;20;27;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;179;;1001,8;0,9;30,2;;0,8;Buena / Ona
12/02/2017;5;11;21;Muy buena / Oso ona;20;52;Mejorable / Hobetzeko modukoa;25;Buena / Ona;3;Muy buena / Oso ona;177;;1000,4;0,4;24,7;;0,65;Mejorable / Hobetzeko modukoa
11/02/2017;8;23;35;Muy buena / Oso ona;36;36;Buena / Ona;27;Buena / Ona;4;Muy buena / Oso ona;104;;1009,9;0,3;25,5;;0,06;Buena / Ona
10/02/2017;10;22;43;Muy buena / Oso ona;36;14;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;203;;1006,9;0;50,4;;0,4;Muy buena / Oso ona
09/02/2017;11;24;48;Muy buena / Oso ona;40;14;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;147;;1013,9;0,1;53,3;;0,12;Muy buena / Oso ona
08/02/2017;5;14;28;Muy buena / Oso ona;21;12;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;324;;1022,4;2,9;18;;0,15;Muy buena / Oso ona
07/02/2017;5;16;30;Muy buena / Oso ona;24;17;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;252;;1018,1;7,6;0;;0,23;Muy buena / Oso ona
06/02/2017;15;32;56;Buena / Ona;55;16;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;225;;1018,9;6,4;0;;0,21;Buena / Ona
05/02/2017;4;6;9;Muy buena / Oso ona;12;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;258;;1008,6;7,5;3,8;;0,71;Muy buena / Oso ona
04/02/2017;6;19;49;Muy buena / Oso ona;28;11;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;217;;1002,4;11,3;0;;0,37;Muy buena / Oso ona
03/02/2017;4;8;34;Muy buena / Oso ona;15;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;207;;1002,4;0;27,1;;1,44;Muy buena / Oso ona
02/02/2017;4;10;25;Muy buena / Oso ona;17;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;200;;1002,4;1;7,3;;1,15;Muy buena / Oso ona
01/02/2017;19;25;56;Buena / Ona;54;27;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;210;;1007,8;0;12,5;;0,43;Buena / Ona
31/01/2017;9;17;40;Muy buena / Oso ona;30;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;214;;1008,7;0;45;;0,75;Muy buena / Oso ona
30/01/2017;11;18;44;Muy buena / Oso ona;35;12;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;205;;1012,9;0;11,5;;0,6;Muy buena / Oso ona
29/01/2017;4;10;21;Muy buena / Oso ona;16;10;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;215;;1015,4;0;27,3;;1,12;Muy buena / Oso ona
28/01/2017;7;19;39;Muy buena / Oso ona;30;21;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;217;;1015,6;1,4;21,4;;0,3;Muy buena / Oso ona
27/01/2017;5;14;44;Muy buena / Oso ona;21;16;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;196;;1003,4;0,3;10,2;;1,3;Muy buena / Oso ona
26/01/2017;8;17;40;Muy buena / Oso ona;29;34;Buena / Ona;25;Buena / Ona;1;Muy buena / Oso ona;197;;1007,4;0,1;30,5;;1,18;Buena / Ona
25/01/2017;15;28;46;Muy buena / Oso ona;52;33;Buena / Ona;28;Buena / Ona;1;Muy buena / Oso ona;117;;1018,3;0;33,3;;0,08;Buena / Ona
24/01/2017;33;34;51;Buena / Ona;85;37;Buena / Ona;30;Buena / Ona;2;Muy buena / Oso ona;208;;1022;0;25,3;;0,23;Buena / Ona
23/01/2017;26;32;49;Muy buena / Oso ona;72;29;Buena / Ona;23;Buena / Ona;1;Muy buena / Oso ona;211;;1018,7;0;17,5;;0,23;Buena / Ona
22/01/2017;15;32;46;Muy buena / Oso ona;55;29;Buena / Ona;24;Buena / Ona;2;Muy buena / Oso ona;195;;1016,7;0;20,4;;0,24;Buena / Ona
21/01/2017;19;29;43;Muy buena / Oso ona;58;31;Buena / Ona;26;Buena / Ona;2;Muy buena / Oso ona;175;;1016,9;0;34,7;;0,12;Buena / Ona
20/01/2017;24;29;40;Muy buena / Oso ona;66;41;Buena / Ona;34;Mejorable / Hobetzeko modukoa;2;Muy buena / Oso ona;176;;1019,4;0;63,9;;0,14;Mejorable / Hobetzeko modukoa
19/01/2017;15;27;46;Muy buena / Oso ona;49;33;Buena / Ona;29;Buena / Ona;2;Muy buena / Oso ona;143;;1021,4;0;24,4;;0,16;Buena / Ona
18/01/2017;10;32;49;Muy buena / Oso ona;47;27;Buena / Ona;23;Buena / Ona;2;Muy buena / Oso ona;113;;1022,2;0;22,4;;0,17;Buena / Ona
17/01/2017;7;18;34;Muy buena / Oso ona;30;11;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;26;;1022,9;0,2;31,7;;0,3;Muy buena / Oso ona
16/01/2017;5;18;47;Muy buena / Oso ona;26;15;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;12;;1020,6;14,1;0;;0,34;Muy buena / Oso ona
15/01/2017;4;14;32;Muy buena / Oso ona;21;15;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;311;;1023,8;15,5;0;;0,06;Muy buena / Oso ona
14/01/2017;6;18;35;Muy buena / Oso ona;27;13;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;198;;1023;6,3;10,4;;0,05;Muy buena / Oso ona
13/01/2017;5;14;27;Muy buena / Oso ona;22;14;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;289;;1018,7;10,2;5,1;;0,19;Muy buena / Oso ona
12/01/2017;10;21;44;Muy buena / Oso ona;37;19;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;235;;1016,5;3,2;4,6;;0,21;Muy buena / Oso ona
11/01/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
10/01/2017;6;24;36;Muy buena / Oso ona;34;15;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;287;;1015,3;12,4;0;;0,11;Muy buena / Oso ona
09/01/2017;25;36;55;Buena / Ona;74;38;Buena / Ona;21;Buena / Ona;4;Muy buena / Oso ona;190;;1024,5;0;13,2;;0,13;Buena / Ona
08/01/2017;8;31;40;Muy buena / Oso ona;44;39;Buena / Ona;28;Buena / Ona;2;Muy buena / Oso ona;182;;1028,6;0;25,5;;0,23;Buena / Ona
07/01/2017;20;32;54;Buena / Ona;62;31;Buena / Ona;28;Buena / Ona;4;Muy buena / Oso ona;183;;1028,8;0;46;;0,16;Buena / Ona
06/01/2017;16;30;48;Muy buena / Oso ona;55;26;Buena / Ona;22;Buena / Ona;3;Muy buena / Oso ona;178;;1028;0,1;42,2;;0,2;Buena / Ona
05/01/2017;33;38;62;Buena / Ona;89;38;Buena / Ona;27;Buena / Ona;5;Muy buena / Oso ona;190;;1026,4;0;35,4;;0,19;Buena / Ona
04/01/2017;35;36;46;Muy buena / Oso ona;90;39;Buena / Ona;32;Buena / Ona;7;Muy buena / Oso ona;208;;1023,8;0;28,2;;0,21;Buena / Ona
03/01/2017;;;;Sin datos / Daturik gabe;;38;Buena / Ona;31;Buena / Ona;21;Muy buena / Oso ona;157;;1020,9;0;28,5;;0,15;Buena / Ona
02/01/2017;;;;Sin datos / Daturik gabe;;23;Muy buena / Oso ona;18;Buena / Ona;2;Muy buena / Oso ona;196;;1016,2;0;23,1;;0,38;Buena / Ona
01/01/2017;;;;Sin datos / Daturik gabe;;21;Muy buena / Oso ona;19;Buena / Ona;1;Muy buena / Oso ona;195;;1019;0;26,5;;0,35;Buena / Ona
