Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
14/10/2017;0,22;0,29;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;17;61;92;Buena / Ona;27;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;139;69;983,5;0;97,6;21,6;0,73;Buena / Ona
13/10/2017;0,22;0,27;Muy buena / Oso ona;6;22;56;Buena / Ona;27;56;91;Buena / Ona;32;Buena / Ona;30;Buena / Ona;2;Muy buena / Oso ona;263;71;984,3;0;96,4;20;0,08;Buena / Ona
12/10/2017;0,18;0,21;Muy buena / Oso ona;2;15;30;Muy buena / Oso ona;17;41;71;Buena / Ona;26;Buena / Ona;24;Buena / Ona;2;Muy buena / Oso ona;218;74;984,8;0;94,4;17,5;0,37;Buena / Ona
11/10/2017;0,17;;Sin datos / Daturik gabe;10;26;51;Buena / Ona;37;38;79;Buena / Ona;27;Buena / Ona;22;Buena / Ona;3;Muy buena / Oso ona;265;68;981,6;0;101,9;17,1;0,6;Buena / Ona
10/10/2017;0,19;0,21;Muy buena / Oso ona;9;22;47;Muy buena / Oso ona;32;22;45;Muy buena / Oso ona;20;Muy buena / Oso ona;21;Buena / Ona;2;Muy buena / Oso ona;208;83;980,9;0;84,3;14,9;0,44;Buena / Ona
09/10/2017;;;Sin datos / Daturik gabe;10;22;42;Muy buena / Oso ona;33;31;70;Buena / Ona;21;Muy buena / Oso ona;20;Buena / Ona;2;Muy buena / Oso ona;288;77;981,4;0;92,2;13,9;0,41;Buena / Ona
08/10/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
07/10/2017;;;Sin datos / Daturik gabe;2;12;28;Muy buena / Oso ona;15;35;69;Buena / Ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;296;79;983,3;0;110,1;13,3;0,67;Buena / Ona
06/10/2017;0,15;0,18;Muy buena / Oso ona;2;12;19;Muy buena / Oso ona;14;48;65;Buena / Ona;8;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;299;85;985,4;0;46,1;15,4;1,36;Buena / Ona
05/10/2017;0,2;0,25;Muy buena / Oso ona;6;14;25;Muy buena / Oso ona;20;28;61;Buena / Ona;15;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;331;90;984;0;34,2;17,7;0,33;Buena / Ona
04/10/2017;0,2;0,22;Muy buena / Oso ona;8;15;26;Muy buena / Oso ona;26;16;42;Muy buena / Oso ona;16;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;88;83;982,7;0;92,8;20;0,31;Buena / Ona
03/10/2017;0,17;0,22;Muy buena / Oso ona;6;11;21;Muy buena / Oso ona;19;14;29;Muy buena / Oso ona;10;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;317;88;983,4;0;56,5;18,7;0,72;Muy buena / Oso ona
02/10/2017;0,23;0,25;Muy buena / Oso ona;5;17;25;Muy buena / Oso ona;25;22;33;Muy buena / Oso ona;7;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;269;93;984,8;0;32,4;18,6;1,14;Muy buena / Oso ona
01/10/2017;0,18;0,21;Muy buena / Oso ona;2;14;30;Muy buena / Oso ona;15;20;32;Muy buena / Oso ona;7;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;258;93;983,2;0;18,1;15,6;0,82;Muy buena / Oso ona
30/09/2017;0,15;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;13;42;66;Buena / Ona;13;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;1;87;981,7;0;26,2;16;0,77;Buena / Ona
29/09/2017;0,15;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;28;60;96;Buena / Ona;27;Buena / Ona;25;Buena / Ona;2;Muy buena / Oso ona;331;71;981,3;0;118;20,3;0,54;Buena / Ona
28/09/2017;;;Sin datos / Daturik gabe;6;25;60;Buena / Ona;31;49;90;Buena / Ona;29;Buena / Ona;25;Buena / Ona;2;Muy buena / Oso ona;186;69;981,4;0;120,1;20,9;0,8;Buena / Ona
27/09/2017;;;Sin datos / Daturik gabe;8;21;44;Muy buena / Oso ona;31;37;79;Buena / Ona;21;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;196;73;979,4;0;120,6;18,3;0,35;Buena / Ona
26/09/2017;;;Sin datos / Daturik gabe;3;16;32;Muy buena / Oso ona;18;42;65;Buena / Ona;11;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;324;83;981,1;0;104,4;17;0,5;Buena / Ona
25/09/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;16;54;72;Buena / Ona;11;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;279;83;982,1;0;49,3;17,1;1,59;Buena / Ona
24/09/2017;0,27;0,31;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;13;64;93;Buena / Ona;18;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;270;69;978,6;0;122,1;20,8;1;Buena / Ona
23/09/2017;0,27;0,3;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;16;57;89;Buena / Ona;18;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;186;72;978,8;0;121,5;19,9;0,54;Buena / Ona
22/09/2017;0,31;0,4;Muy buena / Oso ona;9;22;32;Muy buena / Oso ona;33;26;51;Muy buena / Oso ona;17;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;309;87;980,9;0;61,3;16,5;0,28;Muy buena / Oso ona
21/09/2017;0,25;0,27;Muy buena / Oso ona;7;23;50;Muy buena / Oso ona;29;51;84;Buena / Ona;23;Muy buena / Oso ona;22;Buena / Ona;2;Muy buena / Oso ona;301;70;977,8;0;127,4;16,8;0,7;Buena / Ona
20/09/2017;0,23;;Sin datos / Daturik gabe;7;22;46;Muy buena / Oso ona;29;36;69;Buena / Ona;15;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;187;68;979,4;0;130,9;14,4;0,33;Buena / Ona
19/09/2017;0,22;0,26;Muy buena / Oso ona;3;16;34;Muy buena / Oso ona;19;40;69;Buena / Ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;302;82;984,1;0;95,2;14,2;0,88;Buena / Ona
18/09/2017;0,24;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;17;35;46;Muy buena / Oso ona;9;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;284;90;979,1;0,1;42,2;14,4;0,35;Muy buena / Oso ona
17/09/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;8;44;69;Buena / Ona;7;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;291;73;977,5;0;110,6;14;1;Buena / Ona
16/09/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;11;48;66;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;283;80;976,2;0;102,1;12,3;1,58;Buena / Ona
15/09/2017;0,17;;Sin datos / Daturik gabe;4;13;32;Muy buena / Oso ona;18;38;54;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;272;85;977,1;0,1;77,7;12,4;1,89;Muy buena / Oso ona
14/09/2017;0,16;0,19;Muy buena / Oso ona;2;12;21;Muy buena / Oso ona;15;40;60;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;301;83;981,2;0;45;15,2;1,19;Muy buena / Oso ona
13/09/2017;0,19;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;24;35;64;Buena / Ona;18;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;342;78;980,3;0;145,7;19,2;0,63;Buena / Ona
12/09/2017;0,17;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;15;45;60;Muy buena / Oso ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;286;82;979,1;0;105,4;16,4;1,22;Muy buena / Oso ona
11/09/2017;0,22;0,31;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;45;60;Muy buena / Oso ona;12;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;290;86;974,8;0;52,3;16,4;2,31;Muy buena / Oso ona
10/09/2017;0,19;0,21;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;7;55;64;Buena / Ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;274;82;973,8;0,1;77,3;15,2;2,52;Buena / Ona
09/09/2017;0,18;0,21;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;7;55;58;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;280;83;970,2;0,2;80,7;15;2,54;Muy buena / Oso ona
08/09/2017;0,17;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;20;40;65;Buena / Ona;16;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;329;75;974,6;0;140,6;16,7;0,47;Buena / Ona
07/09/2017;0,17;0,22;Muy buena / Oso ona;2;13;25;Muy buena / Oso ona;14;42;59;Muy buena / Oso ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;339;78;981,6;0;65,7;16,8;0,84;Muy buena / Oso ona
06/09/2017;0,19;0,23;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;44;56;Muy buena / Oso ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;326;84;985,8;0;50,5;17,6;1,1;Muy buena / Oso ona
05/09/2017;0,2;0,22;Muy buena / Oso ona;4;10;19;Muy buena / Oso ona;15;33;60;Muy buena / Oso ona;13;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;332;81;982,8;0;115,8;19,8;0,74;Muy buena / Oso ona
04/09/2017;0,21;0,25;Muy buena / Oso ona;5;13;24;Muy buena / Oso ona;20;27;48;Muy buena / Oso ona;12;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;16;84;977,5;0;69,7;19,7;0,64;Muy buena / Oso ona
03/09/2017;0,16;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;10;43;72;Buena / Ona;10;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;269;71;975;0;111,9;18,7;0,35;Buena / Ona
02/09/2017;0,15;0,17;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;9;51;70;Buena / Ona;9;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;285;77;983,2;0;110;16,6;1,2;Buena / Ona
01/09/2017;0,14;0,16;Muy buena / Oso ona;5;11;31;Muy buena / Oso ona;15;48;66;Buena / Ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;273;82;983,3;0;89,4;15,2;2,17;Buena / Ona
31/08/2017;0,14;0,16;Muy buena / Oso ona;1;9;20;Muy buena / Oso ona;11;49;65;Buena / Ona;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;299;83;981,2;0;67,5;16,1;1,03;Buena / Ona
30/08/2017;0,15;0,18;Muy buena / Oso ona;2;10;30;Muy buena / Oso ona;13;56;76;Buena / Ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;304;81;975,1;0,1;103,6;20,4;1,06;Buena / Ona
29/08/2017;0,22;0,28;Muy buena / Oso ona;3;13;30;Muy buena / Oso ona;17;53;82;Buena / Ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;323;80;973,9;0,1;134,3;21,3;0,29;Buena / Ona
28/08/2017;0,26;0,3;Muy buena / Oso ona;5;19;46;Muy buena / Oso ona;28;38;57;Muy buena / Oso ona;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;2;Muy buena / Oso ona;259;73;975,5;0,1;67,9;22;1,13;Muy buena / Oso ona
27/08/2017;0,23;0,26;Muy buena / Oso ona;1;9;21;Muy buena / Oso ona;11;47;61;Buena / Ona;21;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;194;67;975,3;0,1;40,8;23,5;0,24;Buena / Ona
26/08/2017;0,22;0,24;Muy buena / Oso ona;1;6;12;Muy buena / Oso ona;7;61;86;Buena / Ona;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;162;66;974,1;0;126,1;25,4;0,31;Buena / Ona
25/08/2017;0,23;0,24;Muy buena / Oso ona;1;5;9;Muy buena / Oso ona;7;51;66;Buena / Ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;13;81;975,5;0;157;21,9;1,49;Buena / Ona
24/08/2017;0,23;0,25;Muy buena / Oso ona;1;6;13;Muy buena / Oso ona;7;56;77;Buena / Ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;356;80;976,1;0;166,6;22,1;1,18;Buena / Ona
23/08/2017;0,22;0,23;Muy buena / Oso ona;1;8;31;Muy buena / Oso ona;10;48;73;Buena / Ona;20;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;355;78;977,9;0;112,5;21,1;0,79;Buena / Ona
22/08/2017;0,2;0,23;Muy buena / Oso ona;0;8;26;Muy buena / Oso ona;9;84;106;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;21;56;975,9;0;176,8;27,1;0,95;Mejorable / Hobetzeko modukoa
21/08/2017;0,18;0,22;Muy buena / Oso ona;3;12;34;Muy buena / Oso ona;17;60;101;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;141;58;977,3;0;190,7;23,8;0,36;Mejorable / Hobetzeko modukoa
20/08/2017;0,14;0,16;Muy buena / Oso ona;0;4;11;Muy buena / Oso ona;5;55;73;Buena / Ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;349;67;984;0;188,5;19,2;1,08;Buena / Ona
19/08/2017;0,16;0,19;Muy buena / Oso ona;0;3;6;Muy buena / Oso ona;4;54;70;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;14;76;983,2;0;168,2;19,1;1,31;Buena / Ona
18/08/2017;0,19;0,2;Muy buena / Oso ona;1;6;14;Muy buena / Oso ona;7;47;69;Buena / Ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;323;82;980,8;0;64,9;19,7;0,85;Buena / Ona
17/08/2017;0,15;0,17;Muy buena / Oso ona;2;9;26;Muy buena / Oso ona;11;45;71;Buena / Ona;10;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;342;69;980,2;0;196,4;21;0,54;Buena / Ona
16/08/2017;0,21;0,28;Muy buena / Oso ona;1;6;13;Muy buena / Oso ona;7;41;56;Muy buena / Oso ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;337;79;981,6;0;108,3;20,4;0,8;Muy buena / Oso ona
15/08/2017;0,3;0,32;Muy buena / Oso ona;0;5;8;Muy buena / Oso ona;5;50;80;Buena / Ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;335;83;979,4;0;62,6;19,9;0,93;Buena / Ona
14/08/2017;0,25;0,29;Muy buena / Oso ona;1;8;26;Muy buena / Oso ona;9;67;99;Buena / Ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;192;58;974,6;0;194,9;25,5;0,84;Buena / Ona
13/08/2017;0,25;0,27;Muy buena / Oso ona;0;5;9;Muy buena / Oso ona;5;47;69;Buena / Ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;354;76;979,1;0;187,9;20,1;0,84;Buena / Ona
12/08/2017;0,2;0,22;Muy buena / Oso ona;0;5;9;Muy buena / Oso ona;6;47;73;Buena / Ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;337;72;982,9;0;207;17,6;0,63;Buena / Ona
11/08/2017;0,2;0,22;Muy buena / Oso ona;3;9;32;Muy buena / Oso ona;13;45;70;Buena / Ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;336;77;984,5;0;158,1;15,9;1,01;Buena / Ona
10/08/2017;0,22;0,24;Muy buena / Oso ona;1;8;27;Muy buena / Oso ona;10;54;65;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;274;85;985,9;0;57,7;14,7;2,93;Buena / Ona
09/08/2017;0,2;0,23;Muy buena / Oso ona;2;8;19;Muy buena / Oso ona;10;47;67;Buena / Ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;280;82;981,3;0,1;97,7;15,1;1,53;Buena / Ona
08/08/2017;0,2;0,23;Muy buena / Oso ona;1;6;15;Muy buena / Oso ona;8;55;69;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;282;82;979,2;0;105,2;16,2;2,13;Buena / Ona
07/08/2017;0,21;0,23;Muy buena / Oso ona;1;7;24;Muy buena / Oso ona;9;60;75;Buena / Ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;316;80;975,2;0;156,3;19,8;1,07;Buena / Ona
06/08/2017;0,16;0,19;Muy buena / Oso ona;0;2;5;Muy buena / Oso ona;2;67;73;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;13;72;981,5;0;113,7;18,5;2,34;Buena / Ona
05/08/2017;0,21;0,23;Muy buena / Oso ona;0;3;6;Muy buena / Oso ona;4;46;59;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;357;86;980,6;0;48,8;19,4;1,45;Muy buena / Oso ona
04/08/2017;0,2;0,24;Muy buena / Oso ona;1;6;16;Muy buena / Oso ona;7;46;68;Buena / Ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;3;72;978,2;0;194,9;24,5;1,17;Buena / Ona
03/08/2017;0,22;0,24;Muy buena / Oso ona;1;6;17;Muy buena / Oso ona;7;64;89;Buena / Ona;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;17;77;978,6;0;189,6;23,1;1,44;Buena / Ona
02/08/2017;0,21;0,22;Muy buena / Oso ona;1;8;19;Muy buena / Oso ona;10;55;76;Buena / Ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;337;75;978,2;0;205,9;22,8;0,92;Buena / Ona
01/08/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
31/07/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
30/07/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
29/07/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
28/07/2017;0,25;0,26;Muy buena / Oso ona;1;7;11;Muy buena / Oso ona;8;47;61;Buena / Ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;11;80;977,6;0;164,1;21,9;1,49;Buena / Ona
27/07/2017;0,21;0,23;Muy buena / Oso ona;4;9;30;Muy buena / Oso ona;15;40;68;Buena / Ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;355;71;976,2;0;221,7;21,4;0,86;Buena / Ona
26/07/2017;0,21;0,23;Muy buena / Oso ona;2;10;25;Muy buena / Oso ona;14;41;61;Buena / Ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;309;75;977,6;0;187,9;19,7;0,6;Buena / Ona
25/07/2017;0,18;0,2;Muy buena / Oso ona;1;5;11;Muy buena / Oso ona;6;54;61;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;292;82;981,5;0;64,9;16,8;1,85;Buena / Ona
24/07/2017;0,2;0,21;Muy buena / Oso ona;1;4;8;Muy buena / Oso ona;6;40;47;Muy buena / Oso ona;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;285;88;982,6;0,1;87,2;17,7;2,52;Muy buena / Oso ona
23/07/2017;0,16;0,18;Muy buena / Oso ona;0;4;7;Muy buena / Oso ona;4;47;66;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;339;72;981,1;0;185,2;19,5;1;Buena / Ona
22/07/2017;0,17;0,18;Muy buena / Oso ona;1;5;10;Muy buena / Oso ona;7;42;68;Buena / Ona;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;348;78;976,9;0;168,3;18,2;0,78;Buena / Ona
21/07/2017;0,16;0,18;Muy buena / Oso ona;3;11;34;Muy buena / Oso ona;15;32;43;Muy buena / Oso ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;297;85;974,1;0;54,6;17;0,58;Muy buena / Oso ona
20/07/2017;0,17;0,19;Muy buena / Oso ona;2;8;16;Muy buena / Oso ona;11;42;60;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;324;89;977,3;0;53,1;16,8;0,99;Muy buena / Oso ona
19/07/2017;0,19;0,22;Muy buena / Oso ona;1;8;15;Muy buena / Oso ona;10;60;73;Buena / Ona;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;339;80;973,4;0;141,4;21,2;1,36;Buena / Ona
