Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);Tº (ºC);V.vien (m/s);ICA Estación
24/09/2017;0,27;0,35;Muy buena / Oso ona;6;22;39;Muy buena / Oso ona;30;24;Muy buena / Oso ona;7;Muy buena / Oso ona;326;77;19,7;0,58;Muy buena / Oso ona
23/09/2017;0,25;0,36;Muy buena / Oso ona;3;21;37;Muy buena / Oso ona;26;21;Muy buena / Oso ona;3;Muy buena / Oso ona;111;70;21,3;0,7;Muy buena / Oso ona
22/09/2017;0,27;0,35;Muy buena / Oso ona;6;25;61;Buena / Ona;34;17;Muy buena / Oso ona;2;Muy buena / Oso ona;342;87;17,2;0,71;Buena / Ona
21/09/2017;0,31;0,36;Muy buena / Oso ona;20;31;52;Buena / Ona;61;26;Buena / Ona;7;Muy buena / Oso ona;14;77;17,7;0,23;Buena / Ona
20/09/2017;0,28;0,32;Muy buena / Oso ona;18;38;63;Buena / Ona;65;23;Muy buena / Oso ona;7;Muy buena / Oso ona;111;68;17,2;0,69;Buena / Ona
19/09/2017;0,26;0,32;Muy buena / Oso ona;10;24;42;Muy buena / Oso ona;38;11;Muy buena / Oso ona;3;Muy buena / Oso ona;231;76;16,7;0,08;Muy buena / Oso ona
18/09/2017;0,26;0,3;Muy buena / Oso ona;10;28;44;Muy buena / Oso ona;43;10;Muy buena / Oso ona;3;Muy buena / Oso ona;171;88;15,9;0,08;Muy buena / Oso ona
17/09/2017;0,17;0,3;Muy buena / Oso ona;3;15;30;Muy buena / Oso ona;20;10;Muy buena / Oso ona;6;Muy buena / Oso ona;251;68;16,2;0,35;Muy buena / Oso ona
16/09/2017;0,24;0,35;Muy buena / Oso ona;3;20;43;Muy buena / Oso ona;24;8;Muy buena / Oso ona;4;Muy buena / Oso ona;171;77;14;0,23;Muy buena / Oso ona
15/09/2017;0,27;0,41;Muy buena / Oso ona;8;24;40;Muy buena / Oso ona;36;14;Muy buena / Oso ona;4;Muy buena / Oso ona;197;80;14,2;0,41;Muy buena / Oso ona
14/09/2017;0,19;0,47;Muy buena / Oso ona;4;21;44;Muy buena / Oso ona;27;22;Muy buena / Oso ona;3;Muy buena / Oso ona;303;73;17,3;1,1;Muy buena / Oso ona
13/09/2017;0,34;0,45;Muy buena / Oso ona;14;24;40;Muy buena / Oso ona;45;22;Muy buena / Oso ona;5;Muy buena / Oso ona;160;75;20;0,29;Muy buena / Oso ona
12/09/2017;0,25;0,36;Muy buena / Oso ona;5;24;52;Buena / Ona;30;19;Muy buena / Oso ona;4;Muy buena / Oso ona;269;75;18,4;0,42;Buena / Ona
11/09/2017;0,22;0,3;Muy buena / Oso ona;3;18;33;Muy buena / Oso ona;22;21;Muy buena / Oso ona;4;Muy buena / Oso ona;306;81;18;2,08;Muy buena / Oso ona
10/09/2017;0,2;0,21;Muy buena / Oso ona;2;15;29;Muy buena / Oso ona;18;14;Muy buena / Oso ona;4;Muy buena / Oso ona;289;72;17,6;1,26;Muy buena / Oso ona
09/09/2017;0,17;0,2;Muy buena / Oso ona;2;11;17;Muy buena / Oso ona;14;12;Muy buena / Oso ona;4;Muy buena / Oso ona;298;77;17;2,32;Muy buena / Oso ona
08/09/2017;0,21;0,23;Muy buena / Oso ona;9;20;39;Muy buena / Oso ona;33;20;Muy buena / Oso ona;5;Muy buena / Oso ona;163;68;19,1;0,39;Muy buena / Oso ona
07/09/2017;0,19;0,27;Muy buena / Oso ona;6;19;39;Muy buena / Oso ona;28;15;Muy buena / Oso ona;3;Muy buena / Oso ona;236;67;19,2;0,06;Muy buena / Oso ona
06/09/2017;0,25;0,44;Muy buena / Oso ona;3;17;36;Muy buena / Oso ona;20;17;Muy buena / Oso ona;2;Muy buena / Oso ona;310;81;19,1;0,68;Muy buena / Oso ona
05/09/2017;0,25;0,33;Muy buena / Oso ona;13;20;32;Muy buena / Oso ona;40;16;Muy buena / Oso ona;5;Muy buena / Oso ona;335;77;21,1;0,41;Muy buena / Oso ona
04/09/2017;0,32;0,39;Muy buena / Oso ona;17;25;41;Muy buena / Oso ona;51;15;Muy buena / Oso ona;4;Muy buena / Oso ona;355;80;20,8;0,3;Muy buena / Oso ona
03/09/2017;0,24;0,33;Muy buena / Oso ona;5;22;33;Muy buena / Oso ona;29;16;Muy buena / Oso ona;6;Muy buena / Oso ona;60;68;20,9;0,24;Muy buena / Oso ona
02/09/2017;0,24;0,33;Muy buena / Oso ona;3;17;30;Muy buena / Oso ona;22;14;Muy buena / Oso ona;5;Muy buena / Oso ona;63;69;19;0,27;Muy buena / Oso ona
01/09/2017;0,24;0,27;Muy buena / Oso ona;5;18;42;Muy buena / Oso ona;26;13;Muy buena / Oso ona;5;Muy buena / Oso ona;303;71;18,6;1,17;Muy buena / Oso ona
31/08/2017;0,24;0,29;Muy buena / Oso ona;5;20;49;Muy buena / Oso ona;27;11;Muy buena / Oso ona;4;Muy buena / Oso ona;338;75;18,6;0,06;Muy buena / Oso ona
30/08/2017;0,22;0,28;Muy buena / Oso ona;6;20;43;Muy buena / Oso ona;30;18;Muy buena / Oso ona;3;Muy buena / Oso ona;309;84;20,2;0,59;Muy buena / Oso ona
29/08/2017;0,23;0,26;Muy buena / Oso ona;8;23;38;Muy buena / Oso ona;35;21;Muy buena / Oso ona;3;Muy buena / Oso ona;334;79;21,5;0,08;Muy buena / Oso ona
28/08/2017;0,21;0,36;Muy buena / Oso ona;7;24;46;Muy buena / Oso ona;34;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;129;69;23;1,56;Muy buena / Oso ona
27/08/2017;0,36;0,49;Muy buena / Oso ona;5;24;36;Muy buena / Oso ona;32;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;119;72;23;0,78;Muy buena / Oso ona
26/08/2017;0,25;0,3;Muy buena / Oso ona;3;14;35;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;8;77;22,9;0,69;Muy buena / Oso ona
25/08/2017;0,23;0,32;Muy buena / Oso ona;4;13;34;Muy buena / Oso ona;19;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;333;77;22,1;0,79;Muy buena / Oso ona
24/08/2017;0,22;0,27;Muy buena / Oso ona;2;10;21;Muy buena / Oso ona;13;18;Muy buena / Oso ona;2;Muy buena / Oso ona;325;81;21,8;1,19;Muy buena / Oso ona
23/08/2017;0,25;0,37;Muy buena / Oso ona;5;16;39;Muy buena / Oso ona;23;26;Buena / Ona;3;Muy buena / Oso ona;350;74;22;0,46;Buena / Ona
22/08/2017;0,25;0,34;Muy buena / Oso ona;8;31;64;Buena / Ona;43;43;Buena / Ona;7;Muy buena / Oso ona;334;69;23,3;0,89;Buena / Ona
21/08/2017;0,25;0,33;Muy buena / Oso ona;11;35;81;Buena / Ona;51;22;Muy buena / Oso ona;7;Muy buena / Oso ona;129;57;24,8;1,23;Buena / Ona
20/08/2017;0,19;0,22;Muy buena / Oso ona;4;16;38;Muy buena / Oso ona;22;13;Muy buena / Oso ona;4;Muy buena / Oso ona;79;67;20,2;0,43;Muy buena / Oso ona
19/08/2017;0,21;0,28;Muy buena / Oso ona;2;10;34;Muy buena / Oso ona;13;10;Muy buena / Oso ona;2;Muy buena / Oso ona;346;73;21,1;0,46;Muy buena / Oso ona
18/08/2017;0,27;0,39;Muy buena / Oso ona;8;22;41;Muy buena / Oso ona;34;17;Muy buena / Oso ona;4;Muy buena / Oso ona;360;81;21,1;0,41;Muy buena / Oso ona
17/08/2017;0,22;0,26;Muy buena / Oso ona;9;21;37;Muy buena / Oso ona;35;15;Muy buena / Oso ona;9;Muy buena / Oso ona;319;68;22;0,51;Muy buena / Oso ona
16/08/2017;0,24;0,31;Muy buena / Oso ona;7;16;28;Muy buena / Oso ona;26;12;Muy buena / Oso ona;6;Muy buena / Oso ona;322;72;21,9;0,59;Muy buena / Oso ona
15/08/2017;0,25;0,64;Muy buena / Oso ona;3;11;19;Muy buena / Oso ona;15;9;Muy buena / Oso ona;2;Muy buena / Oso ona;330;81;21;0,94;Muy buena / Oso ona
14/08/2017;0,34;0,44;Muy buena / Oso ona;7;20;33;Muy buena / Oso ona;29;25;Muy buena / Oso ona;4;Muy buena / Oso ona;67;70;23,9;0,51;Muy buena / Oso ona
13/08/2017;0,2;0,24;Muy buena / Oso ona;3;14;26;Muy buena / Oso ona;18;12;Muy buena / Oso ona;4;Muy buena / Oso ona;277;70;20,1;0,26;Muy buena / Oso ona
12/08/2017;0,18;0,2;Muy buena / Oso ona;5;15;29;Muy buena / Oso ona;22;14;Muy buena / Oso ona;5;Muy buena / Oso ona;223;66;18,9;0,04;Muy buena / Oso ona
11/08/2017;0,19;;Sin datos / Daturik gabe;5;16;38;Muy buena / Oso ona;24;18;Muy buena / Oso ona;4;Muy buena / Oso ona;305;67;18,7;0,17;Muy buena / Oso ona
10/08/2017;;;Sin datos / Daturik gabe;2;13;27;Muy buena / Oso ona;17;16;Muy buena / Oso ona;5;Muy buena / Oso ona;301;72;17,6;2,1;Muy buena / Oso ona
09/08/2017;0,17;0,21;Muy buena / Oso ona;2;11;21;Muy buena / Oso ona;14;13;Muy buena / Oso ona;4;Muy buena / Oso ona;306;67;17,9;2,03;Muy buena / Oso ona
08/08/2017;0,15;0,18;Muy buena / Oso ona;3;14;38;Muy buena / Oso ona;18;7;Muy buena / Oso ona;4;Muy buena / Oso ona;305;70;18,3;1,52;Muy buena / Oso ona
07/08/2017;0,19;0,22;Muy buena / Oso ona;6;17;42;Muy buena / Oso ona;25;26;Buena / Ona;3;Muy buena / Oso ona;312;76;20,5;1,24;Buena / Ona
06/08/2017;0,13;0,21;Muy buena / Oso ona;2;6;19;Muy buena / Oso ona;9;13;Muy buena / Oso ona;2;Muy buena / Oso ona;334;66;20,7;0,96;Muy buena / Oso ona
05/08/2017;0,19;;Sin datos / Daturik gabe;2;10;18;Muy buena / Oso ona;13;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;318;93;19;1,23;Muy buena / Oso ona
04/08/2017;0,22;0,24;Muy buena / Oso ona;5;14;35;Muy buena / Oso ona;21;27;Buena / Ona;3;Muy buena / Oso ona;335;65;25,9;0,72;Buena / Ona
03/08/2017;0,24;0,32;Muy buena / Oso ona;8;18;36;Muy buena / Oso ona;30;24;Muy buena / Oso ona;4;Muy buena / Oso ona;326;75;22,7;0,67;Muy buena / Oso ona
02/08/2017;0,24;0,26;Muy buena / Oso ona;9;20;32;Muy buena / Oso ona;34;24;Muy buena / Oso ona;5;Muy buena / Oso ona;326;73;21,9;0,48;Muy buena / Oso ona
01/08/2017;0,22;0,24;Muy buena / Oso ona;7;16;33;Muy buena / Oso ona;27;16;Muy buena / Oso ona;3;Muy buena / Oso ona;9;78;20,9;0,5;Muy buena / Oso ona
31/07/2017;0,21;0,24;Muy buena / Oso ona;3;16;34;Muy buena / Oso ona;19;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;320;85;19,6;0,54;Muy buena / Oso ona
30/07/2017;0,23;0,32;Muy buena / Oso ona;4;16;25;Muy buena / Oso ona;22;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;313;78;20,6;0,3;Muy buena / Oso ona
29/07/2017;0,21;0,26;Muy buena / Oso ona;5;18;31;Muy buena / Oso ona;24;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;79;58;24,5;0,09;Muy buena / Oso ona
28/07/2017;0,25;0,33;Muy buena / Oso ona;3;15;36;Muy buena / Oso ona;20;12;Muy buena / Oso ona;3;Muy buena / Oso ona;334;79;21,5;0,68;Muy buena / Oso ona
27/07/2017;0,26;0,35;Muy buena / Oso ona;14;22;43;Muy buena / Oso ona;42;31;Buena / Ona;6;Muy buena / Oso ona;341;76;21,5;0,73;Buena / Ona
26/07/2017;0,19;0,23;Muy buena / Oso ona;8;18;34;Muy buena / Oso ona;30;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;263;73;19,9;0,05;Muy buena / Oso ona
25/07/2017;0,13;0,14;Muy buena / Oso ona;2;11;29;Muy buena / Oso ona;14;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;298;75;18,9;1,48;Muy buena / Oso ona
24/07/2017;0,13;0,15;Muy buena / Oso ona;3;10;19;Muy buena / Oso ona;14;11;Muy buena / Oso ona;3;Muy buena / Oso ona;307;87;18,7;2,15;Muy buena / Oso ona
23/07/2017;0,14;0,15;Muy buena / Oso ona;3;9;16;Muy buena / Oso ona;13;21;Muy buena / Oso ona;5;Muy buena / Oso ona;323;67;20,9;0,51;Muy buena / Oso ona
22/07/2017;0,2;0,24;Muy buena / Oso ona;8;15;27;Muy buena / Oso ona;27;16;Muy buena / Oso ona;7;Muy buena / Oso ona;338;73;19,3;0,28;Muy buena / Oso ona
21/07/2017;0,22;0,37;Muy buena / Oso ona;11;22;41;Muy buena / Oso ona;38;22;Muy buena / Oso ona;5;Muy buena / Oso ona;355;81;18,1;0,53;Muy buena / Oso ona
20/07/2017;0,22;0,36;Muy buena / Oso ona;4;18;43;Muy buena / Oso ona;24;14;Muy buena / Oso ona;3;Muy buena / Oso ona;322;81;18,3;1,03;Muy buena / Oso ona
19/07/2017;0,22;0,28;Muy buena / Oso ona;4;20;55;Buena / Ona;25;28;Buena / Ona;4;Muy buena / Oso ona;326;70;22,4;0,96;Buena / Ona
18/07/2017;0,31;0,43;Muy buena / Oso ona;3;19;41;Muy buena / Oso ona;23;35;Buena / Ona;3;Muy buena / Oso ona;351;71;23,9;0,68;Buena / Ona
17/07/2017;0,35;0,5;Muy buena / Oso ona;12;34;69;Buena / Ona;52;42;Buena / Ona;5;Muy buena / Oso ona;359;70;25,1;0,56;Buena / Ona
16/07/2017;0,23;0,3;Muy buena / Oso ona;3;18;39;Muy buena / Oso ona;22;19;Muy buena / Oso ona;4;Muy buena / Oso ona;317;70;22,3;0,82;Muy buena / Oso ona
15/07/2017;0,18;0,23;Muy buena / Oso ona;2;10;24;Muy buena / Oso ona;12;15;Muy buena / Oso ona;2;Muy buena / Oso ona;6;69;21,2;0,76;Muy buena / Oso ona
14/07/2017;0,15;0,16;Muy buena / Oso ona;2;10;20;Muy buena / Oso ona;13;9;Muy buena / Oso ona;2;Muy buena / Oso ona;353;69;20,9;0,89;Muy buena / Oso ona
13/07/2017;0,28;0,55;Muy buena / Oso ona;4;13;33;Muy buena / Oso ona;19;8;Muy buena / Oso ona;2;Muy buena / Oso ona;338;78;20,2;0,95;Muy buena / Oso ona
12/07/2017;0,23;0,3;Muy buena / Oso ona;15;22;44;Muy buena / Oso ona;44;19;Muy buena / Oso ona;7;Muy buena / Oso ona;356;73;20,6;0,32;Muy buena / Oso ona
11/07/2017;0,23;0,36;Muy buena / Oso ona;11;19;31;Muy buena / Oso ona;35;19;Muy buena / Oso ona;5;Muy buena / Oso ona;329;74;20,7;0,58;Muy buena / Oso ona
10/07/2017;0,17;0,21;Muy buena / Oso ona;5;15;43;Muy buena / Oso ona;23;9;Muy buena / Oso ona;3;Muy buena / Oso ona;324;83;19,4;1,3;Muy buena / Oso ona
09/07/2017;0,2;0,24;Muy buena / Oso ona;2;11;21;Muy buena / Oso ona;14;20;Muy buena / Oso ona;3;Muy buena / Oso ona;328;82;20;1,33;Muy buena / Oso ona
08/07/2017;0,19;;Sin datos / Daturik gabe;2;12;26;Muy buena / Oso ona;14;20;Muy buena / Oso ona;2;Muy buena / Oso ona;334;86;19,9;1,4;Muy buena / Oso ona
07/07/2017;0,23;0,33;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;28;Buena / Ona;4;Muy buena / Oso ona;327;78;21,3;1,26;Buena / Ona
06/07/2017;0,28;0,37;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;37;Buena / Ona;4;Muy buena / Oso ona;353;75;21,5;0,85;Buena / Ona
05/07/2017;0,26;0,37;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;38;Buena / Ona;4;Muy buena / Oso ona;343;67;22,8;1,15;Buena / Ona
04/07/2017;0,27;0,29;Muy buena / Oso ona;13;31;56;Buena / Ona;50;36;Buena / Ona;4;Muy buena / Oso ona;47;65;25,6;0,59;Buena / Ona
03/07/2017;0,25;0,28;Muy buena / Oso ona;10;15;26;Muy buena / Oso ona;30;19;Muy buena / Oso ona;6;Muy buena / Oso ona;64;72;20,4;0,57;Muy buena / Oso ona
02/07/2017;0,18;0,2;Muy buena / Oso ona;4;15;25;Muy buena / Oso ona;21;14;Muy buena / Oso ona;6;Muy buena / Oso ona;277;70;18,4;0,2;Muy buena / Oso ona
01/07/2017;0,13;0,14;Muy buena / Oso ona;2;10;18;Muy buena / Oso ona;14;17;Muy buena / Oso ona;5;Muy buena / Oso ona;304;76;15,8;2,11;Muy buena / Oso ona
30/06/2017;0,15;0,2;Muy buena / Oso ona;3;12;18;Muy buena / Oso ona;16;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;291;72;15,9;1,98;Muy buena / Oso ona
29/06/2017;0,13;0,14;Muy buena / Oso ona;3;10;15;Muy buena / Oso ona;14;12;Muy buena / Oso ona;6;Muy buena / Oso ona;305;53;18,3;2,69;Muy buena / Oso ona
28/06/2017;0,16;0,24;Muy buena / Oso ona;5;12;36;Muy buena / Oso ona;19;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;306;68;19,6;2,03;Muy buena / Oso ona
27/06/2017;0,44;0,9;Muy buena / Oso ona;12;21;37;Muy buena / Oso ona;38;27;Buena / Ona;3;Muy buena / Oso ona;349;81;19,8;0,73;Buena / Ona
26/06/2017;0,31;0,39;Muy buena / Oso ona;7;18;30;Muy buena / Oso ona;28;22;Muy buena / Oso ona;2;Muy buena / Oso ona;357;79;21,5;0,72;Muy buena / Oso ona
25/06/2017;0,33;0,41;Muy buena / Oso ona;4;13;24;Muy buena / Oso ona;20;27;Buena / Ona;2;Muy buena / Oso ona;72;78;20,6;0,58;Buena / Ona
24/06/2017;0,26;0,42;Muy buena / Oso ona;3;13;26;Muy buena / Oso ona;17;20;Muy buena / Oso ona;2;Muy buena / Oso ona;351;81;20;0,39;Muy buena / Oso ona
23/06/2017;0,31;0,47;Muy buena / Oso ona;4;18;45;Muy buena / Oso ona;23;44;Buena / Ona;2;Muy buena / Oso ona;330;78;20,4;0,89;Buena / Ona
22/06/2017;0,25;0,3;Muy buena / Oso ona;3;15;23;Muy buena / Oso ona;19;33;Buena / Ona;2;Muy buena / Oso ona;331;83;20,4;1,48;Buena / Ona
21/06/2017;0,32;0,38;Muy buena / Oso ona;4;33;58;Buena / Ona;39;49;Buena / Ona;6;Muy buena / Oso ona;70;60;27,9;0,65;Buena / Ona
20/06/2017;0,35;0,42;Muy buena / Oso ona;7;42;70;Buena / Ona;52;35;Buena / Ona;8;Muy buena / Oso ona;45;52;27,1;0,44;Buena / Ona
19/06/2017;0,28;0,44;Muy buena / Oso ona;4;25;58;Buena / Ona;31;28;Buena / Ona;5;Muy buena / Oso ona;161;57;27;0,6;Buena / Ona
18/06/2017;0,32;0,34;Muy buena / Oso ona;4;30;53;Buena / Ona;36;41;Buena / Ona;8;Muy buena / Oso ona;7;66;24,2;0,33;Buena / Ona
17/06/2017;0,27;0,3;Muy buena / Oso ona;5;19;38;Muy buena / Oso ona;26;36;Buena / Ona;5;Muy buena / Oso ona;318;72;21,9;0,4;Buena / Ona
16/06/2017;0,21;0,24;Muy buena / Oso ona;4;15;40;Muy buena / Oso ona;21;26;Buena / Ona;3;Muy buena / Oso ona;15;78;19,9;0,6;Buena / Ona
15/06/2017;0,25;0,36;Muy buena / Oso ona;3;16;24;Muy buena / Oso ona;19;23;Muy buena / Oso ona;3;Muy buena / Oso ona;316;86;18,3;1,44;Muy buena / Oso ona
14/06/2017;0,29;0,4;Muy buena / Oso ona;4;18;32;Muy buena / Oso ona;23;40;Buena / Ona;3;Muy buena / Oso ona;327;87;20;1,12;Buena / Ona
13/06/2017;0,27;0,35;Muy buena / Oso ona;9;22;35;Muy buena / Oso ona;36;31;Buena / Ona;4;Muy buena / Oso ona;341;75;20,6;0,53;Buena / Ona
12/06/2017;0,2;0,22;Muy buena / Oso ona;3;12;27;Muy buena / Oso ona;16;17;Muy buena / Oso ona;3;Muy buena / Oso ona;8;81;19,3;0,78;Muy buena / Oso ona
11/06/2017;0,2;0,22;Muy buena / Oso ona;3;12;21;Muy buena / Oso ona;16;33;Buena / Ona;5;Muy buena / Oso ona;332;80;20,3;1,36;Buena / Ona
10/06/2017;0,22;0,25;Muy buena / Oso ona;5;16;22;Muy buena / Oso ona;23;34;Buena / Ona;4;Muy buena / Oso ona;351;78;20,4;0,48;Buena / Ona
09/06/2017;0,24;0,38;Muy buena / Oso ona;7;19;35;Muy buena / Oso ona;29;25;Muy buena / Oso ona;6;Muy buena / Oso ona;307;77;18,7;0,64;Muy buena / Oso ona
08/06/2017;0,28;0,32;Muy buena / Oso ona;8;29;47;Muy buena / Oso ona;40;36;Buena / Ona;10;Muy buena / Oso ona;71;70;20;0,35;Buena / Ona
