Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
18/03/2017;0,2;0,24;Muy buena / Oso ona;9;25;52;Buena / Ona;39;16;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
17/03/2017;0,25;0,41;Muy buena / Oso ona;12;23;74;Buena / Ona;42;27;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
16/03/2017;0,47;0,74;Muy buena / Oso ona;58;58;116;Mejorable / Hobetzeko modukoa;146;25;Muy buena / Oso ona;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/03/2017;0,33;0,41;Muy buena / Oso ona;25;34;80;Buena / Ona;72;29;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
14/03/2017;0,3;0,45;Muy buena / Oso ona;29;28;74;Buena / Ona;73;26;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
13/03/2017;0,23;0,3;Muy buena / Oso ona;14;21;50;Muy buena / Oso ona;42;23;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
12/03/2017;0,15;0,22;Muy buena / Oso ona;6;14;39;Muy buena / Oso ona;23;24;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
11/03/2017;0,31;0,99;Muy buena / Oso ona;27;40;67;Buena / Ona;81;26;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
10/03/2017;0,69;0,97;Muy buena / Oso ona;75;53;97;Buena / Ona;168;32;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
09/03/2017;0,3;0,36;Muy buena / Oso ona;26;30;57;Buena / Ona;71;19;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
08/03/2017;0,26;0,37;Muy buena / Oso ona;19;27;66;Buena / Ona;55;17;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
07/03/2017;0,27;0,38;Muy buena / Oso ona;20;33;87;Buena / Ona;63;44;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
06/03/2017;0,24;0,29;Muy buena / Oso ona;11;28;57;Buena / Ona;44;45;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
05/03/2017;0,23;0,28;Muy buena / Oso ona;7;25;38;Muy buena / Oso ona;35;25;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
04/03/2017;0,19;0,24;Muy buena / Oso ona;11;30;86;Buena / Ona;46;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
03/03/2017;0,16;0,5;Muy buena / Oso ona;7;23;37;Muy buena / Oso ona;34;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
02/03/2017;0,38;0,49;Muy buena / Oso ona;34;46;80;Buena / Ona;98;20;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
01/03/2017;0,26;0,34;Muy buena / Oso ona;14;38;61;Buena / Ona;59;17;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
28/02/2017;0,28;0,34;Muy buena / Oso ona;21;42;82;Buena / Ona;75;32;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
27/02/2017;0,26;0,42;Muy buena / Oso ona;17;41;121;Mejorable / Hobetzeko modukoa;67;23;Muy buena / Oso ona;8;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
26/02/2017;0,33;0,49;Muy buena / Oso ona;19;38;80;Buena / Ona;67;30;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
25/02/2017;0,27;0,4;Muy buena / Oso ona;20;39;74;Buena / Ona;70;22;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
24/02/2017;0,27;0,32;Muy buena / Oso ona;22;43;88;Buena / Ona;77;22;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
23/02/2017;0,36;0,57;Muy buena / Oso ona;37;43;69;Buena / Ona;100;37;Buena / Ona;22;Buena / Ona;Buena / Ona
22/02/2017;0,4;0,55;Muy buena / Oso ona;50;47;69;Buena / Ona;124;29;Buena / Ona;18;Buena / Ona;Buena / Ona
21/02/2017;0,28;0,36;Muy buena / Oso ona;28;40;67;Buena / Ona;84;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
20/02/2017;0,34;0,45;Muy buena / Oso ona;32;48;88;Buena / Ona;96;22;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
19/02/2017;0,39;0,48;Muy buena / Oso ona;22;44;77;Buena / Ona;79;27;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
18/02/2017;0,38;0,63;Muy buena / Oso ona;21;43;82;Buena / Ona;74;34;Buena / Ona;24;Buena / Ona;Buena / Ona
17/02/2017;0,39;0,63;Muy buena / Oso ona;40;51;105;Mejorable / Hobetzeko modukoa;112;29;Buena / Ona;15;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
16/02/2017;0,51;0,71;Muy buena / Oso ona;59;61;112;Mejorable / Hobetzeko modukoa;151;28;Buena / Ona;13;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/02/2017;0,36;0,52;Muy buena / Oso ona;30;48;100;Buena / Ona;94;17;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
14/02/2017;0,33;0,48;Muy buena / Oso ona;30;40;75;Buena / Ona;86;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
13/02/2017;0,22;0,34;Muy buena / Oso ona;8;28;62;Buena / Ona;39;27;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
12/02/2017;0,25;0,47;Muy buena / Oso ona;11;21;44;Muy buena / Oso ona;38;39;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
11/02/2017;0,42;0,75;Muy buena / Oso ona;33;42;70;Buena / Ona;92;28;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
10/02/2017;0,56;0,76;Muy buena / Oso ona;71;59;147;Mejorable / Hobetzeko modukoa;168;22;Muy buena / Oso ona;9;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
09/02/2017;0,32;0,38;Muy buena / Oso ona;24;45;77;Buena / Ona;81;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
08/02/2017;0,17;0,2;Muy buena / Oso ona;7;15;32;Muy buena / Oso ona;26;21;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
07/02/2017;0,26;0,43;Muy buena / Oso ona;16;33;61;Buena / Ona;57;21;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
06/02/2017;0,33;0,46;Muy buena / Oso ona;37;55;92;Buena / Ona;111;25;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
05/02/2017;0,12;0,27;Muy buena / Oso ona;5;12;27;Muy buena / Oso ona;19;21;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
04/02/2017;0,23;0,29;Muy buena / Oso ona;13;36;68;Buena / Ona;55;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
03/02/2017;0,19;;Sin datos / Daturik gabe;11;27;63;Buena / Ona;44;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
02/02/2017;0,17;0,6;Muy buena / Oso ona;10;28;49;Muy buena / Oso ona;44;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
01/02/2017;0,51;0,83;Muy buena / Oso ona;71;56;101;Mejorable / Hobetzeko modukoa;164;22;Muy buena / Oso ona;10;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
31/01/2017;0,48;0,79;Muy buena / Oso ona;54;48;112;Mejorable / Hobetzeko modukoa;131;17;Muy buena / Oso ona;9;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
30/01/2017;0,24;0,29;Muy buena / Oso ona;14;40;60;Buena / Ona;61;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
29/01/2017;0,17;0,31;Muy buena / Oso ona;8;28;39;Muy buena / Oso ona;40;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
28/01/2017;0,23;0,36;Muy buena / Oso ona;15;38;92;Buena / Ona;61;18;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
27/01/2017;0,24;0,39;Muy buena / Oso ona;16;35;77;Buena / Ona;60;15;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
26/01/2017;0,24;0,33;Muy buena / Oso ona;26;44;94;Buena / Ona;83;22;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
25/01/2017;0,33;0,5;Muy buena / Oso ona;33;44;67;Buena / Ona;95;26;Buena / Ona;18;Buena / Ona;Buena / Ona
24/01/2017;0,46;0,58;Muy buena / Oso ona;52;50;80;Buena / Ona;130;28;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
23/01/2017;0,48;0,68;Muy buena / Oso ona;65;51;86;Buena / Ona;150;25;Muy buena / Oso ona;14;Muy buena / Oso ona;Buena / Ona
22/01/2017;0,46;0,99;Muy buena / Oso ona;39;52;77;Buena / Ona;112;26;Buena / Ona;18;Buena / Ona;Buena / Ona
21/01/2017;0,56;0,97;Muy buena / Oso ona;66;60;148;Mejorable / Hobetzeko modukoa;161;28;Buena / Ona;19;Buena / Ona;Mejorable / Hobetzeko modukoa
20/01/2017;0,36;0,47;Muy buena / Oso ona;39;45;66;Buena / Ona;105;27;Buena / Ona;20;Buena / Ona;Buena / Ona
19/01/2017;0,31;0,37;Muy buena / Oso ona;27;44;64;Buena / Ona;85;22;Muy buena / Oso ona;14;Muy buena / Oso ona;Buena / Ona
18/01/2017;0,32;0,42;Muy buena / Oso ona;36;48;67;Buena / Ona;103;21;Muy buena / Oso ona;14;Muy buena / Oso ona;Buena / Ona
17/01/2017;0,22;0,29;Muy buena / Oso ona;25;32;67;Buena / Ona;70;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
16/01/2017;0,18;0,26;Muy buena / Oso ona;14;20;51;Buena / Ona;41;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
15/01/2017;;;Sin datos / Daturik gabe;6;14;44;Muy buena / Oso ona;23;14;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
14/01/2017;;;Sin datos / Daturik gabe;15;31;61;Buena / Ona;54;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/01/2017;;;Sin datos / Daturik gabe;8;15;33;Muy buena / Oso ona;26;26;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
12/01/2017;0,28;0,36;Muy buena / Oso ona;34;36;68;Buena / Ona;89;21;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
11/01/2017;0,18;;Sin datos / Daturik gabe;10;21;38;Muy buena / Oso ona;36;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
10/01/2017;0,16;0,43;Muy buena / Oso ona;11;22;65;Buena / Ona;39;16;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
09/01/2017;0,36;0,45;Muy buena / Oso ona;50;51;84;Buena / Ona;128;20;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
08/01/2017;0,28;0,56;Muy buena / Oso ona;29;52;75;Buena / Ona;96;22;Muy buena / Oso ona;15;Muy buena / Oso ona;Buena / Ona
07/01/2017;0,33;0,59;Muy buena / Oso ona;45;48;98;Buena / Ona;117;24;Muy buena / Oso ona;16;Muy buena / Oso ona;Buena / Ona
06/01/2017;0,33;0,62;Muy buena / Oso ona;46;47;81;Buena / Ona;117;22;Muy buena / Oso ona;14;Muy buena / Oso ona;Buena / Ona
05/01/2017;0,44;0,68;Muy buena / Oso ona;64;58;95;Buena / Ona;156;23;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
04/01/2017;0,42;0,75;Muy buena / Oso ona;65;48;77;Buena / Ona;147;29;Buena / Ona;20;Buena / Ona;Buena / Ona
03/01/2017;0,54;0,8;Muy buena / Oso ona;92;48;74;Buena / Ona;189;37;Buena / Ona;25;Buena / Ona;Buena / Ona
02/01/2017;;;Sin datos / Daturik gabe;56;51;88;Buena / Ona;137;22;Muy buena / Oso ona;15;Muy buena / Oso ona;Buena / Ona
01/01/2017;0,26;0,85;Muy buena / Oso ona;36;39;62;Buena / Ona;94;31;Buena / Ona;25;Buena / Ona;Buena / Ona
