Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
30/05/2017;0,22;0,29;Muy buena / Oso ona;15;22;53;Buena / Ona;45;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
29/05/2017;0,23;0,33;Muy buena / Oso ona;13;23;68;Buena / Ona;42;14;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
28/05/2017;0,24;0,46;Muy buena / Oso ona;5;16;40;Muy buena / Oso ona;24;22;Muy buena / Oso ona;13;Muy buena / Oso ona;Muy buena / Oso ona
27/05/2017;0,33;0,46;Muy buena / Oso ona;11;28;73;Buena / Ona;44;27;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
26/05/2017;0,3;0,4;Muy buena / Oso ona;8;31;76;Buena / Ona;43;30;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
25/05/2017;0,39;0,56;Muy buena / Oso ona;22;36;85;Buena / Ona;70;26;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
24/05/2017;0,34;0,39;Muy buena / Oso ona;16;30;50;Muy buena / Oso ona;54;20;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
23/05/2017;0,24;0,31;Muy buena / Oso ona;14;21;73;Buena / Ona;42;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
22/05/2017;0,28;0,37;Muy buena / Oso ona;7;20;53;Buena / Ona;31;26;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
21/05/2017;0,26;0,31;Muy buena / Oso ona;10;31;59;Buena / Ona;45;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
20/05/2017;0,21;0,24;Muy buena / Oso ona;9;23;46;Muy buena / Oso ona;36;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
19/05/2017;0,24;0,32;Muy buena / Oso ona;16;32;70;Buena / Ona;57;19;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
18/05/2017;0,23;0,34;Muy buena / Oso ona;10;23;62;Buena / Ona;39;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
