Date;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
29/08/2017;314;84;1000;198,3;21,4;0,44;
28/08/2017;163;80;1000,7;64,9;21,4;0,1;
27/08/2017;121;85;1000,6;58,5;21,7;0,17;
26/08/2017;286;84;1000,2;170,6;22,8;0,33;
25/08/2017;3;84;1001,9;163,3;22;0,56;
24/08/2017;298;87;1002,6;130,3;21,5;0,75;
23/08/2017;26;82;1004,1;135,8;21;0,97;
22/08/2017;277;67;1002,1;216,4;24,9;1,12;
21/08/2017;57;66;1002,6;295;23,4;1,85;
20/08/2017;53;75;1010,5;275,9;18,6;1,36;
19/08/2017;21;80;1009,7;219,1;19,6;1,16;
18/08/2017;300;86;1007;119,6;20,1;0,4;
17/08/2017;32;76;1006,3;266,3;21,5;0,5;
16/08/2017;348;80;1007,9;205,2;21,5;0,4;
15/08/2017;268;91;1005,8;42,1;19,7;0,51;
14/08/2017;113;75;1000;233;23,5;0,19;
13/08/2017;35;80;1005,6;239,6;19,9;0,59;
12/08/2017;28;73;1009,4;290,3;18,6;0,54;
11/08/2017;297;77;1011,3;280,1;17,8;0,54;
10/08/2017;260;89;1012,3;99,8;16,1;1,11;
09/08/2017;265;82;1008,1;170,9;16,7;1,29;
08/08/2017;266;85;1005,6;178,5;17,8;0,95;
07/08/2017;259;83;1001,6;163,3;20,5;1,27;
06/08/2017;359;77;1008,3;175,3;20,3;0,69;
05/08/2017;284;94;1007,4;62,7;19,8;0,83;
04/08/2017;359;73;1003,8;262,1;26,2;0,97;
03/08/2017;340;78;1004,7;244,1;23,7;0,72;
02/08/2017;293;79;1004,4;270,5;22,7;0,74;
01/08/2017;25;87;1002,9;107,3;20,5;0,74;
31/07/2017;277;93;999,7;51,2;19,1;0,68;
30/07/2017;323;86;1001,4;69,2;19,8;0,54;
29/07/2017;42;66;1001,3;291;23,9;0,88;
28/07/2017;335;86;1004,2;182,4;22;0,51;
27/07/2017;310;80;1002,4;291,2;21,7;0,65;
26/07/2017;338;80;1003,8;278,5;19,8;0,52;
25/07/2017;275;88;1007,6;109,5;17,7;0,84;
24/07/2017;259;94;1008,7;125,2;18,3;1,84;
23/07/2017;277;75;1007,3;292,2;20;0,65;
22/07/2017;350;83;1003,1;173,7;18,3;0,36;
21/07/2017;321;93;1000,5;95,8;17,1;0,36;
20/07/2017;283;94;1003,8;89,9;16,8;0,74;
19/07/2017;322;81;999,7;179,3;21,3;0,6;
18/07/2017
17/07/2017;52;75;999,2;263,5;25;0,98;
16/07/2017;38;75;1006,4;308,2;21,9;1,05;
15/07/2017;24;80;1009,3;257,5;19,5;1,13;
14/07/2017;18;81;1009,7;158;19,2;1;
13/07/2017;333;84;1008,9;89,2;19,5;0,78;
12/07/2017;343;82;1007,2;149,1;19,6;0,76;
11/07/2017;332;80;1003,2;271;20,5;0,57;
10/07/2017;276;89;1003,1;123,9;18,7;1,26;
09/07/2017;276;83;1001,9;239,4;20;1,19;
08/07/2017;275;90;1003,9;117;19,5;1,11;
07/07/2017;269;85;1004,2;178,4;20,6;1,42;
06/07/2017;330;78;1002;212,5;22,3;0,42;
05/07/2017;226;58;998,9;265,2;24,9;0,72;
04/07/2017;66;69;1000,4;305,7;24,9;1,45;
03/07/2017;52;81;1009,9;299,4;18,3;1,46;
02/07/2017;18;83;1013,9;181,7;16,7;0,49;
01/07/2017;253;88;1011,8;94,6;14,1;1,68;
30/06/2017;250;88;1003,7;91,8;13,4;1,71;
29/06/2017;249;65;997;144,5;16,4;1,99;
28/06/2017;252;74;992,9;174,7;18,9;1,93;
27/06/2017;285;89;995,7;132,7;18,5;0,49;
26/06/2017;287;85;997,1;177,2;20,7;0,52;
25/06/2017;58;87;1003,3;129,1;19;0,83;
24/06/2017;294;91;1008,4;70,2;18,5;0,51;
23/06/2017;298;90;1009,7;51,7;18,6;0,48;
22/06/2017;281;91;1005,3;70,1;19,4;1,44;
21/06/2017;20;63;1000,4;294,7;27,6;0,73;
20/06/2017;245;61;1001,8;251,7;26,6;0,59;
19/06/2017;221;59;999,9;301,7;27,4;0,82;
18/06/2017;64;70;1000,4;338,8;23,8;1,2;
17/06/2017;43;74;1006,9;327,3;21,1;0,89;
16/06/2017;357;89;1010,7;133,8;18,1;0,67;
15/06/2017;270;94;1008;49,3;16,6;1,14;
14/06/2017;268;88;1001,3;211,7;19,8;1,29;
13/06/2017;273;83;1001;206,7;18,8;0,49;
12/06/2017;37;88;1005,7;93,8;17,4;1,12;
11/06/2017;273;84;1005,8;236;19,1;0,92;
10/06/2017;267;81;1004;304;20,3;0,72;
09/06/2017;50;83;1003,4;232,9;17,1;1,08;
08/06/2017;226;72;1000;290,8;19,5;0,44;
07/06/2017;66;73;1006,9;339;17;1,46;
06/06/2017;261;79;1005,3;119,8;14,6;1,59;
05/06/2017;60;74;1001,7;324,4;17,6;0,53;
04/06/2017;290;95;1006,9;41,4;12,6;0,54;
03/06/2017;267;95;1006,3;49,6;14,3;0,72;
02/06/2017;280;93;1004,6;68,4;16,7;1,04;
01/06/2017;10;82;1004,1;319;20;0,57;
31/05/2017;37;79;1005,5;260,9;19,3;0,75;
30/05/2017;34;89;1005,4;111,4;16,1;0,73;
29/05/2017;286;92;1001,9;157,7;16,4;0,46;
28/05/2017;238;73;999,6;134;19,9;0,79;
27/05/2017;58;82;999,6;233,2;19,9;0,59;
26/05/2017;271;71;998,6;275,9;20,6;0,57;
25/05/2017;53;61;998,7;329,3;24,4;0,68;
24/05/2017;66;73;1004,7;355,2;20,7;1,54;
23/05/2017;50;74;1009,2;328,4;16,5;0,89;
22/05/2017;272;73;1004,1;290,8;17,8;1,45;
21/05/2017;81;56;1001,2;249,6;20,2;1,57;
20/05/2017;51;76;1010;251,9;12,9;1,17;
19/05/2017;289;78;1007,8;171,7;10,8;0,59;
18/05/2017;259;87;1004,6;138,2;11,8;1,64;
17/05/2017
10/05/2017
09/05/2017;67;78;994,6;231,2;13,9;1,4;
08/05/2017;58;69;1005;290,6;13,3;1,44;
07/05/2017;57;64;997,6;308,8;14,3;1,3;
06/05/2017;270;66;994,2;334,8;14,4;0,72;
05/05/2017;176;73;992,1;161,5;16,3;0,53;
04/05/2017;62;76;996,6;249,7;14,9;1,84;
03/05/2017;55;80;1002,2;290,7;13,9;1,17;
02/05/2017;293;86;971,7;138,2;12,5;0,56;
01/05/2017;324;74;980,7;271,9;9,3;0,2;
30/04/2017;207;74;993,4;54,1;10,5;1,28;
29/04/2017;150;62;994,9;250,3;13;1,04;
28/04/2017;49;73;1004,7;303,7;7,4;1,8;
27/04/2017
26/04/2017
25/04/2017;266;90;995,9;62,4;10,6;0,64;
24/04/2017;3;70;999,6;310,3;14;0,14;
23/04/2017;52;57;1003,6;316,5;14,6;1,41;
22/04/2017;69;43;1006,4;319,4;16,7;0,51;
21/04/2017;67;53;1009,7;327,8;12,9;1,55;
20/04/2017;57;54;1011,2;317,6;10,1;2,01;
19/04/2017;54;53;1010,5;323,1;10,7;2,33;
18/04/2017;34;77;1008;184,9;11,4;1,06;
17/04/2017;40;75;1006,9;307,5;12,5;1,23;
16/04/2017;57;77;1010,2;244,2;12,2;1,62;
15/04/2017;296;80;1009,7;161,2;12,8;0,7;
14/04/2017;269;82;1006,6;61;11,8;0,26;
13/04/2017;271;77;1004,6;297,4;12,9;0,54;
12/04/2017;49;75;1007,1;273,3;12,8;0,92;
11/04/2017;344;77;1011,3;196,3;13,2;0,73;
10/04/2017;262;85;1011,1;216,9;12,8;1,63;
09/04/2017;264;70;1006,5;279,3;15,5;0,87;
08/04/2017;218;61;1003,4;284,5;16,9;0,04;
07/04/2017;68;79;1006,6;270,3;12;1,48;
06/04/2017;341;80;1010,9;192,1;11,7;0,88;
05/04/2017;280;89;1012,4;61,1;10,6;1,15;
04/04/2017;266;84;1013,3;125,4;11,3;1,58;
03/04/2017;53;78;1010,7;265,1;11,4;1,01;
02/04/2017;270;81;1009,9;158,9;10;1,48;
01/04/2017;258;85;1006,1;109,2;10,2;2,59;
31/03/2017;63;77;1003,4;155,4;13,8;0,15;
30/03/2017;175;46;1005;192,9;19,6;1,01;
29/03/2017;77;58;1009,4;248,1;15,6;1,03;
28/03/2017;120;59;1010,1;235;14,1;0,38;
27/03/2017;141;58;1001,6;163,3;14,2;0,94;
26/03/2017;108;57;998,6;208,7;12,8;1,42;
25/03/2017;238;90;997,4;13,6;6,1;1,16;
24/03/2017;55;69;1000,7;213,5;7,3;1,15;
23/03/2017;194;64;994,8;237,9;6,5;1,2;
22/03/2017;269;84;995,8;48,5;6,6;0,57;
21/03/2017;329;89;1003,5;46,7;8,5;0,46;
20/03/2017;326;79;1003,8;39,5;9,9;0,42;
19/03/2017;298;80;1007,2;204,6;9,6;0,55;
18/03/2017;31;76;1010,6;127,8;10,8;0,57;
17/03/2017;264;82;1009,7;122;11,4;1,23;
16/03/2017;118;49;1006,1;217,7;16,7;0,86;
15/03/2017;64;83;1013,3;170,9;11,8;1,01;
14/03/2017;348;87;1018,4;125,9;11,2;0,6;
13/03/2017;278;90;1014;11,1;9;1,35;
12/03/2017;261;85;1006,6;45,2;9,9;2,69;
11/03/2017;272;68;1003,4;161,6;13,8;0,83;
10/03/2017;73;64;1006,4;193,4;16,1;1,76;
09/03/2017;68;83;1011,7;167,3;12,6;2;
08/03/2017;27;84;1013,8;140,7;13,1;1,01;
07/03/2017;280;91;1012,5;30,8;10,3;0,56;
06/03/2017;258;78;1007,8;55,6;12,2;1,93;
05/03/2017;212;75;999,5;74,1;11,6;1,09;
04/03/2017;238;73;990,8;104,5;7,2;1,33;
03/03/2017;210;67;987,3;75,8;12,3;1,29;
02/03/2017;87;71;1001,6;118,6;12,8;0,64;
01/03/2017;156;74;1002,9;143,8;9,9;0,62;
28/02/2017;243;81;997,4;26,6;8,6;1,96;
27/02/2017;202;70;996,6;139,3;12;1,37;
26/02/2017;45;77;1005,3;139,6;10,9;0,26;
25/02/2017;77;74;1006;150,3;9,2;0,89;
24/02/2017;315;88;1006,4;65,1;8,3;0,57;
23/02/2017;301;88;1002,5;55,3;9,3;0,56;
22/02/2017;59;86;1006,9;132,7;9,5;1,14;
21/02/2017;24;82;1012;102,1;9,2;0,25;
20/02/2017;43;83;1014;95,1;9,9;0,36;
19/02/2017;267;88;1013,1;26,1;10,3;0,7;
18/02/2017;272;83;1007,9;108,3;9,3;0,58;
17/02/2017;63;76;1012,1;129,2;10,5;0,17;
16/02/2017;173;67;1015,4;121,8;12,6;0,32;
15/02/2017;120;58;1014,6;120,5;13,7;1;
14/02/2017;122;63;1005,7;111,1;12,1;0,96;
13/02/2017;99;65;991,1;63,6;13,2;2,6;
12/02/2017;85;70;989,8;41,4;11,2;3,15;
11/02/2017;63;85;999,5;33,3;6,3;1,22;
10/02/2017;107;52;1007,4;601,5;;3,5;
09/02/2017;;50;1024,7;1399,4;;;
08/02/2017;;53;1013,2;1369,3;;;
07/02/2017;;74;1014,2;778;;;
06/02/2017;;60;1025,5;1387,4;;;
05/02/2017;;61;989,3;554,1;;;
04/02/2017;218;84;992,1;22,6;11,6;0,99;
03/02/2017;203;46;992,1;117,1;14,7;3,86;
02/02/2017;191;52;992,3;49,5;14,7;2,14;
01/02/2017;186;57;998;97,3;15,4;1,36;
31/01/2017;133;58;999;121,3;15,3;0,83;
30/01/2017;156;69;1003;59,7;14,6;0,97;
29/01/2017;186;70;1005,5;76,4;11,2;0,99;
28/01/2017;61;80;1005,4;102,9;8;0,4;
27/01/2017;177;61;993,5;43,3;10,8;1,36;
26/01/2017;95;60;996,3;89,9;6,6;2,46;
25/01/2017;56;79;1007,4;116,5;2,7;1,5;
24/01/2017;319;83;1011,9;88,7;4,9;0,4;
23/01/2017;278;84;1008,7;77,7;7;0,85;
22/01/2017;279;87;1006,9;68,9;5,8;0,28;
21/01/2017;70;81;1006,2;103,4;4,3;0,63;
20/01/2017;53;81;1007,6;91,4;1,9;1,13;
19/01/2017;55;79;1010,1;26,9;2,3;1,4;
18/01/2017;323;77;1010,7;6,9;1,3;0,55;
17/01/2017;13;64;1012,2;74,2;5,1;1,49;
16/01/2017;281;91;1011,4;23,2;10;2,01;
15/01/2017;274;90;1014,6;19;8;1,2;
14/01/2017;265;90;1013,5;59,2;5,6;0,63;
13/01/2017;263;86;1009,1;46,9;6,5;1,73;
12/01/2017;255;92;1006,8;52,3;10,8;0,64;
11/01/2017;259;96;1009,9;12,4;11,6;2,87;
10/01/2017;273;93;1006,2;4,8;8,4;1,33;
09/01/2017;51;81;1014,3;86,3;7,4;0,79;
08/01/2017;69;76;1016,7;76,5;3,9;0,37;
07/01/2017;79;79;1016;91,3;1,5;0,54;
06/01/2017;38;84;1015,6;89,8;1,4;0,74;
05/01/2017;63;78;1015,1;80,6;3,8;1,97;
04/01/2017;46;87;1013,2;88,1;4,1;0,43;
03/01/2017;57;83;1010,1;84,7;4,7;1,04;
02/01/2017;113;70;1005,6;61,3;5,2;0,71;
01/01/2017;101;79;1007,8;90,4;3,1;0,69;
