Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
13/05/2017;0,18;0,26;Muy buena / Oso ona;3;9;27;Muy buena / Oso ona;15;65;79;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;45;73;1007;44,3;17,5;0,58;Buena / Ona
12/05/2017;0,28;0,48;Muy buena / Oso ona;3;10;24;Muy buena / Oso ona;16;62;74;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;231;63;996,4;23,7;17,5;2,25;Buena / Ona
11/05/2017;0,21;0,26;Muy buena / Oso ona;3;7;11;Muy buena / Oso ona;13;74;81;Buena / Ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;224;54;988,5;29;18,4;3,01;Buena / Ona
10/05/2017;0,24;0,27;Muy buena / Oso ona;5;17;54;Buena / Ona;24;69;93;Buena / Ona;19;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;297;76;992,6;45,2;16,9;0,75;Buena / Ona
09/05/2017;0,32;0,49;Muy buena / Oso ona;8;21;52;Buena / Ona;34;56;79;Buena / Ona;22;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;58;70;1002;38,2;15,6;0,66;Buena / Ona
08/05/2017;0,21;0,29;Muy buena / Oso ona;6;15;46;Muy buena / Oso ona;24;57;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;66;65;1012,3;45,9;14,8;0,83;Muy buena / Oso ona
07/05/2017;0,2;0,29;Muy buena / Oso ona;5;14;34;Muy buena / Oso ona;21;56;72;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;81;60;1013,9;52,1;16,2;1,1;Buena / Ona
06/05/2017;0,18;0,21;Muy buena / Oso ona;4;10;31;Muy buena / Oso ona;16;68;82;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;28;65;1009,2;48,9;16,1;0,32;Buena / Ona
05/05/2017;0,25;0,31;Muy buena / Oso ona;3;18;35;Muy buena / Oso ona;23;64;73;Buena / Ona;22;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;141;71;998,5;23,4;17,3;0,33;Buena / Ona
04/05/2017;0,18;0,23;Muy buena / Oso ona;5;14;41;Muy buena / Oso ona;22;61;76;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;76;72;1003,6;36,7;16;0,75;Buena / Ona
