Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);ICA Estación
26/08/2017;6;14;36;Muy buena / Oso ona;24;Muy buena / Oso ona
25/08/2017;9;15;39;Muy buena / Oso ona;28;Muy buena / Oso ona
24/08/2017;6;13;30;Muy buena / Oso ona;23;Muy buena / Oso ona
23/08/2017;10;19;44;Muy buena / Oso ona;33;Muy buena / Oso ona
22/08/2017;13;38;76;Buena / Ona;58;Buena / Ona
21/08/2017;14;40;91;Buena / Ona;62;Buena / Ona
20/08/2017;8;21;48;Muy buena / Oso ona;33;Muy buena / Oso ona
19/08/2017;6;14;42;Muy buena / Oso ona;23;Muy buena / Oso ona
18/08/2017;12;26;49;Muy buena / Oso ona;45;Muy buena / Oso ona
17/08/2017;15;28;44;Muy buena / Oso ona;50;Muy buena / Oso ona
16/08/2017;12;21;40;Muy buena / Oso ona;39;Muy buena / Oso ona
15/08/2017;6;15;30;Muy buena / Oso ona;24;Muy buena / Oso ona
14/08/2017;9;24;39;Muy buena / Oso ona;38;Muy buena / Oso ona
13/08/2017;7;20;37;Muy buena / Oso ona;31;Muy buena / Oso ona
12/08/2017;9;20;37;Muy buena / Oso ona;33;Muy buena / Oso ona
11/08/2017;11;22;48;Muy buena / Oso ona;40;Muy buena / Oso ona
10/08/2017;6;15;28;Muy buena / Oso ona;23;Muy buena / Oso ona
09/08/2017;6;15;30;Muy buena / Oso ona;24;Muy buena / Oso ona
08/08/2017;7;16;33;Muy buena / Oso ona;26;Muy buena / Oso ona
07/08/2017;11;21;51;Buena / Ona;37;Buena / Ona
06/08/2017;6;7;24;Muy buena / Oso ona;15;Muy buena / Oso ona
05/08/2017;6;12;23;Muy buena / Oso ona;21;Muy buena / Oso ona
04/08/2017;9;16;38;Muy buena / Oso ona;30;Muy buena / Oso ona
03/08/2017;14;20;37;Muy buena / Oso ona;41;Muy buena / Oso ona
02/08/2017;15;23;38;Muy buena / Oso ona;47;Muy buena / Oso ona
01/08/2017;15;20;39;Muy buena / Oso ona;43;Muy buena / Oso ona
31/07/2017;7;19;36;Muy buena / Oso ona;30;Muy buena / Oso ona
30/07/2017;9;19;30;Muy buena / Oso ona;33;Muy buena / Oso ona
29/07/2017;10;22;36;Muy buena / Oso ona;38;Muy buena / Oso ona
28/07/2017;9;17;40;Muy buena / Oso ona;31;Muy buena / Oso ona
27/07/2017;21;26;52;Buena / Ona;58;Buena / Ona
26/07/2017;14;22;39;Muy buena / Oso ona;44;Muy buena / Oso ona
25/07/2017;9;11;27;Muy buena / Oso ona;25;Muy buena / Oso ona
24/07/2017;6;9;20;Muy buena / Oso ona;18;Muy buena / Oso ona
23/07/2017;4;11;22;Muy buena / Oso ona;17;Muy buena / Oso ona
22/07/2017;11;19;33;Muy buena / Oso ona;36;Muy buena / Oso ona
21/07/2017;14;26;47;Muy buena / Oso ona;47;Muy buena / Oso ona
20/07/2017;6;21;48;Muy buena / Oso ona;30;Muy buena / Oso ona
19/07/2017;6;24;57;Buena / Ona;34;Buena / Ona
18/07/2017;4;20;50;Muy buena / Oso ona;27;Muy buena / Oso ona
17/07/2017;14;41;77;Buena / Ona;63;Buena / Ona
16/07/2017;6;22;47;Muy buena / Oso ona;31;Muy buena / Oso ona
15/07/2017;4;11;32;Muy buena / Oso ona;18;Muy buena / Oso ona
14/07/2017;5;13;33;Muy buena / Oso ona;21;Muy buena / Oso ona
13/07/2017;5;14;34;Muy buena / Oso ona;22;Muy buena / Oso ona
12/07/2017;18;25;49;Muy buena / Oso ona;53;Muy buena / Oso ona
11/07/2017;12;22;45;Muy buena / Oso ona;40;Muy buena / Oso ona
10/07/2017;6;16;47;Muy buena / Oso ona;25;Muy buena / Oso ona
09/07/2017;3;13;22;Muy buena / Oso ona;18;Muy buena / Oso ona
08/07/2017;3;14;25;Muy buena / Oso ona;18;Muy buena / Oso ona
07/07/2017;6;19;51;Buena / Ona;28;Buena / Ona
06/07/2017;7;30;60;Buena / Ona;40;Buena / Ona
05/07/2017;4;20;46;Muy buena / Oso ona;27;Muy buena / Oso ona
04/07/2017;16;42;68;Buena / Ona;66;Buena / Ona
03/07/2017;14;18;30;Muy buena / Oso ona;39;Muy buena / Oso ona
02/07/2017;7;21;45;Muy buena / Oso ona;32;Muy buena / Oso ona
01/07/2017;4;13;28;Muy buena / Oso ona;19;Muy buena / Oso ona
30/06/2017;4;14;21;Muy buena / Oso ona;20;Muy buena / Oso ona
29/06/2017;4;11;18;Muy buena / Oso ona;17;Muy buena / Oso ona
28/06/2017;5;14;39;Muy buena / Oso ona;21;Muy buena / Oso ona
27/06/2017;12;24;41;Muy buena / Oso ona;43;Muy buena / Oso ona
26/06/2017;9;24;38;Muy buena / Oso ona;38;Muy buena / Oso ona
25/06/2017;6;16;34;Muy buena / Oso ona;24;Muy buena / Oso ona
24/06/2017;4;17;38;Muy buena / Oso ona;23;Muy buena / Oso ona
23/06/2017;5;19;48;Muy buena / Oso ona;27;Muy buena / Oso ona
22/06/2017;4;20;41;Muy buena / Oso ona;26;Muy buena / Oso ona
21/06/2017;7;45;73;Buena / Ona;55;Buena / Ona
20/06/2017;11;61;104;Mejorable / Hobetzeko modukoa;78;Mejorable / Hobetzeko modukoa
19/06/2017;4;29;57;Buena / Ona;35;Buena / Ona
18/06/2017;6;40;69;Buena / Ona;50;Buena / Ona
17/06/2017;7;28;55;Buena / Ona;38;Buena / Ona
16/06/2017;5;18;50;Muy buena / Oso ona;26;Muy buena / Oso ona
15/06/2017;4;19;28;Muy buena / Oso ona;25;Muy buena / Oso ona
14/06/2017;5;22;38;Muy buena / Oso ona;29;Muy buena / Oso ona
13/06/2017;11;26;53;Buena / Ona;43;Buena / Ona
12/06/2017;4;13;26;Muy buena / Oso ona;19;Muy buena / Oso ona
11/06/2017;4;15;26;Muy buena / Oso ona;20;Muy buena / Oso ona
10/06/2017;8;19;31;Muy buena / Oso ona;32;Muy buena / Oso ona
09/06/2017;11;24;44;Muy buena / Oso ona;41;Muy buena / Oso ona
08/06/2017;10;33;53;Buena / Ona;48;Buena / Ona
07/06/2017;10;31;68;Buena / Ona;46;Buena / Ona
06/06/2017;4;12;22;Muy buena / Oso ona;17;Muy buena / Oso ona
05/06/2017;6;23;44;Muy buena / Oso ona;33;Muy buena / Oso ona
04/06/2017;4;20;29;Muy buena / Oso ona;25;Muy buena / Oso ona
03/06/2017;4;22;39;Muy buena / Oso ona;29;Muy buena / Oso ona
02/06/2017;4;24;47;Muy buena / Oso ona;30;Muy buena / Oso ona
01/06/2017;13;28;41;Muy buena / Oso ona;48;Muy buena / Oso ona
31/05/2017;7;23;44;Muy buena / Oso ona;34;Muy buena / Oso ona
30/05/2017;4;16;42;Muy buena / Oso ona;22;Muy buena / Oso ona
29/05/2017;4;18;43;Muy buena / Oso ona;23;Muy buena / Oso ona
28/05/2017;4;20;44;Muy buena / Oso ona;26;Muy buena / Oso ona
27/05/2017;5;33;64;Buena / Ona;41;Buena / Ona
26/05/2017;8;33;68;Buena / Ona;45;Buena / Ona
25/05/2017;12;49;74;Buena / Ona;68;Buena / Ona
24/05/2017;9;37;69;Buena / Ona;50;Buena / Ona
23/05/2017;5;17;52;Buena / Ona;25;Buena / Ona
22/05/2017;6;21;67;Buena / Ona;30;Buena / Ona
21/05/2017;7;27;44;Muy buena / Oso ona;36;Muy buena / Oso ona
20/05/2017;4;21;43;Muy buena / Oso ona;27;Muy buena / Oso ona
19/05/2017;7;23;52;Buena / Ona;33;Buena / Ona
18/05/2017;4;16;35;Muy buena / Oso ona;22;Muy buena / Oso ona
17/05/2017;9;38;65;Buena / Ona;52;Buena / Ona
16/05/2017;11;38;67;Buena / Ona;56;Buena / Ona
15/05/2017;9;40;57;Buena / Ona;54;Buena / Ona
14/05/2017;5;26;55;Buena / Ona;34;Buena / Ona
13/05/2017;4;19;48;Muy buena / Oso ona;25;Muy buena / Oso ona
12/05/2017;3;14;34;Muy buena / Oso ona;19;Muy buena / Oso ona
11/05/2017;3;10;29;Muy buena / Oso ona;15;Muy buena / Oso ona
10/05/2017;10;38;71;Buena / Ona;53;Buena / Ona
09/05/2017;14;36;60;Buena / Ona;58;Buena / Ona
08/05/2017;15;32;54;Buena / Ona;54;Buena / Ona
07/05/2017;5;26;44;Muy buena / Oso ona;34;Muy buena / Oso ona
06/05/2017;4;18;66;Buena / Ona;23;Buena / Ona
05/05/2017;7;33;65;Buena / Ona;43;Buena / Ona
04/05/2017;12;29;66;Buena / Ona;47;Buena / Ona
03/05/2017;9;23;48;Muy buena / Oso ona;37;Muy buena / Oso ona
02/05/2017;9;30;70;Buena / Ona;44;Buena / Ona
01/05/2017;4;22;57;Buena / Ona;28;Buena / Ona
30/04/2017;2;10;24;Muy buena / Oso ona;13;Muy buena / Oso ona
29/04/2017;5;20;50;Muy buena / Oso ona;27;Muy buena / Oso ona
28/04/2017;16;35;66;Buena / Ona;60;Buena / Ona
27/04/2017;11;30;64;Buena / Ona;47;Buena / Ona
26/04/2017;5;26;46;Muy buena / Oso ona;34;Muy buena / Oso ona
25/04/2017;7;33;65;Buena / Ona;44;Buena / Ona
24/04/2017;15;38;76;Buena / Ona;61;Buena / Ona
23/04/2017;5;40;;Sin datos / Daturik gabe;48;Sin datos / Daturik gabe
22/04/2017;3;27;59;Buena / Ona;32;Buena / Ona
21/04/2017;11;41;74;Buena / Ona;58;Buena / Ona
20/04/2017;9;26;78;Buena / Ona;39;Buena / Ona
19/04/2017;4;21;;Sin datos / Daturik gabe;27;Sin datos / Daturik gabe
18/04/2017;11;29;59;Buena / Ona;47;Buena / Ona
17/04/2017;5;21;52;Buena / Ona;28;Buena / Ona
16/04/2017;4;16;32;Muy buena / Oso ona;21;Muy buena / Oso ona
15/04/2017;4;19;42;Muy buena / Oso ona;25;Muy buena / Oso ona
14/04/2017;2;17;33;Muy buena / Oso ona;21;Muy buena / Oso ona
13/04/2017;5;23;44;Muy buena / Oso ona;32;Muy buena / Oso ona
12/04/2017;14;32;57;Buena / Ona;54;Buena / Ona
11/04/2017;3;19;50;Muy buena / Oso ona;24;Muy buena / Oso ona
10/04/2017;4;22;47;Muy buena / Oso ona;28;Muy buena / Oso ona
09/04/2017;6;33;;Sin datos / Daturik gabe;42;Sin datos / Daturik gabe
08/04/2017;6;47;100;Buena / Ona;56;Buena / Ona
07/04/2017;11;41;;Sin datos / Daturik gabe;58;Sin datos / Daturik gabe
06/04/2017;5;22;68;Buena / Ona;29;Buena / Ona
05/04/2017;3;14;23;Muy buena / Oso ona;19;Muy buena / Oso ona
04/04/2017;4;19;39;Muy buena / Oso ona;25;Muy buena / Oso ona
03/04/2017;9;26;48;Muy buena / Oso ona;40;Muy buena / Oso ona
02/04/2017;3;15;59;Buena / Ona;20;Buena / Ona
01/04/2017;3;13;33;Muy buena / Oso ona;17;Muy buena / Oso ona
31/03/2017;17;37;102;Mejorable / Hobetzeko modukoa;63;Mejorable / Hobetzeko modukoa
30/03/2017;6;32;62;Buena / Ona;41;Buena / Ona
29/03/2017;14;60;100;Buena / Ona;81;Buena / Ona
28/03/2017;7;38;107;Mejorable / Hobetzeko modukoa;49;Mejorable / Hobetzeko modukoa
27/03/2017;3;24;65;Buena / Ona;29;Buena / Ona
26/03/2017;3;14;33;Muy buena / Oso ona;19;Muy buena / Oso ona
25/03/2017;3;23;41;Muy buena / Oso ona;27;Muy buena / Oso ona
24/03/2017;15;37;71;Buena / Ona;60;Buena / Ona
23/03/2017;7;28;94;Buena / Ona;38;Buena / Ona
22/03/2017;4;27;49;Muy buena / Oso ona;34;Muy buena / Oso ona
21/03/2017;6;40;82;Buena / Ona;51;Buena / Ona
20/03/2017;4;27;51;Buena / Ona;33;Buena / Ona
19/03/2017;8;23;52;Buena / Ona;34;Buena / Ona
18/03/2017;5;24;77;Buena / Ona;31;Buena / Ona
17/03/2017;10;26;63;Buena / Ona;41;Buena / Ona
16/03/2017;9;40;87;Buena / Ona;54;Buena / Ona
15/03/2017;19;44;78;Buena / Ona;73;Buena / Ona
14/03/2017;5;23;52;Buena / Ona;31;Buena / Ona
13/03/2017;3;16;27;Muy buena / Oso ona;21;Muy buena / Oso ona
12/03/2017;2;10;25;Muy buena / Oso ona;13;Muy buena / Oso ona
11/03/2017;16;40;77;Buena / Ona;65;Buena / Ona
10/03/2017;45;63;102;Mejorable / Hobetzeko modukoa;133;Mejorable / Hobetzeko modukoa
09/03/2017;9;35;69;Buena / Ona;49;Buena / Ona
08/03/2017;15;25;79;Buena / Ona;48;Buena / Ona
07/03/2017;12;33;75;Buena / Ona;51;Buena / Ona
06/03/2017;3;19;50;Muy buena / Oso ona;24;Muy buena / Oso ona
05/03/2017;2;18;65;Buena / Ona;22;Buena / Ona
04/03/2017;4;24;88;Buena / Ona;31;Buena / Ona
03/03/2017;5;23;56;Buena / Ona;30;Buena / Ona
02/03/2017;33;53;112;Mejorable / Hobetzeko modukoa;103;Mejorable / Hobetzeko modukoa
01/03/2017;11;41;92;Buena / Ona;58;Buena / Ona
28/02/2017;5;27;66;Buena / Ona;34;Buena / Ona
27/02/2017;4;26;63;Buena / Ona;32;Buena / Ona
26/02/2017;14;38;69;Buena / Ona;58;Buena / Ona
25/02/2017;18;50;89;Buena / Ona;78;Buena / Ona
24/02/2017;8;32;88;Buena / Ona;44;Buena / Ona
23/02/2017;9;39;59;Buena / Ona;52;Buena / Ona
22/02/2017;28;44;65;Buena / Ona;87;Buena / Ona
21/02/2017;28;49;79;Buena / Ona;92;Buena / Ona
20/02/2017;15;44;83;Buena / Ona;68;Buena / Ona
19/02/2017;4;28;80;Buena / Ona;34;Buena / Ona
18/02/2017;15;38;59;Buena / Ona;60;Buena / Ona
17/02/2017;28;57;94;Buena / Ona;101;Buena / Ona
16/02/2017;10;42;101;Mejorable / Hobetzeko modukoa;58;Mejorable / Hobetzeko modukoa
15/02/2017;5;32;81;Buena / Ona;41;Buena / Ona
14/02/2017;6;31;65;Buena / Ona;40;Buena / Ona
13/02/2017;8;28;81;Buena / Ona;39;Buena / Ona
12/02/2017;3;15;39;Muy buena / Oso ona;19;Muy buena / Oso ona
11/02/2017;20;34;61;Buena / Ona;66;Buena / Ona
10/02/2017;12;42;89;Buena / Ona;60;Buena / Ona
09/02/2017;14;42;77;Buena / Ona;64;Buena / Ona
08/02/2017;5;24;60;Buena / Ona;31;Buena / Ona
07/02/2017;6;27;79;Buena / Ona;37;Buena / Ona
06/02/2017;28;45;76;Buena / Ona;88;Buena / Ona
05/02/2017;3;8;13;Muy buena / Oso ona;12;Muy buena / Oso ona
04/02/2017;4;26;60;Buena / Ona;32;Buena / Ona
03/02/2017;2;11;27;Muy buena / Oso ona;15;Muy buena / Oso ona
02/02/2017;2;12;37;Muy buena / Oso ona;15;Muy buena / Oso ona
01/02/2017;4;19;65;Buena / Ona;25;Buena / Ona
31/01/2017;3;22;56;Buena / Ona;27;Buena / Ona
30/01/2017;4;23;45;Muy buena / Oso ona;29;Muy buena / Oso ona
29/01/2017;2;14;33;Muy buena / Oso ona;17;Muy buena / Oso ona
28/01/2017;8;38;92;Buena / Ona;50;Buena / Ona
27/01/2017;3;23;52;Buena / Ona;28;Buena / Ona
26/01/2017;5;29;52;Buena / Ona;37;Buena / Ona
25/01/2017;32;51;95;Buena / Ona;101;Buena / Ona
24/01/2017;48;60;104;Mejorable / Hobetzeko modukoa;134;Mejorable / Hobetzeko modukoa
23/01/2017;24;37;104;Mejorable / Hobetzeko modukoa;73;Mejorable / Hobetzeko modukoa
22/01/2017;18;37;52;Buena / Ona;64;Buena / Ona
21/01/2017;41;55;80;Buena / Ona;117;Buena / Ona
20/01/2017;53;55;83;Buena / Ona;137;Buena / Ona
19/01/2017;27;47;68;Buena / Ona;88;Buena / Ona
18/01/2017;11;31;63;Buena / Ona;48;Buena / Ona
17/01/2017;4;16;59;Buena / Ona;22;Buena / Ona
16/01/2017;2;14;23;Muy buena / Oso ona;18;Muy buena / Oso ona
15/01/2017;2;14;21;Muy buena / Oso ona;18;Muy buena / Oso ona
14/01/2017;3;21;43;Muy buena / Oso ona;26;Muy buena / Oso ona
13/01/2017;3;16;28;Muy buena / Oso ona;21;Muy buena / Oso ona
12/01/2017;24;33;57;Buena / Ona;70;Buena / Ona
11/01/2017;3;18;31;Muy buena / Oso ona;22;Muy buena / Oso ona
10/01/2017;7;29;57;Buena / Ona;40;Buena / Ona
09/01/2017;57;66;102;Mejorable / Hobetzeko modukoa;153;Mejorable / Hobetzeko modukoa
08/01/2017;23;49;80;Buena / Ona;84;Buena / Ona
07/01/2017;43;56;90;Buena / Ona;122;Buena / Ona
06/01/2017;31;47;75;Buena / Ona;94;Buena / Ona
05/01/2017;42;55;96;Buena / Ona;119;Buena / Ona
04/01/2017;72;54;86;Buena / Ona;164;Buena / Ona
03/01/2017;61;54;83;Buena / Ona;148;Buena / Ona
02/01/2017;15;38;68;Buena / Ona;60;Buena / Ona
01/01/2017;16;37;74;Buena / Ona;61;Buena / Ona
