Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
06/07/2017;6;25;54;Buena / Ona;33;23;Muy buena / Oso ona;2;Muy buena / Oso ona;317;86;0;19,5;1,12;Buena / Ona
05/07/2017;1;11;31;Muy buena / Oso ona;13;18;Muy buena / Oso ona;2;Muy buena / Oso ona;303;70;0;22,4;2,07;Muy buena / Oso ona
04/07/2017;13;25;48;Muy buena / Oso ona;44;18;Muy buena / Oso ona;2;Muy buena / Oso ona;16;77;0;22,8;0,31;Muy buena / Oso ona
03/07/2017;11;18;35;Muy buena / Oso ona;34;8;Muy buena / Oso ona;3;Muy buena / Oso ona;68;83;0;18,4;0,97;Muy buena / Oso ona
02/07/2017;2;11;23;Muy buena / Oso ona;13;5;Muy buena / Oso ona;3;Muy buena / Oso ona;300;80;0;16,9;1,8;Muy buena / Oso ona
01/07/2017;1;8;15;Muy buena / Oso ona;10;9;Muy buena / Oso ona;6;Muy buena / Oso ona;287;83;0,1;14,9;5,6;Muy buena / Oso ona
30/06/2017;2;11;22;Muy buena / Oso ona;14;6;Muy buena / Oso ona;10;Muy buena / Oso ona;280;80;0,1;14,8;5,47;Muy buena / Oso ona
29/06/2017;3;11;19;Muy buena / Oso ona;14;9;Muy buena / Oso ona;20;Muy buena / Oso ona;283;61;0;17;6,52;Muy buena / Oso ona
28/06/2017;4;14;38;Muy buena / Oso ona;20;10;Muy buena / Oso ona;12;Muy buena / Oso ona;284;74;0,1;18,5;5,85;Muy buena / Oso ona
27/06/2017;7;21;41;Muy buena / Oso ona;30;13;Muy buena / Oso ona;2;Muy buena / Oso ona;301;88;0,1;18,8;1,74;Muy buena / Oso ona
26/06/2017;6;18;38;Muy buena / Oso ona;27;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;308;89;0;20,2;2,13;Muy buena / Oso ona
25/06/2017;3;15;24;Muy buena / Oso ona;20;14;Muy buena / Oso ona;2;Muy buena / Oso ona;84;85;0;19,3;1,07;Muy buena / Oso ona
24/06/2017;1;13;25;Muy buena / Oso ona;14;15;Muy buena / Oso ona;2;Muy buena / Oso ona;308;90;0;18,8;1,31;Muy buena / Oso ona
23/06/2017;2;17;48;Muy buena / Oso ona;20;21;Muy buena / Oso ona;2;Muy buena / Oso ona;306;87;0;19,2;1,51;Muy buena / Oso ona
22/06/2017;2;12;21;Muy buena / Oso ona;13;20;Muy buena / Oso ona;2;Muy buena / Oso ona;309;94;0;19,1;3,21;Muy buena / Oso ona
21/06/2017;6;35;82;Buena / Ona;44;34;Buena / Ona;3;Muy buena / Oso ona;320;67;0;26,1;1,08;Buena / Ona
20/06/2017;6;40;84;Buena / Ona;48;24;Muy buena / Oso ona;4;Muy buena / Oso ona;311;59;0;25,7;0,89;Buena / Ona
19/06/2017;2;17;47;Muy buena / Oso ona;19;23;Muy buena / Oso ona;2;Muy buena / Oso ona;223;61;0;26,2;0,49;Muy buena / Oso ona
18/06/2017;3;28;52;Buena / Ona;32;26;Buena / Ona;2;Muy buena / Oso ona;333;79;0;21,7;0,87;Buena / Ona
17/06/2017;6;21;49;Muy buena / Oso ona;30;23;Muy buena / Oso ona;2;Muy buena / Oso ona;311;83;0;19,9;0,9;Muy buena / Oso ona
16/06/2017;3;19;44;Muy buena / Oso ona;23;15;Muy buena / Oso ona;2;Muy buena / Oso ona;46;90;0;18,1;0,87;Muy buena / Oso ona
15/06/2017;2;12;27;Muy buena / Oso ona;14;11;Muy buena / Oso ona;1;Muy buena / Oso ona;299;97;0;16,9;2,99;Muy buena / Oso ona
14/06/2017;3;16;41;Muy buena / Oso ona;20;22;Muy buena / Oso ona;1;Muy buena / Oso ona;304;95;0,1;18,7;2,36;Muy buena / Oso ona
13/06/2017;8;23;47;Muy buena / Oso ona;35;20;Muy buena / Oso ona;1;Muy buena / Oso ona;323;87;0;18,6;1,08;Muy buena / Oso ona
12/06/2017;3;13;45;Muy buena / Oso ona;18;11;Muy buena / Oso ona;0;Muy buena / Oso ona;1;92;0;17,6;0,69;Muy buena / Oso ona
11/06/2017;1;10;21;Muy buena / Oso ona;12;18;Muy buena / Oso ona;1;Muy buena / Oso ona;304;94;0;18,3;3,02;Muy buena / Oso ona
10/06/2017;6;16;34;Muy buena / Oso ona;24;18;Muy buena / Oso ona;1;Muy buena / Oso ona;313;90;0;18,6;1,2;Muy buena / Oso ona
09/06/2017;11;21;51;Buena / Ona;37;16;Muy buena / Oso ona;2;Muy buena / Oso ona;317;86;0;17,2;1,12;Buena / Ona
08/06/2017;3;23;51;Buena / Ona;27;23;Muy buena / Oso ona;3;Muy buena / Oso ona;311;75;0,1;19,4;0,99;Buena / Ona
07/06/2017;9;25;70;Buena / Ona;39;21;Muy buena / Oso ona;3;Muy buena / Oso ona;331;72;0;17,3;0,89;Buena / Ona
06/06/2017;2;11;22;Muy buena / Oso ona;13;11;Muy buena / Oso ona;3;Muy buena / Oso ona;292;80;0;15,2;5,57;Muy buena / Oso ona
05/06/2017;5;18;45;Muy buena / Oso ona;26;9;Muy buena / Oso ona;3;Muy buena / Oso ona;302;75;0;17;1,71;Muy buena / Oso ona
04/06/2017;1;13;29;Muy buena / Oso ona;15;6;Muy buena / Oso ona;1;Muy buena / Oso ona;299;95;0,1;13,2;1,7;Muy buena / Oso ona
03/06/2017;2;15;37;Muy buena / Oso ona;17;9;Muy buena / Oso ona;1;Muy buena / Oso ona;290;94;0,1;14,8;2,18;Muy buena / Oso ona
02/06/2017;2;13;29;Muy buena / Oso ona;15;14;Muy buena / Oso ona;0;Muy buena / Oso ona;304;98;0;16,5;2,7;Muy buena / Oso ona
01/06/2017;11;21;46;Muy buena / Oso ona;38;20;Muy buena / Oso ona;1;Muy buena / Oso ona;326;90;0;18,6;1,12;Muy buena / Oso ona
31/05/2017;4;17;33;Muy buena / Oso ona;23;9;Muy buena / Oso ona;1;Muy buena / Oso ona;306;87;0;18;1,33;Muy buena / Oso ona
30/05/2017;1;11;28;Muy buena / Oso ona;12;4;Muy buena / Oso ona;0;Muy buena / Oso ona;305;91;0;16,3;1,46;Muy buena / Oso ona
29/05/2017;2;16;50;Muy buena / Oso ona;19;6;Muy buena / Oso ona;0;Muy buena / Oso ona;310;99;0,1;16;1,8;Muy buena / Oso ona
28/05/2017;1;12;19;Muy buena / Oso ona;13;17;Muy buena / Oso ona;1;Muy buena / Oso ona;4;92;0;17,5;0,46;Muy buena / Oso ona
27/05/2017;3;19;33;Muy buena / Oso ona;23;20;Muy buena / Oso ona;1;Muy buena / Oso ona;314;85;0;18,8;0,9;Muy buena / Oso ona
26/05/2017;9;30;83;Buena / Ona;43;20;Muy buena / Oso ona;1;Muy buena / Oso ona;313;74;0;20,5;1,51;Buena / Ona
25/05/2017;10;33;72;Buena / Ona;47;30;Buena / Ona;1;Muy buena / Oso ona;313;64;0;24,1;0,72;Buena / Ona
24/05/2017;9;27;71;Buena / Ona;39;20;Muy buena / Oso ona;1;Muy buena / Oso ona;6;78;0;19,2;0,54;Buena / Ona
23/05/2017;3;13;34;Muy buena / Oso ona;17;11;Muy buena / Oso ona;2;Muy buena / Oso ona;309;80;0;15,6;1,22;Muy buena / Oso ona
22/05/2017;3;12;74;Buena / Ona;17;20;Muy buena / Oso ona;2;Muy buena / Oso ona;307;79;0;17;4,09;Buena / Ona
21/05/2017;4;19;39;Muy buena / Oso ona;25;7;Muy buena / Oso ona;2;Muy buena / Oso ona;109;56;0;21,4;3,04;Muy buena / Oso ona
20/05/2017;1;13;46;Muy buena / Oso ona;15;3;Muy buena / Oso ona;1;Muy buena / Oso ona;337;72;0;14,1;1,28;Muy buena / Oso ona
19/05/2017;2;12;29;Muy buena / Oso ona;14;5;Muy buena / Oso ona;2;Muy buena / Oso ona;296;71;0;12,6;3,99;Muy buena / Oso ona
18/05/2017;3;10;26;Muy buena / Oso ona;14;6;Muy buena / Oso ona;2;Muy buena / Oso ona;291;86;0,3;12,4;5,8;Muy buena / Oso ona
17/05/2017;3;28;73;Buena / Ona;32;13;Muy buena / Oso ona;2;Muy buena / Oso ona;312;89;0,1;15,6;1,98;Buena / Ona
16/05/2017;10;34;71;Buena / Ona;49;18;Muy buena / Oso ona;3;Muy buena / Oso ona;307;71;0;19,1;1,31;Buena / Ona
15/05/2017;8;30;60;Buena / Ona;43;11;Muy buena / Oso ona;4;Muy buena / Oso ona;346;65;0;19,2;0,33;Buena / Ona
14/05/2017;3;19;65;Buena / Ona;23;6;Muy buena / Oso ona;5;Muy buena / Oso ona;322;70;0;17,5;1;Buena / Ona
13/05/2017;1;15;44;Muy buena / Oso ona;17;2;Muy buena / Oso ona;3;Muy buena / Oso ona;313;72;0;16,3;0,92;Muy buena / Oso ona
12/05/2017;2;10;25;Muy buena / Oso ona;12;4;Muy buena / Oso ona;1;Muy buena / Oso ona;232;65;0,1;17,1;2,46;Muy buena / Oso ona
11/05/2017;1;5;21;Muy buena / Oso ona;7;3;Muy buena / Oso ona;1;Muy buena / Oso ona;215;55;0;18,2;3,46;Muy buena / Oso ona
10/05/2017;9;29;68;Buena / Ona;42;12;Muy buena / Oso ona;5;Muy buena / Oso ona;282;79;0;16,5;0,87;Buena / Ona
09/05/2017;12;38;74;Buena / Ona;55;12;Muy buena / Oso ona;8;Muy buena / Oso ona;33;79;0;14,6;0,45;Buena / Ona
08/05/2017;12;26;59;Buena / Ona;44;10;Muy buena / Oso ona;5;Muy buena / Oso ona;22;73;0;13,7;0,43;Buena / Ona
