Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);V.vien (m/s);Tº (ºC);ICA Estación
15/10/2017;1;7;22;Muy buena / Oso ona;9;25;Muy buena / Oso ona;;;;;;259;55;1016,4;2,76;;Muy buena / Oso ona
14/10/2017;2;14;34;Muy buena / Oso ona;17;33;Buena / Ona;;;;;;233;70;1018,1;0,74;;Buena / Ona
13/10/2017;6;26;71;Buena / Ona;35;34;Buena / Ona;;;;;;93;81;1019,7;0,46;;Buena / Ona
12/10/2017;3;20;44;Muy buena / Oso ona;25;21;Muy buena / Oso ona;;;;;;142;82;1020,3;0,18;;Muy buena / Oso ona
11/10/2017;3;20;38;Muy buena / Oso ona;24;18;Muy buena / Oso ona;;;;;;263;75;1017,1;0,62;;Muy buena / Oso ona
10/10/2017;6;24;50;Muy buena / Oso ona;32;15;Muy buena / Oso ona;;;;;;222;83;1016,8;0,5;;Muy buena / Oso ona
09/10/2017;4;21;37;Muy buena / Oso ona;28;16;Muy buena / Oso ona;;;;;;237;79;1018,3;0,44;;Muy buena / Oso ona
08/10/2017;2;17;37;Muy buena / Oso ona;21;14;Muy buena / Oso ona;;;;;;235;80;1019;0,51;;Muy buena / Oso ona
07/10/2017;3;14;27;Muy buena / Oso ona;18;12;Muy buena / Oso ona;;;;;;231;82;1020,5;0,54;;Muy buena / Oso ona
06/10/2017;2;13;21;Muy buena / Oso ona;16;13;Muy buena / Oso ona;;;;;;153;90;1021,9;0,16;;Muy buena / Oso ona
05/10/2017;4;20;33;Muy buena / Oso ona;26;18;Muy buena / Oso ona;;;;;;105;92;1020,1;0,31;;Muy buena / Oso ona
04/10/2017;9;23;50;Muy buena / Oso ona;37;19;Muy buena / Oso ona;;;;;;73;86;1018,5;0,27;;Muy buena / Oso ona
03/10/2017;8;14;28;Muy buena / Oso ona;27;13;Muy buena / Oso ona;;;;;;259;91;1019,3;0,05;;Muy buena / Oso ona
02/10/2017;9;19;42;Muy buena / Oso ona;32;14;Muy buena / Oso ona;;;;;;192;96;1020,5;0,08;;Muy buena / Oso ona
01/10/2017;4;10;18;Muy buena / Oso ona;16;11;Muy buena / Oso ona;;;;;;225;94;1019,2;0,39;;Muy buena / Oso ona
30/09/2017;1;12;18;Muy buena / Oso ona;14;9;Muy buena / Oso ona;;;;;;99;94;1018,2;0,18;;Muy buena / Oso ona
29/09/2017;6;22;56;Buena / Ona;31;23;Muy buena / Oso ona;;;;;;113;82;1017,2;0,29;;Buena / Ona
28/09/2017;4;28;78;Buena / Ona;35;22;Muy buena / Oso ona;;;;;;245;74;1016,2;0,63;;Buena / Ona
27/09/2017;3;21;54;Buena / Ona;26;14;Muy buena / Oso ona;;;;;;247;73;1014,9;0,69;;Buena / Ona
26/09/2017;3;14;24;Muy buena / Oso ona;18;12;Muy buena / Oso ona;;;;;;227;84;1017,2;0,4;;Muy buena / Oso ona
25/09/2017;6;15;40;Muy buena / Oso ona;24;13;Muy buena / Oso ona;;;;;;189;88;1018;0,12;;Muy buena / Oso ona
24/09/2017;9;18;37;Muy buena / Oso ona;32;20;Muy buena / Oso ona;;;;;;108;81;1014,3;0,62;;Muy buena / Oso ona
23/09/2017;1;12;28;Muy buena / Oso ona;14;17;Muy buena / Oso ona;;;;;;256;75;1014,1;1,33;;Muy buena / Oso ona
22/09/2017;2;17;30;Muy buena / Oso ona;20;11;Muy buena / Oso ona;;;;;;95;93;1017,5;0,3;;Muy buena / Oso ona
21/09/2017;5;20;54;Buena / Ona;27;16;Muy buena / Oso ona;;;;;;165;84;1014,3;0,32;;Buena / Ona
20/09/2017;4;22;36;Muy buena / Oso ona;28;12;Muy buena / Oso ona;;;;;;244;76;1015,7;0,48;;Muy buena / Oso ona
19/09/2017;2;14;29;Muy buena / Oso ona;18;10;Muy buena / Oso ona;;;;;;235;83;1020,7;0,37;;Muy buena / Oso ona
18/09/2017;3;17;33;Muy buena / Oso ona;21;9;Muy buena / Oso ona;;;;;;242;93;1015,8;0,14;;Muy buena / Oso ona
17/09/2017;1;8;14;Muy buena / Oso ona;10;7;Muy buena / Oso ona;;;;;;230;77;1014;0,39;;Muy buena / Oso ona
16/09/2017;2;9;16;Muy buena / Oso ona;12;5;Muy buena / Oso ona;;;;;;249;85;1013,3;0,46;;Muy buena / Oso ona
15/09/2017;2;11;17;Muy buena / Oso ona;14;9;Muy buena / Oso ona;;;;;;227;88;1014,5;0,62;;Muy buena / Oso ona
14/09/2017;2;13;18;Muy buena / Oso ona;16;17;Muy buena / Oso ona;;;;;;170;80;1018;0,47;;Muy buena / Oso ona
13/09/2017;4;15;23;Muy buena / Oso ona;20;12;Muy buena / Oso ona;;;;;;198;81;1016,7;0,31;;Muy buena / Oso ona
12/09/2017;2;12;25;Muy buena / Oso ona;15;10;Muy buena / Oso ona;;;;;;235;85;1015,2;0,47;;Muy buena / Oso ona
11/09/2017;1;8;23;Muy buena / Oso ona;11;14;Muy buena / Oso ona;;;;;;175;82;1010,7;0,56;;Muy buena / Oso ona
10/09/2017;1;7;17;Muy buena / Oso ona;9;11;Muy buena / Oso ona;;;;;;228;79;1010,3;0,65;;Muy buena / Oso ona
09/09/2017;1;6;9;Muy buena / Oso ona;8;11;Muy buena / Oso ona;;;;;;223;79;1006,8;1,1;;Muy buena / Oso ona
08/09/2017;2;12;19;Muy buena / Oso ona;16;16;Muy buena / Oso ona;;;;;;215;76;1011,1;0,38;;Muy buena / Oso ona
07/09/2017;2;12;18;Muy buena / Oso ona;16;16;Muy buena / Oso ona;;;;;;217;79;1018,3;0,24;;Muy buena / Oso ona
06/09/2017;2;13;26;Muy buena / Oso ona;16;13;Muy buena / Oso ona;;;;;;157;90;1022,3;0,15;;Muy buena / Oso ona
05/09/2017;4;17;31;Muy buena / Oso ona;23;12;Muy buena / Oso ona;;;;;;143;84;1018,9;0,19;;Muy buena / Oso ona
04/09/2017;4;17;26;Muy buena / Oso ona;23;10;Muy buena / Oso ona;;;;;;104;88;1013,4;0,07;;Muy buena / Oso ona
03/09/2017;2;13;26;Muy buena / Oso ona;16;11;Muy buena / Oso ona;;;;;;243;75;1011,1;0,29;;Muy buena / Oso ona
02/09/2017;2;9;15;Muy buena / Oso ona;12;11;Muy buena / Oso ona;;;;;;213;77;1019,5;0,12;;Muy buena / Oso ona
01/09/2017;2;8;13;Muy buena / Oso ona;11;10;Muy buena / Oso ona;;;;;;210;81;1019,4;0,3;;Muy buena / Oso ona
31/08/2017;2;8;12;Muy buena / Oso ona;10;10;Muy buena / Oso ona;;;;;;219;83;1017,8;0,2;;Muy buena / Oso ona
30/08/2017;2;9;13;Muy buena / Oso ona;11;15;Muy buena / Oso ona;;;;;;177;89;1011,2;0,29;;Muy buena / Oso ona
29/08/2017;2;13;22;Muy buena / Oso ona;16;16;Muy buena / Oso ona;;;;;;262;83;1009,7;0,37;;Muy buena / Oso ona
28/08/2017;1;10;19;Muy buena / Oso ona;13;17;Muy buena / Oso ona;;;;;;250;82;1010,1;1,1;;Muy buena / Oso ona
27/08/2017;2;10;17;Muy buena / Oso ona;13;17;Muy buena / Oso ona;;;;;;254;80;1009,8;0,96;;Muy buena / Oso ona
26/08/2017;2;13;25;Muy buena / Oso ona;16;15;Muy buena / Oso ona;;;;;;36;81;1009,7;0,17;;Muy buena / Oso ona
25/08/2017;2;11;22;Muy buena / Oso ona;15;15;Muy buena / Oso ona;;;;;;240;84;1011,6;0,12;;Muy buena / Oso ona
24/08/2017;2;13;27;Muy buena / Oso ona;16;17;Muy buena / Oso ona;;;;;;95;86;1012,3;0,23;;Muy buena / Oso ona
23/08/2017;3;14;20;Muy buena / Oso ona;19;24;Muy buena / Oso ona;;;;;;279;80;1013,8;0,23;;Muy buena / Oso ona
22/08/2017;3;20;46;Muy buena / Oso ona;25;29;Buena / Ona;;;;;;51;73;1011,7;0,65;;Buena / Ona
21/08/2017;3;19;33;Muy buena / Oso ona;23;14;Muy buena / Oso ona;;;;;;284;68;1012,1;0,13;;Muy buena / Oso ona
20/08/2017;1;10;18;Muy buena / Oso ona;12;14;Muy buena / Oso ona;;;;;;221;74;1020,3;0,2;;Muy buena / Oso ona
19/08/2017;1;7;11;Muy buena / Oso ona;10;11;Muy buena / Oso ona;;;;;;89;82;1019,4;0,17;;Muy buena / Oso ona
18/08/2017;2;15;30;Muy buena / Oso ona;19;13;Muy buena / Oso ona;;;;;;99;87;1016,6;0,23;;Muy buena / Oso ona
17/08/2017;3;14;24;Muy buena / Oso ona;18;11;Muy buena / Oso ona;;;;;;213;74;1016;0,2;;Muy buena / Oso ona
16/08/2017;3;14;22;Muy buena / Oso ona;19;12;Muy buena / Oso ona;;;;;;16;78;1017,5;0,06;;Muy buena / Oso ona
15/08/2017;1;12;18;Muy buena / Oso ona;14;10;Muy buena / Oso ona;;;;;;99;87;1015,3;0,25;;Muy buena / Oso ona
14/08/2017;2;14;29;Muy buena / Oso ona;17;19;Muy buena / Oso ona;;;;;;239;73;1009,3;0,5;;Muy buena / Oso ona
13/08/2017;2;10;18;Muy buena / Oso ona;13;12;Muy buena / Oso ona;;;;;;229;78;1015,4;0,54;;Muy buena / Oso ona
12/08/2017;2;10;20;Muy buena / Oso ona;13;12;Muy buena / Oso ona;;;;;;245;72;1019,4;0,49;;Muy buena / Oso ona
11/08/2017;2;11;16;Muy buena / Oso ona;14;14;Muy buena / Oso ona;;;;;;152;76;1021,2;0,42;;Muy buena / Oso ona
10/08/2017;2;10;26;Muy buena / Oso ona;12;13;Muy buena / Oso ona;;;;;;194;81;1022,2;0,67;;Muy buena / Oso ona
09/08/2017;1;7;15;Muy buena / Oso ona;9;9;Muy buena / Oso ona;;;;;;197;74;1018;0,84;;Muy buena / Oso ona
08/08/2017;2;9;19;Muy buena / Oso ona;11;10;Muy buena / Oso ona;;;;;;160;76;1015,3;0,37;;Muy buena / Oso ona
07/08/2017;2;9;20;Muy buena / Oso ona;12;15;Muy buena / Oso ona;;;;;;203;81;1011,4;0,66;;Muy buena / Oso ona
06/08/2017;1;6;11;Muy buena / Oso ona;8;;Sin datos / Daturik gabe;;;;;;139;80;1018;0,32;;Muy buena / Oso ona
05/08/2017;1;8;12;Muy buena / Oso ona;10;16;Muy buena / Oso ona;;;;;;89;94;1017,2;0,62;;Muy buena / Oso ona
04/08/2017;2;12;19;Muy buena / Oso ona;15;17;Muy buena / Oso ona;;;;;;153;70;1013,3;0,23;;Muy buena / Oso ona
03/08/2017;2;13;29;Muy buena / Oso ona;17;17;Muy buena / Oso ona;;;;;;144;77;1014,3;0,39;;Muy buena / Oso ona
02/08/2017;4;17;32;Muy buena / Oso ona;23;18;Muy buena / Oso ona;;;;;;354;81;1014;0,18;;Muy buena / Oso ona
01/08/2017;2;11;20;Muy buena / Oso ona;15;13;Muy buena / Oso ona;;;;;;227;86;1012,5;0,08;;Muy buena / Oso ona
31/07/2017;2;10;16;Muy buena / Oso ona;13;10;Muy buena / Oso ona;;;;;;155;93;1009,5;0,07;;Muy buena / Oso ona
30/07/2017;2;9;23;Muy buena / Oso ona;12;2;Muy buena / Oso ona;;;;;;190;88;1011,1;0,18;;Muy buena / Oso ona
29/07/2017;2;10;24;Muy buena / Oso ona;13;11;Muy buena / Oso ona;;;;;;152;66;1010,9;0,16;;Muy buena / Oso ona
28/07/2017;2;15;26;Muy buena / Oso ona;19;11;Muy buena / Oso ona;;;;;;299;86;1013,8;0,21;;Muy buena / Oso ona
27/07/2017;3;14;28;Muy buena / Oso ona;18;19;Muy buena / Oso ona;;;;;;80;80;1012;0,23;;Muy buena / Oso ona
26/07/2017;3;15;25;Muy buena / Oso ona;20;17;Muy buena / Oso ona;;;;;;318;78;1013,5;0,22;;Muy buena / Oso ona
25/07/2017;1;8;10;Muy buena / Oso ona;10;10;Muy buena / Oso ona;;;;;;165;84;1017,4;0,28;;Muy buena / Oso ona
24/07/2017;2;9;15;Muy buena / Oso ona;12;8;Muy buena / Oso ona;;;;;;145;91;1018,5;0,69;;Muy buena / Oso ona
23/07/2017;2;10;18;Muy buena / Oso ona;12;15;Muy buena / Oso ona;;;;;;93;74;1017,1;0,14;;Muy buena / Oso ona
22/07/2017;2;10;15;Muy buena / Oso ona;13;12;Muy buena / Oso ona;;;;;;177;80;1012,9;0,39;;Muy buena / Oso ona
21/07/2017;3;15;20;Muy buena / Oso ona;19;11;Muy buena / Oso ona;;;;;;228;88;1010,3;0,34;;Muy buena / Oso ona
20/07/2017;2;15;25;Muy buena / Oso ona;18;10;Muy buena / Oso ona;;;;;;103;89;1013,5;0,24;;Muy buena / Oso ona
19/07/2017;2;13;31;Muy buena / Oso ona;16;26;Buena / Ona;;;;;;104;77;1009,1;0,55;;Buena / Ona
18/07/2017;2;14;30;Muy buena / Oso ona;17;28;Buena / Ona;;;;;;257;72;1005,5;0,55;;Buena / Ona
17/07/2017;3;24;52;Buena / Ona;29;32;Buena / Ona;;;;;;77;73;1008,6;0,2;;Buena / Ona
16/07/2017;2;11;18;Muy buena / Oso ona;14;18;Muy buena / Oso ona;;;;;;251;75;1016,2;0,26;;Muy buena / Oso ona
15/07/2017;1;10;18;Muy buena / Oso ona;12;10;Muy buena / Oso ona;;;;;;110;79;1019;0,14;;Muy buena / Oso ona
14/07/2017;2;11;21;Muy buena / Oso ona;15;7;Muy buena / Oso ona;;;;;;126;81;1019,3;0,28;;Muy buena / Oso ona
13/07/2017;3;16;32;Muy buena / Oso ona;20;11;Muy buena / Oso ona;;;;;;172;86;1018,5;0,17;;Muy buena / Oso ona
12/07/2017;3;16;23;Muy buena / Oso ona;21;14;Muy buena / Oso ona;;;;;;230;82;1016,9;0,45;;Muy buena / Oso ona
11/07/2017;4;15;26;Muy buena / Oso ona;22;14;Muy buena / Oso ona;;;;;;321;79;1012,9;0,33;;Muy buena / Oso ona
10/07/2017;2;10;20;Muy buena / Oso ona;14;10;Muy buena / Oso ona;;;;;;87;88;1012,6;0,43;;Muy buena / Oso ona
09/07/2017;2;10;15;Muy buena / Oso ona;13;20;Muy buena / Oso ona;;;;;;71;87;1011,5;0,4;;Muy buena / Oso ona
08/07/2017;1;13;23;Muy buena / Oso ona;15;20;Muy buena / Oso ona;;;;;;80;92;1013,4;0,5;;Muy buena / Oso ona
07/07/2017;3;16;31;Muy buena / Oso ona;20;19;Muy buena / Oso ona;;;;;;68;84;1013,8;0,43;;Muy buena / Oso ona
06/07/2017;5;29;50;Muy buena / Oso ona;36;28;Buena / Ona;;;;;;71;80;1011,5;0,43;;Buena / Ona
05/07/2017;2;11;21;Muy buena / Oso ona;14;27;Buena / Ona;;;;;;314;62;1008,6;0,13;;Buena / Ona
04/07/2017;3;15;30;Muy buena / Oso ona;19;23;Muy buena / Oso ona;;;;;;307;68;1010,1;0,11;;Muy buena / Oso ona
03/07/2017;4;12;18;Muy buena / Oso ona;17;15;Muy buena / Oso ona;;;;;;12;78;1020;0,12;;Muy buena / Oso ona
02/07/2017;2;9;16;Muy buena / Oso ona;12;13;Muy buena / Oso ona;;;;;;236;79;1024,1;0,15;;Muy buena / Oso ona
01/07/2017;1;8;14;Muy buena / Oso ona;10;13;Muy buena / Oso ona;;;;;;199;84;1022,2;0,56;;Muy buena / Oso ona
30/06/2017;1;7;11;Muy buena / Oso ona;10;9;Muy buena / Oso ona;;;;;;236;83;1014;1,25;;Muy buena / Oso ona
29/06/2017;1;5;9;Muy buena / Oso ona;7;11;Muy buena / Oso ona;;;;;;240;57;1007,1;1,18;;Muy buena / Oso ona
28/06/2017;2;7;13;Muy buena / Oso ona;9;11;Muy buena / Oso ona;;;;;;233;72;1002,9;1,14;;Muy buena / Oso ona
27/06/2017;5;18;35;Muy buena / Oso ona;26;17;Muy buena / Oso ona;;;;;;55;86;1005,7;0,04;;Muy buena / Oso ona
26/06/2017;3;14;25;Muy buena / Oso ona;19;16;Muy buena / Oso ona;;;;;;304;84;1007;0,19;;Muy buena / Oso ona
25/06/2017;2;11;17;Muy buena / Oso ona;14;15;Muy buena / Oso ona;;;;;;281;85;1013,3;0,18;;Muy buena / Oso ona
24/06/2017;2;10;17;Muy buena / Oso ona;12;20;Muy buena / Oso ona;;;;;;101;91;1018,4;0,15;;Muy buena / Oso ona
23/06/2017;2;14;27;Muy buena / Oso ona;17;27;Buena / Ona;;;;;;95;84;1019,7;0,26;;Buena / Ona
22/06/2017;2;16;43;Muy buena / Oso ona;19;31;Buena / Ona;;;;;;74;89;1015,3;0,47;;Buena / Ona
21/06/2017;2;21;53;Buena / Ona;24;31;Buena / Ona;;;;;;299;63;1010,3;0,18;;Buena / Ona
20/06/2017;3;30;75;Buena / Ona;34;24;Muy buena / Oso ona;;;;;;242;63;1011,6;0,53;;Buena / Ona
19/06/2017;1;16;45;Muy buena / Oso ona;19;21;Muy buena / Oso ona;;;;;;244;62;1009,7;0,98;;Muy buena / Oso ona
18/06/2017;2;15;34;Muy buena / Oso ona;17;20;Muy buena / Oso ona;;;;;;224;72;1010,5;0,22;;Muy buena / Oso ona
17/06/2017;2;11;19;Muy buena / Oso ona;14;22;Muy buena / Oso ona;;;;;;231;77;1017,1;0,29;;Muy buena / Oso ona
16/06/2017;2;12;21;Muy buena / Oso ona;16;24;Muy buena / Oso ona;;;;;;26;88;1020,9;0,23;;Muy buena / Oso ona
15/06/2017;2;16;23;Muy buena / Oso ona;18;16;Muy buena / Oso ona;;;;;;78;93;1018,2;0,36;;Muy buena / Oso ona
14/06/2017;4;21;48;Muy buena / Oso ona;26;30;Buena / Ona;;;;;;46;88;1011,6;0,27;;Buena / Ona
13/06/2017;5;21;40;Muy buena / Oso ona;29;26;Buena / Ona;;;;;;48;83;1011,1;0,2;;Buena / Ona
12/06/2017;2;14;23;Muy buena / Oso ona;17;14;Muy buena / Oso ona;;;;;;16;89;1015,9;0,25;;Muy buena / Oso ona
11/06/2017;2;11;20;Muy buena / Oso ona;14;30;Buena / Ona;;;;;;86;84;1016;0,38;;Buena / Ona
10/06/2017;3;15;22;Muy buena / Oso ona;20;21;Muy buena / Oso ona;;;;;;8;82;1014,3;0,21;;Muy buena / Oso ona
09/06/2017;3;15;27;Muy buena / Oso ona;20;18;Muy buena / Oso ona;;;;;;219;82;1013,7;0,29;;Muy buena / Oso ona
08/06/2017;3;16;41;Muy buena / Oso ona;21;20;Muy buena / Oso ona;;;;;;220;74;1010,1;0,28;;Muy buena / Oso ona
07/06/2017;3;18;37;Muy buena / Oso ona;24;19;Muy buena / Oso ona;;;;;;288;70;1017;0,2;;Muy buena / Oso ona
06/06/2017;2;10;21;Muy buena / Oso ona;13;13;Muy buena / Oso ona;;;;;;139;76;1015,5;0,49;;Muy buena / Oso ona
05/06/2017;3;13;28;Muy buena / Oso ona;17;11;Muy buena / Oso ona;;;;;;237;74;1012;0,42;;Muy buena / Oso ona
04/06/2017;2;10;16;Muy buena / Oso ona;14;8;Muy buena / Oso ona;;;;;;45;94;1017,3;0,03;;Muy buena / Oso ona
03/06/2017;2;12;28;Muy buena / Oso ona;16;13;Muy buena / Oso ona;;;;;;174;93;1016,5;0,19;;Muy buena / Oso ona
02/06/2017;3;23;37;Muy buena / Oso ona;27;18;Muy buena / Oso ona;;;;;;77;93;1014,8;0,28;;Muy buena / Oso ona
01/06/2017;4;18;29;Muy buena / Oso ona;24;15;Muy buena / Oso ona;;;;;;331;79;1014,4;0,24;;Muy buena / Oso ona
31/05/2017;4;18;36;Muy buena / Oso ona;23;15;Muy buena / Oso ona;;;;;;272;79;1015,8;0,2;;Muy buena / Oso ona
30/05/2017;2;16;32;Muy buena / Oso ona;20;10;Muy buena / Oso ona;;;;;;119;90;1015,7;0,1;;Muy buena / Oso ona
29/05/2017;2;19;34;Muy buena / Oso ona;23;15;Muy buena / Oso ona;;;;;;69;93;1012;0,23;;Muy buena / Oso ona
28/05/2017;3;20;33;Muy buena / Oso ona;24;24;Muy buena / Oso ona;;;;;;68;83;1009,3;0,46;;Muy buena / Oso ona
27/05/2017;4;30;93;Buena / Ona;36;23;Muy buena / Oso ona;;;;;;100;80;1009,2;0,14;;Buena / Ona
26/05/2017;3;18;36;Muy buena / Oso ona;22;18;Muy buena / Oso ona;;;;;;215;74;1008,5;0,09;;Muy buena / Oso ona
25/05/2017;2;18;43;Muy buena / Oso ona;22;21;Muy buena / Oso ona;;;;;;268;62;1008,4;0,32;;Muy buena / Oso ona
24/05/2017;4;21;40;Muy buena / Oso ona;27;19;Muy buena / Oso ona;;;;;;225;72;1014,6;0,18;;Muy buena / Oso ona
23/05/2017;3;17;30;Muy buena / Oso ona;22;19;Muy buena / Oso ona;;;;;;348;74;1019,3;0,17;;Muy buena / Oso ona
22/05/2017;3;16;40;Muy buena / Oso ona;21;27;Buena / Ona;;;;;;47;74;1014;0,74;;Buena / Ona
21/05/2017;2;10;16;Muy buena / Oso ona;13;9;Muy buena / Oso ona;;;;;;248;58;1010,8;0,7;;Muy buena / Oso ona
20/05/2017;2;12;21;Muy buena / Oso ona;16;9;Muy buena / Oso ona;;;;;;234;75;1020,2;0,31;;Muy buena / Oso ona
19/05/2017;3;11;24;Muy buena / Oso ona;15;9;Muy buena / Oso ona;;;;;;172;75;1018,1;0,32;;Muy buena / Oso ona
18/05/2017;2;10;19;Muy buena / Oso ona;13;8;Muy buena / Oso ona;;;;;;177;82;1014,9;0,63;;Muy buena / Oso ona
17/05/2017;4;29;52;Buena / Ona;35;18;Muy buena / Oso ona;;;;;;27;85;1014,7;0,18;;Buena / Ona
16/05/2017;4;29;64;Buena / Ona;35;18;Muy buena / Oso ona;;;;;;132;68;1019,6;0,26;;Buena / Ona
15/05/2017;2;18;35;Muy buena / Oso ona;22;12;Muy buena / Oso ona;;;;;;259;64;1021,3;0,33;;Muy buena / Oso ona
14/05/2017;2;11;29;Muy buena / Oso ona;13;9;Muy buena / Oso ona;;;;;;265;64;1018,4;0,58;;Muy buena / Oso ona
13/05/2017;2;11;20;Muy buena / Oso ona;14;8;Muy buena / Oso ona;;;;;;301;75;1010,4;0,2;;Muy buena / Oso ona
12/05/2017;1;9;32;Muy buena / Oso ona;11;6;Muy buena / Oso ona;;;;;;238;62;999,5;1,31;;Muy buena / Oso ona
11/05/2017;1;6;23;Muy buena / Oso ona;8;3;Muy buena / Oso ona;;;;;;240;54;991,6;1,66;;Muy buena / Oso ona
10/05/2017;3;20;32;Muy buena / Oso ona;25;20;Muy buena / Oso ona;;;;;;239;75;995,5;0,25;;Muy buena / Oso ona
09/05/2017;3;18;26;Muy buena / Oso ona;22;15;Muy buena / Oso ona;;;;;;41;76;1005;0,04;;Muy buena / Oso ona
08/05/2017;4;17;27;Muy buena / Oso ona;22;10;Muy buena / Oso ona;;;;;;36;69;1016;0,06;;Muy buena / Oso ona
07/05/2017;1;11;20;Muy buena / Oso ona;13;10;Muy buena / Oso ona;;;;;;230;66;1018,4;0,35;;Muy buena / Oso ona
06/05/2017;1;8;16;Muy buena / Oso ona;11;9;Muy buena / Oso ona;;;;;;254;65;1012,5;0,4;;Muy buena / Oso ona
05/05/2017;2;13;28;Muy buena / Oso ona;16;15;Muy buena / Oso ona;;;;;;252;74;1001,7;0,51;;Muy buena / Oso ona
04/05/2017;3;18;35;Muy buena / Oso ona;23;15;Muy buena / Oso ona;;;;;;342;75;1006,6;0,18;;Muy buena / Oso ona
03/05/2017;3;16;30;Muy buena / Oso ona;21;14;Muy buena / Oso ona;;;;;;257;79;1012,5;0,27;;Muy buena / Oso ona
02/05/2017;5;19;37;Muy buena / Oso ona;26;13;Muy buena / Oso ona;;;;;;87;83;1016,7;0,3;;Muy buena / Oso ona
01/05/2017;1;11;27;Muy buena / Oso ona;14;10;Muy buena / Oso ona;;;;;;209;74;1015,8;0,18;;Muy buena / Oso ona
30/04/2017;1;7;12;Muy buena / Oso ona;8;7;Muy buena / Oso ona;;;;;;236;70;1003,5;0,87;;Muy buena / Oso ona
29/04/2017;1;8;12;Muy buena / Oso ona;10;7;Muy buena / Oso ona;;;;;;219;58;1004,8;0,87;;Muy buena / Oso ona
28/04/2017;2;12;19;Muy buena / Oso ona;15;9;Muy buena / Oso ona;;;;;;238;72;1015,5;0,44;;Muy buena / Oso ona
27/04/2017;2;13;26;Muy buena / Oso ona;16;7;Muy buena / Oso ona;;;;;;188;76;1016,2;0,46;;Muy buena / Oso ona
26/04/2017;2;14;31;Muy buena / Oso ona;16;6;Muy buena / Oso ona;;;;;;148;86;1012,2;0,35;;Muy buena / Oso ona
25/04/2017;2;21;43;Muy buena / Oso ona;25;13;Muy buena / Oso ona;;;;;;141;91;1006,3;0,18;;Muy buena / Oso ona
24/04/2017;4;24;50;Muy buena / Oso ona;29;16;Muy buena / Oso ona;;;;;;138;70;1010;0,2;;Muy buena / Oso ona
23/04/2017;2;15;35;Muy buena / Oso ona;18;15;Muy buena / Oso ona;;;;;;205;61;1014;0,24;;Muy buena / Oso ona
22/04/2017;1;13;32;Muy buena / Oso ona;16;15;Muy buena / Oso ona;;;;;;268;46;1016,6;1,17;;Muy buena / Oso ona
21/04/2017;2;16;31;Muy buena / Oso ona;20;14;Muy buena / Oso ona;;;;;;249;56;1019,9;0,21;;Muy buena / Oso ona
20/04/2017;3;15;35;Muy buena / Oso ona;19;11;Muy buena / Oso ona;;;;;;355;58;1021,9;0,24;;Muy buena / Oso ona
19/04/2017;2;13;40;Muy buena / Oso ona;17;11;Muy buena / Oso ona;;;;;;43;62;1021;0,39;;Muy buena / Oso ona
