Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
05/03/2017;1;12;27;Muy buena / Oso ona;13;56;71;Buena / Ona;24;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
04/03/2017;1;12;27;Muy buena / Oso ona;14;53;86;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
03/03/2017;1;11;27;Muy buena / Oso ona;12;66;86;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
02/03/2017;6;17;43;Muy buena / Oso ona;26;32;68;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
01/03/2017;4;16;33;Muy buena / Oso ona;22;41;75;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
28/02/2017;1;9;27;Muy buena / Oso ona;10;61;81;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
27/02/2017;2;11;34;Muy buena / Oso ona;14;51;84;Buena / Ona;18;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
26/02/2017;3;14;21;Muy buena / Oso ona;19;35;71;Buena / Ona;25;Muy buena / Oso ona;12;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
25/02/2017;3;18;36;Muy buena / Oso ona;22;35;71;Buena / Ona;21;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
24/02/2017;1;11;24;Muy buena / Oso ona;12;63;80;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
23/02/2017;4;16;24;Muy buena / Oso ona;21;31;50;Muy buena / Oso ona;33;Buena / Ona;21;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
22/02/2017;2;19;31;Muy buena / Oso ona;22;26;47;Muy buena / Oso ona;28;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
21/02/2017;3;19;45;Muy buena / Oso ona;24;29;61;Buena / Ona;21;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
20/02/2017;5;18;31;Muy buena / Oso ona;25;38;85;Buena / Ona;26;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;Buena / Ona
19/02/2017;1;15;26;Muy buena / Oso ona;16;55;82;Buena / Ona;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;Buena / Ona
