Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
09/05/2017;0,21;0,32;Muy buena / Oso ona;14;26;61;Buena / Ona;47;34;Buena / Ona;15;78;1010;14,7;0,53;Buena / Ona
08/05/2017;0,2;;Sin datos / Daturik gabe;13;20;62;Buena / Ona;40;22;Muy buena / Oso ona;39;76;1021,1;13,8;0,46;Buena / Ona
07/05/2017;0,15;0,22;Muy buena / Oso ona;6;16;33;Muy buena / Oso ona;26;14;Muy buena / Oso ona;239;71;1023,6;15;0,06;Muy buena / Oso ona
06/05/2017;;;Sin datos / Daturik gabe;6;15;32;Muy buena / Oso ona;24;20;Muy buena / Oso ona;219;63;1017,5;16;0,43;Muy buena / Oso ona
05/05/2017;0,2;;Sin datos / Daturik gabe;8;28;55;Buena / Ona;40;29;Buena / Ona;207;72;1006,6;18;0,8;Buena / Ona
04/05/2017;0,21;0,32;Muy buena / Oso ona;10;24;56;Buena / Ona;39;34;Buena / Ona;7;79;1011,8;15,3;0,58;Buena / Ona
03/05/2017;0,17;;Sin datos / Daturik gabe;5;17;48;Muy buena / Oso ona;25;20;Muy buena / Oso ona;27;85;1017,6;14,5;1,03;Muy buena / Oso ona
02/05/2017;0,15;0,16;Muy buena / Oso ona;2;10;18;Muy buena / Oso ona;13;16;Muy buena / Oso ona;306;77;1021,7;14,7;0,9;Muy buena / Oso ona
01/05/2017;0,15;0,21;Muy buena / Oso ona;2;10;24;Muy buena / Oso ona;12;15;Muy buena / Oso ona;312;57;1020,7;13,2;0,76;Muy buena / Oso ona
30/04/2017;;;Sin datos / Daturik gabe;1;6;11;Muy buena / Oso ona;8;11;Muy buena / Oso ona;212;61;1007,9;13,1;1,62;Muy buena / Oso ona
29/04/2017;0,23;;Sin datos / Daturik gabe;3;17;43;Muy buena / Oso ona;22;18;Muy buena / Oso ona;181;52;1009,2;16,3;2,72;Muy buena / Oso ona
28/04/2017;0,28;0,32;Muy buena / Oso ona;14;26;74;Buena / Ona;48;17;Muy buena / Oso ona;111;69;1020,5;9,9;0,68;Buena / Ona
27/04/2017;0,23;0,25;Muy buena / Oso ona;3;14;42;Muy buena / Oso ona;19;11;Muy buena / Oso ona;278;68;1021,3;8,6;0,55;Muy buena / Oso ona
26/04/2017;0,16;0,18;Muy buena / Oso ona;2;14;28;Muy buena / Oso ona;17;9;Muy buena / Oso ona;18;75;1017,2;9;1,75;Muy buena / Oso ona
25/04/2017;0,22;0,32;Muy buena / Oso ona;2;15;30;Muy buena / Oso ona;18;18;Muy buena / Oso ona;337;86;1011,3;12,9;0,54;Muy buena / Oso ona
24/04/2017;0,21;0,34;Muy buena / Oso ona;14;26;77;Buena / Ona;48;21;Muy buena / Oso ona;307;75;1015,2;14;0,61;Buena / Ona
23/04/2017;0,25;0,39;Muy buena / Oso ona;4;23;49;Muy buena / Oso ona;28;26;Buena / Ona;248;72;1019,2;14;0,73;Buena / Ona
22/04/2017;0,25;;Sin datos / Daturik gabe;2;17;66;Buena / Ona;20;21;Muy buena / Oso ona;220;48;1021,5;16,9;0,94;Buena / Ona
21/04/2017;0,39;0,51;Muy buena / Oso ona;12;38;72;Buena / Ona;56;35;Buena / Ona;251;54;1025;13,9;0,29;Buena / Ona
20/04/2017;0,23;0,29;Muy buena / Oso ona;3;14;38;Muy buena / Oso ona;18;23;Muy buena / Oso ona;47;55;1027,2;11,8;1,45;Muy buena / Oso ona
19/04/2017;0,18;0,2;Muy buena / Oso ona;4;17;53;Buena / Ona;23;19;Muy buena / Oso ona;53;56;1026,4;12,7;2,24;Buena / Ona
18/04/2017;0,2;0,26;Muy buena / Oso ona;12;23;68;Buena / Ona;41;21;Muy buena / Oso ona;48;77;1023,8;13,3;0,56;Buena / Ona
17/04/2017;0,19;0,29;Muy buena / Oso ona;4;13;32;Muy buena / Oso ona;20;19;Muy buena / Oso ona;28;78;1022,5;13,9;0,57;Muy buena / Oso ona
16/04/2017;0,24;0,33;Muy buena / Oso ona;3;8;29;Muy buena / Oso ona;13;13;Muy buena / Oso ona;69;77;1025,9;13,4;0,63;Muy buena / Oso ona
15/04/2017;0,24;0,27;Muy buena / Oso ona;2;10;21;Muy buena / Oso ona;13;17;Muy buena / Oso ona;306;78;1025,4;14,3;0,58;Muy buena / Oso ona
14/04/2017;0,22;0,25;Muy buena / Oso ona;2;10;23;Muy buena / Oso ona;12;20;Muy buena / Oso ona;232;82;1022,1;13,5;0,48;Muy buena / Oso ona
13/04/2017;0,24;0,29;Muy buena / Oso ona;4;16;45;Muy buena / Oso ona;23;19;Muy buena / Oso ona;221;83;1020,3;13,1;0,33;Muy buena / Oso ona
12/04/2017;0,26;0,36;Muy buena / Oso ona;12;21;56;Buena / Ona;40;27;Buena / Ona;350;82;1022,8;13;0,24;Buena / Ona
11/04/2017;0,16;0,23;Muy buena / Oso ona;2;8;18;Muy buena / Oso ona;11;24;Muy buena / Oso ona;347;78;1027;13,9;0,66;Muy buena / Oso ona
10/04/2017;0,2;0,26;Muy buena / Oso ona;3;17;38;Muy buena / Oso ona;21;30;Buena / Ona;334;83;1026,7;14;0,94;Buena / Ona
09/04/2017;0,33;0,48;Muy buena / Oso ona;6;26;46;Muy buena / Oso ona;35;28;Buena / Ona;326;79;1022;15;0,43;Buena / Ona
08/04/2017;0,26;0,36;Muy buena / Oso ona;5;32;61;Buena / Ona;41;27;Buena / Ona;227;63;1018,1;16,5;0,83;Buena / Ona
07/04/2017;0,23;0,29;Muy buena / Oso ona;9;22;59;Buena / Ona;35;25;Muy buena / Oso ona;195;80;1022,1;12,2;0,18;Buena / Ona
06/04/2017;0,24;0,27;Muy buena / Oso ona;3;9;19;Muy buena / Oso ona;13;23;Muy buena / Oso ona;350;81;1026,8;13,6;0,99;Muy buena / Oso ona
05/04/2017;0,21;0,24;Muy buena / Oso ona;3;18;34;Muy buena / Oso ona;23;17;Muy buena / Oso ona;355;84;1028,4;12,9;1,79;Muy buena / Oso ona
04/04/2017;0,25;0,29;Muy buena / Oso ona;3;11;26;Muy buena / Oso ona;15;14;Muy buena / Oso ona;314;80;1029,1;13,3;0,99;Muy buena / Oso ona
03/04/2017;0,21;0,27;Muy buena / Oso ona;11;22;60;Buena / Ona;39;21;Muy buena / Oso ona;25;81;1026,4;11,9;0,21;Buena / Ona
02/04/2017;0,2;0,24;Muy buena / Oso ona;2;8;17;Muy buena / Oso ona;11;16;Muy buena / Oso ona;279;78;1025,8;11,7;1,12;Muy buena / Oso ona
01/04/2017;0,21;0,25;Muy buena / Oso ona;2;4;7;Muy buena / Oso ona;6;15;Muy buena / Oso ona;264;74;1021,6;12,6;1,65;Muy buena / Oso ona
31/03/2017;0,22;0,27;Muy buena / Oso ona;7;20;70;Buena / Ona;31;19;Muy buena / Oso ona;322;78;1018,7;14,5;0,53;Buena / Ona
30/03/2017;0,2;0,21;Muy buena / Oso ona;3;21;44;Muy buena / Oso ona;25;18;Muy buena / Oso ona;186;44;1019,1;20,8;1,95;Muy buena / Oso ona
29/03/2017;0,28;0,39;Muy buena / Oso ona;15;37;83;Buena / Ona;60;21;Muy buena / Oso ona;197;59;1024,2;16,6;0,72;Buena / Ona
28/03/2017;0,27;0,35;Muy buena / Oso ona;4;24;64;Buena / Ona;30;13;Muy buena / Oso ona;226;65;1025,3;14,7;0,81;Buena / Ona
27/03/2017;0,2;0,23;Muy buena / Oso ona;2;12;49;Muy buena / Oso ona;16;10;Muy buena / Oso ona;193;53;1016,3;16;2,41;Muy buena / Oso ona
26/03/2017;0,23;0,27;Muy buena / Oso ona;2;13;28;Muy buena / Oso ona;16;8;Muy buena / Oso ona;171;61;1013,5;13,6;1,73;Muy buena / Oso ona
25/03/2017;0,19;0,21;Muy buena / Oso ona;2;7;23;Muy buena / Oso ona;10;6;Muy buena / Oso ona;243;88;1012,8;8,6;1,49;Muy buena / Oso ona
24/03/2017;0,25;0,31;Muy buena / Oso ona;7;25;69;Buena / Ona;36;13;Muy buena / Oso ona;75;66;1016,3;9,3;0,41;Buena / Ona
23/03/2017;0,2;0,24;Muy buena / Oso ona;2;12;46;Muy buena / Oso ona;15;4;Muy buena / Oso ona;200;55;1010;9,2;2,43;Muy buena / Oso ona
22/03/2017;0,22;0,37;Muy buena / Oso ona;3;18;67;Buena / Ona;22;13;Muy buena / Oso ona;236;79;1011,2;8,3;0,84;Buena / Ona
21/03/2017;0,27;0,33;Muy buena / Oso ona;2;22;55;Buena / Ona;26;16;Muy buena / Oso ona;233;83;1019,1;10,6;0,94;Buena / Ona
20/03/2017;0,23;0,24;Muy buena / Oso ona;3;17;32;Muy buena / Oso ona;21;25;Muy buena / Oso ona;265;76;1019,3;11,9;0,44;Muy buena / Oso ona
19/03/2017;0,24;0,32;Muy buena / Oso ona;4;16;34;Muy buena / Oso ona;23;17;Muy buena / Oso ona;353;80;1022,9;10,8;0,24;Muy buena / Oso ona
18/03/2017;0,19;0,23;Muy buena / Oso ona;2;8;15;Muy buena / Oso ona;10;16;Muy buena / Oso ona;33;76;1026,4;12;0,63;Muy buena / Oso ona
17/03/2017;0,21;0,27;Muy buena / Oso ona;3;19;29;Muy buena / Oso ona;24;27;Buena / Ona;321;81;1025,4;12,5;0,94;Buena / Ona
16/03/2017;0,27;0,41;Muy buena / Oso ona;4;31;74;Buena / Ona;37;25;Muy buena / Oso ona;182;62;1020,7;16,5;1,12;Buena / Ona
15/03/2017;0,26;0,31;Muy buena / Oso ona;5;20;53;Buena / Ona;28;26;Buena / Ona;307;86;1029;12,6;0,15;Buena / Ona
14/03/2017;0,23;0,25;Muy buena / Oso ona;3;10;20;Muy buena / Oso ona;14;24;Muy buena / Oso ona;12;85;1033;13,1;1,42;Muy buena / Oso ona
13/03/2017;0,23;0,25;Muy buena / Oso ona;2;12;31;Muy buena / Oso ona;16;26;Buena / Ona;357;83;1030,2;11,5;3,61;Buena / Ona
12/03/2017;;;Sin datos / Daturik gabe;2;5;14;Muy buena / Oso ona;7;20;Muy buena / Oso ona;289;78;1022,5;12;1,31;Muy buena / Oso ona
11/03/2017;0,21;0,34;Muy buena / Oso ona;9;28;66;Buena / Ona;42;34;Buena / Ona;268;72;1018,5;14,9;0,71;Buena / Ona
10/03/2017;0,37;0,47;Muy buena / Oso ona;32;47;81;Buena / Ona;96;39;Buena / Ona;240;81;1021,4;13,6;0,59;Buena / Ona
09/03/2017;0,21;0,29;Muy buena / Oso ona;5;21;41;Muy buena / Oso ona;28;21;Muy buena / Oso ona;120;81;1027,3;13,5;0,24;Muy buena / Oso ona
08/03/2017;0,23;0,35;Muy buena / Oso ona;8;18;58;Buena / Ona;30;19;Muy buena / Oso ona;76;79;1029,4;14,6;0,31;Buena / Ona
07/03/2017;0,21;0,26;Muy buena / Oso ona;5;14;70;Buena / Ona;22;36;Buena / Ona;261;79;1027,9;13,4;1,12;Buena / Ona
06/03/2017;0,19;0,26;Muy buena / Oso ona;1;6;19;Muy buena / Oso ona;9;34;Buena / Ona;262;71;1023,1;14,4;1,31;Buena / Ona
05/03/2017;0,23;0,31;Muy buena / Oso ona;1;13;42;Muy buena / Oso ona;15;24;Muy buena / Oso ona;205;70;1014,4;13,5;1,28;Muy buena / Oso ona
04/03/2017;0,24;0,29;Muy buena / Oso ona;2;14;59;Buena / Ona;17;12;Muy buena / Oso ona;248;61;1006,1;9,8;1,25;Buena / Ona
03/03/2017;0,22;0,25;Muy buena / Oso ona;2;12;48;Muy buena / Oso ona;16;15;Muy buena / Oso ona;199;64;1002,2;13,5;1,53;Muy buena / Oso ona
02/03/2017;0,34;0,53;Muy buena / Oso ona;23;36;64;Buena / Ona;71;31;Buena / Ona;201;74;1016,6;13,4;0,68;Buena / Ona
01/03/2017;0,19;0,24;Muy buena / Oso ona;3;13;38;Muy buena / Oso ona;18;8;Muy buena / Oso ona;209;66;1017,8;12,5;1,82;Muy buena / Oso ona
28/02/2017;0,23;0,25;Muy buena / Oso ona;2;10;26;Muy buena / Oso ona;13;21;Muy buena / Oso ona;261;78;1012,9;10,1;1,3;Muy buena / Oso ona
27/02/2017;0,23;0,32;Muy buena / Oso ona;2;13;41;Muy buena / Oso ona;17;22;Muy buena / Oso ona;214;64;1011,4;14,1;1,57;Muy buena / Oso ona
26/02/2017;0,31;0,43;Muy buena / Oso ona;5;23;44;Muy buena / Oso ona;31;28;Buena / Ona;161;77;1020,7;12,4;0,51;Buena / Ona
25/02/2017;0,31;0,38;Muy buena / Oso ona;5;24;47;Muy buena / Oso ona;31;28;Buena / Ona;183;75;1021,3;9,9;0,66;Buena / Ona
24/02/2017;0,21;0,25;Muy buena / Oso ona;2;13;25;Muy buena / Oso ona;16;15;Muy buena / Oso ona;357;83;1022,4;10;0,57;Muy buena / Oso ona
23/02/2017;0,22;0,26;Muy buena / Oso ona;3;22;52;Buena / Ona;27;35;Buena / Ona;256;81;1018;11,8;0,69;Buena / Ona
22/02/2017;0,27;0,33;Muy buena / Oso ona;13;25;51;Buena / Ona;45;25;Muy buena / Oso ona;225;87;1022,4;10,2;0,45;Buena / Ona
21/02/2017;0,3;0,42;Muy buena / Oso ona;25;34;74;Buena / Ona;72;22;Muy buena / Oso ona;151;82;1027,7;10,8;0,53;Buena / Ona
20/02/2017;0,25;0,28;Muy buena / Oso ona;9;21;76;Buena / Ona;34;17;Muy buena / Oso ona;226;82;1029,8;11,6;0,45;Buena / Ona
19/02/2017;0,22;0,23;Muy buena / Oso ona;2;10;22;Muy buena / Oso ona;12;14;Muy buena / Oso ona;255;84;1029;11,9;0,78;Muy buena / Oso ona
18/02/2017;0,28;0,36;Muy buena / Oso ona;8;23;54;Buena / Ona;36;25;Muy buena / Oso ona;270;83;1023,4;11,1;0,34;Buena / Ona
17/02/2017;0,3;0,39;Muy buena / Oso ona;22;39;74;Buena / Ona;73;29;Buena / Ona;204;77;1027,4;11,6;0,9;Buena / Ona
16/02/2017;0,25;0,27;Muy buena / Oso ona;3;23;67;Buena / Ona;27;17;Muy buena / Oso ona;210;67;1030,6;13,9;1,77;Buena / Ona
15/02/2017;0,2;0,24;Muy buena / Oso ona;3;18;57;Buena / Ona;22;9;Muy buena / Oso ona;173;51;1029,4;15,8;2,22;Buena / Ona
14/02/2017;0,2;0,24;Muy buena / Oso ona;3;15;53;Buena / Ona;20;8;Muy buena / Oso ona;174;51;1020,3;15;2,28;Buena / Ona
13/02/2017;0,22;0,24;Muy buena / Oso ona;2;16;55;Buena / Ona;20;24;Muy buena / Oso ona;171;62;1005,8;14,6;2,53;Buena / Ona
12/02/2017;0,28;0,34;Muy buena / Oso ona;2;14;40;Muy buena / Oso ona;18;25;Muy buena / Oso ona;160;73;1004,8;12,1;2,43;Muy buena / Oso ona
11/02/2017;0,31;0,36;Muy buena / Oso ona;8;28;55;Buena / Ona;41;35;Buena / Ona;86;84;1015,3;8,2;0,55;Buena / Ona
10/02/2017;0,27;0,33;Muy buena / Oso ona;3;21;54;Buena / Ona;25;12;Muy buena / Oso ona;177;48;1011,9;11,7;1,86;Buena / Ona
09/02/2017;0,31;0,36;Muy buena / Oso ona;11;39;70;Buena / Ona;57;18;Muy buena / Oso ona;155;70;1018,5;9,4;1,64;Buena / Ona
08/02/2017;0,22;0,25;Muy buena / Oso ona;2;10;28;Muy buena / Oso ona;13;20;Muy buena / Oso ona;275;75;1029,4;9,3;1,12;Muy buena / Oso ona
07/02/2017;0,15;0,3;Muy buena / Oso ona;2;9;36;Muy buena / Oso ona;12;14;Muy buena / Oso ona;253;82;1024,2;11,2;1,53;Muy buena / Oso ona
06/02/2017;0,25;0,34;Muy buena / Oso ona;32;36;78;Buena / Ona;85;18;Muy buena / Oso ona;199;86;1024,3;10,9;1,03;Buena / Ona
05/02/2017;0,24;0,45;Muy buena / Oso ona;1;3;11;Muy buena / Oso ona;5;15;Muy buena / Oso ona;266;72;1014,9;9,9;2,61;Muy buena / Oso ona
04/02/2017;0,28;0,48;Muy buena / Oso ona;2;18;48;Muy buena / Oso ona;21;17;Muy buena / Oso ona;226;82;1007,2;12,1;0,68;Muy buena / Oso ona
03/02/2017;0,19;0,22;Muy buena / Oso ona;1;9;34;Muy buena / Oso ona;12;15;Muy buena / Oso ona;200;48;1006;15,2;1,87;Muy buena / Oso ona
02/02/2017;0,18;0,22;Muy buena / Oso ona;1;9;22;Muy buena / Oso ona;11;10;Muy buena / Oso ona;185;58;1006;14,7;2,95;Muy buena / Oso ona
01/02/2017;;;Sin datos / Daturik gabe;1;10;18;Muy buena / Oso ona;13;11;Muy buena / Oso ona;175;49;1012,2;16,8;3,4;Muy buena / Oso ona
31/01/2017;0,17;0,23;Muy buena / Oso ona;2;11;30;Muy buena / Oso ona;14;7;Muy buena / Oso ona;174;47;1013,3;17,1;3,33;Muy buena / Oso ona
30/01/2017;0,22;0,32;Muy buena / Oso ona;3;13;38;Muy buena / Oso ona;18;6;Muy buena / Oso ona;181;61;1017,1;16,8;2,54;Muy buena / Oso ona
29/01/2017;0,18;0,38;Muy buena / Oso ona;1;7;13;Muy buena / Oso ona;9;7;Muy buena / Oso ona;197;58;1020,1;14,3;2,92;Muy buena / Oso ona
28/01/2017;0,28;0,36;Muy buena / Oso ona;2;16;62;Buena / Ona;19;14;Muy buena / Oso ona;226;66;1021;10,2;1,11;Buena / Ona
27/01/2017;0,24;0,26;Muy buena / Oso ona;1;11;17;Muy buena / Oso ona;13;13;Muy buena / Oso ona;175;57;1008,3;11,7;3,05;Muy buena / Oso ona
26/01/2017;0,27;0,37;Muy buena / Oso ona;2;23;52;Buena / Ona;26;22;Muy buena / Oso ona;172;59;1011,3;7,7;3,3;Buena / Ona
25/01/2017;0,3;0,42;Muy buena / Oso ona;23;37;70;Buena / Ona;73;20;Muy buena / Oso ona;139;76;1023,8;4,7;0,96;Buena / Ona
24/01/2017;0,35;0,45;Muy buena / Oso ona;46;31;104;Mejorable / Hobetzeko modukoa;101;26;Buena / Ona;220;78;1028,1;7,2;0,9;Mejorable / Hobetzeko modukoa
23/01/2017;0,28;0,31;Muy buena / Oso ona;2;12;24;Muy buena / Oso ona;15;17;Muy buena / Oso ona;254;76;1024,9;9,7;1,29;Muy buena / Oso ona
22/01/2017;0,36;0,46;Muy buena / Oso ona;9;25;49;Muy buena / Oso ona;38;27;Buena / Ona;210;86;1023;8,1;1,08;Buena / Ona
21/01/2017;0,5;0,68;Muy buena / Oso ona;20;40;58;Buena / Ona;71;35;Buena / Ona;181;82;1022,5;6,1;0,84;Buena / Ona
20/01/2017;0,51;0,68;Muy buena / Oso ona;43;42;66;Buena / Ona;107;42;Buena / Ona;165;82;1025;3,4;0,98;Buena / Ona
19/01/2017;0,33;0,36;Muy buena / Oso ona;21;42;64;Buena / Ona;73;27;Buena / Ona;157;75;1026,9;3,9;1,23;Buena / Ona
18/01/2017;0,28;0,29;Muy buena / Oso ona;3;21;39;Muy buena / Oso ona;25;42;Buena / Ona;17;67;1027,9;4,4;2,09;Buena / Ona
17/01/2017;0,23;0,26;Muy buena / Oso ona;5;14;62;Buena / Ona;23;7;Muy buena / Oso ona;39;64;1029,2;7,2;3,65;Buena / Ona
16/01/2017;0,17;0,22;Muy buena / Oso ona;2;12;23;Muy buena / Oso ona;15;16;Muy buena / Oso ona;345;88;1027,9;11,4;2,02;Muy buena / Oso ona
15/01/2017;0,18;0,2;Muy buena / Oso ona;1;7;14;Muy buena / Oso ona;9;14;Muy buena / Oso ona;319;81;1030,9;10,3;0,73;Muy buena / Oso ona
14/01/2017;0,18;0,22;Muy buena / Oso ona;1;7;16;Muy buena / Oso ona;9;13;Muy buena / Oso ona;282;77;1029,8;8,4;1,09;Muy buena / Oso ona
13/01/2017;0,18;0,21;Muy buena / Oso ona;1;7;26;Muy buena / Oso ona;9;18;Muy buena / Oso ona;291;72;1025,3;9,1;1,02;Muy buena / Oso ona
12/01/2017;0,28;0,47;Muy buena / Oso ona;27;21;60;Buena / Ona;62;21;Muy buena / Oso ona;247;86;1022,4;12,1;0,75;Buena / Ona
11/01/2017;0,19;0,2;Muy buena / Oso ona;1;5;7;Muy buena / Oso ona;7;8;Muy buena / Oso ona;256;95;1025,8;12,3;1,66;Muy buena / Oso ona
10/01/2017;0,17;0,31;Muy buena / Oso ona;1;11;39;Muy buena / Oso ona;13;16;Muy buena / Oso ona;281;91;1022,3;10,8;0,6;Muy buena / Oso ona
09/01/2017;0,37;0,48;Muy buena / Oso ona;40;53;75;Buena / Ona;114;26;Buena / Ona;180;78;1030,1;9,2;0,97;Buena / Ona
08/01/2017;0,43;0,67;Muy buena / Oso ona;10;40;63;Buena / Ona;56;35;Buena / Ona;133;67;1032,9;6,4;1,05;Buena / Ona
07/01/2017;0,45;0,59;Muy buena / Oso ona;18;40;69;Buena / Ona;67;32;Buena / Ona;148;80;1032,6;3,7;1,32;Buena / Ona
06/01/2017;0,42;0,5;Muy buena / Oso ona;12;37;57;Buena / Ona;56;23;Muy buena / Oso ona;167;80;1032,7;3,8;0,7;Buena / Ona
05/01/2017;0,48;0,6;Muy buena / Oso ona;32;41;67;Buena / Ona;90;46;Buena / Ona;169;77;1031,8;5,8;1,43;Buena / Ona
04/01/2017;0,36;0,52;Muy buena / Oso ona;65;36;63;Buena / Ona;135;29;Buena / Ona;184;88;1029,4;6,3;0,73;Buena / Ona
03/01/2017;0,36;0,47;Muy buena / Oso ona;28;36;51;Buena / Ona;79;30;Buena / Ona;212;84;1026,3;6,2;0,94;Buena / Ona
02/01/2017;0,28;0,39;Muy buena / Oso ona;9;25;51;Buena / Ona;38;17;Muy buena / Oso ona;188;62;1020,9;8,4;2,22;Buena / Ona
01/01/2017;0,27;0,34;Muy buena / Oso ona;4;20;44;Muy buena / Oso ona;26;16;Muy buena / Oso ona;171;70;1024,4;5,9;1,79;Muy buena / Oso ona
