Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
13/08/2017;;;Sin datos / Daturik gabe;3;12;25;Muy buena / Oso ona;17;16;Muy buena / Oso ona;106;79;1020,4;19,3;0,38;Muy buena / Oso ona
12/08/2017;;;Sin datos / Daturik gabe;5;14;34;Muy buena / Oso ona;21;18;Muy buena / Oso ona;45;74;1024,6;18,4;0,58;Muy buena / Oso ona
11/08/2017;;;Sin datos / Daturik gabe;2;9;20;Muy buena / Oso ona;12;17;Muy buena / Oso ona;310;67;1026,5;19;0,85;Muy buena / Oso ona
10/08/2017;;;Sin datos / Daturik gabe;2;7;13;Muy buena / Oso ona;10;22;Muy buena / Oso ona;261;74;1026,5;18;1,24;Muy buena / Oso ona
09/08/2017;0,14;;Sin datos / Daturik gabe;2;6;9;Muy buena / Oso ona;8;20;Muy buena / Oso ona;;;;;;Muy buena / Oso ona
08/08/2017;0,15;;Sin datos / Daturik gabe;2;6;12;Muy buena / Oso ona;9;17;Muy buena / Oso ona;260;73;1020,5;18,4;1,17;Muy buena / Oso ona
07/08/2017;0,12;0,18;Muy buena / Oso ona;2;9;18;Muy buena / Oso ona;12;19;Muy buena / Oso ona;;;;;;Muy buena / Oso ona
06/08/2017;;;Sin datos / Daturik gabe;2;4;10;Muy buena / Oso ona;7;14;Muy buena / Oso ona;17;62;1023,8;21,7;2,58;Muy buena / Oso ona
05/08/2017;;;Sin datos / Daturik gabe;2;8;15;Muy buena / Oso ona;11;11;Muy buena / Oso ona;349;93;1022,4;19,4;1,52;Muy buena / Oso ona
04/08/2017;0,15;0,18;Muy buena / Oso ona;8;18;53;Buena / Ona;31;27;Buena / Ona;12;70;1018,7;25,1;0,44;Buena / Ona
03/08/2017;0,15;0,25;Muy buena / Oso ona;9;19;46;Muy buena / Oso ona;34;25;Muy buena / Oso ona;10;79;1019,7;22,1;0,38;Muy buena / Oso ona
02/08/2017;0,2;0,25;Muy buena / Oso ona;6;15;28;Muy buena / Oso ona;25;23;Muy buena / Oso ona;310;78;1019,4;21,2;0,33;Muy buena / Oso ona
01/08/2017;;;Sin datos / Daturik gabe;2;11;24;Muy buena / Oso ona;15;15;Muy buena / Oso ona;319;83;1017,8;20,4;0,25;Muy buena / Oso ona
31/07/2017;0,11;0,31;Muy buena / Oso ona;2;8;14;Muy buena / Oso ona;10;12;Muy buena / Oso ona;228;90;1014,6;19;0,76;Muy buena / Oso ona
30/07/2017;0,24;;Sin datos / Daturik gabe;2;11;24;Muy buena / Oso ona;15;20;Muy buena / Oso ona;224;83;1016,2;20,5;0,57;Muy buena / Oso ona
29/07/2017;0,18;0,28;Muy buena / Oso ona;5;18;39;Muy buena / Oso ona;25;21;Muy buena / Oso ona;83;66;1015,7;23,3;0,2;Muy buena / Oso ona
28/07/2017;0,17;;Sin datos / Daturik gabe;4;12;36;Muy buena / Oso ona;17;14;Muy buena / Oso ona;16;82;1018,8;21,2;0,78;Muy buena / Oso ona
27/07/2017;0,2;0,29;Muy buena / Oso ona;12;18;52;Buena / Ona;36;27;Buena / Ona;340;79;1017,3;21,3;0,5;Buena / Ona
26/07/2017;0,15;;Sin datos / Daturik gabe;8;17;43;Muy buena / Oso ona;29;21;Muy buena / Oso ona;305;74;1018,8;19,8;0,42;Muy buena / Oso ona
25/07/2017;;;Sin datos / Daturik gabe;2;5;12;Muy buena / Oso ona;8;12;Muy buena / Oso ona;279;75;1022,7;19,4;1,25;Muy buena / Oso ona
24/07/2017;;;Sin datos / Daturik gabe;2;4;9;Muy buena / Oso ona;8;13;Muy buena / Oso ona;266;86;1023,8;19,4;1,19;Muy buena / Oso ona
23/07/2017;0,14;;Sin datos / Daturik gabe;3;9;33;Muy buena / Oso ona;13;18;Muy buena / Oso ona;320;68;1022,4;21;0,83;Muy buena / Oso ona
22/07/2017;;;Sin datos / Daturik gabe;8;16;37;Muy buena / Oso ona;28;18;Muy buena / Oso ona;31;74;1018;19,5;0,22;Muy buena / Oso ona
21/07/2017;;;Sin datos / Daturik gabe;3;14;35;Muy buena / Oso ona;19;12;Muy buena / Oso ona;294;82;1015,4;18,1;0,68;Muy buena / Oso ona
20/07/2017;0,19;0,3;Muy buena / Oso ona;3;8;12;Muy buena / Oso ona;12;17;Muy buena / Oso ona;276;80;1018,7;18,6;0,83;Muy buena / Oso ona
19/07/2017;0,13;0,14;Muy buena / Oso ona;3;12;36;Muy buena / Oso ona;16;25;Muy buena / Oso ona;9;76;1014,4;21,8;0,54;Muy buena / Oso ona
18/07/2017;0,16;0,19;Muy buena / Oso ona;3;13;30;Muy buena / Oso ona;17;29;Buena / Ona;290;76;1010,8;22,8;0,68;Buena / Ona
17/07/2017;0,15;0,22;Muy buena / Oso ona;9;30;61;Buena / Ona;43;36;Buena / Ona;235;75;1013,9;23,6;0,39;Buena / Ona
16/07/2017;;;Sin datos / Daturik gabe;4;13;31;Muy buena / Oso ona;19;19;Muy buena / Oso ona;204;76;1021,7;21,4;0,2;Muy buena / Oso ona
15/07/2017;0,15;;Sin datos / Daturik gabe;2;5;18;Muy buena / Oso ona;8;10;Muy buena / Oso ona;29;75;1024,6;20,3;1,48;Muy buena / Oso ona
14/07/2017;;;Sin datos / Daturik gabe;2;6;13;Muy buena / Oso ona;10;7;Muy buena / Oso ona;27;74;1024,8;20,8;1,55;Muy buena / Oso ona
13/07/2017;;;Sin datos / Daturik gabe;3;8;14;Muy buena / Oso ona;12;15;Muy buena / Oso ona;360;81;1024;20,2;1,03;Muy buena / Oso ona
12/07/2017;;;Sin datos / Daturik gabe;9;18;43;Muy buena / Oso ona;31;20;Muy buena / Oso ona;332;78;1022,2;20,8;0,27;Muy buena / Oso ona
11/07/2017;0,21;;Sin datos / Daturik gabe;8;14;36;Muy buena / Oso ona;27;16;Muy buena / Oso ona;11;79;1018,3;20,3;0,2;Muy buena / Oso ona
10/07/2017;0,13;0,22;Muy buena / Oso ona;3;7;16;Muy buena / Oso ona;11;15;Muy buena / Oso ona;329;83;1018;20;1,1;Muy buena / Oso ona
09/07/2017;0,17;0,29;Muy buena / Oso ona;2;7;11;Muy buena / Oso ona;10;18;Muy buena / Oso ona;325;79;1016,8;20,4;1,56;Muy buena / Oso ona
08/07/2017;0,19;;Sin datos / Daturik gabe;2;9;19;Muy buena / Oso ona;12;24;Muy buena / Oso ona;327;87;1018,7;20,2;1,07;Muy buena / Oso ona
07/07/2017;;0,21;Muy buena / Oso ona;4;18;47;Muy buena / Oso ona;24;27;Buena / Ona;348;84;1019,2;20,6;1,41;Buena / Ona
06/07/2017;;;Sin datos / Daturik gabe;3;15;39;Muy buena / Oso ona;20;27;Buena / Ona;349;81;1017;20,4;0,76;Buena / Ona
05/07/2017;0,17;0,25;Muy buena / Oso ona;3;13;33;Muy buena / Oso ona;18;29;Buena / Ona;;;;;;Buena / Ona
04/07/2017;0,22;0,27;Muy buena / Oso ona;12;22;39;Muy buena / Oso ona;40;26;Buena / Ona;296;74;1015,4;22,6;0,27;Buena / Ona
03/07/2017;0,16;;Sin datos / Daturik gabe;8;14;33;Muy buena / Oso ona;26;12;Muy buena / Oso ona;67;80;1025;19,1;1,06;Muy buena / Oso ona
02/07/2017;;;Sin datos / Daturik gabe;3;8;17;Muy buena / Oso ona;12;11;Muy buena / Oso ona;336;77;1029;18,1;0,27;Muy buena / Oso ona
01/07/2017;;;Sin datos / Daturik gabe;2;4;8;Muy buena / Oso ona;6;20;Muy buena / Oso ona;259;77;1027,1;16,3;1,21;Muy buena / Oso ona
30/06/2017;0,12;;Sin datos / Daturik gabe;2;4;6;Muy buena / Oso ona;7;16;Muy buena / Oso ona;271;73;1018,6;16,3;1,77;Muy buena / Oso ona
29/06/2017;;;Sin datos / Daturik gabe;2;5;7;Muy buena / Oso ona;8;18;Muy buena / Oso ona;282;55;1011,9;18,5;1,47;Muy buena / Oso ona
28/06/2017;0,14;0,19;Muy buena / Oso ona;3;8;17;Muy buena / Oso ona;12;13;Muy buena / Oso ona;265;69;1007,5;20;0,78;Muy buena / Oso ona
27/06/2017;0,19;0,26;Muy buena / Oso ona;8;15;45;Muy buena / Oso ona;27;19;Muy buena / Oso ona;278;81;1010,4;19,8;0,66;Muy buena / Oso ona
26/06/2017;0,16;0,21;Muy buena / Oso ona;6;14;33;Muy buena / Oso ona;22;23;Muy buena / Oso ona;301;80;1011,7;21,3;0,86;Muy buena / Oso ona
25/06/2017;0,18;0,25;Muy buena / Oso ona;5;12;29;Muy buena / Oso ona;20;24;Muy buena / Oso ona;63;80;1018,1;20,3;0,55;Muy buena / Oso ona
24/06/2017;;;Sin datos / Daturik gabe;2;10;18;Muy buena / Oso ona;14;25;Muy buena / Oso ona;310;82;1023,2;20,3;0,59;Muy buena / Oso ona
23/06/2017;0,16;;Sin datos / Daturik gabe;3;13;49;Muy buena / Oso ona;18;35;Buena / Ona;343;78;1024,6;20,7;0,7;Buena / Ona
22/06/2017;;;Sin datos / Daturik gabe;2;9;17;Muy buena / Oso ona;12;36;Buena / Ona;326;83;1020;20,8;1,05;Buena / Ona
21/06/2017;0,27;0,43;Muy buena / Oso ona;7;33;76;Buena / Ona;43;50;Buena / Ona;350;64;1015;26,6;0,5;Buena / Ona
20/06/2017;0,27;0,33;Muy buena / Oso ona;3;27;60;Buena / Ona;32;32;Buena / Ona;300;61;1016,3;25,1;0,25;Buena / Ona
19/06/2017;0,26;;Sin datos / Daturik gabe;2;21;40;Muy buena / Oso ona;25;32;Buena / Ona;207;63;1014,1;25,6;0,83;Buena / Ona
18/06/2017;0,32;0,44;Muy buena / Oso ona;4;25;62;Buena / Ona;31;45;Buena / Ona;268;75;1015,3;22,1;0,29;Buena / Ona
17/06/2017;0,23;0,3;Muy buena / Oso ona;6;15;33;Muy buena / Oso ona;25;28;Buena / Ona;293;80;1021,7;20,1;0,16;Buena / Ona
16/06/2017;;;Sin datos / Daturik gabe;3;10;39;Muy buena / Oso ona;14;21;Muy buena / Oso ona;23;83;1023,6;19,2;0,78;Muy buena / Oso ona
15/06/2017;0,18;0,27;Muy buena / Oso ona;3;10;21;Muy buena / Oso ona;14;17;Muy buena / Oso ona;319;86;1020;18,7;0,73;Muy buena / Oso ona
