Date;Benceno (µg/m3);Etilbenceno (µg/m3);Ortoxileno (µg/m3);Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
02/10/2017;0,63;0,79;3,32;5,73;165;91;1021,1;0;42,1;19,3;0,08;
01/10/2017;0,47;0,4;1,86;2,61;151;90;1019,9;0;17,7;17,1;0,52;
30/09/2017;0,3;0,21;1,01;1,51;337;90;1018,9;0;41,6;16,8;0,31;
29/09/2017;0,38;0,65;2,6;3,83;338;80;1017,8;0;106;19,1;0,6;
28/09/2017;0,5;0,8;3,17;3,6;147;69;1016,7;0;104,9;20,9;0,2;
27/09/2017;0,36;0,53;2,15;3,48;152;68;1015,4;0;120,2;19,1;0,08;
26/09/2017;0,26;0,31;1,36;2,6;119;79;1017,8;0;100,2;17,6;0,26;
25/09/2017;0,27;0,27;1,17;2,3;319;83;1018,7;0;75,2;17,4;0,38;
24/09/2017;0,47;0,31;1,31;1,79;340;78;1015;0;129,8;19,1;0,62;
23/09/2017;0,59;0,34;1,35;1,86;160;70;1014,6;0;137,4;20,9;0,17;
22/09/2017;0,4;0,4;1,71;2,2;341;88;1018,2;0;42,4;16,7;0,55;
21/09/2017;0,53;0,68;2,56;4,02;347;80;1014,8;0;123,5;16,9;0,2;
20/09/2017;1,16;0,7;2,67;3,73;123;69;1016,1;0;148,1;16,5;0,2;
19/09/2017;0,27;0,39;1,57;3,25;324;77;1021,3;0;152,4;15,9;0,22;
18/09/2017;0,3;0,46;1,7;3,29;242;90;1016,5;0,1;42,3;15;0,03;
17/09/2017;0,32;0,15;0,52;0,99;317;71;1014,6;0;118,6;15,4;0,4;
16/09/2017;0,38;0,17;0,59;1,11;231;81;1013,7;0;97,1;13;0,11;
15/09/2017;0,31;0,53;2,12;3,01;219;83;1014,9;0,1;89;13,3;0,19;
14/09/2017;0,25;0,33;1,28;3,24;324;74;1018,5;0;83,3;16,6;1;
13/09/2017;0,35;0,52;2,38;3,14;5;77;1017,2;0;172,2;19,3;0,22;
12/09/2017;0,27;0,28;1,04;1,9;287;77;1015,7;0;101,7;17,7;0,22;
11/09/2017;0,28;0,24;0,89;1,53;317;80;1011,3;0;97,3;17,8;1,31;
10/09/2017;0,2;0,14;0,42;0,74;297;73;1010,7;0,1;121,5;17,2;0,78;
09/09/2017;0,21;0,14;0,38;0,77;305;76;1007,3;0,1;108,4;16,8;1,29;
08/09/2017;0,33;0,42;1,59;2,02;353;71;1011,5;0;168,8;18,3;0,21;
07/09/2017;0,25;0,66;2,62;3,27;338;72;1018,9;0;115,7;18,2;0,18;
06/09/2017;0,38;0,52;2,11;3,57;321;82;1022,8;0,1;69;18,5;0,46;
05/09/2017;0,45;0,47;1,78;2,45;339;78;1019,5;0;156,6;20,4;0,54;
04/09/2017;0,2;0,23;1,17;2,12;339;82;1013,9;0;95,5;19,9;0,4;
03/09/2017;0,34;0,14;0,67;1,31;28;70;1011,6;0;155,7;20,1;0,13;
02/09/2017;0,21;0,18;1,14;1,67;29;73;1020;0;196,1;17,9;0,19;
01/09/2017;1,69;1,97;8,73;11,61;315;74;1020;0;141,7;17,8;0,76;
31/08/2017;0,24;0,15;0,59;1,39;340;79;1018,5;0;113;17,7;0,21;
30/08/2017;0,23;0,17;0,77;1,76;328;84;1011,9;0,1;120,4;19,7;0,8;
29/08/2017;0,28;0,28;1,19;2,12;332;79;1010,3;0;182,8;21;0,32;
28/08/2017;0,32;0,23;1,09;1,77;161;72;1010,5;0;64,8;22,3;0,62;
27/08/2017;0,42;0,24;1,14;1,99;164;75;1010,4;0;55,4;22,3;0,53;
26/08/2017;0,85;0,2;0,8;1,69;355;77;1010,4;0;130,5;22,6;0,45;
25/08/2017;0,2;0,17;1,35;1,43;342;79;1012,3;0;162,6;21,5;0,63;
24/08/2017;0,16;0,21;0,89;1,15;339;82;1013;0;143,9;21,3;0,9;
23/08/2017;0,2;0,19;0,94;1,72;346;76;1014,4;0;136,1;21,3;0,41;
22/08/2017;0,36;0,45;1,93;2,55;338;70;1012,5;0;212,7;22,7;0,91;
21/08/2017;0,48;0,4;1,7;2,41;119;60;1012,7;0;209,7;23,9;0,61;
20/08/2017;0,97;0,13;0,43;1,46;84;69;1021;0;237;19,5;0,15;
19/08/2017;0,27;0,14;0,47;1,17;359;77;1020,2;0;142,3;20;0,46;
18/08/2017;0,6;0,32;1,62;2,87;339;82;1017,4;0;79,7;20,6;0,5;
17/08/2017;0,2;0,24;1,09;1,6;339;71;1016,8;0;237,9;21,2;0,59;
16/08/2017;0,51;0,25;1,07;1,61;336;74;1018,3;0;190,4;21,2;0,64;
15/08/2017;0,24;0,4;1,89;1,58;339;82;1016,1;0;51,2;20,4;0,78;
14/08/2017;0,34;0,26;1,12;1,66;67;70;1010,2;0;230,1;23,5;0,14;
13/08/2017;0,14;0,14;0,34;0,94;328;74;1016,1;0;166,7;19,1;0,23;
12/08/2017;0,15;0,14;0,42;1,04;316;68;1020;0;245,7;18,1;0,29;
11/08/2017;0,17;0,17;0,64;1,69;338;70;1022;0;241,8;17,6;0,51;
10/08/2017;0,17;0,16;0,59;1,11;318;73;1022,9;0;70,7;17,2;1,32;
09/08/2017;0,13;0,14;0,54;1,12;318;68;1018,6;0;175,8;17,5;1,39;
08/08/2017;0,12;0,17;0,82;1,47;316;71;1016;0;85,9;17,9;0,81;
07/08/2017;0,32;0,21;0,89;1,74;316;77;1012,1;0;133,9;19,9;0,84;
06/08/2017;0,15;0,14;0,45;0,83;337;71;1018,8;0;148,9;19,7;0,81;
05/08/2017;0,13;0,14;0,33;0,7;333;91;1018,1;0,1;55,5;19;1,2;
04/08/2017;0,24;0,28;1,04;1,7;348;67;1014,2;0;266,2;25,3;0,69;
03/08/2017;0,49;0,34;1,29;2,31;338;76;1015,2;0;264,3;22;0,78;
02/08/2017;0,23;0,33;1,49;2,25;341;76;1014,9;0;263;21;0,58;
01/08/2017;0,21;0,32;1,34;2,19;10;81;1013,3;0;102,5;20,1;0,33;
31/07/2017;0,35;0,17;0,88;1,63;318;88;1010,2;0;59,6;18,5;0,3;
30/07/2017;0,19;0,16;0,64;1,37;302;82;1011,8;0;46,5;19,6;0,33;
29/07/2017;0,29;0,2;0,79;1,34;14;62;1011,6;0;276,1;23,5;0,27;
28/07/2017;0,2;0,39;1,71;1,69;337;81;1014,6;0;139,1;21;0,59;
27/07/2017;0,43;0,64;2,56;2,68;341;77;1012,9;0;273;20,8;0,79;
26/07/2017;0,4;1,6;5,55;2,39;346;75;1014,3;0;265,5;19,2;0,45;
25/07/2017;0,14;0,48;1,83;1,43;321;76;1018,1;0;103,9;18,4;0,92;
24/07/2017;0,13;0,15;0,62;1,28;319;86;1019,3;0;91,7;18,5;1,55;
23/07/2017;0,15;0,14;0,33;0,75;346;69;1017,8;0;264,5;20,2;0,66;
22/07/2017;0,4;0,24;1;1,62;332;75;1013,6;0;202,4;18,6;0,49;
21/07/2017;0,25;0,67;2,96;3,38;331;83;1011;0;78,2;17,3;0,36;
20/07/2017;0,19;0,32;1,45;1,81;327;82;1014,3;0;74,3;17,8;0,73;
19/07/2017;0,17;0,31;1,28;2,63;337;72;1009,9;0;193,2;21,8;0,71;
18/07/2017;0,66;0,49;2,18;2,66;340;71;1006,4;0;236,5;23,6;1;
17/07/2017;0,46;0,56;2,29;2,91;356;70;1009,4;0;240,7;24,9;0,38;
16/07/2017;0,39;0,24;1,05;1,63;332;72;1017;0;302;21,5;0,65;
15/07/2017;1,26;0,32;1,26;2,04;14;74;1019,9;0;165,2;20,2;0,67;
14/07/2017;0,15;0,57;2,27;1,86;1;72;1020,2;0;109,8;20,2;0,58;
13/07/2017;0,22;0,41;2,52;2,38;343;80;1019,4;0;73,5;19,7;0,71;
12/07/2017;0,3;0,73;3,14;4,04;344;77;1017,7;0;127,1;19,8;0,47;
11/07/2017;0,22;0,37;1,52;2,31;338;76;1013,7;0;292;20;0,58;
10/07/2017;0,15;0,39;1,46;2,33;335;84;1013,5;0;127,3;19;1;
09/07/2017;0,2;0,21;0,75;1,28;343;83;1012,4;0;237,4;19,5;1,08;
08/07/2017;0,15;0,19;0,83;0,99;342;88;1014,3;0;93,6;19,3;1,24;
07/07/2017;0,17;0,7;2,81;2,84;340;81;1014,7;0;170;20,4;1,06;
06/07/2017;0,3;0,58;2,2;2,65;347;76;1012,4;0;185,5;21,1;0,66;
05/07/2017;0,22;0,52;1,95;2,22;342;66;1009,4;0;238,7;22,8;1,17;
04/07/2017;0,46;0,81;3,08;4,19;22;65;1010,5;0;327,5;25,4;0,25;
03/07/2017;0,23;0,22;0,82;1,76;59;74;1020,4;0;306,2;19,7;0,42;
02/07/2017;0,15;0,17;0,62;1,62;340;74;1024,5;0;248,8;17,5;0,41;
01/07/2017;0,12;0,25;0,91;0,9;315;76;1022,6;0;83;15,4;1,41;
30/06/2017;0,14;0,23;0,87;1,43;285;75;1014,3;0,1;86;15,3;1,05;
29/06/2017;0,21;0,36;1,24;0,92;303;53;1007,5;0;199,3;18,1;1,86;
28/06/2017;0,38;0,96;3,5;2,52;309;69;1003,2;0;220,8;19,2;1,34;
27/06/2017;0,59;1;3,85;5,54;351;81;1006,1;0,1;78;19,5;0,49;
26/06/2017;0,32;0,35;1,39;1,83;347;81;1007,3;0;190,1;20,9;0,65;
25/06/2017;0,3;0,23;0,89;1,28;71;79;1013,7;0;109,8;19,9;0,16;
24/06/2017;0,4;0,34;1,23;1,81;344;85;1018,8;0;68,5;19,2;0,34;
23/06/2017;0,38;0,38;1,72;2,53;340;80;1020,1;0;68,2;20;0,64;
22/06/2017;0,19;0,49;2,02;1,47;350;84;1015,6;0;54;20,2;1,32;
21/06/2017;0,5;0,96;3,71;6,59;357;59;1010,7;0;312,4;27,9;0,55;
20/06/2017;0,41;0,94;3,7;7,69;351;55;1011,9;0;267,3;26,7;0,24;
19/06/2017;0,26;0,63;2,36;2,59;204;59;1009,9;0;309,5;26,6;0,21;
18/06/2017;0,34;0,42;1,59;1,78;352;69;1010,8;0;337,1;23,6;0,3;
17/06/2017;0,36;0,35;1,32;1,65;315;75;1017,4;0;330,3;21,2;0,39;
16/06/2017;0,31;0,49;2;2,33;28;81;1021,2;0;126,9;19,3;0,43;
15/06/2017;0,27;0,47;1,94;2,26;330;88;1018,5;0;52;17,9;1,1;
14/06/2017;0,43;0,47;1,92;2,23;341;86;1011,9;0,1;182;19,9;1;
13/06/2017;0,48;0,61;2,36;3,74;344;78;1011,4;0;182,7;19,9;0,52;
12/06/2017;0,29;0,27;1,25;1,61;17;83;1016,2;0;60;18,9;0,52;
11/06/2017;0,19;0,21;0,78;1,04;340;81;1016,3;0;217,7;19,8;1,07;
10/06/2017;0,25;0,28;1,03;1,48;343;80;1014,6;0;273,6;19,7;0,55;
09/06/2017;0,27;0,47;1,8;2,03;327;79;1013,9;0;204,2;18,2;0,5;
08/06/2017;0,49;0,61;2,31;3,22;335;72;1010,4;0,1;273,5;19,7;0,28;
07/06/2017;0,46;0,48;1,76;2,38;359;65;1017,3;0;324,8;19;0,12;
06/06/2017;0,25;0,26;0,97;1,2;327;72;1015,9;0;149,6;16,2;1,7;
05/06/2017;0,82;0,34;1,27;3,33;336;70;1012,2;0;333,7;18;0,16;
04/06/2017;0,23;0,21;0,87;1,33;319;90;1017,7;0;34,1;13,5;0,33;
03/06/2017;0,32;0,44;1,85;1,96;325;89;1016,9;0,1;47,5;15,3;0,49;
02/06/2017;0,35;0,52;2,04;3,06;341;88;1015,1;0;48,6;17,6;0,88;
01/06/2017;0,34;0,5;1,86;2,79;343;78;1014,6;0;293,5;20,4;0,73;
31/05/2017;0,38;0,43;1,74;3,16;337;75;1016;0;237,7;19,8;0,72;
30/05/2017;0,26;0,43;1,75;2,52;325;83;1016;0;78,5;17,3;0,64;
29/05/2017;0,22;0,31;1,32;1,39;347;90;1012,5;0,1;91,8;17;0,95;
28/05/2017;0,32;0,27;0,94;1,15;347;82;1010,1;0;102,9;18,8;0,86;
27/05/2017;0,32;0,45;1,63;1,84;6;78;1009,9;0;228,1;20,4;0,49;
26/05/2017;0,38;0,5;1,82;2,27;352;69;1009;0;265,2;21,3;0,37;
25/05/2017;0,43;0,79;2,91;3,05;28;58;1008,9;0;303,2;25,7;0,1;
24/05/2017;0,39;0,67;2,47;3,08;341;68;1015,2;0;304,4;21,4;0,35;
23/05/2017;0,43;0,42;1,62;2,56;333;70;1020;0;288,1;17,2;0,8;
22/05/2017;0,32;0,53;1,86;3,54;344;72;1014,8;0;260,7;18;1,49;
21/05/2017;0,41;0,33;1,18;1,4;140;54;1011,3;0;218,3;22,1;0,52;
20/05/2017;0,34;0,26;0,86;1,09;9;69;1020,8;0;213,3;14,5;0,21;
19/05/2017;0,26;0,34;1,25;2,99;325;69;1018,7;0;178,3;12,8;1,04;
18/05/2017;0,31;0,38;1,44;1,87;326;79;1015,5;0,1;131,4;13,2;1,62;
17/05/2017;0,65;0,73;2,73;5,48;344;81;1015,4;0;61,3;16,4;0,46;
16/05/2017;0,43;0,61;2,19;3,36;344;66;1020,2;0;190,7;20;0,53;
15/05/2017;0,35;0,55;2,05;2,59;347;59;1021,8;0;253,4;20;0,31;
14/05/2017;0,53;0,32;1,17;1,47;300;59;1019;0;264,9;19,5;0,19;
13/05/2017;0,27;0,25;0,8;1,12;6;69;1011,1;0;211,5;17,5;0,35;
12/05/2017;0,28;0,23;0,63;0,79;223;60;1000;0;119,8;18,1;0,8;
11/05/2017;0,18;0,2;0,55;0,55;210;51;992;0;135,3;19,1;1;
10/05/2017;0,56;0,99;3,65;4,13;330;71;996,1;0;214;17,6;0,6;
09/05/2017;0,52;0,61;2,15;3,29;349;72;1005,5;0;188,8;15,6;0,23;
08/05/2017;0,47;0,47;1,82;2,31;325;66;1016,5;0;230,8;14,8;0,33;
07/05/2017;0,43;0,32;1,18;1,35;334;61;1019;0;246,7;16,3;0,35;
06/05/2017;0,3;0,26;0,88;0,92;309;60;1013;0;262,4;15,9;0,54;
05/05/2017;0,62;0,61;2,27;2,37;357;70;1002,3;0;147,6;17,9;0,1;
04/05/2017;1,04;0,59;2,02;2,13;20;70;1007,2;0;194;16,8;0,5;
03/05/2017;0,37;0,5;1,83;2,26;324;78;1013,1;0;236,5;14,6;0,67;
02/05/2017;0,33;0,38;1,43;1,72;347;78;1017,3;0;129,8;13,5;0,45;
01/05/2017;0,31;0,21;0,57;0,8;6;65;1016,4;0;206,7;11,1;0,09;
30/04/2017;0,23;0,17;0,37;0,51;231;63;1003,9;0;60,2;12,5;0,77;
29/04/2017;0,31;0,26;0,81;0,96;164;56;1005,3;0;199,5;15,2;1,04;
28/04/2017;0,43;0,42;1,46;1,92;65;67;1016;0;179,2;9;0,48;
27/04/2017;0,34;0,3;1,08;1,42;330;72;1016,7;0;201,8;7,3;0,48;
26/04/2017;0,37;0,41;1,5;2,02;324;79;1012,7;0,1;61,8;7,7;0,64;
25/04/2017;0,48;0,65;2,4;3,54;324;85;1006,8;0,1;40,8;12,1;0,59;
24/04/2017;0,45;0,54;2,05;2,18;330;69;1010,6;0;239,9;14,1;0,68;
23/04/2017;0,48;0,38;1,52;1,67;321;60;1014,6;0;247,6;14,9;0,43;
22/04/2017;0,55;0,38;1,46;1,5;302;42;1017,1;0;245,4;17,9;0,29;
21/04/2017;0,47;0,54;1,9;1,97;120;49;1020,5;0;245,3;15;0,56;
20/04/2017;0,46;0,33;1,1;1,38;54;47;1022,5;0;247,4;12;0,88;
19/04/2017;0,49;0,32;1,08;1,44;36;50;1021,7;0;241,4;12,3;0,99;
18/04/2017;0,35;0,3;1,06;1,45;34;72;1019,2;0;122,5;12,7;0,33;
17/04/2017;0,39;0,25;0,87;0,87;11;71;1017,8;0;231,2;13,9;0,3;
16/04/2017;0,29;0,24;0,83;0,81;73;72;1021,3;0;174,3;13,6;0,35;
15/04/2017;0,34;0,33;1,22;1,03;336;74;1020,7;0;120,5;13,8;0,71;
14/04/2017;0,38;0,34;1,31;1,23;355;78;1017,6;0;47,2;12,9;0,1;
13/04/2017;0,39;0,35;1,35;1,32;331;75;1015,7;0;224,2;12,8;0,57;
12/04/2017;0,58;0,47;1,79;1,87;315;75;1018,1;0;213,5;13,5;0,57;
11/04/2017;0,4;0,51;2,02;1,73;325;71;1022,4;0;204,6;14,2;0,79;
10/04/2017;0,53;0,57;2,21;1,84;331;81;1022,2;0;62,3;13,4;0,81;
09/04/2017;0,54;0,45;1,75;1,67;343;70;1017,5;0;208,1;15,2;0,51;
08/04/2017;1,01;0,74;2,72;3,28;157;59;1013,9;0;204,2;17,6;0,2;
07/04/2017;0,52;0,58;2,23;3,08;297;75;1017,6;0;203,6;12,5;0,23;
06/04/2017;0,43;0,49;2,43;1,7;336;78;1022,1;0;163,8;13,1;1,31;
05/04/2017;0,4;0,43;1,66;1,25;334;83;1023,8;0;59,8;12;1,81;
04/04/2017;0,53;0,65;2,69;3,58;333;79;1024,5;0;126,3;12,1;1,1;
03/04/2017;0,45;0,4;1,54;2,21;241;75;1021,8;0;202,2;11,6;0,26;
02/04/2017;0,35;0,26;1,07;0,73;319;75;1021,3;0;104,4;11;1,2;
01/04/2017;0,4;0,31;1,27;1,17;309;72;1017,2;0;117,8;12,1;1,53;
31/03/2017;0,57;0,66;2,58;3,47;317;71;1014,2;0;136;15,2;0,53;
30/03/2017;0,43;0,57;2,19;2,41;174;48;1015,1;0;146,5;20,2;0,86;
29/03/2017;0,58;1,01;3,82;3,46;164;52;1019,9;0;190,5;17,8;0,43;
28/03/2017;0,58;0,76;3,02;2,99;216;55;1020,8;0;189,5;16;0,23;
27/03/2017;0,49;0,4;1,79;1,49;193;53;1012,2;0;150,1;15,8;0,49;
26/03/2017;0,31;0,13;0,61;0,39;155;61;1009,1;0;125,6;13,2;0,75;
25/03/2017;0,33;0,26;1,71;1,49;189;87;1008,5;0,3;16;7,8;0,38;
24/03/2017;0,46;0,34;2,5;2,3;118;62;1012;0;155,8;8,7;0,36;
23/03/2017;0,41;0,35;1,82;1,3;198;58;1005,8;0;174,6;8,3;0,9;
22/03/2017;0,53;0,27;2,03;1,83;220;77;1006,9;0,1;40,1;7,9;0,38;
21/03/2017;0,64;0,75;3,68;3,12;301;81;1014,6;0;38,7;10;0,3;
20/03/2017;0,56;0,72;3,23;1,83;347;74;1014,9;0;33,4;11,2;0,25;
19/03/2017;0,39;0,4;2,88;1,31;352;77;1018,4;0;150,1;10,2;0,44;
18/03/2017;0,42;0,77;4,16;1,95;348;72;1021,8;0;75,8;12,1;0,26;
17/03/2017;0,41;0,99;4,8;2,36;338;79;1020,9;0;67,4;11,9;0,67;
16/03/2017;0,5;1,52;6,73;4,95;174;55;1016,4;0;149,4;17,4;0,74;
15/03/2017;0,7;1,95;8,51;5,14;335;80;1024,3;0;126,6;12,7;0,28;
14/03/2017;0,51;1,66;7,82;2,14;339;82;1029,7;0;92,7;12,5;1,19;
13/03/2017;0,27;1,09;5,55;0,93;336;82;1025,5;0,1;18;10,6;3,08;
12/03/2017;0,27;;;0,67;326;75;1017,8;0,1;49,6;11,7;2,4;
11/03/2017;0,46;;;;324;67;1014,1;0;118,6;15,1;0,77;
10/03/2017;1,04;;;;159;70;1016,9;0;134,3;15,7;0,45;
09/03/2017;0,87;;;;337;77;1022,7;0;127,9;13,7;0,31;
08/03/2017;0,36;;;;344;77;1024,8;0;117,2;14;0,53;
07/03/2017;0,74;0,45;2,01;3,13;323;80;1023,5;0;35,8;12,4;0,52;
06/03/2017;0,31;0,24;0,99;1,79;294;68;1018,7;0;22,9;14,1;0,99;
05/03/2017;0,41;0,13;0,33;0,77;204;70;1010,1;0;70,5;12,7;0,65;
04/03/2017;0,32;0,14;0,34;0,96;247;62;1001,9;0;91,1;8,9;0,67;
03/03/2017;0,7;0,24;1,05;1,62;301;62;998;0,1;55,9;13,4;0,27;
02/03/2017;0,51;0,7;2,98;3,59;178;65;1012,2;0;97,5;14,1;0,82;
01/03/2017;0,47;0,41;1,81;2,06;188;68;1013,6;0;75,2;11,3;0,65;
28/02/2017;0,37;0,15;0,9;2,79;258;73;1008,6;0,1;31,1;10;0,88;
27/02/2017;0,33;0,18;0,93;1,57;215;66;1007,2;0;100,2;13,4;0,9;
26/02/2017;0,5;0,22;1,17;1,88;198;75;1016,2;0;97,4;11,4;0,25;
25/02/2017;0,7;0,49;1,96;2,79;126;71;1016,8;0;97,6;9,9;0,19;
24/02/2017;0,39;0,22;1,33;2,5;331;81;1017,8;0;60,5;9,6;0,61;
23/02/2017;0,82;0,76;2,71;3,98;342;81;1013,6;0;52,4;10,9;0,6;
22/02/2017;0,71;1,08;4,28;5,54;310;82;1017,8;0;86,6;10,5;0,25;
21/02/2017;0,54;0,89;3,72;4,66;174;78;1023,2;0;53,3;10,5;0,21;
20/02/2017;0,48;0,25;1,15;2,52;234;76;1025,2;0;86;10,8;0,26;
19/02/2017;0,46;0,16;0,77;1,3;328;82;1024,4;0;37,7;11,4;0,67;
18/02/2017;0,46;0,28;1,18;1,85;257;79;1019;0;67;10,1;0,1;
17/02/2017;0,66;0,83;3,03;3,75;161;71;1022,9;0;74,5;12,1;0,43;
16/02/2017;0,55;0,43;1,69;2,5;183;60;1026,2;0;68,5;14,4;0,71;
15/02/2017;0,49;0,28;0,91;1,66;170;53;1025,2;0;67,8;15,5;0,88;
14/02/2017;0,58;0,31;1,23;1,86;172;53;1016,1;0;66,3;14,3;0,84;
13/02/2017;0,46;0,2;0,63;1,07;141;63;1001,4;0,3;54,3;14;0,71;
12/02/2017;0,65;0,16;0,37;0,96;119;71;1000,3;0,5;44,6;11,7;0,63;
11/02/2017;0,61;0,24;0,99;1,68;146;82;1010,8;1,6;39,3;7,1;0,39;
10/02/2017;0,53;0,28;1,18;1,81;176;51;1007,7;0;61,6;10,9;0,75;
09/02/2017;0,63;0,33;1,28;2,23;155;70;1014,3;0,2;58,4;8,8;0,87;
08/02/2017;0,34;0,27;1,18;1,96;317;75;1024,8;7,2;48,7;8,2;1,59;
07/02/2017;0,44;0,5;2,05;2,51;302;81;1019,7;6,3;28,2;10,6;0,94;
06/02/2017;0,7;0,83;3,13;4,03;173;84;1020;4,8;32,3;10,2;0,39;
05/02/2017;0,27;0,13;0,09;0,32;288;66;1010,5;10,2;33,6;9,8;2,57;
04/02/2017;0,32;0,15;0,49;1,08;243;80;1003;6,8;21,7;11,7;0,45;
03/02/2017;0,24;0,13;0,2;0,53;216;45;1002,2;0,1;51;15,2;2,39;
02/02/2017;0,22;0,18;0,63;0,59;206;50;1002,4;0,2;30,8;15;2,52;
01/02/2017;0,38;0,36;1,22;1,63;196;53;1008,3;0,3;40,5;16;1,41;
31/01/2017;0,27;0,47;1,8;1,49;184;50;1009,4;0;43,8;16,4;1,35;
30/01/2017;0,31;0,25;0,95;1,03;182;63;1013,1;0;45,9;16,1;1,52;
29/01/2017;0,32;0,13;0,22;0,47;187;60;1015,9;0;43,2;13,5;1,59;
28/01/2017;0,49;0,22;0,89;1,47;201;69;1016,7;0;40,7;9;0,46;
27/01/2017;0,93;0,28;0,95;1,19;178;59;1004,2;0,3;29,2;11;1,05;
26/01/2017;0,61;0,49;1,57;1,55;170;58;1007,4;0;45,4;8,8;1,5;
25/01/2017;0,71;0,52;1,89;2,31;163;76;1019,4;0;37,4;4,5;0,93;
24/01/2017;0,89;0,86;3,41;3,69;188;79;1023,6;0;37,5;5,9;0,51;
23/01/2017;0,8;1,42;5,84;2,74;326;78;1020,3;0,1;38,5;8,1;0,62;
22/01/2017;1,01;0,46;1,7;2,34;310;82;1018,4;0;45,1;7,4;0,22;
21/01/2017;1,22;0,89;3,34;3,94;158;79;1018,1;0;37,9;5,3;0,42;
20/01/2017;1,09;1;3,52;4,51;174;77;1020,5;0;34,8;;0,68;
19/01/2017;0,98;0,57;2,1;2,84;125;74;1022,4;0;25,3;3,4;0,2;
18/01/2017;0,78;0,44;2,04;2,35;8;70;1023,4;0;7,5;2,7;0,45;
17/01/2017;0,43;0,26;0,81;0,81;2;62;1024,4;1,2;29,2;6;1,31;
16/01/2017;0,35;0,13;0,38;0,67;335;86;1023,1;19,6;15,8;10,6;3,3;
15/01/2017;0,42;0,13;0,31;0,63;327;79;1026,2;8,8;21,5;9,6;2,11;
14/01/2017;0,41;0,14;0,52;0,97;298;80;1025,2;8,4;27,3;7;0,74;
13/01/2017;0,35;0,22;0,8;1,01;313;73;1020,8;9;26,5;8,1;1,98;
12/01/2017;0,46;0,87;3,44;3,5;286;86;1018;3,6;36,2;11,1;0,36;
11/01/2017;0,33;0,26;1;1,25;332;92;1021,1;7,3;16,4;12,1;1,93;
10/01/2017;0,38;0,36;1,48;1,61;331;90;1017,6;38,5;7,3;9,4;2,06;
09/01/2017;;;;;163;74;1025,6;0;22,4;8,6;0,67;
08/01/2017;;;;;165;65;1030;0;27,6;;0,91;
07/01/2017;;;;;172;70;1030,1;0;26,1;;1,2;
06/01/2017;;;;;173;78;1029,5;0;26,1;;1,06;
05/01/2017;0,96;0,86;3,4;4,17;163;77;1027,5;0;24,1;4,8;0,7;
