Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);V.vien (m/s);ICA Estación
16/10/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
15/10/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
14/10/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
13/10/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
12/10/2017;8;26;43;Muy buena / Oso ona;38;24;Muy buena / Oso ona;22;Buena / Ona;3;Muy buena / Oso ona;176;1,5;Buena / Ona
11/10/2017;15;32;51;Buena / Ona;55;24;Muy buena / Oso ona;21;Buena / Ona;3;Muy buena / Oso ona;252;0,69;Buena / Ona
10/10/2017;31;33;51;Buena / Ona;81;25;Muy buena / Oso ona;23;Buena / Ona;3;Muy buena / Oso ona;173;1,69;Buena / Ona
09/10/2017;23;30;42;Muy buena / Oso ona;66;19;Muy buena / Oso ona;18;Buena / Ona;3;Muy buena / Oso ona;179;1,41;Buena / Ona
08/10/2017;6;19;40;Muy buena / Oso ona;28;14;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;183;1,38;Muy buena / Oso ona
07/10/2017;9;21;41;Muy buena / Oso ona;35;16;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;163;1,26;Muy buena / Oso ona
06/10/2017;9;23;37;Muy buena / Oso ona;36;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;332;1,86;Muy buena / Oso ona
05/10/2017;;;;Sin datos / Daturik gabe;;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;335;1,96;Muy buena / Oso ona
04/10/2017;23;18;32;Muy buena / Oso ona;54;16;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;200;0,33;Muy buena / Oso ona
03/10/2017;27;20;26;Muy buena / Oso ona;62;12;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;342;0,88;Muy buena / Oso ona
02/10/2017;29;27;45;Muy buena / Oso ona;72;13;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;339;0,45;Muy buena / Oso ona
01/10/2017;4;13;23;Muy buena / Oso ona;19;11;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;288;1,1;Muy buena / Oso ona
30/09/2017;3;14;22;Muy buena / Oso ona;20;6;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;318;1,22;Muy buena / Oso ona
29/09/2017;21;30;56;Buena / Ona;61;28;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;323;1,1;Buena / Ona
28/09/2017;19;36;66;Buena / Ona;65;22;Muy buena / Oso ona;19;Buena / Ona;5;Muy buena / Oso ona;174;1,11;Buena / Ona
27/09/2017;22;35;58;Buena / Ona;68;19;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;216;0,78;Buena / Ona
26/09/2017;13;25;35;Muy buena / Oso ona;45;11;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;190;0,29;Muy buena / Oso ona
25/09/2017;10;21;38;Muy buena / Oso ona;36;11;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;303;1,67;Muy buena / Oso ona
24/09/2017;5;17;28;Muy buena / Oso ona;24;17;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;298;0,86;Muy buena / Oso ona
23/09/2017;4;15;28;Muy buena / Oso ona;21;14;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;159;0,96;Muy buena / Oso ona
22/09/2017;8;25;36;Muy buena / Oso ona;37;10;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;345;1,29;Muy buena / Oso ona
21/09/2017;27;30;44;Muy buena / Oso ona;72;17;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;249;0,27;Muy buena / Oso ona
20/09/2017;24;32;47;Muy buena / Oso ona;69;14;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;170;1,66;Muy buena / Oso ona
19/09/2017;16;23;44;Muy buena / Oso ona;48;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;313;0,57;Muy buena / Oso ona
18/09/2017;18;25;46;Muy buena / Oso ona;53;;;7;Muy buena / Oso ona;3;Muy buena / Oso ona;292;0,58;Muy buena / Oso ona
17/09/2017;2;10;21;Muy buena / Oso ona;13;;;3;Muy buena / Oso ona;5;Muy buena / Oso ona;304;1,73;Muy buena / Oso ona
16/09/2017;2;11;23;Muy buena / Oso ona;15;;;3;Muy buena / Oso ona;6;Muy buena / Oso ona;246;1,14;Muy buena / Oso ona
15/09/2017;5;15;28;Muy buena / Oso ona;23;;;4;Muy buena / Oso ona;6;Muy buena / Oso ona;266;1,72;Muy buena / Oso ona
14/09/2017;6;17;35;Muy buena / Oso ona;26;;;6;Muy buena / Oso ona;3;Muy buena / Oso ona;315;2,93;Muy buena / Oso ona
13/09/2017;18;21;29;Muy buena / Oso ona;49;;;17;Buena / Ona;4;Muy buena / Oso ona;263;0,46;Buena / Ona
12/09/2017;4;15;25;Muy buena / Oso ona;21;;;5;Muy buena / Oso ona;4;Muy buena / Oso ona;267;1,18;Muy buena / Oso ona
11/09/2017;5;13;28;Muy buena / Oso ona;20;;;6;Muy buena / Oso ona;3;Muy buena / Oso ona;307;3,33;Muy buena / Oso ona
10/09/2017;1;8;23;Muy buena / Oso ona;11;;;5;Muy buena / Oso ona;3;Muy buena / Oso ona;291;2,4;Muy buena / Oso ona
09/09/2017;1;6;9;Muy buena / Oso ona;8;;;4;Muy buena / Oso ona;3;Muy buena / Oso ona;298;3,48;Muy buena / Oso ona
08/09/2017;13;18;36;Muy buena / Oso ona;38;;;13;Muy buena / Oso ona;4;Muy buena / Oso ona;251;0,36;Muy buena / Oso ona
07/09/2017;8;17;38;Muy buena / Oso ona;29;;;8;Muy buena / Oso ona;3;Muy buena / Oso ona;325;1,58;Muy buena / Oso ona
06/09/2017;7;20;31;Muy buena / Oso ona;30;;;6;Muy buena / Oso ona;3;Muy buena / Oso ona;333;2,35;Muy buena / Oso ona
05/09/2017;18;20;33;Muy buena / Oso ona;49;;;15;Muy buena / Oso ona;4;Muy buena / Oso ona;333;0,85;Muy buena / Oso ona
04/09/2017;22;21;31;Muy buena / Oso ona;54;;;7;Muy buena / Oso ona;3;Muy buena / Oso ona;322;0,8;Muy buena / Oso ona
03/09/2017;4;18;27;Muy buena / Oso ona;24;;;10;Muy buena / Oso ona;5;Muy buena / Oso ona;183;0,47;Muy buena / Oso ona
02/09/2017;2;10;22;Muy buena / Oso ona;13;;;6;Muy buena / Oso ona;3;Muy buena / Oso ona;327;0,98;Muy buena / Oso ona
01/09/2017;4;13;28;Muy buena / Oso ona;20;;;5;Muy buena / Oso ona;3;Muy buena / Oso ona;311;2,55;Muy buena / Oso ona
31/08/2017;7;21;36;Muy buena / Oso ona;31;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;3;Muy buena / Oso ona;324;1,22;Muy buena / Oso ona
30/08/2017;10;22;35;Muy buena / Oso ona;37;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;3;Muy buena / Oso ona;324;1,74;Muy buena / Oso ona
29/08/2017;13;24;37;Muy buena / Oso ona;44;;Sin datos / Daturik gabe;19;Buena / Ona;3;Muy buena / Oso ona;303;0,36;Buena / Ona
28/08/2017;11;22;39;Muy buena / Oso ona;39;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;3;Muy buena / Oso ona;155;1,79;Muy buena / Oso ona
27/08/2017;4;14;24;Muy buena / Oso ona;20;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;3;Muy buena / Oso ona;165;1,79;Muy buena / Oso ona
26/08/2017;2;10;18;Muy buena / Oso ona;15;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;3;Muy buena / Oso ona;352;0,59;Muy buena / Oso ona
25/08/2017;3;12;23;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;3;Muy buena / Oso ona;347;1,53;Muy buena / Oso ona
24/08/2017;5;14;36;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;335;2,13;Muy buena / Oso ona
23/08/2017;6;17;33;Muy buena / Oso ona;26;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;3;Muy buena / Oso ona;344;0,59;Muy buena / Oso ona
22/08/2017;8;24;52;Buena / Ona;37;;Sin datos / Daturik gabe;16;Muy buena / Oso ona;4;Muy buena / Oso ona;320;2,31;Buena / Ona
21/08/2017;14;29;47;Muy buena / Oso ona;52;;Sin datos / Daturik gabe;16;Muy buena / Oso ona;4;Muy buena / Oso ona;154;2,07;Muy buena / Oso ona
20/08/2017;3;11;20;Muy buena / Oso ona;16;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;3;Muy buena / Oso ona;152;0,67;Muy buena / Oso ona
19/08/2017;3;12;17;Muy buena / Oso ona;16;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;3;Muy buena / Oso ona;355;1,45;Muy buena / Oso ona
18/08/2017;14;19;32;Muy buena / Oso ona;40;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;3;Muy buena / Oso ona;321;0,76;Muy buena / Oso ona
17/08/2017;15;19;37;Muy buena / Oso ona;43;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;4;Muy buena / Oso ona;320;0,74;Muy buena / Oso ona
16/08/2017;6;14;23;Muy buena / Oso ona;23;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;338;1,3;Muy buena / Oso ona
15/08/2017;2;11;21;Muy buena / Oso ona;15;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;3;Muy buena / Oso ona;330;1,98;Muy buena / Oso ona
14/08/2017;7;18;26;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;3;Muy buena / Oso ona;139;0,23;Muy buena / Oso ona
13/08/2017;3;12;20;Muy buena / Oso ona;16;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;3;Muy buena / Oso ona;265;0,31;Muy buena / Oso ona
12/08/2017;5;14;24;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;4;Muy buena / Oso ona;319;0,28;Muy buena / Oso ona
11/08/2017;7;17;38;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;3;Muy buena / Oso ona;336;1,93;Muy buena / Oso ona
10/08/2017;4;15;31;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;3;Muy buena / Oso ona;309;3,34;Muy buena / Oso ona
09/08/2017;3;12;24;Muy buena / Oso ona;17;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;3;Muy buena / Oso ona;308;3,15;Muy buena / Oso ona
08/08/2017;4;12;26;Muy buena / Oso ona;17;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;299;2,47;Muy buena / Oso ona
07/08/2017;8;18;36;Muy buena / Oso ona;31;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;3;Muy buena / Oso ona;318;2,22;Muy buena / Oso ona
06/08/2017;1;8;14;Muy buena / Oso ona;11;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;3;Muy buena / Oso ona;347;2,5;Muy buena / Oso ona
05/08/2017;2;9;14;Muy buena / Oso ona;13;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;332;2,91;Muy buena / Oso ona
04/08/2017;7;18;30;Muy buena / Oso ona;29;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;3;Muy buena / Oso ona;345;1,25;Muy buena / Oso ona
03/08/2017;13;21;35;Muy buena / Oso ona;42;;Sin datos / Daturik gabe;16;Muy buena / Oso ona;3;Muy buena / Oso ona;328;0,97;Muy buena / Oso ona
02/08/2017;12;19;29;Muy buena / Oso ona;38;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;3;Muy buena / Oso ona;341;0,71;Muy buena / Oso ona
01/08/2017;9;19;33;Muy buena / Oso ona;33;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;3;Muy buena / Oso ona;341;0,82;Muy buena / Oso ona
31/07/2017;3;13;23;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;3;Muy buena / Oso ona;320;1,47;Muy buena / Oso ona
30/07/2017;3;12;23;Muy buena / Oso ona;17;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;3;Muy buena / Oso ona;316;1,33;Muy buena / Oso ona
29/07/2017;4;16;25;Muy buena / Oso ona;23;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;6;Muy buena / Oso ona;168;0,24;Muy buena / Oso ona
28/07/2017;5;15;32;Muy buena / Oso ona;24;10;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;339;1,1;Muy buena / Oso ona
27/07/2017;15;21;50;Muy buena / Oso ona;44;;Sin datos / Daturik gabe;21;Buena / Ona;4;Muy buena / Oso ona;343;1,07;Buena / Ona
26/07/2017;10;18;30;Muy buena / Oso ona;34;;Sin datos / Daturik gabe;16;Muy buena / Oso ona;4;Muy buena / Oso ona;317;0,61;Muy buena / Oso ona
25/07/2017;2;7;11;Muy buena / Oso ona;10;11;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;314;2,62;Muy buena / Oso ona
24/07/2017;6;11;23;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;321;3,77;Muy buena / Oso ona
23/07/2017;2;7;12;Muy buena / Oso ona;11;13;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;332;1,32;Muy buena / Oso ona
22/07/2017;7;12;23;Muy buena / Oso ona;22;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;3;Muy buena / Oso ona;250;0,5;Muy buena / Oso ona
21/07/2017;11;20;28;Muy buena / Oso ona;36;16;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;329;0,96;Muy buena / Oso ona
20/07/2017;8;19;31;Muy buena / Oso ona;31;9;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;321;2,06;Muy buena / Oso ona
19/07/2017;4;17;39;Muy buena / Oso ona;23;21;Muy buena / Oso ona;17;Buena / Ona;3;Muy buena / Oso ona;327;1,54;Buena / Ona
18/07/2017;5;18;35;Muy buena / Oso ona;25;24;Muy buena / Oso ona;22;Buena / Ona;3;Muy buena / Oso ona;354;0,68;Buena / Ona
17/07/2017;15;34;60;Buena / Ona;58;28;Buena / Ona;25;Buena / Ona;3;Muy buena / Oso ona;225;0,45;Buena / Ona
16/07/2017;4;12;21;Muy buena / Oso ona;17;15;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;317;1,41;Muy buena / Oso ona
15/07/2017;3;9;15;Muy buena / Oso ona;14;8;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;343;1,68;Muy buena / Oso ona
14/07/2017;9;19;29;Muy buena / Oso ona;33;6;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;339;2,48;Muy buena / Oso ona
13/07/2017;7;16;24;Muy buena / Oso ona;26;6;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;339;2,02;Muy buena / Oso ona
12/07/2017;19;21;34;Muy buena / Oso ona;50;16;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;325;0,62;Muy buena / Oso ona
11/07/2017;14;18;30;Muy buena / Oso ona;40;12;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;321;0,81;Muy buena / Oso ona
10/07/2017;8;14;27;Muy buena / Oso ona;28;9;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;329;2,49;Muy buena / Oso ona
09/07/2017;3;8;16;Muy buena / Oso ona;13;14;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;332;2,89;Muy buena / Oso ona
08/07/2017;3;11;16;Muy buena / Oso ona;16;14;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;332;2,77;Muy buena / Oso ona
07/07/2017;8;22;40;Muy buena / Oso ona;35;17;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;333;2,48;Muy buena / Oso ona
06/07/2017;8;26;35;Muy buena / Oso ona;38;24;Muy buena / Oso ona;24;Buena / Ona;3;Muy buena / Oso ona;335;1,06;Buena / Ona
05/07/2017;7;23;49;Muy buena / Oso ona;35;23;Muy buena / Oso ona;18;Buena / Ona;3;Muy buena / Oso ona;331;2,18;Buena / Ona
04/07/2017;21;36;75;Buena / Ona;68;21;Muy buena / Oso ona;19;Buena / Ona;3;Muy buena / Oso ona;220;0,26;Buena / Ona
03/07/2017;15;16;26;Muy buena / Oso ona;40;11;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;147;0,83;Muy buena / Oso ona
02/07/2017;3;10;18;Muy buena / Oso ona;15;8;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;323;1,2;Muy buena / Oso ona
01/07/2017;3;6;10;Muy buena / Oso ona;10;13;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;308;3,37;Muy buena / Oso ona
30/06/2017;4;10;16;Muy buena / Oso ona;16;8;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;302;3;Muy buena / Oso ona
29/06/2017;6;13;23;Muy buena / Oso ona;23;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;318;3,87;Muy buena / Oso ona
28/06/2017;7;13;33;Muy buena / Oso ona;25;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;318;3,36;Muy buena / Oso ona
27/06/2017;11;20;37;Muy buena / Oso ona;37;15;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;326;1,21;Muy buena / Oso ona
26/06/2017;12;19;31;Muy buena / Oso ona;38;15;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;331;1,19;Muy buena / Oso ona
25/06/2017;5;13;25;Muy buena / Oso ona;21;16;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;121;0,31;Muy buena / Oso ona
24/06/2017;3;12;18;Muy buena / Oso ona;18;16;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;329;1,32;Muy buena / Oso ona
23/06/2017;6;20;38;Muy buena / Oso ona;29;21;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;338;1,41;Muy buena / Oso ona
22/06/2017;6;25;39;Muy buena / Oso ona;35;24;Muy buena / Oso ona;22;Buena / Ona;3;Muy buena / Oso ona;328;2,93;Buena / Ona
21/06/2017;10;54;106;Mejorable / Hobetzeko modukoa;69;42;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;286;0,88;Mejorable / Hobetzeko modukoa
20/06/2017;15;48;75;Buena / Ona;70;33;Buena / Ona;26;Buena / Ona;4;Muy buena / Oso ona;310;0,94;Buena / Ona
19/06/2017;6;27;54;Buena / Ona;35;;Sin datos / Daturik gabe;20;Buena / Ona;3;Muy buena / Oso ona;155;1,57;Buena / Ona
18/06/2017;4;24;40;Muy buena / Oso ona;30;32;Buena / Ona;21;Buena / Ona;3;Muy buena / Oso ona;232;0,71;Buena / Ona
17/06/2017;6;16;28;Muy buena / Oso ona;24;25;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;282;0,69;Muy buena / Oso ona
16/06/2017;10;21;49;Muy buena / Oso ona;36;24;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;352;0,83;Muy buena / Oso ona
15/06/2017;4;18;31;Muy buena / Oso ona;24;17;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;327;2,36;Muy buena / Oso ona
14/06/2017;5;17;29;Muy buena / Oso ona;24;27;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;332;2,07;Buena / Ona
13/06/2017;9;21;31;Muy buena / Oso ona;36;23;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;338;1,04;Muy buena / Oso ona
12/06/2017;7;17;33;Muy buena / Oso ona;28;19;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;334;1,16;Muy buena / Oso ona
11/06/2017;3;13;23;Muy buena / Oso ona;18;23;Muy buena / Oso ona;19;Buena / Ona;3;Muy buena / Oso ona;331;2,7;Buena / Ona
10/06/2017;8;17;24;Muy buena / Oso ona;29;22;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;339;0,67;Muy buena / Oso ona
09/06/2017;14;21;35;Muy buena / Oso ona;43;20;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;323;0,98;Muy buena / Oso ona
08/06/2017;11;29;40;Muy buena / Oso ona;46;33;Buena / Ona;22;Buena / Ona;4;Muy buena / Oso ona;286;0,53;Buena / Ona
07/06/2017;12;27;55;Buena / Ona;46;25;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;303;0,41;Buena / Ona
06/06/2017;7;17;33;Muy buena / Oso ona;28;18;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;319;3,53;Muy buena / Oso ona
05/06/2017;14;21;40;Muy buena / Oso ona;42;15;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;309;0,56;Muy buena / Oso ona
04/06/2017;3;12;21;Muy buena / Oso ona;17;9;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;297;0,97;Muy buena / Oso ona
03/06/2017;4;13;32;Muy buena / Oso ona;20;13;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;307;1,27;Muy buena / Oso ona
02/06/2017;9;26;41;Muy buena / Oso ona;40;17;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;325;1,9;Muy buena / Oso ona
01/06/2017;16;26;39;Muy buena / Oso ona;51;24;Muy buena / Oso ona;19;Buena / Ona;3;Muy buena / Oso ona;311;1,04;Buena / Ona
31/05/2017;8;18;29;Muy buena / Oso ona;31;13;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;327;1,7;Muy buena / Oso ona
30/05/2017;9;21;41;Muy buena / Oso ona;34;8;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;330;2,02;Muy buena / Oso ona
29/05/2017;7;26;49;Muy buena / Oso ona;38;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;335;2,11;Muy buena / Oso ona
28/05/2017;4;18;37;Muy buena / Oso ona;24;25;Muy buena / Oso ona;20;Buena / Ona;3;Muy buena / Oso ona;338;1,41;Buena / Ona
27/05/2017;5;27;51;Buena / Ona;35;25;Muy buena / Oso ona;21;Buena / Ona;3;Muy buena / Oso ona;330;0,66;Buena / Ona
26/05/2017;13;34;66;Buena / Ona;54;26;Buena / Ona;22;Buena / Ona;3;Muy buena / Oso ona;297;0,53;Buena / Ona
25/05/2017;19;51;102;Mejorable / Hobetzeko modukoa;80;34;Buena / Ona;20;Buena / Ona;3;Muy buena / Oso ona;207;0,84;Mejorable / Hobetzeko modukoa
24/05/2017;10;35;71;Buena / Ona;51;24;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;291;0,15;Buena / Ona
23/05/2017;4;13;23;Muy buena / Oso ona;19;14;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;332;1,35;Muy buena / Oso ona
22/05/2017;9;27;56;Buena / Ona;41;25;Muy buena / Oso ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;325;3,41;Buena / Ona
21/05/2017;4;19;33;Muy buena / Oso ona;26;13;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;149;3,27;Muy buena / Oso ona
20/05/2017;3;14;25;Muy buena / Oso ona;19;9;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;341;1,03;Muy buena / Oso ona
19/05/2017;6;20;35;Muy buena / Oso ona;30;12;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;312;2,57;Muy buena / Oso ona
18/05/2017;6;18;34;Muy buena / Oso ona;28;8;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;313;3,66;Muy buena / Oso ona
