Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
03/08/2017;64;91;Buena / Ona;351;78;954,5;0;269,8;19,6;0,52;Buena / Ona
02/08/2017;71;96;Buena / Ona;350;78;954,3;0;248,5;18,9;0,4;Buena / Ona
01/08/2017;58;69;Buena / Ona;6;76;952;0;195,7;18,1;1,54;Buena / Ona
31/07/2017;51;54;Muy buena / Oso ona;7;78;948,9;0;133,2;17,6;1,7;Muy buena / Oso ona
30/07/2017;52;67;Buena / Ona;358;75;950,8;0;232,6;17,8;1,06;Buena / Ona
29/07/2017;68;110;Mejorable / Hobetzeko modukoa;302;67;951,7;0;271,4;19,7;0,47;Mejorable / Hobetzeko modukoa
28/07/2017;52;76;Buena / Ona;9;81;953,7;0;255,1;19,6;1,23;Buena / Ona
27/07/2017;46;75;Buena / Ona;3;74;952,4;0;292,2;18;0,92;Buena / Ona
26/07/2017;48;65;Buena / Ona;17;74;953,5;0;272,2;16,2;0,3;Buena / Ona
25/07/2017;59;68;Buena / Ona;347;75;956,4;0;102,7;15,8;0,97;Buena / Ona
24/07/2017;40;52;Muy buena / Oso ona;325;79;957,5;0;154,1;17,3;1,63;Muy buena / Oso ona
23/07/2017;60;79;Buena / Ona;19;69;956,4;0;289,9;17,6;1,34;Buena / Ona
22/07/2017;48;75;Buena / Ona;7;80;952,6;0;263,7;14,7;1,12;Buena / Ona
21/07/2017;47;58;Muy buena / Oso ona;11;77;949,5;0;116,5;16,2;1,31;Muy buena / Oso ona
20/07/2017;52;64;Buena / Ona;10;77;952,4;0;103,8;16,2;2,06;Buena / Ona
19/07/2017;63;94;Buena / Ona;356;74;949,2;0;232,5;19,3;1,49;Buena / Ona
18/07/2017;70;97;Buena / Ona;78;61;947,9;0;220,1;22,1;0,24;Buena / Ona
17/07/2017;79;102;Mejorable / Hobetzeko modukoa;110;62;951,3;0;285,6;23,3;0,55;Mejorable / Hobetzeko modukoa
16/07/2017;70;84;Buena / Ona;338;76;956,3;0;287,2;18,7;0,49;Buena / Ona
15/07/2017;66;69;Buena / Ona;13;71;957,7;0;318,7;17,6;1,73;Buena / Ona
14/07/2017;55;60;Muy buena / Oso ona;14;70;958,3;0;192,1;17,2;2,03;Muy buena / Oso ona
13/07/2017;59;68;Buena / Ona;352;75;957,8;0;253,1;17,2;1,55;Buena / Ona
12/07/2017;49;73;Buena / Ona;354;70;956;0;274;17,7;1,03;Buena / Ona
11/07/2017;52;85;Buena / Ona;334;66;953,1;0;280,3;17,2;0,44;Buena / Ona
10/07/2017;46;64;Buena / Ona;16;81;952,4;0;77,8;17,1;1,6;Buena / Ona
09/07/2017;73;91;Buena / Ona;356;80;951,3;0;272,4;18;0,97;Buena / Ona
08/07/2017;61;80;Buena / Ona;5;85;952,9;0;189,3;18,3;1,47;Buena / Ona
07/07/2017;62;92;Buena / Ona;343;74;954,2;0;215,3;19,1;0,5;Buena / Ona
06/07/2017;62;80;Buena / Ona;218;62;952,8;0;159,4;21,1;0,9;Buena / Ona
05/07/2017;81;94;Buena / Ona;53;55;950,2;0;296,2;21,8;1,43;Buena / Ona
04/07/2017;64;97;Buena / Ona;149;68;952,6;0;292,5;20,2;2,3;Buena / Ona
03/07/2017;38;62;Buena / Ona;338;79;959,2;0;303,3;15,3;0,44;Buena / Ona
02/07/2017;57;69;Buena / Ona;349;72;962,3;0;223,1;14,7;1,02;Buena / Ona
