Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
24/08/2017;2;8;18;Muy buena / Oso ona;11;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
23/08/2017;2;10;24;Muy buena / Oso ona;14;21;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
22/08/2017;2;17;64;Buena / Ona;21;27;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
21/08/2017;4;22;58;Buena / Ona;29;17;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
20/08/2017;1;6;16;Muy buena / Oso ona;9;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
19/08/2017;1;5;7;Muy buena / Oso ona;7;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
18/08/2017;2;8;21;Muy buena / Oso ona;11;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
17/08/2017;4;12;43;Muy buena / Oso ona;18;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
16/08/2017;1;7;13;Muy buena / Oso ona;9;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
15/08/2017;1;6;9;Muy buena / Oso ona;8;16;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
14/08/2017;2;9;27;Muy buena / Oso ona;12;16;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
13/08/2017;1;6;11;Muy buena / Oso ona;9;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
12/08/2017;2;7;17;Muy buena / Oso ona;10;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
11/08/2017;1;8;28;Muy buena / Oso ona;11;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
10/08/2017;1;8;14;Muy buena / Oso ona;10;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
09/08/2017;1;7;16;Muy buena / Oso ona;9;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
08/08/2017;1;6;9;Muy buena / Oso ona;8;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
07/08/2017;1;7;16;Muy buena / Oso ona;9;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;Muy buena / Oso ona
06/08/2017;1;4;6;Muy buena / Oso ona;6;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
05/08/2017;1;5;7;Muy buena / Oso ona;7;3;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
04/08/2017;1;8;23;Muy buena / Oso ona;10;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
03/08/2017;2;10;33;Muy buena / Oso ona;13;16;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
02/08/2017;1;9;17;Muy buena / Oso ona;11;19;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
01/08/2017;1;8;14;Muy buena / Oso ona;10;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
31/07/2017;1;8;15;Muy buena / Oso ona;10;13;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
30/07/2017;1;7;14;Muy buena / Oso ona;9;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
29/07/2017;2;13;39;Muy buena / Oso ona;17;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
28/07/2017;2;10;21;Muy buena / Oso ona;13;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
27/07/2017;5;13;47;Muy buena / Oso ona;22;15;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
26/07/2017;2;12;30;Muy buena / Oso ona;15;12;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
25/07/2017;1;8;12;Muy buena / Oso ona;10;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
24/07/2017;2;9;14;Muy buena / Oso ona;12;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;1;6;9;Muy buena / Oso ona;8;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
22/07/2017;2;9;22;Muy buena / Oso ona;12;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
21/07/2017;2;12;19;Muy buena / Oso ona;15;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
20/07/2017;2;10;18;Muy buena / Oso ona;12;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
19/07/2017;3;14;40;Muy buena / Oso ona;19;23;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
18/07/2017;3;18;64;Buena / Ona;23;28;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
17/07/2017;2;12;46;Muy buena / Oso ona;15;24;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
16/07/2017;1;7;15;Muy buena / Oso ona;9;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
15/07/2017;1;7;11;Muy buena / Oso ona;9;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;Muy buena / Oso ona
14/07/2017;2;9;16;Muy buena / Oso ona;11;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
13/07/2017;2;8;13;Muy buena / Oso ona;11;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
12/07/2017;3;12;34;Muy buena / Oso ona;17;14;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
11/07/2017;2;12;20;Muy buena / Oso ona;16;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;Muy buena / Oso ona
10/07/2017;2;10;20;Muy buena / Oso ona;13;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
09/07/2017;1;5;9;Muy buena / Oso ona;7;15;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
08/07/2017;1;8;11;Muy buena / Oso ona;10;13;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
07/07/2017;3;14;59;Buena / Ona;19;23;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
06/07/2017;8;14;47;Muy buena / Oso ona;26;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
05/07/2017;1;8;17;Muy buena / Oso ona;10;20;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
04/07/2017;5;12;40;Muy buena / Oso ona;19;19;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
03/07/2017;5;10;25;Muy buena / Oso ona;17;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
02/07/2017;1;6;10;Muy buena / Oso ona;8;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
