Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
22/09/2017;7;25;42;Muy buena / Oso ona;36;35;66;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;167;88;1009,2;0;106,2;16,7;0,18;Buena / Ona
21/09/2017;8;23;45;Muy buena / Oso ona;35;44;80;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;246;79;1005,9;0;245,1;16,5;0,38;Buena / Ona
20/09/2017;5;24;40;Muy buena / Oso ona;32;30;53;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;148;75;1007,8;0;335;15,4;0,74;Muy buena / Oso ona
19/09/2017;13;27;45;Muy buena / Oso ona;46;33;76;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;261;79;1012,5;0;230;15,1;0,27;Buena / Ona
18/09/2017;6;19;42;Muy buena / Oso ona;28;37;62;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;273;89;1007,6;0,1;80,5;15,1;0,3;Buena / Ona
17/09/2017;8;21;52;Buena / Ona;32;41;68;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;264;75;1005,6;0;137,9;15,1;1,11;Buena / Ona
16/09/2017;3;17;39;Muy buena / Oso ona;22;42;66;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;254;78;1004,3;0;197;13,1;1,08;Buena / Ona
15/09/2017;5;17;32;Muy buena / Oso ona;25;37;61;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;266;83;1005,3;0,1;241,9;14;1,37;Buena / Ona
14/09/2017;3;14;30;Muy buena / Oso ona;18;40;61;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;283;79;1009,4;0,1;166,4;16,5;1,02;Buena / Ona
13/09/2017;5;13;30;Muy buena / Oso ona;21;29;53;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;251;79;1008,5;0;355,3;19,6;0,38;Muy buena / Oso ona
12/09/2017;2;15;34;Muy buena / Oso ona;19;45;65;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;257;82;1006,8;0;220,7;17;1,04;Buena / Ona
11/09/2017;1;7;19;Muy buena / Oso ona;9;55;65;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;286;89;1002,3;0,4;78,2;17,1;1,68;Buena / Ona
10/09/2017;;;;Sin datos / Daturik gabe;13;53;67;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;293;78;1001,4;0,1;128,6;16,9;1,87;Buena / Ona
09/09/2017;1;8;14;Muy buena / Oso ona;9;57;58;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;279;87;997,7;0,4;128,6;15,9;1,72;Muy buena / Oso ona
08/09/2017;6;18;44;Muy buena / Oso ona;28;34;66;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;236;75;1002,7;0;264,9;17,2;0,35;Buena / Ona
07/09/2017;7;17;40;Muy buena / Oso ona;27;35;64;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;257;75;1009,8;0;131,3;17,9;0,28;Buena / Ona
06/09/2017;1;7;13;Muy buena / Oso ona;9;53;62;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;320;80;1013,6;0,1;105,6;19;0,58;Buena / Ona
05/09/2017;5;13;23;Muy buena / Oso ona;21;29;54;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;285;83;1010,7;0;273,3;19,9;0,28;Muy buena / Oso ona
04/09/2017;;;;Sin datos / Daturik gabe;;22;47;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;252;86;1005,2;0;196,7;19,6;0,46;Muy buena / Oso ona
03/09/2017;;;;Sin datos / Daturik gabe;;41;78;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;208;70;1003,1;0;209,1;18,8;0,3;Buena / Ona
02/09/2017;1;11;31;Muy buena / Oso ona;13;53;71;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;288;75;1011,2;0;151,5;17,3;0,69;Buena / Ona
01/09/2017;4;13;35;Muy buena / Oso ona;18;46;68;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;290;83;1010,7;0,2;151,4;16,5;0,89;Buena / Ona
31/08/2017;2;15;38;Muy buena / Oso ona;19;45;71;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;270;84;1009,3;0;152,3;17,1;0,43;Buena / Ona
30/08/2017;3;10;34;Muy buena / Oso ona;15;49;65;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;302;89;1002,7;0,4;188,6;19,8;0,66;Buena / Ona
29/08/2017;6;18;35;Muy buena / Oso ona;28;39;65;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;298;88;1001,6;0,1;272,1;20,5;0,3;Buena / Ona
28/08/2017;8;27;54;Buena / Ona;38;29;50;Muy buena / Oso ona;17;Muy buena / Oso ona;4;Muy buena / Oso ona;188;74;1002;0,2;131,7;23;0,58;Buena / Ona
27/08/2017;3;15;36;Muy buena / Oso ona;20;34;49;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;152;79;1001,9;0;82,3;22,9;0,48;Muy buena / Oso ona
26/08/2017;2;10;25;Muy buena / Oso ona;12;45;63;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;311;86;1001,9;0;174,2;21,2;0,25;Buena / Ona
25/08/2017;3;10;27;Muy buena / Oso ona;15;38;56;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;299;89;1003,7;0;86,9;20,4;0,41;Muy buena / Oso ona
24/08/2017;2;8;25;Muy buena / Oso ona;11;48;60;Muy buena / Oso ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;310;83;1004,1;0;154;21,5;0,55;Muy buena / Oso ona
23/08/2017;2;11;32;Muy buena / Oso ona;14;47;72;Buena / Ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona;318;81;1005,7;0;116,1;20,8;0,3;Buena / Ona
22/08/2017;1;11;43;Muy buena / Oso ona;14;72;88;Buena / Ona;26;Buena / Ona;3;Muy buena / Oso ona;304;67;1003,6;0;296,1;24,6;0,79;Buena / Ona
21/08/2017;3;18;31;Muy buena / Oso ona;23;50;85;Buena / Ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;129;66;1004,8;0;416,9;22,8;0,71;Buena / Ona
20/08/2017;1;11;24;Muy buena / Oso ona;13;49;71;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;45;69;1012,5;0;413,9;19;0,34;Buena / Ona
19/08/2017;1;10;30;Muy buena / Oso ona;12;51;61;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;33;75;1011,4;0;374,1;19,7;0,49;Buena / Ona
18/08/2017;4;16;29;Muy buena / Oso ona;23;34;58;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;240;88;1008,5;0;61,6;19,7;0,3;Muy buena / Oso ona
17/08/2017;3;11;35;Muy buena / Oso ona;16;38;65;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;192;78;1008,1;0;417,8;20,3;0,07;Buena / Ona
16/08/2017;3;15;28;Muy buena / Oso ona;19;29;46;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;235;87;1009,6;0;177,3;19,6;0,08;Muy buena / Oso ona
15/08/2017;1;6;23;Muy buena / Oso ona;8;47;64;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;312;88;1007,3;0;52,9;20,2;0,61;Buena / Ona
14/08/2017;5;14;40;Muy buena / Oso ona;21;50;88;Buena / Ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona;186;70;1001,6;0;360,2;24;0,36;Buena / Ona
13/08/2017;3;14;33;Muy buena / Oso ona;18;39;65;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;340;78;1007,4;0;412,4;19,6;0,4;Buena / Ona
12/08/2017;2;11;27;Muy buena / Oso ona;14;47;75;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;39;77;1011,3;0;426;17,6;0,18;Buena / Ona
11/08/2017;4;13;42;Muy buena / Oso ona;19;52;77;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;295;70;1012,9;0;344,6;17,5;0,92;Buena / Ona
10/08/2017;1;6;19;Muy buena / Oso ona;8;66;72;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;292;83;1013,2;0,3;77,2;16,5;1,65;Buena / Ona
09/08/2017;1;10;22;Muy buena / Oso ona;12;57;74;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;284;79;1009,3;0,1;172,2;16,4;1,38;Buena / Ona
08/08/2017;2;12;36;Muy buena / Oso ona;15;54;74;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;272;82;1006,8;0,1;142,5;17;0,96;Buena / Ona
07/08/2017;3;14;38;Muy buena / Oso ona;18;55;76;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;286;81;1002,7;0;131,2;19,8;0,89;Buena / Ona
06/08/2017;2;9;39;Muy buena / Oso ona;12;55;67;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;348;70;1009,7;0;284,6;19,7;0,37;Buena / Ona
05/08/2017;3;11;31;Muy buena / Oso ona;15;43;60;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;350;85;1008,6;0;51,1;19,7;0,71;Muy buena / Oso ona
04/08/2017;3;13;30;Muy buena / Oso ona;18;35;49;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;35;73;1005,8;0;424,8;24,1;0,17;Muy buena / Oso ona
03/08/2017;4;14;37;Muy buena / Oso ona;21;42;67;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;355;79;1006,4;0;353,8;22,2;0,4;Buena / Ona
02/08/2017;5;13;28;Muy buena / Oso ona;21;37;53;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;307;78;1006,1;0;330,8;21;0,36;Muy buena / Oso ona
01/08/2017;4;16;36;Muy buena / Oso ona;21;38;56;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;316;80;1004,4;0;109,8;20;0,19;Muy buena / Oso ona
31/07/2017;2;10;20;Muy buena / Oso ona;14;44;59;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;334;80;1001;0;97,7;20,1;0,38;Muy buena / Oso ona
30/07/2017;3;17;38;Muy buena / Oso ona;21;36;53;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;318;80;1002,8;0;66,5;20,3;0,19;Muy buena / Oso ona
29/07/2017;4;16;38;Muy buena / Oso ona;21;41;71;Buena / Ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;270;78;1003,1;0;409,4;22;0,18;Buena / Ona
28/07/2017;2;10;24;Muy buena / Oso ona;14;44;65;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;341;85;1005,9;0;198,9;20,5;0,38;Buena / Ona
27/07/2017;6;15;29;Muy buena / Oso ona;24;46;82;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;297;79;1004;0;383,1;20,5;0,26;Buena / Ona
26/07/2017;9;19;37;Muy buena / Oso ona;33;40;64;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;274;77;1005,5;0;339,3;19,1;0,55;Buena / Ona
25/07/2017;1;6;20;Muy buena / Oso ona;8;62;67;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;307;79;1008,8;0;116;18,5;1,35;Buena / Ona
24/07/2017;1;7;14;Muy buena / Oso ona;9;43;52;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;297;90;1009,9;0,2;86,6;18,3;1,63;Muy buena / Oso ona
23/07/2017;2;10;27;Muy buena / Oso ona;14;43;64;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;292;76;1009;0;395,4;19,5;0,62;Buena / Ona
22/07/2017;3;12;22;Muy buena / Oso ona;17;37;63;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;276;77;1004,7;0;230,5;18,9;0,23;Buena / Ona
21/07/2017;4;17;33;Muy buena / Oso ona;24;29;54;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;242;82;1001,9;0;79,6;17,8;0,26;Muy buena / Oso ona
20/07/2017;2;15;27;Muy buena / Oso ona;18;36;60;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;268;93;1005,2;0,1;60,5;16,9;0,75;Muy buena / Oso ona
19/07/2017;1;10;21;Muy buena / Oso ona;12;71;80;Buena / Ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona;313;83;1001,2;0;121;20,9;0,67;Buena / Ona
18/07/2017;1;10;26;Muy buena / Oso ona;12;83;89;Buena / Ona;24;Muy buena / Oso ona;3;Muy buena / Oso ona;177;62;997,8;0;330,4;26,1;0,73;Buena / Ona
17/07/2017;8;30;53;Buena / Ona;42;52;91;Buena / Ona;25;Muy buena / Oso ona;3;Muy buena / Oso ona;109;73;1001;0;322,4;25,5;0,56;Buena / Ona
16/07/2017;3;15;41;Muy buena / Oso ona;20;49;82;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;304;81;1008,3;0;439,1;20,9;0,47;Buena / Ona
15/07/2017;1;9;25;Muy buena / Oso ona;11;49;69;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;353;80;1011;0;267,3;19,5;0,58;Buena / Ona
14/07/2017;5;11;29;Muy buena / Oso ona;19;42;67;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;344;83;1011,2;0;194,6;19,2;0,63;Buena / Ona
13/07/2017;3;9;31;Muy buena / Oso ona;13;39;46;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;325;84;1010,5;0;116,2;19,5;0,65;Muy buena / Oso ona
12/07/2017;9;13;31;Muy buena / Oso ona;26;29;44;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;324;85;1008,9;0;218,1;19,5;0,29;Muy buena / Oso ona
11/07/2017;3;13;27;Muy buena / Oso ona;18;32;48;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;325;84;1005;0;321,7;19,3;0,43;Muy buena / Oso ona
10/07/2017;3;12;27;Muy buena / Oso ona;17;29;39;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;276;91;1004,6;0;96,3;18,3;0,78;Muy buena / Oso ona
09/07/2017;1;6;14;Muy buena / Oso ona;8;51;60;Muy buena / Oso ona;18;Muy buena / Oso ona;3;Muy buena / Oso ona;302;87;1003,5;0,1;311,4;19,2;1,08;Muy buena / Oso ona
08/07/2017;1;6;15;Muy buena / Oso ona;7;62;73;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;309;95;1005,3;0;39,9;18,6;1,02;Buena / Ona
07/07/2017;4;11;33;Muy buena / Oso ona;17;40;54;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;299;84;1005,6;0;283,8;20,6;0,76;Muy buena / Oso ona
06/07/2017;2;14;34;Muy buena / Oso ona;17;43;61;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;15;84;1004;0;174,7;20;0,2;Buena / Ona
05/07/2017;1;9;50;Muy buena / Oso ona;11;73;89;Buena / Ona;18;Muy buena / Oso ona;3;Muy buena / Oso ona;296;62;1000,8;0;362,8;23,4;0,49;Buena / Ona
04/07/2017;5;20;49;Muy buena / Oso ona;28;39;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;3;Muy buena / Oso ona;119;72;1002,7;0;440,9;23,5;0,25;Muy buena / Oso ona
03/07/2017;7;13;28;Muy buena / Oso ona;24;16;36;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;330;84;1012,1;0;356,1;17,5;0,35;Muy buena / Oso ona
02/07/2017;2;11;27;Muy buena / Oso ona;15;38;59;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;297;84;1015,6;0;257,3;16,3;0,74;Muy buena / Oso ona
01/07/2017;0;6;10;Muy buena / Oso ona;7;54;60;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;285;88;1013;0,2;39,7;14,3;1,94;Muy buena / Oso ona
30/06/2017;4;16;35;Muy buena / Oso ona;22;42;59;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;271;80;1004,7;0,1;98,4;14,9;1,84;Muy buena / Oso ona
29/06/2017;1;10;24;Muy buena / Oso ona;11;55;63;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;286;65;998,6;0;187,3;16,7;2,08;Buena / Ona
28/06/2017;6;12;30;Muy buena / Oso ona;22;42;62;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;287;76;994,4;0,1;184,5;18,6;1,73;Buena / Ona
27/06/2017;4;12;22;Muy buena / Oso ona;18;33;56;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;282;86;997,1;0;126,8;19,4;0,77;Muy buena / Oso ona
26/06/2017;4;13;23;Muy buena / Oso ona;19;29;46;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;264;87;998,6;0;181,9;20,8;0,62;Muy buena / Oso ona
25/06/2017;2;11;21;Muy buena / Oso ona;14;30;50;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;115;82;1005,1;0;137,3;20;0,12;Muy buena / Oso ona
24/06/2017;2;10;23;Muy buena / Oso ona;13;45;61;Buena / Ona;21;Muy buena / Oso ona;3;Muy buena / Oso ona;352;74;1009,8;0;225,6;20,8;0,44;Buena / Ona
23/06/2017;1;11;25;Muy buena / Oso ona;13;46;61;Buena / Ona;20;Muy buena / Oso ona;3;Muy buena / Oso ona;292;85;1011,2;0;74;19,7;0,59;Buena / Ona
22/06/2017;0;8;14;Muy buena / Oso ona;8;73;88;Buena / Ona;23;Muy buena / Oso ona;3;Muy buena / Oso ona;307;92;1006,8;0;26,7;20,1;1,06;Buena / Ona
21/06/2017;2;21;36;Muy buena / Oso ona;23;83;134;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;3;Muy buena / Oso ona;153;63;1002,3;0;392,9;27,6;0,19;Mejorable / Hobetzeko modukoa
20/06/2017;2;19;52;Buena / Ona;22;90;129;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;3;Muy buena / Oso ona;225;56;1003,4;0;351,1;27;0,36;Mejorable / Hobetzeko modukoa
19/06/2017;1;15;32;Muy buena / Oso ona;17;90;124;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;3;Muy buena / Oso ona;192;52;1001,4;0;363,9;28;0,58;Mejorable / Hobetzeko modukoa
18/06/2017;2;16;30;Muy buena / Oso ona;19;63;99;Buena / Ona;18;Muy buena / Oso ona;3;Muy buena / Oso ona;291;79;1002,5;0;456,2;21,5;0,27;Buena / Ona
17/06/2017;3;14;23;Muy buena / Oso ona;19;50;82;Buena / Ona;20;Muy buena / Oso ona;3;Muy buena / Oso ona;306;83;1008,8;0;401,9;19,7;0,23;Buena / Ona
16/06/2017;2;13;36;Muy buena / Oso ona;17;50;57;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;341;91;1012,5;0;89,3;18,3;0,46;Muy buena / Oso ona
