Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
07/04/2017;0,56;0,23;0,24;Muy buena / Oso ona;0,94;7;27;44;Muy buena / Oso ona;39;29;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;5;44;69;998,2;0;247,9;13,1;0,73;Buena / Ona
06/04/2017;0,5;0,23;0,29;Muy buena / Oso ona;0,97;12;25;51;Buena / Ona;43;26;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;6,06;25;67;1001,9;0;206,9;12,9;0,66;Buena / Ona
05/04/2017;0,42;0,21;0,29;Muy buena / Oso ona;0,47;4;19;56;Buena / Ona;25;12;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2,58;3;75;1003,6;0;65,3;12,3;0,38;Buena / Ona
04/04/2017;0,43;0,21;0,26;Muy buena / Oso ona;1,17;2;19;40;Muy buena / Oso ona;22;11;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;4,81;31;69;1004,5;0;119,5;12,9;0,89;Muy buena / Oso ona
03/04/2017;0,47;0,22;0,29;Muy buena / Oso ona;0,66;12;22;41;Muy buena / Oso ona;41;16;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;4,12;38;70;1002,2;0;207,1;13;0,58;Muy buena / Oso ona
02/04/2017;0,19;0,16;0,17;Muy buena / Oso ona;0,01;1;15;39;Muy buena / Oso ona;15;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;;27;74;1001,4;0;127,6;10,9;0,48;Muy buena / Oso ona
01/04/2017;0,33;0,18;0,21;Muy buena / Oso ona;0,15;3;21;32;Muy buena / Oso ona;25;5;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;2,31;214;79;998,1;0,1;91,1;11;0,61;Muy buena / Oso ona
31/03/2017;0,28;0,18;0,19;Muy buena / Oso ona;0,1;2;19;34;Muy buena / Oso ona;22;10;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;1,31;234;50;995,3;0;132,6;17,1;1,37;Muy buena / Oso ona
30/03/2017;0,76;0,24;0,33;Muy buena / Oso ona;4,3;22;30;63;Buena / Ona;63;25;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;9,52;193;50;997,8;0;161,5;18,3;1,07;Buena / Ona
29/03/2017;1,06;0,25;0,33;Muy buena / Oso ona;3,79;22;37;67;Buena / Ona;71;25;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;9,77;49;56;1001,9;0;220,6;16,1;0,07;Buena / Ona
28/03/2017;0,73;0,21;0,26;Muy buena / Oso ona;0,69;10;29;58;Buena / Ona;44;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;3,2;239;53;1002,2;0;236,4;15,1;1,56;Buena / Ona
27/03/2017;0,31;0,18;0,22;Muy buena / Oso ona;0,52;2;20;43;Muy buena / Oso ona;23;8;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona;1,85;207;51;994,7;0;194,1;14,8;1,43;Muy buena / Oso ona
26/03/2017;0,34;0,18;0,22;Muy buena / Oso ona;1,05;2;19;58;Buena / Ona;22;10;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;;212;55;991,4;0;209,5;13,3;1,56;Buena / Ona
25/03/2017;0,46;0,21;0,24;Muy buena / Oso ona;0,43;3;26;43;Muy buena / Oso ona;31;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;1,52;225;82;989,8;0,1;28,3;7,2;1,14;Muy buena / Oso ona
24/03/2017;0,69;0,22;0,26;Muy buena / Oso ona;1,85;12;29;54;Buena / Ona;48;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;7,49;38;63;992,5;0;172,1;8,8;0,49;Buena / Ona
23/03/2017;0,57;0,21;0,24;Muy buena / Oso ona;0,64;8;30;62;Buena / Ona;43;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3,2;229;61;986,9;0;172,1;7,6;1,17;Buena / Ona
22/03/2017;0,43;0,2;0,24;Muy buena / Oso ona;0,18;4;31;48;Muy buena / Oso ona;37;9;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;2,4;225;70;988;0;54;9,4;0,65;Muy buena / Oso ona
21/03/2017;0,42;0,21;0,23;Muy buena / Oso ona;0,4;6;30;54;Buena / Ona;39;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;2;Muy buena / Oso ona;2,75;304;78;995,4;0;42,1;10,3;0,05;Buena / Ona
20/03/2017;0,4;0,19;0,24;Muy buena / Oso ona;0,09;2;19;40;Muy buena / Oso ona;22;14;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;43;67;995,3;0;140,2;12,1;0,78;Muy buena / Oso ona
19/03/2017;0,36;0,2;0,23;Muy buena / Oso ona;0,12;2;15;27;Muy buena / Oso ona;19;17;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;46;72;998,5;0;184,9;10,9;1,13;Muy buena / Oso ona
18/03/2017;0,27;0,18;0,19;Muy buena / Oso ona;0,04;1;13;30;Muy buena / Oso ona;15;17;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;35;67;1002,4;0;104,4;11,7;0,99;Muy buena / Oso ona
17/03/2017;1,03;0,24;0,32;Muy buena / Oso ona;5,52;17;31;74;Buena / Ona;57;29;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;11,01;44;66;1000,8;0;177,2;13;0,55;Buena / Ona
16/03/2017;0,99;0,25;0,33;Muy buena / Oso ona;1,75;16;39;74;Buena / Ona;63;29;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;5,74;221;50;998,7;0;211,8;16,5;1,07;Buena / Ona
15/03/2017;0,75;0,27;0,3;Muy buena / Oso ona;0,79;10;29;50;Muy buena / Oso ona;44;36;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;4,9;42;74;1004,9;0;173,4;13,4;0,67;Buena / Ona
14/03/2017;0,69;0,26;0,28;Muy buena / Oso ona;0,29;9;28;47;Muy buena / Oso ona;42;29;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;3,73;27;77;1009,7;0;110,2;12,2;0,57;Buena / Ona
13/03/2017;0,47;0,24;0,33;Muy buena / Oso ona;0,22;3;28;53;Buena / Ona;33;10;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;328;84;1004,9;0,2;20,7;10,4;0,3;Buena / Ona
12/03/2017;0,31;0,18;0,2;Muy buena / Oso ona;0,04;1;15;26;Muy buena / Oso ona;17;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;;223;78;998,2;0,1;38,2;11,2;0,94;Muy buena / Oso ona
11/03/2017;0,71;0,21;0,28;Muy buena / Oso ona;1,24;13;25;58;Buena / Ona;44;25;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;6,13;237;59;995,3;0;150,9;15,2;0,22;Buena / Ona
10/03/2017;0,82;0,26;0,35;Muy buena / Oso ona;1,84;25;38;73;Buena / Ona;77;30;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;9,18;119;64;999,1;0;138,9;14,5;0,12;Buena / Ona
09/03/2017;0,54;0,25;0,32;Muy buena / Oso ona;0,35;11;33;55;Buena / Ona;50;27;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;4,49;51;73;1003,5;0;163,3;14,3;0,36;Buena / Ona
08/03/2017;0,4;0,22;0,26;Muy buena / Oso ona;0,36;10;25;44;Muy buena / Oso ona;40;15;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;4,48;43;75;1005,4;0;169,3;14,7;0,78;Muy buena / Oso ona
07/03/2017;0,59;0,24;0,27;Muy buena / Oso ona;0,5;9;39;61;Buena / Ona;53;22;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;4,93;251;81;1004,3;0;36,6;12;0,35;Buena / Ona
06/03/2017;0,56;0,24;0,32;Muy buena / Oso ona;0,97;20;32;71;Buena / Ona;62;21;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;6,06;239;71;999,6;0;95,4;13,4;0,68;Buena / Ona
05/03/2017;0,48;0,24;0,27;Muy buena / Oso ona;0,08;5;25;48;Muy buena / Oso ona;33;13;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;1,59;268;69;992;0;57,7;12;0,31;Muy buena / Oso ona
04/03/2017;0,53;0,2;0,24;Muy buena / Oso ona;0,15;4;22;36;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;2;Muy buena / Oso ona;1,37;213;74;983,1;0;110,5;7,6;0,57;Muy buena / Oso ona
03/03/2017;0,32;0,17;0,25;Muy buena / Oso ona;0,12;2;18;35;Muy buena / Oso ona;21;15;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;;210;57;979,8;0;102,9;14,4;2,58;Muy buena / Oso ona
02/03/2017;0,83;0,26;0,32;Muy buena / Oso ona;1,44;24;36;73;Buena / Ona;74;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;7,35;218;58;993,7;0;151,3;14,7;0,73;Buena / Ona
01/03/2017;1,11;0,28;0,34;Muy buena / Oso ona;1,79;27;41;60;Buena / Ona;81;27;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;5,52;221;70;995,2;0;145,4;10,2;0,92;Buena / Ona
28/02/2017;0,47;0,21;0,26;Muy buena / Oso ona;0,43;6;32;57;Buena / Ona;42;10;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;3,54;222;69;989,8;0;36,7;10,1;2,05;Buena / Ona
27/02/2017;0,67;0,29;0,52;Muy buena / Oso ona;0,6;12;30;84;Buena / Ona;49;15;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;4,18;228;58;988,9;0;153,6;13,1;2,05;Buena / Ona
26/02/2017;0,69;0,28;0,31;Muy buena / Oso ona;0,97;10;25;51;Buena / Ona;40;21;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;4,32;40;72;997,1;0;142,5;10,3;0,42;Buena / Ona
25/02/2017;0,58;0,23;0,27;Muy buena / Oso ona;1,35;9;33;52;Buena / Ona;47;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3,1;227;67;998;0;149;9,6;0,33;Buena / Ona
24/02/2017;0,38;0,19;0,29;Muy buena / Oso ona;0,1;3;25;54;Buena / Ona;29;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;2,64;30;80;997,9;0;68,1;9,6;0,59;Buena / Ona
23/02/2017;1,12;0,34;0,52;Muy buena / Oso ona;1,68;28;33;57;Buena / Ona;76;44;Buena / Ona;24;Buena / Ona;3;Muy buena / Oso ona;7,59;40;75;993,9;0;106;10,4;0,98;Buena / Ona
22/02/2017;1,1;0,37;0,55;Muy buena / Oso ona;1,28;24;41;70;Buena / Ona;77;42;Buena / Ona;23;Buena / Ona;3;Muy buena / Oso ona;7,06;121;75;998,9;0;130,2;9,8;0,14;Buena / Ona
21/02/2017;0,9;0,28;0,33;Muy buena / Oso ona;2,13;25;36;62;Buena / Ona;75;32;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;7,81;39;77;1003,9;0;114,7;8,7;0,17;Buena / Ona
20/02/2017;0,81;0,28;0,35;Muy buena / Oso ona;0,68;17;40;62;Buena / Ona;66;24;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;7,56;25;79;1005,8;0;23,9;10,3;0,29;Buena / Ona
19/02/2017;0,47;0,3;0,4;Muy buena / Oso ona;0,08;4;27;56;Buena / Ona;32;22;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;2,82;40;74;1004,7;0;55,8;11,8;0,56;Buena / Ona
18/02/2017;0,63;0,25;0,34;Muy buena / Oso ona;2,23;13;24;35;Muy buena / Oso ona;44;29;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;6,61;47;75;999,5;0;109,9;10;0,59;Buena / Ona
17/02/2017;1,05;0,3;0,34;Muy buena / Oso ona;2,45;35;38;65;Buena / Ona;91;33;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;15,24;36;67;1004,2;0;135;10,8;0,14;Buena / Ona
16/02/2017;1,08;0,3;0,37;Muy buena / Oso ona;2,97;35;44;76;Buena / Ona;98;28;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;7,86;217;66;1007,6;0;128,6;12,4;0,84;Buena / Ona
15/02/2017;0,84;0,24;0,32;Muy buena / Oso ona;1,2;13;32;70;Buena / Ona;53;16;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;226;60;1007,1;0;131,5;13,6;1,53;Buena / Ona
14/02/2017;1,22;0,3;0,39;Muy buena / Oso ona;2,82;24;37;67;Buena / Ona;74;18;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;2,74;225;68;998,4;0;115;11;1,2;Buena / Ona
13/02/2017;0,77;0,21;0,27;Muy buena / Oso ona;0,86;5;24;63;Buena / Ona;31;20;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;;160;65;984,8;1,8;33,5;12,9;1,37;Buena / Ona
12/02/2017;0,74;0,21;0,35;Muy buena / Oso ona;0,75;1;14;33;Muy buena / Oso ona;17;32;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;96;61;982,6;1,5;50,7;12,4;1;Buena / Ona
11/02/2017;1,26;0,3;0,35;Muy buena / Oso ona;2,39;16;46;62;Buena / Ona;70;28;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;4,33;26;76;991,7;0,8;29,4;7,9;0,28;Buena / Ona
10/02/2017;0,82;0,21;0,33;Muy buena / Oso ona;1,02;6;35;70;Buena / Ona;44;13;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;233;48;989,8;0;71,5;10,6;1,71;Buena / Ona
09/02/2017;0,91;0,24;0,33;Muy buena / Oso ona;1,29;16;39;63;Buena / Ona;63;15;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;2,52;260;77;996;0,4;96,9;7,9;0,17;Buena / Ona
08/02/2017;0,75;0,19;0,27;Muy buena / Oso ona;0,92;6;32;73;Buena / Ona;42;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;;296;83;1004,5;9;48,9;7;0,28;Buena / Ona
07/02/2017;1,03;0,26;0,44;Muy buena / Oso ona;2,22;23;39;64;Buena / Ona;75;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;5,75;224;87;1000,5;6,2;31,5;10;0,64;Buena / Ona
06/02/2017;1,1;0,29;0,44;Muy buena / Oso ona;1,8;37;51;77;Buena / Ona;107;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;247;88;1001,5;5,9;21,4;9,1;0,32;Buena / Ona
05/02/2017;0,65;0,17;0,23;Muy buena / Oso ona;0,77;2;18;36;Muy buena / Oso ona;20;6;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;;216;73;991,3;6,7;35;8,8;2,06;Muy buena / Oso ona
04/02/2017;0,74;0,2;0,24;Muy buena / Oso ona;0,89;4;25;63;Buena / Ona;31;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;2;Muy buena / Oso ona;;226;74;985;3;21,8;12,9;1,48;Buena / Ona
03/02/2017;0,68;0,17;0,22;Muy buena / Oso ona;0,88;3;23;55;Buena / Ona;28;10;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;217;50;985,9;0,7;72,1;13,1;3,9;Buena / Ona
02/02/2017;0,7;0,19;0,24;Muy buena / Oso ona;0,89;3;24;44;Muy buena / Oso ona;30;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;1,14;213;58;986,4;1,3;32;13;2,94;Muy buena / Oso ona
01/02/2017;0,81;0,21;0,28;Muy buena / Oso ona;1,79;7;32;55;Buena / Ona;43;15;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2,28;227;55;990,9;0;54,5;15,1;1,65;Buena / Ona
31/01/2017;0,79;0,22;0,27;Muy buena / Oso ona;1,05;15;34;73;Buena / Ona;56;16;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;1,89;231;57;991,8;0;103,3;15;2,08;Buena / Ona
30/01/2017;1,28;0,29;0,42;Muy buena / Oso ona;1,28;37;34;60;Buena / Ona;91;16;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;3,59;235;69;996;0;52,8;13,6;1,13;Buena / Ona
29/01/2017;1,03;0,27;0,35;Muy buena / Oso ona;3,07;13;25;48;Muy buena / Oso ona;45;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2,22;213;73;998,6;0,2;65,9;9;1,07;Muy buena / Oso ona
28/01/2017;1,03;0,27;0,4;Muy buena / Oso ona;1,21;13;32;50;Muy buena / Oso ona;52;16;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;1,91;250;76;997,8;0;77,4;8,6;0,23;Muy buena / Oso ona
27/01/2017;0,86;0,27;0,39;Muy buena / Oso ona;1,02;14;30;71;Buena / Ona;51;16;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;;221;64;986,4;1,7;44,7;10,2;2,08;Buena / Ona
26/01/2017;1,16;0,29;0,46;Muy buena / Oso ona;1,44;17;31;76;Buena / Ona;57;31;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;3;217;62;990,7;0;82,6;;1,28;Buena / Ona
25/01/2017;1,59;0,39;0,54;Muy buena / Oso ona;2,64;34;42;75;Buena / Ona;95;35;Buena / Ona;22;Buena / Ona;3;Muy buena / Oso ona;5,8;150;75;999,7;0;90,6;;0,18;Buena / Ona
24/01/2017;2,1;0,45;0,52;Muy buena / Oso ona;5;58;45;78;Buena / Ona;133;39;Buena / Ona;24;Buena / Ona;4;Muy buena / Oso ona;7,35;128;75;1003,6;0;95,5;5,6;0,05;Buena / Ona
23/01/2017;2,04;0,45;0,57;Muy buena / Oso ona;2,81;50;41;75;Buena / Ona;117;38;Buena / Ona;21;Buena / Ona;3;Muy buena / Oso ona;6,7;232;79;1000,5;0;65,8;5,4;0,29;Buena / Ona
22/01/2017;1,75;0,44;0,55;Muy buena / Oso ona;1,24;33;36;55;Buena / Ona;87;30;Buena / Ona;18;Buena / Ona;3;Muy buena / Oso ona;3,18;13;84;998,7;0,1;42,7;;0,1;Buena / Ona
21/01/2017;1,7;0,4;0,48;Muy buena / Oso ona;1,48;28;36;57;Buena / Ona;79;30;Buena / Ona;18;Buena / Ona;3;Muy buena / Oso ona;3,33;40;76;998,8;0;83,2;;0,06;Buena / Ona
20/01/2017;1,83;0,42;0,46;Muy buena / Oso ona;2,22;39;42;62;Buena / Ona;102;47;Buena / Ona;26;Buena / Ona;3;Muy buena / Oso ona;5,52;164;80;1000,9;0;72,1;;0,2;Buena / Ona
19/01/2017;1,48;0,33;0,41;Muy buena / Oso ona;1,31;19;41;52;Buena / Ona;70;29;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;3,41;26;76;1002,7;0;34,4;2,2;0,41;Buena / Ona
18/01/2017;1,12;0,25;0,27;Muy buena / Oso ona;1,05;9;39;58;Buena / Ona;52;22;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;1,53;39;71;1003,2;0;11,3;;0,8;Buena / Ona
17/01/2017;0,86;0,23;0,26;Muy buena / Oso ona;0,86;3;15;31;Muy buena / Oso ona;19;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;0,2;31;60;1003,5;0,5;90,2;4,1;1,35;Muy buena / Oso ona
16/01/2017;0,71;0,2;0,26;Muy buena / Oso ona;0,77;3;23;60;Buena / Ona;27;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;2;Muy buena / Oso ona;0,27;354;87;1002,1;33,8;23,9;10;0,6;Buena / Ona
15/01/2017;0,74;0,18;0,29;Muy buena / Oso ona;0,81;2;22;42;Muy buena / Oso ona;24;6;Muy buena / Oso ona;1;Muy buena / Oso ona;2;Muy buena / Oso ona;0,38;330;87;1005,9;24,7;16,1;7,6;0,32;Muy buena / Oso ona
14/01/2017;0,94;0,21;0,27;Muy buena / Oso ona;1,05;4;34;52;Buena / Ona;40;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;1,04;275;90;1005,2;13,5;25,8;4,4;0,14;Buena / Ona
13/01/2017;0,79;0,18;0,26;Muy buena / Oso ona;1,02;6;35;59;Buena / Ona;45;9;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;1,49;234;83;1000,9;8,9;37,7;6,6;0,29;Buena / Ona
12/01/2017;1,09;0,26;0,34;Muy buena / Oso ona;1,8;32;33;44;Muy buena / Oso ona;82;19;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;5,14;231;87;998,7;0,8;38,3;11,3;0,33;Muy buena / Oso ona
11/01/2017;1,07;0,33;0,4;Muy buena / Oso ona;1,7;38;54;80;Buena / Ona;111;13;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;6;4;92;1001,5;11,8;23,1;11,8;0,19;Buena / Ona
10/01/2017;1,34;0,34;0,45;Muy buena / Oso ona;2,86;29;44;78;Buena / Ona;89;20;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;4,32;279;88;997,8;30,8;12;8,5;0,26;Buena / Ona
09/01/2017;1,51;0,41;0,45;Muy buena / Oso ona;1,6;50;44;77;Buena / Ona;121;34;Buena / Ona;18;Buena / Ona;1;Muy buena / Oso ona;5,35;240;79;1006,3;0;57,7;7,5;0,52;Buena / Ona
08/01/2017;1,29;0,38;0,53;Muy buena / Oso ona;0,99;17;38;79;Buena / Ona;64;28;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;1,61;21;74;1010,2;0,1;59,5;;0,26;Buena / Ona
07/01/2017;1,6;0,41;0,51;Muy buena / Oso ona;1,08;26;34;61;Buena / Ona;74;30;Buena / Ona;19;Buena / Ona;1;Muy buena / Oso ona;2,11;15;73;1010,3;0;78,8;;0,2;Buena / Ona
06/01/2017;1,3;0,3;0,47;Muy buena / Oso ona;1,12;16;30;56;Buena / Ona;54;23;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;2,22;19;76;1009,3;0;79,7;;0,19;Buena / Ona
05/01/2017;2,04;0,42;0,57;Muy buena / Oso ona;2,05;48;39;67;Buena / Ona;112;41;Buena / Ona;26;Buena / Ona;1;Muy buena / Oso ona;6,22;89;80;1008;0;56,6;;0,08;Buena / Ona
04/01/2017;1,92;0,47;0,56;Muy buena / Oso ona;1,63;51;38;58;Buena / Ona;116;43;Buena / Ona;28;Buena / Ona;1;Muy buena / Oso ona;5,4;190;79;1005,3;0;71,6;;0,09;Buena / Ona
03/01/2017;2,16;0,52;0,62;Muy buena / Oso ona;1,69;52;38;63;Buena / Ona;118;42;Buena / Ona;26;Buena / Ona;1;Muy buena / Oso ona;5,51;193;77;1002,5;0;69,9;;0,2;Buena / Ona
02/01/2017;1,19;0,31;0,43;Muy buena / Oso ona;1,46;35;37;63;Buena / Ona;91;23;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;3,38;325;73;999,1;0;52,8;4,9;0,22;Buena / Ona
01/01/2017;1,17;0,28;0,4;Muy buena / Oso ona;1,14;19;26;39;Muy buena / Oso ona;55;18;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;1,72;41;80;1001,5;0;73,9;;0,24;Muy buena / Oso ona
