Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
23/09/2017;0,22;0,2;0,21;Muy buena / Oso ona;0,28;4;19;37;Muy buena / Oso ona;24;19;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;1,91;221;67;996,3;0;191;20,6;0,33;Muy buena / Oso ona
22/09/2017;0,26;0,2;0,23;Muy buena / Oso ona;0,45;7;19;30;Muy buena / Oso ona;31;18;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;3,23;40;77;998,8;0;134;17,6;0,91;Muy buena / Oso ona
21/09/2017;0,37;0,23;0,27;Muy buena / Oso ona;0,68;16;19;38;Muy buena / Oso ona;44;21;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;4,66;42;70;995,7;0;174,1;16,3;0,66;Muy buena / Oso ona
20/09/2017;0,29;;;Sin datos / Daturik gabe;0,42;9;25;40;Muy buena / Oso ona;38;18;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;2,39;157;64;997,7;0;206,4;15,3;0,05;Muy buena / Oso ona
19/09/2017;0,27;;;Sin datos / Daturik gabe;0,48;6;18;34;Muy buena / Oso ona;27;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;1,84;19;75;1002;0;166,9;15,2;0,41;Muy buena / Oso ona
18/09/2017;0,19;0,2;0,22;Muy buena / Oso ona;0,22;8;23;35;Muy buena / Oso ona;35;9;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;1,56;353;83;997,4;0;58,8;15,5;0,18;Muy buena / Oso ona
17/09/2017;0,16;0,2;0,22;Muy buena / Oso ona;;5;13;26;Muy buena / Oso ona;20;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;0,45;338;68;995,6;0;155,7;15,3;0,1;Muy buena / Oso ona
16/09/2017;0,15;;;Sin datos / Daturik gabe;;3;12;19;Muy buena / Oso ona;16;7;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;0,39;231;72;994,3;0;150,6;13,3;0,55;Muy buena / Oso ona
15/09/2017;0,21;;;Sin datos / Daturik gabe;0,51;9;19;35;Muy buena / Oso ona;33;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;0,93;242;77;995,4;0;134,1;13,8;0,55;Muy buena / Oso ona
14/09/2017;0,17;0,17;0,2;Muy buena / Oso ona;0,57;3;16;33;Muy buena / Oso ona;21;13;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;1,25;14;75;999,3;0;77;16,4;0,24;Muy buena / Oso ona
13/09/2017;0,31;0,2;0,26;Muy buena / Oso ona;0,75;14;16;27;Muy buena / Oso ona;37;21;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;2,12;44;72;998,2;0;212,6;19,8;0,62;Muy buena / Oso ona
12/09/2017;0,15;0,17;0,19;Muy buena / Oso ona;0,2;4;16;39;Muy buena / Oso ona;23;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;0,67;282;75;996,9;0;170,1;17,8;0,08;Muy buena / Oso ona
11/09/2017;0,2;0,2;0,25;Muy buena / Oso ona;0,3;8;19;32;Muy buena / Oso ona;32;13;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;1,15;236;80;992,4;0;88,7;17,6;0,42;Muy buena / Oso ona
10/09/2017;0,13;0,18;0,2;Muy buena / Oso ona;;1;9;16;Muy buena / Oso ona;11;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;0,2;253;77;991,8;0;117;16,3;0,16;Muy buena / Oso ona
09/09/2017;0,19;0,21;0,22;Muy buena / Oso ona;;2;15;27;Muy buena / Oso ona;19;9;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;0,54;217;78;988,2;0,1;124,1;16,4;0,73;Muy buena / Oso ona
08/09/2017;0,19;0,2;0,25;Muy buena / Oso ona;0,44;11;18;36;Muy buena / Oso ona;34;18;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;1,99;39;68;992,5;0;213,3;17,8;0,42;Muy buena / Oso ona
07/09/2017;0,18;0,18;0,19;Muy buena / Oso ona;0,33;5;14;35;Muy buena / Oso ona;22;15;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;1,87;28;71;999,6;0;106,5;18;0,61;Muy buena / Oso ona
06/09/2017;0,24;0,2;0,24;Muy buena / Oso ona;0,89;6;17;38;Muy buena / Oso ona;26;16;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;1,21;23;77;1003,4;0;80,3;19;0,55;Muy buena / Oso ona
05/09/2017;0,14;0,21;0,24;Muy buena / Oso ona;0,19;6;14;24;Muy buena / Oso ona;24;12;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;1,05;40;73;1000,3;0;149,2;20,7;0,6;Muy buena / Oso ona
04/09/2017;0,16;0,24;0,28;Muy buena / Oso ona;0,26;8;15;25;Muy buena / Oso ona;27;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;1,41;36;76;995,3;0;117,1;20,4;0,63;Muy buena / Oso ona
03/09/2017;0,19;0,21;0,27;Muy buena / Oso ona;0,12;6;15;25;Muy buena / Oso ona;23;16;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;0,51;31;67;993,3;0;160,7;19,4;0,39;Muy buena / Oso ona
02/09/2017;0,18;0,19;0,24;Muy buena / Oso ona;;3;12;22;Muy buena / Oso ona;17;10;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;0,98;35;74;1001,1;0;146,3;16,9;0,59;Muy buena / Oso ona
01/09/2017;0,25;0,19;0,21;Muy buena / Oso ona;0,69;8;14;26;Muy buena / Oso ona;26;12;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;1,1;252;72;1000,7;0;128,4;16,5;0,48;Muy buena / Oso ona
31/08/2017;0,17;0,2;0,24;Muy buena / Oso ona;0,37;4;16;29;Muy buena / Oso ona;22;10;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;1,62;247;79;999,2;0;99,2;17,1;0,07;Muy buena / Oso ona
30/08/2017;0,19;0,19;0,22;Muy buena / Oso ona;0,28;4;16;35;Muy buena / Oso ona;23;16;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;1,99;42;77;992,5;0,3;162,7;21,1;0,26;Muy buena / Oso ona
29/08/2017;0,18;0,21;0,23;Muy buena / Oso ona;0,47;6;20;34;Muy buena / Oso ona;29;19;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;2,52;46;77;991,5;0;159,2;22,1;0,51;Muy buena / Oso ona
28/08/2017;0,19;0,19;0,22;Muy buena / Oso ona;0,3;14;23;47;Muy buena / Oso ona;44;24;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;1,58;248;74;992,6;0,1;117,1;22,4;0,31;Muy buena / Oso ona
27/08/2017;0,14;0,19;0,22;Muy buena / Oso ona;0,13;2;19;27;Muy buena / Oso ona;23;21;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;0,72;343;69;992,7;0;67,4;22,7;0,3;Muy buena / Oso ona
26/08/2017;0,11;0,18;0,21;Muy buena / Oso ona;0,11;1;10;21;Muy buena / Oso ona;12;15;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;0,25;44;62;991,5;0;180,2;25,8;0,61;Muy buena / Oso ona
25/08/2017;0,11;0,17;0,2;Muy buena / Oso ona;0,12;1;10;23;Muy buena / Oso ona;11;9;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;0,24;44;78;993;0;230;22,2;1,31;Muy buena / Oso ona
24/08/2017;0,13;0,19;0,22;Muy buena / Oso ona;0,17;1;9;17;Muy buena / Oso ona;12;16;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;0,34;48;72;993,4;0;227,5;23,3;1,24;Muy buena / Oso ona
23/08/2017;0,13;0,18;0,2;Muy buena / Oso ona;0,14;2;11;29;Muy buena / Oso ona;15;24;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;0,52;42;71;995,4;0;180,5;22,5;0,9;Muy buena / Oso ona
22/08/2017;0,12;0,21;0,23;Muy buena / Oso ona;0,24;1;14;52;Buena / Ona;16;28;Buena / Ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;0,75;30;53;993,3;0;245,6;27;0,71;Buena / Ona
21/08/2017;0,13;0,18;0,2;Muy buena / Oso ona;0,64;6;17;29;Muy buena / Oso ona;27;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;1,24;47;59;995,1;0;261,5;22,8;0,53;Muy buena / Oso ona
20/08/2017;0,11;0,14;0,16;Muy buena / Oso ona;;1;9;21;Muy buena / Oso ona;10;14;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;0,39;41;61;1001,8;0;251,1;20,2;0,96;Muy buena / Oso ona
19/08/2017;0,12;0,14;0,17;Muy buena / Oso ona;;1;8;18;Muy buena / Oso ona;10;10;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;0,61;40;66;1000,8;0;213,6;20,4;0,89;Muy buena / Oso ona
18/08/2017;0,11;0,18;0,21;Muy buena / Oso ona;0,27;3;12;22;Muy buena / Oso ona;16;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;0,63;37;74;998,5;0;88,5;20,5;0,67;Muy buena / Oso ona
17/08/2017;0,13;0,15;0,17;Muy buena / Oso ona;0,22;4;11;23;Muy buena / Oso ona;18;14;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;0,94;41;64;997,7;0;272,4;21,6;0,95;Muy buena / Oso ona
16/08/2017;0,12;0,16;0,18;Muy buena / Oso ona;0,22;2;11;19;Muy buena / Oso ona;14;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;0,6;40;76;999,4;0;148,9;21,1;0,67;Muy buena / Oso ona
15/08/2017;0,13;0,15;0,18;Muy buena / Oso ona;0,15;1;9;21;Muy buena / Oso ona;11;15;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;0,39;42;75;997;0;99,1;21,2;0,73;Muy buena / Oso ona
14/08/2017;0,12;0,17;0,19;Muy buena / Oso ona;0,17;5;13;37;Muy buena / Oso ona;20;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;0,69;219;54;991,6;0;268,1;26,4;0,46;Muy buena / Oso ona
13/08/2017;0,11;0,16;0,18;Muy buena / Oso ona;;1;9;14;Muy buena / Oso ona;11;11;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;0,37;39;68;996,7;0;264,6;21,1;0,87;Muy buena / Oso ona
12/08/2017;0,11;0,13;0,17;Muy buena / Oso ona;0,48;4;9;24;Muy buena / Oso ona;15;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;0,88;40;65;1000,7;0;280,2;18,4;0,8;Muy buena / Oso ona
11/08/2017;;0,13;0,15;Muy buena / Oso ona;;7;10;25;Muy buena / Oso ona;20;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;1,02;29;68;1002,5;0;252,3;16,7;0,54;Muy buena / Oso ona
10/08/2017;;0,13;0,15;Muy buena / Oso ona;0,25;5;15;31;Muy buena / Oso ona;23;9;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;0,89;245;82;1003,5;0;90,4;15,6;0,31;Muy buena / Oso ona
