Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
08/10/2017;0,26;0,36;Muy buena / Oso ona;3;16;39;Muy buena / Oso ona;19;11;Muy buena / Oso ona;Muy buena / Oso ona
07/10/2017;0,26;0,32;Muy buena / Oso ona;3;14;24;Muy buena / Oso ona;18;11;Muy buena / Oso ona;Muy buena / Oso ona
06/10/2017;0,21;0,25;Muy buena / Oso ona;5;17;46;Muy buena / Oso ona;20;11;Muy buena / Oso ona;Muy buena / Oso ona
05/10/2017;0,25;0,39;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;30;19;Muy buena / Oso ona;Muy buena / Oso ona
04/10/2017;0,28;0,35;Muy buena / Oso ona;15;20;41;Muy buena / Oso ona;43;22;Muy buena / Oso ona;Muy buena / Oso ona
03/10/2017;0,24;0,34;Muy buena / Oso ona;13;14;24;Muy buena / Oso ona;33;16;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;0,34;0,38;Muy buena / Oso ona;20;30;47;Muy buena / Oso ona;60;14;Muy buena / Oso ona;Muy buena / Oso ona
01/10/2017;0,34;0,46;Muy buena / Oso ona;9;23;33;Muy buena / Oso ona;31;10;Muy buena / Oso ona;Muy buena / Oso ona
30/09/2017;0,29;0,36;Muy buena / Oso ona;3;21;33;Muy buena / Oso ona;24;12;Muy buena / Oso ona;Muy buena / Oso ona
29/09/2017;0,37;0,55;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;69;30;Buena / Ona;Buena / Ona
28/09/2017;0,38;0,49;Muy buena / Oso ona;33;38;67;Buena / Ona;79;37;Buena / Ona;Buena / Ona
27/09/2017;0,33;0,47;Muy buena / Oso ona;14;30;67;Buena / Ona;48;23;Muy buena / Oso ona;Buena / Ona
26/09/2017;0,26;0,31;Muy buena / Oso ona;9;22;37;Muy buena / Oso ona;33;17;Muy buena / Oso ona;Muy buena / Oso ona
25/09/2017;0,22;0,3;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;25;14;Muy buena / Oso ona;Muy buena / Oso ona
24/09/2017;0,23;0,34;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;20;20;Muy buena / Oso ona;Muy buena / Oso ona
23/09/2017;0,33;0,41;Muy buena / Oso ona;5;23;45;Muy buena / Oso ona;29;18;Muy buena / Oso ona;Muy buena / Oso ona
22/09/2017;0,32;0,39;Muy buena / Oso ona;11;24;39;Muy buena / Oso ona;37;16;Muy buena / Oso ona;Muy buena / Oso ona
21/09/2017;0,32;0,39;Muy buena / Oso ona;19;26;43;Muy buena / Oso ona;52;24;Muy buena / Oso ona;Muy buena / Oso ona
20/09/2017;0,29;0,43;Muy buena / Oso ona;9;29;56;Buena / Ona;39;18;Muy buena / Oso ona;Buena / Ona
19/09/2017;0,27;0,39;Muy buena / Oso ona;7;23;48;Muy buena / Oso ona;30;12;Muy buena / Oso ona;Muy buena / Oso ona
18/09/2017;0,27;0,29;Muy buena / Oso ona;11;29;41;Muy buena / Oso ona;38;12;Muy buena / Oso ona;Muy buena / Oso ona
17/09/2017;0,27;0,44;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;17;10;Muy buena / Oso ona;Muy buena / Oso ona
16/09/2017;0,18;0,22;Muy buena / Oso ona;2;14;30;Muy buena / Oso ona;16;8;Muy buena / Oso ona;Muy buena / Oso ona
15/09/2017;0,23;0,31;Muy buena / Oso ona;8;17;25;Muy buena / Oso ona;27;16;Muy buena / Oso ona;Muy buena / Oso ona
14/09/2017;0,21;0,28;Muy buena / Oso ona;5;20;30;Muy buena / Oso ona;25;16;Muy buena / Oso ona;Muy buena / Oso ona
13/09/2017;0,33;0,51;Muy buena / Oso ona;10;15;24;Muy buena / Oso ona;27;19;Muy buena / Oso ona;Muy buena / Oso ona
12/09/2017;0,23;0,29;Muy buena / Oso ona;4;19;37;Muy buena / Oso ona;23;13;Muy buena / Oso ona;Muy buena / Oso ona
11/09/2017;0,26;0,34;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;24;16;Muy buena / Oso ona;Muy buena / Oso ona
10/09/2017;0,21;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;13;12;Muy buena / Oso ona;Muy buena / Oso ona
09/09/2017;0,32;0,51;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;15;11;Muy buena / Oso ona;Muy buena / Oso ona
08/09/2017;0,27;0,32;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;27;22;Muy buena / Oso ona;Muy buena / Oso ona
07/09/2017;0,24;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;23;15;Muy buena / Oso ona;Muy buena / Oso ona
06/09/2017;0,26;0,41;Muy buena / Oso ona;6;16;36;Muy buena / Oso ona;22;12;Muy buena / Oso ona;Muy buena / Oso ona
05/09/2017;0,27;0,35;Muy buena / Oso ona;7;11;18;Muy buena / Oso ona;21;14;Muy buena / Oso ona;Muy buena / Oso ona
04/09/2017;0,29;0,38;Muy buena / Oso ona;8;13;23;Muy buena / Oso ona;22;13;Muy buena / Oso ona;Muy buena / Oso ona
03/09/2017;0,29;0,42;Muy buena / Oso ona;3;14;25;Muy buena / Oso ona;18;11;Muy buena / Oso ona;Muy buena / Oso ona
02/09/2017;0,25;0,3;Muy buena / Oso ona;4;15;29;Muy buena / Oso ona;18;10;Muy buena / Oso ona;Muy buena / Oso ona
01/09/2017;0,29;0,4;Muy buena / Oso ona;9;17;27;Muy buena / Oso ona;27;15;Muy buena / Oso ona;Muy buena / Oso ona
31/08/2017;0,2;0,24;Muy buena / Oso ona;35;34;103;Mejorable / Hobetzeko modukoa;71;8;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
30/08/2017;0,24;0,33;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;19;15;Muy buena / Oso ona;Muy buena / Oso ona
29/08/2017;0,25;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;20;14;Muy buena / Oso ona;Muy buena / Oso ona
28/08/2017;0,35;0,54;Muy buena / Oso ona;13;26;42;Muy buena / Oso ona;42;26;Buena / Ona;Buena / Ona
27/08/2017;0,43;0,54;Muy buena / Oso ona;3;22;39;Muy buena / Oso ona;26;22;Muy buena / Oso ona;Muy buena / Oso ona
26/08/2017;0,25;0,35;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;15;12;Muy buena / Oso ona;Muy buena / Oso ona
25/08/2017;0,21;0,23;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;12;11;Muy buena / Oso ona;Muy buena / Oso ona
24/08/2017;0,21;0,24;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;10;13;Muy buena / Oso ona;Muy buena / Oso ona
23/08/2017;0,21;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;12;21;Muy buena / Oso ona;Muy buena / Oso ona
22/08/2017;0,4;0,76;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;35;29;Buena / Ona;Buena / Ona
21/08/2017;0,22;0,31;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;28;20;Muy buena / Oso ona;Muy buena / Oso ona
20/08/2017;0,16;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;12;12;Muy buena / Oso ona;Muy buena / Oso ona
19/08/2017;0,17;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;12;9;Muy buena / Oso ona;Muy buena / Oso ona
18/08/2017;0,24;0,32;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;19;11;Muy buena / Oso ona;Muy buena / Oso ona
17/08/2017;0,19;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;16;10;Muy buena / Oso ona;Muy buena / Oso ona
16/08/2017;0,16;0,18;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;8;Muy buena / Oso ona;Muy buena / Oso ona
15/08/2017;0,2;0,35;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;7;13;Muy buena / Oso ona;Muy buena / Oso ona
14/08/2017;0,3;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;15;17;Muy buena / Oso ona;Muy buena / Oso ona
13/08/2017;0,21;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;12;Muy buena / Oso ona;Muy buena / Oso ona
12/08/2017;0,2;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;17;10;Muy buena / Oso ona;Muy buena / Oso ona
11/08/2017;0,21;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;11;Muy buena / Oso ona;Muy buena / Oso ona
10/08/2017;0,15;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;11;Muy buena / Oso ona;Muy buena / Oso ona
09/08/2017;;;Sin datos / Daturik gabe;1;8;19;Muy buena / Oso ona;10;9;Muy buena / Oso ona;Muy buena / Oso ona
08/08/2017;0,15;0,25;Muy buena / Oso ona;1;7;20;Muy buena / Oso ona;9;9;Muy buena / Oso ona;Muy buena / Oso ona
07/08/2017;0,2;0,24;Muy buena / Oso ona;1;9;21;Muy buena / Oso ona;10;14;Muy buena / Oso ona;Muy buena / Oso ona
06/08/2017;;;Sin datos / Daturik gabe;1;5;12;Muy buena / Oso ona;6;12;Muy buena / Oso ona;Muy buena / Oso ona
05/08/2017;0,18;0,22;Muy buena / Oso ona;1;9;19;Muy buena / Oso ona;10;5;Muy buena / Oso ona;Muy buena / Oso ona
04/08/2017;0,21;0,26;Muy buena / Oso ona;3;11;33;Muy buena / Oso ona;16;9;Muy buena / Oso ona;Muy buena / Oso ona
03/08/2017;0,2;0,23;Muy buena / Oso ona;1;9;21;Muy buena / Oso ona;10;17;Muy buena / Oso ona;Muy buena / Oso ona
02/08/2017;0,2;0,23;Muy buena / Oso ona;4;11;28;Muy buena / Oso ona;17;16;Muy buena / Oso ona;Muy buena / Oso ona
01/08/2017;0,17;0,19;Muy buena / Oso ona;2;11;25;Muy buena / Oso ona;15;15;Muy buena / Oso ona;Muy buena / Oso ona
31/07/2017;0,14;0,2;Muy buena / Oso ona;1;7;15;Muy buena / Oso ona;8;13;Muy buena / Oso ona;Muy buena / Oso ona
30/07/2017;0,2;0,25;Muy buena / Oso ona;2;11;24;Muy buena / Oso ona;15;11;Muy buena / Oso ona;Muy buena / Oso ona
29/07/2017;0,18;0,2;Muy buena / Oso ona;2;12;25;Muy buena / Oso ona;16;11;Muy buena / Oso ona;Muy buena / Oso ona
28/07/2017;0,2;0,22;Muy buena / Oso ona;2;10;18;Muy buena / Oso ona;13;10;Muy buena / Oso ona;Muy buena / Oso ona
27/07/2017;0,23;0,32;Muy buena / Oso ona;13;16;34;Muy buena / Oso ona;36;21;Muy buena / Oso ona;Muy buena / Oso ona
26/07/2017;0,23;0,3;Muy buena / Oso ona;5;13;21;Muy buena / Oso ona;20;20;Muy buena / Oso ona;Muy buena / Oso ona
25/07/2017;0,15;;Sin datos / Daturik gabe;0;8;17;Muy buena / Oso ona;8;11;Muy buena / Oso ona;Muy buena / Oso ona
24/07/2017;0,16;0,18;Muy buena / Oso ona;1;6;11;Muy buena / Oso ona;8;7;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;0,16;;Sin datos / Daturik gabe;1;7;12;Muy buena / Oso ona;8;12;Muy buena / Oso ona;Muy buena / Oso ona
22/07/2017;0,17;;Sin datos / Daturik gabe;2;9;18;Muy buena / Oso ona;11;15;Muy buena / Oso ona;Muy buena / Oso ona
21/07/2017;0,15;0,17;Muy buena / Oso ona;4;13;28;Muy buena / Oso ona;19;11;Muy buena / Oso ona;Muy buena / Oso ona
20/07/2017;0,15;0,19;Muy buena / Oso ona;2;10;19;Muy buena / Oso ona;13;8;Muy buena / Oso ona;Muy buena / Oso ona
19/07/2017;0,21;0,31;Muy buena / Oso ona;1;9;18;Muy buena / Oso ona;11;19;Muy buena / Oso ona;Muy buena / Oso ona
18/07/2017;0,23;0,3;Muy buena / Oso ona;1;11;20;Muy buena / Oso ona;13;31;Buena / Ona;Buena / Ona
17/07/2017;0,28;0,4;Muy buena / Oso ona;4;19;38;Muy buena / Oso ona;24;27;Buena / Ona;Buena / Ona
16/07/2017;0,21;0,24;Muy buena / Oso ona;1;9;19;Muy buena / Oso ona;11;16;Muy buena / Oso ona;Muy buena / Oso ona
15/07/2017;0,15;0,17;Muy buena / Oso ona;1;6;12;Muy buena / Oso ona;8;11;Muy buena / Oso ona;Muy buena / Oso ona
14/07/2017;0,16;0,22;Muy buena / Oso ona;3;9;27;Muy buena / Oso ona;14;8;Muy buena / Oso ona;Muy buena / Oso ona
13/07/2017;0,15;0,18;Muy buena / Oso ona;3;11;23;Muy buena / Oso ona;15;12;Muy buena / Oso ona;Muy buena / Oso ona
12/07/2017;0,23;0,32;Muy buena / Oso ona;6;13;29;Muy buena / Oso ona;22;22;Muy buena / Oso ona;Muy buena / Oso ona
11/07/2017;0,17;0,22;Muy buena / Oso ona;3;11;17;Muy buena / Oso ona;15;14;Muy buena / Oso ona;Muy buena / Oso ona
10/07/2017;0,18;0,22;Muy buena / Oso ona;4;15;36;Muy buena / Oso ona;21;10;Muy buena / Oso ona;Muy buena / Oso ona
09/07/2017;0,19;0,29;Muy buena / Oso ona;2;7;12;Muy buena / Oso ona;10;16;Muy buena / Oso ona;Muy buena / Oso ona
08/07/2017;0,22;0,27;Muy buena / Oso ona;1;8;13;Muy buena / Oso ona;10;12;Muy buena / Oso ona;Muy buena / Oso ona
07/07/2017;0,3;0,41;Muy buena / Oso ona;7;21;54;Buena / Ona;32;24;Muy buena / Oso ona;Buena / Ona
06/07/2017;0,23;0,29;Muy buena / Oso ona;4;21;36;Muy buena / Oso ona;27;23;Muy buena / Oso ona;Muy buena / Oso ona
05/07/2017;;;Sin datos / Daturik gabe;3;13;34;Muy buena / Oso ona;17;21;Muy buena / Oso ona;Muy buena / Oso ona
04/07/2017;0,25;0,28;Muy buena / Oso ona;7;18;30;Muy buena / Oso ona;29;18;Muy buena / Oso ona;Muy buena / Oso ona
03/07/2017;0,24;;Sin datos / Daturik gabe;6;14;23;Muy buena / Oso ona;24;14;Muy buena / Oso ona;Muy buena / Oso ona
02/07/2017;0,17;0,22;Muy buena / Oso ona;2;11;24;Muy buena / Oso ona;15;10;Muy buena / Oso ona;Muy buena / Oso ona
01/07/2017;0,15;0,18;Muy buena / Oso ona;3;14;28;Muy buena / Oso ona;18;11;Muy buena / Oso ona;Muy buena / Oso ona
30/06/2017;0,15;0,21;Muy buena / Oso ona;4;14;27;Muy buena / Oso ona;20;11;Muy buena / Oso ona;Muy buena / Oso ona
29/06/2017;0,17;;Sin datos / Daturik gabe;12;19;46;Muy buena / Oso ona;37;11;Muy buena / Oso ona;Muy buena / Oso ona
28/06/2017;0,16;0,22;Muy buena / Oso ona;6;15;51;Buena / Ona;25;11;Muy buena / Oso ona;Buena / Ona
27/06/2017;0,25;0,35;Muy buena / Oso ona;7;17;29;Muy buena / Oso ona;28;14;Muy buena / Oso ona;Muy buena / Oso ona
26/06/2017;0,29;0,36;Muy buena / Oso ona;5;15;25;Muy buena / Oso ona;22;14;Muy buena / Oso ona;Muy buena / Oso ona
25/06/2017;0,28;0,49;Muy buena / Oso ona;3;12;21;Muy buena / Oso ona;17;12;Muy buena / Oso ona;Muy buena / Oso ona
24/06/2017;0,29;0,42;Muy buena / Oso ona;3;7;15;Muy buena / Oso ona;12;16;Muy buena / Oso ona;Muy buena / Oso ona
23/06/2017;0,25;0,28;Muy buena / Oso ona;3;11;22;Muy buena / Oso ona;15;16;Muy buena / Oso ona;Muy buena / Oso ona
22/06/2017;0,38;0,56;Muy buena / Oso ona;3;18;42;Muy buena / Oso ona;23;25;Muy buena / Oso ona;Muy buena / Oso ona
21/06/2017;0,4;0,58;Muy buena / Oso ona;5;25;51;Buena / Ona;33;32;Buena / Ona;Buena / Ona
20/06/2017;0,36;0,43;Muy buena / Oso ona;6;27;69;Buena / Ona;36;27;Buena / Ona;Buena / Ona
19/06/2017;0,39;0,71;Muy buena / Oso ona;12;23;66;Buena / Ona;41;24;Muy buena / Oso ona;Buena / Ona
18/06/2017;0,25;0,33;Muy buena / Oso ona;2;10;17;Muy buena / Oso ona;13;19;Muy buena / Oso ona;Muy buena / Oso ona
17/06/2017;0,22;0,25;Muy buena / Oso ona;2;7;15;Muy buena / Oso ona;10;14;Muy buena / Oso ona;Muy buena / Oso ona
16/06/2017;0,22;0,23;Muy buena / Oso ona;5;11;32;Muy buena / Oso ona;18;12;Muy buena / Oso ona;Muy buena / Oso ona
15/06/2017;0,23;0,3;Muy buena / Oso ona;3;9;21;Muy buena / Oso ona;12;7;Muy buena / Oso ona;Muy buena / Oso ona
14/06/2017;0,28;0,3;Muy buena / Oso ona;4;13;32;Muy buena / Oso ona;19;23;Muy buena / Oso ona;Muy buena / Oso ona
13/06/2017;0,22;0,26;Muy buena / Oso ona;3;12;25;Muy buena / Oso ona;17;22;Muy buena / Oso ona;Muy buena / Oso ona
12/06/2017;0,18;0,2;Muy buena / Oso ona;5;11;26;Muy buena / Oso ona;19;10;Muy buena / Oso ona;Muy buena / Oso ona
11/06/2017;0,22;0,32;Muy buena / Oso ona;1;7;13;Muy buena / Oso ona;9;17;Muy buena / Oso ona;Muy buena / Oso ona
10/06/2017;0,25;0,3;Muy buena / Oso ona;2;9;16;Muy buena / Oso ona;13;19;Muy buena / Oso ona;Muy buena / Oso ona
09/06/2017;0,28;0,37;Muy buena / Oso ona;6;17;31;Muy buena / Oso ona;26;18;Muy buena / Oso ona;Muy buena / Oso ona
08/06/2017;0,27;0,39;Muy buena / Oso ona;10;17;40;Muy buena / Oso ona;32;25;Muy buena / Oso ona;Muy buena / Oso ona
07/06/2017;0,21;0,25;Muy buena / Oso ona;6;15;24;Muy buena / Oso ona;25;19;Muy buena / Oso ona;Muy buena / Oso ona
06/06/2017;0,15;0,28;Muy buena / Oso ona;2;10;21;Muy buena / Oso ona;13;14;Muy buena / Oso ona;Muy buena / Oso ona
05/06/2017;0,21;0,25;Muy buena / Oso ona;5;16;34;Muy buena / Oso ona;24;12;Muy buena / Oso ona;Muy buena / Oso ona
04/06/2017;0,15;0,17;Muy buena / Oso ona;2;8;15;Muy buena / Oso ona;11;7;Muy buena / Oso ona;Muy buena / Oso ona
03/06/2017;0,17;0,23;Muy buena / Oso ona;2;10;20;Muy buena / Oso ona;14;10;Muy buena / Oso ona;Muy buena / Oso ona
02/06/2017;0,26;0,3;Muy buena / Oso ona;4;15;28;Muy buena / Oso ona;21;17;Muy buena / Oso ona;Muy buena / Oso ona
01/06/2017;0,24;0,28;Muy buena / Oso ona;4;14;25;Muy buena / Oso ona;20;18;Muy buena / Oso ona;Muy buena / Oso ona
31/05/2017;0,18;0,22;Muy buena / Oso ona;3;11;26;Muy buena / Oso ona;16;13;Muy buena / Oso ona;Muy buena / Oso ona
30/05/2017;0,2;0,25;Muy buena / Oso ona;4;12;28;Muy buena / Oso ona;17;8;Muy buena / Oso ona;Muy buena / Oso ona
29/05/2017;0,26;0,32;Muy buena / Oso ona;4;14;30;Muy buena / Oso ona;20;14;Muy buena / Oso ona;Muy buena / Oso ona
28/05/2017;0,2;0,34;Muy buena / Oso ona;3;13;40;Muy buena / Oso ona;17;18;Muy buena / Oso ona;Muy buena / Oso ona
27/05/2017;0,24;0,3;Muy buena / Oso ona;3;11;20;Muy buena / Oso ona;15;20;Muy buena / Oso ona;Muy buena / Oso ona
26/05/2017;0,33;0,55;Muy buena / Oso ona;7;21;64;Buena / Ona;31;25;Muy buena / Oso ona;Buena / Ona
25/05/2017;0,27;0,35;Muy buena / Oso ona;11;20;37;Muy buena / Oso ona;37;27;Buena / Ona;Buena / Ona
24/05/2017;0,24;0,32;Muy buena / Oso ona;3;14;30;Muy buena / Oso ona;19;21;Muy buena / Oso ona;Muy buena / Oso ona
23/05/2017;0,2;0,22;Muy buena / Oso ona;3;12;20;Muy buena / Oso ona;17;21;Muy buena / Oso ona;Muy buena / Oso ona
22/05/2017;0,26;0,36;Muy buena / Oso ona;9;20;65;Buena / Ona;32;30;Buena / Ona;Buena / Ona
21/05/2017;0,2;0,23;Muy buena / Oso ona;5;12;20;Muy buena / Oso ona;19;12;Muy buena / Oso ona;Muy buena / Oso ona
20/05/2017;0,22;0,29;Muy buena / Oso ona;5;14;24;Muy buena / Oso ona;22;13;Muy buena / Oso ona;Muy buena / Oso ona
19/05/2017;0,19;0,27;Muy buena / Oso ona;9;16;36;Muy buena / Oso ona;30;12;Muy buena / Oso ona;Muy buena / Oso ona
18/05/2017;0,17;0,25;Muy buena / Oso ona;5;15;26;Muy buena / Oso ona;21;7;Muy buena / Oso ona;Muy buena / Oso ona
17/05/2017;0,29;0,38;Muy buena / Oso ona;12;31;60;Buena / Ona;48;20;Muy buena / Oso ona;Buena / Ona
16/05/2017;0,29;0,39;Muy buena / Oso ona;8;23;49;Muy buena / Oso ona;34;20;Muy buena / Oso ona;Muy buena / Oso ona
15/05/2017;0,25;0,34;Muy buena / Oso ona;10;23;43;Muy buena / Oso ona;39;16;Muy buena / Oso ona;Muy buena / Oso ona
14/05/2017;0,21;0,3;Muy buena / Oso ona;4;16;30;Muy buena / Oso ona;22;9;Muy buena / Oso ona;Muy buena / Oso ona
13/05/2017;0,2;0,26;Muy buena / Oso ona;5;14;28;Muy buena / Oso ona;21;9;Muy buena / Oso ona;Muy buena / Oso ona
12/05/2017;0,18;0,24;Muy buena / Oso ona;5;17;28;Muy buena / Oso ona;25;8;Muy buena / Oso ona;Muy buena / Oso ona
11/05/2017;0,16;0,23;Muy buena / Oso ona;5;16;38;Muy buena / Oso ona;23;6;Muy buena / Oso ona;Muy buena / Oso ona
10/05/2017;0,29;0,45;Muy buena / Oso ona;9;27;87;Buena / Ona;41;15;Muy buena / Oso ona;Buena / Ona
09/05/2017;0,34;0,37;Muy buena / Oso ona;8;26;46;Muy buena / Oso ona;38;19;Muy buena / Oso ona;Muy buena / Oso ona
08/05/2017;0,25;0,28;Muy buena / Oso ona;9;19;35;Muy buena / Oso ona;33;12;Muy buena / Oso ona;Muy buena / Oso ona
07/05/2017;0,19;0,22;Muy buena / Oso ona;3;11;24;Muy buena / Oso ona;16;8;Muy buena / Oso ona;Muy buena / Oso ona
06/05/2017;0,17;0,27;Muy buena / Oso ona;4;13;26;Muy buena / Oso ona;19;9;Muy buena / Oso ona;Muy buena / Oso ona
05/05/2017;0,3;0,59;Muy buena / Oso ona;6;22;47;Muy buena / Oso ona;30;19;Muy buena / Oso ona;Muy buena / Oso ona
04/05/2017;0,28;0,36;Muy buena / Oso ona;6;23;52;Buena / Ona;33;16;Muy buena / Oso ona;Buena / Ona
03/05/2017;0,23;0,27;Muy buena / Oso ona;11;19;38;Muy buena / Oso ona;36;13;Muy buena / Oso ona;Muy buena / Oso ona
02/05/2017;0,34;0,51;Muy buena / Oso ona;10;26;48;Muy buena / Oso ona;41;15;Muy buena / Oso ona;Muy buena / Oso ona
01/05/2017;0,22;0,28;Muy buena / Oso ona;3;14;31;Muy buena / Oso ona;19;10;Muy buena / Oso ona;Muy buena / Oso ona
30/04/2017;0,2;0,23;Muy buena / Oso ona;2;12;26;Muy buena / Oso ona;15;7;Muy buena / Oso ona;Muy buena / Oso ona
29/04/2017;0,23;0,34;Muy buena / Oso ona;4;13;28;Muy buena / Oso ona;20;12;Muy buena / Oso ona;Muy buena / Oso ona
28/04/2017;0,26;0,33;Muy buena / Oso ona;8;22;37;Muy buena / Oso ona;34;13;Muy buena / Oso ona;Muy buena / Oso ona
27/04/2017;0,25;0,29;Muy buena / Oso ona;22;33;82;Buena / Ona;67;9;Muy buena / Oso ona;Buena / Ona
26/04/2017;0,18;0,22;Muy buena / Oso ona;4;17;53;Buena / Ona;22;8;Muy buena / Oso ona;Buena / Ona
25/04/2017;0,29;0,38;Muy buena / Oso ona;7;27;54;Buena / Ona;37;20;Muy buena / Oso ona;Buena / Ona
24/04/2017;0,27;0,31;Muy buena / Oso ona;8;23;51;Buena / Ona;34;21;Muy buena / Oso ona;Buena / Ona
23/04/2017;0,22;0,28;Muy buena / Oso ona;2;15;36;Muy buena / Oso ona;19;15;Muy buena / Oso ona;Muy buena / Oso ona
22/04/2017;0,35;0,6;Muy buena / Oso ona;4;18;40;Muy buena / Oso ona;24;17;Muy buena / Oso ona;Muy buena / Oso ona
21/04/2017;0,28;;Sin datos / Daturik gabe;7;22;44;Muy buena / Oso ona;33;22;Muy buena / Oso ona;Muy buena / Oso ona
20/04/2017;0,25;0,31;Muy buena / Oso ona;6;22;48;Muy buena / Oso ona;28;14;Muy buena / Oso ona;Muy buena / Oso ona
19/04/2017;0,28;0,43;Muy buena / Oso ona;8;24;55;Buena / Ona;30;11;Muy buena / Oso ona;Buena / Ona
