Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
12/10/2017;0,15;0,16;Muy buena / Oso ona;5;4;7;Muy buena / Oso ona;12;69;76;Buena / Ona;21;Muy buena / Oso ona;11;Muy buena / Oso ona;309;77;1000,2;0;115,8;17,7;0,26;Buena / Ona
11/10/2017;;;Sin datos / Daturik gabe;5;3;7;Muy buena / Oso ona;11;71;78;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;265;62;996,6;0;122,1;19,6;0,19;Buena / Ona
10/10/2017;0,14;0,16;Muy buena / Oso ona;5;4;8;Muy buena / Oso ona;12;55;66;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;293;84;996,4;0;120;16,1;0,33;Buena / Ona
09/10/2017;0,14;;Sin datos / Daturik gabe;6;3;5;Muy buena / Oso ona;12;66;84;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;311;78;997,8;0;110,2;15,5;0,2;Buena / Ona
08/10/2017;;;Sin datos / Daturik gabe;7;3;4;Muy buena / Oso ona;14;74;81;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;316;66;998,4;0;175,6;15;0,53;Buena / Ona
07/10/2017;0,13;;Sin datos / Daturik gabe;7;3;6;Muy buena / Oso ona;14;69;76;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;307;74;1000,1;0;144,9;14;0,45;Buena / Ona
06/10/2017;0,13;0,14;Muy buena / Oso ona;7;2;5;Muy buena / Oso ona;12;60;71;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;332;87;1001,4;0;37,1;15;0,96;Buena / Ona
05/10/2017;0,18;0,2;Muy buena / Oso ona;6;4;6;Muy buena / Oso ona;13;44;72;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;337;91;999,9;0;43,2;17,8;0,9;Buena / Ona
04/10/2017;0,17;0,2;Muy buena / Oso ona;7;5;11;Muy buena / Oso ona;15;23;29;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;351;91;998,9;0;107,5;18,1;0,38;Muy buena / Oso ona
03/10/2017;0,17;0,2;Muy buena / Oso ona;6;3;8;Muy buena / Oso ona;12;22;31;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;358;95;999,4;0;57,2;17,8;0,56;Muy buena / Oso ona
02/10/2017;0,18;0,19;Muy buena / Oso ona;5;3;7;Muy buena / Oso ona;11;43;49;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;351;95;1000,5;0;32,5;17,9;0,46;Muy buena / Oso ona
01/10/2017;0,18;;Sin datos / Daturik gabe;5;2;3;Muy buena / Oso ona;10;51;69;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;290;87;999;0;22,9;17,1;0,89;Buena / Ona
30/09/2017;0,15;0,17;Muy buena / Oso ona;5;2;6;Muy buena / Oso ona;9;61;82;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;18;89;998;0,1;44,7;15,7;0,16;Buena / Ona
29/09/2017;0,19;0,23;Muy buena / Oso ona;4;4;5;Muy buena / Oso ona;10;90;101;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;12;Muy buena / Oso ona;343;78;997,2;0;160,6;19,5;0,75;Mejorable / Hobetzeko modukoa
28/09/2017;0,19;0,24;Muy buena / Oso ona;4;4;11;Muy buena / Oso ona;10;80;98;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;194;63;996,4;0;167;22,6;0,23;Buena / Ona
27/09/2017;0,17;0,22;Muy buena / Oso ona;3;4;10;Muy buena / Oso ona;9;76;90;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;326;68;995;0;177,6;19,5;0,21;Buena / Ona
26/09/2017;0,16;0,18;Muy buena / Oso ona;2;4;8;Muy buena / Oso ona;7;56;62;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;336;84;997,4;0,1;138,4;16,6;0,35;Buena / Ona
25/09/2017;0,15;0,21;Muy buena / Oso ona;2;2;4;Muy buena / Oso ona;5;63;78;Buena / Ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;326;86;997,8;0,1;104,4;17,1;1,28;Buena / Ona
24/09/2017;0,22;0,29;Muy buena / Oso ona;2;4;6;Muy buena / Oso ona;7;80;88;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;343;80;994,5;0;169,4;19,2;1,09;Buena / Ona
23/09/2017;0,18;0,24;Muy buena / Oso ona;2;3;5;Muy buena / Oso ona;6;79;98;Buena / Ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;219;69;994,3;0;179,4;20,6;0,43;Buena / Ona
22/09/2017;0,16;0,18;Muy buena / Oso ona;2;4;9;Muy buena / Oso ona;8;61;72;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;357;86;997,2;0;72,8;16,9;0,24;Buena / Ona
21/09/2017;0,19;0,27;Muy buena / Oso ona;2;5;10;Muy buena / Oso ona;8;75;86;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;336;71;994,1;0;157;17,8;0,72;Buena / Ona
20/09/2017;0,18;;Sin datos / Daturik gabe;3;7;17;Muy buena / Oso ona;11;64;75;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;294;69;995,8;0;188,4;16,3;0,33;Buena / Ona
19/09/2017;0,13;0,14;Muy buena / Oso ona;2;2;4;Muy buena / Oso ona;5;73;81;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;319;76;1000,4;0;116,1;15;0,72;Buena / Ona
18/09/2017;0,16;0,18;Muy buena / Oso ona;2;4;8;Muy buena / Oso ona;7;55;73;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;332;88;995,6;0,1;77,3;14,4;0,28;Buena / Ona
17/09/2017;0,14;;Sin datos / Daturik gabe;1;2;3;Muy buena / Oso ona;4;70;73;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;300;68;993,8;0;121;15,5;1,11;Buena / Ona
16/09/2017;;;Sin datos / Daturik gabe;1;2;3;Muy buena / Oso ona;4;68;72;Buena / Ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;271;72;992,3;0;122,4;13,3;1,43;Buena / Ona
15/09/2017;;;Sin datos / Daturik gabe;2;2;4;Muy buena / Oso ona;5;62;65;Buena / Ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;293;76;993,6;0;152,1;13,8;1,41;Buena / Ona
14/09/2017;;;Sin datos / Daturik gabe;2;3;4;Muy buena / Oso ona;6;62;71;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;322;77;997,6;0,1;90,5;15,9;1,34;Buena / Ona
13/09/2017;;;Sin datos / Daturik gabe;3;3;5;Muy buena / Oso ona;7;54;62;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;332;76;996,8;0;179,1;19,8;0,51;Buena / Ona
12/09/2017;;;Sin datos / Daturik gabe;2;3;6;Muy buena / Oso ona;6;65;70;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;285;79;995,1;0;123,5;16,9;0,81;Buena / Ona
11/09/2017;;;Sin datos / Daturik gabe;3;2;3;Muy buena / Oso ona;7;58;67;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;318;87;990,6;0,1;60,9;16,5;1,9;Buena / Ona
10/09/2017;0,16;0,18;Muy buena / Oso ona;5;3;4;Muy buena / Oso ona;10;62;70;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;307;79;989,8;0,2;108,7;16,1;1,78;Buena / Ona
09/09/2017;0,15;0,16;Muy buena / Oso ona;4;3;4;Muy buena / Oso ona;9;63;70;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;298;84;986,2;0,2;111,1;15,4;1,82;Buena / Ona
08/09/2017;0,14;;Sin datos / Daturik gabe;4;3;5;Muy buena / Oso ona;9;68;73;Buena / Ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;312;69;990,9;0;193,9;17,7;0,49;Buena / Ona
07/09/2017;0,15;0,16;Muy buena / Oso ona;4;3;6;Muy buena / Oso ona;9;64;68;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;334;73;998;0;89,4;17,4;0,47;Buena / Ona
06/09/2017;0,16;0,18;Muy buena / Oso ona;4;3;7;Muy buena / Oso ona;9;59;60;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;347;84;1001,9;0,2;66,1;17,9;0,76;Muy buena / Oso ona
05/09/2017;0,19;0,23;Muy buena / Oso ona;3;4;7;Muy buena / Oso ona;8;54;58;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;333;81;998,9;0;153,1;19,9;0,57;Muy buena / Oso ona
04/09/2017;0,19;0,24;Muy buena / Oso ona;4;4;9;Muy buena / Oso ona;10;47;58;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;319;81;993,5;0;94,3;19,6;0,47;Muy buena / Oso ona
03/09/2017;0,18;0,21;Muy buena / Oso ona;9;3;5;Muy buena / Oso ona;16;68;78;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;299;66;991,3;0;156,1;19,3;0,15;Buena / Ona
02/09/2017;0,14;0,17;Muy buena / Oso ona;7;3;8;Muy buena / Oso ona;13;68;73;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;313;76;999,3;0;181,8;16,8;0,72;Buena / Ona
01/09/2017;0,17;;Sin datos / Daturik gabe;5;2;4;Muy buena / Oso ona;10;68;71;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;308;78;998,9;0,1;126;16,8;1,29;Buena / Ona
31/08/2017;0,14;0,18;Muy buena / Oso ona;2;5;8;Muy buena / Oso ona;9;65;74;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;324;81;997,5;0;119,5;16,6;0,52;Buena / Ona
30/08/2017;0,15;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;67;78;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;340;89;991,2;0,6;111;19,1;1,04;Buena / Ona
29/08/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;350;84;;;;21,2;1,12;Sin datos / Daturik gabe
28/08/2017;;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;;66;Buena / Ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Buena / Ona
27/08/2017;0,18;0,2;Muy buena / Oso ona;5;2;7;Muy buena / Oso ona;10;51;58;Muy buena / Oso ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;217;75;990,4;0;57,3;22,4;0,69;Muy buena / Oso ona
26/08/2017;0,2;0,24;Muy buena / Oso ona;5;3;6;Muy buena / Oso ona;11;47;63;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;87;990,4;0;156,8;20,8;0,46;Buena / Ona
25/08/2017;0,19;0,22;Muy buena / Oso ona;5;2;8;Muy buena / Oso ona;10;50;59;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;351;91;992,1;0;83,2;19,4;0,46;Muy buena / Oso ona
24/08/2017;0,19;0,22;Muy buena / Oso ona;5;2;5;Muy buena / Oso ona;10;54;64;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;347;88;992,5;0;120,9;20,3;0,78;Buena / Ona
23/08/2017;0,18;0,21;Muy buena / Oso ona;5;2;5;Muy buena / Oso ona;10;57;70;Buena / Ona;20;Muy buena / Oso ona;7;Muy buena / Oso ona;349;83;994,2;0;96,1;20;0,54;Buena / Ona
22/08/2017;0,23;;Sin datos / Daturik gabe;4;3;10;Muy buena / Oso ona;10;81;106;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;10;Muy buena / Oso ona;352;68;992,2;0;189,3;24,2;0,83;Mejorable / Hobetzeko modukoa
21/08/2017;0,23;0,31;Muy buena / Oso ona;5;6;15;Muy buena / Oso ona;13;85;120;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;6;Muy buena / Oso ona;326;59;993,3;0;252,7;24,1;0,2;Mejorable / Hobetzeko modukoa
20/08/2017;0,15;0,18;Muy buena / Oso ona;4;3;5;Muy buena / Oso ona;9;64;72;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;12;72;1000,7;0;256,2;18,5;0,56;Buena / Ona
19/08/2017;0,16;0,2;Muy buena / Oso ona;4;2;5;Muy buena / Oso ona;9;62;66;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;35;81;999,7;0;194,2;18,8;0,98;Buena / Ona
18/08/2017;0,22;0,3;Muy buena / Oso ona;4;2;5;Muy buena / Oso ona;9;53;68;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;347;86;996,8;0;89,6;19,6;0,59;Buena / Ona
17/08/2017;0,62;1,35;Muy buena / Oso ona;6;4;21;Muy buena / Oso ona;13;64;72;Buena / Ona;23;Muy buena / Oso ona;16;Muy buena / Oso ona;340;69;996,4;0;253;21;0,68;Buena / Ona
16/08/2017;0,17;0,21;Muy buena / Oso ona;5;2;5;Muy buena / Oso ona;9;47;57;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;336;86;997,9;0;143,2;19,4;0,41;Muy buena / Oso ona
15/08/2017;0,17;0,2;Muy buena / Oso ona;6;2;4;Muy buena / Oso ona;11;49;70;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;356;91;995,6;0;52,2;19,2;0,66;Buena / Ona
14/08/2017;0,18;0,22;Muy buena / Oso ona;5;2;7;Muy buena / Oso ona;10;70;92;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;242;71;990,1;0;244,7;23,7;0,35;Buena / Ona
13/08/2017;0,15;0,18;Muy buena / Oso ona;5;3;5;Muy buena / Oso ona;11;63;71;Buena / Ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;351;79;995,7;0;250,9;19,2;0,63;Buena / Ona
12/08/2017;0,15;;Sin datos / Daturik gabe;5;2;3;Muy buena / Oso ona;10;69;79;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;350;76;999,4;0;265,4;17,9;0,46;Buena / Ona
11/08/2017;;;Sin datos / Daturik gabe;5;1;2;Muy buena / Oso ona;9;70;72;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;332;73;1001;0;209,3;17;1,27;Buena / Ona
10/08/2017;0,12;0,13;Muy buena / Oso ona;5;1;2;Muy buena / Oso ona;9;69;70;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;301;87;1001,4;0,4;59,7;15,3;1,57;Buena / Ona
09/08/2017;0,11;;Sin datos / Daturik gabe;4;1;3;Muy buena / Oso ona;8;68;73;Buena / Ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;308;78;997,5;0,2;163,8;15,8;1,67;Buena / Ona
08/08/2017;0,15;0,2;Muy buena / Oso ona;4;1;3;Muy buena / Oso ona;7;65;73;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;308;80;995;0;141,9;16,8;1,31;Buena / Ona
07/08/2017;0,17;0,2;Muy buena / Oso ona;4;1;4;Muy buena / Oso ona;7;72;79;Buena / Ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;329;82;991,2;0;121,1;19,5;1,03;Buena / Ona
06/08/2017;0,12;0,15;Muy buena / Oso ona;3;2;3;Muy buena / Oso ona;7;66;75;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;21;74;998;0;205,2;18,9;1,04;Buena / Ona
05/08/2017;0,17;0,2;Muy buena / Oso ona;4;2;4;Muy buena / Oso ona;7;53;57;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;16;94;997;0,2;47,2;18,7;1,28;Muy buena / Oso ona
04/08/2017;0,17;0,22;Muy buena / Oso ona;3;3;5;Muy buena / Oso ona;7;49;62;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;360;74;994,3;0;275,5;23,7;0,65;Buena / Ona
03/08/2017;0,19;0,24;Muy buena / Oso ona;3;4;10;Muy buena / Oso ona;8;60;79;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;1;81;994,9;0;267,5;21,8;1,03;Buena / Ona
02/08/2017;0,17;0,21;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;6;57;63;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;352;80;994,5;0;234,3;20,4;0,76;Buena / Ona
01/08/2017;0,15;0,18;Muy buena / Oso ona;3;2;8;Muy buena / Oso ona;8;53;63;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;357;84;992,8;0;115,2;19,4;0,47;Buena / Ona
31/07/2017;0,16;0,18;Muy buena / Oso ona;5;1;4;Muy buena / Oso ona;9;54;60;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;1;83;989,5;0;75,3;19,1;0,57;Muy buena / Oso ona
30/07/2017;0,17;0,19;Muy buena / Oso ona;5;1;4;Muy buena / Oso ona;9;57;88;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;344;85;991,2;0;57,4;19,9;0,79;Buena / Ona
29/07/2017;0,17;0,22;Muy buena / Oso ona;4;3;5;Muy buena / Oso ona;9;69;89;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;349;69;991,6;0;281;22,1;0,69;Buena / Ona
28/07/2017;0,19;0,2;Muy buena / Oso ona;4;1;3;Muy buena / Oso ona;7;49;65;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;348;90;994,3;0;121,1;19,6;0,66;Buena / Ona
27/07/2017;0,18;0,23;Muy buena / Oso ona;4;2;6;Muy buena / Oso ona;8;68;79;Buena / Ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;2;81;992,5;0;280,1;20,6;0,92;Buena / Ona
26/07/2017;;;Sin datos / Daturik gabe;4;1;2;Muy buena / Oso ona;7;64;70;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;335;77;993,8;0;254,2;18,9;0,55;Buena / Ona
25/07/2017;0,12;0,13;Muy buena / Oso ona;4;0;2;Muy buena / Oso ona;6;64;70;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;323;83;997,1;0;105;17,5;1,59;Buena / Ona
24/07/2017;0,13;0,15;Muy buena / Oso ona;4;0;2;Muy buena / Oso ona;6;45;52;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;322;93;998,2;0,2;114,8;17,5;2,23;Muy buena / Oso ona
23/07/2017;0,14;0,17;Muy buena / Oso ona;3;1;3;Muy buena / Oso ona;6;58;68;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;346;74;997,3;0;228,7;19,2;0,87;Buena / Ona
22/07/2017;0,15;0,2;Muy buena / Oso ona;3;1;3;Muy buena / Oso ona;5;60;71;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;347;73;993;0;184,9;18,8;0,82;Buena / Ona
21/07/2017;0,16;0,21;Muy buena / Oso ona;3;2;6;Muy buena / Oso ona;7;45;53;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;330;86;990,3;0;81,9;17,1;0,35;Muy buena / Oso ona
20/07/2017;0,14;;Sin datos / Daturik gabe;3;1;3;Muy buena / Oso ona;6;49;64;Buena / Ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;317;94;993,6;0,1;85,2;16,2;0,67;Buena / Ona
19/07/2017;0,2;0,23;Muy buena / Oso ona;2;3;6;Muy buena / Oso ona;6;78;86;Buena / Ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;340;86;989,7;0;106,3;20;0,83;Buena / Ona
18/07/2017;0,18;0,25;Muy buena / Oso ona;2;2;4;Muy buena / Oso ona;5;92;102;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;12;Muy buena / Oso ona;243;64;986,4;0;234,3;25,3;0,65;Mejorable / Hobetzeko modukoa
17/07/2017;0,22;0,29;Muy buena / Oso ona;3;8;20;Muy buena / Oso ona;13;98;130;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;12;Muy buena / Oso ona;17;69;989,7;0;252;25,9;0,36;Mejorable / Hobetzeko modukoa
16/07/2017;0,17;0,2;Muy buena / Oso ona;5;3;4;Muy buena / Oso ona;11;79;92;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;350;80;996,6;0;285,9;21;0,82;Buena / Ona
15/07/2017;0,14;0,17;Muy buena / Oso ona;6;4;12;Muy buena / Oso ona;13;57;72;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;19;86;999,3;0;144,8;18,5;0,93;Buena / Ona
14/07/2017;0,13;0,14;Muy buena / Oso ona;5;2;4;Muy buena / Oso ona;10;50;71;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;12;87;999,4;0;136,8;18,3;1,37;Buena / Ona
13/07/2017;0,14;0,15;Muy buena / Oso ona;4;3;5;Muy buena / Oso ona;9;44;52;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;353;89;998,7;0;93,5;18,5;0,91;Muy buena / Oso ona
12/07/2017;0,14;0,17;Muy buena / Oso ona;4;3;6;Muy buena / Oso ona;9;46;55;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;349;84;997,1;0;113,5;19,4;0,7;Muy buena / Oso ona
11/07/2017;0,14;0,16;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;48;54;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;344;83;993,3;0;238,2;19;0,79;Muy buena / Oso ona
10/07/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;339;90;;;;18,3;1,13;Sin datos / Daturik gabe
09/07/2017;0,19;0,23;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;62;70;Buena / Ona;16;Muy buena / Oso ona;10;Muy buena / Oso ona;1;89;991,7;0,1;236,5;18,8;1,27;Buena / Ona
08/07/2017;0,18;0,2;Muy buena / Oso ona;2;1;1;Muy buena / Oso ona;4;65;76;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;344;98;993,6;0;48,6;18;1,34;Buena / Ona
07/07/2017;0,15;0,21;Muy buena / Oso ona;2;2;9;Muy buena / Oso ona;5;61;69;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;348;81;994,1;0;215,2;21;1,15;Buena / Ona
06/07/2017;0,17;0,2;Muy buena / Oso ona;3;4;12;Muy buena / Oso ona;8;56;68;Buena / Ona;21;Muy buena / Oso ona;11;Muy buena / Oso ona;3;85;992,3;0;168,5;20;0,49;Buena / Ona
