Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
07/10/2017;7;28;50;Muy buena / Oso ona;38;22;Muy buena / Oso ona;3;Muy buena / Oso ona;143;79;1012,5;146,1;14,4;0,83;Muy buena / Oso ona
06/10/2017;4;26;56;Buena / Ona;32;14;Muy buena / Oso ona;2;Muy buena / Oso ona;354;86;1014,3;63,4;16,3;0,9;Buena / Ona
05/10/2017;5;27;51;Buena / Ona;34;17;Muy buena / Oso ona;2;Muy buena / Oso ona;342;88;1012,7;55,8;19,2;1,05;Buena / Ona
04/10/2017;15;25;53;Buena / Ona;48;25;Muy buena / Oso ona;0;Muy buena / Oso ona;315;85;1010,9;149,4;20,2;0,11;Buena / Ona
03/10/2017;24;21;28;Muy buena / Oso ona;57;18;Muy buena / Oso ona;0;Muy buena / Oso ona;62;91;1011,8;95,2;19,3;0,26;Muy buena / Oso ona
02/10/2017;26;37;56;Buena / Ona;77;27;Buena / Ona;0;Muy buena / Oso ona;106;92;1013,1;54;19,9;0,23;Buena / Ona
01/10/2017;15;28;37;Muy buena / Oso ona;50;21;Muy buena / Oso ona;0;Muy buena / Oso ona;123;93;1011,8;22,6;17;1,04;Muy buena / Oso ona
30/09/2017;2;20;40;Muy buena / Oso ona;22;10;Muy buena / Oso ona;0;Muy buena / Oso ona;332;90;1010,6;55,3;17,1;0,43;Muy buena / Oso ona
29/09/2017;24;34;62;Buena / Ona;70;44;Buena / Ona;1;Muy buena / Oso ona;334;80;1009,5;153,9;19,5;0,74;Buena / Ona
28/09/2017;16;46;124;Mejorable / Hobetzeko modukoa;70;32;Buena / Ona;1;Muy buena / Oso ona;190;71;1008,6;166,9;20,9;0,91;Mejorable / Hobetzeko modukoa
27/09/2017;14;35;67;Buena / Ona;56;24;Muy buena / Oso ona;1;Muy buena / Oso ona;188;72;1007,2;168,8;18,8;0,85;Buena / Ona
26/09/2017;14;30;52;Buena / Ona;51;26;Buena / Ona;1;Muy buena / Oso ona;115;80;1009,5;153,9;18,1;0,78;Buena / Ona
25/09/2017;11;35;55;Buena / Ona;52;30;Buena / Ona;0;Muy buena / Oso ona;8;84;1010,5;106,2;17,7;0,49;Buena / Ona
24/09/2017;7;26;46;Muy buena / Oso ona;36;28;Buena / Ona;0;Muy buena / Oso ona;321;80;1006,7;173;19,3;0,72;Buena / Ona
23/09/2017;5;21;36;Muy buena / Oso ona;28;24;Muy buena / Oso ona;0;Muy buena / Oso ona;164;72;1006,5;177,5;20,6;1,03;Muy buena / Oso ona
22/09/2017;4;32;48;Muy buena / Oso ona;38;16;Muy buena / Oso ona;0;Muy buena / Oso ona;334;91;1010;67,8;16,7;0,82;Muy buena / Oso ona
21/09/2017;25;34;60;Buena / Ona;71;29;Buena / Ona;2;Muy buena / Oso ona;35;80;1006,5;155,4;17;0,36;Buena / Ona
20/09/2017;22;37;70;Buena / Ona;70;25;Muy buena / Oso ona;1;Muy buena / Oso ona;149;73;1007,7;193,5;16;1,14;Buena / Ona
19/09/2017;7;30;56;Buena / Ona;40;17;Muy buena / Oso ona;0;Muy buena / Oso ona;87;80;1012,8;176,7;15,9;0,32;Buena / Ona
18/09/2017;9;37;58;Buena / Ona;51;17;Muy buena / Oso ona;0;Muy buena / Oso ona;137;91;1008,3;63,1;15,4;0,06;Buena / Ona
17/09/2017;6;22;37;Muy buena / Oso ona;31;16;Muy buena / Oso ona;1;Muy buena / Oso ona;35;74;1006,2;154;15,2;0,6;Muy buena / Oso ona
16/09/2017;5;25;49;Muy buena / Oso ona;32;16;Muy buena / Oso ona;0;Muy buena / Oso ona;94;82;1005,3;141,9;13,1;0,55;Muy buena / Oso ona
15/09/2017;16;35;46;Muy buena / Oso ona;59;24;Muy buena / Oso ona;0;Muy buena / Oso ona;113;89;1006,6;101,1;13;0,79;Muy buena / Oso ona
14/09/2017;5;28;53;Buena / Ona;36;27;Buena / Ona;0;Muy buena / Oso ona;359;79;1010,1;109,3;16,2;0,81;Buena / Ona
13/09/2017;21;28;45;Muy buena / Oso ona;59;28;Buena / Ona;2;Muy buena / Oso ona;84;79;1008,9;185,3;19,1;0,42;Buena / Ona
12/09/2017;5;32;60;Buena / Ona;40;20;Muy buena / Oso ona;2;Muy buena / Oso ona;127;82;1007,5;140,9;17,4;0,31;Buena / Ona
11/09/2017;4;20;43;Muy buena / Oso ona;26;22;Muy buena / Oso ona;2;Muy buena / Oso ona;330;83;1003;136,9;17,5;2,43;Muy buena / Oso ona
10/09/2017;2;17;41;Muy buena / Oso ona;20;17;Muy buena / Oso ona;2;Muy buena / Oso ona;354;78;1002,5;140,3;16,8;0,73;Muy buena / Oso ona
09/09/2017;2;15;37;Muy buena / Oso ona;17;18;Muy buena / Oso ona;2;Muy buena / Oso ona;329;82;999;138,8;16,1;2,08;Muy buena / Oso ona
08/09/2017;12;26;44;Muy buena / Oso ona;43;33;Buena / Ona;3;Muy buena / Oso ona;106;73;1003,2;210,2;18,1;0,44;Buena / Ona
07/09/2017;14;26;54;Buena / Ona;48;26;Buena / Ona;2;Muy buena / Oso ona;53;75;1010,6;136,2;18,2;0,64;Buena / Ona
06/09/2017;5;31;45;Muy buena / Oso ona;39;22;Muy buena / Oso ona;2;Muy buena / Oso ona;343;86;1014,6;73,7;18,4;0,49;Muy buena / Oso ona
05/09/2017;14;22;35;Muy buena / Oso ona;42;19;Muy buena / Oso ona;2;Muy buena / Oso ona;329;80;1011,2;180,1;20,3;0,43;Muy buena / Oso ona
04/09/2017;12;27;45;Muy buena / Oso ona;45;14;Muy buena / Oso ona;2;Muy buena / Oso ona;45;84;1005,8;136,6;19,9;0,52;Muy buena / Oso ona
03/09/2017;3;18;29;Muy buena / Oso ona;23;16;Muy buena / Oso ona;3;Muy buena / Oso ona;109;73;1003,5;180,7;20;0,42;Muy buena / Oso ona
02/09/2017;3;19;37;Muy buena / Oso ona;24;16;Muy buena / Oso ona;3;Muy buena / Oso ona;93;74;1011,5;228,3;18,1;0,8;Muy buena / Oso ona
01/09/2017;8;24;38;Muy buena / Oso ona;35;19;Muy buena / Oso ona;2;Muy buena / Oso ona;349;76;1011,7;154,1;17,5;0,9;Muy buena / Oso ona
31/08/2017;5;28;54;Buena / Ona;35;14;Muy buena / Oso ona;2;Muy buena / Oso ona;39;81;1010,2;143,8;17,4;0,43;Buena / Ona
30/08/2017;7;23;44;Muy buena / Oso ona;34;24;Muy buena / Oso ona;2;Muy buena / Oso ona;326;87;1003,6;154,8;19,5;0,51;Muy buena / Oso ona
29/08/2017;8;31;53;Buena / Ona;42;25;Muy buena / Oso ona;2;Muy buena / Oso ona;14;80;1002,1;212,1;21,2;0,05;Buena / Ona
28/08/2017;11;35;50;Muy buena / Oso ona;51;32;Buena / Ona;2;Muy buena / Oso ona;141;77;1002,9;83,9;21,7;1,82;Buena / Ona
27/08/2017;8;29;41;Muy buena / Oso ona;40;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;149;80;1002,7;70,5;21,7;1,44;Muy buena / Oso ona
26/08/2017;3;17;40;Muy buena / Oso ona;21;18;Muy buena / Oso ona;2;Muy buena / Oso ona;42;79;1002,3;172,5;22,8;0,38;Muy buena / Oso ona
25/08/2017;3;15;36;Muy buena / Oso ona;20;16;Muy buena / Oso ona;2;Muy buena / Oso ona;354;80;1004,1;180,1;21,8;0,77;Muy buena / Oso ona
24/08/2017;2;17;33;Muy buena / Oso ona;20;25;Muy buena / Oso ona;2;Muy buena / Oso ona;333;84;1004,8;160,5;21,4;1,21;Muy buena / Oso ona
23/08/2017;6;17;43;Muy buena / Oso ona;26;30;Buena / Ona;2;Muy buena / Oso ona;38;78;1006,3;155,2;21,3;0,49;Buena / Ona
22/08/2017;14;27;78;Buena / Ona;48;41;Buena / Ona;3;Muy buena / Oso ona;13;72;1004,2;242,1;22,4;1,16;Buena / Ona
21/08/2017;9;30;63;Buena / Ona;44;21;Muy buena / Oso ona;3;Muy buena / Oso ona;149;63;1004,6;272;23,4;1,59;Buena / Ona
20/08/2017;5;17;40;Muy buena / Oso ona;24;15;Muy buena / Oso ona;2;Muy buena / Oso ona;118;70;1012,5;273,9;19,3;0,71;Muy buena / Oso ona
19/08/2017;1;10;25;Muy buena / Oso ona;12;13;Muy buena / Oso ona;2;Muy buena / Oso ona;33;76;1011,9;148,3;20,1;0,88;Muy buena / Oso ona
18/08/2017;7;23;47;Muy buena / Oso ona;33;21;Muy buena / Oso ona;2;Muy buena / Oso ona;360;83;1009,3;131,9;20,7;0,5;Muy buena / Oso ona
17/08/2017;11;24;44;Muy buena / Oso ona;41;22;Muy buena / Oso ona;2;Muy buena / Oso ona;326;72;1008,4;270,7;21,5;0,64;Muy buena / Oso ona
16/08/2017;6;19;39;Muy buena / Oso ona;27;14;Muy buena / Oso ona;2;Muy buena / Oso ona;360;75;1010;229;21,7;0,53;Muy buena / Oso ona
15/08/2017;1;10;15;Muy buena / Oso ona;12;13;Muy buena / Oso ona;2;Muy buena / Oso ona;344;84;1008,1;59,9;20,3;1,02;Muy buena / Oso ona
14/08/2017;9;21;33;Muy buena / Oso ona;34;34;Buena / Ona;2;Muy buena / Oso ona;158;75;1002,1;215,1;22,7;0,75;Buena / Ona
13/08/2017;7;18;36;Muy buena / Oso ona;29;22;Muy buena / Oso ona;3;Muy buena / Oso ona;71;74;1007,7;256,2;19,5;0,35;Muy buena / Oso ona
12/08/2017;6;20;39;Muy buena / Oso ona;28;19;Muy buena / Oso ona;3;Muy buena / Oso ona;300;68;1011,5;284,7;18,4;0,16;Muy buena / Oso ona
11/08/2017;10;22;42;Muy buena / Oso ona;38;24;Muy buena / Oso ona;3;Muy buena / Oso ona;30;73;1013,4;261,9;17,5;0,8;Muy buena / Oso ona
10/08/2017;7;26;61;Buena / Ona;36;22;Muy buena / Oso ona;2;Muy buena / Oso ona;349;81;1014,7;83,8;16,3;0,97;Buena / Ona
09/08/2017;3;20;52;Buena / Ona;25;16;Muy buena / Oso ona;2;Muy buena / Oso ona;328;71;1010,2;187,8;17;2,31;Buena / Ona
08/08/2017;5;24;58;Buena / Ona;32;16;Muy buena / Oso ona;2;Muy buena / Oso ona;346;75;1007,8;147,1;17,5;1,11;Buena / Ona
07/08/2017;4;21;40;Muy buena / Oso ona;27;27;Buena / Ona;2;Muy buena / Oso ona;323;79;1003,7;213;20;1,59;Buena / Ona
06/08/2017;1;7;22;Muy buena / Oso ona;9;15;Muy buena / Oso ona;2;Muy buena / Oso ona;5;71;1010,5;181,6;19,8;1,04;Muy buena / Oso ona
05/08/2017;1;11;31;Muy buena / Oso ona;13;12;Muy buena / Oso ona;2;Muy buena / Oso ona;328;95;1009,8;79,2;18,7;1,76;Muy buena / Oso ona
04/08/2017;5;17;48;Muy buena / Oso ona;24;21;Muy buena / Oso ona;2;Muy buena / Oso ona;9;68;1005,9;271,8;25,5;0,83;Muy buena / Oso ona
03/08/2017;9;21;42;Muy buena / Oso ona;34;26;Buena / Ona;2;Muy buena / Oso ona;324;76;1006,7;288;22,4;0,88;Buena / Ona
02/08/2017;8;21;35;Muy buena / Oso ona;33;27;Buena / Ona;2;Muy buena / Oso ona;327;76;1006,4;270,3;21,6;0,54;Buena / Ona
01/08/2017;10;19;35;Muy buena / Oso ona;34;27;Buena / Ona;2;Muy buena / Oso ona;44;82;1005,2;97,9;20,2;0,5;Buena / Ona
31/07/2017;3;18;26;Muy buena / Oso ona;22;17;Muy buena / Oso ona;2;Muy buena / Oso ona;330;90;1002,1;70,9;18,7;0,81;Muy buena / Oso ona
30/07/2017;6;17;26;Muy buena / Oso ona;27;30;Buena / Ona;2;Muy buena / Oso ona;336;81;1003,7;65,5;19,8;0,49;Buena / Ona
29/07/2017;4;16;31;Muy buena / Oso ona;23;19;Muy buena / Oso ona;3;Muy buena / Oso ona;75;64;1003,3;304,1;23,6;0,72;Muy buena / Oso ona
28/07/2017;2;15;30;Muy buena / Oso ona;19;12;Muy buena / Oso ona;2;Muy buena / Oso ona;333;81;1006,4;175,7;21,4;0,85;Muy buena / Oso ona
27/07/2017;11;18;34;Muy buena / Oso ona;34;31;Buena / Ona;2;Muy buena / Oso ona;8;78;1004,4;270,6;21;0,95;Buena / Ona
26/07/2017;8;20;33;Muy buena / Oso ona;32;27;Buena / Ona;2;Muy buena / Oso ona;32;77;1005,8;291,1;19,6;0,4;Buena / Ona
25/07/2017;2;16;34;Muy buena / Oso ona;19;15;Muy buena / Oso ona;2;Muy buena / Oso ona;355;81;1009,9;120,9;18,1;0,85;Muy buena / Oso ona
24/07/2017;2;13;31;Muy buena / Oso ona;17;10;Muy buena / Oso ona;2;Muy buena / Oso ona;326;92;1011;120;18;2,47;Muy buena / Oso ona
23/07/2017;3;12;21;Muy buena / Oso ona;16;24;Muy buena / Oso ona;3;Muy buena / Oso ona;5;71;1009,4;285,1;20,3;0,58;Muy buena / Oso ona
22/07/2017;10;16;29;Muy buena / Oso ona;30;23;Muy buena / Oso ona;3;Muy buena / Oso ona;355;77;1005,3;199,2;18,4;0,66;Muy buena / Oso ona
21/07/2017;9;25;43;Muy buena / Oso ona;38;18;Muy buena / Oso ona;2;Muy buena / Oso ona;2;87;1002,8;101,5;17,2;0,36;Muy buena / Oso ona
20/07/2017;2;18;37;Muy buena / Oso ona;21;14;Muy buena / Oso ona;2;Muy buena / Oso ona;347;88;1006,1;97,6;17,1;0,92;Muy buena / Oso ona
19/07/2017;2;17;43;Muy buena / Oso ona;20;25;Muy buena / Oso ona;2;Muy buena / Oso ona;8;75;1001,8;182,4;21,7;1,09;Muy buena / Oso ona
18/07/2017;5;27;74;Buena / Ona;33;48;Buena / Ona;4;Muy buena / Oso ona;252;74;998,3;256;23,4;0,37;Buena / Ona
17/07/2017;11;35;71;Buena / Ona;52;48;Buena / Ona;2;Muy buena / Oso ona;80;70;1001,3;257,8;25,3;0,52;Buena / Ona
16/07/2017;4;19;40;Muy buena / Oso ona;26;25;Muy buena / Oso ona;2;Muy buena / Oso ona;329;73;1008,5;322;22;0,96;Muy buena / Oso ona
15/07/2017;1;6;19;Muy buena / Oso ona;8;11;Muy buena / Oso ona;2;Muy buena / Oso ona;32;75;1011,4;220,1;20,1;1,25;Muy buena / Oso ona
14/07/2017;2;10;30;Muy buena / Oso ona;13;9;Muy buena / Oso ona;2;Muy buena / Oso ona;26;74;1011,9;160,2;19,9;1,21;Muy buena / Oso ona
13/07/2017;4;16;38;Muy buena / Oso ona;21;13;Muy buena / Oso ona;2;Muy buena / Oso ona;354;79;1011,2;95,5;19,8;0,77;Muy buena / Oso ona
12/07/2017;17;24;46;Muy buena / Oso ona;50;35;Buena / Ona;4;Muy buena / Oso ona;338;76;1009,5;158,2;19,8;0,42;Buena / Ona
11/07/2017;8;22;45;Muy buena / Oso ona;34;22;Muy buena / Oso ona;2;Muy buena / Oso ona;320;75;1005,3;309,8;20,5;0,55;Muy buena / Oso ona
10/07/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;346;83;1005,6;;19,4;1,55;Sin datos / Daturik gabe
09/07/2017;1;9;16;Muy buena / Oso ona;11;23;Muy buena / Oso ona;2;Muy buena / Oso ona;347;81;1003,8;290;20,3;1,73;Muy buena / Oso ona
08/07/2017;1;8;16;Muy buena / Oso ona;10;22;Muy buena / Oso ona;2;Muy buena / Oso ona;346;88;1006,1;111,9;19,4;1,78;Muy buena / Oso ona
07/07/2017;5;21;62;Buena / Ona;29;31;Buena / Ona;2;Muy buena / Oso ona;334;82;1006,4;200,6;20,6;1,5;Buena / Ona
06/07/2017;7;40;69;Buena / Ona;51;38;Buena / Ona;2;Muy buena / Oso ona;329;75;1004,2;223,5;22;0,64;Buena / Ona
05/07/2017;4;19;68;Buena / Ona;24;32;Buena / Ona;3;Muy buena / Oso ona;20;62;1001,1;270,9;23,6;0,62;Buena / Ona
04/07/2017;8;22;60;Buena / Ona;35;26;Buena / Ona;2;Muy buena / Oso ona;119;63;1002,3;333,7;26,2;1,62;Buena / Ona
03/07/2017;10;12;21;Muy buena / Oso ona;27;13;Muy buena / Oso ona;2;Muy buena / Oso ona;104;77;1011,8;307,4;19,7;0,87;Muy buena / Oso ona
02/07/2017;2;13;25;Muy buena / Oso ona;16;19;Muy buena / Oso ona;2;Muy buena / Oso ona;30;76;1016;220,4;17,6;0,47;Muy buena / Oso ona
01/07/2017;0;12;29;Muy buena / Oso ona;13;19;Muy buena / Oso ona;2;Muy buena / Oso ona;335;82;1014,3;80,1;14,8;1,48;Muy buena / Oso ona
30/06/2017;6;24;44;Muy buena / Oso ona;33;17;Muy buena / Oso ona;2;Muy buena / Oso ona;290;81;1006,1;102,2;14,5;0,96;Muy buena / Oso ona
29/06/2017;1;13;41;Muy buena / Oso ona;15;14;Muy buena / Oso ona;2;Muy buena / Oso ona;315;57;999,2;150,2;17,4;2,14;Muy buena / Oso ona
28/06/2017;2;13;29;Muy buena / Oso ona;16;16;Muy buena / Oso ona;2;Muy buena / Oso ona;320;70;995;219,2;19,3;2,17;Muy buena / Oso ona
27/06/2017;8;20;32;Muy buena / Oso ona;33;26;Buena / Ona;2;Muy buena / Oso ona;17;83;997,9;140,4;19,5;0,59;Buena / Ona
26/06/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;354;77;999,4;;22;1,47;Sin datos / Daturik gabe
25/06/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
24/06/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
23/06/2017;;;;Sin datos / Daturik gabe;;33;Buena / Ona;2;Muy buena / Oso ona;357;82;1011,6;;19,8;0,81;Buena / Ona
22/06/2017;;;;Sin datos / Daturik gabe;;31;Buena / Ona;2;Muy buena / Oso ona;4;88;1007,6;70,2;19,8;1,71;Buena / Ona
21/06/2017;4;32;73;Buena / Ona;39;50;Buena / Ona;4;Muy buena / Oso ona;313;52;1002,3;311,9;31,4;1,77;Buena / Ona
20/06/2017;4;34;70;Buena / Ona;40;35;Buena / Ona;4;Muy buena / Oso ona;;;;265,3;;;Buena / Ona
19/06/2017;3;25;55;Buena / Ona;29;36;Buena / Ona;3;Muy buena / Oso ona;;;;318,5;;;Buena / Ona
18/06/2017;3;30;69;Buena / Ona;35;32;Buena / Ona;3;Muy buena / Oso ona;;;;346,2;;;Buena / Ona
17/06/2017;1;16;32;Muy buena / Oso ona;18;28;Buena / Ona;2;Muy buena / Oso ona;;;;334,9;;;Buena / Ona
16/06/2017;;;;Sin datos / Daturik gabe;;22;Muy buena / Oso ona;2;Muy buena / Oso ona;;;;152,3;;;Muy buena / Oso ona
15/06/2017;1;16;33;Muy buena / Oso ona;17;16;Muy buena / Oso ona;2;Muy buena / Oso ona;;;;86,6;;;Muy buena / Oso ona
14/06/2017;2;19;37;Muy buena / Oso ona;22;31;Buena / Ona;2;Muy buena / Oso ona;;;;230,4;;;Buena / Ona
13/06/2017;5;22;40;Muy buena / Oso ona;30;25;Muy buena / Oso ona;2;Muy buena / Oso ona;;;;213,9;;;Muy buena / Oso ona
12/06/2017;0;7;20;Muy buena / Oso ona;8;17;Muy buena / Oso ona;2;Muy buena / Oso ona;;;;108,8;;;Muy buena / Oso ona
11/06/2017;1;11;29;Muy buena / Oso ona;13;25;Muy buena / Oso ona;2;Muy buena / Oso ona;;;;194,6;;;Muy buena / Oso ona
10/06/2017;5;15;27;Muy buena / Oso ona;23;29;Buena / Ona;2;Muy buena / Oso ona;;;;310,4;;;Buena / Ona
09/06/2017;9;22;40;Muy buena / Oso ona;35;25;Muy buena / Oso ona;3;Muy buena / Oso ona;;;;215,3;;;Muy buena / Oso ona
08/06/2017;10;26;51;Buena / Ona;41;28;Buena / Ona;2;Muy buena / Oso ona;;;;295,6;;;Buena / Ona
07/06/2017;6;20;38;Muy buena / Oso ona;29;25;Muy buena / Oso ona;3;Muy buena / Oso ona;;;;336,9;;;Muy buena / Oso ona
06/06/2017;1;14;26;Muy buena / Oso ona;14;21;Muy buena / Oso ona;2;Muy buena / Oso ona;;;;132,5;;;Muy buena / Oso ona
05/06/2017;6;26;45;Muy buena / Oso ona;35;22;Muy buena / Oso ona;2;Muy buena / Oso ona;;;;335,5;;;Muy buena / Oso ona
04/06/2017;1;16;32;Muy buena / Oso ona;18;12;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;47,2;;;Muy buena / Oso ona
03/06/2017;1;17;35;Muy buena / Oso ona;19;16;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;61,7;;;Muy buena / Oso ona
02/06/2017;2;19;44;Muy buena / Oso ona;22;22;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;76,1;;;Muy buena / Oso ona
01/06/2017;9;19;30;Muy buena / Oso ona;32;24;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;317,4;;;Muy buena / Oso ona
31/05/2017;3;19;33;Muy buena / Oso ona;23;18;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;295,9;;;Muy buena / Oso ona
30/05/2017;2;18;35;Muy buena / Oso ona;20;11;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;81,1;;;Muy buena / Oso ona
29/05/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
28/05/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
27/05/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
26/05/2017;7;31;65;Buena / Ona;41;41;Buena / Ona;5;Muy buena / Oso ona;218;65;999,7;344,7;22,9;0,2;Buena / Ona
25/05/2017;8;24;55;Buena / Ona;36;31;Buena / Ona;2;Muy buena / Oso ona;123;59;1000,8;323,6;25,7;0,9;Buena / Ona
24/05/2017;3;22;73;Buena / Ona;26;26;Buena / Ona;2;Muy buena / Oso ona;116;66;1006,7;302,8;22,5;0,44;Buena / Ona
23/05/2017;2;17;46;Muy buena / Oso ona;19;25;Muy buena / Oso ona;2;Muy buena / Oso ona;326;70;1011,3;292,7;17,6;1,1;Muy buena / Oso ona
22/05/2017;6;19;71;Buena / Ona;28;36;Buena / Ona;3;Muy buena / Oso ona;359;72;1006,2;274,7;18;1,62;Buena / Ona
21/05/2017;5;18;38;Muy buena / Oso ona;26;18;Muy buena / Oso ona;4;Muy buena / Oso ona;149;57;1003,3;242,5;21;2,26;Muy buena / Oso ona
20/05/2017;4;20;43;Muy buena / Oso ona;25;18;Muy buena / Oso ona;3;Muy buena / Oso ona;106;71;1012,2;244,5;14,6;0,64;Muy buena / Oso ona
19/05/2017;7;21;50;Muy buena / Oso ona;32;21;Muy buena / Oso ona;4;Muy buena / Oso ona;17;71;1010,1;191,9;12,5;0,81;Muy buena / Oso ona
18/05/2017;2;18;42;Muy buena / Oso ona;20;12;Muy buena / Oso ona;2;Muy buena / Oso ona;336;84;1007;134,2;12,6;2,4;Muy buena / Oso ona
17/05/2017;9;34;66;Buena / Ona;47;28;Buena / Ona;2;Muy buena / Oso ona;17;80;1007,2;86,6;16,5;0,53;Buena / Ona
16/05/2017;10;39;59;Buena / Ona;55;31;Buena / Ona;5;Muy buena / Oso ona;331;62;1011,7;253,5;21,1;0,77;Buena / Ona
15/05/2017;11;33;58;Buena / Ona;50;25;Muy buena / Oso ona;4;Muy buena / Oso ona;230;60;1013,4;276,9;20,2;0,33;Buena / Ona
14/05/2017;2;17;43;Muy buena / Oso ona;19;12;Muy buena / Oso ona;3;Muy buena / Oso ona;160;57;1010,5;294,1;19,6;0,86;Muy buena / Oso ona
13/05/2017;2;16;36;Muy buena / Oso ona;18;12;Muy buena / Oso ona;2;Muy buena / Oso ona;96;69;1002,7;248,7;17,6;0,52;Muy buena / Oso ona
