Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
08/06/2017;;0,32;0,39;Muy buena / Oso ona;;10;18;56;Buena / Ona;34;50;82;Buena / Ona;;34;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
07/06/2017;;0,25;0,34;Muy buena / Oso ona;;7;15;36;Muy buena / Oso ona;25;43;71;Buena / Ona;;29;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
06/06/2017;;0,25;0,3;Muy buena / Oso ona;;3;13;21;Muy buena / Oso ona;18;53;62;Buena / Ona;;26;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
05/06/2017;;0,23;0,3;Muy buena / Oso ona;;5;18;33;Muy buena / Oso ona;26;46;73;Buena / Ona;;16;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
04/06/2017;;0,23;0,28;Muy buena / Oso ona;;2;12;32;Muy buena / Oso ona;16;37;50;Muy buena / Oso ona;;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
03/06/2017;;0,25;0,35;Muy buena / Oso ona;;3;13;22;Muy buena / Oso ona;17;40;54;Muy buena / Oso ona;;22;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
02/06/2017;;0,24;0,36;Muy buena / Oso ona;;3;17;30;Muy buena / Oso ona;21;53;60;Muy buena / Oso ona;;29;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;;Buena / Ona
01/06/2017;;0,35;0,42;Muy buena / Oso ona;;11;18;40;Muy buena / Oso ona;35;44;78;Buena / Ona;;27;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
31/05/2017;;0,27;0,29;Muy buena / Oso ona;;3;15;29;Muy buena / Oso ona;20;45;66;Buena / Ona;;17;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
30/05/2017;;0,24;0,29;Muy buena / Oso ona;;2;12;33;Muy buena / Oso ona;16;50;59;Muy buena / Oso ona;;10;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
