Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
29/05/2017;0,29;0,32;Muy buena / Oso ona;4;15;32;Muy buena / Oso ona;21;14;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
28/05/2017;0,24;0,27;Muy buena / Oso ona;2;10;39;Muy buena / Oso ona;13;19;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
27/05/2017;0,24;0,33;Muy buena / Oso ona;3;12;38;Muy buena / Oso ona;17;26;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
26/05/2017;0,29;0,36;Muy buena / Oso ona;7;24;76;Buena / Ona;35;24;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
25/05/2017;0,3;0,49;Muy buena / Oso ona;15;25;77;Buena / Ona;48;29;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
24/05/2017;0,28;0,33;Muy buena / Oso ona;6;21;40;Muy buena / Oso ona;31;26;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
23/05/2017;0,23;0,27;Muy buena / Oso ona;5;17;36;Muy buena / Oso ona;24;24;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
22/05/2017;0,29;0,4;Muy buena / Oso ona;9;25;72;Buena / Ona;38;27;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
21/05/2017;0,23;0,29;Muy buena / Oso ona;4;15;28;Muy buena / Oso ona;21;15;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
20/05/2017;0,18;0,23;Muy buena / Oso ona;7;17;31;Muy buena / Oso ona;27;14;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
19/05/2017;0,17;;Sin datos / Daturik gabe;9;21;45;Muy buena / Oso ona;35;14;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
18/05/2017;0,21;0,3;Muy buena / Oso ona;7;19;32;Muy buena / Oso ona;30;9;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
17/05/2017;0,34;0,42;Muy buena / Oso ona;9;31;83;Buena / Ona;46;22;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
16/05/2017;0,32;0,45;Muy buena / Oso ona;11;27;60;Buena / Ona;45;26;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
15/05/2017;0,31;0,41;Muy buena / Oso ona;12;26;59;Buena / Ona;44;17;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
14/05/2017;0,22;0,26;Muy buena / Oso ona;2;11;41;Muy buena / Oso ona;14;7;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
13/05/2017;0,21;0,26;Muy buena / Oso ona;2;9;21;Muy buena / Oso ona;13;8;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
12/05/2017;0,19;0,22;Muy buena / Oso ona;3;13;27;Muy buena / Oso ona;17;7;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
11/05/2017;0,22;0,3;Muy buena / Oso ona;2;9;15;Muy buena / Oso ona;13;8;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
10/05/2017;0,24;0,28;Muy buena / Oso ona;4;18;56;Buena / Ona;24;12;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
09/05/2017;0,31;0,42;Muy buena / Oso ona;8;22;51;Buena / Ona;34;17;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
08/05/2017;0,29;0,35;Muy buena / Oso ona;11;23;57;Buena / Ona;39;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
07/05/2017;0,24;0,3;Muy buena / Oso ona;3;12;23;Muy buena / Oso ona;17;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
06/05/2017;0,23;0,28;Muy buena / Oso ona;3;10;24;Muy buena / Oso ona;14;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
05/05/2017;0,28;0,41;Muy buena / Oso ona;3;14;26;Muy buena / Oso ona;19;16;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/05/2017;0,34;0,39;Muy buena / Oso ona;8;29;49;Muy buena / Oso ona;41;25;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
