Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
18/10/2017;0,36;0,73;Muy buena / Oso ona;9;27;44;95;Buena / Ona;85;27;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
17/10/2017;0,46;0,69;Muy buena / Oso ona;5;14;37;64;Buena / Ona;58;42;Buena / Ona;19;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
16/10/2017;0,24;0,29;Muy buena / Oso ona;4;6;16;32;Muy buena / Oso ona;25;33;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
15/10/2017;0,22;0,49;Muy buena / Oso ona;5;5;11;30;Muy buena / Oso ona;19;24;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
14/10/2017;0,44;0,52;Muy buena / Oso ona;5;9;29;72;Buena / Ona;42;34;Buena / Ona;21;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
13/10/2017;;;Sin datos / Daturik gabe;6;35;36;97;Buena / Ona;88;41;Buena / Ona;24;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
12/10/2017;0,36;0,38;Muy buena / Oso ona;4;17;33;69;Buena / Ona;58;26;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
11/10/2017;0,3;0,45;Muy buena / Oso ona;4;16;34;61;Buena / Ona;57;21;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
10/10/2017;0,35;0,45;Muy buena / Oso ona;5;42;38;67;Buena / Ona;102;26;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
09/10/2017;0,33;0,39;Muy buena / Oso ona;4;33;37;62;Buena / Ona;86;24;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
08/10/2017;;;Sin datos / Daturik gabe;;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
07/10/2017;0,38;0,53;Muy buena / Oso ona;3;17;25;58;Buena / Ona;49;11;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
06/10/2017;0,25;;Sin datos / Daturik gabe;5;8;23;53;Buena / Ona;35;14;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
05/10/2017;0,26;0,28;Muy buena / Oso ona;4;15;25;51;Buena / Ona;47;12;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
04/10/2017;0,28;0,34;Muy buena / Oso ona;5;30;22;35;Muy buena / Oso ona;68;25;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
03/10/2017;0,32;0,43;Muy buena / Oso ona;6;39;25;44;Muy buena / Oso ona;84;19;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;0,37;0,41;Muy buena / Oso ona;4;40;37;55;Buena / Ona;98;23;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
01/10/2017;0,38;0,4;Muy buena / Oso ona;3;26;32;44;Muy buena / Oso ona;71;20;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
30/09/2017;0,26;0,38;Muy buena / Oso ona;3;5;17;43;Muy buena / Oso ona;25;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
29/09/2017;0,35;;Sin datos / Daturik gabe;5;33;30;66;Buena / Ona;79;37;Buena / Ona;20;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
28/09/2017;0,33;0,43;Muy buena / Oso ona;4;25;40;64;Buena / Ona;78;31;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
27/09/2017;0,27;0,31;Muy buena / Oso ona;3;20;41;71;Buena / Ona;71;21;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
26/09/2017;0,29;0,3;Muy buena / Oso ona;3;21;32;55;Buena / Ona;63;19;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
25/09/2017;0,26;0,31;Muy buena / Oso ona;4;18;30;59;Buena / Ona;58;16;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
24/09/2017;0,36;0,51;Muy buena / Oso ona;4;27;31;52;Buena / Ona;72;25;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
23/09/2017;0,29;;Sin datos / Daturik gabe;5;38;47;62;Buena / Ona;104;23;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
22/09/2017;0,28;0,39;Muy buena / Oso ona;5;28;47;123;Mejorable / Hobetzeko modukoa;90;16;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
21/09/2017;0,37;;Sin datos / Daturik gabe;6;43;39;75;Buena / Ona;103;34;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
20/09/2017;0,31;0,37;Muy buena / Oso ona;3;28;47;89;Buena / Ona;88;30;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
19/09/2017;0,31;0,47;Muy buena / Oso ona;3;28;35;68;Buena / Ona;78;19;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
18/09/2017;0,26;0,29;Muy buena / Oso ona;3;22;37;58;Buena / Ona;71;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
17/09/2017;0,17;0,23;Muy buena / Oso ona;1;5;17;35;Muy buena / Oso ona;24;7;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
16/09/2017;0,21;0,28;Muy buena / Oso ona;1;5;24;56;Buena / Ona;31;8;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
15/09/2017;0,26;0,41;Muy buena / Oso ona;2;16;31;54;Buena / Ona;56;14;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
14/09/2017;0,22;0,48;Muy buena / Oso ona;2;6;22;53;Buena / Ona;31;19;Muy buena / Oso ona;0;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
13/09/2017;0,34;0,44;Muy buena / Oso ona;2;18;28;50;Muy buena / Oso ona;54;20;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
12/09/2017;0,26;0,32;Muy buena / Oso ona;2;10;28;68;Buena / Ona;42;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
11/09/2017;0,25;;Sin datos / Daturik gabe;;;;;Sin datos / Daturik gabe;;20;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
10/09/2017;0,21;0,25;Muy buena / Oso ona;1;2;15;49;Muy buena / Oso ona;18;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
09/09/2017;0,19;0,26;Muy buena / Oso ona;1;3;10;20;Muy buena / Oso ona;13;10;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
08/09/2017;0,26;0,3;Muy buena / Oso ona;2;15;25;53;Buena / Ona;48;19;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
07/09/2017;0,25;0,33;Muy buena / Oso ona;3;20;26;52;Buena / Ona;57;16;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
06/09/2017;0,25;0,28;Muy buena / Oso ona;4;8;23;38;Muy buena / Oso ona;35;16;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
05/09/2017;0,33;;Sin datos / Daturik gabe;5;24;23;44;Muy buena / Oso ona;59;17;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/09/2017;0,35;;Sin datos / Daturik gabe;4;29;26;43;Muy buena / Oso ona;69;17;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
03/09/2017;0,31;0,45;Muy buena / Oso ona;3;6;22;51;Buena / Ona;31;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
02/09/2017;0,28;0,34;Muy buena / Oso ona;2;6;21;47;Muy buena / Oso ona;30;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
01/09/2017;0,29;;Sin datos / Daturik gabe;3;15;22;42;Muy buena / Oso ona;45;13;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
31/08/2017;0,34;0,35;Muy buena / Oso ona;2;13;27;51;Buena / Ona;46;13;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
30/08/2017;0,28;0,34;Muy buena / Oso ona;3;12;22;45;Muy buena / Oso ona;40;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
29/08/2017;0,28;0,35;Muy buena / Oso ona;5;16;27;46;Muy buena / Oso ona;52;19;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
28/08/2017;0,46;0,86;Muy buena / Oso ona;6;13;29;47;Muy buena / Oso ona;48;22;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
27/08/2017;0,83;1,26;Muy buena / Oso ona;5;11;25;40;Muy buena / Oso ona;41;24;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
26/08/2017;0,44;0,48;Muy buena / Oso ona;4;9;18;50;Muy buena / Oso ona;32;18;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
25/08/2017;0,58;1,2;Muy buena / Oso ona;3;12;17;35;Muy buena / Oso ona;34;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
24/08/2017;0,27;0,31;Muy buena / Oso ona;3;7;13;31;Muy buena / Oso ona;23;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
23/08/2017;0,46;0,86;Muy buena / Oso ona;5;15;22;43;Muy buena / Oso ona;45;24;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;Muy buena / Oso ona
22/08/2017;0,37;0,66;Muy buena / Oso ona;5;13;29;66;Buena / Ona;48;29;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Buena / Ona
21/08/2017;0,4;0,61;Muy buena / Oso ona;3;19;48;124;Mejorable / Hobetzeko modukoa;76;24;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/08/2017;0,54;1,17;Muy buena / Oso ona;2;10;20;48;Muy buena / Oso ona;36;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;Muy buena / Oso ona
19/08/2017;0,3;0,33;Muy buena / Oso ona;2;6;16;43;Muy buena / Oso ona;26;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;Muy buena / Oso ona
18/08/2017;0,49;0,91;Muy buena / Oso ona;3;15;23;43;Muy buena / Oso ona;46;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;Muy buena / Oso ona
17/08/2017;0,29;0,39;Muy buena / Oso ona;2;17;24;46;Muy buena / Oso ona;50;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
16/08/2017;0,28;0,38;Muy buena / Oso ona;3;13;18;35;Muy buena / Oso ona;37;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
15/08/2017;0,45;1,05;Muy buena / Oso ona;2;3;10;18;Muy buena / Oso ona;15;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
14/08/2017;0,51;0,98;Muy buena / Oso ona;2;11;21;38;Muy buena / Oso ona;38;25;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
13/08/2017;0,23;0,25;Muy buena / Oso ona;1;6;18;38;Muy buena / Oso ona;26;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
12/08/2017;0,2;0,35;Muy buena / Oso ona;1;7;17;30;Muy buena / Oso ona;26;13;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
11/08/2017;0,27;0,43;Muy buena / Oso ona;2;14;22;42;Muy buena / Oso ona;43;15;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
10/08/2017;0,17;0,21;Muy buena / Oso ona;1;5;16;31;Muy buena / Oso ona;24;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
09/08/2017;0,2;0,27;Muy buena / Oso ona;1;3;14;24;Muy buena / Oso ona;18;10;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
08/08/2017;0,18;0,21;Muy buena / Oso ona;1;4;16;42;Muy buena / Oso ona;21;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
07/08/2017;0,26;0,36;Muy buena / Oso ona;1;9;19;48;Muy buena / Oso ona;33;18;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
06/08/2017;0,17;0,19;Muy buena / Oso ona;1;2;8;36;Muy buena / Oso ona;10;9;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
05/08/2017;0,21;0,22;Muy buena / Oso ona;2;3;9;18;Muy buena / Oso ona;12;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
04/08/2017;0,23;0,31;Muy buena / Oso ona;4;8;16;40;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
03/08/2017;0,24;0,41;Muy buena / Oso ona;3;12;19;37;Muy buena / Oso ona;37;23;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
02/08/2017;0,32;0,44;Muy buena / Oso ona;4;20;25;43;Muy buena / Oso ona;55;20;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
01/08/2017;0,28;0,4;Muy buena / Oso ona;4;20;21;42;Muy buena / Oso ona;52;14;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
31/07/2017;0,22;0,29;Muy buena / Oso ona;2;4;17;35;Muy buena / Oso ona;22;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
30/07/2017;0,38;0,75;Muy buena / Oso ona;1;4;16;28;Muy buena / Oso ona;23;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
29/07/2017;0,27;0,32;Muy buena / Oso ona;1;8;23;39;Muy buena / Oso ona;34;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
28/07/2017;0,25;0,33;Muy buena / Oso ona;2;7;18;46;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
27/07/2017;0,48;0,94;Muy buena / Oso ona;2;21;22;48;Muy buena / Oso ona;54;33;Buena / Ona;19;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
26/07/2017;0,24;0,26;Muy buena / Oso ona;1;11;24;44;Muy buena / Oso ona;40;21;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
25/07/2017;0,13;0,15;Muy buena / Oso ona;1;2;10;38;Muy buena / Oso ona;12;6;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
24/07/2017;0,16;0,21;Muy buena / Oso ona;1;4;9;16;Muy buena / Oso ona;15;7;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;0,17;0,2;Muy buena / Oso ona;1;2;10;24;Muy buena / Oso ona;12;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
22/07/2017;0,2;0,34;Muy buena / Oso ona;2;8;16;29;Muy buena / Oso ona;27;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
21/07/2017;0,39;0,66;Muy buena / Oso ona;3;16;25;49;Muy buena / Oso ona;50;23;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
20/07/2017;0,25;0,44;Muy buena / Oso ona;2;5;21;40;Muy buena / Oso ona;28;14;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
19/07/2017;0,25;0,37;Muy buena / Oso ona;4;8;23;67;Buena / Ona;35;;Sin datos / Daturik gabe;16;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
18/07/2017;0,36;0,6;Muy buena / Oso ona;5;5;21;49;Muy buena / Oso ona;29;;Sin datos / Daturik gabe;17;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
17/07/2017;0,51;0,72;Muy buena / Oso ona;4;19;40;75;Buena / Ona;69;48;Buena / Ona;23;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
16/07/2017;0,3;0,64;Muy buena / Oso ona;2;4;19;58;Buena / Ona;25;24;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
15/07/2017;0,31;0,42;Muy buena / Oso ona;2;4;17;37;Muy buena / Oso ona;22;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
14/07/2017;0,17;0,18;Muy buena / Oso ona;3;10;17;57;Buena / Ona;31;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
13/07/2017;0,21;0,3;Muy buena / Oso ona;2;6;13;37;Muy buena / Oso ona;22;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
12/07/2017;0,32;0,57;Muy buena / Oso ona;3;20;24;48;Muy buena / Oso ona;53;35;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
11/07/2017;0,36;0,68;Muy buena / Oso ona;6;30;28;83;Buena / Ona;73;26;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
10/07/2017;0,17;0,22;Muy buena / Oso ona;2;9;14;45;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
09/07/2017;0,18;0,24;Muy buena / Oso ona;1;2;9;27;Muy buena / Oso ona;11;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
08/07/2017;0,2;0,23;Muy buena / Oso ona;1;1;9;25;Muy buena / Oso ona;11;19;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
07/07/2017;0,24;0,45;Muy buena / Oso ona;3;9;17;42;Muy buena / Oso ona;30;29;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
06/07/2017;0,39;0,71;Muy buena / Oso ona;4;13;29;70;Buena / Ona;49;31;Buena / Ona;19;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
05/07/2017;0,22;0,27;Muy buena / Oso ona;4;5;18;50;Muy buena / Oso ona;24;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
04/07/2017;0,55;1,22;Muy buena / Oso ona;5;18;36;75;Buena / Ona;64;;Sin datos / Daturik gabe;19;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
03/07/2017;0,31;0,52;Muy buena / Oso ona;2;20;18;32;Muy buena / Oso ona;49;18;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
02/07/2017;0,15;0,18;Muy buena / Oso ona;1;6;15;33;Muy buena / Oso ona;23;11;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
01/07/2017;0,11;0,12;Muy buena / Oso ona;1;3;10;22;Muy buena / Oso ona;14;10;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
30/06/2017;0,11;;Sin datos / Daturik gabe;1;4;12;34;Muy buena / Oso ona;19;8;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
29/06/2017;;;Sin datos / Daturik gabe;2;4;10;17;Muy buena / Oso ona;16;10;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
28/06/2017;0,2;0,36;Muy buena / Oso ona;5;8;13;40;Muy buena / Oso ona;25;7;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
27/06/2017;0,48;1,16;Muy buena / Oso ona;7;20;23;49;Muy buena / Oso ona;53;19;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
26/06/2017;0,34;0,37;Muy buena / Oso ona;4;10;20;33;Muy buena / Oso ona;36;16;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
25/06/2017;0,39;0,73;Muy buena / Oso ona;4;6;14;32;Muy buena / Oso ona;22;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
24/06/2017;0,33;0,42;Muy buena / Oso ona;4;5;15;31;Muy buena / Oso ona;22;19;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
23/06/2017;0,34;0,54;Muy buena / Oso ona;5;11;21;60;Buena / Ona;38;43;Buena / Ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;Buena / Ona
22/06/2017;0,26;0,32;Muy buena / Oso ona;6;5;12;25;Muy buena / Oso ona;19;26;Buena / Ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
21/06/2017;0,41;0,77;Muy buena / Oso ona;6;7;39;83;Buena / Ona;49;56;Mejorable / Hobetzeko modukoa;24;Buena / Ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/06/2017;0,5;0,65;Muy buena / Oso ona;5;10;45;91;Buena / Ona;60;45;Buena / Ona;19;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
19/06/2017;0,59;1,31;Muy buena / Oso ona;6;6;29;57;Buena / Ona;38;;Sin datos / Daturik gabe;19;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
18/06/2017;0,68;1,39;Muy buena / Oso ona;5;7;31;68;Buena / Ona;41;41;Buena / Ona;21;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
17/06/2017;0,35;0,39;Muy buena / Oso ona;3;8;25;54;Buena / Ona;36;37;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
16/06/2017;0,2;0,23;Muy buena / Oso ona;3;9;23;60;Buena / Ona;36;21;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
15/06/2017;0,2;0,23;Muy buena / Oso ona;3;7;16;45;Muy buena / Oso ona;26;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
14/06/2017;0,27;0,36;Muy buena / Oso ona;5;8;19;38;Muy buena / Oso ona;31;33;Buena / Ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
13/06/2017;0,32;0,52;Muy buena / Oso ona;4;15;26;49;Muy buena / Oso ona;49;36;Buena / Ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
