Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
15/06/2017;0,17;0,27;0,36;Muy buena / Oso ona;0,07;3;20;41;Muy buena / Oso ona;23;0,24;15;Muy buena / Oso ona;2;Muy buena / Oso ona;0,9;Muy buena / Oso ona
14/06/2017;0,13;0,4;0,57;Muy buena / Oso ona;0,14;4;22;48;Muy buena / Oso ona;28;0,31;25;Muy buena / Oso ona;3;Muy buena / Oso ona;1,03;Muy buena / Oso ona
13/06/2017;0,11;;;Sin datos / Daturik gabe;0,23;10;29;49;Muy buena / Oso ona;44;0,51;23;Muy buena / Oso ona;3;Muy buena / Oso ona;2,15;Muy buena / Oso ona
12/06/2017;0,1;0,21;0,27;Muy buena / Oso ona;0,01;5;15;23;Muy buena / Oso ona;22;0,14;14;Muy buena / Oso ona;2;Muy buena / Oso ona;0,45;Muy buena / Oso ona
11/06/2017;0,13;0,3;0,43;Muy buena / Oso ona;0;3;12;22;Muy buena / Oso ona;16;0,17;22;Muy buena / Oso ona;3;Muy buena / Oso ona;0,39;Muy buena / Oso ona
10/06/2017;0,1;0,27;0,29;Muy buena / Oso ona;0,12;8;19;33;Muy buena / Oso ona;31;0,42;25;Muy buena / Oso ona;4;Muy buena / Oso ona;1,09;Muy buena / Oso ona
09/06/2017;0,11;0,23;0,29;Muy buena / Oso ona;0,11;12;25;47;Muy buena / Oso ona;43;0,52;21;Muy buena / Oso ona;5;Muy buena / Oso ona;1,27;Muy buena / Oso ona
08/06/2017;0,12;0,28;0,52;Muy buena / Oso ona;0,26;15;37;66;Buena / Ona;59;0,61;24;Muy buena / Oso ona;5;Muy buena / Oso ona;1,86;Buena / Ona
07/06/2017;0,21;0,3;0,49;Muy buena / Oso ona;0,17;11;31;58;Buena / Ona;48;0,74;30;Buena / Ona;5;Muy buena / Oso ona;1,33;Buena / Ona
06/06/2017;0,11;0,13;0,32;Muy buena / Oso ona;0,01;3;13;32;Muy buena / Oso ona;17;0,18;17;Muy buena / Oso ona;4;Muy buena / Oso ona;0,48;Muy buena / Oso ona
05/06/2017;0,16;0,22;0,3;Muy buena / Oso ona;0,09;11;29;45;Muy buena / Oso ona;46;0,53;16;Muy buena / Oso ona;5;Muy buena / Oso ona;1,09;Muy buena / Oso ona
04/06/2017;0,18;0,19;0,23;Muy buena / Oso ona;0;4;23;38;Muy buena / Oso ona;28;0,21;10;Muy buena / Oso ona;2;Muy buena / Oso ona;0,51;Muy buena / Oso ona
03/06/2017;0,16;0,26;0,36;Muy buena / Oso ona;0,08;4;24;38;Muy buena / Oso ona;30;0,46;14;Muy buena / Oso ona;2;Muy buena / Oso ona;0,91;Muy buena / Oso ona
02/06/2017;0,17;0,33;0,55;Muy buena / Oso ona;0,05;4;22;51;Buena / Ona;28;0,34;17;Muy buena / Oso ona;2;Muy buena / Oso ona;0,63;Buena / Ona
01/06/2017;0,11;0,33;0,42;Muy buena / Oso ona;0,19;12;26;37;Muy buena / Oso ona;45;0,57;21;Muy buena / Oso ona;3;Muy buena / Oso ona;1,65;Muy buena / Oso ona
31/05/2017;0,13;0,23;0,27;Muy buena / Oso ona;0,05;7;23;34;Muy buena / Oso ona;34;0,37;15;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona
30/05/2017;0,12;0,31;0,45;Muy buena / Oso ona;0,08;4;19;31;Muy buena / Oso ona;25;0,47;10;Muy buena / Oso ona;2;Muy buena / Oso ona;0,97;Muy buena / Oso ona
29/05/2017;0,13;0,3;0,35;Muy buena / Oso ona;0,02;3;18;29;Muy buena / Oso ona;23;0,18;13;Muy buena / Oso ona;2;Muy buena / Oso ona;0,5;Muy buena / Oso ona
28/05/2017;0,2;0,34;0,47;Muy buena / Oso ona;0,04;5;21;47;Muy buena / Oso ona;29;0,3;23;Muy buena / Oso ona;2;Muy buena / Oso ona;0,67;Muy buena / Oso ona
27/05/2017;0,11;0,35;0,46;Muy buena / Oso ona;0,19;7;40;81;Buena / Ona;51;0,8;28;Buena / Ona;3;Muy buena / Oso ona;1,3;Buena / Ona
26/05/2017;0,13;0,3;0,42;Muy buena / Oso ona;0,2;9;36;73;Buena / Ona;49;0,79;25;Muy buena / Oso ona;5;Muy buena / Oso ona;1,38;Buena / Ona
25/05/2017;0,07;0,31;0,43;Muy buena / Oso ona;0,3;14;38;82;Buena / Ona;59;0,98;28;Buena / Ona;3;Muy buena / Oso ona;2,09;Buena / Ona
24/05/2017;0,15;0,3;0,42;Muy buena / Oso ona;0,21;9;38;93;Buena / Ona;51;0,97;22;Muy buena / Oso ona;3;Muy buena / Oso ona;1,83;Buena / Ona
23/05/2017;0,13;0,17;0,22;Muy buena / Oso ona;0,01;4;16;31;Muy buena / Oso ona;22;0,2;19;Muy buena / Oso ona;4;Muy buena / Oso ona;0,52;Muy buena / Oso ona
22/05/2017;0,12;0,29;0,41;Muy buena / Oso ona;0,05;5;19;70;Buena / Ona;27;0,33;28;Buena / Ona;4;Muy buena / Oso ona;0,77;Buena / Ona
21/05/2017;0,15;0,27;0,3;Muy buena / Oso ona;0,12;11;35;50;Muy buena / Oso ona;52;0,55;15;Muy buena / Oso ona;8;Muy buena / Oso ona;1,15;Muy buena / Oso ona
20/05/2017;0,12;0,22;0,25;Muy buena / Oso ona;0,1;13;29;49;Muy buena / Oso ona;48;0,46;14;Muy buena / Oso ona;5;Muy buena / Oso ona;0,85;Muy buena / Oso ona
19/05/2017;0,12;0,18;0,22;Muy buena / Oso ona;0,08;11;26;61;Buena / Ona;42;0,46;14;Muy buena / Oso ona;4;Muy buena / Oso ona;0,95;Buena / Ona
18/05/2017;0,13;0,15;0,26;Muy buena / Oso ona;0,05;3;20;49;Muy buena / Oso ona;25;0,32;11;Muy buena / Oso ona;4;Muy buena / Oso ona;1,15;Muy buena / Oso ona
17/05/2017;0,37;0,27;0,57;Muy buena / Oso ona;0,22;9;38;69;Buena / Ona;52;0,93;21;Muy buena / Oso ona;6;Muy buena / Oso ona;1,94;Buena / Ona
