Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;Tolueno (µg/m3);Ortoxileno (µg/m3);ICA Estación
08/10/2017;;0,27;0,3;Muy buena / Oso ona;;3;8;15;Muy buena / Oso ona;12;14;Muy buena / Oso ona;11;Muy buena / Oso ona;;;Muy buena / Oso ona
07/10/2017;;0,22;0,25;Muy buena / Oso ona;;2;10;18;Muy buena / Oso ona;12;18;Muy buena / Oso ona;10;Muy buena / Oso ona;;;Muy buena / Oso ona
06/10/2017;;0,19;0,21;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;10;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Muy buena / Oso ona
05/10/2017;;0,24;0,38;Muy buena / Oso ona;;7;9;12;Muy buena / Oso ona;17;21;Muy buena / Oso ona;15;Muy buena / Oso ona;;;Muy buena / Oso ona
04/10/2017;;0,24;;Sin datos / Daturik gabe;;6;11;21;Muy buena / Oso ona;19;16;Muy buena / Oso ona;10;Muy buena / Oso ona;;;Muy buena / Oso ona
03/10/2017;;0,21;0,28;Muy buena / Oso ona;;5;7;9;Muy buena / Oso ona;13;12;Muy buena / Oso ona;10;Muy buena / Oso ona;;;Muy buena / Oso ona
02/10/2017;;0,23;0,26;Muy buena / Oso ona;;5;9;14;Muy buena / Oso ona;15;12;Muy buena / Oso ona;11;Muy buena / Oso ona;;;Muy buena / Oso ona
01/10/2017;;0,19;0,2;Muy buena / Oso ona;;2;14;28;Muy buena / Oso ona;16;9;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Muy buena / Oso ona
30/09/2017;;0,21;0,24;Muy buena / Oso ona;;3;18;24;Muy buena / Oso ona;20;16;Muy buena / Oso ona;10;Muy buena / Oso ona;;;Muy buena / Oso ona
29/09/2017;;0,25;0,31;Muy buena / Oso ona;;8;30;75;Buena / Ona;40;30;Buena / Ona;16;Muy buena / Oso ona;;;Buena / Ona
28/09/2017;;0,31;0,46;Muy buena / Oso ona;;20;39;85;Buena / Ona;70;28;Buena / Ona;15;Muy buena / Oso ona;;;Buena / Ona
27/09/2017;;0,28;0,37;Muy buena / Oso ona;;26;38;73;Buena / Ona;77;24;Muy buena / Oso ona;14;Muy buena / Oso ona;;;Buena / Ona
26/09/2017;;0,18;0,21;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;28;12;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Muy buena / Oso ona
25/09/2017;;0,19;0,29;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;24;15;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Muy buena / Oso ona
24/09/2017;;0,24;0,3;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;27;23;Muy buena / Oso ona;16;Muy buena / Oso ona;;;Muy buena / Oso ona
23/09/2017;;0,23;0,29;Muy buena / Oso ona;;6;28;70;Buena / Ona;33;20;Muy buena / Oso ona;15;Muy buena / Oso ona;;;Buena / Ona
22/09/2017;;0,18;0,2;Muy buena / Oso ona;;5;24;41;Muy buena / Oso ona;28;12;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Muy buena / Oso ona
21/09/2017;;0,32;0,53;Muy buena / Oso ona;;38;37;72;Buena / Ona;88;29;Buena / Ona;18;Buena / Ona;;;Buena / Ona
20/09/2017;;0,26;0,32;Muy buena / Oso ona;;15;41;72;Buena / Ona;64;20;Muy buena / Oso ona;13;Muy buena / Oso ona;;;Buena / Ona
19/09/2017;;0,19;0,23;Muy buena / Oso ona;;11;29;60;Buena / Ona;39;10;Muy buena / Oso ona;6;Muy buena / Oso ona;;;Buena / Ona
18/09/2017;;0,2;0,25;Muy buena / Oso ona;;7;27;46;Muy buena / Oso ona;34;10;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
17/09/2017;;0,18;0,21;Muy buena / Oso ona;;5;17;28;Muy buena / Oso ona;21;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Muy buena / Oso ona
16/09/2017;;0,16;0,17;Muy buena / Oso ona;;2;16;33;Muy buena / Oso ona;18;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;;Muy buena / Oso ona
15/09/2017;;0,18;0,22;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;25;11;Muy buena / Oso ona;4;Muy buena / Oso ona;;;Muy buena / Oso ona
14/09/2017;;0,15;;Sin datos / Daturik gabe;;;;;Sin datos / Daturik gabe;26;18;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
13/09/2017;;0,25;0,36;Muy buena / Oso ona;;24;25;53;Buena / Ona;58;18;Muy buena / Oso ona;13;Muy buena / Oso ona;;;Buena / Ona
12/09/2017;;0,21;0,24;Muy buena / Oso ona;;5;24;46;Muy buena / Oso ona;27;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Muy buena / Oso ona
11/09/2017;;0,18;0,22;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;25;17;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Muy buena / Oso ona
10/09/2017;;0,15;0,18;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;10;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Muy buena / Oso ona
09/09/2017;;0,16;0,24;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;9;12;Muy buena / Oso ona;6;Muy buena / Oso ona;;;Muy buena / Oso ona
08/09/2017;;0,24;0,3;Muy buena / Oso ona;;15;29;46;Muy buena / Oso ona;46;21;Muy buena / Oso ona;12;Muy buena / Oso ona;;;Muy buena / Oso ona
07/09/2017;;0,19;0,23;Muy buena / Oso ona;;4;20;44;Muy buena / Oso ona;22;15;Muy buena / Oso ona;6;Muy buena / Oso ona;;;Muy buena / Oso ona
06/09/2017;;0,2;0,23;Muy buena / Oso ona;;;;;Sin datos / Daturik gabe;21;13;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Muy buena / Oso ona
05/09/2017;;0,22;0,27;Muy buena / Oso ona;;11;19;34;Muy buena / Oso ona;35;19;Muy buena / Oso ona;15;Muy buena / Oso ona;;;Muy buena / Oso ona
04/09/2017;0,1;0,2;0,23;Muy buena / Oso ona;0,06;6;19;39;Muy buena / Oso ona;24;9;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
03/09/2017;0,15;0,2;0,21;Muy buena / Oso ona;0,2;3;18;34;Muy buena / Oso ona;22;11;Muy buena / Oso ona;9;Muy buena / Oso ona;0,96;;Muy buena / Oso ona
02/09/2017;;0,19;0,21;Muy buena / Oso ona;0,06;;;;Sin datos / Daturik gabe;15;11;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
01/09/2017;0,1;0,19;0,22;Muy buena / Oso ona;0,62;11;20;40;Muy buena / Oso ona;30;12;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
31/08/2017;0,05;0,16;0,17;Muy buena / Oso ona;0,12;2;14;24;Muy buena / Oso ona;18;11;Muy buena / Oso ona;4;Muy buena / Oso ona;;;Muy buena / Oso ona
30/08/2017;0,07;0,17;0,22;Muy buena / Oso ona;0,16;2;14;41;Muy buena / Oso ona;18;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Muy buena / Oso ona
29/08/2017;0,08;0,18;0,21;Muy buena / Oso ona;0,26;3;19;41;Muy buena / Oso ona;24;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,98;0,98;Muy buena / Oso ona
28/08/2017;0,11;0,17;0,2;Muy buena / Oso ona;0,49;4;22;41;Muy buena / Oso ona;29;20;Muy buena / Oso ona;11;Muy buena / Oso ona;1,26;2,15;Muy buena / Oso ona
27/08/2017;0,09;0,18;0,2;Muy buena / Oso ona;0,37;2;16;42;Muy buena / Oso ona;18;27;Buena / Ona;12;Muy buena / Oso ona;0,87;2,06;Buena / Ona
26/08/2017;0,08;0,17;0,2;Muy buena / Oso ona;0,36;1;14;46;Muy buena / Oso ona;15;20;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,47;;Muy buena / Oso ona
25/08/2017;0,1;0,19;0,21;Muy buena / Oso ona;0,32;3;14;36;Muy buena / Oso ona;19;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Muy buena / Oso ona
24/08/2017;0,06;0,19;0,23;Muy buena / Oso ona;0,05;2;12;24;Muy buena / Oso ona;15;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,42;;Muy buena / Oso ona
23/08/2017;0,08;0,18;0,21;Muy buena / Oso ona;0,05;3;14;28;Muy buena / Oso ona;19;25;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,56;;Muy buena / Oso ona
22/08/2017;0,16;0,22;0,25;Muy buena / Oso ona;0,68;4;25;63;Buena / Ona;30;28;Buena / Ona;14;Muy buena / Oso ona;1,63;3,15;Buena / Ona
21/08/2017;0,19;0,2;0,23;Muy buena / Oso ona;0,82;8;35;93;Buena / Ona;47;19;Muy buena / Oso ona;9;Muy buena / Oso ona;1,74;3,37;Buena / Ona
20/08/2017;;0,13;0,16;Muy buena / Oso ona;0,04;1;11;21;Muy buena / Oso ona;13;11;Muy buena / Oso ona;4;Muy buena / Oso ona;0,29;;Muy buena / Oso ona
19/08/2017;0,05;0,14;0,16;Muy buena / Oso ona;0,04;1;9;13;Muy buena / Oso ona;10;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Muy buena / Oso ona
18/08/2017;0,07;0,15;0,22;Muy buena / Oso ona;0,05;2;13;25;Muy buena / Oso ona;16;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,4;;Muy buena / Oso ona
17/08/2017;0,12;0,19;0,23;Muy buena / Oso ona;0,42;6;19;38;Muy buena / Oso ona;28;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,89;1,93;Muy buena / Oso ona
16/08/2017;0,08;0,13;0,14;Muy buena / Oso ona;0,07;2;12;22;Muy buena / Oso ona;15;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Muy buena / Oso ona
15/08/2017;0,05;0,15;0,18;Muy buena / Oso ona;0,04;1;8;10;Muy buena / Oso ona;9;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Muy buena / Oso ona
14/08/2017;0,07;0,16;0,17;Muy buena / Oso ona;0,44;2;14;32;Muy buena / Oso ona;17;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,71;;Muy buena / Oso ona
13/08/2017;0,06;0,16;0,18;Muy buena / Oso ona;0,05;2;10;22;Muy buena / Oso ona;13;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,41;;Muy buena / Oso ona
12/08/2017;;0,14;0,15;Muy buena / Oso ona;0,14;3;15;33;Muy buena / Oso ona;19;10;Muy buena / Oso ona;6;Muy buena / Oso ona;0,57;;Muy buena / Oso ona
11/08/2017;;0,14;0,15;Muy buena / Oso ona;0,05;2;14;32;Muy buena / Oso ona;16;14;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
10/08/2017;;0,12;0,13;Muy buena / Oso ona;0,04;1;7;20;Muy buena / Oso ona;8;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;Muy buena / Oso ona
09/08/2017;0,03;0,12;0,13;Muy buena / Oso ona;0,04;1;9;21;Muy buena / Oso ona;10;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;;Muy buena / Oso ona
08/08/2017;0,04;0,12;0,16;Muy buena / Oso ona;0,04;2;10;21;Muy buena / Oso ona;13;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;;Muy buena / Oso ona
07/08/2017;0,07;0,16;0,21;Muy buena / Oso ona;0,05;2;14;23;Muy buena / Oso ona;17;18;Muy buena / Oso ona;10;Muy buena / Oso ona;;;Muy buena / Oso ona
06/08/2017;0,03;0,11;0,12;Muy buena / Oso ona;0,04;2;7;14;Muy buena / Oso ona;10;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;;Muy buena / Oso ona
05/08/2017;0,04;0,14;0,17;Muy buena / Oso ona;0,04;2;8;12;Muy buena / Oso ona;11;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Muy buena / Oso ona
04/08/2017;0,05;0,18;0,21;Muy buena / Oso ona;0,11;3;12;25;Muy buena / Oso ona;16;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,52;;Muy buena / Oso ona
03/08/2017;0,16;0,21;0,23;Muy buena / Oso ona;0,21;2;16;36;Muy buena / Oso ona;20;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,98;;Muy buena / Oso ona
02/08/2017;0,09;0,2;0,25;Muy buena / Oso ona;0,22;2;13;23;Muy buena / Oso ona;15;22;Muy buena / Oso ona;12;Muy buena / Oso ona;;;Muy buena / Oso ona
01/08/2017;0,05;0,17;0,19;Muy buena / Oso ona;0,04;3;12;20;Muy buena / Oso ona;16;15;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
31/07/2017;0,05;0,15;0,17;Muy buena / Oso ona;0,04;3;12;19;Muy buena / Oso ona;16;13;Muy buena / Oso ona;7;Muy buena / Oso ona;0,35;;Muy buena / Oso ona
30/07/2017;0,06;0,15;0,19;Muy buena / Oso ona;0,04;2;10;21;Muy buena / Oso ona;12;11;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Muy buena / Oso ona
29/07/2017;0,13;0,18;0,23;Muy buena / Oso ona;0,04;2;19;46;Muy buena / Oso ona;22;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;0,67;;Muy buena / Oso ona
28/07/2017;0,1;0,2;0,24;Muy buena / Oso ona;0,04;4;15;28;Muy buena / Oso ona;21;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,6;;Muy buena / Oso ona
27/07/2017;0,37;0,19;0,21;Muy buena / Oso ona;0,04;12;19;43;Muy buena / Oso ona;38;22;Muy buena / Oso ona;;Sin datos / Daturik gabe;2,08;;Muy buena / Oso ona
26/07/2017;0,22;0,18;0,21;Muy buena / Oso ona;0,04;7;20;40;Muy buena / Oso ona;30;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;1,08;;Muy buena / Oso ona
25/07/2017;0,06;0,12;0,14;Muy buena / Oso ona;0,04;1;10;17;Muy buena / Oso ona;11;10;Muy buena / Oso ona;6;Muy buena / Oso ona;;;Muy buena / Oso ona
24/07/2017;0,05;0,13;0,14;Muy buena / Oso ona;0,04;2;8;14;Muy buena / Oso ona;10;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Muy buena / Oso ona
23/07/2017;0,05;0,14;0,17;Muy buena / Oso ona;0,04;2;8;14;Muy buena / Oso ona;11;14;Muy buena / Oso ona;8;Muy buena / Oso ona;0,2;;Muy buena / Oso ona
22/07/2017;0,17;0,17;0,19;Muy buena / Oso ona;0,04;4;14;28;Muy buena / Oso ona;19;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,99;;Muy buena / Oso ona
21/07/2017;0,12;0,14;0,16;Muy buena / Oso ona;0,04;4;18;31;Muy buena / Oso ona;25;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,66;;Muy buena / Oso ona
20/07/2017;0,05;0,13;0,17;Muy buena / Oso ona;0,04;3;14;23;Muy buena / Oso ona;19;7;Muy buena / Oso ona;2;Muy buena / Oso ona;;;Muy buena / Oso ona
19/07/2017;0,1;0,2;0,23;Muy buena / Oso ona;0,04;4;16;39;Muy buena / Oso ona;23;22;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,77;;Muy buena / Oso ona
18/07/2017;0,12;0,19;0,2;Muy buena / Oso ona;0,04;2;19;49;Muy buena / Oso ona;22;31;Buena / Ona;15;Muy buena / Oso ona;0,89;0,84;Buena / Ona
17/07/2017;0,12;0,2;0,25;Muy buena / Oso ona;0,04;3;18;54;Buena / Ona;23;25;Muy buena / Oso ona;10;Muy buena / Oso ona;1,04;;Buena / Ona
16/07/2017;0,06;0,2;0,25;Muy buena / Oso ona;0,04;1;10;16;Muy buena / Oso ona;12;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,49;;Muy buena / Oso ona
15/07/2017;0,05;0,15;0,18;Muy buena / Oso ona;0,04;2;8;13;Muy buena / Oso ona;11;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Muy buena / Oso ona
14/07/2017;0,05;0,13;0,15;Muy buena / Oso ona;0,04;3;12;24;Muy buena / Oso ona;18;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;;Muy buena / Oso ona
13/07/2017;0,07;0,15;0,18;Muy buena / Oso ona;0,04;3;12;19;Muy buena / Oso ona;16;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,51;;Muy buena / Oso ona
12/07/2017;0,2;0,19;0,23;Muy buena / Oso ona;0,04;6;16;35;Muy buena / Oso ona;26;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;1,34;0,62;Muy buena / Oso ona
11/07/2017;0,14;0,15;;Sin datos / Daturik gabe;0,04;4;17;25;Muy buena / Oso ona;23;10;Muy buena / Oso ona;2;Muy buena / Oso ona;0,79;0,44;Muy buena / Oso ona
10/07/2017;;0,15;0,19;Muy buena / Oso ona;0,04;4;17;30;Muy buena / Oso ona;23;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,59;;Muy buena / Oso ona
09/07/2017;;0,16;0,22;Muy buena / Oso ona;0,04;1;9;17;Muy buena / Oso ona;10;18;Muy buena / Oso ona;;;0,33;;Muy buena / Oso ona
08/07/2017;;0,16;0,21;Muy buena / Oso ona;0,04;2;11;19;Muy buena / Oso ona;13;14;Muy buena / Oso ona;;;0,36;;Muy buena / Oso ona
07/07/2017;0,14;0,18;0,21;Muy buena / Oso ona;0,04;5;21;56;Buena / Ona;30;23;Muy buena / Oso ona;;;1,57;2,61;Buena / Ona
06/07/2017;0,11;0,15;0,23;Muy buena / Oso ona;0,04;3;17;46;Muy buena / Oso ona;22;20;Muy buena / Oso ona;;Sin datos / Daturik gabe;1,09;;Muy buena / Oso ona
05/07/2017;0,06;0,17;0,23;Muy buena / Oso ona;0,04;2;13;23;Muy buena / Oso ona;16;20;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,58;;Muy buena / Oso ona
04/07/2017;0,24;0,18;0,24;Muy buena / Oso ona;0,04;5;18;37;Muy buena / Oso ona;26;19;Muy buena / Oso ona;8;Muy buena / Oso ona;2,33;5,04;Muy buena / Oso ona
03/07/2017;0,2;0,18;0,21;Muy buena / Oso ona;0,04;9;16;33;Muy buena / Oso ona;30;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1,18;;Muy buena / Oso ona
02/07/2017;;0,15;0,19;Muy buena / Oso ona;0,04;2;9;18;Muy buena / Oso ona;11;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;Muy buena / Oso ona
01/07/2017;;0,12;;Sin datos / Daturik gabe;0,04;1;8;21;Muy buena / Oso ona;10;11;Muy buena / Oso ona;4;Muy buena / Oso ona;;;Muy buena / Oso ona
30/06/2017;0,05;;;Sin datos / Daturik gabe;0,04;1;10;16;Muy buena / Oso ona;12;9;Muy buena / Oso ona;2;Muy buena / Oso ona;0,39;0,28;Muy buena / Oso ona
29/06/2017;0,07;0,12;;Sin datos / Daturik gabe;0,04;2;14;27;Muy buena / Oso ona;18;9;Muy buena / Oso ona;3;Muy buena / Oso ona;0,5;0,3;Muy buena / Oso ona
28/06/2017;0,04;0,12;0,15;Muy buena / Oso ona;0,04;1;9;19;Muy buena / Oso ona;11;10;Muy buena / Oso ona;3;Muy buena / Oso ona;0,24;0,08;Muy buena / Oso ona
27/06/2017;0,14;0,14;0,18;Muy buena / Oso ona;0,04;4;18;28;Muy buena / Oso ona;24;13;Muy buena / Oso ona;7;Muy buena / Oso ona;0,72;0,24;Muy buena / Oso ona
26/06/2017;0,12;0,16;0,22;Muy buena / Oso ona;0,04;3;16;41;Muy buena / Oso ona;21;16;Muy buena / Oso ona;6;Muy buena / Oso ona;0,79;0,86;Muy buena / Oso ona
25/06/2017;0,09;0,16;0,22;Muy buena / Oso ona;0,04;2;11;28;Muy buena / Oso ona;14;16;Muy buena / Oso ona;8;Muy buena / Oso ona;0,43;0,1;Muy buena / Oso ona
24/06/2017;0,06;0,14;0,17;Muy buena / Oso ona;0,04;2;10;13;Muy buena / Oso ona;12;14;Muy buena / Oso ona;7;Muy buena / Oso ona;0,33;0,01;Muy buena / Oso ona
23/06/2017;0,12;0,19;0,22;Muy buena / Oso ona;0,04;4;15;26;Muy buena / Oso ona;20;18;Muy buena / Oso ona;10;Muy buena / Oso ona;1,03;0,31;Muy buena / Oso ona
22/06/2017;0,36;0,28;0,36;Muy buena / Oso ona;0,04;7;28;71;Buena / Ona;38;34;Buena / Ona;18;Buena / Ona;2,69;3,76;Buena / Ona
21/06/2017;0,38;0,3;0,34;Muy buena / Oso ona;0,04;6;30;58;Buena / Ona;38;32;Buena / Ona;17;Buena / Ona;2,15;1,15;Buena / Ona
20/06/2017;0,21;0,26;0,3;Muy buena / Oso ona;0,04;4;25;53;Buena / Ona;31;26;Buena / Ona;10;Muy buena / Oso ona;1,97;2,32;Buena / Ona
19/06/2017;0,15;0,22;0,3;Muy buena / Oso ona;0,04;3;23;68;Buena / Ona;27;26;Buena / Ona;9;Muy buena / Oso ona;1,32;3,21;Buena / Ona
18/06/2017;0,15;0,22;0,29;Muy buena / Oso ona;0,04;2;17;33;Muy buena / Oso ona;20;19;Muy buena / Oso ona;6;Muy buena / Oso ona;1,25;0,82;Muy buena / Oso ona
17/06/2017;0,11;0,16;0,19;Muy buena / Oso ona;0,04;3;16;34;Muy buena / Oso ona;20;16;Muy buena / Oso ona;6;Muy buena / Oso ona;0,96;0,62;Muy buena / Oso ona
16/06/2017;0,04;0,18;0,22;Muy buena / Oso ona;0,04;3;14;27;Muy buena / Oso ona;18;12;Muy buena / Oso ona;6;Muy buena / Oso ona;0,6;0,08;Muy buena / Oso ona
15/06/2017;0,09;0,19;0,27;Muy buena / Oso ona;0,04;4;16;30;Muy buena / Oso ona;21;11;Muy buena / Oso ona;4;Muy buena / Oso ona;0,6;0,08;Muy buena / Oso ona
14/06/2017;0,13;0,25;0,32;Muy buena / Oso ona;0,04;3;18;31;Muy buena / Oso ona;23;27;Buena / Ona;10;Muy buena / Oso ona;1,06;0,38;Buena / Ona
13/06/2017;0,08;0,18;0,23;Muy buena / Oso ona;0,04;3;16;25;Muy buena / Oso ona;21;22;Muy buena / Oso ona;8;Muy buena / Oso ona;1,03;1,39;Muy buena / Oso ona
12/06/2017;0,06;0,15;0,18;Muy buena / Oso ona;0,04;4;11;19;Muy buena / Oso ona;17;11;Muy buena / Oso ona;5;Muy buena / Oso ona;0,56;0,26;Muy buena / Oso ona
11/06/2017;0,05;0,17;0,22;Muy buena / Oso ona;0,04;1;9;15;Muy buena / Oso ona;11;20;Muy buena / Oso ona;7;Muy buena / Oso ona;0,43;0,11;Muy buena / Oso ona
10/06/2017;0,06;0,2;0,23;Muy buena / Oso ona;0,04;2;11;18;Muy buena / Oso ona;13;21;Muy buena / Oso ona;9;Muy buena / Oso ona;0,68;0,58;Muy buena / Oso ona
09/06/2017;0,12;0,18;0,2;Muy buena / Oso ona;0,04;4;18;47;Muy buena / Oso ona;23;22;Muy buena / Oso ona;9;Muy buena / Oso ona;0,88;0,48;Muy buena / Oso ona
08/06/2017;0,25;0,22;0,29;Muy buena / Oso ona;0,04;8;25;54;Buena / Ona;36;30;Buena / Ona;9;Muy buena / Oso ona;2,16;2,72;Buena / Ona
07/06/2017;0,18;0,16;0,18;Muy buena / Oso ona;0,04;5;21;37;Muy buena / Oso ona;29;32;Buena / Ona;5;Muy buena / Oso ona;1,37;1,01;Buena / Ona
