Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
05/08/2017;0,27;0,09;1;9;16;Muy buena / Oso ona;11;55;64;Buena / Ona;9;Muy buena / Oso ona;4;2;Muy buena / Oso ona;0,44;332;100;1018,1;60;19;1;Buena / Ona
04/08/2017;0,54;0,61;2;11;20;Muy buena / Oso ona;14;56;65;Buena / Ona;17;Muy buena / Oso ona;5;3;Muy buena / Oso ona;1,33;317;79;1014;275,3;24,8;0,6;Buena / Ona
03/08/2017;0,71;2,17;3;13;46;Muy buena / Oso ona;17;52;75;Buena / Ona;21;Muy buena / Oso ona;5;5;Muy buena / Oso ona;1,92;296;92;1015,1;258,6;21,7;0,4;Buena / Ona
02/08/2017;0,36;0,36;3;12;24;Muy buena / Oso ona;16;49;79;Buena / Ona;21;Muy buena / Oso ona;4;6;Muy buena / Oso ona;1,01;330;92;1014,8;227;20,8;0,7;Buena / Ona
01/08/2017;0,37;0,24;2;13;23;Muy buena / Oso ona;16;37;56;Muy buena / Oso ona;15;Muy buena / Oso ona;4;3;Muy buena / Oso ona;0,76;324;94;1013,2;118,4;19,8;0,5;Muy buena / Oso ona
31/07/2017;0,42;0,32;2;12;32;Muy buena / Oso ona;15;37;57;Muy buena / Oso ona;13;Muy buena / Oso ona;4;2;Muy buena / Oso ona;0,94;293;99;1010,1;75,3;18,6;0,2;Muy buena / Oso ona
30/07/2017;0,36;0,25;1;9;15;Muy buena / Oso ona;11;40;54;Muy buena / Oso ona;16;Muy buena / Oso ona;4;3;Muy buena / Oso ona;0,78;299;95;1011,7;55,6;19,9;0,4;Muy buena / Oso ona
29/07/2017;0,48;0,65;2;15;37;Muy buena / Oso ona;19;55;86;Buena / Ona;24;Muy buena / Oso ona;4;9;Muy buena / Oso ona;1,31;240;72;1011,3;294,6;23,3;0,6;Buena / Ona
28/07/2017;0,57;0,61;2;14;46;Muy buena / Oso ona;18;44;60;Muy buena / Oso ona;14;Muy buena / Oso ona;6;5;Muy buena / Oso ona;1,18;;92;1013,6;130,3;19,8;;Muy buena / Oso ona
27/07/2017;0,44;1,23;5;13;50;Muy buena / Oso ona;20;48;75;Buena / Ona;28;Buena / Ona;5;8;Muy buena / Oso ona;1,42;308;92;1012,7;282,4;20,6;0,7;Buena / Ona
26/07/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;20;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;295;88;1014,2;281,6;19,1;0,5;Muy buena / Oso ona
25/07/2017;0,26;0,01;1;7;13;Muy buena / Oso ona;8;60;69;Buena / Ona;12;Muy buena / Oso ona;5;7;Muy buena / Oso ona;0,17;307;87;1018,1;142,7;18,7;0,9;Buena / Ona
24/07/2017;0,24;0;1;7;11;Muy buena / Oso ona;9;47;54;Muy buena / Oso ona;8;Muy buena / Oso ona;5;7;Muy buena / Oso ona;0,11;324;97;1019,2;112,3;18,9;2;Muy buena / Oso ona
23/07/2017;0,3;0,05;1;6;14;Muy buena / Oso ona;8;57;74;Buena / Ona;21;Muy buena / Oso ona;5;7;Muy buena / Oso ona;0,29;313;82;1017,7;256,9;20,4;0,6;Buena / Ona
22/07/2017;0,55;0,17;2;10;19;Muy buena / Oso ona;13;45;63;Buena / Ona;15;Muy buena / Oso ona;6;9;Muy buena / Oso ona;0,5;262;87;1013,5;168,7;18,9;0,6;Buena / Ona
21/07/2017;0,3;0,08;2;10;18;Muy buena / Oso ona;13;43;54;Muy buena / Oso ona;12;Muy buena / Oso ona;5;7;Muy buena / Oso ona;0,28;279;93;1010,9;144,7;17,9;0,4;Muy buena / Oso ona
20/07/2017;0,25;0,02;2;10;18;Muy buena / Oso ona;12;55;66;Buena / Ona;12;Muy buena / Oso ona;5;8;Muy buena / Oso ona;0,21;313;89;1014,2;105,5;18,4;0,8;Buena / Ona
19/07/2017;0,45;0,09;2;12;33;Muy buena / Oso ona;14;81;107;Mejorable / Hobetzeko modukoa;32;Buena / Ona;5;9;Muy buena / Oso ona;0,39;321;84;1009,7;204,2;21,8;0,8;Mejorable / Hobetzeko modukoa
18/07/2017;;;2;13;26;Muy buena / Oso ona;15;82;93;Buena / Ona;33;Buena / Ona;6;8;Muy buena / Oso ona;;;;;;;;Buena / Ona
17/07/2017;0,76;0,48;4;22;57;Buena / Ona;28;72;108;Mejorable / Hobetzeko modukoa;30;Buena / Ona;6;13;Muy buena / Oso ona;1,22;314;89;1009,3;260,1;22,8;1,4;Mejorable / Hobetzeko modukoa
16/07/2017;0,49;0,5;2;11;23;Muy buena / Oso ona;14;68;99;Buena / Ona;19;Muy buena / Oso ona;5;9;Muy buena / Oso ona;0,48;315;89;1017;308,1;20,4;1,4;Buena / Ona
15/07/2017;0,76;0,14;2;10;20;Muy buena / Oso ona;13;59;71;Buena / Ona;12;Muy buena / Oso ona;4;8;Muy buena / Oso ona;0,44;357;84;1019,8;219,5;20,4;0,7;Buena / Ona
14/07/2017;0,3;0,06;2;11;27;Muy buena / Oso ona;14;50;71;Buena / Ona;8;Muy buena / Oso ona;4;7;Muy buena / Oso ona;0,32;353;85;1020,1;166,9;20,4;0,7;Buena / Ona
13/07/2017;0,31;0,08;2;11;31;Muy buena / Oso ona;14;39;54;Muy buena / Oso ona;10;Muy buena / Oso ona;4;6;Muy buena / Oso ona;0,27;328;94;1019,3;88,9;19,8;0,5;Muy buena / Oso ona
12/07/2017;0,72;0,96;2;11;33;Muy buena / Oso ona;15;36;48;Muy buena / Oso ona;12;Muy buena / Oso ona;4;7;Muy buena / Oso ona;0,78;312;92;1017,5;159,5;20;0,5;Muy buena / Oso ona
11/07/2017;0,63;0,42;3;12;31;Muy buena / Oso ona;17;42;65;Buena / Ona;13;Muy buena / Oso ona;4;8;Muy buena / Oso ona;0,76;323;93;1013,6;257,6;19,3;1,2;Buena / Ona
10/07/2017;0,36;0,04;2;9;16;Muy buena / Oso ona;11;45;58;Muy buena / Oso ona;12;Muy buena / Oso ona;4;6;Muy buena / Oso ona;0,25;329;95;1013,3;182,1;19,3;1,6;Muy buena / Oso ona
09/07/2017;0,53;0,06;1;8;14;Muy buena / Oso ona;11;61;73;Buena / Ona;20;Muy buena / Oso ona;4;6;Muy buena / Oso ona;0,38;333;91;1010,1;199,1;19,8;1,6;Buena / Ona
08/07/2017;0,45;0,01;1;8;14;Muy buena / Oso ona;10;69;81;Buena / Ona;20;Muy buena / Oso ona;4;5;Muy buena / Oso ona;0,23;333;94;1011,6;112,6;19,6;1,3;Buena / Ona
07/07/2017;0,63;0,15;2;12;24;Muy buena / Oso ona;15;49;60;Muy buena / Oso ona;19;Muy buena / Oso ona;4;7;Muy buena / Oso ona;0,54;325;94;1013,1;226,3;20,3;1,2;Muy buena / Oso ona
06/07/2017;1,71;0,79;3;17;46;Muy buena / Oso ona;22;53;72;Buena / Ona;27;Buena / Ona;4;6;Muy buena / Oso ona;1,42;329;92;1011,8;190,3;20,1;1;Buena / Ona
05/07/2017;;;1;10;21;Muy buena / Oso ona;13;59;82;Buena / Ona;30;Buena / Ona;4;7;Muy buena / Oso ona;;327;83;1009,1;236,1;22;1,9;Buena / Ona
04/07/2017;2,01;1,78;9;24;42;Muy buena / Oso ona;37;50;89;Buena / Ona;25;Muy buena / Oso ona;5;10;Muy buena / Oso ona;2,88;343;83;1010,3;316,6;22,8;0,4;Buena / Ona
03/07/2017;1,38;0,91;4;13;28;Muy buena / Oso ona;20;28;39;Muy buena / Oso ona;11;Muy buena / Oso ona;4;9;Muy buena / Oso ona;1,57;239;87;1020,3;324,5;19,5;0,1;Muy buena / Oso ona
02/07/2017;1,14;0,47;1;9;27;Muy buena / Oso ona;11;48;68;Buena / Ona;14;Muy buena / Oso ona;3;7;Muy buena / Oso ona;0,65;307;89;1024,4;277,7;17,5;0,8;Buena / Ona
01/07/2017;0,98;0,25;1;6;9;Muy buena / Oso ona;7;59;71;Buena / Ona;18;Muy buena / Oso ona;3;6;Muy buena / Oso ona;0,35;312;87;1022,6;100,8;15,9;1,6;Buena / Ona
30/06/2017;1,17;0,29;1;5;6;Muy buena / Oso ona;6;70;75;Buena / Ona;13;Muy buena / Oso ona;3;6;Muy buena / Oso ona;0,44;257;82;1014,3;128,3;16,1;1,4;Buena / Ona
29/06/2017;1,12;0,27;1;6;8;Muy buena / Oso ona;8;70;75;Buena / Ona;16;Muy buena / Oso ona;4;7;Muy buena / Oso ona;0,44;289;60;1007,5;225,3;18,2;1,9;Buena / Ona
28/06/2017;1,08;0,6;2;7;13;Muy buena / Oso ona;10;59;73;Buena / Ona;15;Muy buena / Oso ona;4;6;Muy buena / Oso ona;0,9;280;78;1003,2;263,1;19,6;1,5;Buena / Ona
27/06/2017;0,78;0,54;3;16;42;Muy buena / Oso ona;21;38;58;Muy buena / Oso ona;17;Muy buena / Oso ona;4;8;Muy buena / Oso ona;1,03;314;93;1005,9;106;19,5;0,7;Muy buena / Oso ona
26/06/2017;1,13;0,6;2;13;21;Muy buena / Oso ona;17;39;58;Muy buena / Oso ona;15;Muy buena / Oso ona;4;7;Muy buena / Oso ona;1,25;312;92;1007,1;184,4;20,9;0,6;Muy buena / Oso ona
25/06/2017;0,94;0,6;2;12;22;Muy buena / Oso ona;14;43;58;Muy buena / Oso ona;16;Muy buena / Oso ona;3;7;Muy buena / Oso ona;1,12;302;90;1013,5;111,1;20,3;0,1;Muy buena / Oso ona
24/06/2017;1,07;0,51;1;10;22;Muy buena / Oso ona;12;51;64;Buena / Ona;20;Muy buena / Oso ona;3;7;Muy buena / Oso ona;0,91;321;93;1018,7;118;19,9;0,5;Buena / Ona
23/06/2017;0,69;0,18;1;13;24;Muy buena / Oso ona;15;58;66;Buena / Ona;29;Buena / Ona;2;6;Muy buena / Oso ona;0,56;328;89;1019,9;90,3;20,5;0,6;Buena / Ona
22/06/2017;0,64;0,31;1;13;25;Muy buena / Oso ona;15;70;119;Mejorable / Hobetzeko modukoa;33;Buena / Ona;3;7;Muy buena / Oso ona;0,78;326;96;1015,5;72,6;20,1;1,8;Mejorable / Hobetzeko modukoa
21/06/2017;1;0,89;2;19;32;Muy buena / Oso ona;21;113;153;Mala / Txarra;38;Buena / Ona;4;9;Muy buena / Oso ona;1,91;292;72;1010,4;312;26,4;0,5;Mala / Txarra
20/06/2017;1,04;0,6;3;24;55;Buena / Ona;30;98;131;Mejorable / Hobetzeko modukoa;32;Buena / Ona;3;11;Muy buena / Oso ona;1,67;323;66;1011,6;284,8;25,7;0,6;Mejorable / Hobetzeko modukoa
19/06/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;34;Buena / Ona;;;Sin datos / Daturik gabe;;206;72;1008,2;278,6;25,3;2,3;Buena / Ona
18/06/2017;0,66;0,36;2;14;40;Muy buena / Oso ona;17;83;111;Mejorable / Hobetzeko modukoa;28;Buena / Ona;3;7;Muy buena / Oso ona;0,55;297;84;1008,3;289,6;22;2;Mejorable / Hobetzeko modukoa
17/06/2017;0,59;1,34;2;11;28;Muy buena / Oso ona;14;60;92;Buena / Ona;26;Buena / Ona;2;8;Muy buena / Oso ona;0,67;317;88;1014,9;287,2;20;1,6;Buena / Ona
16/06/2017;0,82;0,61;3;18;47;Muy buena / Oso ona;22;49;61;Buena / Ona;26;Buena / Ona;2;10;Muy buena / Oso ona;1,15;82;91;1018,7;83,3;19,1;0,2;Buena / Ona
15/06/2017;0,61;0,27;1;12;19;Muy buena / Oso ona;14;63;72;Buena / Ona;18;Muy buena / Oso ona;2;5;Muy buena / Oso ona;0,33;359;96;1015,9;23,6;18;0,9;Buena / Ona
14/06/2017;0,75;0,52;2;16;36;Muy buena / Oso ona;20;54;72;Buena / Ona;32;Buena / Ona;2;7;Muy buena / Oso ona;0,74;355;95;1009,5;136,3;19,7;0,8;Buena / Ona
13/06/2017;0,98;1,17;5;20;44;Muy buena / Oso ona;28;44;66;Buena / Ona;28;Buena / Ona;3;7;Muy buena / Oso ona;1,42;4;90;1008,9;188;19,5;0,9;Buena / Ona
12/06/2017;0,74;0,24;3;18;47;Muy buena / Oso ona;23;43;57;Muy buena / Oso ona;20;Muy buena / Oso ona;2;6;Muy buena / Oso ona;0,55;38;92;1013,8;32,2;18,6;0,3;Muy buena / Oso ona
11/06/2017;0,55;0,37;1;9;19;Muy buena / Oso ona;12;57;73;Buena / Ona;30;Buena / Ona;2;6;Muy buena / Oso ona;0,72;4;95;1013,8;156,2;19,2;1,8;Buena / Ona
10/06/2017;0,83;0,94;2;10;25;Muy buena / Oso ona;14;47;66;Buena / Ona;23;Muy buena / Oso ona;2;5;Muy buena / Oso ona;1,1;328;92;1012,2;208,2;19,2;0,5;Buena / Ona
09/06/2017;0,72;1,32;3;11;29;Muy buena / Oso ona;15;42;64;Buena / Ona;18;Muy buena / Oso ona;2;6;Muy buena / Oso ona;0,85;295;88;1011,6;216,5;18;0,5;Buena / Ona
08/06/2017;1,19;1,57;2;15;32;Muy buena / Oso ona;18;65;81;Buena / Ona;31;Buena / Ona;3;6;Muy buena / Oso ona;2,26;230;79;1009;256,5;20,3;0,5;Buena / Ona
07/06/2017;0,99;1,14;3;15;25;Muy buena / Oso ona;19;55;79;Buena / Ona;30;Buena / Ona;1;7;Muy buena / Oso ona;1,08;331;81;1016,4;329,3;17,7;0,5;Buena / Ona
06/06/2017;0,62;0,23;1;8;11;Muy buena / Oso ona;10;68;72;Buena / Ona;22;Muy buena / Oso ona;1;3;Muy buena / Oso ona;0,39;344;85;1015,3;168,9;16,2;1,8;Buena / Ona
05/06/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;242;82;1011;304,8;17;0,8;Muy buena / Oso ona
04/06/2017;1,04;0,41;1;9;23;Muy buena / Oso ona;11;51;68;Buena / Ona;12;Muy buena / Oso ona;1;2;Muy buena / Oso ona;1,13;293;96;1015,4;13,1;13,9;0,5;Buena / Ona
03/06/2017;0,74;0,28;1;9;30;Muy buena / Oso ona;11;53;64;Buena / Ona;15;Muy buena / Oso ona;1;2;Muy buena / Oso ona;0,64;307;94;1014,6;23,2;15,6;0,9;Buena / Ona
02/06/2017;0,6;0,14;1;12;27;Muy buena / Oso ona;14;64;81;Buena / Ona;20;Muy buena / Oso ona;1;2;Muy buena / Oso ona;0,53;321;97;1012,7;39,8;17,2;1,5;Buena / Ona
01/06/2017;0,95;0,74;7;16;54;Buena / Ona;27;53;80;Buena / Ona;23;Muy buena / Oso ona;2;6;Muy buena / Oso ona;1,35;321;92;1012,3;266,1;19,2;1,2;Buena / Ona
31/05/2017;1,18;0,67;3;14;35;Muy buena / Oso ona;19;45;56;Muy buena / Oso ona;17;Muy buena / Oso ona;1;3;Muy buena / Oso ona;2,05;318;89;1013,8;248,1;18,9;0,6;Muy buena / Oso ona
