Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,87;0,37;1;13;32;Muy buena / Oso ona;15;62;79;Buena / Ona;18;Muy buena / Oso ona;1;3;Muy buena / Oso ona;0,86;313;90;1026,7;46,7;16,5;0,2;Buena / Ona
27/10/2017;0,66;0,49;4;16;54;Buena / Ona;22;50;72;Buena / Ona;26;Buena / Ona;1;4;Muy buena / Oso ona;0,96;238;94;1028,3;71,9;16,6;0,8;Buena / Ona
26/10/2017;2,95;1,19;4;19;37;Muy buena / Oso ona;25;55;73;Buena / Ona;34;Buena / Ona;1;5;Muy buena / Oso ona;2,91;160;71;1022,1;132,7;19,8;0,5;Buena / Ona
25/10/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;36;Buena / Ona;;;Sin datos / Daturik gabe;;265;83;1018;134,4;16,7;0,8;Buena / Ona
24/10/2017;2,17;2,21;16;38;67;Buena / Ona;62;26;41;Muy buena / Oso ona;29;Buena / Ona;3;11;Muy buena / Oso ona;3,58;221;74;1018,9;134,9;17,1;1,2;Buena / Ona
23/10/2017;0,96;0,53;4;17;34;Muy buena / Oso ona;24;45;62;Buena / Ona;14;Muy buena / Oso ona;5;6;Muy buena / Oso ona;1,53;235;82;1023;142,5;14,4;1,1;Buena / Ona
22/10/2017;0,43;0,07;1;7;10;Muy buena / Oso ona;8;65;72;Buena / Ona;14;Muy buena / Oso ona;4;5;Muy buena / Oso ona;0,49;291;87;1025,3;54,7;14,5;0,5;Buena / Ona
21/10/2017;0,39;0,09;1;6;7;Muy buena / Oso ona;7;72;76;Buena / Ona;22;Muy buena / Oso ona;4;5;Muy buena / Oso ona;0,27;343;75;1020,4;70,3;17,5;1,6;Buena / Ona
20/10/2017;1,04;0,72;3;15;29;Muy buena / Oso ona;20;52;62;Buena / Ona;15;Muy buena / Oso ona;5;6;Muy buena / Oso ona;1,49;212;65;1011,4;141,8;20,5;1,3;Buena / Ona
19/10/2017;1,09;0,68;4;14;47;Muy buena / Oso ona;20;51;60;Muy buena / Oso ona;10;Muy buena / Oso ona;6;7;Muy buena / Oso ona;1,37;162;72;1007,4;134,3;17,8;1,4;Muy buena / Oso ona
18/10/2017;0,98;1,03;2;16;29;Muy buena / Oso ona;19;48;57;Muy buena / Oso ona;20;Muy buena / Oso ona;5;5;Muy buena / Oso ona;1,27;214;90;1006,8;25,6;16;0,6;Muy buena / Oso ona
17/10/2017;2,99;3,19;2;19;34;Muy buena / Oso ona;22;56;74;Buena / Ona;42;Buena / Ona;6;9;Muy buena / Oso ona;4,5;160;77;1011,6;77,4;20,7;2,5;Buena / Ona
16/10/2017;1,36;0,96;2;13;31;Muy buena / Oso ona;16;69;76;Buena / Ona;40;Buena / Ona;5;5;Muy buena / Oso ona;1,88;171;77;1016,9;138;22;3,5;Buena / Ona
15/10/2017;1,89;1,73;2;10;12;Muy buena / Oso ona;12;70;79;Buena / Ona;36;Buena / Ona;5;5;Muy buena / Oso ona;3,21;165;55;1015,3;97,5;26;7,5;Buena / Ona
14/10/2017;3,35;2,2;2;19;46;Muy buena / Oso ona;22;60;78;Buena / Ona;55;Mejorable / Hobetzeko modukoa;4;7;Muy buena / Oso ona;4;149;83;1018;154,9;21,6;0,9;Mejorable / Hobetzeko modukoa
13/10/2017;1,52;0,59;7;32;70;Buena / Ona;42;36;62;Buena / Ona;57;Mejorable / Hobetzeko modukoa;4;8;Muy buena / Oso ona;1,46;336;91;1020;144,3;18,7;0,8;Mejorable / Hobetzeko modukoa
12/10/2017;2;1,06;4;18;38;Muy buena / Oso ona;24;43;66;Buena / Ona;32;Buena / Ona;4;10;Muy buena / Oso ona;1,93;259;94;1020,5;157,1;16,9;0,9;Buena / Ona
11/10/2017;0,9;0,7;2;16;31;Muy buena / Oso ona;20;57;77;Buena / Ona;29;Buena / Ona;4;5;Muy buena / Oso ona;2,82;315;77;1016,9;148,7;18,6;0,7;Buena / Ona
10/10/2017;0,74;0,64;3;16;34;Muy buena / Oso ona;21;38;63;Buena / Ona;19;Muy buena / Oso ona;4;7;Muy buena / Oso ona;1,28;246;94;1016,8;154,3;15,6;1,6;Buena / Ona
09/10/2017;1,12;0,95;3;15;29;Muy buena / Oso ona;19;45;66;Buena / Ona;17;Muy buena / Oso ona;4;6;Muy buena / Oso ona;1,39;245;87;1018,5;171;14,9;1,5;Buena / Ona
08/10/2017;1,39;0,66;2;13;24;Muy buena / Oso ona;16;48;81;Buena / Ona;18;Muy buena / Oso ona;4;6;Muy buena / Oso ona;1,73;235;87;1019,3;176,4;14,5;1,6;Buena / Ona
07/10/2017;1,19;0,95;2;13;39;Muy buena / Oso ona;17;43;73;Buena / Ona;18;Muy buena / Oso ona;3;6;Muy buena / Oso ona;1,39;211;86;1020,9;178,3;14,9;0,8;Buena / Ona
06/10/2017;0,43;0,13;1;11;20;Muy buena / Oso ona;13;59;72;Buena / Ona;15;Muy buena / Oso ona;2;3;Muy buena / Oso ona;0,4;332;93;1022,7;46,3;16,9;0,4;Buena / Ona
05/10/2017;0,52;0,16;2;17;36;Muy buena / Oso ona;21;50;70;Buena / Ona;21;Muy buena / Oso ona;3;5;Muy buena / Oso ona;0,93;349;97;1020,8;52,3;19,3;0,4;Buena / Ona
04/10/2017;4;2,29;12;18;33;Muy buena / Oso ona;37;27;45;Muy buena / Oso ona;25;Muy buena / Oso ona;4;26;Muy buena / Oso ona;4,33;49;96;1019,2;163,3;19,9;0,2;Muy buena / Oso ona
03/10/2017;1,18;0,62;4;18;35;Muy buena / Oso ona;25;17;35;Muy buena / Oso ona;16;Muy buena / Oso ona;3;5;Muy buena / Oso ona;1,36;10;100;1019,9;74,8;19,6;0,2;Muy buena / Oso ona
02/10/2017;0,77;0,54;2;21;35;Muy buena / Oso ona;24;32;46;Muy buena / Oso ona;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;1,25;357;99;1021;43;19,8;0,3;Muy buena / Oso ona
01/10/2017;0,66;0,33;1;9;15;Muy buena / Oso ona;10;43;48;Muy buena / Oso ona;16;Muy buena / Oso ona;2;4;Muy buena / Oso ona;0,69;315;93;1019,7;38,2;19;0,4;Muy buena / Oso ona
30/09/2017;0,5;0,17;1;11;41;Muy buena / Oso ona;13;58;73;Buena / Ona;12;Muy buena / Oso ona;2;5;Muy buena / Oso ona;0,61;338;100;1018,9;47;17;0,2;Buena / Ona
29/09/2017;0,92;0,77;5;19;70;Buena / Ona;27;46;77;Buena / Ona;31;Buena / Ona;3;9;Muy buena / Oso ona;1,64;315;94;1017,7;172,7;19;0,7;Buena / Ona
28/09/2017;1,7;1,31;3;21;53;Buena / Ona;26;59;79;Buena / Ona;29;Buena / Ona;3;7;Muy buena / Oso ona;2,46;252;82;1016,4;180,2;20,4;1,1;Buena / Ona
27/09/2017;1,43;1,17;2;19;31;Muy buena / Oso ona;22;46;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;258;80;1015,2;194,3;19,4;0,8;Muy buena / Oso ona
26/09/2017;0,81;0,81;3;15;47;Muy buena / Oso ona;20;39;59;Muy buena / Oso ona;19;Muy buena / Oso ona;2;7;Muy buena / Oso ona;1,69;254;91;1017,7;166,9;17,8;0,6;Muy buena / Oso ona
25/09/2017;0,55;0,1;2;10;17;Muy buena / Oso ona;12;55;75;Buena / Ona;17;Muy buena / Oso ona;;4;Muy buena / Oso ona;0,51;314;94;1018,7;80,8;17,8;0,6;Buena / Ona
24/09/2017;0,89;0,28;2;13;29;Muy buena / Oso ona;16;64;88;Buena / Ona;27;Buena / Ona;;8;Muy buena / Oso ona;0,8;320;92;1015;181;18,9;1;Buena / Ona
23/09/2017;2,63;2,15;2;16;35;Muy buena / Oso ona;18;60;89;Buena / Ona;26;Buena / Ona;;7;Muy buena / Oso ona;3,58;190;83;1014,2;201,1;20,5;2,3;Buena / Ona
22/09/2017;0,71;0,27;1;12;27;Muy buena / Oso ona;15;55;71;Buena / Ona;18;Muy buena / Oso ona;;5;Muy buena / Oso ona;0,79;312;96;1018,2;48,1;17,3;0,1;Buena / Ona
21/09/2017;0,87;0,65;2;15;37;Muy buena / Oso ona;18;51;85;Buena / Ona;22;Muy buena / Oso ona;6;6;Muy buena / Oso ona;1,67;286;93;1014,7;162,7;17,7;1,3;Buena / Ona
20/09/2017;4,56;2,74;10;26;53;Buena / Ona;41;37;68;Buena / Ona;23;Muy buena / Oso ona;6;13;Muy buena / Oso ona;5,3;282;82;1015,9;206,2;16,1;0,6;Buena / Ona
19/09/2017;0,82;0,8;2;10;20;Muy buena / Oso ona;13;51;80;Buena / Ona;10;Muy buena / Oso ona;5;4;Muy buena / Oso ona;1,34;289;88;1021,3;204,8;16,1;0,5;Buena / Ona
18/09/2017;0,87;0,39;2;16;39;Muy buena / Oso ona;19;42;69;Buena / Ona;10;Muy buena / Oso ona;5;4;Muy buena / Oso ona;1,15;264;99;1016,5;50,7;15,5;0,1;Buena / Ona
17/09/2017;0,6;0,51;1;6;10;Muy buena / Oso ona;8;61;75;Buena / Ona;11;Muy buena / Oso ona;5;4;Muy buena / Oso ona;0,83;332;77;1014,4;146,9;16,2;0,8;Buena / Ona
16/09/2017;0,94;0,61;1;6;12;Muy buena / Oso ona;8;64;71;Buena / Ona;7;Muy buena / Oso ona;5;5;Muy buena / Oso ona;1,36;262;85;1013,6;120;14,2;0,6;Buena / Ona
15/09/2017;0,55;0,26;1;7;18;Muy buena / Oso ona;9;51;63;Buena / Ona;11;Muy buena / Oso ona;5;4;Muy buena / Oso ona;0,94;276;91;1014,9;110,8;14,1;0,9;Buena / Ona
14/09/2017;0,39;0,1;1;7;11;Muy buena / Oso ona;9;59;74;Buena / Ona;22;Muy buena / Oso ona;5;3;Muy buena / Oso ona;0,47;347;83;1018,5;136,4;17,3;1,5;Buena / Ona
13/09/2017;0,66;0,88;2;11;23;Muy buena / Oso ona;14;38;54;Muy buena / Oso ona;19;Muy buena / Oso ona;5;4;Muy buena / Oso ona;1,62;311;89;1017;182,6;19,7;0,9;Muy buena / Oso ona
12/09/2017;0,66;0,53;1;8;18;Muy buena / Oso ona;10;56;71;Buena / Ona;14;Muy buena / Oso ona;5;3;Muy buena / Oso ona;0,93;260;90;1015,6;159,8;17,8;0,5;Buena / Ona
11/09/2017;0,42;0,01;1;6;9;Muy buena / Oso ona;7;61;69;Buena / Ona;19;Muy buena / Oso ona;5;3;Muy buena / Oso ona;0,26;341;91;1011,3;105;18,4;1,2;Buena / Ona
