Date;Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);D.vien (grados);V.vien (m/s);ICA Estación
12/08/2017;0,96;0,97;1,84;22;0,42;
11/08/2017;0,89;1,07;1,24;327;0,84;
10/08/2017;0,87;2,68;1,72;285;1,56;
09/08/2017;0,85;3,17;1,91;285;1,69;
08/08/2017;0,66;1,78;1,44;277;1,14;
07/08/2017;0,82;1,12;1,44;283;1,08;
06/08/2017;0,57;0,64;0,54;357;1,08;
05/08/2017;1,54;3,64;2,26;331;1,07;
04/08/2017;1,07;2,67;1,92;330;0,71;
03/08/2017;1,46;4,68;3,68;329;0,94;
02/08/2017;0,99;3,51;2,76;328;0,78;
01/08/2017;0,79;1,63;2,38;4;0,31;
31/07/2017;0,81;0,83;0,97;6;0,1;
30/07/2017;1,19;2,2;1,78;348;0,23;
29/07/2017;1,32;2,44;2,85;6;0,56;
28/07/2017;0,79;1,58;1,61;11;0,23;
27/07/2017;1,46;3,31;3,59;334;0,99;
26/07/2017;1,03;2,66;1,84;317;0,38;
25/07/2017;0,66;0,58;0,52;302;1,01;
24/07/2017;0,85;1,55;1,26;295;1,63;
23/07/2017;0,61;0,52;0,49;313;0,89;
22/07/2017;0,77;1,1;1,73;321;0,79;
21/07/2017;0,63;0,63;0,75;334;0,4;
20/07/2017;0,84;0,82;0,85;323;0,7;
19/07/2017;0,69;0,83;1,02;331;0,36;
18/07/2017
17/07/2017;1,75;3,78;4,47;354;0,47;
16/07/2017;1,29;1,34;1,65;336;0,68;
15/07/2017;0,37;0,42;0,52;22;0,93;
14/07/2017;0,68;0,55;0,65;23;0,79;
13/07/2017;0,7;0,76;0,88;328;0,52;
12/07/2017;0,81;1,6;2,27;336;0,47;
11/07/2017;1,08;1,58;1,81;330;0,69;
10/07/2017;0,74;0,48;0,6;329;1,21;
09/07/2017;1,04;0,53;0,63;324;1,38;
08/07/2017;0,91;0,55;0,58;326;1,32;
07/07/2017;1,24;1,38;1,49;334;1,1;
06/07/2017;1,21;1,32;1,67;334;0,53;
05/07/2017;1,06;0,92;0,84;311;0,97;
04/07/2017;1,57;3,13;3,68;77;0,17;
03/07/2017;0,52;1,06;2,62;59;0,45;
02/07/2017;0,56;0,51;0,66;325;0,73;
01/07/2017;0,59;0,68;0,93;287;1,98;
30/06/2017;0,33;0,27;0,38;265;2,37;
29/06/2017;0,41;0,53;1,32;276;2,35;
28/06/2017;0,66;0,78;1,12;279;1,83;
27/06/2017;1,16;1,53;2,94;301;0,38;
26/06/2017;0,92;1,1;1,57;313;0,64;
25/06/2017;0,5;0,81;1,55;94;0,31;
24/06/2017;1,07;0,72;1,01;338;0,45;
23/06/2017;0,93;0,91;1,01;334;0,62;
22/06/2017;1,29;1,38;1,59;332;1,06;
21/06/2017;4,98;4,53;4,5;341;0,42;
20/06/2017;2,34;2,84;3,06;330;0,34;
19/06/2017;1,22;3,15;2,21;179;1,63;
18/06/2017;2,5;2,58;3,01;341;0,63;
17/06/2017;1,38;1,82;2,23;343;0,48;
16/06/2017;0,48;0,74;1;43;0,31;
15/06/2017;1,12;0,78;0,85;326;0,89;
14/06/2017;1,15;1,24;1,6;334;1,04;
13/06/2017;0,96;1,43;1,97;343;0,57;
12/06/2017;0,33;0,44;0,57;27;0,32;
11/06/2017;0,8;0,51;0,6;335;1,31;
10/06/2017;0,89;1,4;1,82;344;0,71;
09/06/2017;0,93;1,31;2,62;9;0,55;
08/06/2017;1,64;1,7;2,87;319;0,54;
07/06/2017;0,94;1,17;1,72;356;0,44;
06/06/2017;1,52;1,13;1,23;300;1,74;
05/06/2017;1,21;1,03;1,29;313;0,53;
04/06/2017;0,93;2;2,05;322;0,41;
03/06/2017;0,86;1,89;2,08;269;0,38;
02/06/2017;0,96;0,94;1,11;327;0,89;
01/06/2017;1,08;1,82;2,9;344;0,78;
31/05/2017;0,82;0,98;1,44;340;0,54;
30/05/2017;0,44;0,45;0,69;25;0,47;
29/05/2017;1,09;1,49;1,5;341;0,48;
28/05/2017;1,51;3,12;2,86;349;0,42;
27/05/2017;2,32;5,28;4,7;354;0,33;
26/05/2017;1,64;3,87;4,21;322;0,62;
25/05/2017;1,6;5,89;4,57;200;0,29;
24/05/2017;1,71;1,56;1,99;342;0,47;
23/05/2017;0,51;0,48;0,72;359;0,49;
22/05/2017;1,1;0,54;0,86;330;1,77;
21/05/2017;0,53;0,99;1,11;140;1,3;
20/05/2017;0,52;0,48;0,6;338;0,58;
19/05/2017;0,69;0,69;0,8;293;1,32;
18/05/2017;0,94;1,89;1,64;296;1,93;
17/05/2017;1,34;1,34;2,08;344;0,5;
16/05/2017;1,57;3,26;3,68;345;0,48;
15/05/2017;1,35;1,46;1,89;322;0,32;
14/05/2017;1,1;1,26;1,56;334;0,46;
13/05/2017;0,56;0,47;0,68;7;0,31;
12/05/2017;0,53;0,32;0,46;190;2,14;
11/05/2017;0,4;0,23;0,76;193;3,02;
10/05/2017;1,3;1,29;1,72;301;0,27;
09/05/2017;1,77;2,31;3,52;16;0,22;
08/05/2017;0,86;1,73;2,17;313;0,19;
07/05/2017;0,72;1,16;1,45;346;0,21;
06/05/2017;0,7;0,58;0,65;290;0,72;
05/05/2017;0,8;1,05;1,36;169;1,16;
04/05/2017;0,96;1,82;2,22;20;0,19;
03/05/2017;0,89;1,11;1,64;339;0,28;
02/05/2017;0,75;0,77;1,17;304;0,8;
01/05/2017;0,52;0,28;0,71;288;0,84;
30/04/2017;0,43;0,2;0,31;211;1,96;
29/04/2017;0,52;0,82;1,17;165;2,26;
28/04/2017;1,74;4,27;4,89;30;0,86;
27/04/2017;1,38;2,09;1,93;323;0,79;
26/04/2017;1,04;2,94;1,48;;;
25/04/2017;1,34;1,59;2,48;310;0,44;
24/04/2017;1,53;2,2;2,89;334;0,85;
23/04/2017;1,62;2,55;3,09;340;0,71;
22/04/2017;1,29;2,04;1,48;195;0,82;
21/04/2017;1,88;3,4;3,18;51;0,17;
20/04/2017;0,71;0,81;1,41;37;1,04;
19/04/2017;0,62;0,91;1,49;25;1,31;
18/04/2017;0,93;1,37;2,75;24;0,94;
17/04/2017;0,8;1,38;2,09;14;0,53;
16/04/2017;0,57;1,15;1,37;56;0,55;
15/04/2017;0,88;1,18;1,4;333;0,71;
14/04/2017;1,12;1,09;1,18;340;0,02;
13/04/2017;1,4;1,63;2,25;335;0,67;
12/04/2017;1,17;1,82;2,88;343;0,55;
11/04/2017;1,04;1,03;1,07;329;0,65;
10/04/2017;1,24;0,95;1;321;1,09;
09/04/2017;2,32;2,97;3,41;333;0,81;
08/04/2017;1,7;2,7;2,49;192;0,44;
07/04/2017;1,36;1,78;2,9;23;0,57;
06/04/2017;1,5;0,9;1;333;1,62;
05/04/2017;1,84;1,06;1,4;328;2,41;
04/04/2017;1,51;0,85;1,14;321;1,37;
03/04/2017;1,36;1,22;2,17;25;0,38;
02/04/2017;0,91;0,63;0,78;299;1,62;
01/04/2017;0,63;0,5;0,75;272;2,6;
31/03/2017;1,05;2,24;2,38;339;0,23;
30/03/2017;0,57;2,18;1,48;167;1,06;
29/03/2017;1,8;3,81;2,85;321;0,03;
28/03/2017;1,23;1,58;1,62;231;0,66;
27/03/2017;0,61;0,48;0,88;176;1,83;
26/03/2017;0,53;0,38;0,57;155;1,49;
25/03/2017;0,57;0,35;0,49;222;1,01;
24/03/2017;0,76;0,77;2,26;40;0,67;
23/03/2017;0,49;0,31;0,44;192;1,85;
22/03/2017;0,97;1,4;1,65;199;0,76;
21/03/2017;0,91;0,49;1,6;273;0,66;
20/03/2017;0,93;0,24;0,66;277;0,2;
19/03/2017;1,12;0,49;1,45;334;0,57;
18/03/2017;0,7;0,26;0,69;18;0,27;
17/03/2017;1,34;0,42;1,86;334;0,77;
16/03/2017;1,02;0,62;1,85;136;0,71;
15/03/2017;0,85;0,58;1,77;47;0,3;
14/03/2017;0,92;0,31;0,72;340;1,33;
13/03/2017;1,9;0,82;1,7;325;3,87;
12/03/2017;0,92;0,31;0,72;291;2,7;
11/03/2017;1,67;1,16;2,99;316;1,18;
10/03/2017;2,2;3,2;6,31;57;0,22;
09/03/2017;0,89;0,63;1,78;9;0,24;
08/03/2017;0,81;0,68;1,63;351;0,29;
07/03/2017;0,74;0,57;1,4;277;1,47;
06/03/2017;0,67;0,23;0,78;263;1,96;
05/03/2017;0,66;0,16;0,5;219;1,21;
04/03/2017;0,78;0,21;0,63;253;1,66;
03/03/2017;0,65;0,25;0,67;215;1,11;
02/03/2017;1,66;1,24;4,24;166;0,57;
01/03/2017;0,71;0,47;0,65;196;1,54;
28/02/2017;0,64;0,25;0,8;253;1,58;
27/02/2017;0,65;0,22;0,64;212;1,7;
26/02/2017;1,67;1,3;2,82;21;0,13;
25/02/2017;1,84;1,65;3,22;97;0,55;
24/02/2017;0,98;0,48;1,09;345;0,57;
23/02/2017;1,47;0,61;1,68;312;0,47;
22/02/2017;1,45;1,29;3,94;326;0,34;
21/02/2017
20/02/2017;1,96;2,04;6,05;20;0,3;
19/02/2017;1,41;0,75;1,37;327;0,3;
18/02/2017;2,39;2,23;3,92;339;0,51;
17/02/2017;2,07;2,19;4,46;7;0,1;
16/02/2017;0,76;0,76;1,62;203;0,67;
15/02/2017;0,56;0,28;0,66;180;1,88;
14/02/2017;0,53;0,14;0,42;187;2,43;
13/02/2017;0,64;0,34;0,86;147;3,55;
12/02/2017;0,8;0,24;0,89;132;2,24;
11/02/2017;1,83;0,96;2,76;62;0,35;
10/02/2017;0,75;0,4;1,15;155;0,73;
09/02/2017;0,84;0,66;2,01;123;0,8;
08/02/2017;1,12;0,44;1,19;287;1,97;
07/02/2017;0,8;0,85;1,62;271;1,67;
06/02/2017;0,96;2,38;6,01;215;0,79;
05/02/2017;0,48;0,38;1,6;270;3,75;
04/02/2017;0,67;0,26;0,68;255;0,72;
03/02/2017;0,34;0,09;0,18;200;3,08;
02/02/2017;0,38;0,2;0,72;189;4,01;
01/02/2017;0,36;0,1;0,27;188;2,86;
31/01/2017;0,32;0,14;0,34;182;2,96;
30/01/2017;;;;186;3,37;
29/01/2017;;;;190;3,65;
28/01/2017;;;;249;0,69;
27/01/2017;;;;175;3,43;
26/01/2017;0,74;0,29;0,9;177;3,8;
25/01/2017;1,35;1,43;4,32;98;0,59;
24/01/2017
23/01/2017;2,52;1,53;2,69;301;1,28;
22/01/2017;2,93;1,99;3,55;339;0,31;
21/01/2017;3,03;2,27;4,67;86;0,49;
20/01/2017;2,05;1,57;4,79;113;0,54;
19/01/2017;1,49;0,98;2,91;106;0,69;
18/01/2017;1,07;0,26;0,59;3;1,21;
17/01/2017;;;;26;2,33;
16/01/2017;1,53;0,67;1,94;313;3,64;
15/01/2017;1,3;0,46;1,19;301;2,54;
14/01/2017;0,77;0,25;0,68;276;1,75;
13/01/2017;0,8;0,22;0,63;280;2,64;
12/01/2017;0,66;0,39;1,13;275;0,88;
11/01/2017;1,42;0,57;1,45;289;2,19;
10/01/2017;1,67;0,98;2,2;290;2,45;
09/01/2017;1,16;1,22;3,87;114;0,5;
08/01/2017;1,91;0,68;2,1;104;0,45;
07/01/2017;1,85;0,72;2,16;114;0,43;
06/01/2017;1,64;0,89;2,47;119;0,49;
05/01/2017;1,56;1,5;3,88;117;0,79;
04/01/2017;1,5;2,09;4,27;111;0,28;
03/01/2017;1,31;1,43;3,19;114;0,41;
02/01/2017;0,89;1,46;2,14;181;1,93;
01/01/2017;0,82;0,32;1,08;172;1,22;
