Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
04/03/2017;;;Sin datos / Daturik gabe;4;33;79;Buena / Ona;38;56;70;Buena / Ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
03/03/2017;;;Sin datos / Daturik gabe;5;35;76;Buena / Ona;42;57;68;Buena / Ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
02/03/2017;0,28;0,37;Muy buena / Oso ona;44;48;81;Buena / Ona;115;22;33;Muy buena / Oso ona;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
01/03/2017;0,28;0,33;Muy buena / Oso ona;40;60;96;Buena / Ona;121;21;49;Muy buena / Oso ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
28/02/2017;0,19;;Sin datos / Daturik gabe;8;46;78;Buena / Ona;58;47;60;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
27/02/2017;0,23;;Sin datos / Daturik gabe;9;44;78;Buena / Ona;57;38;69;Buena / Ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
26/02/2017;0,31;0,47;Muy buena / Oso ona;23;45;70;Buena / Ona;80;25;56;Muy buena / Oso ona;27;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
25/02/2017;;;Sin datos / Daturik gabe;33;57;94;Buena / Ona;107;17;39;Muy buena / Oso ona;27;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
24/02/2017;;;Sin datos / Daturik gabe;18;55;85;Buena / Ona;82;37;51;Muy buena / Oso ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
23/02/2017;0,35;0,51;Muy buena / Oso ona;26;59;71;Buena / Ona;98;18;27;Muy buena / Oso ona;41;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
22/02/2017;0,23;;Sin datos / Daturik gabe;32;54;79;Buena / Ona;102;13;23;Muy buena / Oso ona;28;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
21/02/2017;0,31;0,37;Muy buena / Oso ona;42;57;84;Buena / Ona;120;17;41;Muy buena / Oso ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
20/02/2017;0,31;0,43;Muy buena / Oso ona;34;66;91;Buena / Ona;117;24;56;Muy buena / Oso ona;25;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
19/02/2017;0,26;0,31;Muy buena / Oso ona;9;41;95;Buena / Ona;54;51;70;Buena / Ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/02/2017;0,38;0,55;Muy buena / Oso ona;29;51;77;Buena / Ona;95;30;65;Buena / Ona;24;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
17/02/2017;0,45;0,53;Muy buena / Oso ona;72;69;110;Mejorable / Hobetzeko modukoa;179;13;31;Muy buena / Oso ona;32;Buena / Ona;8;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
16/02/2017;0,39;0,49;Muy buena / Oso ona;61;69;106;Mejorable / Hobetzeko modukoa;163;18;39;Muy buena / Oso ona;26;Buena / Ona;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/02/2017;;;Sin datos / Daturik gabe;15;42;85;Buena / Ona;65;38;66;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
14/02/2017;0,26;0,38;Muy buena / Oso ona;24;42;100;Buena / Ona;79;37;57;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
13/02/2017;;;Sin datos / Daturik gabe;12;30;87;Buena / Ona;48;54;86;Buena / Ona;23;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
12/02/2017;0,16;0,23;Muy buena / Oso ona;1;14;47;Muy buena / Oso ona;15;56;78;Buena / Ona;22;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
11/02/2017;0,31;0,41;Muy buena / Oso ona;45;55;87;Buena / Ona;124;16;28;Muy buena / Oso ona;29;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
