Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
29/07/2017;9;22;79;Buena / Ona;36;17;Muy buena / Oso ona;8;4;Muy buena / Oso ona;340;71;1011;296,4;23,3;0,36;Buena / Ona
28/07/2017;7;18;32;Muy buena / Oso ona;29;11;Muy buena / Oso ona;2;3;Muy buena / Oso ona;1;84;1013,9;156,4;21,4;0,92;Muy buena / Oso ona
27/07/2017;10;20;42;Muy buena / Oso ona;34;19;Muy buena / Oso ona;3;4;Muy buena / Oso ona;335;74;1012;305,7;21,8;0,5;Muy buena / Oso ona
26/07/2017;9;24;33;Muy buena / Oso ona;38;16;Muy buena / Oso ona;4;4;Muy buena / Oso ona;298;77;1013,6;269,9;19,8;0,43;Muy buena / Oso ona
25/07/2017;1;8;27;Muy buena / Oso ona;10;13;Muy buena / Oso ona;2;4;Muy buena / Oso ona;302;81;1016,9;90,5;18,7;0,86;Muy buena / Oso ona
24/07/2017;1;6;16;Muy buena / Oso ona;8;8;Muy buena / Oso ona;2;4;Muy buena / Oso ona;290;89;1018;124,6;18,9;1,17;Muy buena / Oso ona
23/07/2017;2;11;27;Muy buena / Oso ona;14;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;330;73;1017;270,6;20,4;0,6;Muy buena / Oso ona
22/07/2017;6;16;29;Muy buena / Oso ona;25;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;316;77;1012,8;220,7;19,4;0,41;Muy buena / Oso ona
21/07/2017;8;22;32;Muy buena / Oso ona;35;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;311;82;1010,1;95,2;18,5;0,29;Muy buena / Oso ona
20/07/2017;4;18;32;Muy buena / Oso ona;24;11;Muy buena / Oso ona;3;4;Muy buena / Oso ona;;;;;;;Muy buena / Oso ona
19/07/2017;4;18;35;Muy buena / Oso ona;24;23;Muy buena / Oso ona;4;4;Muy buena / Oso ona;340;81;1009,1;110,4;21,5;0,79;Muy buena / Oso ona
18/07/2017;4;21;42;Muy buena / Oso ona;26;28;Buena / Ona;3;4;Muy buena / Oso ona;192;61;1005,6;279;27,1;0,44;Buena / Ona
17/07/2017;14;41;70;Buena / Ona;62;;Sin datos / Daturik gabe;12;3;Muy buena / Oso ona;52;68;1008,8;268,6;27;0,56;Buena / Ona
16/07/2017;5;22;44;Muy buena / Oso ona;29;19;Muy buena / Oso ona;10;4;Muy buena / Oso ona;1;78;1016,2;326,9;21,9;0,51;Muy buena / Oso ona
15/07/2017;4;13;25;Muy buena / Oso ona;19;11;Muy buena / Oso ona;5;2;Muy buena / Oso ona;8;78;1019;225,9;20,1;1,66;Muy buena / Oso ona
14/07/2017;10;18;39;Muy buena / Oso ona;33;10;Muy buena / Oso ona;3;2;Muy buena / Oso ona;360;82;1019,2;134,3;19,7;1,19;Muy buena / Oso ona
13/07/2017;5;13;36;Muy buena / Oso ona;20;8;Muy buena / Oso ona;3;2;Muy buena / Oso ona;334;83;1018,5;131,9;20,2;0,87;Muy buena / Oso ona
12/07/2017;10;18;33;Muy buena / Oso ona;33;16;Muy buena / Oso ona;5;2;Muy buena / Oso ona;338;83;1016,9;179,2;20,2;0,54;Muy buena / Oso ona
11/07/2017;9;22;45;Muy buena / Oso ona;35;9;Muy buena / Oso ona;3;2;Muy buena / Oso ona;360;81;1013;241,5;20,4;0,63;Muy buena / Oso ona
10/07/2017;3;13;39;Muy buena / Oso ona;17;9;Muy buena / Oso ona;2;2;Muy buena / Oso ona;285;88;1012,8;113,4;19,1;0,64;Muy buena / Oso ona
09/07/2017;1;8;21;Muy buena / Oso ona;10;16;Muy buena / Oso ona;2;1;Muy buena / Oso ona;343;84;1011,4;265,7;20,2;1;Muy buena / Oso ona
08/07/2017;1;9;24;Muy buena / Oso ona;11;13;Muy buena / Oso ona;3;1;Muy buena / Oso ona;332;92;1013,3;48,9;19,4;1,03;Muy buena / Oso ona
07/07/2017;7;20;45;Muy buena / Oso ona;31;21;Muy buena / Oso ona;2;2;Muy buena / Oso ona;316;82;1013,6;260,7;21,6;0,79;Muy buena / Oso ona
06/07/2017;8;30;47;Muy buena / Oso ona;42;25;Muy buena / Oso ona;3;1;Muy buena / Oso ona;360;80;1011,9;185,9;21,6;0,55;Muy buena / Oso ona
05/07/2017;5;21;49;Muy buena / Oso ona;29;30;Buena / Ona;3;1;Muy buena / Oso ona;349;58;1008,7;299,1;24,7;1,01;Buena / Ona
04/07/2017;14;31;57;Buena / Ona;53;22;Muy buena / Oso ona;19;1;Muy buena / Oso ona;12;71;1010,5;333,3;24,7;0,41;Buena / Ona
03/07/2017;12;17;31;Muy buena / Oso ona;35;10;Muy buena / Oso ona;4;1;Muy buena / Oso ona;338;82;1020,2;292,1;18,3;0,76;Muy buena / Oso ona
02/07/2017;4;15;24;Muy buena / Oso ona;20;12;Muy buena / Oso ona;5;1;Muy buena / Oso ona;320;81;1023,7;266,3;16,8;0,67;Muy buena / Oso ona
01/07/2017;1;5;19;Muy buena / Oso ona;7;12;Muy buena / Oso ona;2;1;Muy buena / Oso ona;264;86;1021,3;67;14,7;1,12;Muy buena / Oso ona
30/06/2017;3;13;41;Muy buena / Oso ona;18;13;Muy buena / Oso ona;2;1;Muy buena / Oso ona;243;80;1013;133,3;15,5;1,28;Muy buena / Oso ona
29/06/2017;2;14;31;Muy buena / Oso ona;17;17;Muy buena / Oso ona;3;1;Muy buena / Oso ona;272;66;1006,8;174,6;17,2;0,87;Muy buena / Oso ona
28/06/2017;5;14;37;Muy buena / Oso ona;22;12;Muy buena / Oso ona;2;1;Muy buena / Oso ona;287;73;1002,6;154,5;19,5;1,06;Muy buena / Oso ona
27/06/2017;8;17;27;Muy buena / Oso ona;28;12;Muy buena / Oso ona;4;1;Muy buena / Oso ona;298;84;1005,1;114,3;20,2;0,64;Muy buena / Oso ona
26/06/2017;9;19;34;Muy buena / Oso ona;33;16;Muy buena / Oso ona;3;2;Muy buena / Oso ona;275;84;1006,5;193;21,7;0,68;Muy buena / Oso ona
25/06/2017;5;16;27;Muy buena / Oso ona;23;13;Muy buena / Oso ona;5;2;Muy buena / Oso ona;25;79;1013,1;184,1;20,9;0,47;Muy buena / Oso ona
24/06/2017;5;16;26;Muy buena / Oso ona;24;20;Muy buena / Oso ona;6;2;Muy buena / Oso ona;2;74;1017,7;216,3;21,4;0,97;Muy buena / Oso ona
23/06/2017;4;20;45;Muy buena / Oso ona;27;32;Buena / Ona;3;2;Muy buena / Oso ona;322;82;1019,2;93,4;20,5;0,52;Buena / Ona
22/06/2017;4;16;44;Muy buena / Oso ona;22;25;Muy buena / Oso ona;3;0;Muy buena / Oso ona;332;90;1014,7;47,9;20,9;1,09;Muy buena / Oso ona
21/06/2017;8;37;73;Buena / Ona;49;30;Buena / Ona;7;0;Muy buena / Oso ona;358;61;1010,1;318,6;28,6;0,15;Buena / Ona
20/06/2017;9;35;70;Buena / Ona;48;31;Buena / Ona;13;0;Muy buena / Oso ona;231;55;1011,2;303,7;27,9;0,52;Buena / Ona
19/06/2017;8;21;64;Buena / Ona;33;24;Muy buena / Oso ona;14;0;Muy buena / Oso ona;225;54;1009,1;311;28,7;0,93;Buena / Ona
18/06/2017;3;24;42;Muy buena / Oso ona;29;24;Muy buena / Oso ona;3;0;Muy buena / Oso ona;296;74;1010,4;343,9;23;0,36;Muy buena / Oso ona
17/06/2017;6;22;39;Muy buena / Oso ona;30;23;Muy buena / Oso ona;6;1;Muy buena / Oso ona;326;80;1016,8;322,5;20,5;0,42;Muy buena / Oso ona
16/06/2017;8;22;49;Muy buena / Oso ona;34;16;Muy buena / Oso ona;2;1;Muy buena / Oso ona;5;88;1020,5;118,7;19,1;1,04;Muy buena / Oso ona
15/06/2017;2;12;29;Muy buena / Oso ona;15;12;Muy buena / Oso ona;2;0;Muy buena / Oso ona;324;95;1017,5;39,7;18,2;0,82;Muy buena / Oso ona
14/06/2017;8;19;43;Muy buena / Oso ona;32;24;Muy buena / Oso ona;2;0;Muy buena / Oso ona;343;84;1010,9;248,1;21,7;0,87;Muy buena / Oso ona
13/06/2017;7;17;39;Muy buena / Oso ona;28;25;Muy buena / Oso ona;3;0;Muy buena / Oso ona;343;81;1010,7;237,7;20,6;0,72;Muy buena / Oso ona
12/06/2017;11;17;34;Muy buena / Oso ona;34;18;Muy buena / Oso ona;2;1;Muy buena / Oso ona;351;85;1015,3;136,4;19,5;1,17;Muy buena / Oso ona
11/06/2017;2;7;20;Muy buena / Oso ona;9;18;Muy buena / Oso ona;3;1;Muy buena / Oso ona;319;83;1015,4;228,4;20,1;0,96;Muy buena / Oso ona
10/06/2017;5;17;30;Muy buena / Oso ona;25;21;Muy buena / Oso ona;4;1;Muy buena / Oso ona;332;79;1013,7;313,2;21,7;0,68;Muy buena / Oso ona
09/06/2017;8;22;39;Muy buena / Oso ona;35;17;Muy buena / Oso ona;3;1;Muy buena / Oso ona;343;82;1013,3;175,2;18,6;0,85;Muy buena / Oso ona
08/06/2017;11;27;70;Buena / Ona;44;27;Buena / Ona;13;1;Muy buena / Oso ona;207;68;1009,6;282,5;22,7;0,55;Buena / Ona
07/06/2017;11;27;44;Muy buena / Oso ona;44;24;Muy buena / Oso ona;3;1;Muy buena / Oso ona;312;74;1017,2;324,7;17,4;0,34;Muy buena / Oso ona
06/06/2017;3;12;31;Muy buena / Oso ona;17;20;Muy buena / Oso ona;2;1;Muy buena / Oso ona;289;74;1015;141,4;16,6;1,08;Muy buena / Oso ona
05/06/2017;13;28;52;Buena / Ona;47;10;Muy buena / Oso ona;4;1;Muy buena / Oso ona;124;78;1011,5;245,1;18;0,06;Buena / Ona
04/06/2017;4;12;26;Muy buena / Oso ona;19;9;Muy buena / Oso ona;2;1;Muy buena / Oso ona;285;92;1016,6;49;14;0,5;Muy buena / Oso ona
03/06/2017;2;12;29;Muy buena / Oso ona;16;10;Muy buena / Oso ona;2;1;Muy buena / Oso ona;290;94;1015,8;35,9;15,7;0,49;Muy buena / Oso ona
02/06/2017;5;14;37;Muy buena / Oso ona;21;13;Muy buena / Oso ona;3;1;Muy buena / Oso ona;309;88;1014,1;78;18,7;0,79;Muy buena / Oso ona
01/06/2017;10;23;47;Muy buena / Oso ona;38;19;Muy buena / Oso ona;7;2;Muy buena / Oso ona;349;80;1013,9;314,1;20,8;0,77;Muy buena / Oso ona
31/05/2017;9;18;29;Muy buena / Oso ona;31;14;Muy buena / Oso ona;4;1;Muy buena / Oso ona;351;81;1015,5;315;19,5;0,9;Muy buena / Oso ona
30/05/2017;10;19;42;Muy buena / Oso ona;34;8;Muy buena / Oso ona;2;1;Muy buena / Oso ona;352;90;1015,2;77;17,1;1,09;Muy buena / Oso ona
29/05/2017;8;18;45;Muy buena / Oso ona;30;16;Muy buena / Oso ona;3;1;Muy buena / Oso ona;333;88;1011,6;132,6;18,3;0,91;Muy buena / Oso ona
28/05/2017;3;17;37;Muy buena / Oso ona;21;21;Muy buena / Oso ona;4;1;Muy buena / Oso ona;128;69;1009,1;169,1;22,7;0,25;Muy buena / Oso ona
27/05/2017;6;28;61;Buena / Ona;37;32;Buena / Ona;9;1;Muy buena / Oso ona;358;81;1009,4;274;21,9;0,58;Buena / Ona
26/05/2017;6;28;64;Buena / Ona;37;30;Buena / Ona;8;2;Muy buena / Oso ona;305;66;1008,2;299,5;22,8;0,39;Buena / Ona
25/05/2017;12;39;62;Buena / Ona;57;29;Buena / Ona;14;2;Muy buena / Oso ona;1;60;1008,3;311,4;25,8;0,2;Buena / Ona
24/05/2017;12;32;74;Buena / Ona;50;26;Buena / Ona;9;2;Muy buena / Oso ona;3;77;1015;323,4;20,2;0,71;Buena / Ona
