Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
08/10/2017;8;28;71;Buena / Ona;41;26;62;Buena / Ona;19;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
07/10/2017;6;28;54;Buena / Ona;35;25;59;Muy buena / Oso ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
06/10/2017;;;;Sin datos / Daturik gabe;25;40;58;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
05/10/2017;;;;Sin datos / Daturik gabe;27;36;56;Muy buena / Oso ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/10/2017;16;23;46;Muy buena / Oso ona;44;16;30;Muy buena / Oso ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
03/10/2017;24;20;26;Muy buena / Oso ona;55;8;19;Muy buena / Oso ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;26;35;48;Muy buena / Oso ona;74;4;6;Muy buena / Oso ona;19;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
01/10/2017;13;29;37;Muy buena / Oso ona;49;5;21;Muy buena / Oso ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
30/09/2017;;;;Sin datos / Daturik gabe;19;44;58;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
29/09/2017;;;;Sin datos / Daturik gabe;62;40;77;Buena / Ona;38;Buena / Ona;21;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
28/09/2017;16;43;93;Buena / Ona;66;37;62;Buena / Ona;28;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
27/09/2017;13;36;79;Buena / Ona;57;29;63;Buena / Ona;21;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
26/09/2017;14;30;47;Muy buena / Oso ona;52;22;53;Muy buena / Oso ona;19;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
25/09/2017;14;36;55;Buena / Ona;51;27;68;Buena / Ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
24/09/2017;;;;Sin datos / Daturik gabe;29;47;79;Buena / Ona;25;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
23/09/2017;;;;Sin datos / Daturik gabe;24;50;80;Buena / Ona;19;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
22/09/2017;3;32;56;Buena / Ona;32;34;52;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
21/09/2017;22;34;52;Buena / Ona;63;30;69;Buena / Ona;23;Muy buena / Oso ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
20/09/2017;23;36;76;Buena / Ona;71;20;53;Muy buena / Oso ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
19/09/2017;9;28;58;Buena / Ona;37;35;70;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
18/09/2017;9;35;54;Buena / Ona;46;20;44;Muy buena / Oso ona;12;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
17/09/2017;;;;Sin datos / Daturik gabe;28;36;66;Buena / Ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
16/09/2017;4;25;50;Muy buena / Oso ona;31;30;58;Muy buena / Oso ona;9;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
15/09/2017;14;35;45;Muy buena / Oso ona;55;19;38;Muy buena / Oso ona;16;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
14/09/2017;3;28;53;Buena / Ona;30;36;60;Muy buena / Oso ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
13/09/2017;14;23;42;Muy buena / Oso ona;44;22;48;Muy buena / Oso ona;18;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
12/09/2017;6;32;58;Buena / Ona;36;32;59;Muy buena / Oso ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
11/09/2017;;;;Sin datos / Daturik gabe;20;45;59;Muy buena / Oso ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
10/09/2017;;;;Sin datos / Daturik gabe;16;49;67;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
09/09/2017;;;;Sin datos / Daturik gabe;13;52;58;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
08/09/2017;;;;Sin datos / Daturik gabe;35;41;71;Buena / Ona;22;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
07/09/2017;13;24;45;Muy buena / Oso ona;42;30;62;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
06/09/2017;3;27;42;Muy buena / Oso ona;28;33;53;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
05/09/2017;;;;Sin datos / Daturik gabe;36;37;61;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
04/09/2017;10;23;40;Muy buena / Oso ona;39;21;49;Muy buena / Oso ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
03/09/2017;3;20;31;Muy buena / Oso ona;22;36;70;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
02/09/2017;;;;Sin datos / Daturik gabe;21;42;76;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
01/09/2017;9;22;35;Muy buena / Oso ona;34;37;64;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
31/08/2017;4;24;51;Buena / Ona;30;38;64;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
30/08/2017;5;21;40;Muy buena / Oso ona;29;39;61;Buena / Ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
29/08/2017;5;26;42;Muy buena / Oso ona;34;40;70;Buena / Ona;17;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
28/08/2017;6;29;44;Muy buena / Oso ona;38;28;42;Muy buena / Oso ona;19;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
27/08/2017;6;28;40;Muy buena / Oso ona;37;20;37;Muy buena / Oso ona;23;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
26/08/2017;1;15;45;Muy buena / Oso ona;17;40;62;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
25/08/2017;2;12;29;Muy buena / Oso ona;15;44;61;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
24/08/2017;1;13;30;Muy buena / Oso ona;14;48;59;Muy buena / Oso ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
23/08/2017;4;15;39;Muy buena / Oso ona;21;40;58;Muy buena / Oso ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
22/08/2017;9;24;65;Buena / Ona;37;55;88;Buena / Ona;30;Buena / Ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
21/08/2017;10;30;52;Buena / Ona;45;49;98;Buena / Ona;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
20/08/2017;3;16;40;Muy buena / Oso ona;21;36;65;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
19/08/2017;0;10;24;Muy buena / Oso ona;10;51;63;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
18/08/2017;5;19;43;Muy buena / Oso ona;27;39;63;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
17/08/2017;7;23;38;Muy buena / Oso ona;35;41;73;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
16/08/2017;6;18;36;Muy buena / Oso ona;27;34;61;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
15/08/2017;0;9;14;Muy buena / Oso ona;9;46;53;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
14/08/2017;7;18;33;Muy buena / Oso ona;29;48;82;Buena / Ona;24;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
13/08/2017;5;18;35;Muy buena / Oso ona;26;38;65;Buena / Ona;18;Muy buena / Oso ona;10;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
12/08/2017;4;18;34;Muy buena / Oso ona;25;38;72;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
11/08/2017;7;21;41;Muy buena / Oso ona;32;41;72;Buena / Ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
10/08/2017;3;22;55;Buena / Ona;27;44;65;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
09/08/2017;2;17;51;Buena / Ona;20;54;72;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
08/08/2017;3;21;57;Buena / Ona;26;47;61;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;10;Muy buena / Oso ona;Buena / Ona
07/08/2017;4;21;45;Muy buena / Oso ona;26;48;64;Buena / Ona;19;Muy buena / Oso ona;8;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
06/08/2017;0;8;17;Muy buena / Oso ona;8;55;67;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
05/08/2017;0;9;30;Muy buena / Oso ona;10;49;55;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/08/2017;3;16;46;Muy buena / Oso ona;21;43;63;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
03/08/2017;8;19;39;Muy buena / Oso ona;32;48;78;Buena / Ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
02/08/2017;7;22;33;Muy buena / Oso ona;33;41;75;Buena / Ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
01/08/2017;11;20;40;Muy buena / Oso ona;37;27;49;Muy buena / Oso ona;19;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
31/07/2017;2;21;42;Muy buena / Oso ona;24;25;44;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
30/07/2017;6;20;31;Muy buena / Oso ona;30;25;47;Muy buena / Oso ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
29/07/2017;4;20;37;Muy buena / Oso ona;27;37;71;Buena / Ona;16;Muy buena / Oso ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
28/07/2017;2;16;34;Muy buena / Oso ona;18;40;56;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
27/07/2017;10;19;39;Muy buena / Oso ona;35;39;65;Buena / Ona;23;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
26/07/2017;9;21;38;Muy buena / Oso ona;35;46;82;Buena / Ona;22;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
25/07/2017;1;14;31;Muy buena / Oso ona;16;44;64;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
24/07/2017;1;13;27;Muy buena / Oso ona;15;36;47;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;2;14;26;Muy buena / Oso ona;17;44;73;Buena / Ona;17;Muy buena / Oso ona;9;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
22/07/2017;8;17;28;Muy buena / Oso ona;29;33;60;Muy buena / Oso ona;19;Muy buena / Oso ona;10;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
21/07/2017;10;25;43;Muy buena / Oso ona;40;21;46;Muy buena / Oso ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
20/07/2017;1;18;41;Muy buena / Oso ona;20;40;55;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
19/07/2017;2;17;47;Muy buena / Oso ona;19;57;81;Buena / Ona;22;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
18/07/2017;2;24;71;Buena / Ona;27;65;89;Buena / Ona;33;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
17/07/2017;10;35;71;Buena / Ona;50;57;102;Mejorable / Hobetzeko modukoa;35;Buena / Ona;20;Buena / Ona;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
16/07/2017;3;18;32;Muy buena / Oso ona;23;55;90;Buena / Ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
15/07/2017;1;6;18;Muy buena / Oso ona;7;54;61;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
14/07/2017;1;10;24;Muy buena / Oso ona;11;45;56;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
13/07/2017;3;15;40;Muy buena / Oso ona;19;34;48;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
12/07/2017;17;23;45;Muy buena / Oso ona;50;27;47;Muy buena / Oso ona;22;Muy buena / Oso ona;13;Muy buena / Oso ona;15;Muy buena / Oso ona;Muy buena / Oso ona
11/07/2017;7;22;51;Buena / Ona;33;33;60;Muy buena / Oso ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;10;Muy buena / Oso ona;Buena / Ona
10/07/2017;2;13;39;Muy buena / Oso ona;16;36;58;Muy buena / Oso ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
09/07/2017;1;8;21;Muy buena / Oso ona;9;60;74;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
08/07/2017;0;8;15;Muy buena / Oso ona;8;63;73;Buena / Ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
07/07/2017;3;20;55;Buena / Ona;24;44;62;Buena / Ona;21;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
06/07/2017;5;35;66;Buena / Ona;42;38;65;Buena / Ona;28;Buena / Ona;19;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
05/07/2017;2;18;63;Buena / Ona;20;64;74;Buena / Ona;24;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
04/07/2017;7;24;58;Buena / Ona;35;46;95;Buena / Ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
03/07/2017;12;14;28;Muy buena / Oso ona;32;23;41;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
02/07/2017;4;17;31;Muy buena / Oso ona;24;32;65;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
01/07/2017;1;13;27;Muy buena / Oso ona;14;45;56;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
30/06/2017;7;25;48;Muy buena / Oso ona;36;36;59;Muy buena / Oso ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
29/06/2017;1;10;23;Muy buena / Oso ona;12;57;62;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
28/06/2017;2;14;34;Muy buena / Oso ona;18;46;63;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
27/06/2017;7;22;35;Muy buena / Oso ona;33;29;50;Muy buena / Oso ona;17;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
26/06/2017;6;20;34;Muy buena / Oso ona;28;31;53;Muy buena / Oso ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
25/06/2017;2;13;30;Muy buena / Oso ona;17;29;52;Muy buena / Oso ona;16;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
24/06/2017;1;13;23;Muy buena / Oso ona;15;40;47;Muy buena / Oso ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
23/06/2017;2;19;42;Muy buena / Oso ona;22;43;57;Muy buena / Oso ona;28;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/06/2017;1;12;21;Muy buena / Oso ona;13;64;116;Mejorable / Hobetzeko modukoa;26;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
21/06/2017;4;35;78;Buena / Ona;42;98;161;Muy mala / Oso txarra;34;Buena / Ona;22;Buena / Ona;10;Muy buena / Oso ona;Muy mala / Oso txarra
20/06/2017;7;41;79;Buena / Ona;51;70;117;Mejorable / Hobetzeko modukoa;26;Buena / Ona;17;Buena / Ona;7;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
19/06/2017;3;29;68;Buena / Ona;33;84;129;Mejorable / Hobetzeko modukoa;;Sin datos / Daturik gabe;17;Buena / Ona;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
18/06/2017;2;32;75;Buena / Ona;36;68;110;Mejorable / Hobetzeko modukoa;27;Buena / Ona;14;Muy buena / Oso ona;21;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
17/06/2017;2;20;40;Muy buena / Oso ona;23;54;89;Buena / Ona;27;Buena / Ona;14;Muy buena / Oso ona;16;Muy buena / Oso ona;Buena / Ona
16/06/2017;2;16;52;Buena / Ona;20;46;55;Muy buena / Oso ona;21;Muy buena / Oso ona;9;Muy buena / Oso ona;14;Muy buena / Oso ona;Buena / Ona
15/06/2017;1;16;34;Muy buena / Oso ona;17;54;62;Buena / Ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
14/06/2017;2;18;36;Muy buena / Oso ona;21;49;71;Buena / Ona;28;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
13/06/2017;6;24;42;Muy buena / Oso ona;33;36;61;Buena / Ona;23;Muy buena / Oso ona;11;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
12/06/2017;1;9;24;Muy buena / Oso ona;11;42;54;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
11/06/2017;1;12;27;Muy buena / Oso ona;14;49;70;Buena / Ona;25;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
10/06/2017;5;16;27;Muy buena / Oso ona;25;45;75;Buena / Ona;25;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
09/06/2017;9;23;44;Muy buena / Oso ona;38;29;51;Muy buena / Oso ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
08/06/2017;9;30;55;Buena / Ona;45;46;77;Buena / Ona;27;Buena / Ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
07/06/2017;6;24;38;Muy buena / Oso ona;34;44;77;Buena / Ona;22;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
06/06/2017;1;15;46;Muy buena / Oso ona;17;59;68;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
05/06/2017;8;28;53;Buena / Ona;41;44;74;Buena / Ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
04/06/2017;1;20;34;Muy buena / Oso ona;22;38;56;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
03/06/2017;2;21;41;Muy buena / Oso ona;24;40;56;Muy buena / Oso ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
02/06/2017;2;20;49;Muy buena / Oso ona;23;59;72;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
01/06/2017;9;21;36;Muy buena / Oso ona;36;53;84;Buena / Ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
31/05/2017;3;20;34;Muy buena / Oso ona;25;46;63;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
