Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;CH4 (mg/m3);HCNM (mg/m3 HEX);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
08/09/2017;4;12;24;Muy buena / Oso ona;19;48;71;Buena / Ona;19;Muy buena / Oso ona;;;;;181;79;1006,7;17,7;0,93;Buena / Ona
07/09/2017;4;13;22;Muy buena / Oso ona;19;35;60;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;;181;82;1014;17,5;0,43;Muy buena / Oso ona
06/09/2017;2;14;28;Muy buena / Oso ona;17;34;51;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;340;91;1018;17,7;0,07;Muy buena / Oso ona
05/09/2017;6;18;29;Muy buena / Oso ona;28;31;54;Muy buena / Oso ona;14;Muy buena / Oso ona;;;;;89;86;1014,6;19,7;0,14;Muy buena / Oso ona
04/09/2017;6;18;22;Muy buena / Oso ona;28;20;38;Muy buena / Oso ona;13;Muy buena / Oso ona;;;;;94;90;1009;19,4;0,15;Muy buena / Oso ona
03/09/2017;2;14;28;Muy buena / Oso ona;18;37;61;Buena / Ona;13;Muy buena / Oso ona;;;;;168;79;1006,8;19,4;0,59;Buena / Ona
02/09/2017;2;10;21;Muy buena / Oso ona;13;45;75;Buena / Ona;13;Muy buena / Oso ona;;;;;196;80;1015,1;17,2;0,24;Buena / Ona
01/09/2017;3;10;22;Muy buena / Oso ona;14;45;65;Buena / Ona;11;Muy buena / Oso ona;;;;;149;83;1015,2;17,2;0,05;Buena / Ona
31/08/2017;2;12;20;Muy buena / Oso ona;15;45;65;Buena / Ona;10;Muy buena / Oso ona;;;;;195;86;1013,6;16,9;0,49;Buena / Ona
30/08/2017;3;14;26;Muy buena / Oso ona;19;42;56;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;159;92;1007;19,2;0,13;Muy buena / Oso ona
29/08/2017;4;16;23;Muy buena / Oso ona;21;39;63;Buena / Ona;17;Muy buena / Oso ona;;;;;165;86;1005,5;20,6;0,35;Buena / Ona
28/08/2017;3;15;29;Muy buena / Oso ona;20;38;54;Muy buena / Oso ona;21;Muy buena / Oso ona;;;;;190;84;1005,8;21,2;1,57;Muy buena / Oso ona
27/08/2017;2;15;22;Muy buena / Oso ona;19;31;45;Muy buena / Oso ona;22;Muy buena / Oso ona;;;;;192;83;1005,6;21,5;0,9;Muy buena / Oso ona
26/08/2017;2;15;25;Muy buena / Oso ona;18;39;55;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;;29;85;1005,6;22,2;0,2;Muy buena / Oso ona
25/08/2017;3;12;22;Muy buena / Oso ona;17;39;58;Muy buena / Oso ona;14;Muy buena / Oso ona;;;;;8;88;1007,5;21;0,48;Muy buena / Oso ona
24/08/2017;5;14;33;Muy buena / Oso ona;21;42;55;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;;8;89;1008,1;21;0,63;Muy buena / Oso ona
23/08/2017;4;14;23;Muy buena / Oso ona;20;38;56;Muy buena / Oso ona;27;Buena / Ona;;;;;359;85;1009,6;20,6;0,33;Buena / Ona
22/08/2017;4;24;45;Muy buena / Oso ona;30;53;74;Buena / Ona;35;Buena / Ona;;;;;33;77;1007,6;22,3;0,62;Buena / Ona
21/08/2017;5;22;41;Muy buena / Oso ona;29;52;99;Buena / Ona;16;Muy buena / Oso ona;;;;;170;70;1008;22,6;1,02;Buena / Ona
20/08/2017;2;10;24;Muy buena / Oso ona;13;41;68;Buena / Ona;13;Muy buena / Oso ona;;;;;166;78;1016,1;18,5;0,29;Buena / Ona
19/08/2017;2;8;15;Muy buena / Oso ona;11;42;59;Muy buena / Oso ona;13;Muy buena / Oso ona;;;;;8;86;1015,3;19,3;0,53;Muy buena / Oso ona
18/08/2017;3;17;32;Muy buena / Oso ona;22;34;53;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;;128;90;1012,5;20,1;0,11;Muy buena / Oso ona
17/08/2017;4;15;24;Muy buena / Oso ona;21;43;65;Buena / Ona;13;Muy buena / Oso ona;;;;;134;78;1011,9;20,6;0,28;Buena / Ona
16/08/2017;4;15;24;Muy buena / Oso ona;22;32;57;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;29;82;1013,4;20,8;0,26;Muy buena / Oso ona
15/08/2017;2;12;18;Muy buena / Oso ona;15;31;46;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;358;90;1011,3;19,9;0,37;Muy buena / Oso ona
14/08/2017;3;17;28;Muy buena / Oso ona;21;47;76;Buena / Ona;21;Muy buena / Oso ona;;;;;181;77;1005,4;23,2;0,59;Buena / Ona
13/08/2017;2;11;26;Muy buena / Oso ona;15;40;64;Buena / Ona;14;Muy buena / Oso ona;;;;;155;81;1011,2;18,3;0,31;Buena / Ona
12/08/2017;3;10;18;Muy buena / Oso ona;14;44;72;Buena / Ona;16;Muy buena / Oso ona;;;;;156;76;1015,1;17,2;0,44;Buena / Ona
11/08/2017;3;11;21;Muy buena / Oso ona;16;46;71;Buena / Ona;15;Muy buena / Oso ona;;;;;31;79;1017,1;16,8;0,32;Buena / Ona
10/08/2017;2;8;18;Muy buena / Oso ona;11;56;68;Buena / Ona;14;Muy buena / Oso ona;;;;;239;82;1018,1;16,4;0,44;Buena / Ona
09/08/2017;2;7;14;Muy buena / Oso ona;9;63;71;Buena / Ona;11;Muy buena / Oso ona;;;;;264;76;1013,8;16,8;0,32;Buena / Ona
08/08/2017;2;8;25;Muy buena / Oso ona;11;55;62;Buena / Ona;11;Muy buena / Oso ona;;;;;223;79;1011,2;17,4;0,26;Buena / Ona
07/08/2017;2;11;27;Muy buena / Oso ona;15;49;66;Buena / Ona;18;Muy buena / Oso ona;;;;;150;85;1007,2;19,4;0,18;Buena / Ona
06/08/2017;1;7;17;Muy buena / Oso ona;9;46;64;Buena / Ona;20;Muy buena / Oso ona;;;;;10;82;1013,9;18,9;0,63;Buena / Ona
05/08/2017;1;8;14;Muy buena / Oso ona;10;44;51;Muy buena / Oso ona;10;Muy buena / Oso ona;;;;;10;97;1013,2;18,6;0,87;Muy buena / Oso ona
04/08/2017;3;14;26;Muy buena / Oso ona;18;41;55;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;37;75;1009,3;24,7;0,3;Muy buena / Oso ona
03/08/2017;3;15;32;Muy buena / Oso ona;20;47;71;Buena / Ona;20;Muy buena / Oso ona;;;;;93;82;1010,3;21,6;0,18;Buena / Ona
02/08/2017;6;19;34;Muy buena / Oso ona;29;35;66;Buena / Ona;18;Muy buena / Oso ona;;;;;37;84;1010;20,5;0,33;Buena / Ona
01/08/2017;3;13;26;Muy buena / Oso ona;18;29;50;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;354;88;1008,5;19,6;0,1;Muy buena / Oso ona
31/07/2017;2;10;16;Muy buena / Oso ona;14;24;41;Muy buena / Oso ona;11;Muy buena / Oso ona;;;;;17;95;1005,3;18;0,26;Muy buena / Oso ona
30/07/2017;2;10;20;Muy buena / Oso ona;13;27;44;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;269;91;1007;18,7;0,03;Muy buena / Oso ona
29/07/2017;3;13;31;Muy buena / Oso ona;17;43;68;Buena / Ona;14;Muy buena / Oso ona;;;;;172;71;1006,8;22,6;0,41;Buena / Ona
28/07/2017;3;15;29;Muy buena / Oso ona;19;33;48;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;5;89;1009,7;20,4;0,4;Muy buena / Oso ona
27/07/2017;4;15;37;Muy buena / Oso ona;22;35;56;Muy buena / Oso ona;22;Muy buena / Oso ona;;;;;74;84;1008;20,4;0,3;Muy buena / Oso ona
26/07/2017;5;18;33;Muy buena / Oso ona;26;42;75;Buena / Ona;20;Muy buena / Oso ona;;;;;139;83;1009,5;18,6;0,26;Buena / Ona
25/07/2017;2;7;12;Muy buena / Oso ona;9;49;61;Buena / Ona;12;Muy buena / Oso ona;;;;;310;84;1013,3;17,8;0,17;Buena / Ona
24/07/2017;2;8;13;Muy buena / Oso ona;10;35;43;Muy buena / Oso ona;9;Muy buena / Oso ona;;;;;12;94;1014,4;18;0,54;Muy buena / Oso ona
23/07/2017;2;9;18;Muy buena / Oso ona;11;48;68;Buena / Ona;18;Muy buena / Oso ona;;;;;107;77;1013;19,5;0,13;Buena / Ona
22/07/2017;3;10;20;Muy buena / Oso ona;14;39;57;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;171;84;1008,7;17,8;0,59;Muy buena / Oso ona
21/07/2017;3;16;23;Muy buena / Oso ona;21;23;40;Muy buena / Oso ona;13;Muy buena / Oso ona;;;;;73;91;1006,1;16,7;0,05;Muy buena / Oso ona
20/07/2017;2;13;23;Muy buena / Oso ona;16;36;51;Muy buena / Oso ona;13;Muy buena / Oso ona;;;;;8;90;1009,4;17,2;0,21;Muy buena / Oso ona
19/07/2017;2;13;33;Muy buena / Oso ona;16;54;77;Buena / Ona;23;Muy buena / Oso ona;;;;;357;81;1005,1;21,2;0,44;Buena / Ona
18/07/2017;2;14;26;Muy buena / Oso ona;17;69;85;Buena / Ona;26;Buena / Ona;;;;;4;77;1001,6;23,6;0,25;Buena / Ona
17/07/2017;4;25;46;Muy buena / Oso ona;31;56;93;Buena / Ona;32;Buena / Ona;;;;;155;78;1004,6;24,3;0,42;Buena / Ona
16/07/2017;2;12;24;Muy buena / Oso ona;15;57;86;Buena / Ona;17;Muy buena / Oso ona;;;;;28;81;1012,1;20,9;0,55;Buena / Ona
15/07/2017;2;9;18;Muy buena / Oso ona;12;43;58;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;5;83;1014,9;19,4;0,97;Muy buena / Oso ona
14/07/2017;3;11;23;Muy buena / Oso ona;15;34;54;Muy buena / Oso ona;8;Muy buena / Oso ona;;;;;3;83;1015,3;19,1;0,68;Muy buena / Oso ona
13/07/2017;4;14;33;Muy buena / Oso ona;20;27;47;Muy buena / Oso ona;13;Muy buena / Oso ona;;;;;3;88;1014,5;19,1;0,49;Muy buena / Oso ona
12/07/2017;4;15;23;Muy buena / Oso ona;21;27;43;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;21;85;1012,8;19,2;0,21;Muy buena / Oso ona
11/07/2017;6;16;26;Muy buena / Oso ona;25;27;49;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;26;84;1008,9;19,3;0,41;Muy buena / Oso ona
10/07/2017;3;13;27;Muy buena / Oso ona;18;26;41;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;15;91;1008,7;18,6;0,53;Muy buena / Oso ona
09/07/2017;2;11;16;Muy buena / Oso ona;14;42;62;Buena / Ona;23;Muy buena / Oso ona;;;;;19;90;1007,6;19,2;0,82;Buena / Ona
08/07/2017;2;14;25;Muy buena / Oso ona;16;44;57;Muy buena / Oso ona;21;Muy buena / Oso ona;;;;;20;94;1009,5;18,9;0,78;Muy buena / Oso ona
07/07/2017;4;16;37;Muy buena / Oso ona;22;36;52;Muy buena / Oso ona;23;Muy buena / Oso ona;;;;;21;88;1009,9;19,9;0,73;Muy buena / Oso ona
06/07/2017;7;30;51;Buena / Ona;41;27;50;Muy buena / Oso ona;33;Buena / Ona;;;;;17;84;1007,6;20,8;0,66;Buena / Ona
05/07/2017;4;14;47;Muy buena / Oso ona;20;55;62;Buena / Ona;28;Buena / Ona;;;;;15;68;1004,5;23,5;0,86;Buena / Ona
04/07/2017;7;25;43;Muy buena / Oso ona;36;44;90;Buena / Ona;23;Muy buena / Oso ona;;;;;180;73;1005,8;25;0,43;Buena / Ona
03/07/2017;5;12;18;Muy buena / Oso ona;19;25;41;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;98;82;1015,6;18,9;0,11;Muy buena / Oso ona
02/07/2017;2;9;20;Muy buena / Oso ona;12;38;63;Buena / Ona;16;Muy buena / Oso ona;;;;;46;82;1019,6;16,7;0,16;Buena / Ona
01/07/2017;1;5;10;Muy buena / Oso ona;8;49;61;Buena / Ona;16;Muy buena / Oso ona;;;;;219;85;1017,8;14,6;0,65;Buena / Ona
30/06/2017;1;7;14;Muy buena / Oso ona;9;52;65;Buena / Ona;9;Muy buena / Oso ona;;;;;209;85;1009,6;14,3;1,52;Buena / Ona
29/06/2017;1;5;12;Muy buena / Oso ona;7;62;66;Buena / Ona;13;Muy buena / Oso ona;;;;;251;62;1002,7;17,5;0,35;Buena / Ona
28/06/2017;2;8;24;Muy buena / Oso ona;12;45;60;Muy buena / Oso ona;14;Muy buena / Oso ona;;;;;100;76;998,4;18,9;0,12;Muy buena / Oso ona
27/06/2017;5;19;32;Muy buena / Oso ona;27;24;42;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;9;89;1001,2;18,9;0,24;Muy buena / Oso ona
26/06/2017;4;18;29;Muy buena / Oso ona;25;26;40;Muy buena / Oso ona;19;Muy buena / Oso ona;;;;;76;89;1002,5;20,5;0,2;Muy buena / Oso ona
25/06/2017;2;11;21;Muy buena / Oso ona;14;30;49;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;278;88;1008,8;19,1;0,11;Muy buena / Oso ona
24/06/2017;2;11;21;Muy buena / Oso ona;14;32;43;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;32;94;1013,9;18,5;0,05;Muy buena / Oso ona
23/06/2017;2;16;35;Muy buena / Oso ona;19;39;52;Muy buena / Oso ona;28;Buena / Ona;;;;;360;87;1015,2;19,4;0,26;Buena / Ona
22/06/2017;2;17;38;Muy buena / Oso ona;20;50;91;Buena / Ona;33;Buena / Ona;;;;;18;92;1010,8;19,7;0,73;Buena / Ona
21/06/2017;2;27;53;Buena / Ona;30;91;146;Mala / Txarra;36;Buena / Ona;;;;;151;68;1005,8;27,4;0,48;Mala / Txarra
20/06/2017;3;34;71;Buena / Ona;38;64;94;Buena / Ona;28;Buena / Ona;;;;;186;66;1007,1;25,7;0,54;Buena / Ona
19/06/2017;2;18;42;Muy buena / Oso ona;20;87;112;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;;;;;192;66;1005,2;26,4;1,22;Mejorable / Hobetzeko modukoa
18/06/2017;2;22;51;Buena / Ona;25;66;101;Mejorable / Hobetzeko modukoa;33;Buena / Ona;;;;;138;77;1005,9;23;0,39;Mejorable / Hobetzeko modukoa
17/06/2017;2;14;22;Muy buena / Oso ona;18;51;80;Buena / Ona;25;Muy buena / Oso ona;;;;;124;82;1012,5;20,6;0,26;Buena / Ona
16/06/2017;2;15;33;Muy buena / Oso ona;19;37;49;Muy buena / Oso ona;21;Muy buena / Oso ona;;;;;358;91;1016,4;18,5;0,59;Muy buena / Oso ona
15/06/2017;2;11;23;Muy buena / Oso ona;14;44;55;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;12;96;1013,6;17,4;0,45;Muy buena / Oso ona
14/06/2017;3;20;39;Muy buena / Oso ona;25;41;59;Muy buena / Oso ona;32;Buena / Ona;;;;;19;92;1007,1;19,7;0,83;Buena / Ona
13/06/2017;5;23;38;Muy buena / Oso ona;31;29;53;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;;;25;86;1006,6;19,3;0,3;Muy buena / Oso ona
12/06/2017;2;15;28;Muy buena / Oso ona;18;32;43;Muy buena / Oso ona;20;Muy buena / Oso ona;;;;;347;91;1011,3;18,3;0,69;Muy buena / Oso ona
11/06/2017;2;12;23;Muy buena / Oso ona;15;41;63;Buena / Ona;30;Buena / Ona;;;;;23;88;1011,5;19,2;0,85;Buena / Ona
10/06/2017;4;16;23;Muy buena / Oso ona;22;36;58;Muy buena / Oso ona;29;Buena / Ona;;;;;59;87;1009,7;19,5;0,46;Buena / Ona
09/06/2017;4;19;35;Muy buena / Oso ona;26;29;46;Muy buena / Oso ona;20;Muy buena / Oso ona;;;;;99;87;1009,1;17,5;0,15;Muy buena / Oso ona
08/06/2017;3;20;37;Muy buena / Oso ona;25;50;69;Buena / Ona;25;Muy buena / Oso ona;;;;;161;77;1005,6;19,7;0,55;Buena / Ona
07/06/2017;4;22;52;Buena / Ona;29;43;72;Buena / Ona;25;Muy buena / Oso ona;;;;;181;74;1012,4;18,2;0,34;Buena / Ona
06/06/2017;1;9;16;Muy buena / Oso ona;11;60;65;Buena / Ona;18;Muy buena / Oso ona;;;;;6;80;1011,1;15,7;0,63;Buena / Ona
05/06/2017;3;17;38;Muy buena / Oso ona;22;45;71;Buena / Ona;17;Muy buena / Oso ona;;;;;174;78;1007,4;17,4;0,69;Buena / Ona
04/06/2017;1;9;18;Muy buena / Oso ona;12;39;55;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;251;95;1012,9;13,2;0,06;Muy buena / Oso ona
03/06/2017;2;13;33;Muy buena / Oso ona;16;37;52;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;232;95;1012,2;15;0,01;Muy buena / Oso ona
02/06/2017;2;21;41;Muy buena / Oso ona;24;41;59;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;;;11;96;1010,3;17,1;0,41;Muy buena / Oso ona
01/06/2017;6;21;35;Muy buena / Oso ona;29;45;76;Buena / Ona;24;Muy buena / Oso ona;;;;;45;84;1009,8;20,1;0,39;Buena / Ona
31/05/2017;4;20;30;Muy buena / Oso ona;26;36;61;Buena / Ona;20;Muy buena / Oso ona;;;;;16;84;1011,2;19,1;0,41;Buena / Ona
30/05/2017;2;15;27;Muy buena / Oso ona;18;42;53;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;;3;92;1011,2;16,7;0,31;Muy buena / Oso ona
29/05/2017;2;17;35;Muy buena / Oso ona;20;52;65;Buena / Ona;30;Buena / Ona;;;;;10;95;1007,7;16,8;0,72;Buena / Ona
28/05/2017;2;18;33;Muy buena / Oso ona;22;52;60;Muy buena / Oso ona;44;Buena / Ona;;;;;28;87;1005,3;18,9;0,84;Buena / Ona
27/05/2017;4;31;90;Buena / Ona;37;47;69;Buena / Ona;44;Buena / Ona;;;;;105;84;1005,1;20,7;0,08;Buena / Ona
26/05/2017;3;21;33;Muy buena / Oso ona;25;74;106;Mejorable / Hobetzeko modukoa;26;Buena / Ona;;;;;158;78;1004,3;20,9;0,67;Mejorable / Hobetzeko modukoa
25/05/2017;3;23;40;Muy buena / Oso ona;28;82;125;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;;;;;171;67;1004,2;25,1;0,66;Mejorable / Hobetzeko modukoa
24/05/2017;5;26;42;Muy buena / Oso ona;33;51;72;Buena / Ona;28;Buena / Ona;;;;;33;76;1010,3;21,1;0,12;Buena / Ona
23/05/2017;3;18;31;Muy buena / Oso ona;22;48;67;Buena / Ona;28;Buena / Ona;;;;;17;79;1015,1;16,5;0,64;Buena / Ona
22/05/2017;4;19;62;Buena / Ona;25;65;79;Buena / Ona;38;Buena / Ona;;;;;25;77;1009,9;17,9;1,02;Buena / Ona
