Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
22/02/2017;14;24;48;Muy buena / Oso ona;45;20;41;Muy buena / Oso ona;25;Muy buena / Oso ona;43;89;1014,2;0;84,1;8,2;0,8;Muy buena / Oso ona
21/02/2017;10;20;32;Muy buena / Oso ona;35;34;70;Buena / Ona;15;Muy buena / Oso ona;42;84;1019,5;0;76,4;8,1;0,83;Buena / Ona
20/02/2017;14;25;43;Muy buena / Oso ona;47;31;63;Buena / Ona;21;Muy buena / Oso ona;47;85;1021,3;0;46,1;9,9;0,4;Buena / Ona
19/02/2017;4;18;37;Muy buena / Oso ona;24;40;82;Buena / Ona;20;Muy buena / Oso ona;25;87;1020,2;0;42,7;10,9;0,63;Buena / Ona
18/02/2017;9;21;40;Muy buena / Oso ona;35;33;72;Buena / Ona;21;Muy buena / Oso ona;19;84;1014,8;0;63,5;9,4;0,87;Buena / Ona
17/02/2017;26;29;54;Buena / Ona;70;27;67;Buena / Ona;25;Muy buena / Oso ona;357;73;1020,2;0;95;10,8;0,5;Buena / Ona
16/02/2017;32;33;66;Buena / Ona;82;29;66;Buena / Ona;28;Buena / Ona;215;72;1022,9;0;76,9;11,9;0,35;Buena / Ona
15/02/2017;12;24;63;Buena / Ona;42;48;70;Buena / Ona;17;Muy buena / Oso ona;211;61;1022,3;0;65,7;14,3;1,52;Buena / Ona
14/02/2017;25;26;56;Buena / Ona;63;31;42;Muy buena / Oso ona;15;Muy buena / Oso ona;213;70;1013,3;0,1;42,8;11,6;1,18;Buena / Ona
13/02/2017;7;17;50;Muy buena / Oso ona;27;58;90;Buena / Ona;24;Muy buena / Oso ona;190;65;998,9;2,7;40,5;13,7;2,17;Buena / Ona
12/02/2017;2;10;22;Muy buena / Oso ona;14;56;86;Buena / Ona;28;Buena / Ona;180;68;997,3;2,7;43,3;12;1,28;Buena / Ona
11/02/2017;9;22;42;Muy buena / Oso ona;36;24;42;Muy buena / Oso ona;21;Muy buena / Oso ona;27;90;1006,9;1,5;37,7;6,4;0,76;Muy buena / Oso ona
10/02/2017;8;22;50;Muy buena / Oso ona;35;51;71;Buena / Ona;14;Muy buena / Oso ona;220;54;1004,5;0;75,4;10,5;1,41;Buena / Ona
09/02/2017;13;24;47;Muy buena / Oso ona;44;37;59;Muy buena / Oso ona;12;Muy buena / Oso ona;183;83;1011,2;1,1;52,1;7,5;0,32;Muy buena / Oso ona
08/02/2017;6;16;34;Muy buena / Oso ona;25;69;86;Buena / Ona;9;Muy buena / Oso ona;269;82;1019,9;24,7;46,7;7,7;1,5;Buena / Ona
07/02/2017;20;26;58;Buena / Ona;56;37;73;Buena / Ona;12;Muy buena / Oso ona;257;91;1015,5;15,4;33,2;9,9;1,04;Buena / Ona
06/02/2017;31;34;68;Buena / Ona;82;29;83;Buena / Ona;17;Muy buena / Oso ona;226;94;1016,3;14,3;26,9;9,2;0,53;Buena / Ona
05/02/2017;2;7;14;Muy buena / Oso ona;10;79;83;Buena / Ona;9;Muy buena / Oso ona;252;74;1006;17,2;38,7;9,4;2,32;Buena / Ona
04/02/2017;5;18;42;Muy buena / Oso ona;26;55;81;Buena / Ona;11;Muy buena / Oso ona;230;81;999,4;9,1;25,9;12,4;1,11;Buena / Ona
03/02/2017;5;12;27;Muy buena / Oso ona;19;77;80;Buena / Ona;10;Muy buena / Oso ona;200;47;999,8;0,3;42,3;14,5;3,18;Buena / Ona
02/02/2017;6;17;36;Muy buena / Oso ona;25;60;66;Buena / Ona;9;Muy buena / Oso ona;203;58;1000,3;4,5;30,4;13,8;2,22;Buena / Ona
01/02/2017;25;27;64;Buena / Ona;66;37;53;Muy buena / Oso ona;19;Muy buena / Oso ona;213;60;1005,3;0;53,5;15;1,68;Buena / Ona
31/01/2017;22;26;68;Buena / Ona;60;32;49;Muy buena / Oso ona;17;Muy buena / Oso ona;204;62;1006,4;0;43,5;14,8;1,77;Buena / Ona
30/01/2017;42;31;60;Buena / Ona;95;19;34;Muy buena / Oso ona;16;Muy buena / Oso ona;206;76;1010,5;0;52,1;13,6;0,95;Buena / Ona
29/01/2017;10;23;45;Muy buena / Oso ona;37;28;65;Buena / Ona;10;Muy buena / Oso ona;225;78;1013,3;0,5;43,1;10;1,05;Buena / Ona
28/01/2017;12;24;42;Muy buena / Oso ona;43;35;59;Muy buena / Oso ona;14;Muy buena / Oso ona;227;77;1012,9;0,2;29,2;8,6;0,23;Muy buena / Oso ona
27/01/2017;;;;Sin datos / Daturik gabe;;54;78;Buena / Ona;18;Muy buena / Oso ona;202;63;1000,9;0,6;43,8;10,9;1,73;Buena / Ona
26/01/2017;;;;Sin datos / Daturik gabe;;44;67;Buena / Ona;20;Muy buena / Oso ona;208;67;1005,4;0;30,8;8,8;1,6;Buena / Ona
25/01/2017;15;28;58;Buena / Ona;51;28;58;Muy buena / Oso ona;18;Muy buena / Oso ona;22;79;1015,5;0;48;4,4;0,36;Buena / Ona
24/01/2017;33;36;66;Buena / Ona;87;23;56;Muy buena / Oso ona;26;Buena / Ona;20;84;1019,3;0;53,5;5,3;0,55;Buena / Ona
23/01/2017;36;33;70;Buena / Ona;89;21;50;Muy buena / Oso ona;26;Buena / Ona;19;87;1016;0;47,9;5,9;0,56;Buena / Ona
22/01/2017;12;27;61;Buena / Ona;46;22;41;Muy buena / Oso ona;17;Muy buena / Oso ona;220;85;1014;0;40,6;6,6;0,06;Buena / Ona
21/01/2017;24;28;46;Muy buena / Oso ona;65;19;45;Muy buena / Oso ona;21;Muy buena / Oso ona;349;82;1014,3;0,1;38,2;6;0,15;Muy buena / Oso ona
20/01/2017;26;27;38;Muy buena / Oso ona;66;12;26;Muy buena / Oso ona;22;Muy buena / Oso ona;44;87;1016,6;0;32,7;;0,23;Muy buena / Oso ona
19/01/2017;19;30;57;Buena / Ona;58;20;28;Muy buena / Oso ona;21;Muy buena / Oso ona;169;80;1018,4;0;32,7;2,4;0,18;Buena / Ona
18/01/2017;12;26;46;Muy buena / Oso ona;45;28;62;Buena / Ona;19;Muy buena / Oso ona;64;76;1019;0;10,7;1,1;0,6;Buena / Ona
17/01/2017;6;10;25;Muy buena / Oso ona;19;61;66;Buena / Ona;8;Muy buena / Oso ona;42;66;1019,6;3,2;50,1;4,6;2,15;Buena / Ona
16/01/2017;5;10;25;Muy buena / Oso ona;18;69;84;Buena / Ona;5;Muy buena / Oso ona;29;92;1017,6;100,5;18,4;10,2;1,6;Buena / Ona
15/01/2017;2;10;21;Muy buena / Oso ona;13;74;76;Buena / Ona;6;Muy buena / Oso ona;277;87;1021,2;73,1;14,6;8,3;1,39;Buena / Ona
14/01/2017;4;18;38;Muy buena / Oso ona;24;56;65;Buena / Ona;7;Muy buena / Oso ona;236;93;1020,4;29,9;25,4;5,1;0,46;Buena / Ona
