Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;ICA Estación
08/10/2017;5;13;35;Muy buena / Oso ona;21;36;76;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
07/10/2017;5;14;37;Muy buena / Oso ona;21;38;78;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
06/10/2017;2;5;20;Muy buena / Oso ona;9;59;64;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
05/10/2017;14;13;26;Muy buena / Oso ona;34;37;60;Muy buena / Oso ona;20;Muy buena / Oso ona;Muy buena / Oso ona
04/10/2017;6;14;35;Muy buena / Oso ona;23;29;56;Muy buena / Oso ona;15;Muy buena / Oso ona;Muy buena / Oso ona
03/10/2017;9;10;26;Muy buena / Oso ona;24;18;40;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;13;15;33;Muy buena / Oso ona;35;23;37;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
01/10/2017;5;13;25;Muy buena / Oso ona;21;26;47;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
30/09/2017;3;11;16;Muy buena / Oso ona;15;38;64;Buena / Ona;17;Muy buena / Oso ona;Buena / Ona
29/09/2017;4;11;27;Muy buena / Oso ona;17;81;102;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
28/09/2017;2;7;14;Muy buena / Oso ona;10;91;100;Buena / Ona;20;Muy buena / Oso ona;Buena / Ona
27/09/2017;10;20;42;Muy buena / Oso ona;34;53;80;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
26/09/2017;5;18;41;Muy buena / Oso ona;26;49;76;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
25/09/2017;4;11;43;Muy buena / Oso ona;17;60;68;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
24/09/2017;6;18;47;Muy buena / Oso ona;27;55;95;Buena / Ona;23;Muy buena / Oso ona;Buena / Ona
23/09/2017;3;12;28;Muy buena / Oso ona;17;59;94;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
22/09/2017;6;14;28;Muy buena / Oso ona;23;40;70;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
21/09/2017;11;19;40;Muy buena / Oso ona;36;48;88;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
20/09/2017;10;25;48;Muy buena / Oso ona;40;34;77;Buena / Ona;20;Muy buena / Oso ona;Buena / Ona
19/09/2017;4;16;38;Muy buena / Oso ona;22;49;82;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
18/09/2017;4;13;30;Muy buena / Oso ona;19;41;53;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
17/09/2017;2;9;18;Muy buena / Oso ona;12;47;74;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
16/09/2017;3;10;22;Muy buena / Oso ona;15;53;72;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
15/09/2017;6;12;33;Muy buena / Oso ona;21;46;66;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
14/09/2017;3;8;19;Muy buena / Oso ona;13;55;71;Buena / Ona;20;Muy buena / Oso ona;Buena / Ona
13/09/2017;11;14;29;Muy buena / Oso ona;31;36;69;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
12/09/2017;4;12;27;Muy buena / Oso ona;18;50;66;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
11/09/2017;4;9;31;Muy buena / Oso ona;16;47;63;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
10/09/2017;1;5;14;Muy buena / Oso ona;7;62;70;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
09/09/2017;2;5;10;Muy buena / Oso ona;8;59;65;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
08/09/2017;5;12;25;Muy buena / Oso ona;20;46;79;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
07/09/2017;1;5;13;Muy buena / Oso ona;8;62;74;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
06/09/2017;2;6;23;Muy buena / Oso ona;9;53;69;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
05/09/2017;2;7;14;Muy buena / Oso ona;10;45;72;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
04/09/2017;4;10;22;Muy buena / Oso ona;16;35;59;Muy buena / Oso ona;14;Muy buena / Oso ona;Muy buena / Oso ona
03/09/2017;2;11;22;Muy buena / Oso ona;14;47;82;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
02/09/2017;2;9;19;Muy buena / Oso ona;12;52;78;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
01/09/2017;3;8;25;Muy buena / Oso ona;12;51;78;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
31/08/2017;3;8;25;Muy buena / Oso ona;13;56;72;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
30/08/2017;4;9;25;Muy buena / Oso ona;16;60;85;Buena / Ona;23;Muy buena / Oso ona;Buena / Ona
29/08/2017;3;10;33;Muy buena / Oso ona;15;63;90;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
28/08/2017;4;15;35;Muy buena / Oso ona;21;52;68;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
27/08/2017;1;6;11;Muy buena / Oso ona;8;66;76;Buena / Ona;27;Buena / Ona;Buena / Ona
26/08/2017;1;6;12;Muy buena / Oso ona;9;69;90;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
25/08/2017;3;10;26;Muy buena / Oso ona;15;59;96;Buena / Ona;19;Muy buena / Oso ona;Buena / Ona
24/08/2017;2;7;15;Muy buena / Oso ona;10;74;99;Buena / Ona;30;Buena / Ona;Buena / Ona
23/08/2017;2;11;19;Muy buena / Oso ona;15;52;81;Buena / Ona;35;Buena / Ona;Buena / Ona
22/08/2017;1;6;16;Muy buena / Oso ona;8;93;117;Mejorable / Hobetzeko modukoa;34;Buena / Ona;Mejorable / Hobetzeko modukoa
21/08/2017;5;13;34;Muy buena / Oso ona;21;64;96;Buena / Ona;23;Muy buena / Oso ona;Buena / Ona
20/08/2017;1;8;30;Muy buena / Oso ona;10;55;85;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
19/08/2017;1;4;11;Muy buena / Oso ona;6;63;81;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
18/08/2017;2;6;15;Muy buena / Oso ona;9;56;71;Buena / Ona;19;Muy buena / Oso ona;Buena / Ona
17/08/2017;3;11;28;Muy buena / Oso ona;16;55;85;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
16/08/2017;2;6;15;Muy buena / Oso ona;9;50;70;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
15/08/2017;1;4;8;Muy buena / Oso ona;6;63;89;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
14/08/2017;1;6;11;Muy buena / Oso ona;8;82;100;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
13/08/2017;2;8;14;Muy buena / Oso ona;11;53;78;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
12/08/2017;2;7;16;Muy buena / Oso ona;10;55;79;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
11/08/2017;2;9;32;Muy buena / Oso ona;12;55;80;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
10/08/2017;1;5;11;Muy buena / Oso ona;7;62;73;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
09/08/2017;1;3;7;Muy buena / Oso ona;5;66;77;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
08/08/2017;1;4;12;Muy buena / Oso ona;6;68;75;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
07/08/2017;1;7;19;Muy buena / Oso ona;9;68;80;Buena / Ona;17;Muy buena / Oso ona;Buena / Ona
06/08/2017;1;3;8;Muy buena / Oso ona;4;68;72;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
05/08/2017;1;3;9;Muy buena / Oso ona;5;46;65;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
04/08/2017;2;5;12;Muy buena / Oso ona;8;55;77;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
03/08/2017;2;7;13;Muy buena / Oso ona;10;71;98;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
02/08/2017;3;11;21;Muy buena / Oso ona;16;64;95;Buena / Ona;32;Buena / Ona;Buena / Ona
01/08/2017;2;7;11;Muy buena / Oso ona;10;57,86;68;Buena / Ona;17;Muy buena / Oso ona;Buena / Ona
31/07/2017;2;5;13;Muy buena / Oso ona;8;53,05;57;Muy buena / Oso ona;13;Muy buena / Oso ona;Muy buena / Oso ona
30/07/2017;1;6;15;Muy buena / Oso ona;8;51,67;73;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
29/07/2017;1;10;18;Muy buena / Oso ona;12;64,6;105;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
28/07/2017;1;6;14;Muy buena / Oso ona;8;51,63;83;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
27/07/2017;4;9;25;Muy buena / Oso ona;15;46;76;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
26/07/2017;3;8;26;Muy buena / Oso ona;13;47;65;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
25/07/2017;1;3;14;Muy buena / Oso ona;5;64;74;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
24/07/2017;5;5;21;Muy buena / Oso ona;12;42;49;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;1;3;11;Muy buena / Oso ona;5;60;72;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
22/07/2017;3;8;21;Muy buena / Oso ona;12;50;78;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
21/07/2017;3;9;19;Muy buena / Oso ona;13;49;65;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
20/07/2017;2;3;10;Muy buena / Oso ona;6;55;70;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
19/07/2017;1;5;11;Muy buena / Oso ona;8;82;94;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
18/07/2017;1;6;14;Muy buena / Oso ona;9;100;105;Mejorable / Hobetzeko modukoa;28;Buena / Ona;Mejorable / Hobetzeko modukoa
17/07/2017;1;5;11;Muy buena / Oso ona;8;93;111;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
16/07/2017;1;7;16;Muy buena / Oso ona;9;66;92;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
15/07/2017;1;7;12;Muy buena / Oso ona;9;63;76;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
14/07/2017;4;4;10;Muy buena / Oso ona;10;59;65;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
13/07/2017;2;5;9;Muy buena / Oso ona;9;62;65;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
12/07/2017;5;9;25;Muy buena / Oso ona;17;47;70;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
11/07/2017;4;9;16;Muy buena / Oso ona;15;49;78;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
10/07/2017;3;4;12;Muy buena / Oso ona;9;50;70;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
09/07/2017;1;4;7;Muy buena / Oso ona;6;79;95;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
08/07/2017;1;4;8;Muy buena / Oso ona;6;69;90;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
07/07/2017;3;12;40;Muy buena / Oso ona;17;72;103;Mejorable / Hobetzeko modukoa;29;Buena / Ona;Mejorable / Hobetzeko modukoa
06/07/2017;3;11;29;Muy buena / Oso ona;16;69;83;Buena / Ona;28;Buena / Ona;Buena / Ona
05/07/2017;3;8;20;Muy buena / Oso ona;13;90;106;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
04/07/2017;2;7;12;Muy buena / Oso ona;10;70;105;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
03/07/2017;4;10;14;Muy buena / Oso ona;16;38;66;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
02/07/2017;2;4;13;Muy buena / Oso ona;7;54;69;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
01/07/2017;1;3;8;Muy buena / Oso ona;6;53;66;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
30/06/2017;4;6;19;Muy buena / Oso ona;12;46;69;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
29/06/2017;3;7;15;Muy buena / Oso ona;13;45;59;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
28/06/2017;4;6;19;Muy buena / Oso ona;12;51;67;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
27/06/2017;3;7;19;Muy buena / Oso ona;11;38;65;Buena / Ona;19;Muy buena / Oso ona;Buena / Ona
26/06/2017;2;4;11;Muy buena / Oso ona;7;68;84;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
25/06/2017;1;5;16;Muy buena / Oso ona;7;53;70;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
24/06/2017;1;1;4;Muy buena / Oso ona;3;74;79;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
23/06/2017;1;3;7;Muy buena / Oso ona;5;73;80;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
22/06/2017;2;9;16;Muy buena / Oso ona;12;90;114;Mejorable / Hobetzeko modukoa;29;Buena / Ona;Mejorable / Hobetzeko modukoa
21/06/2017;2;12;21;Muy buena / Oso ona;16;86;129;Mejorable / Hobetzeko modukoa;33;Buena / Ona;Mejorable / Hobetzeko modukoa
20/06/2017;2;9;23;Muy buena / Oso ona;12;77;116;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
19/06/2017;1;4;11;Muy buena / Oso ona;6;107;125;Mejorable / Hobetzeko modukoa;26;Buena / Ona;Mejorable / Hobetzeko modukoa
18/06/2017;1;8;29;Muy buena / Oso ona;10;85;122;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
17/06/2017;1;6;12;Muy buena / Oso ona;8;69;102;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
16/06/2017;2;5;10;Muy buena / Oso ona;8;66;84;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
15/06/2017;2;3;11;Muy buena / Oso ona;6;53;69;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
14/06/2017;2;8;14;Muy buena / Oso ona;11;69;116;Mejorable / Hobetzeko modukoa;31;Buena / Ona;Mejorable / Hobetzeko modukoa
13/06/2017;2;8;19;Muy buena / Oso ona;12;65;102;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
12/06/2017;3;8;14;Muy buena / Oso ona;12;45;68;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
11/06/2017;1;3;10;Muy buena / Oso ona;5;68;88;Buena / Ona;23;Muy buena / Oso ona;Buena / Ona
10/06/2017;1;6;11;Muy buena / Oso ona;8;72;99;Buena / Ona;17;Muy buena / Oso ona;Buena / Ona
09/06/2017;4;10;22;Muy buena / Oso ona;16;58;83;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
08/06/2017;2;8;15;Muy buena / Oso ona;11;75;95;Buena / Ona;19;Muy buena / Oso ona;Buena / Ona
07/06/2017;3;10;26;Muy buena / Oso ona;14;50;85;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
06/06/2017;1;4;16;Muy buena / Oso ona;6;63;76;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
05/06/2017;4;10;22;Muy buena / Oso ona;16;60;82;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
04/06/2017;2;2;6;Muy buena / Oso ona;5;57;64;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
03/06/2017;1;2;8;Muy buena / Oso ona;5;61;66;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
02/06/2017;2;9;17;Muy buena / Oso ona;13;67;96;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
01/06/2017;2;9;16;Muy buena / Oso ona;12;70;111;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
31/05/2017;2;6;14;Muy buena / Oso ona;9;70;97;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
30/05/2017;1;5;10;Muy buena / Oso ona;8;68;90;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
29/05/2017;2;7;11;Muy buena / Oso ona;10;93;120;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
28/05/2017;1;2;7;Muy buena / Oso ona;4;109;121;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
27/05/2017;1;4;10;Muy buena / Oso ona;6;99;121;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
26/05/2017;3;9;34;Muy buena / Oso ona;14;92;115;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
25/05/2017;3;11;22;Muy buena / Oso ona;15;94;116;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
24/05/2017;3;14;25;Muy buena / Oso ona;19;67;110;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
23/05/2017;2;10;19;Muy buena / Oso ona;14;75;102;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
22/05/2017;2;8;20;Muy buena / Oso ona;11;88;108;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
21/05/2017;1;7;23;Muy buena / Oso ona;9;80;102;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/05/2017;3;11;22;Muy buena / Oso ona;16;52;80;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
19/05/2017;3;9;28;Muy buena / Oso ona;14;62;85;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
18/05/2017;2;5;9;Muy buena / Oso ona;7;72;80;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
17/05/2017;2;13;24;Muy buena / Oso ona;16;72;97;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
16/05/2017;5;17;36;Muy buena / Oso ona;24;69;102;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/05/2017;7;19;40;Muy buena / Oso ona;29;60;99;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
14/05/2017;2;11;37;Muy buena / Oso ona;14;66;89;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
13/05/2017;2;10;20;Muy buena / Oso ona;13;72;90;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
12/05/2017;3;12;32;Muy buena / Oso ona;16;68;85;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
11/05/2017;2;9;17;Muy buena / Oso ona;13;84;86;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
10/05/2017;2;8;16;Muy buena / Oso ona;11;86;107;Mejorable / Hobetzeko modukoa;10;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
09/05/2017;4;15;35;Muy buena / Oso ona;21;71;105;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
08/05/2017;4;13;29;Muy buena / Oso ona;18;61;94;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
07/05/2017;2;8;18;Muy buena / Oso ona;10;62;93;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
06/05/2017;2;7;15;Muy buena / Oso ona;10;76;86;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
05/05/2017;1;6;11;Muy buena / Oso ona;8;93;104;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
04/05/2017;2;11;22;Muy buena / Oso ona;14;74;101;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
03/05/2017;3;11;30;Muy buena / Oso ona;17;49;87;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
02/05/2017;5;15;39;Muy buena / Oso ona;23;47;77;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
01/05/2017;2;11;35;Muy buena / Oso ona;14;57;88;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
30/04/2017;;;;Sin datos / Daturik gabe;7;76;95;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
29/04/2017;1;6;19;Muy buena / Oso ona;8;82;93;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
28/04/2017;4;12;43;Muy buena / Oso ona;18;71;104;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
27/04/2017;;;;Sin datos / Daturik gabe;9;84;97;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
26/04/2017;;;;Sin datos / Daturik gabe;4;88;93;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
25/04/2017;;;;Sin datos / Daturik gabe;13;74;90;Buena / Ona;19;Muy buena / Oso ona;Buena / Ona
24/04/2017;9;18;48;Muy buena / Oso ona;28;72;116;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
23/04/2017;2;16;35;Muy buena / Oso ona;16;81;134;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
22/04/2017;1;7;21;Muy buena / Oso ona;8;110;123;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
21/04/2017;;;;Sin datos / Daturik gabe;6;113;121;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/04/2017;;;;Sin datos / Daturik gabe;23;72;110;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
19/04/2017;2;11;32;Muy buena / Oso ona;13;90;116;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
18/04/2017;;;;Sin datos / Daturik gabe;16;66;102;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
17/04/2017;;;;Sin datos / Daturik gabe;9;65;89;Buena / Ona;20;Muy buena / Oso ona;Buena / Ona
16/04/2017;;;;Sin datos / Daturik gabe;8;67;88;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
15/04/2017;;;;Sin datos / Daturik gabe;6;78;94;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
14/04/2017;;;;Sin datos / Daturik gabe;12;69;96;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
13/04/2017;;;;Sin datos / Daturik gabe;15;68;109;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
12/04/2017;4;14;34;Muy buena / Oso ona;18;66;101;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
11/04/2017;;;;Sin datos / Daturik gabe;7;94;108;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
10/04/2017;13;20;49;Muy buena / Oso ona;32;81;111;Mejorable / Hobetzeko modukoa;27;Buena / Ona;Mejorable / Hobetzeko modukoa
09/04/2017;;;;Sin datos / Daturik gabe;7;112;120;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
08/04/2017;;;;Sin datos / Daturik gabe;11;108;112;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
07/04/2017;3;12;26;Muy buena / Oso ona;15;80;102;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
06/04/2017;;;;Sin datos / Daturik gabe;7;91;103;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
05/04/2017;;;;Sin datos / Daturik gabe;4;86;92;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
04/04/2017;;;;Sin datos / Daturik gabe;6;82;94;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
03/04/2017;;;;Sin datos / Daturik gabe;15;72;96;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
02/04/2017;;;;Sin datos / Daturik gabe;5;91;98;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
