Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);V.vien (m/s);ICA Estación
01/09/2017;8;10;21;Muy buena / Oso ona;22;34;65;Buena / Ona;302;0,65;Buena / Ona
31/08/2017;4;11;39;Muy buena / Oso ona;16;39;59;Muy buena / Oso ona;323;0,28;Muy buena / Oso ona
30/08/2017;6;12;26;Muy buena / Oso ona;21;37;59;Muy buena / Oso ona;299;0,44;Muy buena / Oso ona
29/08/2017;5;14;25;Muy buena / Oso ona;21;42;77;Buena / Ona;284;0,27;Buena / Ona
28/08/2017;7;16;30;Muy buena / Oso ona;26;24;43;Muy buena / Oso ona;126;0,61;Muy buena / Oso ona
27/08/2017;5;11;23;Muy buena / Oso ona;18;22;43;Muy buena / Oso ona;143;0,79;Muy buena / Oso ona
26/08/2017;3;6;14;Muy buena / Oso ona;10;38;62;Buena / Ona;294;0,28;Buena / Ona
25/08/2017;3;5;14;Muy buena / Oso ona;10;37;54;Muy buena / Oso ona;6;0,54;Muy buena / Oso ona
24/08/2017;3;6;19;Muy buena / Oso ona;10;46;57;Muy buena / Oso ona;322;0,63;Muy buena / Oso ona
23/08/2017;6;8;34;Muy buena / Oso ona;17;36;56;Muy buena / Oso ona;16;0,65;Muy buena / Oso ona
22/08/2017;3;8;25;Muy buena / Oso ona;13;58;87;Buena / Ona;305;0,83;Buena / Ona
21/08/2017;7;11;32;Muy buena / Oso ona;21;44;85;Buena / Ona;44;0,96;Buena / Ona
20/08/2017;3;5;12;Muy buena / Oso ona;10;33;59;Muy buena / Oso ona;39;1;Muy buena / Oso ona
19/08/2017;2;3;8;Muy buena / Oso ona;7;37;58;Muy buena / Oso ona;32;1,19;Muy buena / Oso ona
18/08/2017;6;11;29;Muy buena / Oso ona;20;31;60;Muy buena / Oso ona;310;0,38;Muy buena / Oso ona
17/08/2017;7;10;25;Muy buena / Oso ona;20;33;65;Buena / Ona;335;0,37;Buena / Ona
16/08/2017;3;5;13;Muy buena / Oso ona;11;27;50;Muy buena / Oso ona;359;0,46;Muy buena / Oso ona
15/08/2017;3;5;8;Muy buena / Oso ona;9;25;40;Muy buena / Oso ona;312;0,37;Muy buena / Oso ona
14/08/2017;5;9;17;Muy buena / Oso ona;17;36;72;Buena / Ona;152;0,48;Buena / Ona
13/08/2017;5;8;21;Muy buena / Oso ona;15;32;59;Muy buena / Oso ona;18;0,63;Muy buena / Oso ona
12/08/2017;4;6;14;Muy buena / Oso ona;12;34;61;Buena / Ona;37;0,64;Buena / Ona
11/08/2017;6;7;24;Muy buena / Oso ona;17;35;65;Buena / Ona;335;0,63;Buena / Ona
10/08/2017;4;11;38;Muy buena / Oso ona;17;35;59;Muy buena / Oso ona;298;0,34;Muy buena / Oso ona
09/08/2017;3;9;24;Muy buena / Oso ona;13;43;65;Buena / Ona;300;0,85;Buena / Ona
08/08/2017;3;10;27;Muy buena / Oso ona;15;41;61;Buena / Ona;283;0,62;Buena / Ona
07/08/2017;3;8;24;Muy buena / Oso ona;13;45;67;Buena / Ona;302;0,9;Buena / Ona
06/08/2017;2;4;18;Muy buena / Oso ona;8;40;63;Buena / Ona;8;0,79;Buena / Ona
05/08/2017;2;4;10;Muy buena / Oso ona;8;38;48;Muy buena / Oso ona;305;0,75;Muy buena / Oso ona
04/08/2017;4;7;26;Muy buena / Oso ona;14;33;49;Muy buena / Oso ona;351;0,61;Muy buena / Oso ona
03/08/2017;5;6;19;Muy buena / Oso ona;14;43;71;Buena / Ona;338;0,58;Buena / Ona
02/08/2017;6;8;22;Muy buena / Oso ona;17;38;72;Buena / Ona;294;0,48;Buena / Ona
01/08/2017;7;11;26;Muy buena / Oso ona;23;25;51;Muy buena / Oso ona;9;0,52;Muy buena / Oso ona
31/07/2017;3;10;17;Muy buena / Oso ona;15;24;42;Muy buena / Oso ona;289;0,64;Muy buena / Oso ona
30/07/2017;4;8;20;Muy buena / Oso ona;15;25;47;Muy buena / Oso ona;313;0,47;Muy buena / Oso ona
29/07/2017;5;9;19;Muy buena / Oso ona;17;36;68;Buena / Ona;34;0,4;Buena / Ona
28/07/2017;3;6;20;Muy buena / Oso ona;10;36;54;Muy buena / Oso ona;307;0,53;Muy buena / Oso ona
27/07/2017;6;8;28;Muy buena / Oso ona;18;35;58;Muy buena / Oso ona;303;0,61;Muy buena / Oso ona
26/07/2017;6;9;24;Muy buena / Oso ona;19;38;74;Buena / Ona;296;0,39;Buena / Ona
25/07/2017;3;7;16;Muy buena / Oso ona;11;34;59;Muy buena / Oso ona;306;0,39;Muy buena / Oso ona
24/07/2017;3;6;17;Muy buena / Oso ona;12;33;40;Muy buena / Oso ona;288;1,24;Muy buena / Oso ona
23/07/2017;3;8;16;Muy buena / Oso ona;13;38;65;Buena / Ona;284;0,51;Buena / Ona
22/07/2017;7;9;17;Muy buena / Oso ona;21;29;56;Muy buena / Oso ona;310;0,42;Muy buena / Oso ona
21/07/2017;6;13;28;Muy buena / Oso ona;23;21;41;Muy buena / Oso ona;312;0,42;Muy buena / Oso ona
20/07/2017;3;10;24;Muy buena / Oso ona;14;35;52;Muy buena / Oso ona;278;0,49;Muy buena / Oso ona
19/07/2017;2;8;28;Muy buena / Oso ona;11;52;73;Buena / Ona;341;0,6;Buena / Ona
18/07/2017;2;7;16;Muy buena / Oso ona;11;73;82;Buena / Ona;202;1,82;Buena / Ona
17/07/2017;8;16;51;Buena / Ona;28;42;88;Buena / Ona;64;0,5;Buena / Ona
16/07/2017;3;7;18;Muy buena / Oso ona;11;46;83;Buena / Ona;33;0,87;Buena / Ona
15/07/2017;2;4;11;Muy buena / Oso ona;7;38;57;Muy buena / Oso ona;17;1,11;Muy buena / Oso ona
14/07/2017;2;5;13;Muy buena / Oso ona;8;35;55;Muy buena / Oso ona;36;1,25;Muy buena / Oso ona
13/07/2017;3;6;15;Muy buena / Oso ona;10;32;50;Muy buena / Oso ona;336;0,44;Muy buena / Oso ona
12/07/2017;10;12;31;Muy buena / Oso ona;27;28;52;Muy buena / Oso ona;291;0,35;Muy buena / Oso ona
11/07/2017;5;11;22;Muy buena / Oso ona;19;34;62;Buena / Ona;284;0,58;Buena / Ona
10/07/2017;3;9;25;Muy buena / Oso ona;13;35;52;Muy buena / Oso ona;293;0,76;Muy buena / Oso ona
09/07/2017;2;4;8;Muy buena / Oso ona;7;59;72;Buena / Ona;308;0,86;Buena / Ona
08/07/2017;2;4;9;Muy buena / Oso ona;7;60;77;Buena / Ona;302;0,99;Buena / Ona
07/07/2017;3;8;27;Muy buena / Oso ona;12;42;59;Muy buena / Oso ona;293;1,05;Muy buena / Oso ona
06/07/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
05/07/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
04/07/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
03/07/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
02/07/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe
01/07/2017;3;7;14;Muy buena / Oso ona;11;44;53;Muy buena / Oso ona;282;0,89;Muy buena / Oso ona
30/06/2017;4;16;32;Muy buena / Oso ona;22;37;56;Muy buena / Oso ona;260;1,09;Muy buena / Oso ona
29/06/2017;2;9;17;Muy buena / Oso ona;12;52;59;Muy buena / Oso ona;276;1,94;Muy buena / Oso ona
28/06/2017;2;8;23;Muy buena / Oso ona;11;43;60;Muy buena / Oso ona;282;1,9;Muy buena / Oso ona
27/06/2017;3;8;26;Muy buena / Oso ona;13;27;50;Muy buena / Oso ona;317;0,45;Muy buena / Oso ona
26/06/2017;3;9;23;Muy buena / Oso ona;14;29;50;Muy buena / Oso ona;286;0,5;Muy buena / Oso ona
25/06/2017;1;5;12;Muy buena / Oso ona;8;29;53;Muy buena / Oso ona;58;0,77;Muy buena / Oso ona
24/06/2017;1;6;13;Muy buena / Oso ona;7;34;44;Muy buena / Oso ona;305;0,52;Muy buena / Oso ona
23/06/2017;1;9;15;Muy buena / Oso ona;11;40;52;Muy buena / Oso ona;301;0,58;Muy buena / Oso ona
22/06/2017;1;6;13;Muy buena / Oso ona;7;63;97;Buena / Ona;317;0,99;Buena / Ona
21/06/2017;3;17;42;Muy buena / Oso ona;21;83;139;Mejorable / Hobetzeko modukoa;44;0,41;Mejorable / Hobetzeko modukoa
20/06/2017;3;16;40;Muy buena / Oso ona;21;68;106;Mejorable / Hobetzeko modukoa;197;0,24;Mejorable / Hobetzeko modukoa
19/06/2017;2;11;24;Muy buena / Oso ona;13;81;118;Mejorable / Hobetzeko modukoa;191;1,44;Mejorable / Hobetzeko modukoa
18/06/2017;2;10;22;Muy buena / Oso ona;13;60;100;Buena / Ona;22;0,78;Buena / Ona
17/06/2017;2;7;21;Muy buena / Oso ona;10;47;85;Buena / Ona;34;1;Buena / Ona
16/06/2017;2;8;30;Muy buena / Oso ona;11;39;50;Muy buena / Oso ona;17;0,78;Muy buena / Oso ona
15/06/2017;1;7;15;Muy buena / Oso ona;8;53;65;Buena / Ona;308;0,89;Buena / Ona
14/06/2017;1;10;32;Muy buena / Oso ona;12;49;74;Buena / Ona;286;1,29;Buena / Ona
13/06/2017;2;8;14;Muy buena / Oso ona;11;37;64;Buena / Ona;302;0,42;Buena / Ona
12/06/2017;1;3;8;Muy buena / Oso ona;4;38;52;Muy buena / Oso ona;31;1,29;Muy buena / Oso ona
11/06/2017;1;6;14;Muy buena / Oso ona;8;45;63;Buena / Ona;300;1;Buena / Ona
10/06/2017;3;7;15;Muy buena / Oso ona;11;42;74;Buena / Ona;288;0,69;Buena / Ona
09/06/2017;5;11;32;Muy buena / Oso ona;18;32;53;Muy buena / Oso ona;37;0,92;Muy buena / Oso ona
08/06/2017;5;12;28;Muy buena / Oso ona;19;50;80;Buena / Ona;191;0,34;Buena / Ona
07/06/2017;3;9;24;Muy buena / Oso ona;13;42;72;Buena / Ona;57;1,27;Buena / Ona
06/06/2017;2;8;21;Muy buena / Oso ona;11;55;66;Buena / Ona;299;1,49;Buena / Ona
05/06/2017;3;13;33;Muy buena / Oso ona;17;44;73;Buena / Ona;52;0,1;Buena / Ona
04/06/2017;1;9;15;Muy buena / Oso ona;11;34;55;Muy buena / Oso ona;298;0,45;Muy buena / Oso ona
03/06/2017;1;10;24;Muy buena / Oso ona;12;37;52;Muy buena / Oso ona;282;0,48;Muy buena / Oso ona
02/06/2017;1;7;17;Muy buena / Oso ona;9;56;67;Buena / Ona;300;0,89;Buena / Ona
01/06/2017;5;10;24;Muy buena / Oso ona;18;43;73;Buena / Ona;333;0,61;Buena / Ona
31/05/2017;1;8;24;Muy buena / Oso ona;10;40;64;Buena / Ona;22;0,69;Buena / Ona
30/05/2017;1;5;10;Muy buena / Oso ona;6;45;56;Muy buena / Oso ona;16;0,72;Muy buena / Oso ona
29/05/2017;1;6;12;Muy buena / Oso ona;8;53;65;Buena / Ona;312;0,68;Buena / Ona
28/05/2017;1;7;14;Muy buena / Oso ona;9;62;80;Buena / Ona;191;0,65;Buena / Ona
27/05/2017;1;12;37;Muy buena / Oso ona;14;41;58;Muy buena / Oso ona;322;0,18;Muy buena / Oso ona
26/05/2017;2;13;30;Muy buena / Oso ona;16;76;115;Mejorable / Hobetzeko modukoa;307;0,47;Mejorable / Hobetzeko modukoa
25/05/2017;5;12;40;Muy buena / Oso ona;20;75;123;Mejorable / Hobetzeko modukoa;66;0,68;Mejorable / Hobetzeko modukoa
24/05/2017;2;8;23;Muy buena / Oso ona;11;60;92;Buena / Ona;52;1;Buena / Ona
23/05/2017;1;4;12;Muy buena / Oso ona;6;53;68;Buena / Ona;31;1,02;Buena / Ona
22/05/2017;2;8;32;Muy buena / Oso ona;11;70;86;Buena / Ona;300;1,15;Buena / Ona
21/05/2017;2;9;15;Muy buena / Oso ona;12;58;86;Buena / Ona;146;1,66;Buena / Ona
20/05/2017;1;10;24;Muy buena / Oso ona;12;43;70;Buena / Ona;43;0,7;Buena / Ona
19/05/2017;5;11;29;Muy buena / Oso ona;19;43;77;Buena / Ona;310;0,74;Buena / Ona
18/05/2017;2;9;31;Muy buena / Oso ona;11;61;74;Buena / Ona;294;1,35;Buena / Ona
17/05/2017;7;17;49;Muy buena / Oso ona;27;38;73;Buena / Ona;317;0,36;Buena / Ona
16/05/2017;4;18;36;Muy buena / Oso ona;24;52;93;Buena / Ona;307;0,63;Buena / Ona
15/05/2017;4;16;41;Muy buena / Oso ona;23;49;84;Buena / Ona;289;0,43;Buena / Ona
14/05/2017;1;6;18;Muy buena / Oso ona;8;49;75;Buena / Ona;53;0,77;Buena / Ona
13/05/2017;1;9;22;Muy buena / Oso ona;11;51;75;Buena / Ona;37;0,9;Buena / Ona
12/05/2017;2;7;17;Muy buena / Oso ona;9;69;82;Buena / Ona;189;1,59;Buena / Ona
11/05/2017;1;7;23;Muy buena / Oso ona;9;77;80;Buena / Ona;206;2,69;Buena / Ona
10/05/2017;2;15;32;Muy buena / Oso ona;19;54;84;Buena / Ona;232;0,8;Buena / Ona
09/05/2017;5;11;36;Muy buena / Oso ona;19;49;82;Buena / Ona;36;1,13;Buena / Ona
08/05/2017;4;9;40;Muy buena / Oso ona;15;47;76;Buena / Ona;38;1,36;Buena / Ona
07/05/2017;2;8;22;Muy buena / Oso ona;11;48;78;Buena / Ona;44;1,04;Buena / Ona
06/05/2017;1;5;16;Muy buena / Oso ona;7;56;82;Buena / Ona;315;0,38;Buena / Ona
05/05/2017;1;9;23;Muy buena / Oso ona;11;66;86;Buena / Ona;149;1,42;Buena / Ona
04/05/2017;3;8;21;Muy buena / Oso ona;12;52;86;Buena / Ona;45;1,4;Buena / Ona
03/05/2017;2;7;24;Muy buena / Oso ona;10;45;72;Buena / Ona;36;1,03;Buena / Ona
02/05/2017;6;14;32;Muy buena / Oso ona;23;35;70;Buena / Ona;310;0,49;Buena / Ona
01/05/2017;1;8;14;Muy buena / Oso ona;9;47;80;Buena / Ona;38;0,23;Buena / Ona
30/04/2017;1;8;17;Muy buena / Oso ona;10;72;91;Buena / Ona;177;1,46;Buena / Ona
29/04/2017;2;9;19;Muy buena / Oso ona;12;58;85;Buena / Ona;147;2,78;Buena / Ona
28/04/2017;7;15;50;Muy buena / Oso ona;26;46;90;Buena / Ona;51;1,31;Buena / Ona
27/04/2017;4;13;41;Muy buena / Oso ona;20;46;84;Buena / Ona;359;0,77;Buena / Ona
26/04/2017;2;10;51;Buena / Ona;13;60;77;Buena / Ona;313;0,75;Buena / Ona
25/04/2017;3;22;44;Muy buena / Oso ona;27;43;65;Buena / Ona;277;0,37;Buena / Ona
24/04/2017;4;17;40;Muy buena / Oso ona;23;55;87;Buena / Ona;330;0,68;Buena / Ona
23/04/2017;2;10;26;Muy buena / Oso ona;13;70;114;Mejorable / Hobetzeko modukoa;46;1,32;Mejorable / Hobetzeko modukoa
22/04/2017;1;10;24;Muy buena / Oso ona;12;88;115;Mejorable / Hobetzeko modukoa;103;0,38;Mejorable / Hobetzeko modukoa
21/04/2017;4;17;44;Muy buena / Oso ona;24;65;112;Mejorable / Hobetzeko modukoa;59;1,56;Mejorable / Hobetzeko modukoa
20/04/2017;5;14;52;Buena / Ona;22;68;96;Buena / Ona;50;1,92;Buena / Ona
19/04/2017;1;8;32;Muy buena / Oso ona;10;77;99;Buena / Ona;37;1,74;Buena / Ona
18/04/2017;6;12;55;Buena / Ona;20;49;87;Buena / Ona;25;1,06;Buena / Ona
17/04/2017;2;9;23;Muy buena / Oso ona;12;48;83;Buena / Ona;39;1,15;Buena / Ona
16/04/2017;2;6;20;Muy buena / Oso ona;9;48;77;Buena / Ona;48;1,24;Buena / Ona
15/04/2017;2;8;25;Muy buena / Oso ona;10;52;84;Buena / Ona;314;0,76;Buena / Ona
14/04/2017;2;17;43;Muy buena / Oso ona;19;49;84;Buena / Ona;239;0,5;Buena / Ona
13/04/2017;2;12;29;Muy buena / Oso ona;16;52;93;Buena / Ona;299;0,73;Buena / Ona
12/04/2017;5;13;38;Muy buena / Oso ona;21;48;90;Buena / Ona;37;1,12;Buena / Ona
11/04/2017;2;10;28;Muy buena / Oso ona;13;63;90;Buena / Ona;2;0,72;Buena / Ona
10/04/2017;2;12;37;Muy buena / Oso ona;15;75;97;Buena / Ona;289;1,05;Buena / Ona
09/04/2017;2;14;22;Muy buena / Oso ona;17;61;102;Mejorable / Hobetzeko modukoa;287;0,71;Mejorable / Hobetzeko modukoa
08/04/2017;3;15;33;Muy buena / Oso ona;19;58;104;Mejorable / Hobetzeko modukoa;144;0,24;Mejorable / Hobetzeko modukoa
07/04/2017;6;14;37;Muy buena / Oso ona;22;46;85;Buena / Ona;41;0,99;Buena / Ona
06/04/2017;2;10;30;Muy buena / Oso ona;14;51;88;Buena / Ona;17;0,93;Buena / Ona
05/04/2017;1;9;40;Muy buena / Oso ona;12;63;77;Buena / Ona;313;0,96;Buena / Ona
04/04/2017;3;8;32;Muy buena / Oso ona;13;56;82;Buena / Ona;307;1,02;Buena / Ona
03/04/2017;11;17;42;Muy buena / Oso ona;34;45;81;Buena / Ona;50;0,61;Buena / Ona
02/04/2017;1;5;17;Muy buena / Oso ona;8;72;87;Buena / Ona;322;0,91;Buena / Ona
01/04/2017;2;8;16;Muy buena / Oso ona;10;64;89;Buena / Ona;288;1,66;Buena / Ona
31/03/2017;5;18;51;Buena / Ona;25;57;95;Buena / Ona;77;0,18;Buena / Ona
30/03/2017;3;14;38;Muy buena / Oso ona;19;73;99;Buena / Ona;159;2,28;Buena / Ona
29/03/2017;6;18;42;Muy buena / Oso ona;28;47;88;Buena / Ona;78;0,97;Buena / Ona
28/03/2017;3;12;31;Muy buena / Oso ona;17;54;90;Buena / Ona;72;0,19;Buena / Ona
27/03/2017;2;10;34;Muy buena / Oso ona;13;77;88;Buena / Ona;156;2,4;Buena / Ona
26/03/2017;1;5;11;Muy buena / Oso ona;7;76;86;Buena / Ona;139;3,13;Buena / Ona
25/03/2017;1;11;21;Muy buena / Oso ona;13;59;73;Buena / Ona;190;0,98;Buena / Ona
24/03/2017;7;15;41;Muy buena / Oso ona;26;49;86;Buena / Ona;43;1;Buena / Ona
23/03/2017;6;18;50;Muy buena / Oso ona;26;51;85;Buena / Ona;176;1,11;Buena / Ona
22/03/2017;3;19;40;Muy buena / Oso ona;24;49;71;Buena / Ona;232;0,51;Buena / Ona
21/03/2017;3;18;38;Muy buena / Oso ona;23;46;83;Buena / Ona;315;0,46;Buena / Ona
20/03/2017;3;15;31;Muy buena / Oso ona;19;57;79;Buena / Ona;281;0,27;Buena / Ona
19/03/2017;3;8;19;Muy buena / Oso ona;14;50;81;Buena / Ona;309;0,72;Buena / Ona
18/03/2017;2;8;21;Muy buena / Oso ona;12;52;72;Buena / Ona;28;0,61;Buena / Ona
17/03/2017;4;17;50;Muy buena / Oso ona;23;60;81;Buena / Ona;289;0,91;Buena / Ona
16/03/2017;4;18;46;Muy buena / Oso ona;25;52;95;Buena / Ona;141;1,28;Buena / Ona
15/03/2017;7;15;45;Muy buena / Oso ona;25;33;69;Buena / Ona;19;0,55;Buena / Ona
14/03/2017;3;12;36;Muy buena / Oso ona;17;43;65;Buena / Ona;352;0,63;Buena / Ona
13/03/2017;1;6;12;Muy buena / Oso ona;8;73;83;Buena / Ona;318;1,64;Buena / Ona
12/03/2017;2;6;10;Muy buena / Oso ona;9;75;85;Buena / Ona;296;2,1;Buena / Ona
11/03/2017;4;15;39;Muy buena / Oso ona;22;55;89;Buena / Ona;324;1,01;Buena / Ona
10/03/2017;15;26;72;Buena / Ona;49;31;68;Buena / Ona;73;0,62;Buena / Ona
09/03/2017;4;19;56;Buena / Ona;25;36;54;Muy buena / Oso ona;68;0,43;Buena / Ona
08/03/2017;6;13;53;Buena / Ona;22;44;64;Buena / Ona;28;0,5;Buena / Ona
07/03/2017;10;22;53;Buena / Ona;38;28;55;Muy buena / Oso ona;295;0,39;Buena / Ona
06/03/2017;4;18;47;Muy buena / Oso ona;24;53;83;Buena / Ona;262;1,45;Buena / Ona
05/03/2017;2;12;37;Muy buena / Oso ona;16;55;71;Buena / Ona;216;1,63;Buena / Ona
04/03/2017;2;13;34;Muy buena / Oso ona;17;58;81;Buena / Ona;238;1,19;Buena / Ona
03/03/2017;2;20;29;Muy buena / Oso ona;24;66;82;Buena / Ona;163;1,33;Buena / Ona
02/03/2017;3;20;68;Buena / Ona;25;23;52;Muy buena / Oso ona;91;0,43;Buena / Ona
01/03/2017;2;0;0;Muy buena / Oso ona;3;35;62;Buena / Ona;170;0,78;Buena / Ona
28/02/2017;1;0;0;Muy buena / Oso ona;2;50;70;Buena / Ona;268;1,13;Buena / Ona
27/02/2017;2;0;0;Muy buena / Oso ona;3;45;80;Buena / Ona;200;1,12;Buena / Ona
