Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
08/09/2017;0,36;0,17;0,23;Muy buena / Oso ona;0,44;19;28;50;Muy buena / Oso ona;57;2,03;20;Muy buena / Oso ona;6;Muy buena / Oso ona;2,53;Muy buena / Oso ona
07/09/2017;0,99;0,19;0,24;Muy buena / Oso ona;1,42;21;30;52;Buena / Ona;62;4,1;22;Muy buena / Oso ona;6;Muy buena / Oso ona;6,27;Buena / Ona
06/09/2017;0,23;0,11;0,17;Muy buena / Oso ona;0,19;10;21;40;Muy buena / Oso ona;36;0,48;17;Muy buena / Oso ona;5;Muy buena / Oso ona;0,8;Muy buena / Oso ona
05/09/2017;0,25;0,19;0,25;Muy buena / Oso ona;0,49;21;24;40;Muy buena / Oso ona;56;2,07;15;Muy buena / Oso ona;6;Muy buena / Oso ona;2,9;Muy buena / Oso ona
04/09/2017;0,36;0,25;0,35;Muy buena / Oso ona;0,47;31;25;41;Muy buena / Oso ona;73;1,96;18;Muy buena / Oso ona;6;Muy buena / Oso ona;3,45;Muy buena / Oso ona
03/09/2017;0,25;0,23;0,34;Muy buena / Oso ona;0,3;16;29;59;Buena / Ona;53;1,24;17;Muy buena / Oso ona;6;Muy buena / Oso ona;1,58;Buena / Ona
02/09/2017;0,36;0,21;0,35;Muy buena / Oso ona;0,36;15;28;62;Buena / Ona;51;1,28;14;Muy buena / Oso ona;5;Muy buena / Oso ona;1,95;Buena / Ona
01/09/2017;0,26;0,16;0,27;Muy buena / Oso ona;0,4;16;23;49;Muy buena / Oso ona;48;1,4;16;Muy buena / Oso ona;5;Muy buena / Oso ona;1,73;Muy buena / Oso ona
31/08/2017;0,31;0,22;;Sin datos / Daturik gabe;0,41;16;30;58;Buena / Ona;55;1,48;15;Muy buena / Oso ona;5;Muy buena / Oso ona;3,4;Buena / Ona
30/08/2017;0,13;0,17;0,22;Muy buena / Oso ona;0,27;13;20;49;Muy buena / Oso ona;41;0,93;19;Muy buena / Oso ona;5;Muy buena / Oso ona;3,23;Muy buena / Oso ona
29/08/2017;0,17;0,25;0,47;Muy buena / Oso ona;0,35;20;28;55;Buena / Ona;59;1,72;16;Muy buena / Oso ona;5;Muy buena / Oso ona;2,88;Buena / Ona
28/08/2017;0,28;0,31;0,44;Muy buena / Oso ona;0,72;41;45;68;Buena / Ona;108;3,7;31;Buena / Ona;6;Muy buena / Oso ona;5,79;Buena / Ona
27/08/2017;0,21;0,32;0,44;Muy buena / Oso ona;0,57;33;36;54;Buena / Ona;87;2,71;24;Muy buena / Oso ona;6;Muy buena / Oso ona;3,23;Buena / Ona
26/08/2017;0,11;0,16;0,23;Muy buena / Oso ona;0,21;11;20;40;Muy buena / Oso ona;37;0,74;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona
25/08/2017;0,11;0,16;0,23;Muy buena / Oso ona;0,21;15;19;42;Muy buena / Oso ona;42;0,8;16;Muy buena / Oso ona;5;Muy buena / Oso ona;1,04;Muy buena / Oso ona
24/08/2017;0,1;0,14;0,2;Muy buena / Oso ona;0,18;10;18;39;Muy buena / Oso ona;33;0,6;20;Muy buena / Oso ona;5;Muy buena / Oso ona;0,75;Muy buena / Oso ona
23/08/2017;0,79;0,18;0,24;Muy buena / Oso ona;1,12;14;25;51;Buena / Ona;47;2,72;28;Buena / Ona;5;Muy buena / Oso ona;1,86;Buena / Ona
22/08/2017;0,19;0,26;0,54;Muy buena / Oso ona;0,75;16;29;77;Buena / Ona;54;1,8;39;Buena / Ona;5;Muy buena / Oso ona;1,85;Buena / Ona
21/08/2017;0,29;0,35;0,55;Muy buena / Oso ona;0,48;23;41;93;Buena / Ona;76;2,15;23;Muy buena / Oso ona;6;Muy buena / Oso ona;2,82;Buena / Ona
20/08/2017;0,17;0,22;0,29;Muy buena / Oso ona;0,22;9;26;52;Buena / Ona;39;0,79;19;Muy buena / Oso ona;5;Muy buena / Oso ona;1,11;Buena / Ona
19/08/2017;0,17;0,22;0,28;Muy buena / Oso ona;0,22;10;24;48;Muy buena / Oso ona;40;0,73;18;Muy buena / Oso ona;5;Muy buena / Oso ona;0,97;Muy buena / Oso ona
18/08/2017;0,12;0,24;0,36;Muy buena / Oso ona;0,26;20;28;46;Muy buena / Oso ona;59;1,1;15;Muy buena / Oso ona;5;Muy buena / Oso ona;1,23;Muy buena / Oso ona
17/08/2017;0,41;0,28;0,42;Muy buena / Oso ona;0,33;17;26;47;Muy buena / Oso ona;52;1,34;17;Muy buena / Oso ona;5;Muy buena / Oso ona;1,66;Muy buena / Oso ona
16/08/2017;0,23;0,29;0,42;Muy buena / Oso ona;0,3;20;29;50;Muy buena / Oso ona;59;1,33;13;Muy buena / Oso ona;5;Muy buena / Oso ona;1,73;Muy buena / Oso ona
15/08/2017;0,09;0,2;0,25;Muy buena / Oso ona;0,49;10;17;41;Muy buena / Oso ona;32;2,48;15;Muy buena / Oso ona;5;Muy buena / Oso ona;0,65;Muy buena / Oso ona
14/08/2017;0,18;0,29;0,4;Muy buena / Oso ona;0,35;21;33;61;Buena / Ona;66;1,55;27;Buena / Ona;6;Muy buena / Oso ona;1,9;Buena / Ona
13/08/2017;0,22;0,28;0,4;Muy buena / Oso ona;0,37;16;27;52;Buena / Ona;51;1,47;17;Muy buena / Oso ona;5;Muy buena / Oso ona;1,51;Buena / Ona
12/08/2017;0,22;0,23;0,35;Muy buena / Oso ona;0,32;13;27;54;Buena / Ona;47;1,2;15;Muy buena / Oso ona;5;Muy buena / Oso ona;1,5;Buena / Ona
11/08/2017;0,18;0,21;0,25;Muy buena / Oso ona;0,33;15;23;51;Buena / Ona;46;1,19;19;Muy buena / Oso ona;5;Muy buena / Oso ona;1,28;Buena / Ona
10/08/2017;0,13;;;Sin datos / Daturik gabe;0,21;4;14;24;Muy buena / Oso ona;19;0,43;15;Muy buena / Oso ona;5;Muy buena / Oso ona;0,41;Muy buena / Oso ona
09/08/2017;0,12;;;Sin datos / Daturik gabe;0,36;7;20;42;Muy buena / Oso ona;30;1,1;12;Muy buena / Oso ona;5;Muy buena / Oso ona;0,59;Muy buena / Oso ona
08/08/2017;0,09;;;Sin datos / Daturik gabe;0,89;8;22;49;Muy buena / Oso ona;35;3,42;11;Muy buena / Oso ona;5;Muy buena / Oso ona;0,73;Muy buena / Oso ona
07/08/2017;0,82;0,17;0,24;Muy buena / Oso ona;1,19;15;24;51;Buena / Ona;47;3,03;21;Muy buena / Oso ona;5;Muy buena / Oso ona;2,33;Buena / Ona
06/08/2017;0,19;;;Sin datos / Daturik gabe;0,25;6;20;51;Buena / Ona;30;0,77;15;Muy buena / Oso ona;5;Muy buena / Oso ona;1,24;Buena / Ona
05/08/2017;0,09;0,12;0,25;Muy buena / Oso ona;0,2;12;21;35;Muy buena / Oso ona;39;0,65;9;Muy buena / Oso ona;5;Muy buena / Oso ona;1,33;Muy buena / Oso ona
04/08/2017;0,17;0,2;0,26;Muy buena / Oso ona;0,41;23;27;46;Muy buena / Oso ona;62;1,62;20;Muy buena / Oso ona;5;Muy buena / Oso ona;2,65;Muy buena / Oso ona
03/08/2017;0,15;0,18;0,22;Muy buena / Oso ona;0,5;17;25;46;Muy buena / Oso ona;50;2,13;17;Muy buena / Oso ona;5;Muy buena / Oso ona;1,8;Muy buena / Oso ona
02/08/2017;0,14;0,17;0,24;Muy buena / Oso ona;0,31;20;21;44;Muy buena / Oso ona;51;1,17;14;Muy buena / Oso ona;5;Muy buena / Oso ona;1,98;Muy buena / Oso ona
01/08/2017;0,17;0,19;0,24;Muy buena / Oso ona;0,26;19;30;49;Muy buena / Oso ona;59;1,07;16;Muy buena / Oso ona;5;Muy buena / Oso ona;1,54;Muy buena / Oso ona
31/07/2017;0,13;0,14;0,17;Muy buena / Oso ona;0,14;10;18;28;Muy buena / Oso ona;33;0,29;14;Muy buena / Oso ona;5;Muy buena / Oso ona;0,5;Muy buena / Oso ona
30/07/2017;0,09;0,16;0,2;Muy buena / Oso ona;0,17;12;25;44;Muy buena / Oso ona;43;0,57;16;Muy buena / Oso ona;5;Muy buena / Oso ona;0,75;Muy buena / Oso ona
29/07/2017;0,14;0,21;0,26;Muy buena / Oso ona;0,22;15;22;45;Muy buena / Oso ona;45;0,79;21;Muy buena / Oso ona;5;Muy buena / Oso ona;2,28;Muy buena / Oso ona
28/07/2017;0,13;0,21;0,27;Muy buena / Oso ona;0,26;16;24;42;Muy buena / Oso ona;48;1,02;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1,19;Muy buena / Oso ona
27/07/2017;0,21;0,2;0,29;Muy buena / Oso ona;1,12;15;22;41;Muy buena / Oso ona;45;1,14;19;Muy buena / Oso ona;5;Muy buena / Oso ona;3,25;Muy buena / Oso ona
26/07/2017;0,41;0,25;0,32;Muy buena / Oso ona;0,39;20;28;48;Muy buena / Oso ona;58;1,44;15;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona
25/07/2017;0,13;0,13;0,14;Muy buena / Oso ona;0,15;3;11;22;Muy buena / Oso ona;15;0,18;13;Muy buena / Oso ona;5;Muy buena / Oso ona;0,33;Muy buena / Oso ona
24/07/2017;0,14;0,14;0,18;Muy buena / Oso ona;0,14;6;12;19;Muy buena / Oso ona;21;0,2;9;Muy buena / Oso ona;5;Muy buena / Oso ona;0,41;Muy buena / Oso ona
23/07/2017;0,18;0,18;0,2;Muy buena / Oso ona;0,15;7;17;35;Muy buena / Oso ona;28;0,35;18;Muy buena / Oso ona;5;Muy buena / Oso ona;0,47;Muy buena / Oso ona
22/07/2017;0,27;0,19;0,21;Muy buena / Oso ona;0,27;11;21;31;Muy buena / Oso ona;37;0,89;17;Muy buena / Oso ona;5;Muy buena / Oso ona;1,08;Muy buena / Oso ona
21/07/2017;0,27;0,19;0,23;Muy buena / Oso ona;0,28;14;24;45;Muy buena / Oso ona;45;0,92;17;Muy buena / Oso ona;5;Muy buena / Oso ona;1,67;Muy buena / Oso ona
20/07/2017;0,29;0,17;0,21;Muy buena / Oso ona;0,21;9;23;33;Muy buena / Oso ona;36;0,48;10;Muy buena / Oso ona;5;Muy buena / Oso ona;0,65;Muy buena / Oso ona
19/07/2017;1,03;0,19;0,24;Muy buena / Oso ona;1,39;6;18;41;Muy buena / Oso ona;27;2,82;27;Buena / Ona;5;Muy buena / Oso ona;1,5;Buena / Ona
18/07/2017;0,29;0,24;0,38;Muy buena / Oso ona;0,5;8;30;64;Buena / Ona;42;1,67;33;Buena / Ona;5;Muy buena / Oso ona;1,49;Buena / Ona
17/07/2017;0,51;0,37;0,44;Muy buena / Oso ona;0,74;23;45;73;Buena / Ona;80;2,99;33;Buena / Ona;5;Muy buena / Oso ona;4,17;Buena / Ona
16/07/2017;0,29;0,25;0,31;Muy buena / Oso ona;0,29;10;24;54;Buena / Ona;39;0,86;19;Muy buena / Oso ona;5;Muy buena / Oso ona;1,14;Buena / Ona
15/07/2017;0,26;0,19;0,41;Muy buena / Oso ona;0,21;8;19;47;Muy buena / Oso ona;31;0,66;13;Muy buena / Oso ona;5;Muy buena / Oso ona;0,98;Muy buena / Oso ona
14/07/2017;0,33;0,29;0,43;Muy buena / Oso ona;0,36;15;22;45;Muy buena / Oso ona;45;1,24;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1,87;Muy buena / Oso ona
13/07/2017;0,19;0,18;0,23;Muy buena / Oso ona;0,28;11;17;40;Muy buena / Oso ona;33;0,81;9;Muy buena / Oso ona;5;Muy buena / Oso ona;1,79;Muy buena / Oso ona
12/07/2017;1,12;0,23;0,33;Muy buena / Oso ona;2,22;22;23;53;Buena / Ona;58;6,5;17;Muy buena / Oso ona;5;Muy buena / Oso ona;4,02;Buena / Ona
11/07/2017;0,39;0,24;0,26;Muy buena / Oso ona;0,69;12;23;56;Buena / Ona;41;2,41;10;Muy buena / Oso ona;5;Muy buena / Oso ona;1,38;Buena / Ona
10/07/2017;0,27;0,2;0,21;Muy buena / Oso ona;0,25;9;18;39;Muy buena / Oso ona;32;0,61;11;Muy buena / Oso ona;5;Muy buena / Oso ona;0,85;Muy buena / Oso ona
09/07/2017;0,15;0,18;0,2;Muy buena / Oso ona;0,16;3;11;18;Muy buena / Oso ona;16;0,22;19;Muy buena / Oso ona;4;Muy buena / Oso ona;0,34;Muy buena / Oso ona
08/07/2017;0,19;0,19;0,2;Muy buena / Oso ona;0,16;4;14;26;Muy buena / Oso ona;20;0,27;17;Muy buena / Oso ona;4;Muy buena / Oso ona;0,41;Muy buena / Oso ona
07/07/2017;0,38;0,26;0,37;Muy buena / Oso ona;0,77;13;22;51;Buena / Ona;43;2,97;23;Muy buena / Oso ona;5;Muy buena / Oso ona;10,75;Buena / Ona
06/07/2017;0,34;0,26;0,3;Muy buena / Oso ona;0,43;11;26;60;Buena / Ona;42;1,46;25;Muy buena / Oso ona;5;Muy buena / Oso ona;2,09;Buena / Ona
05/07/2017;0,7;0,34;0,76;Muy buena / Oso ona;0,66;18;28;108;Mejorable / Hobetzeko modukoa;56;3,26;31;Buena / Ona;5;Muy buena / Oso ona;3,5;Mejorable / Hobetzeko modukoa
04/07/2017;0,61;0,46;0,75;Muy buena / Oso ona;0,79;29;39;98;Buena / Ona;84;3,49;26;Buena / Ona;5;Muy buena / Oso ona;11,6;Buena / Ona
03/07/2017;0,35;0,29;0,34;Muy buena / Oso ona;0,43;21;22;41;Muy buena / Oso ona;53;1,48;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3,31;Muy buena / Oso ona
02/07/2017;0,21;0,23;0,28;Muy buena / Oso ona;0,23;10;20;37;Muy buena / Oso ona;35;0,43;14;Muy buena / Oso ona;5;Muy buena / Oso ona;0,91;Muy buena / Oso ona
01/07/2017;0,13;0,15;0,17;Muy buena / Oso ona;0,17;3;10;19;Muy buena / Oso ona;14;0,18;17;Muy buena / Oso ona;4;Muy buena / Oso ona;0,36;Muy buena / Oso ona
30/06/2017;0,25;0,17;0,22;Muy buena / Oso ona;0,21;8;21;46;Muy buena / Oso ona;33;0,46;16;Muy buena / Oso ona;5;Muy buena / Oso ona;0,7;Muy buena / Oso ona
29/06/2017;0,14;;;Sin datos / Daturik gabe;0,15;2;14;29;Muy buena / Oso ona;18;0,25;21;Muy buena / Oso ona;4;Muy buena / Oso ona;0,42;Muy buena / Oso ona
28/06/2017;0,36;;;Sin datos / Daturik gabe;0,32;16;21;48;Muy buena / Oso ona;45;0,91;23;Muy buena / Oso ona;4;Muy buena / Oso ona;1,29;Muy buena / Oso ona
27/06/2017;0,42;;;Sin datos / Daturik gabe;0,42;10;20;37;Muy buena / Oso ona;36;1,39;21;Muy buena / Oso ona;4;Muy buena / Oso ona;2,98;Muy buena / Oso ona
26/06/2017;0,17;0,19;;Sin datos / Daturik gabe;1,33;17;23;44;Muy buena / Oso ona;48;1,31;17;Muy buena / Oso ona;4;Muy buena / Oso ona;1,88;Muy buena / Oso ona
25/06/2017;0,12;0,13;;Sin datos / Daturik gabe;0,29;11;24;33;Muy buena / Oso ona;40;0,89;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1,6;Muy buena / Oso ona
24/06/2017;0,63;0,21;0,53;Muy buena / Oso ona;0,35;9;23;38;Muy buena / Oso ona;37;1,17;20;Muy buena / Oso ona;5;Muy buena / Oso ona;4,77;Muy buena / Oso ona
23/06/2017;0,24;0,16;0,24;Muy buena / Oso ona;0,22;9;22;56;Buena / Ona;35;0,53;26;Buena / Ona;4;Muy buena / Oso ona;0,98;Buena / Ona
22/06/2017;0,09;0,13;0,31;Muy buena / Oso ona;0,18;5;18;31;Muy buena / Oso ona;26;0,28;25;Muy buena / Oso ona;4;Muy buena / Oso ona;0,59;Muy buena / Oso ona
21/06/2017;0,55;0,34;0,43;Muy buena / Oso ona;1,52;22;54;96;Buena / Ona;88;6,13;33;Buena / Ona;5;Muy buena / Oso ona;9,6;Buena / Ona
20/06/2017;0,36;0,31;0,4;Muy buena / Oso ona;0,72;22;50;99;Buena / Ona;83;3,46;34;Buena / Ona;5;Muy buena / Oso ona;7,57;Buena / Ona
19/06/2017;0,55;0,43;0,77;Muy buena / Oso ona;1,01;44;48;137;Mejorable / Hobetzeko modukoa;115;5,28;36;Buena / Ona;5;Muy buena / Oso ona;6,32;Mejorable / Hobetzeko modukoa
18/06/2017;0,15;0,23;0,3;Muy buena / Oso ona;0,56;10;30;58;Buena / Ona;45;1,96;23;Muy buena / Oso ona;5;Muy buena / Oso ona;2,2;Buena / Ona
17/06/2017;0,17;0,21;0,28;Muy buena / Oso ona;0,56;11;26;52;Buena / Ona;44;1,92;24;Muy buena / Oso ona;4;Muy buena / Oso ona;4,71;Buena / Ona
16/06/2017;0,17;0,19;0,23;Muy buena / Oso ona;0,33;12;28;63;Buena / Ona;46;0,98;21;Muy buena / Oso ona;4;Muy buena / Oso ona;1,56;Buena / Ona
15/06/2017;0,14;0,15;0,17;Muy buena / Oso ona;0,25;6;18;27;Muy buena / Oso ona;27;0,54;16;Muy buena / Oso ona;4;Muy buena / Oso ona;0,79;Muy buena / Oso ona
14/06/2017;0,12;0,18;0,23;Muy buena / Oso ona;0,26;9;22;48;Muy buena / Oso ona;35;0,74;25;Muy buena / Oso ona;4;Muy buena / Oso ona;2,16;Muy buena / Oso ona
13/06/2017;0,19;0,19;0,23;Muy buena / Oso ona;0,28;12;24;46;Muy buena / Oso ona;42;0,85;29;Buena / Ona;4;Muy buena / Oso ona;1,66;Buena / Ona
