Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;CH4 (mg/m3);HCNM (mg/m3 HEX);D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
17/10/2017;3;19;43;Muy buena / Oso ona;24;56;70;Buena / Ona;26;Buena / Ona;2;Muy buena / Oso ona;;;179;76;979;19,2;0,27;Buena / Ona
16/10/2017;3;10;21;Muy buena / Oso ona;14;71;79;Buena / Ona;17;Muy buena / Oso ona;2;Muy buena / Oso ona;;;223;73;984;20,6;0,44;Buena / Ona
15/10/2017;3;7;15;Muy buena / Oso ona;11;70;88;Buena / Ona;20;Muy buena / Oso ona;2;Muy buena / Oso ona;;;183;59;983,6;24,1;0,75;Buena / Ona
14/10/2017;3;12;41;Muy buena / Oso ona;18;70;93;Buena / Ona;22;Muy buena / Oso ona;3;Muy buena / Oso ona;;;172;75;985;22,1;0,99;Buena / Ona
13/10/2017;7;24;61;Buena / Ona;34;60;71;Buena / Ona;25;Muy buena / Oso ona;5;Muy buena / Oso ona;;;333;81;986,2;18,8;0,7;Buena / Ona
12/10/2017;5;23;48;Muy buena / Oso ona;30;49;63;Buena / Ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;;;301;92;986,5;17;0,4;Buena / Ona
11/10/2017;4;18;32;Muy buena / Oso ona;24;63;68;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;310;74;986,9;18,1;0,72;Buena / Ona
10/10/2017;8;22;41;Muy buena / Oso ona;34;47;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;10;Muy buena / Oso ona;;;313;94;991,6;15,5;0,53;Muy buena / Oso ona
09/10/2017;7;20;37;Muy buena / Oso ona;31;58;66;Buena / Ona;10;Muy buena / Oso ona;14;Muy buena / Oso ona;;;297;83;993,2;14,7;0,68;Buena / Ona
08/10/2017;5;18;45;Muy buena / Oso ona;25;60;77;Buena / Ona;12;Muy buena / Oso ona;13;Muy buena / Oso ona;;;318;92;993,9;14,4;0,78;Buena / Ona
07/10/2017;5;13;23;Muy buena / Oso ona;22;58;70;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;316;100;995,3;13,8;0,38;Buena / Ona
06/10/2017;4;13;20;Muy buena / Oso ona;19;59;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;331;100;992,6;14,6;1,2;Muy buena / Oso ona
05/10/2017;4;15;25;Muy buena / Oso ona;21;45;68;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;;330;100;986,8;17;1,26;Buena / Ona
04/10/2017;9;20;37;Muy buena / Oso ona;33;21;33;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;5;100;985,4;18,7;0,54;Muy buena / Oso ona
03/10/2017;9;20;31;Muy buena / Oso ona;34;14;26;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;322;100;986,1;17,9;0,83;Muy buena / Oso ona
02/10/2017;6;22;43;Muy buena / Oso ona;32;23;40;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;;279;100;987,2;17,9;0,3;Muy buena / Oso ona
01/10/2017;3;10;27;Muy buena / Oso ona;16;38;56;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;;257;100;985,8;16,3;1,35;Muy buena / Oso ona
30/09/2017;3;10;19;Muy buena / Oso ona;15;59;68;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;313;100;984,8;15,3;0,56;Buena / Ona
29/09/2017;5;23;43;Muy buena / Oso ona;31;55;73;Buena / Ona;20;Muy buena / Oso ona;7;Muy buena / Oso ona;;;326;92;984,1;18,7;1,14;Buena / Ona
28/09/2017;4;23;59;Buena / Ona;29;68;83;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;;;299;73;983,3;21,3;0,54;Buena / Ona
27/09/2017;5;21;42;Muy buena / Oso ona;29;59;65;Buena / Ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;;;313;79;981,9;19;0,84;Buena / Ona
26/09/2017;6;14;42;Muy buena / Oso ona;23;49;62;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;;288;98;983,9;16,5;0,09;Buena / Ona
25/09/2017;4;12;37;Muy buena / Oso ona;18;60;73;Buena / Ona;9;Muy buena / Oso ona;8;Muy buena / Oso ona;;;297;99;984,8;16,2;1,4;Buena / Ona
24/09/2017;5;17;46;Muy buena / Oso ona;24;68;78;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;;;317;89;981,6;18,7;1,52;Buena / Ona
23/09/2017;3;13;33;Muy buena / Oso ona;18;68;92;Buena / Ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;;;257;89;981,4;19,5;0,59;Buena / Ona
22/09/2017;4;17;46;Muy buena / Oso ona;22;52;67;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;325;100;984,2;14,9;0,92;Buena / Ona
21/09/2017;6;18;51;Buena / Ona;28;58;74;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;;;311;89;981,2;16,7;1,01;Buena / Ona
20/09/2017;10;24;46;Muy buena / Oso ona;38;50;61;Buena / Ona;9;Muy buena / Oso ona;10;Muy buena / Oso ona;;;312;83;;16,2;0,34;Buena / Ona
19/09/2017;4;13;30;Muy buena / Oso ona;20;61;75;Buena / Ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;;;314;97;;14,6;0,81;Buena / Ona
18/09/2017;4;13;31;Muy buena / Oso ona;19;51;66;Buena / Ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;;290;100;;13,6;0,76;Buena / Ona
17/09/2017;3;5;14;Muy buena / Oso ona;11;64;71;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;279;85;980,7;14,1;2,05;Buena / Ona
16/09/2017;3;6;17;Muy buena / Oso ona;11;63;68;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;253;96;979,7;11,9;2,31;Buena / Ona
15/09/2017;4;7;12;Muy buena / Oso ona;12;57;62;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;251;97;980,8;12,3;2,22;Buena / Ona
14/09/2017;3;10;17;Muy buena / Oso ona;15;59;68;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;;308;92;984,4;15,1;2,15;Buena / Ona
13/09/2017;4;14;24;Muy buena / Oso ona;20;41;53;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;;311;97;983,6;18,3;0,92;Muy buena / Oso ona
12/09/2017;3;9;21;Muy buena / Oso ona;14;60;69;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;268;100;982;15,9;1,7;Buena / Ona
11/09/2017;3;8;15;Muy buena / Oso ona;13;57;66;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;292;99;978;16,2;3,43;Buena / Ona
10/09/2017;3;6;8;Muy buena / Oso ona;10;67;72;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;;264;92;977,4;15,5;3,13;Buena / Ona
09/09/2017;3;5;10;Muy buena / Oso ona;10;65;70;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;268;92;974,1;15,2;4,28;Buena / Ona
08/09/2017;4;11;23;Muy buena / Oso ona;17;60;75;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;;291;88;978,2;16,7;1,31;Buena / Ona
07/09/2017;4;9;19;Muy buena / Oso ona;15;59;67;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;;;310;90;984,9;16,8;1,01;Buena / Ona
06/09/2017;3;9;13;Muy buena / Oso ona;13;59;62;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;;;324;100;988,7;16,8;1,2;Buena / Ona
05/09/2017;5;14;24;Muy buena / Oso ona;21;45;60;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;;;317;99;985,8;19,1;1,12;Muy buena / Oso ona
04/09/2017;5;15;28;Muy buena / Oso ona;23;35;45;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;319;99;980,7;18,7;0,79;Muy buena / Oso ona
03/09/2017;4;12;25;Muy buena / Oso ona;18;50;58;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;;;327;85;978,6;19,1;0,64;Muy buena / Oso ona
02/09/2017;3;7;11;Muy buena / Oso ona;12;65;74;Buena / Ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;;;283;89;985,9;16,9;0,46;Buena / Ona
01/09/2017;3;7;12;Muy buena / Oso ona;12;63;70;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;290;95;985,9;16;1,95;Buena / Ona
31/08/2017;3;7;20;Muy buena / Oso ona;13;61;74;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;303;99;984,5;15,9;0,99;Buena / Ona
30/08/2017;4;12;27;Muy buena / Oso ona;18;54;67;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;;;310;100;978,8;18,1;1,74;Buena / Ona
29/08/2017;5;14;25;Muy buena / Oso ona;22;61;79;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;;300;95;977,5;19,7;1,04;Buena / Ona
28/08/2017;3;12;33;Muy buena / Oso ona;17;57;72;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;;231;82;978;21,7;1,56;Buena / Ona
27/08/2017;3;10;31;Muy buena / Oso ona;14;54;64;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;230;82;977,9;22,7;1,4;Buena / Ona
26/08/2017;4;15;29;Muy buena / Oso ona;21;47;60;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;;;6;99;977,7;20,8;0,53;Muy buena / Oso ona
25/08/2017;4;13;41;Muy buena / Oso ona;19;49;62;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;;336;100;979,3;19,4;0,97;Buena / Ona
24/08/2017;4;12;26;Muy buena / Oso ona;17;52;62;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;;;327;100;979,9;19,2;1,27;Buena / Ona
23/08/2017;4;15;26;Muy buena / Oso ona;20;48;59;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;;;354;94;981,3;19,3;0,75;Muy buena / Oso ona
22/08/2017;4;16;36;Muy buena / Oso ona;22;71;108;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;4;Muy buena / Oso ona;;;333;73;979,8;23,1;1,13;Mejorable / Hobetzeko modukoa
21/08/2017;6;18;39;Muy buena / Oso ona;27;80;117;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;92;64;979,6;24,5;0,3;Mejorable / Hobetzeko modukoa
20/08/2017;3;10;47;Muy buena / Oso ona;15;58;71;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;;19;85;;18,4;0,38;Buena / Ona
19/08/2017;3;7;19;Muy buena / Oso ona;12;61;67;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;;352;99;;18,2;0,83;Buena / Ona
18/08/2017;4;14;27;Muy buena / Oso ona;20;49;67;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;;;323;100;;18,9;1,13;Buena / Ona
17/08/2017;4;13;22;Muy buena / Oso ona;19;58;69;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;;316;85;;20,4;1,55;Buena / Ona
16/08/2017;4;14;25;Muy buena / Oso ona;21;45;63;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;;334;96;;19,7;0,99;Buena / Ona
15/08/2017;3;11;15;Muy buena / Oso ona;16;47;50;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;;333;100;;18,4;1,19;Muy buena / Oso ona
14/08/2017;3;14;28;Muy buena / Oso ona;19;62;83;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;;;301;83;;22,6;0,28;Buena / Ona
13/08/2017;3;9;16;Muy buena / Oso ona;14;54;65;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;;315;92;;18,4;1,08;Buena / Ona
12/08/2017;6;11;29;Muy buena / Oso ona;20;55;73;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;;;302;84;;17,2;1,04;Buena / Ona
11/08/2017;3;10;19;Muy buena / Oso ona;15;65;74;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;314;90;;16,4;1,53;Buena / Ona
10/08/2017;4;10;20;Muy buena / Oso ona;16;66;71;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;284;96;;15,3;3,17;Buena / Ona
09/08/2017;4;9;14;Muy buena / Oso ona;14;68;71;Buena / Ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;;283;90;;15,3;3,11;Buena / Ona
08/08/2017;3;10;15;Muy buena / Oso ona;15;63;69;Buena / Ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;;285;97;;15,8;2,24;Buena / Ona
07/08/2017;4;11;19;Muy buena / Oso ona;16;64;72;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;;297;99;979;18,1;2,1;Buena / Ona
06/08/2017;3;6;12;Muy buena / Oso ona;11;63;71;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;;344;98;985,1;17,7;1,47;Buena / Ona
05/08/2017;3;7;10;Muy buena / Oso ona;12;56;61;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;;;332;100;984,4;17,2;2,16;Buena / Ona
04/08/2017;4;11;21;Muy buena / Oso ona;17;48;61;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;;337;88;981,4;23,5;1,3;Buena / Ona
03/08/2017;5;14;38;Muy buena / Oso ona;23;57;73;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;320;95;982,1;20,8;1,6;Buena / Ona
02/08/2017;6;18;32;Muy buena / Oso ona;26;51;71;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;;333;99;981,7;19,7;1;Buena / Ona
01/08/2017;4;13;28;Muy buena / Oso ona;18;42;51;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;;333;100;980,2;18,4;0,42;Muy buena / Oso ona
31/07/2017;3;9;15;Muy buena / Oso ona;14;46;53;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;;339;100;977,2;17;0,97;Muy buena / Oso ona
30/07/2017;3;12;23;Muy buena / Oso ona;17;41;52;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;316;97;978,9;18,5;1,09;Muy buena / Oso ona
29/07/2017;4;11;32;Muy buena / Oso ona;18;53;59;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;;;328;75;979;22,7;0,63;Muy buena / Oso ona
28/07/2017;4;14;26;Muy buena / Oso ona;20;43;53;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;;338;100;981,4;19;0,99;Muy buena / Oso ona
27/07/2017;9;18;37;Muy buena / Oso ona;32;42;62;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;;;335;96;979,8;19,6;1,34;Buena / Ona
26/07/2017;7;17;35;Muy buena / Oso ona;28;59;79;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;324;97;981;17,9;1,18;Buena / Ona
25/07/2017;3;9;15;Muy buena / Oso ona;15;60;63;Buena / Ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;;;298;100;984,4;16,5;2,09;Buena / Ona
24/07/2017;5;12;16;Muy buena / Oso ona;19;40;49;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;;306;100;985,4;16,6;3,48;Muy buena / Oso ona
23/07/2017;3;10;16;Muy buena / Oso ona;14;56;72;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;;;315;93;984,3;18,1;1,3;Buena / Ona
22/07/2017;4;10;21;Muy buena / Oso ona;16;51;60;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;;;307;98;;17,3;1,54;Muy buena / Oso ona
21/07/2017;4;17;22;Muy buena / Oso ona;23;37;43;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;318;100;;15,8;0,94;Muy buena / Oso ona
20/07/2017;3;15;27;Muy buena / Oso ona;21;47;55;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;;318;100;980,7;15,7;1,28;Muy buena / Oso ona
19/07/2017;4;13;30;Muy buena / Oso ona;18;69;81;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;;;321;93;977,2;19,7;1,29;Buena / Ona
18/07/2017;4;15;32;Muy buena / Oso ona;21;79;88;Buena / Ona;22;Muy buena / Oso ona;3;Muy buena / Oso ona;;;341;77;974,2;23,2;1,52;Buena / Ona
17/07/2017;5;23;48;Muy buena / Oso ona;32;76;108;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;3;Muy buena / Oso ona;;;11;83;977,1;24,4;0,31;Mejorable / Hobetzeko modukoa
16/07/2017;3;11;23;Muy buena / Oso ona;16;75;92;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;;;333;92;983,8;20,8;1,09;Buena / Ona
15/07/2017;2;8;12;Muy buena / Oso ona;12;58;63;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;;4;99;986,3;18,2;0,96;Buena / Ona
14/07/2017;3;11;25;Muy buena / Oso ona;16;47;60;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;;356;98;986,6;17,9;1,09;Muy buena / Oso ona
13/07/2017;5;15;34;Muy buena / Oso ona;22;34;50;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;;;332;100;985,9;17,5;1,1;Muy buena / Oso ona
12/07/2017;5;16;36;Muy buena / Oso ona;24;36;46;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;;;328;99;984,4;18,7;1,19;Muy buena / Oso ona
11/07/2017;7;18;42;Muy buena / Oso ona;28;39;59;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;328;99;980,8;18,7;1;Muy buena / Oso ona
10/07/2017;8;16;25;Muy buena / Oso ona;28;38;52;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;330;100;980,5;17,1;1,44;Muy buena / Oso ona
09/07/2017;13;20;35;Muy buena / Oso ona;39;51;66;Buena / Ona;17;Muy buena / Oso ona;4;Muy buena / Oso ona;;;333;100;979,5;17,9;1,43;Buena / Ona
08/07/2017;29;34;77;Buena / Ona;77;45;58;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;;;337;100;981,2;17,5;1,57;Buena / Ona
07/07/2017;28;33;78;Buena / Ona;75;46;57;Muy buena / Oso ona;26;Buena / Ona;5;Muy buena / Oso ona;;;330;89;981,7;19,8;1,42;Buena / Ona
06/07/2017;14;33;67;Buena / Ona;54;37;52;Muy buena / Oso ona;31;Buena / Ona;4;Muy buena / Oso ona;;;2;87;979,7;20,7;0,29;Buena / Ona
05/07/2017;16;24;56;Buena / Ona;48;58;81;Buena / Ona;25;Muy buena / Oso ona;4;Muy buena / Oso ona;;;347;73;977;22,3;1,04;Buena / Ona
04/07/2017;11;20;42;Muy buena / Oso ona;37;58;94;Buena / Ona;23;Muy buena / Oso ona;4;Muy buena / Oso ona;;;106;74;978,3;25,3;0,35;Buena / Ona
03/07/2017;8;13;28;Muy buena / Oso ona;24;33;43;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;;;34;92;986,8;18,7;0,59;Muy buena / Oso ona
02/07/2017;3;11;18;Muy buena / Oso ona;16;46;57;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;320;95;990,2;16;1,06;Muy buena / Oso ona
01/07/2017;5;10;23;Muy buena / Oso ona;16;48;55;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;278;98;988,2;13,4;2,44;Muy buena / Oso ona
30/06/2017;3;9;15;Muy buena / Oso ona;14;51;63;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;260;91;980,7;13,1;3,2;Buena / Ona
29/06/2017;3;9;15;Muy buena / Oso ona;14;61;65;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;;273;70;974,6;15,7;3,6;Buena / Ona
28/06/2017;4;8;23;Muy buena / Oso ona;14;56;66;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;274;90;970,9;17,5;4;Buena / Ona
27/06/2017;6;20;30;Muy buena / Oso ona;29;36;51;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;;;336;100;973,7;17,8;1,03;Muy buena / Oso ona
26/06/2017;6;17;34;Muy buena / Oso ona;27;39;52;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;324;100;975,1;19,3;1,09;Muy buena / Oso ona
25/06/2017;3;12;23;Muy buena / Oso ona;16;44;55;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;47;100;980,7;18,4;0,21;Muy buena / Oso ona
24/06/2017;3;11;17;Muy buena / Oso ona;15;49;55;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;;;332;100;985,3;17,3;0,67;Muy buena / Oso ona
23/06/2017;3;16;30;Muy buena / Oso ona;20;51;59;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;;;325;100;986,6;17,7;1,17;Muy buena / Oso ona
22/06/2017;3;18;35;Muy buena / Oso ona;23;61;103;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;3;Muy buena / Oso ona;;;341;100;982,6;18,1;1,49;Mejorable / Hobetzeko modukoa
21/06/2017;4;25;43;Muy buena / Oso ona;31;99;137;Mejorable / Hobetzeko modukoa;54;Mejorable / Hobetzeko modukoa;4;Muy buena / Oso ona;;;316;62;978,7;27,8;1,02;Mejorable / Hobetzeko modukoa
20/06/2017;3;28;60;Buena / Ona;33;80;108;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;4;Muy buena / Oso ona;;;283;60;979,8;26,2;0,8;Mejorable / Hobetzeko modukoa
19/06/2017;2;16;38;Muy buena / Oso ona;20;110;134;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;4;Muy buena / Oso ona;;;209;60;;27,4;2,48;Mejorable / Hobetzeko modukoa
18/06/2017;3;21;61;Buena / Ona;27;98;115;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;4;Muy buena / Oso ona;;;325;79;;24,3;0,89;Mejorable / Hobetzeko modukoa
17/06/2017;4;18;28;Muy buena / Oso ona;24;68;99;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;;;329;97;;20,5;0,86;Buena / Ona
16/06/2017;3;18;35;Muy buena / Oso ona;23;54;65;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;6;100;;17,1;0,52;Buena / Ona
15/06/2017;3;20;33;Muy buena / Oso ona;24;58;64;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;;335;100;986,8;15,7;1,9;Buena / Ona
14/06/2017;4;25;45;Muy buena / Oso ona;31;53;64;Buena / Ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona;;;335;100;979,2;18,4;1,49;Buena / Ona
13/06/2017;7;36;61;Buena / Ona;47;39;55;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;;;342;100;978,7;18,8;0,77;Buena / Ona
12/06/2017;3;26;35;Muy buena / Oso ona;30;39;47;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;;9;100;983;18,9;0,77;Muy buena / Oso ona
11/06/2017;3;31;49;Muy buena / Oso ona;36;49;67;Buena / Ona;22;Muy buena / Oso ona;5;Muy buena / Oso ona;;;336;100;983,2;18,7;1,55;Buena / Ona
10/06/2017;5;54;89;Buena / Ona;62;42;64;Buena / Ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;;;348;97;981,6;18,8;0,91;Buena / Ona
09/06/2017;;;;Sin datos / Daturik gabe;;37;62;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;;;330;95;980,8;16,8;1,03;Buena / Ona
