Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
09/08/2017;1;1;6;Muy buena / Oso ona;3;68;76;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;273;78;1011,7;0,1;212,8;36,3;16,4;1,88;Buena / Ona
08/08/2017;1;1;3;Muy buena / Oso ona;3;64;76;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;266;79;1009,1;0,1;176,4;31;17,3;1,59;Buena / Ona
07/08/2017;1;4;16;Muy buena / Oso ona;6;64;77;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;288;82;1005,2;0;214,9;43,7;19,7;1,65;Buena / Ona
06/08/2017;1;0;2;Muy buena / Oso ona;2;71;80;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;1;69;1012,1;0;380,6;69,7;19,8;2,07;Buena / Ona
05/08/2017;1;0;0;Muy buena / Oso ona;2;57;62;Buena / Ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;349;93;1011,2;0,2;43,6;17,9;18,9;2,31;Buena / Ona
04/08/2017;1;2;5;Muy buena / Oso ona;4;56;67;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;349;78;1007,8;0;419,1;74,6;23,2;0,64;Buena / Ona
03/08/2017;1;2;4;Muy buena / Oso ona;4;55;64;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;340;85;1008,6;0;418,6;80,6;20,8;1,11;Buena / Ona
02/08/2017;1;1;5;Muy buena / Oso ona;3;49;60;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;346;82;1008,3;0;418,2;72,1;20,3;0,86;Muy buena / Oso ona
01/08/2017;2;1;2;Muy buena / Oso ona;4;47;58;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;313;85;1006,7;0;139,9;42,5;19,5;0,07;Muy buena / Oso ona
31/07/2017;1;1;3;Muy buena / Oso ona;3;47;54;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;313;90;1003,6;0;35,5;13,2;18,6;0,81;Muy buena / Oso ona
30/07/2017;1;1;3;Muy buena / Oso ona;3;49;55;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;306;83;1005,2;0;44,3;18,6;20,2;0,77;Muy buena / Oso ona
29/07/2017;1;3;6;Muy buena / Oso ona;5;55;76;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;348;75;1005,2;0;444,3;76;21,7;0,55;Buena / Ona
28/07/2017;1;1;5;Muy buena / Oso ona;3;49;58;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;337;86;1008,1;0;241,5;57,7;20,1;0,42;Muy buena / Oso ona
27/07/2017;1;3;11;Muy buena / Oso ona;6;56;84;Buena / Ona;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;337;88;1006,1;0;393;78,3;19,4;0,8;Buena / Ona
26/07/2017;1;4;10;Muy buena / Oso ona;6;63;84;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;357;82;1007,7;;380,8;78,2;18,3;0,51;Buena / Ona
25/07/2017;1;0;2;Muy buena / Oso ona;2;59;67;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;272;81;1011,3;;108,9;27,2;17,9;1,02;Buena / Ona
24/07/2017;1;0;2;Muy buena / Oso ona;2;46;52;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;286;89;1012,3;;137,6;42,2;18,4;2,52;Muy buena / Oso ona
23/07/2017;1;3;9;Muy buena / Oso ona;5;47;65;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;299;77;1011,1;;329,4;66,7;19,3;0,94;Buena / Ona
22/07/2017;1;2;6;Muy buena / Oso ona;4;47;63;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;294;81;1006,9;;206;45,6;18,2;0,71;Buena / Ona
21/07/2017;1;4;9;Muy buena / Oso ona;6;32;48;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;233;92;1004,2;;76,3;30,5;16,5;0,37;Muy buena / Oso ona
20/07/2017;1;2;5;Muy buena / Oso ona;4;46;59;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;267;92;1004,2;0;75,4;34,4;16,9;0,76;Muy buena / Oso ona
19/07/2017;1;2;6;Muy buena / Oso ona;4;69;90;Buena / Ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;329;84;1004,2;0;213,3;34,4;20,4;0,57;Buena / Ona
18/07/2017;1;3;6;Muy buena / Oso ona;5;85;99;Buena / Ona;25;Muy buena / Oso ona;14;Muy buena / Oso ona;223;76;1004,2;0;324,3;34,4;23,1;0,89;Buena / Ona
17/07/2017;1;7;20;Muy buena / Oso ona;10;87;116;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;11;Muy buena / Oso ona;315;81;1004,8;0;321,9;30;22,6;0,36;Mejorable / Hobetzeko modukoa
16/07/2017;1;1;3;Muy buena / Oso ona;3;72;99;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;331;83;1010,5;0;440,3;79,9;20,1;0,6;Buena / Ona
15/07/2017;1;0;1;Muy buena / Oso ona;2;59;74;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;360;81;1013,3;0;229,3;50,5;19,2;1,04;Buena / Ona
14/07/2017;1;1;4;Muy buena / Oso ona;3;52;74;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;11;81;1013,6;0;269,2;67,2;19,4;1,36;Buena / Ona
13/07/2017;1;2;6;Muy buena / Oso ona;4;39;49;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;349;86;1012,8;0;99,3;41,2;18,9;1,58;Muy buena / Oso ona
12/07/2017;1;4;11;Muy buena / Oso ona;7;42;56;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;339;83;1011;0;130,2;44,7;19,2;0,8;Muy buena / Oso ona
11/07/2017;1;2;7;Muy buena / Oso ona;4;47;61;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;350;86;1007,2;0;379,4;77,6;18,6;0,91;Buena / Ona
10/07/2017;1;1;5;Muy buena / Oso ona;3;40;54;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;279;88;1006,8;0;206,7;55,4;18,5;1,02;Muy buena / Oso ona
09/07/2017;1;0;2;Muy buena / Oso ona;2;65;82;Buena / Ona;14;Muy buena / Oso ona;10;Muy buena / Oso ona;287;82;1005,5;0;364,3;78,3;19,4;1,96;Buena / Ona
08/07/2017;1;1;3;Muy buena / Oso ona;3;66;84;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;294;89;1007,4;0;198,9;55,3;19,3;1,65;Buena / Ona
07/07/2017;1;2;8;Muy buena / Oso ona;5;51;60;Muy buena / Oso ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;317;88;1007,9;0;294,9;69,6;19,9;1,18;Muy buena / Oso ona
06/07/2017;1;3;6;Muy buena / Oso ona;5;62;76;Buena / Ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;341;84;1006;0;192,6;42,7;19,3;0,85;Buena / Ona
05/07/2017;1;2;6;Muy buena / Oso ona;4;77;100;Buena / Ona;19;Muy buena / Oso ona;9;Muy buena / Oso ona;257;68;1002,6;0;417,8;80,7;22,6;0,89;Buena / Ona
04/07/2017;1;3;6;Muy buena / Oso ona;5;62;108;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;4;Muy buena / Oso ona;343;79;1004,6;0;449,6;87;21,6;0,96;Mejorable / Hobetzeko modukoa
03/07/2017;1;1;6;Muy buena / Oso ona;4;30;45;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;34;87;1014,2;0;334,6;78,1;17,3;0,26;Muy buena / Oso ona
02/07/2017;1;2;6;Muy buena / Oso ona;4;48;64;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;339;87;1017,7;0;280,7;59,8;16,2;0,55;Buena / Ona
01/07/2017;1;0;0;Muy buena / Oso ona;2;61;71;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;282;81;1015,4;0,1;106,6;34,7;15,1;3,1;Buena / Ona
30/06/2017;1;1;8;Muy buena / Oso ona;3;65;72;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;261;79;1007;0,1;139,8;37,2;15,1;2,81;Buena / Ona
29/06/2017;1;0;2;Muy buena / Oso ona;2;65;70;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;267;65;1000,6;0;323,1;58,8;16,6;3,09;Buena / Ona
28/06/2017;1;3;9;Muy buena / Oso ona;5;52;68;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;260;77;996,3;0,1;307,8;56,8;18,3;2,69;Buena / Ona
27/06/2017;1;3;7;Muy buena / Oso ona;5;46;61;Buena / Ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;250;84;999,3;0,1;135,3;27,5;18,7;0,74;Buena / Ona
26/06/2017;1;2;9;Muy buena / Oso ona;5;42;56;Muy buena / Oso ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;256;84;1000,7;0;298,3;52,6;20,6;1,12;Muy buena / Oso ona
25/06/2017;1;0;2;Muy buena / Oso ona;2;44;58;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;168;85;1007,3;0;181,8;55,6;19,4;0,14;Muy buena / Oso ona
24/06/2017;1;1;3;Muy buena / Oso ona;3;46;58;Muy buena / Oso ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;293;89;1012,2;0;76,8;23,6;18,7;0,38;Muy buena / Oso ona
23/06/2017;1;2;6;Muy buena / Oso ona;4;47;71;Buena / Ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;325;90;1013,4;0;85,2;37,1;18,9;0,43;Buena / Ona
22/06/2017;1;1;4;Muy buena / Oso ona;3;73;121;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;12;Muy buena / Oso ona;281;88;1008,9;0;64,9;27,5;19,7;2,14;Mejorable / Hobetzeko modukoa
21/06/2017;1;7;11;Muy buena / Oso ona;9;118;154;Mala / Txarra;23;Muy buena / Oso ona;;Sin datos / Daturik gabe;209;65;1004,3;0;404,7;84,9;25,9;0,02;Mala / Txarra
