Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
18/10/2017;0,25;0,26;Muy buena / Oso ona;1;4;6;Muy buena / Oso ona;6;68;79;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;224;84;906,6;0,1;53,9;10,6;1,13;Buena / Ona
17/10/2017;0,2;0,24;Muy buena / Oso ona;1;3;4;Muy buena / Oso ona;5;62;77;Buena / Ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;195;76;913,4;0;105,1;14,4;1,52;Buena / Ona
16/10/2017;0,22;0,24;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;5;63;85;Buena / Ona;15;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;166;74;918,6;0;130,8;16;0,68;Buena / Ona
15/10/2017;0,24;0,29;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;5;54;71;Buena / Ona;13;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;155;79;919,7;0;132,3;15,8;0,61;Buena / Ona
14/10/2017;0,28;0,32;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;5;68;89;Buena / Ona;19;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;156;76;919,9;0;140,1;15,3;0,51;Buena / Ona
13/10/2017;0,3;0,33;Muy buena / Oso ona;1;4;7;Muy buena / Oso ona;6;83;98;Buena / Ona;19;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;149;54;920,5;0;140;17,1;0,33;Buena / Ona
12/10/2017;0,27;0,31;Muy buena / Oso ona;1;4;7;Muy buena / Oso ona;6;70;95;Buena / Ona;18;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;208;53;920,3;0;144,9;14,8;0,41;Buena / Ona
11/10/2017;0,21;0,26;Muy buena / Oso ona;1;5;11;Muy buena / Oso ona;7;78;103;Mejorable / Hobetzeko modukoa;10;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;215;48;917,5;0;141,2;14,9;0,6;Mejorable / Hobetzeko modukoa
10/10/2017;0,22;0,26;Muy buena / Oso ona;1;2;5;Muy buena / Oso ona;4;65;86;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;142;49;916,2;0;151,9;14,3;0,12;Buena / Ona
09/10/2017;;;Sin datos / Daturik gabe;1;1;5;Muy buena / Oso ona;3;58;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;56;44;916,9;0;153,3;13;0,63;Muy buena / Oso ona
08/10/2017;;;Sin datos / Daturik gabe;1;1;5;Muy buena / Oso ona;3;74;79;Buena / Ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;47;27;917,4;0;189,4;13,7;0,58;Buena / Ona
07/10/2017;;;Sin datos / Daturik gabe;1;2;4;Muy buena / Oso ona;4;63;78;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;82;56;918,3;0;158,1;11,3;0,26;Buena / Ona
06/10/2017;0,16;0,2;Muy buena / Oso ona;1;1;3;Muy buena / Oso ona;3;63;67;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;332;87;920,1;0;70,7;11,7;1,06;Buena / Ona
05/10/2017;0,18;0,2;Muy buena / Oso ona;1;2;3;Muy buena / Oso ona;4;53;67;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;37;84;919,7;0;156,9;14,9;0,57;Buena / Ona
04/10/2017;0,18;;Sin datos / Daturik gabe;1;2;4;Muy buena / Oso ona;4;42;64;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;163;75;919,2;0;165,4;16,6;0,32;Buena / Ona
03/10/2017;0,18;0,21;Muy buena / Oso ona;1;3;8;Muy buena / Oso ona;5;31;50;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;78;84;919,3;0;118,4;15,5;0,66;Muy buena / Oso ona
02/10/2017;0,19;0,22;Muy buena / Oso ona;1;1;2;Muy buena / Oso ona;3;29;38;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;26;89;920,7;0;76,5;15,9;0,6;Muy buena / Oso ona
01/10/2017;0,17;0,2;Muy buena / Oso ona;1;2;7;Muy buena / Oso ona;4;31;58;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;319;90;919;0;66;13,2;0,32;Muy buena / Oso ona
30/09/2017;0,2;0,22;Muy buena / Oso ona;1;2;4;Muy buena / Oso ona;4;65;75;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;40;91;917,3;0;50,8;12,9;0,71;Buena / Ona
29/09/2017;0,19;0,23;Muy buena / Oso ona;1;3;6;Muy buena / Oso ona;5;80;105;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;85;75;917,9;0;156,7;16,1;0,55;Mejorable / Hobetzeko modukoa
28/09/2017;0,15;0,17;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;5;81;110;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;172;69;918,3;0;186,8;16,3;0,46;Mejorable / Hobetzeko modukoa
27/09/2017;;;Sin datos / Daturik gabe;1;3;4;Muy buena / Oso ona;5;74;101;Mejorable / Hobetzeko modukoa;10;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;182;64;916;0;193,3;15,4;0,33;Mejorable / Hobetzeko modukoa
26/09/2017;;;Sin datos / Daturik gabe;1;1;5;Muy buena / Oso ona;3;57;77;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;50;79;916,7;0;174,7;12,6;0,35;Buena / Ona
25/09/2017;;;Sin datos / Daturik gabe;1;1;3;Muy buena / Oso ona;3;71;87;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;12;82;917,4;0;107,4;13,1;0,94;Buena / Ona
24/09/2017;;;Sin datos / Daturik gabe;1;2;4;Muy buena / Oso ona;4;83;109;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;236;55;915,8;0;193,4;18,3;0,74;Mejorable / Hobetzeko modukoa
23/09/2017;;;Sin datos / Daturik gabe;1;3;5;Muy buena / Oso ona;5;67;100;Buena / Ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;203;75;915,6;0;191,2;15,3;0,39;Buena / Ona
22/09/2017;;;Sin datos / Daturik gabe;1;3;7;Muy buena / Oso ona;5;61;72;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;60;92;916,4;0;91,8;12,5;0,49;Buena / Ona
21/09/2017;0,16;;Sin datos / Daturik gabe;1;4;14;Muy buena / Oso ona;6;70;91;Buena / Ona;8;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;35;65;914,2;0;172;14,1;0,75;Buena / Ona
20/09/2017;;;Sin datos / Daturik gabe;1;3;18;Muy buena / Oso ona;5;64;91;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;106;62;915,4;0;205,4;13,2;0,07;Buena / Ona
19/09/2017;;;Sin datos / Daturik gabe;1;1;4;Muy buena / Oso ona;3;61;83;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;36;78;918,8;0;190,9;10,6;0,57;Buena / Ona
18/09/2017;0,17;0,19;Muy buena / Oso ona;1;2;3;Muy buena / Oso ona;4;54;65;Buena / Ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;0;Muy buena / Oso ona;307;89;914,6;0,1;121,4;11,2;0,75;Buena / Ona
17/09/2017;;;Sin datos / Daturik gabe;1;1;4;Muy buena / Oso ona;3;57;76;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;43;77;912,8;0;168,1;9,5;0,28;Buena / Ona
16/09/2017;;;Sin datos / Daturik gabe;1;1;3;Muy buena / Oso ona;3;57;74;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;0;Muy buena / Oso ona;346;81;911,3;0;132;8,1;0,68;Buena / Ona
15/09/2017;;;Sin datos / Daturik gabe;1;0;2;Muy buena / Oso ona;2;64;71;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;0;Muy buena / Oso ona;341;82;912,6;0;143,4;8,6;1,42;Buena / Ona
14/09/2017;;;Sin datos / Daturik gabe;1;1;3;Muy buena / Oso ona;3;62;75;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;0;Muy buena / Oso ona;3;86;916,5;0;108;11,2;1,55;Buena / Ona
13/09/2017;;;Sin datos / Daturik gabe;1;3;7;Muy buena / Oso ona;5;52;76;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;167;75;916,9;0;217,8;16,2;0,23;Buena / Ona
12/09/2017;0,16;0,19;Muy buena / Oso ona;1;1;2;Muy buena / Oso ona;3;57;67;Buena / Ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;323;78;914,7;0;167,6;13,6;0,98;Buena / Ona
11/09/2017;;;Sin datos / Daturik gabe;1;1;2;Muy buena / Oso ona;3;58;67;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;315;83;910,8;0;132;14,5;1,69;Buena / Ona
10/09/2017;;;Sin datos / Daturik gabe;1;1;2;Muy buena / Oso ona;3;65;74;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;299;79;910,3;0;150,5;12,7;2,08;Buena / Ona
09/09/2017;;;Sin datos / Daturik gabe;1;1;2;Muy buena / Oso ona;3;62;68;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;318;84;906,7;0,1;147,5;11,4;2,28;Buena / Ona
08/09/2017;;;Sin datos / Daturik gabe;1;3;10;Muy buena / Oso ona;5;57;77;Buena / Ona;7;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;38;76;910,8;0;205,5;13,4;0,21;Buena / Ona
07/09/2017;;;Sin datos / Daturik gabe;1;1;4;Muy buena / Oso ona;3;68;77;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;28;76;917,3;0;214,5;12,9;0,65;Buena / Ona
06/09/2017;;;Sin datos / Daturik gabe;1;2;32;Muy buena / Oso ona;4;60;72;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;329;89;921,2;0;98,8;13,1;1,18;Buena / Ona
05/09/2017;0,18;;Sin datos / Daturik gabe;1;3;6;Muy buena / Oso ona;5;53;74;Buena / Ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;21;84;919;0;209;16,1;0,54;Buena / Ona
04/09/2017;;;Sin datos / Daturik gabe;1;4;8;Muy buena / Oso ona;6;42;62;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;56;82;914,1;0;133,2;16,3;0,5;Buena / Ona
03/09/2017;0,15;0,18;Muy buena / Oso ona;1;3;8;Muy buena / Oso ona;5;64;86;Buena / Ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;49;64;912,4;0;201,5;17,2;0,19;Buena / Ona
02/09/2017;0,13;;Sin datos / Daturik gabe;1;2;5;Muy buena / Oso ona;3;65;81;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;70;70;918,5;0;243,2;13,6;0,32;Buena / Ona
01/09/2017;;;Sin datos / Daturik gabe;1;1;3;Muy buena / Oso ona;3;68;80;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;351;78;918,4;0;176,8;12,6;1,31;Buena / Ona
31/08/2017;;;Sin datos / Daturik gabe;1;2;5;Muy buena / Oso ona;3;73;82;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;2;Muy buena / Oso ona;11;81;916,7;0;180,9;12,8;1,14;Buena / Ona
30/08/2017;;;Sin datos / Daturik gabe;1;3;7;Muy buena / Oso ona;5;61;91;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;332;83;912;0;148,8;15,8;0,52;Buena / Ona
29/08/2017;0,14;0,19;Muy buena / Oso ona;1;4;8;Muy buena / Oso ona;6;57;92;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;105;80;911,5;0;211,4;16,8;0,37;Buena / Ona
28/08/2017;0,11;0,14;Muy buena / Oso ona;1;5;12;Muy buena / Oso ona;7;42;59;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;183;91;913,2;0,1;62,2;15,2;0,41;Muy buena / Oso ona
27/08/2017;0,14;0,15;Muy buena / Oso ona;1;4;10;Muy buena / Oso ona;6;53;72;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;218;72;913,5;0,1;88,8;17,8;0,24;Buena / Ona
26/08/2017;;;Sin datos / Daturik gabe;1;2;4;Muy buena / Oso ona;4;77;109;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;181;53;912,6;0;183,6;21,8;0,83;Mejorable / Hobetzeko modukoa
25/08/2017;0,21;;Sin datos / Daturik gabe;1;3;7;Muy buena / Oso ona;5;82;118;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;172;65;912,9;0;252,1;20,7;0,8;Mejorable / Hobetzeko modukoa
24/08/2017;0,16;;Sin datos / Daturik gabe;1;3;6;Muy buena / Oso ona;5;76;106;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;65;77;913,3;0;251,7;19,5;0,88;Mejorable / Hobetzeko modukoa
23/08/2017;;;Sin datos / Daturik gabe;1;4;9;Muy buena / Oso ona;6;55;85;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;70;63;914,6;0;201,4;19,8;0,72;Buena / Ona
22/08/2017;0,17;0,2;Muy buena / Oso ona;1;4;7;Muy buena / Oso ona;6;97;136;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;43;51;914,7;0;233,1;22,6;0,43;Mejorable / Hobetzeko modukoa
21/08/2017;;;Sin datos / Daturik gabe;1;3;6;Muy buena / Oso ona;4;87;108;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;121;32;915,7;0;280,6;22,4;0,69;Mejorable / Hobetzeko modukoa
20/08/2017;;;Sin datos / Daturik gabe;1;2;4;Muy buena / Oso ona;3;70;98;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;60;55;919,9;0;276;16,2;0,47;Buena / Ona
19/08/2017;0,12;0,14;Muy buena / Oso ona;1;3;4;Muy buena / Oso ona;3;74;87;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;358;79;919,1;0;240;15,6;0,43;Buena / Ona
18/08/2017;0,17;0,21;Muy buena / Oso ona;1;2;3;Muy buena / Oso ona;3;71;82;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;12;81;917,2;0;167,1;17,2;1,28;Buena / Ona
17/08/2017;0,14;0,18;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;4;63;92;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;54;63;917,2;0;275,6;19,6;0,77;Buena / Ona
16/08/2017;0,13;0,15;Muy buena / Oso ona;1;2;5;Muy buena / Oso ona;3;72;87;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;26;68;918,1;0;269,3;18,1;0,73;Buena / Ona
15/08/2017;0,19;0,23;Muy buena / Oso ona;1;3;6;Muy buena / Oso ona;5;64;95;Buena / Ona;11;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;54;80;915,7;0;177,6;16,5;0,89;Buena / Ona
14/08/2017;0,16;0,21;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;4;82;119;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;158;59;912,9;0;269;21,3;0,5;Mejorable / Hobetzeko modukoa
13/08/2017;0,16;0,17;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;4;67;80;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;59;53;915,6;0;284,7;17,8;0,67;Buena / Ona
12/08/2017;;;Sin datos / Daturik gabe;0;2;4;Muy buena / Oso ona;3;69;90;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona;40;45;918,7;0;292,4;15;0,57;Buena / Ona
11/08/2017;0,11;0,11;Muy buena / Oso ona;0;3;7;Muy buena / Oso ona;3;65;83;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;5;74;919,9;0;281,3;12,5;0,89;Buena / Ona
10/08/2017;0,13;0,14;Muy buena / Oso ona;0;2;2;Muy buena / Oso ona;2;74;78;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;336;77;920,8;0;168,2;11,8;2,14;Buena / Ona
09/08/2017;;;Sin datos / Daturik gabe;0;2;2;Muy buena / Oso ona;2;73;79;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;346;76;916,7;0;183,8;11,4;2,05;Buena / Ona
08/08/2017;;;Sin datos / Daturik gabe;0;2;3;Muy buena / Oso ona;2;73;77;Buena / Ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;2;Muy buena / Oso ona;5;77;914,4;0;193,7;13;1,41;Buena / Ona
07/08/2017;0,14;0,16;Muy buena / Oso ona;0;3;4;Muy buena / Oso ona;3;72;76;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;39;83;911,9;0;222,6;15,9;1,08;Buena / Ona
06/08/2017;0,12;;Sin datos / Daturik gabe;0;2;4;Muy buena / Oso ona;3;66;74;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;109;85;917,3;0;212,3;13,5;0,28;Buena / Ona
05/08/2017;0,15;0,19;Muy buena / Oso ona;1;2;4;Muy buena / Oso ona;3;51;62;Buena / Ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;2;Muy buena / Oso ona;1;90;917;0;139,6;15,5;1,08;Buena / Ona
04/08/2017;;;Sin datos / Daturik gabe;1;3;4;Muy buena / Oso ona;4;60;94;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;62;70;915,7;0;308,2;20,7;0,78;Buena / Ona
03/08/2017;;;Sin datos / Daturik gabe;1;3;5;Muy buena / Oso ona;5;78;107;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;46;67;915,9;0;318,3;19,4;0,45;Mejorable / Hobetzeko modukoa
02/08/2017;0,15;;Sin datos / Daturik gabe;1;4;11;Muy buena / Oso ona;6;79;116;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;93;68;915,4;0;310,6;20,5;0,28;Mejorable / Hobetzeko modukoa
01/08/2017;;;Sin datos / Daturik gabe;0;3;8;Muy buena / Oso ona;4;63;76;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;59;83;913,1;0;271,6;16,2;0,88;Buena / Ona
31/07/2017;0,12;;Sin datos / Daturik gabe;1;2;4;Muy buena / Oso ona;3;60;64;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;2;Muy buena / Oso ona;51;87;909,9;0;215,2;14,9;0,63;Buena / Ona
30/07/2017;0,14;0,18;Muy buena / Oso ona;1;3;6;Muy buena / Oso ona;4;63;81;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;44;75;911,9;0;277,1;17,4;0,81;Buena / Ona
29/07/2017;;;Sin datos / Daturik gabe;0;3;5;Muy buena / Oso ona;4;88;106;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;185;40;913,2;0;326,1;22;0,31;Mejorable / Hobetzeko modukoa
28/07/2017;0,17;0,33;Muy buena / Oso ona;0;4;8;Muy buena / Oso ona;4;74;104;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;33;63;914,9;0;301,3;20;0,5;Mejorable / Hobetzeko modukoa
27/07/2017;0,23;0,33;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;3;64;92;Buena / Ona;13;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;42;66;913,5;0;311,6;18,8;0,53;Buena / Ona
26/07/2017;0,16;0,18;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;3;48;67;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;20;70;914,2;0;312,9;16,7;0,49;Buena / Ona
25/07/2017;0,18;0,22;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;2;69;79;Buena / Ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;11;80;916,9;0;171,1;13,3;1,62;Buena / Ona
24/07/2017;0,22;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;2;44;53;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;2;Muy buena / Oso ona;337;84;918,2;0;201,2;15,2;1,6;Muy buena / Oso ona
23/07/2017;0,19;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;2;61;74;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;31;74;917,1;0;332,6;16,3;0,9;Buena / Ona
22/07/2017;0,2;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;3;58;79;Buena / Ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;41;77;912,9;0;287,1;14,4;0,48;Buena / Ona
21/07/2017;0,18;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;3;53;63;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;70;85;910,2;0;181,2;13,4;0,6;Buena / Ona
20/07/2017;0,19;0,24;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;2;55;69;Buena / Ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;36;92;912,9;0;87;12,6;0,94;Buena / Ona
