Fecha,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión PM10,Ozono,Tolueno,Benceno,Xileno,Hidrocarburos totales,Hidrocarburos no metano
20071130 00:00:00,66,77,33,20,3,0.8,1.6,7.9,1.4
20071031 00:00:00,31,80,22,34,0.9,0.2,0.5,7.2,0.9
20070930 00:00:00,13,62,26,61,0.3,0.1,0.2,6.6,0.7
20070831 00:00:00,5,43,27,74,0.2,0.1,0.1,6.3,0.6
20070731 00:00:00,5,30,26,65,0.3,0.1,0.5,6.3,0.7
20070630 00:00:00,7,25,22,63,0.1,0.1,0.1,6.3,0.6
20070531 00:00:00,12,31,27,49,0.3,0.1,0.3,6.4,0.7
20070430 00:00:00,10,39,28,50,0.5,0.2,0.5,6.5,0.8
20070331 00:00:00,13,42,25,41,0.5,0.1,0.4,6.5,0.8
20070228 00:00:00,24,48,27,22,1.6,0.5,1,6.7,0.7
20070131 00:00:00,61,60,43,11,2.1,0.6,1.6,,
20061231 00:00:00,57,60,37,17,,,,,
20061130 00:00:00,34,49,32,21,5.9,1.1,2.7,7.5,0.9
20061031 00:00:00,21,41,31,32,4.8,1,2.3,7.2,0.7
20060930 00:00:00,13,39,32,53,6.9,0.6,2.9,7.9,0.9
20060831 00:00:00,7,27,26,71,3.4,0.5,1.7,6.7,0.6
20060731 00:00:00,7,30,35,79,1.3,0.1,0.2,4.2,0.4
20060630 00:00:00,6,33,39,75,2.2,0.2,0.6,4.2,0.5
20060531 00:00:00,10,37,40,64,2.6,0.2,0.7,5.9,1
20060430 00:00:00,10,44,27,65,2.2,0.6,0.7,7.8,1.4
20060331 00:00:00,22,47,28,49,3.5,1.3,1.9,,
20060228 00:00:00,61,64,54,32,3.5,1.2,2.3,7,1.8
20060131 00:00:00,43,52,37,27,3,1.2,2,7.8,1.2
20051231 00:00:00,49,63,37,,,0.9,,,
20051130 00:00:00,51,52,40,23,5.3,1.7,5,6.7,2.2
20051031 00:00:00,28,50,34,30,5.9,2,5.3,6.5,2.2
20050930 00:00:00,20,49,35,53,6,1.8,5.1,6.7,2.1
20050831 00:00:00,9,42,38,59,4.1,1.7,3,6.8,1.8
20050731 00:00:00,7,40,33,71,1.5,0.8,1,6.9,1.4
20050630 00:00:00,6,42,35,64,1.4,0.7,0.8,,
20050531 00:00:00,11,40,33,57,1.7,0.8,0.9,6.4,1.8
20050430 00:00:00,11,35,24,61,1.9,0.9,1.1,5.4,0.9
20050331 00:00:00,24,51,40,43,3.9,1.1,2.2,6.8,2
20050228 00:00:00,23,50,25,39,4.5,1.2,2.3,6.4,1.4
20050131 00:00:00,82,70,,22,3.7,,2.6,6.8,2.1
20041231 00:00:00,45,47,27,26,2.1,0.9,1.5,7.7,2.7
20041130 00:00:00,76,59,47,21,4.7,0.5,3.2,10.4,3.6
20041031 00:00:00,27,41,33,35,3.4,0.3,2,8,1.9
20040930 00:00:00,14,32,43,33,3.8,0.3,2.6,7.3,3
20040831 00:00:00,6,14,29,52,3.6,0.7,2.1,6.8,2
20040731 00:00:00,5,16,44,49,1.7,1.1,1.5,7.4,3.2
20040630 00:00:00,6,27,34,68,2.6,1.3,1.9,9.8,1.4
20040531 00:00:00,8,32,21,56,3.6,1.4,2.4,7.5,1
20040430 00:00:00,10,32,22,54,4.7,1,2.5,5.7,1.2
20040331 00:00:00,19,42,38,39,3.1,0.4,2.4,6.1,1.4
20040229 00:00:00,47,47,48,28,7.3,0.8,6.3,6.4,1.4
20040131 00:00:00,73,59,46,26,9.2,1.2,7.6,8.5,1.9
20031231 00:00:00,76,63,49,22,14.7,2.1,11.7,11.5,3.3
20031030 00:00:00,47,51,53,31,10.8,0.8,8.8,10.2,3.3
20031031 00:00:00,18,45,34,41,3.6,0.2,2.6,7.5,2.9
20030930 00:00:00,20,56,47,63,5.2,0.3,3.4,8.8,2.9
20030831 00:00:00,8,50,52,90,5.5,0.4,2.7,9.7,3.1
20030731 00:00:00,9,49,49,90,8.4,0.6,5.1,,
20030630 00:00:00,12,48,56,86,7.6,0.4,4.1,9.5,1.7
20030531 00:00:00,24,42,32,84,4.4,,3.2,8.6,1.2
20030430 00:00:00,22,53,24,61,3.2,0.4,1.4,9.1,0.7
20030331 00:00:00,30,50,42,50,8.9,0.8,4,10.4,1.3
20030228 00:00:00,29,31,26,36,7.8,1,4.1,10.8,0.9
20030131 00:00:00,27,24,28,41,10.3,1.1,5.5,6.9,1.6
20021231 00:00:00,31,27,28,26,11.5,1.3,6.5,6.5,1.8
20021130 00:00:00,23,30,25,26,7.6,1.1,3.8,8.2,1.6
20021031 00:00:00,22,29,30,31,10,1,5,7.8,1.2
20020930 00:00:00,12,29,31,55,7.7,0.8,3.3,7.1,1.3
20020831 00:00:00,5,16,27,83,4.2,0.4,1,6.5,1.2
20020731 00:00:00,5,18,31,88,4.9,0.5,2,8.4,2.2
20020630 00:00:00,5,19,42,84,3.4,0.3,1,8.5,1.5
20020531 00:00:00,12,22,26,72,4.3,0.4,1.6,,
20020430 00:00:00,11,28,28,77,6.2,0.7,2.8,7.8,4.2
20020331 00:00:00,19,33,31,51,7.6,1.1,3.4,9.9,4.6
20020228 00:00:00,,,42,,7.2,0.7,3.2,10.6,4.7
20010131 00:00:00,50,37,43,10,13.2,1.1,5.1,9.4,2.4
20011231 00:00:00,73,45,66,12,28.7,2.8,9.4,9.9,1.7
20011130 00:00:00,38,37,31,25,13.8,1.2,4,9.7,2.1
20011031 00:00:00,26,36,16,23,7.4,0.4,2.3,11.7,2.3
20010930 00:00:00,10,30,14,47,,0.3,,30.3,2.3
20010831 00:00:00,6,22,15,55,2.8,0.3,1.5,30.7,1.7
20010731 00:00:00,6,23,15,65,3,0.4,1.8,33.7,0.5
20010630 00:00:00,7,27,16,71,3.8,0.4,2.4,13.3,0.9
20010531 00:00:00,12,31,12,61,3.7,0.8,2.6,11.5,0.6
20010430 00:00:00,10,23,12,59,2.8,1.9,2.2,7.9,0.4
20010331 00:00:00,15,28,13,36,6,2,4.1,,
20010228 00:00:00,36,38,19,27,10,2.5,6.7,,
20010131 00:00:00,31,36,,23,3.1,,3,,
20001231 00:00:00,42,37,32,19,3.8,0.5,2.4,,
20001130 00:00:00,26,31,23,25,,,,,
20001031 00:00:00,24,36,30,34,,,,,
20000930 00:00:00,20,35,37,49,,,,,
20000831 00:00:00,7,27,36,70,,,,,
20000731 00:00:00,6,26,27,67,,,,,
20000630 00:00:00,6,31,35,68,,,,,
20000531 00:00:00,12,33,28,41,,,,,
20000430 00:00:00,8,30,17,41,,,,,
20000331 00:00:00,28,44,43,36,,,,,
20000229 00:00:00,80,54,48,21,,,,,
20000131 00:00:00,87,60,66,23,,,,,
