Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
25/10/2017;19:00;38;46;Muy buena / Oso ona;105;4;"Muy buena / ";35;37;Muy buena / Oso ona;224;80;1012;0;0,7;16,7;0,32
25/10/2017;18:00;10;42;Muy buena / Oso ona;57;27;"Muy buena / ";40;30;Muy buena / Oso ona;51;72;1011,6;0;2,2;18,9;0,96
25/10/2017;17:00;20;40;Muy buena / Oso ona;71;36;"Muy buena / ";38;38;Muy buena / Oso ona;31;65;1011,1;0;51,1;21,7;1,86
25/10/2017;16:00;16;35;Muy buena / Oso ona;59;;"Sin datos / ";33;37;Muy buena / Oso ona;37;57;1010,6;0;246,3;24,2;2,42
25/10/2017;15:00;14;31;Muy buena / Oso ona;52;53;"Muy buena / ";28;44;Buena / Ona;42;52;1010,6;0;321,7;25,6;2,09
25/10/2017;14:00;18;36;Muy buena / Oso ona;63;50;"Muy buena / ";25;38;Muy buena / Oso ona;44;39;1010,9;0;411,3;28,2;0,93
25/10/2017;13:00;11;31;Muy buena / Oso ona;47;52;"Muy buena / ";19;14;Muy buena / Oso ona;246;36;1011,5;0;181,9;27,3;0,62
25/10/2017;12:00;15;29;Muy buena / Oso ona;51;39;"Muy buena / ";13;23;Muy buena / Oso ona;99;44;1012,3;0;58,5;24,5;0,19
25/10/2017;11:00;19;41;Muy buena / Oso ona;70;35;"Muy buena / ";8;27;Muy buena / Oso ona;213;47;1012,8;0;143,2;21,7;0,21
25/10/2017;10:00;36;46;Muy buena / Oso ona;102;14;"Muy buena / ";4;47;Buena / Ona;173;59;1013,1;0;37;18,1;0,23
25/10/2017;09:00;53;37;Muy buena / Oso ona;117;5;"Muy buena / ";3;45;Buena / Ona;257;83;1013,2;0;27,4;12,2;0,36
25/10/2017;08:00;114;35;Muy buena / Oso ona;209;3;"Muy buena / ";3;56;Buena / Ona;237;93;1012,8;0;24,6;9,1;0,61
25/10/2017;07:00;130;30;Muy buena / Oso ona;229;2;"Muy buena / ";3;23;Muy buena / Oso ona;247;94;1012,4;0;3,8;8,7;0,63
25/10/2017;06:00;106;27;Muy buena / Oso ona;190;2;"Muy buena / ";3;24;Muy buena / Oso ona;245;94;1012,1;0;0,7;8,8;0,68
25/10/2017;05:00;36;18;Muy buena / Oso ona;73;1;"Muy buena / ";3;15;Muy buena / Oso ona;243;94;1012;0;0,7;9;0,43
25/10/2017;04:00;16;15;Muy buena / Oso ona;40;2;"Muy buena / ";3;14;Muy buena / Oso ona;249;94;1012;0;0,6;9,3;0,79
25/10/2017;03:00;5;13;Muy buena / Oso ona;20;3;"Muy buena / ";2;11;Muy buena / Oso ona;245;93;1012,3;0;0,6;9,5;0,83
25/10/2017;02:00;3;12;Muy buena / Oso ona;16;4;"Muy buena / ";2;12;Muy buena / Oso ona;250;92;1012,4;0;0,6;9,9;0,8
25/10/2017;01:00;4;12;Muy buena / Oso ona;18;4;"Muy buena / ";2;20;Muy buena / Oso ona;247;92;1012,4;0;0,6;10,2;0,77
24/10/2017;24:00;4;16;Muy buena / Oso ona;22;3;"Muy buena / ";3;13;Muy buena / Oso ona;246;92;1012,6;0;0,6;10,7;0,75
24/10/2017;23:00;8;20;Muy buena / Oso ona;32;2;"Muy buena / ";3;14;Muy buena / Oso ona;247;91;1012,8;0;0,6;11,2;0,73
24/10/2017;22:00;16;23;Muy buena / Oso ona;47;2;"Muy buena / ";4;16;Muy buena / Oso ona;250;89;1012,7;0;0,6;11,9;0,73
24/10/2017;21:00;26;30;Muy buena / Oso ona;69;1;"Muy buena / ";12;14;Muy buena / Oso ona;247;88;1012,3;0;0,6;12,7;0,69
24/10/2017;20:00;41;36;Muy buena / Oso ona;98;1;"Muy buena / ";20;27;Muy buena / Oso ona;248;85;1012,1;0;0,7;13,9;0,66
24/10/2017;19:00;57;45;Muy buena / Oso ona;132;1;"Muy buena / ";27;25;Muy buena / Oso ona;251;80;1012;0;0,7;15,7;0,64
24/10/2017;18:00;69;56;Muy buena / Oso ona;161;2;"Muy buena / ";32;46;Buena / Ona;252;70;1011,7;0;3,2;18,5;0,65
24/10/2017;17:00;34;53;Muy buena / Oso ona;105;14;"Muy buena / ";36;36;Muy buena / Oso ona;281;53;1011,3;0;59,7;23,1;0,02
24/10/2017;16:00;42;48;Muy buena / Oso ona;112;;"Sin datos / ";35;41;Buena / Ona;327;45;1011,1;0;216,6;25,1;0,79
24/10/2017;15:00;48;45;Muy buena / Oso ona;119;41;"Muy buena / ";30;21;Muy buena / Oso ona;18;39;1011;0;269,8;25,8;1,21
24/10/2017;14:00;16;32;Muy buena / Oso ona;57;53;"Muy buena / ";27;22;Muy buena / Oso ona;330;33;1011,3;0;440,2;26,4;0,32
24/10/2017;13:00;14;34;Muy buena / Oso ona;55;49;"Muy buena / ";20;31;Muy buena / Oso ona;245;36;1011,9;0;220,4;24,4;0,59
24/10/2017;12:00;11;27;Muy buena / Oso ona;44;44;"Muy buena / ";14;6;Muy buena / Oso ona;178;41;1012,9;0;116,7;21,3;0,37
24/10/2017;11:00;20;24;Muy buena / Oso ona;55;32;"Muy buena / ";9;17;Muy buena / Oso ona;196;53;1013,9;0;200,2;16,7;0,45
24/10/2017;10:00;23;32;Muy buena / Oso ona;67;21;"Muy buena / ";6;25;Muy buena / Oso ona;235;67;1014,7;0;83,3;13,1;0,69
24/10/2017;09:00;37;31;Muy buena / Oso ona;87;9;"Muy buena / ";4;40;Muy buena / Oso ona;199;85;1015,2;0;45,2;9,6;0,34
24/10/2017;08:00;87;29;Muy buena / Oso ona;162;2;"Muy buena / ";3;30;Muy buena / Oso ona;203;94;1015,3;0;25,2;6,8;0,32
24/10/2017;07:00;99;25;Muy buena / Oso ona;176;2;"Muy buena / ";3;19;Muy buena / Oso ona;208;96;1015,3;0;4,2;6,6;0,44
24/10/2017;06:00;59;18;Muy buena / Oso ona;109;1;"Muy buena / ";4;12;Muy buena / Oso ona;253;96;1015,5;0;0,7;6,9;0,72
24/10/2017;05:00;21;14;Muy buena / Oso ona;46;2;"Muy buena / ";4;7;Muy buena / Oso ona;229;97;1015,8;0;0,7;7;0,31
24/10/2017;04:00;6;10;Muy buena / Oso ona;19;5;"Muy buena / ";4;7;Muy buena / Oso ona;243;97;1015,9;0;0,6;7,6;0,39
24/10/2017;03:00;2;10;Muy buena / Oso ona;13;6;"Muy buena / ";5;11;Muy buena / Oso ona;232;95;1016,2;0;0,6;8;0,49
24/10/2017;02:00;2;9;Muy buena / Oso ona;12;4;"Muy buena / ";5;10;Muy buena / Oso ona;205;94;1016,5;0;0,6;8,4;0,3
24/10/2017;01:00;3;9;Muy buena / Oso ona;14;4;"Muy buena / ";7;8;Muy buena / Oso ona;221;93;1016,9;0;0,6;8,8;0,32
23/10/2017;24:00;4;11;Muy buena / Oso ona;16;3;"Muy buena / ";14;12;Muy buena / Oso ona;222;93;1017,3;0;0,6;9,5;0,34
23/10/2017;23:00;4;14;Muy buena / Oso ona;20;4;"Muy buena / ";14;8;Muy buena / Oso ona;199;93;1017,4;0;0,6;10;0,26
23/10/2017;22:00;10;20;Muy buena / Oso ona;34;3;"Muy buena / ";16;12;Muy buena / Oso ona;220;92;1017;0;0,6;10,8;0,38
23/10/2017;21:00;9;23;Muy buena / Oso ona;37;5;"Muy buena / ";27;10;Muy buena / Oso ona;193;91;1016,7;0;0,7;11,7;0,35
23/10/2017;20:00;11;25;Muy buena / Oso ona;41;7;"Muy buena / ";36;15;Muy buena / Oso ona;239;88;1016,5;0;0,7;12,7;0,55
23/10/2017;19:00;19;35;Muy buena / Oso ona;63;7;"Muy buena / ";43;20;Muy buena / Oso ona;214;84;1016,5;0;0,7;14;0,32
23/10/2017;18:00;16;37;Muy buena / Oso ona;62;20;"Muy buena / ";48;21;Muy buena / Oso ona;150;76;1016,2;0;2,9;16;0,14
23/10/2017;17:00;9;23;Muy buena / Oso ona;38;56;"Muy buena / ";48;19;Muy buena / Oso ona;30;68;1015,9;0;46,2;17,9;1,46
23/10/2017;16:00;5;15;Muy buena / Oso ona;22;;"Sin datos / ";41;18;Muy buena / Oso ona;33;63;1015,9;0;236,5;18,9;2,32
23/10/2017;15:00;7;12;Muy buena / Oso ona;22;70;"Buena / ";36;18;Muy buena / Oso ona;35;62;1016;0;283,8;19,2;3,48
23/10/2017;14:00;4;12;Muy buena / Oso ona;18;66;"Buena / ";33;21;Muy buena / Oso ona;40;59;1016,1;0;471,3;19,7;3,76
23/10/2017;13:00;13;16;Muy buena / Oso ona;36;57;"Muy buena / ";27;13;Muy buena / Oso ona;21;48;1016;0;187,1;21,2;0,57
23/10/2017;12:00;6;15;Muy buena / Oso ona;25;54;"Muy buena / ";23;7;Muy buena / Oso ona;224;54;1016,4;0;57,7;19,2;0,58
23/10/2017;11:00;13;20;Muy buena / Oso ona;39;34;"Muy buena / ";19;12;Muy buena / Oso ona;239;68;1017,2;0;221;15,6;0,58
23/10/2017;10:00;18;20;Muy buena / Oso ona;48;18;"Muy buena / ";18;19;Muy buena / Oso ona;141;86;1018;0;97,4;11,5;0,63
23/10/2017;09:00;14;20;Muy buena / Oso ona;41;14;"Muy buena / ";18;12;Muy buena / Oso ona;194;95;1018,1;0;107;9,5;0,55
23/10/2017;08:00;15;19;Muy buena / Oso ona;41;10;"Muy buena / ";19;11;Muy buena / Oso ona;136;96;1017,8;0;28;8,9;1,24
23/10/2017;07:00;32;23;Muy buena / Oso ona;71;10;"Muy buena / ";20;8;Muy buena / Oso ona;133;96;1017,7;0;3,2;9,1;1,38
23/10/2017;06:00;13;16;Muy buena / Oso ona;36;16;"Muy buena / ";22;7;Muy buena / Oso ona;132;95;1018;0;0,7;9,5;1,17
23/10/2017;05:00;5;11;Muy buena / Oso ona;18;25;"Muy buena / ";24;7;Muy buena / Oso ona;131;95;1017,9;0;0,7;10;0,69
23/10/2017;04:00;1;5;Muy buena / Oso ona;7;28;"Muy buena / ";24;7;Muy buena / Oso ona;152;94;1017,8;0;0,6;10,2;0,7
23/10/2017;03:00;;;Sin datos / Daturik gabe;4;25;"Muy buena / ";25;9;Muy buena / Oso ona;131;93;1017,7;0;0,6;10,5;0,8
23/10/2017;02:00;;;Sin datos / Daturik gabe;5;19;"Muy buena / ";27;7;Muy buena / Oso ona;111;92;1018,2;0;0,6;10,7;0,64
23/10/2017;01:00;;;Sin datos / Daturik gabe;5;19;"Muy buena / ";31;8;Muy buena / Oso ona;118;92;1018,5;0;0,6;11;0,53
22/10/2017;24:00;;;Sin datos / Daturik gabe;6;20;"Muy buena / ";37;6;Muy buena / Oso ona;130;92;1018,9;0;0,6;11,4;0,78
22/10/2017;23:00;1;5;Muy buena / Oso ona;6;22;"Muy buena / ";37;7;Muy buena / Oso ona;178;91;1019,2;0;0,6;11,9;0,4
22/10/2017;22:00;1;7;Muy buena / Oso ona;8;27;"Muy buena / ";40;7;Muy buena / Oso ona;132;90;1019,2;0;0,6;12,3;0,5
22/10/2017;21:00;1;7;Muy buena / Oso ona;9;29;"Muy buena / ";46;7;Muy buena / Oso ona;134;90;1019,2;0;0,6;12,6;0,65
22/10/2017;20:00;2;9;Muy buena / Oso ona;13;33;"Muy buena / ";53;8;Muy buena / Oso ona;140;90;1019,2;0;0,7;13;0,67
22/10/2017;19:00;6;15;Muy buena / Oso ona;23;40;"Muy buena / ";57;9;Muy buena / Oso ona;137;88;1019,2;0;0,7;13,4;0,98
22/10/2017;18:00;3;16;Muy buena / Oso ona;20;50;"Muy buena / ";59;8;Muy buena / Oso ona;171;86;1019;0;1,6;13,7;0,69
22/10/2017;17:00;2;12;Muy buena / Oso ona;15;60;"Muy buena / ";59;6;Muy buena / Oso ona;239;86;1018,6;0;23,6;13,7;0,59
22/10/2017;16:00;2;6;Muy buena / Oso ona;9;;"Sin datos / ";56;12;Muy buena / Oso ona;277;76;1018,6;0;65,1;15,1;1,81
22/10/2017;15:00;2;9;Muy buena / Oso ona;12;67;"Buena / ";53;5;Muy buena / Oso ona;251;74;1018,4;0;177,7;15,1;2,09
22/10/2017;14:00;1;8;Muy buena / Oso ona;10;66;"Buena / ";51;7;Muy buena / Oso ona;228;75;1018,3;0;100,7;15,6;0,32
22/10/2017;13:00;4;7;Muy buena / Oso ona;13;66;"Buena / ";47;10;Muy buena / Oso ona;62;81;1018,7;0;230,2;14,7;0,46
22/10/2017;12:00;3;9;Muy buena / Oso ona;14;62;"Buena / ";45;4;Muy buena / Oso ona;254;77;1019,5;0;242,4;14,8;1,99
22/10/2017;11:00;5;16;Muy buena / Oso ona;23;49;"Muy buena / ";43;9;Muy buena / Oso ona;242;86;1019,7;0;168,4;13,6;1,23
22/10/2017;10:00;7;14;Muy buena / Oso ona;25;51;"Muy buena / ";41;5;Muy buena / Oso ona;209;86;1019,5;0;138,9;13,4;0,71
22/10/2017;09:00;3;13;Muy buena / Oso ona;18;41;"Muy buena / ";39;8;Muy buena / Oso ona;255;91;1019,4;0,1;89,2;12,6;0,78
22/10/2017;08:00;2;15;Muy buena / Oso ona;19;38;"Muy buena / ";39;9;Muy buena / Oso ona;228;91;1019,1;0;38;12,4;0,25
22/10/2017;07:00;2;14;Muy buena / Oso ona;16;32;"Muy buena / ";39;10;Muy buena / Oso ona;141;91;1018,6;0,1;6,2;12,2;0,51
22/10/2017;06:00;1;9;Muy buena / Oso ona;11;39;"Muy buena / ";38;7;Muy buena / Oso ona;153;89;1018,2;0;0,6;12,3;0,35
22/10/2017;05:00;;;Sin datos / Daturik gabe;6;50;"Muy buena / ";37;9;Muy buena / Oso ona;262;87;1017,8;0;0,5;12,7;0,42
22/10/2017;04:00;;;Sin datos / Daturik gabe;7;46;"Muy buena / ";35;6;Muy buena / Oso ona;298;85;1017,8;0,1;0,6;12,9;0,48
