Date;Hour;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s)
19/10/2017;03:00;144;88;1006,4;14,5;1,58
19/10/2017;02:00;137;89;1006,3;14,5;1,74
19/10/2017;01:00;152;90;1006,3;14,5;1,53
18/10/2017;24:00;150;90;1006,3;14,5;1,39
18/10/2017;23:00;172;90;1006,4;14,8;1,56
18/10/2017;22:00;165;85;1006,6;15,2;0,69
18/10/2017;21:00;278;84;1006,3;15,1;1,76
18/10/2017;20:00;287;88;1006,1;14,8;2,54
18/10/2017;19:00;295;88;1005,8;15;3,21
18/10/2017;18:00;295;88;1005,4;14,9;3,93
18/10/2017;17:00;301;78;1005;16,6;4,93
18/10/2017;16:00;295;78;1004,8;16,9;3,79
18/10/2017;15:00;155;84;1004,9;16,5;0,92
18/10/2017;14:00;92;82;1004,8;16,7;0,89
18/10/2017;13:00;107;79;1004,7;16,7;0,74
18/10/2017;12:00;278;72;1005,4;17,1;0,72
18/10/2017;11:00;5;68;1005,4;18,1;0,5
18/10/2017;10:00;151;64;1005,2;18,4;1,75
18/10/2017;09:00;138;63;1005,6;18,5;1,8
18/10/2017;08:00;108;69;1005,6;17,7;1,09
18/10/2017;07:00;160;67;1005,7;17,9;1,92
18/10/2017;06:00;200;60;1005,9;19;2,28
18/10/2017;05:00;188;84;1006,5;17;2,16
18/10/2017;04:00;183;88;1006,9;17;1,72
18/10/2017;03:00;174;86;1007,3;17,6;1,99
18/10/2017;02:00;185;92;1007,7;17,5;1,26
18/10/2017;01:00;176;91;1008,2;17,8;0,79
17/10/2017;24:00;128;90;1008,7;17,9;1,06
17/10/2017;23:00;160;86;1009,4;18,2;0,45
17/10/2017;22:00;305;84;1009,8;18,3;1,35
17/10/2017;21:00;317;84;1009,8;18,4;1,34
17/10/2017;20:00;304;87;1010;18,4;1,91
17/10/2017;19:00;315;90;1010,1;18,4;2,11
17/10/2017;18:00;336;89;1010;18,7;2,85
17/10/2017;17:00;326;88;1009,8;19;4,06
17/10/2017;16:00;320;84;1009,4;19,6;5,55
17/10/2017;15:00;310;59;1009;23,2;1,61
17/10/2017;14:00;145;48;1008,6;25,2;4,47
17/10/2017;13:00;153;45;1009,6;25,4;3,95
17/10/2017;12:00;162;43;1010,4;26;3,13
17/10/2017;11:00;192;47;1011,1;24,6;3,61
17/10/2017;10:00;151;55;1011,7;23;3,87
17/10/2017;09:00;138;59;1012,1;21,9;1,66
17/10/2017;08:00;167;64;1012,2;20,3;0,38
17/10/2017;07:00;164;65;1012;20,1;0,9
17/10/2017;06:00;173;67;1012,1;20;2,68
17/10/2017;05:00;162;73;1012,2;19,1;0,71
17/10/2017;04:00;154;84;1012,6;17,5;1,45
17/10/2017;03:00;148;87;1013,2;16,9;1,69
17/10/2017;02:00;134;88;1014,3;16,9;1
17/10/2017;01:00;145;89;1015;17;1,67
16/10/2017;24:00;132;89;1015,9;17,3;2,05
16/10/2017;23:00;143;86;1016,9;18,2;1,38
16/10/2017;22:00;130;83;1017,7;18,6;1,54
16/10/2017;21:00;81;83;1018,1;19;1,44
16/10/2017;20:00;7;84;1018,5;19,1;1,23
16/10/2017;19:00;357;84;1018,6;19,2;2,08
16/10/2017;18:00;343;85;1018,5;19,2;2,62
16/10/2017;17:00;345;84;1018,3;19,5;3,49
16/10/2017;16:00;346;84;1018,1;19,7;3,94
16/10/2017;15:00;331;82;1018,1;20,1;3,75
16/10/2017;14:00;329;79;1018;20,3;5,5
16/10/2017;13:00;324;74;1017,9;20,8;6,76
16/10/2017;12:00;321;72;1017,8;21,8;8,24
16/10/2017;11:00;127;47;1016,8;26,1;3,27
16/10/2017;10:00;116;51;1015,9;24,7;6,67
16/10/2017;09:00;140;55;1015,4;23,7;5,85
16/10/2017;08:00;117;55;1014,9;23,4;4,96
16/10/2017;07:00;111;56;1014;23,3;2,86
16/10/2017;06:00;122;57;1013,3;23,5;2,31
16/10/2017;05:00;121;54;1013,3;24,3;3,59
16/10/2017;04:00;178;55;1012,9;24,3;3,04
16/10/2017;03:00;122;56;1013;24,4;0,71
16/10/2017;02:00;136;53;1013,1;25,3;2,94
16/10/2017;01:00;129;55;1013,6;24,8;3,35
15/10/2017;24:00;152;53;1013,9;25,2;6,39
15/10/2017;23:00;153;52;1014,1;25,4;5,54
15/10/2017;22:00;140;54;1014,2;25;4
15/10/2017;21:00;147;53;1014,1;25,1;5,47
15/10/2017;20:00;129;51;1014;25,9;4,78
15/10/2017;19:00;154;47;1013,9;27,4;4,11
15/10/2017;18:00;174;45;1013,6;28,2;3,97
15/10/2017;17:00;153;43;1013,5;29,2;5,38
15/10/2017;16:00;168;38;1013,6;30,4;3,91
15/10/2017;15:00;153;41;1013,9;30,2;4,34
15/10/2017;14:00;142;45;1014,5;28,6;6,88
15/10/2017;13:00;167;47;1015;27,1;6,81
15/10/2017;12:00;173;48;1015,7;26,9;4,55
15/10/2017;11:00;147;49;1016,1;26,2;2,84
15/10/2017;10:00;166;51;1016,4;25,1;3,73
15/10/2017;09:00;151;57;1016,4;23,7;4,27
15/10/2017;08:00;162;59;1015,9;23,2;4,51
15/10/2017;07:00;162;60;1015,6;22,9;4,4
15/10/2017;06:00;162;60;1015,6;23,2;4,72
15/10/2017;05:00;166;59;1015,6;23,5;3,64
15/10/2017;04:00;166;58;1015,4;23,9;3,61
15/10/2017;03:00;152;57;1015,4;24,4;6,52
15/10/2017;02:00;154;55;1015,7;25;5,95
15/10/2017;01:00;180;53;1015,7;25,4;6,04
14/10/2017;24:00;176;52;1015,8;25,6;5,83
14/10/2017;23:00;174;53;1015,8;25,7;7,19
14/10/2017;22:00;174;53;1016;25,8;6,39
14/10/2017;21:00;177;51;1015,8;26,2;6,79
14/10/2017;20:00;170;63;1015,8;24,4;4,1
14/10/2017;19:00;114;90;1015,8;20,2;0,89
14/10/2017;18:00;349;84;1015,3;21;0,79
14/10/2017;17:00;344;82;1015;21,5;1,15
14/10/2017;16:00;5;79;1015,1;21,7;1,52
14/10/2017;15:00;4;76;1015,4;22,3;1,98
14/10/2017;14:00;130;52;1015,6;27,3;0,99
14/10/2017;13:00;165;46;1016,2;28,5;2,62
14/10/2017;12:00;137;55;1017,1;26,5;0,75
14/10/2017;11:00;137;62;1017,7;24,3;1,59
14/10/2017;10:00;141;74;1018,2;21,4;2,19
14/10/2017;09:00;147;85;1018,3;18,6;2,09
14/10/2017;08:00;134;90;1018,3;17,1;2,37
14/10/2017;07:00;121;89;1018,4;17,3;1,95
14/10/2017;06:00;96;88;1018,5;17,7;1,85
14/10/2017;05:00;108;88;1018,8;17,9;1,49
14/10/2017;04:00;131;87;1019,1;18,1;1,04
14/10/2017;03:00;137;87;1019,3;18,1;1,76
14/10/2017;02:00;155;87;1019,9;18,3;1,2
14/10/2017;01:00;149;87;1020,1;18,4;0,77
13/10/2017;24:00;143;87;1020,3;18,3;1,48
13/10/2017;23:00;170;86;1020,5;18,5;0,98
13/10/2017;22:00;114;85;1020,5;18,7;0,58
13/10/2017;21:00;312;85;1020,5;18,5;1,19
13/10/2017;20:00;313;85;1020,3;18,6;2,32
13/10/2017;19:00;341;85;1020;18,9;1,92
13/10/2017;18:00;360;86;1019,7;18,8;2,51
13/10/2017;17:00;330;85;1019,4;19;3,85
13/10/2017;16:00;323;86;1019,3;19;4,14
13/10/2017;15:00;326;87;1019,1;19;4,71
13/10/2017;14:00;326;88;1019;18,9;5,34
13/10/2017;13:00;351;90;1018,9;18,6;4,87
13/10/2017;12:00;355;89;1019,2;18,4;4,6
13/10/2017;11:00;357;86;1019,4;18,5;4
13/10/2017;10:00;357;78;1019,2;19,1;2,03
13/10/2017;09:00;85;75;1019;19,5;0,52
13/10/2017;08:00;154;78;1018,6;17,4;0,2
13/10/2017;07:00;261;75;1018,1;17;0,26
13/10/2017;06:00;204;78;1017,8;16,7;0,64
13/10/2017;05:00;171;77;1017,5;16,6;1,33
13/10/2017;04:00;186;81;1017,5;16,2;1,49
13/10/2017;03:00;180;82;1017,6;16,3;2,48
13/10/2017;02:00;172;87;1018;16,2;2,02
13/10/2017;01:00;177;89;1018,1;16,3;2,14
12/10/2017;24:00;174;91;1018,5;16,2;2,04
12/10/2017;23:00;179;91;1018,9;16,3;1,6
12/10/2017;22:00;166;89;1019,2;16,9;1,75
12/10/2017;21:00;161;87;1019,3;17,6;1,27
12/10/2017;20:00;183;84;1018,9;18,3;0,63
12/10/2017;19:00;153;80;1018,8;19,2;0,47
12/10/2017;18:00;173;77;1018,6;19,8;0,16
12/10/2017;17:00;301;76;1018,4;20,3;2,53
12/10/2017;16:00;302;75;1018,3;20,5;4,31
12/10/2017;15:00;323;73;1018,4;20,6;3,76
12/10/2017;14:00;331;74;1018,8;20,4;3,68
12/10/2017;13:00;325;74;1019,3;19,9;3,91
12/10/2017;12:00;120;63;1019,9;21,2;0,87
12/10/2017;11:00;153;71;1020,1;18,8;3,37
12/10/2017;10:00;142;81;1020,6;16,4;3,56
12/10/2017;09:00;132;90;1020,7;14,4;2,84
12/10/2017;08:00;146;95;1020,6;13,2;2,98
12/10/2017;07:00;145;95;1020,3;13,2;3,44
12/10/2017;06:00;159;94;1020,2;13,6;2,67
12/10/2017;05:00;177;93;1020;13,9;2,18
12/10/2017;04:00;163;93;1019,9;14,2;1,87
12/10/2017;03:00;184;92;1019,9;14,6;1,12
12/10/2017;02:00;174;92;1020,1;14,9;1,3
12/10/2017;01:00;180;91;1020,1;15,1;1,64
11/10/2017;24:00;160;89;1020,1;15,6;2
11/10/2017;23:00;158;88;1020,1;16,3;1,69
11/10/2017;22:00;162;83;1020,2;17,1;1,24
11/10/2017;21:00;178;81;1019,9;17,9;0,69
11/10/2017;20:00;277;80;1019,6;18,4;1,39
11/10/2017;19:00;307;80;1019;18,9;2,85
11/10/2017;18:00;324;81;1018,1;19;5,32
11/10/2017;17:00;337;82;1017,4;19,2;5,05
11/10/2017;16:00;330;81;1016,8;19,3;5,14
11/10/2017;15:00;332;82;1016,4;19,4;6,32
11/10/2017;14:00;335;74;1016;20,3;5,79
11/10/2017;13:00;331;58;1015,8;21,3;5,91
11/10/2017;12:00;344;58;1015,6;21,1;3,64
11/10/2017;11:00;35;61;1015,3;20,2;3,66
11/10/2017;10:00;96;37;1014,3;23,4;2,11
11/10/2017;09:00;117;42;1013,9;21,6;1,89
11/10/2017;08:00;122;52;1013,5;18,7;2,05
11/10/2017;07:00;146;58;1013,1;17,3;4,77
11/10/2017;06:00;168;66;1012,9;16,3;4,18
11/10/2017;05:00;175;74;1013;15,5;3,46
11/10/2017;04:00;178;81;1013,3;14,9;2,67
11/10/2017;03:00;177;85;1013,4;14,9;2,03
11/10/2017;02:00;180;89;1013,9;14,7;1,38
11/10/2017;01:00;183;90;1014,2;15,1;2,11
10/10/2017;24:00;180;91;1014,5;15,3;1,8
10/10/2017;23:00;177;92;1014,9;15,5;1,36
10/10/2017;22:00;172;90;1015,1;15,8;1,33
10/10/2017;21:00;167;89;1015,2;16,4;1,63
10/10/2017;20:00;169;85;1015,1;17,3;1,39
10/10/2017;19:00;246;84;1015,1;17,8;2,01
10/10/2017;18:00;267;78;1014,9;18,7;2,37
10/10/2017;17:00;291;74;1014,6;19,7;2,66
10/10/2017;16:00;309;76;1014,6;19,4;4,43
10/10/2017;15:00;323;75;1014,9;19,5;3,85
10/10/2017;14:00;319;75;1015,1;19,4;3,52
10/10/2017;13:00;326;76;1015,8;19,2;2,77
10/10/2017;12:00;25;68;1016,6;20;0,7
10/10/2017;11:00;148;71;1017;17,6;2,08
10/10/2017;10:00;154;78;1017,4;15,3;2,54
10/10/2017;09:00;154;84;1017,5;13,3;2,99
10/10/2017;08:00;155;89;1017,4;12,2;2,6
10/10/2017;07:00;176;90;1002,5;11,3;2,06
10/10/2017;06:00;180;92;1016,5;11,6;2,25
10/10/2017;05:00;174;91;1016,3;11,9;2
10/10/2017;04:00;176;91;1016,1;12,2;2,17
10/10/2017;03:00;163;90;1016,3;12,7;2,02
10/10/2017;02:00;179;90;1016,6;12,9;1,66
10/10/2017;01:00;173;90;1016,8;13,2;1,44
09/10/2017;24:00;164;90;1016,8;13,6;1,64
09/10/2017;23:00;162;88;1017,1;14,2;1,43
09/10/2017;22:00;162;85;1017,2;15;1,73
09/10/2017;21:00;178;81;1017,1;16,2;1,17
09/10/2017;20:00;263;78;1016,9;16,8;2,07
09/10/2017;19:00;267;76;1016,9;17,3;2,21
09/10/2017;18:00;288;71;1016,8;18,3;2,02
09/10/2017;17:00;357;66;1016,5;19,3;2,53
09/10/2017;16:00;309;65;1016,3;19,7;3,74
09/10/2017;15:00;313;65;1016,4;19,7;3,55
09/10/2017;14:00;325;67;1016,7;19,2;3,6
09/10/2017;13:00;357;68;1017,2;18,8;3,44
09/10/2017;12:00;144;60;1017,9;19,7;0,96
09/10/2017;11:00;150;63;1018,3;17,5;1,58
09/10/2017;10:00;149;70;1018,6;14,7;2,61
09/10/2017;09:00;160;76;1018,7;12,8;2,57
09/10/2017;08:00;174;81;1018,4;11,3;2,65
09/10/2017;07:00;177;85;1018,1;10,4;2,78
09/10/2017;06:00;178;86;1017,8;10,7;2,41
09/10/2017;05:00;180;86;1017,9;10,9;2,6
09/10/2017;04:00;182;86;1018;11,2;2,23
09/10/2017;03:00;173;86;1018,2;11,6;1,99
09/10/2017;02:00;173;86;1018,6;11,9;1,63
09/10/2017;01:00;157;88;1018,7;12,3;2,12
08/10/2017;24:00;159;85;1018,9;12,8;1,62
08/10/2017;23:00;163;76;1019;13,6;1,81
08/10/2017;22:00;172;76;1018,9;14,3;1,83
08/10/2017;21:00;176;76;1018,6;15,4;1,56
08/10/2017;20:00;263;72;1018,4;16,5;1,91
08/10/2017;19:00;271;71;1018;16,9;1,58
08/10/2017;18:00;274;65;1017,7;18,1;1,76
08/10/2017;17:00;291;59;1017,4;19;3,18
08/10/2017;16:00;307;59;1017,3;19,2;3,9
08/10/2017;15:00;310;63;1017,4;19,1;4,06
