Date;Hour;O3 (µg/m3);O3 - ICA;O3 8h (µg/m3)
16/10/2017;18:00;;"Sin datos / ";
16/10/2017;17:00;;"Sin datos / ";
16/10/2017;16:00;;"Sin datos / ";
16/10/2017;15:00;;"Sin datos / ";
16/10/2017;14:00;;"Sin datos / ";
16/10/2017;13:00;;"Sin datos / ";
16/10/2017;12:00;;"Sin datos / ";
16/10/2017;11:00;;"Sin datos / ";
16/10/2017;10:00;;"Sin datos / ";
16/10/2017;09:00;;"Sin datos / ";
16/10/2017;08:00;;"Sin datos / ";
16/10/2017;07:00;;"Sin datos / ";
16/10/2017;06:00;;"Sin datos / ";
16/10/2017;05:00;;"Sin datos / ";
16/10/2017;04:00;;"Sin datos / ";
16/10/2017;03:00;;"Sin datos / ";
16/10/2017;02:00;;"Sin datos / ";
16/10/2017;01:00;;"Sin datos / ";
15/10/2017;24:00;;"Sin datos / ";
15/10/2017;23:00;;"Sin datos / ";
15/10/2017;22:00;;"Sin datos / ";
15/10/2017;21:00;;"Sin datos / ";
15/10/2017;20:00;;"Sin datos / ";
15/10/2017;19:00;;"Sin datos / ";
15/10/2017;18:00;;"Sin datos / ";
15/10/2017;17:00;;"Sin datos / ";
15/10/2017;16:00;;"Sin datos / ";
15/10/2017;15:00;;"Sin datos / ";
15/10/2017;14:00;;"Sin datos / ";
15/10/2017;13:00;;"Sin datos / ";
15/10/2017;12:00;;"Sin datos / ";
15/10/2017;11:00;;"Sin datos / ";
15/10/2017;10:00;;"Sin datos / ";
15/10/2017;09:00;;"Sin datos / ";
15/10/2017;08:00;;"Sin datos / ";
15/10/2017;07:00;;"Sin datos / ";
15/10/2017;06:00;;"Sin datos / ";
15/10/2017;05:00;;"Sin datos / ";
15/10/2017;04:00;;"Sin datos / ";
15/10/2017;03:00;;"Sin datos / ";
15/10/2017;02:00;;"Sin datos / ";
15/10/2017;01:00;;"Sin datos / ";
14/10/2017;24:00;;"Sin datos / ";
14/10/2017;23:00;;"Sin datos / ";
14/10/2017;22:00;;"Sin datos / ";
14/10/2017;21:00;;"Sin datos / ";
14/10/2017;20:00;;"Sin datos / ";
14/10/2017;19:00;;"Sin datos / ";
14/10/2017;18:00;;"Sin datos / ";
14/10/2017;17:00;;"Sin datos / ";
14/10/2017;16:00;;"Sin datos / ";
14/10/2017;15:00;;"Sin datos / ";
14/10/2017;14:00;;"Sin datos / ";
14/10/2017;13:00;;"Sin datos / ";
14/10/2017;12:00;;"Sin datos / ";
14/10/2017;11:00;;"Sin datos / ";
14/10/2017;10:00;;"Sin datos / ";
14/10/2017;09:00;;"Sin datos / ";
14/10/2017;08:00;;"Sin datos / ";
14/10/2017;07:00;;"Sin datos / ";
14/10/2017;06:00;;"Sin datos / ";
14/10/2017;05:00;;"Sin datos / ";
14/10/2017;04:00;;"Sin datos / ";
14/10/2017;03:00;;"Sin datos / ";
14/10/2017;02:00;;"Sin datos / ";
14/10/2017;01:00;;"Sin datos / ";
13/10/2017;24:00;;"Sin datos / ";
13/10/2017;23:00;;"Sin datos / ";
13/10/2017;22:00;;"Sin datos / ";
13/10/2017;21:00;;"Sin datos / ";
13/10/2017;20:00;;"Sin datos / ";
13/10/2017;19:00;;"Sin datos / ";
13/10/2017;18:00;;"Sin datos / ";
13/10/2017;17:00;;"Sin datos / ";
13/10/2017;16:00;;"Sin datos / ";
13/10/2017;15:00;;"Sin datos / ";
13/10/2017;14:00;;"Sin datos / ";
13/10/2017;13:00;;"Sin datos / ";
13/10/2017;12:00;;"Sin datos / ";
13/10/2017;11:00;;"Sin datos / ";99
13/10/2017;10:00;97;"Buena / ";100
13/10/2017;09:00;96;"Buena / ";101
13/10/2017;08:00;95;"Buena / ";103
13/10/2017;07:00;98;"Buena / ";104
13/10/2017;06:00;;"Sin datos / ";104
13/10/2017;05:00;102;"Buena / ";102
13/10/2017;04:00;102;"Buena / ";102
13/10/2017;03:00;106;"Buena / ";102
13/10/2017;02:00;106;"Buena / ";102
13/10/2017;01:00;107;"Buena / ";102
12/10/2017;24:00;104;"Buena / ";101
12/10/2017;23:00;97;"Buena / ";101
12/10/2017;22:00;94;"Buena / ";102
12/10/2017;21:00;99;"Buena / ";102
12/10/2017;20:00;106;"Buena / ";102
12/10/2017;19:00;108;"Buena / ";101
12/10/2017;18:00;104;"Buena / ";99
12/10/2017;17:00;100;"Buena / ";95
12/10/2017;16:00;102;"Buena / ";91
12/10/2017;15:00;104;"Buena / ";87
12/10/2017;14:00;96;"Buena / ";80
12/10/2017;13:00;96;"Buena / ";76
12/10/2017;12:00;95;"Buena / ";73
12/10/2017;11:00;91;"Buena / ";68
12/10/2017;10:00;76;"Buena / ";65
12/10/2017;09:00;68;"Buena / ";67
12/10/2017;08:00;66;"Buena / ";69
12/10/2017;07:00;55;"Muy buena / ";70
12/10/2017;06:00;;"Sin datos / ";74
12/10/2017;05:00;51;"Muy buena / ";79
12/10/2017;04:00;62;"Buena / ";79
12/10/2017;03:00;71;"Buena / ";83
12/10/2017;02:00;87;"Buena / ";84
12/10/2017;01:00;83;"Buena / ";84
11/10/2017;24:00;80;"Buena / ";85
11/10/2017;23:00;82;"Buena / ";84
11/10/2017;22:00;86;"Buena / ";84
11/10/2017;21:00;83;"Buena / ";86
11/10/2017;20:00;86;"Buena / ";88
11/10/2017;19:00;79;"Buena / ";88
11/10/2017;18:00;89;"Buena / ";87
11/10/2017;17:00;87;"Buena / ";86
11/10/2017;16:00;79;"Buena / ";84
11/10/2017;15:00;81;"Buena / ";83
11/10/2017;14:00;103;"Buena / ";82
11/10/2017;13:00;96;"Buena / ";77
11/10/2017;12:00;87;"Buena / ";74
11/10/2017;11:00;77;"Buena / ";72
11/10/2017;10:00;76;"Buena / ";72
11/10/2017;09:00;75;"Buena / ";71
11/10/2017;08:00;71;"Buena / ";71
11/10/2017;07:00;68;"Buena / ";72
11/10/2017;06:00;;"Sin datos / ";73
11/10/2017;05:00;69;"Buena / ";75
11/10/2017;04:00;72;"Buena / ";76
11/10/2017;03:00;74;"Buena / ";76
11/10/2017;02:00;74;"Buena / ";76
11/10/2017;01:00;75;"Buena / ";76
10/10/2017;24:00;75;"Buena / ";76
10/10/2017;23:00;74;"Buena / ";77
10/10/2017;22:00;79;"Buena / ";78
10/10/2017;21:00;83;"Buena / ";78
10/10/2017;20:00;74;"Buena / ";77
10/10/2017;19:00;74;"Buena / ";76
10/10/2017;18:00;71;"Buena / ";74
10/10/2017;17:00;77;"Buena / ";73
10/10/2017;16:00;80;"Buena / ";70
10/10/2017;15:00;83;"Buena / ";68
10/10/2017;14:00;80;"Buena / ";67
10/10/2017;13:00;73;"Buena / ";66
10/10/2017;12:00;66;"Buena / ";65
10/10/2017;11:00;65;"Buena / ";67
10/10/2017;10:00;61;"Buena / ";69
10/10/2017;09:00;51;"Muy buena / ";73
10/10/2017;08:00;67;"Buena / ";78
10/10/2017;07:00;73;"Buena / ";80
10/10/2017;06:00;;"Sin datos / ";78
10/10/2017;05:00;76;"Buena / ";76
10/10/2017;04:00;74;"Buena / ";75
10/10/2017;03:00;83;"Buena / ";74
10/10/2017;02:00;86;"Buena / ";72
10/10/2017;01:00;89;"Buena / ";72
09/10/2017;24:00;76;"Buena / ";70
09/10/2017;23:00;61;"Buena / ";72
09/10/2017;22:00;65;"Buena / ";75
09/10/2017;21:00;69;"Buena / ";77
09/10/2017;20:00;65;"Buena / ";79
09/10/2017;19:00;72;"Buena / ";81
09/10/2017;18:00;80;"Buena / ";82
09/10/2017;17:00;76;"Buena / ";83
09/10/2017;16:00;86;"Buena / ";84
09/10/2017;15:00;87;"Buena / ";83
09/10/2017;14:00;84;"Buena / ";83
09/10/2017;13:00;82;"Buena / ";85
09/10/2017;12:00;79;"Buena / ";85
09/10/2017;11:00;80;"Buena / ";88
09/10/2017;10:00;87;"Buena / ";89
09/10/2017;09:00;84;"Buena / ";90
09/10/2017;08:00;81;"Buena / ";91
09/10/2017;07:00;88;"Buena / ";93
09/10/2017;06:00;;"Sin datos / ";92
09/10/2017;05:00;100;"Buena / ";90
09/10/2017;04:00;96;"Buena / ";88
09/10/2017;03:00;92;"Buena / ";86
09/10/2017;02:00;95;"Buena / ";85
09/10/2017;01:00;89;"Buena / ";83
08/10/2017;24:00;91;"Buena / ";82
08/10/2017;23:00;82;"Buena / ";83
08/10/2017;22:00;83;"Buena / ";84
08/10/2017;21:00;82;"Buena / ";85
08/10/2017;20:00;79;"Buena / ";85
08/10/2017;19:00;83;"Buena / ";85
08/10/2017;18:00;83;"Buena / ";85
08/10/2017;17:00;82;"Buena / ";85
08/10/2017;16:00;87;"Buena / ";86
08/10/2017;15:00;94;"Buena / ";86
08/10/2017;14:00;91;"Buena / ";85
08/10/2017;13:00;83;"Buena / ";84
08/10/2017;12:00;76;"Buena / ";84
08/10/2017;11:00;80;"Buena / ";85
08/10/2017;10:00;84;"Buena / ";85
08/10/2017;09:00;89;"Buena / ";84
08/10/2017;08:00;87;"Buena / ";84
08/10/2017;07:00;88;"Buena / ";83
08/10/2017;06:00;;"Sin datos / ";84
08/10/2017;05:00;82;"Buena / ";84
08/10/2017;04:00;83;"Buena / ";83
08/10/2017;03:00;79;"Buena / ";82
08/10/2017;02:00;83;"Buena / ";81
08/10/2017;01:00;85;"Buena / ";80
07/10/2017;24:00;90;"Buena / ";80
07/10/2017;23:00;94;"Buena / ";81
07/10/2017;22:00;81;"Buena / ";80
07/10/2017;21:00;75;"Buena / ";80
07/10/2017;20:00;76;"Buena / ";81
07/10/2017;19:00;75;"Buena / ";81
07/10/2017;18:00;73;"Buena / ";81
07/10/2017;17:00;83;"Buena / ";82
07/10/2017;16:00;88;"Buena / ";82
07/10/2017;15:00;87;"Buena / ";80
07/10/2017;14:00;83;"Buena / ";79
07/10/2017;13:00;80;"Buena / ";79
07/10/2017;12:00;76;"Buena / ";79
07/10/2017;11:00;78;"Buena / ";80
07/10/2017;10:00;80;"Buena / ";80
07/10/2017;09:00;80;"Buena / ";80
07/10/2017;08:00;77;"Buena / ";80
07/10/2017;07:00;79;"Buena / ";81
07/10/2017;06:00;;"Sin datos / ";80
07/10/2017;05:00;86;"Buena / ";80
07/10/2017;04:00;83;"Buena / ";79
07/10/2017;03:00;83;"Buena / ";77
07/10/2017;02:00;76;"Buena / ";75
07/10/2017;01:00;82;"Buena / ";74
06/10/2017;24:00;77;"Buena / ";72
06/10/2017;23:00;75;"Buena / ";71
06/10/2017;22:00;80;"Buena / ";70
06/10/2017;21:00;72;"Buena / ";67
06/10/2017;20:00;71;"Buena / ";65
06/10/2017;19:00;72;"Buena / ";62
06/10/2017;18:00;68;"Buena / ";59
06/10/2017;17:00;65;"Buena / ";57
06/10/2017;16:00;65;"Buena / ";57
06/10/2017;15:00;64;"Buena / ";56
06/10/2017;14:00;58;"Muy buena / ";56
06/10/2017;13:00;53;"Muy buena / ";57
06/10/2017;12:00;47;"Muy buena / ";57
06/10/2017;11:00;48;"Muy buena / ";61
06/10/2017;10:00;57;"Muy buena / ";65
06/10/2017;09:00;61;"Buena / ";67
06/10/2017;08:00;62;"Buena / ";68
06/10/2017;07:00;63;"Buena / ";69
06/10/2017;06:00;;"Sin datos / ";70
06/10/2017;05:00;73;"Buena / ";71
06/10/2017;04:00;73;"Buena / ";71
06/10/2017;03:00;72;"Buena / ";71
06/10/2017;02:00;71;"Buena / ";71
06/10/2017;01:00;73;"Buena / ";70
05/10/2017;24:00;67;"Buena / ";69
05/10/2017;23:00;68;"Buena / ";68
05/10/2017;22:00;70;"Buena / ";67
05/10/2017;21:00;71;"Buena / ";65
05/10/2017;20:00;72;"Buena / ";62
05/10/2017;19:00;70;"Buena / ";58
05/10/2017;18:00;68;"Buena / ";55
05/10/2017;17:00;64;"Buena / ";52
05/10/2017;16:00;61;"Buena / ";49
05/10/2017;15:00;60;"Muy buena / ";46
05/10/2017;14:00;54;"Muy buena / ";43
05/10/2017;13:00;44;"Muy buena / ";40
05/10/2017;12:00;43;"Muy buena / ";40
05/10/2017;11:00;42;"Muy buena / ";42
05/10/2017;10:00;44;"Muy buena / ";45
05/10/2017;09:00;40;"Muy buena / ";49
05/10/2017;08:00;38;"Muy buena / ";52
05/10/2017;07:00;39;"Muy buena / ";55
05/10/2017;06:00;;"Sin datos / ";54
05/10/2017;05:00;31;"Muy buena / ";57
05/10/2017;04:00;60;"Muy buena / ";58
05/10/2017;03:00;61;"Buena / ";59
05/10/2017;02:00;69;"Buena / ";58
05/10/2017;01:00;66;"Buena / ";58
04/10/2017;24:00;46;"Muy buena / ";58
04/10/2017;23:00;37;"Muy buena / ";61
04/10/2017;22:00;48;"Muy buena / ";66
04/10/2017;21:00;66;"Buena / ";69
04/10/2017;20:00;65;"Buena / ";68
04/10/2017;19:00;56;"Muy buena / ";66
04/10/2017;18:00;65;"Buena / ";64
