Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
25/10/2017;18:00;32;75;Muy buena / Oso ona;125;40;Muy buena / Oso ona;31;Buena / Ona;340;78;1015,1;0;1,6;17,5;0,26
25/10/2017;17:00;4;48;Muy buena / Oso ona;54;39;Muy buena / Oso ona;21;Muy buena / Oso ona;274;68;1014,9;0;33,6;19,9;1,14
25/10/2017;16:00;6;40;Muy buena / Oso ona;50;38;Muy buena / Oso ona;20;Muy buena / Oso ona;275;60;1014,6;0;198,6;21,1;1,92
25/10/2017;15:00;9;36;Muy buena / Oso ona;49;56;Buena / Ona;26;Buena / Ona;292;53;1014,3;0;315,7;22,3;1,8
25/10/2017;14:00;41;61;Muy buena / Oso ona;124;48;Buena / Ona;23;Muy buena / Oso ona;287;47;1014,1;0;237,5;24,4;1,68
25/10/2017;13:00;28;57;Muy buena / Oso ona;99;35;Muy buena / Oso ona;21;Muy buena / Oso ona;355;37;1014,3;0;601,5;27,1;0,17
25/10/2017;12:00;51;62;Muy buena / Oso ona;139;40;Muy buena / Oso ona;22;Muy buena / Oso ona;69;42;1014,8;0;620;24,5;0,29
25/10/2017;11:00;86;61;Muy buena / Oso ona;192;56;Buena / Ona;27;Buena / Ona;14;50;1015,4;0;491,7;21,8;0,11
25/10/2017;10:00;157;64;Muy buena / Oso ona;304;64;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;76;64;1015,7;0;345,5;17,9;0,1
25/10/2017;09:00;233;67;Muy buena / Oso ona;424;58;Buena / Ona;16;Muy buena / Oso ona;57;76;1015,7;0;108,9;13,9;0,2
25/10/2017;08:00;195;47;Muy buena / Oso ona;346;41;Buena / Ona;21;Muy buena / Oso ona;336;77;1015,7;0;43,6;12,6;0,13
25/10/2017;07:00;133;37;Muy buena / Oso ona;241;28;Muy buena / Oso ona;20;Muy buena / Oso ona;354;88;1015,3;0;3,2;9,9;0,14
25/10/2017;06:00;93;36;Muy buena / Oso ona;178;24;Muy buena / Oso ona;18;Muy buena / Oso ona;65;89;1015,2;0;0,2;9,9;0,32
25/10/2017;05:00;49;28;Muy buena / Oso ona;102;27;Muy buena / Oso ona;12;Muy buena / Oso ona;49;89;1015,2;0;0,5;10,4;0,14
25/10/2017;04:00;30;30;Muy buena / Oso ona;75;26;Muy buena / Oso ona;17;Muy buena / Oso ona;359;89;1015,1;0;0,3;10,6;0,11
25/10/2017;03:00;22;34;Muy buena / Oso ona;68;27;Muy buena / Oso ona;18;Muy buena / Oso ona;31;87;1015,1;0;0,1;11,2;0,2
25/10/2017;02:00;19;38;Muy buena / Oso ona;67;15;Muy buena / Oso ona;17;Muy buena / Oso ona;40;86;1015;0;0;11,8;0,41
25/10/2017;01:00;19;39;Muy buena / Oso ona;68;21;Muy buena / Oso ona;12;Muy buena / Oso ona;75;86;1015,1;0;0,1;12;0,46
24/10/2017;24:00;21;41;Muy buena / Oso ona;73;36;Muy buena / Oso ona;9;Muy buena / Oso ona;115;88;1015,3;0;0,2;11,9;0,56
24/10/2017;23:00;32;43;Muy buena / Oso ona;91;29;Muy buena / Oso ona;12;Muy buena / Oso ona;77;87;1015,7;0;0,3;12,2;0,49
24/10/2017;22:00;54;47;Muy buena / Oso ona;130;25;Muy buena / Oso ona;14;Muy buena / Oso ona;85;85;1015,9;0;0,6;12,5;0,41
24/10/2017;21:00;57;56;Muy buena / Oso ona;142;26;Muy buena / Oso ona;16;Muy buena / Oso ona;79;83;1015,9;0;0,7;13,4;0,49
24/10/2017;20:00;42;67;Muy buena / Oso ona;130;25;Muy buena / Oso ona;20;Muy buena / Oso ona;82;81;1015,7;0;0,7;14,5;0,53
24/10/2017;19:00;21;75;Muy buena / Oso ona;107;27;Muy buena / Oso ona;23;Muy buena / Oso ona;30;76;1015,8;0;0,3;16,2;0,35
24/10/2017;18:00;2;59;Muy buena / Oso ona;62;26;Muy buena / Oso ona;21;Muy buena / Oso ona;294;67;1015,5;0;2,2;18,4;0,43
24/10/2017;17:00;3;38;Muy buena / Oso ona;43;38;Muy buena / Oso ona;20;Muy buena / Oso ona;310;54;1015,2;0;40;21,3;1,23
24/10/2017;16:00;9;48;Muy buena / Oso ona;61;29;Muy buena / Oso ona;12;Muy buena / Oso ona;304;48;1014,6;0;210,2;23,9;1,5
24/10/2017;15:00;7;39;Muy buena / Oso ona;49;21;Muy buena / Oso ona;14;Muy buena / Oso ona;112;31;1013,8;0;275,4;27,7;1,4
24/10/2017;14:00;11;39;Muy buena / Oso ona;56;23;Muy buena / Oso ona;8;Muy buena / Oso ona;104;34;1013,9;0;317;26,8;1,74
24/10/2017;13:00;16;42;Muy buena / Oso ona;66;24;Muy buena / Oso ona;9;Muy buena / Oso ona;95;36;1014;0;605,6;25,9;0,94
24/10/2017;12:00;28;51;Muy buena / Oso ona;93;24;Muy buena / Oso ona;12;Muy buena / Oso ona;102;41;1014,7;0;570,4;23,3;0,38
24/10/2017;11:00;29;49;Muy buena / Oso ona;93;23;Muy buena / Oso ona;4;Muy buena / Oso ona;92;42;1015,6;0;454,7;20,8;0,72
24/10/2017;10:00;36;49;Muy buena / Oso ona;104;30;Muy buena / Oso ona;8;Muy buena / Oso ona;47;45;1016,1;0;368,6;18,8;0,18
24/10/2017;09:00;61;56;Muy buena / Oso ona;149;33;Muy buena / Oso ona;10;Muy buena / Oso ona;111;57;1016,7;0;138,2;14,6;1,49
24/10/2017;08:00;77;57;Muy buena / Oso ona;175;36;Muy buena / Oso ona;20;Muy buena / Oso ona;83;66;1016,9;0;61,7;12,1;1,28
24/10/2017;07:00;73;55;Muy buena / Oso ona;167;35;Muy buena / Oso ona;21;Muy buena / Oso ona;92;73;1017,3;0;3,8;10,2;1,28
24/10/2017;06:00;53;54;Muy buena / Oso ona;134;25;Muy buena / Oso ona;17;Muy buena / Oso ona;97;76;1017,6;0;0;9,9;0,96
24/10/2017;05:00;20;44;Muy buena / Oso ona;75;19;Muy buena / Oso ona;16;Muy buena / Oso ona;87;78;1017,9;0;0;9,8;1,03
24/10/2017;04:00;13;38;Muy buena / Oso ona;58;26;Muy buena / Oso ona;18;Muy buena / Oso ona;98;80;1018,1;0;0;9,8;1,5
24/10/2017;03:00;5;36;Muy buena / Oso ona;44;24;Muy buena / Oso ona;16;Muy buena / Oso ona;98;82;1018,6;0;0;10;1,63
24/10/2017;02:00;10;36;Muy buena / Oso ona;50;22;Muy buena / Oso ona;12;Muy buena / Oso ona;93;85;1019,1;0;0,2;9,9;0,84
24/10/2017;01:00;18;33;Muy buena / Oso ona;61;24;Muy buena / Oso ona;12;Muy buena / Oso ona;61;88;1019,5;0;0,2;10,1;0,41
23/10/2017;24:00;25;36;Muy buena / Oso ona;75;22;Muy buena / Oso ona;10;Muy buena / Oso ona;86;87;1020,1;0;0,2;10,8;0,57
23/10/2017;23:00;39;39;Muy buena / Oso ona;99;25;Muy buena / Oso ona;10;Muy buena / Oso ona;79;89;1020,3;0;0,3;10,9;0,53
23/10/2017;22:00;58;48;Muy buena / Oso ona;137;29;Muy buena / Oso ona;10;Muy buena / Oso ona;73;88;1020,1;0;0,4;11;0,41
23/10/2017;21:00;64;57;Muy buena / Oso ona;155;25;Muy buena / Oso ona;14;Muy buena / Oso ona;34;86;1019,9;0;0,7;11,5;0,4
23/10/2017;20:00;56;61;Muy buena / Oso ona;147;27;Muy buena / Oso ona;17;Muy buena / Oso ona;4;83;1019,9;0;0,5;12,7;0,22
23/10/2017;19:00;52;71;Muy buena / Oso ona;151;27;Muy buena / Oso ona;27;Buena / Ona;32;79;1019,9;0;0,2;13,8;0,34
23/10/2017;18:00;23;80;Muy buena / Oso ona;114;26;Muy buena / Oso ona;23;Muy buena / Oso ona;30;67;1019,8;0;1,9;16;0,18
23/10/2017;17:00;4;43;Muy buena / Oso ona;48;24;Muy buena / Oso ona;12;Muy buena / Oso ona;319;51;1019,7;0;48,1;19,7;0,64
23/10/2017;16:00;4;23;Muy buena / Oso ona;28;22;Muy buena / Oso ona;14;Muy buena / Oso ona;323;49;1019,7;0;215,5;20,4;1,07
23/10/2017;15:00;5;22;Muy buena / Oso ona;30;14;Muy buena / Oso ona;11;Muy buena / Oso ona;314;49;1019,4;0;251,8;20,9;1,16
23/10/2017;14:00;4;15;Muy buena / Oso ona;21;14;Muy buena / Oso ona;6;Muy buena / Oso ona;334;45;1019,3;0;375,2;22,4;0,58
23/10/2017;13:00;7;20;Muy buena / Oso ona;30;10;Muy buena / Oso ona;3;Muy buena / Oso ona;16;43;1019;0;657,1;22,2;0,34
23/10/2017;12:00;8;22;Muy buena / Oso ona;34;16;Muy buena / Oso ona;0;Muy buena / Oso ona;126;51;1018,9;0;666,1;19,5;0,86
23/10/2017;11:00;11;23;Muy buena / Oso ona;40;19;Muy buena / Oso ona;0;Muy buena / Oso ona;139;58;1019,1;0;542;17,3;1,05
23/10/2017;10:00;26;34;Muy buena / Oso ona;75;24;Muy buena / Oso ona;1;Muy buena / Oso ona;128;67;1019,8;0;418,8;15;0,93
23/10/2017;09:00;46;42;Muy buena / Oso ona;111;11;Muy buena / Oso ona;9;Muy buena / Oso ona;103;77;1020,3;0;145,9;12,7;1,15
23/10/2017;08:00;54;45;Muy buena / Oso ona;127;13;Muy buena / Oso ona;8;Muy buena / Oso ona;102;82;1020,3;0;48,4;11,3;1,07
23/10/2017;07:00;51;44;Muy buena / Oso ona;121;17;Muy buena / Oso ona;8;Muy buena / Oso ona;112;90;1020,3;0;4,1;9,7;0,73
23/10/2017;06:00;26;40;Muy buena / Oso ona;79;14;Muy buena / Oso ona;9;Muy buena / Oso ona;100;91;1020,7;0;0;9,7;1,24
23/10/2017;05:00;10;34;Muy buena / Oso ona;49;17;Muy buena / Oso ona;7;Muy buena / Oso ona;72;92;1021;0;0,1;9,8;0,49
23/10/2017;04:00;6;30;Muy buena / Oso ona;39;18;Muy buena / Oso ona;11;Muy buena / Oso ona;107;93;1020,7;0;0;9,9;0,98
23/10/2017;03:00;6;27;Muy buena / Oso ona;36;18;Muy buena / Oso ona;10;Muy buena / Oso ona;98;95;1020,9;0;0;10,2;1,03
23/10/2017;02:00;12;29;Muy buena / Oso ona;47;16;Muy buena / Oso ona;7;Muy buena / Oso ona;84;94;1021,3;0;0,3;10,4;0,82
23/10/2017;01:00;9;23;Muy buena / Oso ona;37;16;Muy buena / Oso ona;1;Muy buena / Oso ona;42;93;1021,8;0;0,7;10,5;0,29
22/10/2017;24:00;13;28;Muy buena / Oso ona;49;16;Muy buena / Oso ona;4;Muy buena / Oso ona;69;93;1022,3;0;0,3;10,8;0,32
22/10/2017;23:00;12;36;Muy buena / Oso ona;54;15;Muy buena / Oso ona;8;Muy buena / Oso ona;81;91;1022,7;0;0,2;12,1;0,43
22/10/2017;22:00;11;39;Muy buena / Oso ona;56;15;Muy buena / Oso ona;9;Muy buena / Oso ona;19;90;1022,6;0;0,1;12,8;0,3
22/10/2017;21:00;3;40;Muy buena / Oso ona;45;18;Muy buena / Oso ona;8;Muy buena / Oso ona;89;87;1022,8;0;0;13,7;0,58
22/10/2017;20:00;2;42;Muy buena / Oso ona;46;18;Muy buena / Oso ona;8;Muy buena / Oso ona;97;86;1022,8;0;0;14,2;0,84
22/10/2017;19:00;1;38;Muy buena / Oso ona;39;20;Muy buena / Oso ona;9;Muy buena / Oso ona;70;83;1022,9;0;0;14,5;0,51
22/10/2017;18:00;;;Sin datos / Daturik gabe;14;13;Muy buena / Oso ona;8;Muy buena / Oso ona;8;79;1022,6;0;1,3;15,2;0,14
22/10/2017;17:00;;;Sin datos / Daturik gabe;6;16;Muy buena / Oso ona;12;Muy buena / Oso ona;332;76;1022,4;0;18,1;15,1;0,49
22/10/2017;16:00;;;Sin datos / Daturik gabe;10;21;Muy buena / Oso ona;4;Muy buena / Oso ona;321;69;1022,3;0;49,2;16,2;0,64
22/10/2017;15:00;;;Sin datos / Daturik gabe;5;16;Muy buena / Oso ona;3;Muy buena / Oso ona;347;67;1022,3;0;122;16,6;0,32
22/10/2017;14:00;;;Sin datos / Daturik gabe;6;9;Muy buena / Oso ona;5;Muy buena / Oso ona;335;66;1022,3;0;155,3;16,1;0,9
22/10/2017;13:00;1;6;Muy buena / Oso ona;8;10;Muy buena / Oso ona;4;Muy buena / Oso ona;309;67;1022,5;0;191,9;16;1,53
22/10/2017;12:00;1;7;Muy buena / Oso ona;9;17;Muy buena / Oso ona;0;Muy buena / Oso ona;270;68;1022,8;0;304,3;16,3;1,73
22/10/2017;11:00;1;9;Muy buena / Oso ona;11;18;Muy buena / Oso ona;6;Muy buena / Oso ona;224;80;1023,1;0;223,8;14,4;1,22
22/10/2017;10:00;1;12;Muy buena / Oso ona;13;17;Muy buena / Oso ona;7;Muy buena / Oso ona;277;85;1023,4;0,1;118,2;13,8;0,73
22/10/2017;09:00;1;11;Muy buena / Oso ona;12;13;Muy buena / Oso ona;5;Muy buena / Oso ona;275;85;1023;0;87,4;13,6;0,62
22/10/2017;08:00;1;16;Muy buena / Oso ona;17;11;Muy buena / Oso ona;2;Muy buena / Oso ona;328;88;1023,1;0,3;9,9;13;0,32
22/10/2017;07:00;;;Sin datos / Daturik gabe;14;10;Muy buena / Oso ona;6;Muy buena / Oso ona;186;83;1022,2;0;2,2;13,1;0,4
22/10/2017;06:00;;;Sin datos / Daturik gabe;13;9;Muy buena / Oso ona;4;Muy buena / Oso ona;80;88;1022,2;0,1;0;12,9;0,48
22/10/2017;05:00;;;Sin datos / Daturik gabe;8;8;Muy buena / Oso ona;6;Muy buena / Oso ona;16;83;1021,6;0;0;13,4;0,23
22/10/2017;04:00;;;Sin datos / Daturik gabe;9;28;Muy buena / Oso ona;8;Muy buena / Oso ona;277;80;1021,7;0;0;13,4;1,03
