Date;Hour;Benceno (µg/m3);Etilbenceno (µg/m3);Ortoxileno (µg/m3);Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
23/10/2017;14:00;;;;;343;53;1022,6;0;197,3;20;1,99
23/10/2017;13:00;;;;;338;47;1022,6;0;275,7;21,2;0,48
23/10/2017;12:00;1,12;0,83;3,31;3,18;100;54;1022,6;0;67,2;19,3;0,46
23/10/2017;11:00;1,34;1,41;5,81;5,53;107;62;1022,9;0;100,9;16,4;0,79
23/10/2017;10:00;0,79;1,51;6,36;5,87;128;70;1023,5;0;143;13,9;0,6
23/10/2017;09:00;0,58;1,38;5,47;7,43;127;79;1023,9;0;35,1;11,6;0,58
23/10/2017;08:00;0,36;0,51;2,11;2,58;152;86;1023,6;0;74;9,6;0,77
23/10/2017;07:00;0,19;0,13;0,79;1,45;154;88;1023,3;0;3,5;8,8;1,1
23/10/2017;06:00;0,17;0,13;0,33;1,22;152;88;1023,7;0;0,3;8,9;1,1
23/10/2017;05:00;0,16;0,13;0,54;1,33;156;88;1023,9;0;0,3;9,1;1,08
23/10/2017;04:00;0,22;0,13;0,68;1,19;153;88;1023,7;0;0,3;9,8;0,87
23/10/2017;03:00;0,12;0,13;0,29;1,17;150;88;1023,8;0;0,3;10;0,97
23/10/2017;02:00;0,12;0,13;0,14;1,01;157;87;1024,2;0;0,3;9,9;1,03
23/10/2017;01:00;0,14;0,13;0,58;1,28;157;87;1024,8;0;0,3;10,3;1,21
22/10/2017;24:00;0,21;0,13;0,33;1,5;165;86;1025,2;0;0,3;10,9;0,83
22/10/2017;23:00;0,2;0,13;0,79;1,53;176;84;1025,5;0;0,3;11,6;0,76
22/10/2017;22:00;0,25;0,13;0,57;1,38;170;82;1025,5;0;0,3;12,4;0,63
22/10/2017;21:00;0,28;0,13;0,57;1,12;173;79;1025,6;0;0,3;13,7;0,49
22/10/2017;20:00;0,28;0,13;0,94;1,07;172;75;1025,6;0;0,3;14,5;0,24
22/10/2017;19:00;0,24;0,13;0,8;1,27;234;75;1025,6;0;0,3;14,9;0,32
22/10/2017;18:00;0,25;0,13;0,5;1,02;263;74;1025,3;0;2;15,2;0,53
22/10/2017;17:00;0,23;0,13;0,36;0,66;322;72;1025,1;0;15,7;15,5;1,15
22/10/2017;16:00;0,23;0,13;0,68;0,67;305;70;1025,1;0;49,7;15,8;0,66
22/10/2017;15:00;0,15;0,13;0,19;0,32;330;70;1025,2;0;99,9;15,7;0,29
22/10/2017;14:00;;;;;360;69;1025,3;0;122,3;15,5;1,11
22/10/2017;13:00;;;;;313;67;1025,6;0;182,8;15,8;1,32
22/10/2017;12:00;0,22;0,13;0,37;0,74;286;72;1026,1;0;230,6;15,5;0,8
22/10/2017;11:00;0,24;0,13;0,55;0,88;177;84;1026,5;0;148,2;13,8;0,4
22/10/2017;10:00;0,2;0,13;0,53;0,91;271;86;1026,5;0;82,4;13,2;0,09
22/10/2017;09:00;0,25;0,13;0,4;1,02;178;86;1026,1;0;66;12,8;0,39
22/10/2017;08:00;0,2;0,13;0,37;0,84;306;78;1025,9;0,1;13;13,2;0,84
22/10/2017;07:00;0,28;0,13;0,74;1,55;191;79;1025;0;3,7;13;0,63
22/10/2017;06:00;0,33;0,2;0,97;1,51;311;81;1025;0;0,3;13,1;0,25
22/10/2017;05:00;0,27;0,23;1,23;1,41;111;82;1024,4;0;0,3;12,9;0,11
22/10/2017;04:00;0,17;0,13;0,23;0,62;272;79;1024,5;0;0,3;13,1;0,55
22/10/2017;03:00;0,19;0,13;0,29;0,77;329;73;1024,4;0;0,3;13,8;1,15
22/10/2017;02:00;0,23;0,13;0,21;0,74;314;69;1024,4;0;0,3;14,6;0,41
22/10/2017;01:00;0,17;0,13;0,22;0,72;272;67;1024,5;0;0,3;14,6;0,52
21/10/2017;24:00;0,2;0,13;0,36;0,74;294;69;1024,7;0;0,3;14,8;1,13
21/10/2017;23:00;0,28;0,13;0,26;0,99;299;63;1024,6;0;0,3;15,5;1,35
21/10/2017;22:00;0,23;0,13;0,43;1,11;282;62;1024,2;0;0,3;15,8;1,13
21/10/2017;21:00;0,31;0,13;0,55;1,24;281;62;1023,9;0;0,3;15,9;0,82
21/10/2017;20:00;0,4;0,13;0,95;1,26;288;62;1023,8;0;0,3;16,1;1,08
21/10/2017;19:00;0,7;0,13;0,54;1,07;284;60;1023,5;0;0,3;16,4;0,93
21/10/2017;18:00;0,63;0,13;0,64;0,91;329;58;1022,9;0;2,2;16,8;1,6
21/10/2017;17:00;0,25;0,13;0,34;0,61;332;62;1022,4;0;20,4;16,9;1,82
21/10/2017;16:00;0,21;0,13;0,41;0,64;333;60;1021,9;0;70,7;17,3;3,06
21/10/2017;15:00;0,15;0,13;0,65;0,74;335;62;1021,5;0;148,6;17,4;2,77
21/10/2017;14:00;;;;;338;63;1021,1;0;164,3;17,3;3,34
21/10/2017;13:00;;;;;337;61;1020,7;0;205,2;17,9;3,53
21/10/2017;12:00;0,26;0,14;1,08;1,39;316;51;1020,8;0;207,1;18,8;1,73
21/10/2017;11:00;0,21;0,43;1,82;1,95;303;60;1020,8;0;219,5;18,1;0,98
21/10/2017;10:00;0,21;0,92;3,8;2,59;162;76;1020,5;0;143,1;16,6;0,42
21/10/2017;09:00;0,37;0,13;0,56;1,34;176;74;1020,1;0;54,6;16;0,27
21/10/2017;08:00;0,27;0,13;0,29;0,75;282;77;1019,6;0;15,3;15,4;0,88
21/10/2017;07:00;0,41;0,13;0,69;0,71;314;82;1018,9;0;2,4;15,5;1,62
21/10/2017;06:00;0,48;0,13;0,31;0,56;346;83;1018;0;0,3;16,1;1,03
21/10/2017;05:00;0,34;0,13;0,33;0,61;334;77;1017,2;0;0,3;17,2;1,98
21/10/2017;04:00;0,31;0,13;0,44;0,53;320;78;1016,2;0;0,3;17,7;1,81
21/10/2017;03:00;0,51;0,13;0,59;0,76;337;79;1015,6;0;0,3;18,2;2,06
21/10/2017;02:00;0,16;0,13;0,32;0,48;328;69;1014,1;0;0,3;20,8;2,71
21/10/2017;01:00;0,1;0,13;0,11;0,37;219;54;1011,9;0;0,3;23,8;1,82
20/10/2017;24:00;0,11;0,13;0,17;0,6;214;54;1011,1;0;0,3;23,8;1,76
20/10/2017;23:00;0,18;0,13;0,35;0,69;199;53;1010,9;0;0,3;23,6;1,59
20/10/2017;22:00;0,12;0,13;0,48;0,83;191;48;1010,8;0;0,3;23,8;1,64
20/10/2017;21:00;0,21;0,23;1,26;1,91;188;43;1010,8;0;0,3;23,9;1,77
20/10/2017;20:00;0,61;0,9;3,91;6,43;174;51;1011;0;0,3;21,6;1,09
20/10/2017;19:00;1,13;1,35;5,24;8,06;171;64;1011,3;0;0,3;19,5;0,65
20/10/2017;18:00;1,14;1,12;4,29;6,57;209;63;1011,4;0;2,5;20,7;0,26
20/10/2017;17:00;0,76;0,9;3,15;4,72;319;56;1011,4;0;16;23;0,45
20/10/2017;16:00;0,72;0,67;2,28;2,81;342;53;1011,7;0;29,5;23,4;1,05
20/10/2017;15:00;0,54;0,43;1,4;2,25;341;53;1011,8;0;68,7;23;1,34
20/10/2017;14:00;;;;;336;52;1012;0;230,5;23;1,71
20/10/2017;13:00;;;;;311;45;1012,3;0;222,8;24,8;0,37
20/10/2017;12:00;0,57;0,64;2,53;3,17;239;49;1012,7;0;92,2;23,7;0,5
20/10/2017;11:00;1,88;1,58;6;6,18;231;56;1013;0;263,4;21,9;0,5
20/10/2017;10:00;1,15;1,66;6,66;7,45;103;65;1013,2;0;168;18,7;0,35
20/10/2017;09:00;0,87;1,52;6,33;8,87;118;69;1013,3;0;83,2;17;0,3
20/10/2017;08:00;0,8;1,17;4,95;8,27;155;70;1013,1;0;38,5;16,1;0,48
20/10/2017;07:00;0,56;0,64;2,6;6,79;152;69;1012,6;0;3,8;16;0,43
20/10/2017;06:00;0,37;0,27;1,32;6,41;159;67;1012,1;0;0,3;16,2;0,4
20/10/2017;05:00;0,64;0,36;1,72;2,92;153;65;1011,5;0;0,3;16,5;0,63
20/10/2017;04:00;0,63;0,19;1,25;3,05;156;62;1011,2;0;0,3;17,1;0,52
20/10/2017;03:00;0,91;0,42;1,95;3,15;149;60;1011,1;0;0,3;17,4;0,3
20/10/2017;02:00;1,24;0,51;1,97;3,58;146;60;1010,7;0;0,3;17,4;0,4
20/10/2017;01:00;2,26;0,7;2,88;4,55;163;59;1010,8;0;0,3;17,7;0,36
19/10/2017;24:00;2,83;0,19;1,33;2,66;4;53;1010,6;0;0,3;18,9;0,14
19/10/2017;23:00;3,1;0,15;1,14;2,29;206;49;1009,8;0;0,3;19,3;0,17
19/10/2017;22:00;7,35;0,72;2,8;4,88;128;51;1009;0;0,3;19,1;0,29
19/10/2017;21:00;11,79;1,01;4,21;7,11;126;57;1008,3;0;0,3;18;0,56
19/10/2017;20:00;0,52;0,89;3,71;4,68;146;62;1007,8;0;0,3;17,3;0,58
19/10/2017;19:00;0,58;0,73;2,77;4,37;164;60;1007,5;0;0,3;17,4;0,81
19/10/2017;18:00;0,71;0,55;2,04;3,31;162;54;1007;0;2;19;0,28
19/10/2017;17:00;0,81;0,36;1,32;1,72;183;47;1006,5;0;32,3;21,5;0,33
19/10/2017;16:00;0,64;0,24;0,97;1,17;160;45;1006,1;0;97,7;22,7;0,31
19/10/2017;15:00;0,61;0,14;0,89;1,11;165;45;1005,9;0;144,1;22,8;0,55
19/10/2017;14:00;;;;;207;47;1006,2;0;291,5;22,8;0,32
19/10/2017;13:00;;;;;148;51;1006,7;0;332,6;22;0,48
19/10/2017;12:00;;;;;102;56;1007,6;0;173,8;20,4;0,4
19/10/2017;11:00
19/10/2017;10:00;;;;;175;73;1008,2;0;175,2;16,4;0,51
19/10/2017;09:00;8,92;0,68;2,2;5,68;130;86;1008;0;37;14,3;0,57
19/10/2017;08:00;2,12;0,69;3,12;5,12;139;90;1007,9;0;75;12,8;0,56
19/10/2017;07:00;0,49;0,16;0,92;1,87;159;89;1007,7;0;3,2;12,6;0,88
19/10/2017;06:00;2,18;0,13;0,91;3,03;155;89;1007,4;0;0,3;12,9;0,77
19/10/2017;05:00;0,28;0,13;1,12;2,91;161;89;1007,3;0;0,3;13,2;0,37
19/10/2017;04:00;0,28;0,13;0,54;2;164;89;1007,4;0;0,3;13,3;0,38
19/10/2017;03:00;0,22;0,13;0,46;2,28;156;89;1007,3;0;0,3;13,3;0,72
19/10/2017;02:00;0,27;0,13;0,45;2,33;143;90;1007,3;0;0,3;13,2;0,48
19/10/2017;01:00;0,29;0,13;0,71;2,46;147;90;1007,2;0;0,3;13,2;0,44
18/10/2017;24:00;0,32;0,13;1;3,1;161;90;1007,3;0;0,3;13,3;0,54
18/10/2017;23:00;0,8;0,32;1,38;3,07;165;89;1007,4;0,1;0,3;13,7;0,42
18/10/2017;22:00;0,87;0,47;2,16;3,5;148;88;1007,6;0,1;0,3;14,1;0,21
18/10/2017;21:00;0,52;0,52;2,26;2,51;197;86;1007,2;0;0,3;14,2;0,35
18/10/2017;20:00;0,75;0,65;2,75;3,03;285;86;1007;0,1;0,3;14,5;0,32
18/10/2017;19:00;0,53;0,67;2,77;3,12;337;85;1006,7;0;0,3;14,6;0,95
18/10/2017;18:00;0,67;1,05;3,92;4,24;327;81;1006,2;0,1;1,1;15,2;1,5
18/10/2017;17:00;0,9;1,2;4,46;7,87;316;79;1005,8;0;26,2;16,5;1,04
18/10/2017;16:00;0,89;1,36;5,12;7,88;176;85;1005,6;0;45,4;16,1;0,15
18/10/2017;15:00;1,3;1,29;4,94;6,26;149;85;1005,8;0;74;16,2;0,1
18/10/2017;14:00;1,75;0,96;3,81;6,08;41;86;1005,6;0;83;15,9;0,12
18/10/2017;13:00;0,75;0,88;3,92;7,98;175;85;1005,6;0;83,3;15,3;0,74
18/10/2017;12:00;1,09;1,3;5,02;7,93;170;81;1006,3;0,2;72,8;16,1;0,22
18/10/2017;11:00;1,16;1,41;5,27;7,95;167;71;1006,3;0,1;54,5;17,1;0,05
18/10/2017;10:00;;;;;169;70;1006,1;0;52,3;16,6;0,32
18/10/2017;09:00;1,37;1,1;4,36;8,82;167;71;1006,5;0;74;16,2;0,83
18/10/2017;08:00;0,59;0,2;1,34;4,26;183;72;1006,7;0;45,8;15,6;0,52
18/10/2017;07:00;0,41;0,13;0,93;3,54;189;74;1006,6;0;6,2;15,4;0,89
18/10/2017;06:00;0,49;0,19;1,06;3,02;186;76;1006,9;0;0,3;15,6;1,2
18/10/2017;05:00;0,62;0,31;1,73;5,45;179;88;1007,4;0;0,3;14,8;0,77
18/10/2017;04:00;0,8;0,33;1,75;6,09;181;90;1007,9;0;0,3;14,9;0,32
18/10/2017;03:00;0,89;0,39;1,75;4,09;199;90;1008,3;0;0,3;15,8;0,09
18/10/2017;02:00;1,14;0,43;1,9;5,16;179;90;1008,6;0;0,3;16,3;0,53
18/10/2017;01:00;1,48;0,54;1,97;4,17;203;89;1009,2;0;0,3;16,9;0,27
17/10/2017;24:00;1,3;0,51;1,99;3,84;327;88;1009,6;0;0,3;17,3;0,06
17/10/2017;23:00;1,42;0,72;2,68;4,09;261;87;1010,4;0;0,3;17,7;0,16
17/10/2017;22:00;1,52;0,7;2,74;3,31;360;86;1010,7;0;0,3;17,9;0,24
17/10/2017;21:00;1,53;0,42;2,38;3,1;14;86;1010,8;0;0,3;18,1;0,24
17/10/2017;20:00;1,55;0,29;1,17;2,52;10;87;1010,9;0;0,3;18,2;0,46
17/10/2017;19:00;2,13;0,44;1,9;3,44;7;87;1011;0;0,3;18,2;0,69
17/10/2017;18:00;1,3;0,3;1,39;2,98;4;86;1011;0,1;1,5;18,6;0,75
17/10/2017;17:00;1,22;0,55;1,93;4,53;344;81;1010,7;0,1;28,7;19,3;1,41
17/10/2017;16:00;1,55;0,58;2,32;3,55;336;74;1010,3;0;63;20,3;2,02
