Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
26/10/2017;07:00;;;Sin datos / Daturik gabe;29;41;"Muy buena / ";49;11;Muy buena / Oso ona;4;Muy buena / Oso ona;233;45;1010,5;0;15,3;21,3;1,89
26/10/2017;06:00;;;Sin datos / Daturik gabe;17;52;"Muy buena / ";49;11;Muy buena / Oso ona;4;Muy buena / Oso ona;236;45;1009,8;0;0;21,3;2,4
26/10/2017;05:00;;;Sin datos / Daturik gabe;10;60;"Muy buena / ";44;12;Muy buena / Oso ona;4;Muy buena / Oso ona;223;47;1009,4;0;0;20,9;1,41
26/10/2017;04:00;;;Sin datos / Daturik gabe;10;61;"Buena / ";40;13;Muy buena / Oso ona;4;Muy buena / Oso ona;237;45;1009,3;0;0;21,8;2,19
26/10/2017;03:00;;;Sin datos / Daturik gabe;12;56;"Muy buena / ";32;13;Muy buena / Oso ona;4;Muy buena / Oso ona;240;48;1009,2;0;0;20,9;0,88
26/10/2017;02:00;;;Sin datos / Daturik gabe;21;43;"Muy buena / ";29;18;Muy buena / Oso ona;4;Muy buena / Oso ona;60;53;1009,1;0;0;20;0,29
26/10/2017;01:00;;;Sin datos / Daturik gabe;27;31;"Muy buena / ";27;14;Muy buena / Oso ona;4;Muy buena / Oso ona;104;60;1009,1;0;0;18,6;0,55
25/10/2017;24:00;;;Sin datos / Daturik gabe;19;45;"Muy buena / ";30;15;Muy buena / Oso ona;4;Muy buena / Oso ona;185;55;1009,5;0;0;19,9;0,89
25/10/2017;23:00;;;Sin datos / Daturik gabe;25;38;"Muy buena / ";33;17;Muy buena / Oso ona;4;Muy buena / Oso ona;194;59;1009,7;0;0;19,3;0,89
25/10/2017;22:00;;;Sin datos / Daturik gabe;38;25;"Muy buena / ";33;20;Muy buena / Oso ona;4;Muy buena / Oso ona;193;63;1009,5;0;0;19;0,98
25/10/2017;21:00;2;46;Muy buena / Oso ona;50;11;"Muy buena / ";36;27;Muy buena / Oso ona;4;Muy buena / Oso ona;217;72;1009,1;0;0;18,2;1,39
25/10/2017;20:00;3;50;Muy buena / Oso ona;54;10;"Muy buena / ";39;35;Muy buena / Oso ona;4;Muy buena / Oso ona;155;85;1009,2;0;0;17;1,68
25/10/2017;19:00;;;Sin datos / Daturik gabe;43;34;"Muy buena / ";43;26;Muy buena / Oso ona;4;Muy buena / Oso ona;224;80;1009,4;0;0;17,5;1,17
25/10/2017;18:00;2;39;Muy buena / Oso ona;38;39;"Muy buena / ";43;26;Muy buena / Oso ona;4;Muy buena / Oso ona;296;83;1009,4;0;1,8;17,9;1,13
25/10/2017;17:00;;;Sin datos / Daturik gabe;24;53;"Muy buena / ";43;27;Muy buena / Oso ona;4;Muy buena / Oso ona;315;79;1009,2;0;140,9;19;1,61
25/10/2017;16:00;2;26;Muy buena / Oso ona;29;50;"Muy buena / ";36;36;Muy buena / Oso ona;4;Muy buena / Oso ona;313;67;1009;0;438,4;21;1,54
25/10/2017;15:00;4;27;Muy buena / Oso ona;33;45;"Muy buena / ";28;34;Muy buena / Oso ona;4;Muy buena / Oso ona;297;65;1009;0;572;21,8;1,09
25/10/2017;14:00;5;24;Muy buena / Oso ona;32;49;"Muy buena / ";21;29;Muy buena / Oso ona;4;Muy buena / Oso ona;306;59;1009,2;0;789,8;21,6;1,35
25/10/2017;13:00;11;38;Muy buena / Oso ona;55;34;"Muy buena / ";14;34;Muy buena / Oso ona;4;Muy buena / Oso ona;22;52;1009,7;0;957,1;23,3;0,4
25/10/2017;12:00;14;41;Muy buena / Oso ona;62;30;"Muy buena / ";11;20;Muy buena / Oso ona;4;Muy buena / Oso ona;69;52;1010,3;0;979,9;22,6;0,44
25/10/2017;11:00;19;42;Muy buena / Oso ona;71;;"Sin datos / ";12;19;Muy buena / Oso ona;4;Muy buena / Oso ona;95;56;1010,7;0;876,4;21;0,63
25/10/2017;10:00;42;38;Muy buena / Oso ona;103;8;"Muy buena / ";11;20;Muy buena / Oso ona;5;Muy buena / Oso ona;108;63;1010,8;0;674,6;19,2;0,61
25/10/2017;09:00;52;38;Muy buena / Oso ona;117;6;"Muy buena / ";12;28;Muy buena / Oso ona;5;Muy buena / Oso ona;132;70;1010,5;0;454,3;16,2;1,04
25/10/2017;08:00;111;45;Muy buena / Oso ona;215;2;"Muy buena / ";13;20;Muy buena / Oso ona;6;Muy buena / Oso ona;96;76;1010;0;262,8;14,4;0,31
25/10/2017;07:00;33;41;Muy buena / Oso ona;92;1;"Muy buena / ";14;11;Muy buena / Oso ona;5;Muy buena / Oso ona;146;78;1009,3;0;17,4;13,3;0,39
25/10/2017;06:00;4;33;Muy buena / Oso ona;37;6;"Muy buena / ";16;10;Muy buena / Oso ona;4;Muy buena / Oso ona;157;74;1009,1;0;0;14,2;0,53
25/10/2017;05:00;;;Sin datos / Daturik gabe;26;15;"Muy buena / ";15;10;Muy buena / Oso ona;4;Muy buena / Oso ona;174;73;1008,8;0;0;14,8;1,32
25/10/2017;04:00;;;Sin datos / Daturik gabe;21;20;"Muy buena / ";13;5;Muy buena / Oso ona;4;Muy buena / Oso ona;180;75;1008,6;0;0;14,6;0,76
25/10/2017;03:00;;;Sin datos / Daturik gabe;19;21;"Muy buena / ";11;8;Muy buena / Oso ona;4;Muy buena / Oso ona;175;78;1008,8;0;0;14,6;0,76
25/10/2017;02:00;;;Sin datos / Daturik gabe;19;19;"Muy buena / ";8;10;Muy buena / Oso ona;4;Muy buena / Oso ona;166;81;1009,2;0;0;14,5;0,88
25/10/2017;01:00;1;20;Muy buena / Oso ona;22;16;"Muy buena / ";6;10;Muy buena / Oso ona;4;Muy buena / Oso ona;159;82;1009,2;0;0;14,9;1,35
24/10/2017;24:00;1;23;Muy buena / Oso ona;25;15;"Muy buena / ";5;11;Muy buena / Oso ona;4;Muy buena / Oso ona;186;81;1009,3;0;0;15,4;0,91
24/10/2017;23:00;5;31;Muy buena / Oso ona;38;5;"Muy buena / ";7;14;Muy buena / Oso ona;4;Muy buena / Oso ona;202;82;1009,6;0;0;15,7;1,12
24/10/2017;22:00;6;37;Muy buena / Oso ona;47;1;"Muy buena / ";8;15;Muy buena / Oso ona;4;Muy buena / Oso ona;221;83;1009,7;0;0;16;1,52
24/10/2017;21:00;12;38;Muy buena / Oso ona;57;1;"Muy buena / ";11;14;Muy buena / Oso ona;4;Muy buena / Oso ona;205;83;1009,3;0;0;16,6;0,62
24/10/2017;20:00;8;38;Muy buena / Oso ona;50;4;"Muy buena / ";15;18;Muy buena / Oso ona;4;Muy buena / Oso ona;166;81;1009;0;0;17,5;1,31
24/10/2017;19:00;17;52;Muy buena / Oso ona;78;1;"Muy buena / ";18;27;Muy buena / Oso ona;5;Muy buena / Oso ona;169;75;1009,2;0;0;18,8;0,82
24/10/2017;18:00;9;61;Muy buena / Oso ona;74;8;"Muy buena / ";21;24;Muy buena / Oso ona;4;Muy buena / Oso ona;163;59;1009,1;0;2,6;20,8;0,52
24/10/2017;17:00;14;55;Muy buena / Oso ona;76;9;"Muy buena / ";22;27;Muy buena / Oso ona;4;Muy buena / Oso ona;297;52;1009;0;135;22,5;0,74
24/10/2017;16:00;17;51;Muy buena / Oso ona;77;15;"Muy buena / ";23;29;Muy buena / Oso ona;4;Muy buena / Oso ona;299;51;1009;0;401;23,1;0,62
24/10/2017;15:00;14;41;Muy buena / Oso ona;62;23;"Muy buena / ";22;24;Muy buena / Oso ona;4;Muy buena / Oso ona;291;52;1009,1;0;464,9;22,3;0,91
24/10/2017;14:00;12;39;Muy buena / Oso ona;57;26;"Muy buena / ";19;11;Muy buena / Oso ona;4;Muy buena / Oso ona;100;46;1009,3;0;655,5;23,2;0,5
24/10/2017;13:00;6;27;Muy buena / Oso ona;35;37;"Muy buena / ";16;16;Muy buena / Oso ona;4;Muy buena / Oso ona;103;45;1009,7;0;831,8;22,4;0,83
24/10/2017;12:00;10;28;Muy buena / Oso ona;44;28;"Muy buena / ";12;21;Muy buena / Oso ona;4;Muy buena / Oso ona;128;48;1010,4;0;890,4;20,3;1,05
24/10/2017;11:00;13;28;Muy buena / Oso ona;48;;"Sin datos / ";10;16;Muy buena / Oso ona;5;Muy buena / Oso ona;138;54;1011,2;0;825,3;17,6;1,83
24/10/2017;10:00;17;29;Muy buena / Oso ona;55;19;"Muy buena / ";11;20;Muy buena / Oso ona;4;Muy buena / Oso ona;143;61;1011,7;0;538,8;14,8;1,99
24/10/2017;09:00;20;31;Muy buena / Oso ona;62;13;"Muy buena / ";11;14;Muy buena / Oso ona;4;Muy buena / Oso ona;145;69;1012;0;436;12,6;1,83
24/10/2017;08:00;25;36;Muy buena / Oso ona;74;7;"Muy buena / ";11;14;Muy buena / Oso ona;4;Muy buena / Oso ona;150;76;1012,1;0;247,9;10,7;1,53
24/10/2017;07:00;32;38;Muy buena / Oso ona;88;2;"Muy buena / ";13;11;Muy buena / Oso ona;4;Muy buena / Oso ona;164;85;1012,1;0;13,5;9,2;1,31
24/10/2017;06:00;7;31;Muy buena / Oso ona;41;6;"Muy buena / ";15;9;Muy buena / Oso ona;4;Muy buena / Oso ona;187;84;1012,4;0;0;9,6;1,09
24/10/2017;05:00;1;22;Muy buena / Oso ona;23;12;"Muy buena / ";17;10;Muy buena / Oso ona;4;Muy buena / Oso ona;175;86;1012,7;0;0;9,7;0,95
24/10/2017;04:00;;;Sin datos / Daturik gabe;18;14;"Muy buena / ";17;7;Muy buena / Oso ona;4;Muy buena / Oso ona;174;89;1012,9;0;0;9,8;0,98
24/10/2017;03:00;;;Sin datos / Daturik gabe;17;14;"Muy buena / ";16;7;Muy buena / Oso ona;4;Muy buena / Oso ona;161;91;1013,2;0;0;10,1;1,43
24/10/2017;02:00;;;Sin datos / Daturik gabe;15;18;"Muy buena / ";15;10;Muy buena / Oso ona;4;Muy buena / Oso ona;174;89;1013,6;0;0;10,7;1,07
24/10/2017;01:00;;;Sin datos / Daturik gabe;15;17;"Muy buena / ";15;10;Muy buena / Oso ona;4;Muy buena / Oso ona;160;90;1013,9;0;0;11,1;1,28
23/10/2017;24:00;;;Sin datos / Daturik gabe;18;17;"Muy buena / ";19;8;Muy buena / Oso ona;3;Muy buena / Oso ona;169;90;1014,4;0;0;11,4;1,2
23/10/2017;23:00;;;Sin datos / Daturik gabe;20;21;"Muy buena / ";24;11;Muy buena / Oso ona;4;Muy buena / Oso ona;176;87;1014,6;0;0;12;0,99
23/10/2017;22:00;;;Sin datos / Daturik gabe;20;21;"Muy buena / ";30;11;Muy buena / Oso ona;4;Muy buena / Oso ona;158;87;1014,3;0;0;12,4;1,37
23/10/2017;21:00;1;33;Muy buena / Oso ona;35;10;"Muy buena / ";31;14;Muy buena / Oso ona;4;Muy buena / Oso ona;165;87;1014;0;0;13;1,33
23/10/2017;20:00;2;35;Muy buena / Oso ona;37;11;"Muy buena / ";35;21;Muy buena / Oso ona;4;Muy buena / Oso ona;172;87;1013,9;0;0;13,6;0,97
23/10/2017;19:00;6;50;Muy buena / Oso ona;59;7;"Muy buena / ";43;23;Muy buena / Oso ona;4;Muy buena / Oso ona;199;83;1013,8;0;0;14,9;0,65
23/10/2017;18:00;;;Sin datos / Daturik gabe;51;19;"Muy buena / ";;15;Muy buena / Oso ona;4;Muy buena / Oso ona;119;77;1013,7;0;2,3;16;0,63
23/10/2017;17:00;;;Sin datos / Daturik gabe;31;44;"Muy buena / ";;13;Muy buena / Oso ona;4;Muy buena / Oso ona;103;67;1013,8;0;136,1;17,7;0,64
23/10/2017;16:00;;;Sin datos / Daturik gabe;17;61;"Buena / ";;20;Muy buena / Oso ona;4;Muy buena / Oso ona;76;60;1014;0;449,7;19,4;0,42
23/10/2017;15:00;;;Sin datos / Daturik gabe;10;67;"Buena / ";;22;Muy buena / Oso ona;4;Muy buena / Oso ona;39;60;1014,2;0;599,8;19,3;0,41
23/10/2017;14:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;24;60;1014,3;0;820,6;19;0,36
23/10/2017;13:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";23;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;
23/10/2017;12:00;1;11;Muy buena / Oso ona;13;57;"Muy buena / ";22;11;Muy buena / Oso ona;4;Muy buena / Oso ona;132;61;1014,2;0;1005,9;17,8;1,29
23/10/2017;11:00;6;20;Muy buena / Oso ona;30;;"Sin datos / ";18;11;Muy buena / Oso ona;4;Muy buena / Oso ona;128;70;1014,7;0;898,6;16,1;1,23
23/10/2017;10:00;10;22;Muy buena / Oso ona;37;22;"Muy buena / ";19;10;Muy buena / Oso ona;4;Muy buena / Oso ona;132;79;1015,1;0;687,4;14,1;1,67
23/10/2017;09:00;10;22;Muy buena / Oso ona;38;21;"Muy buena / ";19;10;Muy buena / Oso ona;4;Muy buena / Oso ona;154;84;1015,3;0;459,7;12,6;1,76
23/10/2017;08:00;11;29;Muy buena / Oso ona;46;13;"Muy buena / ";20;10;Muy buena / Oso ona;4;Muy buena / Oso ona;172;91;1014,9;0;270,1;10,9;1
23/10/2017;07:00;10;35;Muy buena / Oso ona;50;8;"Muy buena / ";22;10;Muy buena / Oso ona;4;Muy buena / Oso ona;184;96;1014,8;0;18,1;9,9;0,99
23/10/2017;06:00;3;26;Muy buena / Oso ona;28;15;"Muy buena / ";24;8;Muy buena / Oso ona;4;Muy buena / Oso ona;175;97;1015,1;0;0;10;0,95
23/10/2017;05:00;;;Sin datos / Daturik gabe;15;21;"Muy buena / ";26;9;Muy buena / Oso ona;4;Muy buena / Oso ona;170;97;1015,1;0;0;10,2;0,98
23/10/2017;04:00;;;Sin datos / Daturik gabe;13;25;"Muy buena / ";27;8;Muy buena / Oso ona;4;Muy buena / Oso ona;202;95;1014,9;0;0;10,7;0,83
