Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
24/10/2017;13:00;2;16;Muy buena / Oso ona;19;45;"Muy buena / ";66;238;28;972,1;889;23,8;4,89
24/10/2017;12:00;1;10;Muy buena / Oso ona;11;61;"Buena / ";71;225;27;972,5;994,6;23,1;5,92
24/10/2017;11:00;1;8;Muy buena / Oso ona;9;64;"Buena / ";74;220;29;973,1;812,8;21,9;6,67
24/10/2017;10:00;;;Sin datos / Daturik gabe;6;64;"Buena / ";76;212;31;973,3;834,1;21,3;4,49
24/10/2017;09:00;;;Sin datos / Daturik gabe;4;67;"Buena / ";77;216;29;973,4;482,3;21,1;3,91
24/10/2017;08:00;;;Sin datos / Daturik gabe;4;71;"Buena / ";76;212;30;973,5;265,9;20,4;3,68
24/10/2017;07:00;;;Sin datos / Daturik gabe;4;77;"Buena / ";77;202;29;973,4;15,4;19,8;4,19
24/10/2017;06:00;;;Sin datos / Daturik gabe;4;82;"Buena / ";73;191;23;973,6;0;19,8;3,12
24/10/2017;05:00;;;Sin datos / Daturik gabe;4;85;"Buena / ";70;186;19;974;0;19,7;2,46
24/10/2017;04:00;;;Sin datos / Daturik gabe;2;84;"Buena / ";63;196;19;974,2;0;19,4;2,35
24/10/2017;03:00;;;Sin datos / Daturik gabe;3;79;"Buena / ";59;198;21;974,6;0;18,9;2,1
24/10/2017;02:00;;;Sin datos / Daturik gabe;6;73;"Buena / ";54;169;36;975,1;0;17,7;3,72
24/10/2017;01:00;;;Sin datos / Daturik gabe;12;58;"Muy buena / ";53;158;49;975,5;0;16,5;3,84
23/10/2017;24:00;;;Sin datos / Daturik gabe;12;55;"Muy buena / ";54;140;53;976,1;0;16;3,45
23/10/2017;23:00;;;Sin datos / Daturik gabe;16;51;"Muy buena / ";54;100;49;976,4;0;15,9;2,22
23/10/2017;22:00;;;Sin datos / Daturik gabe;12;59;"Muy buena / ";54;227;58;976,1;0;15,8;0,81
23/10/2017;21:00;;;Sin datos / Daturik gabe;29;41;"Muy buena / ";51;200;61;976,1;0;15,2;1,41
23/10/2017;20:00;;;Sin datos / Daturik gabe;21;50;"Muy buena / ";48;339;64;976,1;0;14,8;0,48
23/10/2017;19:00;;;Sin datos / Daturik gabe;42;49;"Muy buena / ";46;283;45;976,1;0;16,2;2,03
23/10/2017;18:00;;;Sin datos / Daturik gabe;10;65;"Buena / ";45;303;62;975,9;7,8;15,5;2,74
23/10/2017;17:00;;;Sin datos / Daturik gabe;11;64;"Buena / ";44;325;55;975,9;278,8;15,5;2,58
23/10/2017;16:00;2;20;Muy buena / Oso ona;24;53;"Muy buena / ";44;341;59;976,1;586,9;15,7;2,46
23/10/2017;15:00;2;13;Muy buena / Oso ona;15;50;"Muy buena / ";46;345;58;976;803,3;15,9;2,06
23/10/2017;14:00;3;12;Muy buena / Oso ona;16;37;"Muy buena / ";49;344;55;976,3;837,3;15,9;1,92
23/10/2017;13:00;15;29;Muy buena / Oso ona;51;19;"Muy buena / ";54;273;65;976,3;954,8;15,9;1,12
23/10/2017;12:00;10;23;Muy buena / Oso ona;39;33;"Muy buena / ";60;230;58;976,1;1087,5;16,1;1,73
23/10/2017;11:00;6;17;Muy buena / Oso ona;26;42;"Muy buena / ";64;219;56;976,1;1058,5;15,1;2,37
23/10/2017;10:00;2;6;Muy buena / Oso ona;9;55;"Muy buena / ";69;195;58;976,5;885;14,3;2,83
23/10/2017;09:00;;;Sin datos / Daturik gabe;6;60;"Muy buena / ";73;175;56;976,7;601,2;14,6;0,58
23/10/2017;08:00;;;Sin datos / Daturik gabe;2;74;"Buena / ";76;240;60;976,3;268,4;13,2;2,12
23/10/2017;07:00;;;Sin datos / Daturik gabe;2;72;"Buena / ";77;199;65;975,7;18,9;12;4,82
23/10/2017;06:00;;;Sin datos / Daturik gabe;2;74;"Buena / ";78;174;69;976,2;0;11,7;5,06
23/10/2017;05:00;;;Sin datos / Daturik gabe;2;;"Sin datos / ";80;178;71;976,4;0;11,6;2,91
23/10/2017;04:00;;;Sin datos / Daturik gabe;2;80;"Buena / ";81;184;75;976,3;0;11,6;3,71
23/10/2017;03:00;;;Sin datos / Daturik gabe;2;79;"Buena / ";79;194;79;976,3;0;11,5;5,94
23/10/2017;02:00;;;Sin datos / Daturik gabe;2;81;"Buena / ";78;189;79;976,8;0;11,6;5,21
23/10/2017;01:00;;;Sin datos / Daturik gabe;2;82;"Buena / ";78;182;83;977,5;0;11,5;3,3
22/10/2017;24:00;;;Sin datos / Daturik gabe;3;80;"Buena / ";76;198;84;978;0;11,4;1,46
22/10/2017;23:00;;;Sin datos / Daturik gabe;5;80;"Buena / ";75;242;83;978,4;0;11,5;1,03
22/10/2017;22:00;;;Sin datos / Daturik gabe;2;85;"Buena / ";73;246;83;978,5;0;11,6;1,1
22/10/2017;21:00;;;Sin datos / Daturik gabe;5;80;"Buena / ";71;258;83;978,6;0;11,6;1,28
22/10/2017;20:00;;;Sin datos / Daturik gabe;14;68;"Buena / ";69;286;84;978,6;0;11,5;1,74
22/10/2017;19:00;;;Sin datos / Daturik gabe;7;73;"Buena / ";67;310;84;978,7;0;11,4;2,43
22/10/2017;18:00;;;Sin datos / Daturik gabe;;77;"Buena / ";65;334;86;978,4;1,3;11,6;5,44
22/10/2017;17:00;;;Sin datos / Daturik gabe;2;72;"Buena / ";62;347;87;978,2;15,3;11,5;6,14
22/10/2017;16:00;;;Sin datos / Daturik gabe;3;68;"Buena / ";59;323;87;978,2;36,1;11,6;5,15
22/10/2017;15:00;;;Sin datos / Daturik gabe;4;64;"Buena / ";58;318;87;978,3;111,1;11,3;4,36
22/10/2017;14:00;;;Sin datos / Daturik gabe;3;64;"Buena / ";59;319;86;978,3;132,7;11,2;3,82
22/10/2017;13:00;;;Sin datos / Daturik gabe;4;64;"Buena / ";58;314;86;978,5;209,7;11;5,63
22/10/2017;12:00;2;11;Muy buena / Oso ona;14;54;"Muy buena / ";57;287;89;979;370;10,6;6,28
22/10/2017;11:00;1;9;Muy buena / Oso ona;10;53;"Muy buena / ";58;277;91;979,1;188,7;10,2;5,65
22/10/2017;10:00;1;10;Muy buena / Oso ona;9;55;"Muy buena / ";60;280;93;979;97,9;9,8;7
22/10/2017;09:00;1;18;Muy buena / Oso ona;20;48;"Muy buena / ";61;281;90;978,7;47,3;9,9;6,55
22/10/2017;08:00;;;Sin datos / Daturik gabe;4;65;"Buena / ";64;307;91;978,6;12,1;9,8;8,32
22/10/2017;07:00;;;Sin datos / Daturik gabe;7;66;"Buena / ";;288;84;977,7;1,4;10,8;7,95
22/10/2017;06:00;;;Sin datos / Daturik gabe;5;;"Sin datos / ";;298;85;977,7;0;10,5;8,03
22/10/2017;05:00;;;Sin datos / Daturik gabe;6;65;"Buena / ";64;290;85;977,1;0;10,6;7,59
22/10/2017;04:00;;;Sin datos / Daturik gabe;10;59;"Muy buena / ";64;288;90;977,2;0;9,9;7,29
22/10/2017;03:00;;;Sin datos / Daturik gabe;2;66;"Buena / ";65;302;88;977,2;0;10,2;10,17
22/10/2017;02:00;;;Sin datos / Daturik gabe;4;62;"Buena / ";66;298;84;977,1;0;11;10,33
22/10/2017;01:00;;;Sin datos / Daturik gabe;6;64;"Buena / ";67;301;84;977,3;0;11,2;9,53
21/10/2017;24:00;;;Sin datos / Daturik gabe;2;67;"Buena / ";68;298;85;977,5;0;11,1;9,53
21/10/2017;23:00;;;Sin datos / Daturik gabe;3;66;"Buena / ";69;312;83;977,5;0;11,6;9,9
21/10/2017;22:00;;;Sin datos / Daturik gabe;3;66;"Buena / ";70;309;77;977,1;0;12,3;10,31
21/10/2017;21:00;;;Sin datos / Daturik gabe;4;65;"Buena / ";71;313;77;976,8;0;12,3;9,96
21/10/2017;20:00;;;Sin datos / Daturik gabe;3;68;"Buena / ";71;313;78;976,8;0;12,4;10,42
21/10/2017;19:00;;;Sin datos / Daturik gabe;4;69;"Buena / ";71;312;77;976,5;0;12,6;9,54
21/10/2017;18:00;;;Sin datos / Daturik gabe;2;72;"Buena / ";70;317;74;975,9;2,3;12,9;11,45
21/10/2017;17:00;;;Sin datos / Daturik gabe;2;73;"Buena / ";69;315;77;975,6;24,3;12,9;9,91
21/10/2017;16:00;;;Sin datos / Daturik gabe;2;73;"Buena / ";68;330;79;975,1;145,8;13;10,85
21/10/2017;15:00;;;Sin datos / Daturik gabe;2;73;"Buena / ";68;323;77;974,9;188,5;13,2;10,39
21/10/2017;14:00;;;Sin datos / Daturik gabe;2;72;"Buena / ";67;332;81;974,4;206,2;13,1;9,03
21/10/2017;13:00;;;Sin datos / Daturik gabe;2;69;"Buena / ";66;336;80;974,1;338,3;13,4;8,54
21/10/2017;12:00;;;Sin datos / Daturik gabe;3;65;"Buena / ";66;322;67;974,3;278,7;14,4;8,73
21/10/2017;11:00;;;Sin datos / Daturik gabe;5;64;"Buena / ";67;307;68;974,1;306,2;14,2;7,31
21/10/2017;10:00;;;Sin datos / Daturik gabe;6;63;"Buena / ";68;300;73;973,8;135,8;13,8;6,11
21/10/2017;09:00;;;Sin datos / Daturik gabe;4;68;"Buena / ";68;295;78;973,3;59;13,5;7,9
21/10/2017;08:00;;;Sin datos / Daturik gabe;3;69;"Buena / ";66;303;84;972,5;18,7;12,6;10,3
21/10/2017;07:00;;;Sin datos / Daturik gabe;2;67;"Buena / ";65;307;88;971,8;1,8;11,9;11,8
21/10/2017;06:00;;;Sin datos / Daturik gabe;2;64;"Buena / ";64;310;95;971,1;0;12,5;11,38
21/10/2017;05:00;;;Sin datos / Daturik gabe;2;69;"Buena / ";63;313;94;970,4;0;12,8;12,62
21/10/2017;04:00;;;Sin datos / Daturik gabe;2;70;"Buena / ";64;309;91;969,8;0;13,8;10,6
21/10/2017;03:00;;;Sin datos / Daturik gabe;2;70;"Buena / ";63;321;97;969,2;0;14;11,45
21/10/2017;02:00;;;Sin datos / Daturik gabe;6;68;"Buena / ";63;321;90;968,2;0;15,7;16,43
21/10/2017;01:00;;;Sin datos / Daturik gabe;4;49;"Muy buena / ";63;248;64;966,7;0;20,9;10,96
20/10/2017;24:00;;;Sin datos / Daturik gabe;3;51;"Muy buena / ";65;251;63;965,5;0;21,1;15,04
20/10/2017;23:00;;;Sin datos / Daturik gabe;4;55;"Muy buena / ";62;247;63;965,2;0;20,9;15,53
20/10/2017;22:00;;;Sin datos / Daturik gabe;4;63;"Buena / ";59;242;59;964,8;0;21,1;16,94
20/10/2017;21:00;;;Sin datos / Daturik gabe;4;74;"Buena / ";56;239;50;964,9;0;21,5;16,34
20/10/2017;20:00;;;Sin datos / Daturik gabe;15;64;"Buena / ";51;231;50;965,1;0;21,2;11,93
20/10/2017;19:00;;;Sin datos / Daturik gabe;13;65;"Buena / ";48;212;49;965,6;0;21,4;9,48
20/10/2017;18:00;;;Sin datos / Daturik gabe;9;71;"Buena / ";45;222;46;965,8;15,3;21,7;8,42
20/10/2017;17:00;;;Sin datos / Daturik gabe;7;62;"Buena / ";40;220;46;965,9;349,2;21,8;6,99
20/10/2017;16:00;3;19;Muy buena / Oso ona;23;39;"Muy buena / ";36;224;52;966,1;692,2;21,1;4,94
20/10/2017;15:00;3;15;Muy buena / Oso ona;20;36;"Muy buena / ";36;228;57;966,3;846,8;20,4;4,85
20/10/2017;14:00;3;14;Muy buena / Oso ona;19;33;"Muy buena / ";37;237;60;966,4;868,9;19,7;4,87
20/10/2017;13:00;2;10;Muy buena / Oso ona;13;37;"Muy buena / ";39;240;62;966,8;914,6;19,1;6,66
20/10/2017;12:00;3;10;Muy buena / Oso ona;14;40;"Muy buena / ";41;233;65;967,1;1136,3;18,3;5,67
20/10/2017;11:00;1;5;Muy buena / Oso ona;8;45;"Muy buena / ";43;244;68;967;1134,2;17,5;7,78
20/10/2017;10:00;14;23;Muy buena / Oso ona;44;27;"Muy buena / ";44;218;74;966,9;776;15,9;6,65
20/10/2017;09:00;10;27;Muy buena / Oso ona;41;27;"Muy buena / ";47;218;76;966,8;136,7;15;6,78
20/10/2017;08:00;2;15;Muy buena / Oso ona;16;40;"Muy buena / ";51;229;76;966,7;37,6;14,8;5,92
20/10/2017;07:00;;;Sin datos / Daturik gabe;5;48;"Muy buena / ";53;235;75;966,3;3,2;14,4;5,06
20/10/2017;06:00;;;Sin datos / Daturik gabe;7;48;"Muy buena / ";54;255;73;965,9;0;14,7;4,68
20/10/2017;05:00;;;Sin datos / Daturik gabe;5;52;"Muy buena / ";56;247;70;965,3;0;14,9;4,39
20/10/2017;04:00;;;Sin datos / Daturik gabe;4;55;"Muy buena / ";58;250;67;965;0;15,6;7,1
20/10/2017;03:00;;;Sin datos / Daturik gabe;5;56;"Muy buena / ";60;247;64;964,8;0;15,6;8,03
20/10/2017;02:00;;;Sin datos / Daturik gabe;9;53;"Muy buena / ";61;242;63;964,6;0;15,8;6,26
20/10/2017;01:00;;;Sin datos / Daturik gabe;9;56;"Muy buena / ";63;223;64;964,7;0;15,8;4,32
19/10/2017;24:00;;;Sin datos / Daturik gabe;17;48;"Muy buena / ";64;277;61;964,6;0;16,2;4,6
19/10/2017;23:00;;;Sin datos / Daturik gabe;10;57;"Muy buena / ";64;263;55;964;0;16,9;5,89
19/10/2017;22:00;;;Sin datos / Daturik gabe;5;65;"Buena / ";63;249;53;963;0;17,4;8,57
19/10/2017;21:00;;;Sin datos / Daturik gabe;8;66;"Buena / ";62;238;50;962,1;0;17,8;10,01
19/10/2017;20:00;;;Sin datos / Daturik gabe;10;66;"Buena / ";60;233;50;961,6;0;17,6;10,19
19/10/2017;19:00;;;Sin datos / Daturik gabe;8;67;"Buena / ";58;232;52;961,4;0;17,5;8,35
19/10/2017;18:00;;;Sin datos / Daturik gabe;6;63;"Buena / ";57;237;56;961,1;11,9;17,3;7,38
