Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA
24/10/2017;09:00;53;45;Muy buena / Oso ona;127;39;Muy buena / Oso ona;33;Buena / Ona
24/10/2017;08:00;68;48;Muy buena / Oso ona;152;53;Buena / Ona;30;Buena / Ona
24/10/2017;07:00;81;49;Muy buena / Oso ona;172;37;Muy buena / Oso ona;16;Muy buena / Oso ona
24/10/2017;06:00;57;41;Muy buena / Oso ona;128;21;Muy buena / Oso ona;12;Muy buena / Oso ona
24/10/2017;05:00;5;30;Muy buena / Oso ona;37;13;Muy buena / Oso ona;8;Muy buena / Oso ona
24/10/2017;04:00;3;19;Muy buena / Oso ona;23;9;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;03:00;1;8;Muy buena / Oso ona;10;7;Muy buena / Oso ona;12;Muy buena / Oso ona
24/10/2017;02:00;1;8;Muy buena / Oso ona;10;10;Muy buena / Oso ona;12;Muy buena / Oso ona
24/10/2017;01:00;1;9;Muy buena / Oso ona;11;14;Muy buena / Oso ona;14;Muy buena / Oso ona
23/10/2017;24:00;1;6;Muy buena / Oso ona;8;9;Muy buena / Oso ona;15;Muy buena / Oso ona
23/10/2017;23:00;1;12;Muy buena / Oso ona;14;22;Muy buena / Oso ona;16;Muy buena / Oso ona
23/10/2017;22:00;4;26;Muy buena / Oso ona;32;19;Muy buena / Oso ona;12;Muy buena / Oso ona
23/10/2017;21:00;9;41;Muy buena / Oso ona;55;19;Muy buena / Oso ona;13;Muy buena / Oso ona
23/10/2017;20:00;16;48;Muy buena / Oso ona;73;26;Muy buena / Oso ona;11;Muy buena / Oso ona
23/10/2017;19:00;13;52;Muy buena / Oso ona;72;27;Muy buena / Oso ona;10;Muy buena / Oso ona
23/10/2017;18:00;5;39;Muy buena / Oso ona;46;19;Muy buena / Oso ona;9;Muy buena / Oso ona
23/10/2017;17:00;2;23;Muy buena / Oso ona;26;13;Muy buena / Oso ona;10;Muy buena / Oso ona
23/10/2017;16:00;3;17;Muy buena / Oso ona;21;10;Muy buena / Oso ona;5;Muy buena / Oso ona
23/10/2017;15:00;5;19;Muy buena / Oso ona;27;15;Muy buena / Oso ona;8;Muy buena / Oso ona
23/10/2017;14:00;10;30;Muy buena / Oso ona;46;23;Muy buena / Oso ona;13;Muy buena / Oso ona
23/10/2017;13:00;8;22;Muy buena / Oso ona;34;23;Muy buena / Oso ona;10;Muy buena / Oso ona
23/10/2017;12:00;9;18;Muy buena / Oso ona;31;17;Muy buena / Oso ona;7;Muy buena / Oso ona
23/10/2017;11:00;6;16;Muy buena / Oso ona;26;12;Muy buena / Oso ona;9;Muy buena / Oso ona
23/10/2017;10:00;15;30;Muy buena / Oso ona;53;16;Muy buena / Oso ona;10;Muy buena / Oso ona
23/10/2017;09:00;13;33;Muy buena / Oso ona;52;14;Muy buena / Oso ona;9;Muy buena / Oso ona
23/10/2017;08:00;21;36;Muy buena / Oso ona;68;15;Muy buena / Oso ona;7;Muy buena / Oso ona
23/10/2017;07:00;5;25;Muy buena / Oso ona;33;11;Muy buena / Oso ona;6;Muy buena / Oso ona
23/10/2017;06:00;5;22;Muy buena / Oso ona;30;12;Muy buena / Oso ona;8;Muy buena / Oso ona
23/10/2017;05:00;5;27;Muy buena / Oso ona;34;14;Muy buena / Oso ona;8;Muy buena / Oso ona
23/10/2017;04:00;4;20;Muy buena / Oso ona;25;12;Muy buena / Oso ona;4;Muy buena / Oso ona
23/10/2017;03:00;1;6;Muy buena / Oso ona;8;6;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;02:00;1;2;Muy buena / Oso ona;4;7;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;01:00;1;7;Muy buena / Oso ona;9;8;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;24:00;1;7;Muy buena / Oso ona;9;8;Muy buena / Oso ona;2;Muy buena / Oso ona
22/10/2017;23:00;1;8;Muy buena / Oso ona;10;9;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;22:00;1;10;Muy buena / Oso ona;12;10;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;21:00;1;14;Muy buena / Oso ona;16;12;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;20:00;1;15;Muy buena / Oso ona;17;12;Muy buena / Oso ona;7;Muy buena / Oso ona
22/10/2017;19:00;1;15;Muy buena / Oso ona;17;16;Muy buena / Oso ona;6;Muy buena / Oso ona
22/10/2017;18:00;2;17;Muy buena / Oso ona;20;14;Muy buena / Oso ona;7;Muy buena / Oso ona
22/10/2017;17:00;2;12;Muy buena / Oso ona;15;11;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;16:00;1;8;Muy buena / Oso ona;10;9;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;15:00;1;6;Muy buena / Oso ona;9;8;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;14:00;1;6;Muy buena / Oso ona;8;8;Muy buena / Oso ona;2;Muy buena / Oso ona
22/10/2017;13:00;2;7;Muy buena / Oso ona;10;7;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;12:00;2;8;Muy buena / Oso ona;11;8;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;11:00;2;9;Muy buena / Oso ona;12;14;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;10:00;1;8;Muy buena / Oso ona;10;11;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;09:00;1;8;Muy buena / Oso ona;10;11;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;08:00;1;9;Muy buena / Oso ona;11;13;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;07:00;1;12;Muy buena / Oso ona;14;12;Muy buena / Oso ona;6;Muy buena / Oso ona
22/10/2017;06:00;1;9;Muy buena / Oso ona;11;12;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;05:00;1;5;Muy buena / Oso ona;7;11;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;04:00;1;7;Muy buena / Oso ona;9;12;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;03:00;1;5;Muy buena / Oso ona;7;13;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;02:00;1;5;Muy buena / Oso ona;7;14;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;01:00;1;4;Muy buena / Oso ona;6;14;Muy buena / Oso ona;4;Muy buena / Oso ona
21/10/2017;24:00;1;4;Muy buena / Oso ona;6;16;Muy buena / Oso ona;4;Muy buena / Oso ona
21/10/2017;23:00;1;5;Muy buena / Oso ona;7;16;Muy buena / Oso ona;5;Muy buena / Oso ona
21/10/2017;22:00;1;8;Muy buena / Oso ona;10;19;Muy buena / Oso ona;4;Muy buena / Oso ona
21/10/2017;21:00;1;9;Muy buena / Oso ona;11;16;Muy buena / Oso ona;4;Muy buena / Oso ona
21/10/2017;20:00;1;10;Muy buena / Oso ona;12;19;Muy buena / Oso ona;6;Muy buena / Oso ona
21/10/2017;19:00;1;10;Muy buena / Oso ona;12;22;Muy buena / Oso ona;8;Muy buena / Oso ona
21/10/2017;18:00;1;13;Muy buena / Oso ona;16;23;Muy buena / Oso ona;7;Muy buena / Oso ona
21/10/2017;17:00;2;14;Muy buena / Oso ona;17;24;Muy buena / Oso ona;9;Muy buena / Oso ona
21/10/2017;16:00;1;9;Muy buena / Oso ona;11;22;Muy buena / Oso ona;6;Muy buena / Oso ona
21/10/2017;15:00;1;8;Muy buena / Oso ona;10;22;Muy buena / Oso ona;4;Muy buena / Oso ona
21/10/2017;14:00;2;7;Muy buena / Oso ona;10;17;Muy buena / Oso ona;3;Muy buena / Oso ona
21/10/2017;13:00;1;7;Muy buena / Oso ona;9;15;Muy buena / Oso ona;0;Muy buena / Oso ona
21/10/2017;12:00;1;5;Muy buena / Oso ona;7;12;Muy buena / Oso ona;1;Muy buena / Oso ona
21/10/2017;11:00;1;6;Muy buena / Oso ona;8;10;Muy buena / Oso ona;3;Muy buena / Oso ona
21/10/2017;10:00;1;9;Muy buena / Oso ona;11;9;Muy buena / Oso ona;1;Muy buena / Oso ona
21/10/2017;09:00;1;9;Muy buena / Oso ona;11;7;Muy buena / Oso ona;0;Muy buena / Oso ona
21/10/2017;08:00;1;8;Muy buena / Oso ona;10;5;Muy buena / Oso ona;3;Muy buena / Oso ona
21/10/2017;07:00;1;9;Muy buena / Oso ona;11;8;Muy buena / Oso ona;7;Muy buena / Oso ona
21/10/2017;06:00;1;9;Muy buena / Oso ona;11;17;Muy buena / Oso ona;7;Muy buena / Oso ona
21/10/2017;05:00;1;7;Muy buena / Oso ona;9;9;Muy buena / Oso ona;4;Muy buena / Oso ona
21/10/2017;04:00;1;6;Muy buena / Oso ona;8;6;Muy buena / Oso ona;3;Muy buena / Oso ona
21/10/2017;03:00;1;5;Muy buena / Oso ona;7;4;Muy buena / Oso ona;6;Muy buena / Oso ona
21/10/2017;02:00;1;5;Muy buena / Oso ona;7;5;Muy buena / Oso ona;6;Muy buena / Oso ona
21/10/2017;01:00;1;5;Muy buena / Oso ona;7;7;Muy buena / Oso ona;5;Muy buena / Oso ona
20/10/2017;24:00;1;4;Muy buena / Oso ona;6;7;Muy buena / Oso ona;4;Muy buena / Oso ona
20/10/2017;23:00;1;6;Muy buena / Oso ona;8;8;Muy buena / Oso ona;4;Muy buena / Oso ona
20/10/2017;22:00;1;7;Muy buena / Oso ona;9;9;Muy buena / Oso ona;6;Muy buena / Oso ona
20/10/2017;21:00;1;12;Muy buena / Oso ona;14;12;Muy buena / Oso ona;7;Muy buena / Oso ona
20/10/2017;20:00;1;20;Muy buena / Oso ona;22;14;Muy buena / Oso ona;6;Muy buena / Oso ona
20/10/2017;19:00;1;18;Muy buena / Oso ona;20;14;Muy buena / Oso ona;6;Muy buena / Oso ona
20/10/2017;18:00;1;14;Muy buena / Oso ona;16;13;Muy buena / Oso ona;6;Muy buena / Oso ona
20/10/2017;17:00;1;10;Muy buena / Oso ona;12;11;Muy buena / Oso ona;6;Muy buena / Oso ona
20/10/2017;16:00;2;9;Muy buena / Oso ona;11;10;Muy buena / Oso ona;2;Muy buena / Oso ona
20/10/2017;15:00;2;7;Muy buena / Oso ona;9;10;Muy buena / Oso ona;1;Muy buena / Oso ona
20/10/2017;14:00;2;7;Muy buena / Oso ona;10;10;Muy buena / Oso ona;2;Muy buena / Oso ona
20/10/2017;13:00;2;6;Muy buena / Oso ona;9;9;Muy buena / Oso ona;0;Muy buena / Oso ona
20/10/2017;12:00;2;7;Muy buena / Oso ona;10;9;Muy buena / Oso ona;3;Muy buena / Oso ona
20/10/2017;11:00;2;7;Muy buena / Oso ona;10;9;Muy buena / Oso ona;4;Muy buena / Oso ona
20/10/2017;10:00;2;8;Muy buena / Oso ona;11;9;Muy buena / Oso ona;6;Muy buena / Oso ona
20/10/2017;09:00;6;17;Muy buena / Oso ona;25;12;Muy buena / Oso ona;8;Muy buena / Oso ona
20/10/2017;08:00;22;38;Muy buena / Oso ona;72;21;Muy buena / Oso ona;6;Muy buena / Oso ona
20/10/2017;07:00;4;32;Muy buena / Oso ona;37;14;Muy buena / Oso ona;7;Muy buena / Oso ona
20/10/2017;06:00;2;13;Muy buena / Oso ona;16;9;Muy buena / Oso ona;7;Muy buena / Oso ona
20/10/2017;05:00;1;8;Muy buena / Oso ona;10;9;Muy buena / Oso ona;5;Muy buena / Oso ona
20/10/2017;04:00;1;7;Muy buena / Oso ona;9;10;Muy buena / Oso ona;2;Muy buena / Oso ona
20/10/2017;03:00;1;6;Muy buena / Oso ona;8;11;Muy buena / Oso ona;5;Muy buena / Oso ona
20/10/2017;02:00;1;9;Muy buena / Oso ona;11;12;Muy buena / Oso ona;8;Muy buena / Oso ona
20/10/2017;01:00;1;18;Muy buena / Oso ona;20;16;Muy buena / Oso ona;12;Muy buena / Oso ona
19/10/2017;24:00;1;17;Muy buena / Oso ona;19;15;Muy buena / Oso ona;10;Muy buena / Oso ona
19/10/2017;23:00;2;26;Muy buena / Oso ona;28;16;Muy buena / Oso ona;9;Muy buena / Oso ona
19/10/2017;22:00;3;32;Muy buena / Oso ona;37;16;Muy buena / Oso ona;9;Muy buena / Oso ona
19/10/2017;21:00;5;36;Muy buena / Oso ona;45;16;Muy buena / Oso ona;10;Muy buena / Oso ona
19/10/2017;20:00;5;43;Muy buena / Oso ona;50;17;Muy buena / Oso ona;10;Muy buena / Oso ona
19/10/2017;19:00;6;46;Muy buena / Oso ona;54;21;Muy buena / Oso ona;13;Muy buena / Oso ona
19/10/2017;18:00;4;34;Muy buena / Oso ona;39;16;Muy buena / Oso ona;11;Muy buena / Oso ona
19/10/2017;17:00;1;11;Muy buena / Oso ona;13;11;Muy buena / Oso ona;6;Muy buena / Oso ona
19/10/2017;16:00;1;8;Muy buena / Oso ona;10;10;Muy buena / Oso ona;2;Muy buena / Oso ona
19/10/2017;15:00;2;8;Muy buena / Oso ona;11;11;Muy buena / Oso ona;0;Muy buena / Oso ona
19/10/2017;14:00;1;6;Muy buena / Oso ona;8;9;Muy buena / Oso ona;0;Muy buena / Oso ona
19/10/2017;13:00;1;6;Muy buena / Oso ona;8;6;Muy buena / Oso ona;0;Muy buena / Oso ona
19/10/2017;12:00;2;7;Muy buena / Oso ona;10;7;Muy buena / Oso ona;2;Muy buena / Oso ona
19/10/2017;11:00;2;6;Muy buena / Oso ona;9;9;Muy buena / Oso ona;4;Muy buena / Oso ona
19/10/2017;10:00;1;7;Muy buena / Oso ona;9;9;Muy buena / Oso ona;7;Muy buena / Oso ona
19/10/2017;09:00;4;18;Muy buena / Oso ona;25;12;Muy buena / Oso ona;8;Muy buena / Oso ona
