Date;Hour;O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
22/10/2017;21:00;44;"Muy buena / ";56;108;82;963;0;0;11;0,49
22/10/2017;20:00;45;"Muy buena / ";60;17;81;962,9;0;0;11,2;0,77
22/10/2017;19:00;47;"Muy buena / ";62;20;78;963;0;0;11,6;0,87
22/10/2017;18:00;53;"Muy buena / ";65;17;75;962,6;0;1,1;11,8;0,86
22/10/2017;17:00;58;"Muy buena / ";66;22;74;962,3;0;39,8;11,9;1,21
22/10/2017;16:00;64;"Buena / ";65;13;70;962,2;0;81,1;12,3;1,51
22/10/2017;15:00;70;"Buena / ";63;328;66;962;0;189;12,8;2,65
22/10/2017;14:00;70;"Buena / ";57;316;67;961,8;0;245;12,8;1,85
22/10/2017;13:00;70;"Buena / ";52;297;67;962,1;0;299,9;12,7;2,18
22/10/2017;12:00;67;"Buena / ";47;319;73;963,1;0;181,3;11,6;2,15
22/10/2017;11:00;66;"Buena / ";42;314;70;963,2;0;156;11,5;1,74
22/10/2017;10:00;60;"Muy buena / ";38;299;70;963,1;0;128;11,5;1,05
22/10/2017;09:00;56;"Muy buena / ";34;292;76;963,1;0;88,5;10,5;1,2
22/10/2017;08:00;47;"Muy buena / ";31;277;78;962,8;0;53,6;9,9;1,31
22/10/2017;07:00;22;"Muy buena / ";;255;83;962,5;0;4,9;8,8;1,09
22/10/2017;06:00;24;"Muy buena / ";;230;84;962,1;0;0;8,4;0,69
22/10/2017;05:00;32;"Muy buena / ";;230;85;961,7;0;0;8,6;0,58
22/10/2017;04:00;28;"Muy buena / ";;236;85;961,7;0;0;8,6;0,82
22/10/2017;03:00;32;"Muy buena / ";;219;82;961,5;0;0;9,3;0,91
22/10/2017;02:00;;"Sin datos / ";;253;76;961,8;0;0;10,4;0,6
22/10/2017;01:00;60;"Muy buena / ";56;326;69;961,9;0;0;11,7;0,99
21/10/2017;24:00;61;"Buena / ";57;344;68;962,1;0;0;12;0,89
21/10/2017;23:00;61;"Buena / ";57;339;69;962;0;0;12,1;1,17
21/10/2017;22:00;60;"Muy buena / ";57;323;68;961,8;0;0;12,3;1,1
21/10/2017;21:00;58;"Muy buena / ";58;353;66;961,5;0;0;12,6;0,71
21/10/2017;20:00;50;"Muy buena / ";58;67;71;961,4;0;0;12,5;0,96
21/10/2017;19:00;52;"Muy buena / ";59;38;74;961,2;0;0;12,5;1,01
21/10/2017;18:00;57;"Muy buena / ";60;6;71;960,6;0;0;12,8;1,25
21/10/2017;17:00;59;"Muy buena / ";59;30;73;960;0;15;12,8;1,79
21/10/2017;16:00;60;"Muy buena / ";58;19;70;959,7;0;16,7;13,1;2,05
21/10/2017;15:00;63;"Buena / ";57;20;65;958,9;0;51,3;13,9;2,51
21/10/2017;14:00;62;"Buena / ";56;22;61;958,3;0;204,4;14,8;1,93
21/10/2017;13:00;60;"Muy buena / ";54;10;62;958,4;0;172,9;14,8;0,73
21/10/2017;12:00;61;"Buena / ";51;58;70;958,3;0;266,9;13,7;1,21
21/10/2017;11:00;58;"Muy buena / ";47;71;80;958,6;0;192,1;12,5;1,47
21/10/2017;10:00;51;"Muy buena / ";45;33;89;958,8;0,1;87,9;12;0,76
21/10/2017;09:00;50;"Muy buena / ";44;31;94;958,2;0,2;24,7;11,4;1,68
21/10/2017;08:00;51;"Muy buena / ";43;17;93;957,3;0,3;9,9;12,8;1,23
21/10/2017;07:00;53;"Muy buena / ";;359;93;956,3;0,4;0,3;13,5;1,66
21/10/2017;06:00;46;"Muy buena / ";;6;91;955,6;0,1;0;15;1,64
21/10/2017;05:00;35;"Muy buena / ";;237;74;954,9;0;0;17,4;1,66
21/10/2017;04:00;33;"Muy buena / ";;213;71;954,5;0;0;17,6;1,6
21/10/2017;03:00;38;"Muy buena / ";;254;69;954,2;0;0;18,3;1,77
21/10/2017;02:00;;"Sin datos / ";;233;71;954,1;0;0;18,4;3,02
21/10/2017;01:00;39;"Muy buena / ";57;228;71;953,8;0;0;18,5;4,18
20/10/2017;24:00;45;"Muy buena / ";58;197;66;953,6;0;0;18,6;3,28
20/10/2017;23:00;53;"Muy buena / ";60;190;61;953,5;0;0;18,9;2,64
20/10/2017;22:00;58;"Muy buena / ";63;164;59;953,5;0;0;18,1;2,55
20/10/2017;21:00;52;"Muy buena / ";64;189;62;953,4;0;0;17,3;1,67
20/10/2017;20:00;52;"Muy buena / ";66;169;57;953,3;0;0;18;1,68
20/10/2017;19:00;58;"Muy buena / ";67;165;49;953,1;0;0;19,6;1,43
20/10/2017;18:00;66;"Buena / ";66;218;46;952,7;0;5,8;20,3;2,48
20/10/2017;17:00;68;"Buena / ";63;223;43;952,5;0;105,9;21,6;2,9
20/10/2017;16:00;72;"Buena / ";59;236;43;952,5;0;242,3;21,7;3,87
20/10/2017;15:00;74;"Buena / ";51;244;43;952,2;0;341,3;21,3;4,83
20/10/2017;14:00;71;"Buena / ";44;247;44;951,7;0;456,6;21,5;4,69
20/10/2017;13:00;65;"Buena / ";41;244;47;951,6;0;447,5;20,9;4,78
20/10/2017;12:00;59;"Muy buena / ";38;249;51;951,7;0;436,6;20;5,04
20/10/2017;11:00;52;"Muy buena / ";35;245;57;952,3;0;159,1;18,6;5,18
20/10/2017;10:00;44;"Muy buena / ";34;239;64;952,4;0;249,9;17,4;3,39
20/10/2017;09:00;36;"Muy buena / ";32;218;71;952,5;0;137,6;15,8;2,48
20/10/2017;08:00;10;"Muy buena / ";32;116;72;952,4;0;46,1;14,9;0,6
20/10/2017;07:00;18;"Muy buena / ";;322;73;952;0;2,3;14,3;0,39
20/10/2017;06:00;42;"Muy buena / ";;255;74;951,5;0;0;14,2;1,75
20/10/2017;05:00;40;"Muy buena / ";;211;73;951,1;0;0;13,5;2,43
20/10/2017;04:00;37;"Muy buena / ";;195;71;950,9;0;0;13,4;1,59
20/10/2017;03:00;43;"Muy buena / ";;218;68;950,5;0;0;13,8;1,05
20/10/2017;02:00;;"Sin datos / ";;193;66;950,5;0;0;13,9;1,53
20/10/2017;01:00;14;"Muy buena / ";31;13;65;950,6;0;0;14,3;0,09
19/10/2017;24:00;34;"Muy buena / ";34;219;61;950,1;0;0;14,4;1,24
19/10/2017;23:00;23;"Muy buena / ";38;231;60;949,9;0;0;14,5;0,63
19/10/2017;22:00;6;"Muy buena / ";44;24;61;949,6;0;0;14,3;0,46
19/10/2017;21:00;40;"Muy buena / ";51;244;59;948,8;0;0;13,9;1,15
19/10/2017;20:00;41;"Muy buena / ";55;223;57;948,4;0;0;14,4;0,52
19/10/2017;19:00;33;"Muy buena / ";57;186;58;948,1;0;0;14,5;1
19/10/2017;18:00;43;"Muy buena / ";60;212;58;947,4;0;3;14,9;1,17
19/10/2017;17:00;55;"Muy buena / ";61;227;54;946,9;0;47,3;15,7;2,49
19/10/2017;16:00;65;"Buena / ";59;216;50;946,4;0;173,9;16,6;3,27
19/10/2017;15:00;65;"Buena / ";53;219;51;945,9;0;223,6;16,9;3,03
19/10/2017;14:00;67;"Buena / ";48;221;53;945,7;0;466,1;17,4;2,88
19/10/2017;13:00;67;"Buena / ";45;221;55;945,4;0;474,9;16,9;2,28
19/10/2017;12:00;60;"Muy buena / ";42;233;61;946,4;0;421,7;15,8;1,93
19/10/2017;11:00;59;"Muy buena / ";41;224;66;946,7;0;208,4;14,7;1,5
19/10/2017;10:00;51;"Muy buena / ";41;195;70;946,7;0;241,6;14,1;0,74
19/10/2017;09:00;35;"Muy buena / ";40;248;73;946,2;0;144,2;13,8;0,29
19/10/2017;08:00;21;"Muy buena / ";40;217;85;946,3;0;85,2;11,4;0,43
19/10/2017;07:00;24;"Muy buena / ";;209;86;946,5;0;6,3;11;0,37
19/10/2017;06:00;40;"Muy buena / ";;144;85;946,3;0;0;11;0,69
19/10/2017;05:00;46;"Muy buena / ";;176;86;946,1;0;0;11;0,79
19/10/2017;04:00;50;"Muy buena / ";;220;87;946;0;0;11;0,5
19/10/2017;03:00;61;"Buena / ";;295;84;946;0;0,1;11;0,73
19/10/2017;02:00;;"Sin datos / ";;237;89;946,1;0;0;11;0,73
19/10/2017;01:00;53;"Muy buena / ";43;243;86;946;0;0;11;1,14
18/10/2017;24:00;54;"Muy buena / ";43;218;89;946,1;0,1;0;11;1,6
18/10/2017;23:00;53;"Muy buena / ";44;251;90;946,2;0,2;0;11,6;1
18/10/2017;22:00;52;"Muy buena / ";44;320;91;946,1;0,3;0;11,7;1
18/10/2017;21:00;40;"Muy buena / ";45;32;87;945,8;0,3;0;12,4;0,86
18/10/2017;20:00;42;"Muy buena / ";45;21;81;945,4;0;0;13;0,75
18/10/2017;19:00;43;"Muy buena / ";46;24;79;945,1;0;0;13,1;1,18
18/10/2017;18:00;30;"Muy buena / ";;52;84;944,6;0;0,7;13,3;1,35
18/10/2017;17:00;39;"Muy buena / ";;37;77;944,4;0;21,9;14,3;0,92
18/10/2017;16:00;51;"Muy buena / ";;185;69;944,4;0;49,8;15,2;0,1
18/10/2017;15:00;53;"Muy buena / ";;246;71;944,5;0;60,6;14,8;0,48
18/10/2017;14:00;58;"Muy buena / ";;256;78;944,5;0;130,9;13,3;0,86
18/10/2017;13:00;;"Sin datos / ";;249;84;944,7;0;170,3;12,2;1,1
18/10/2017;12:00;;"Sin datos / ";31;251;89;945,2;0,3;71,4;11,4;2,18
18/10/2017;11:00;;"Sin datos / ";34;260;87;945,2;1,1;44,7;11,9;2,35
18/10/2017;10:00;20;"Muy buena / ";36;297;87;945,5;0,4;28,5;13,6;1,2
18/10/2017;09:00;43;"Muy buena / ";38;226;77;946,2;0,1;29,4;15,5;0,81
18/10/2017;08:00;22;"Muy buena / ";37;139;80;946,5;0;32,7;15,1;1,46
18/10/2017;07:00;19;"Muy buena / ";;192;83;946,7;0;4,3;14,5;1,18
18/10/2017;06:00;33;"Muy buena / ";;177;80;947;0;0;15,1;0,73
18/10/2017;05:00;51;"Muy buena / ";;137;74;947,5;0;0;15,5;2,07
18/10/2017;04:00;48;"Muy buena / ";;150;74;948;0;0,1;16,1;1,9
18/10/2017;03:00;51;"Muy buena / ";;156;73;948,5;0;0,1;16,2;2,05
18/10/2017;02:00;;"Sin datos / ";;210;72;948,8;0;0;16,1;2,64
18/10/2017;01:00;56;"Muy buena / ";60;230;68;949,1;0;0,1;16,4;1,14
17/10/2017;24:00;56;"Muy buena / ";61;214;67;949,5;0;0;17;0,26
17/10/2017;23:00;61;"Buena / ";62;177;62;950,3;0;0;17,7;3,03
17/10/2017;22:00;62;"Buena / ";63;169;57;950,4;0;0;18,6;1,17
17/10/2017;21:00;63;"Buena / ";65;175;55;950,6;0;0;18,8;1,95
17/10/2017;20:00;65;"Buena / ";66;163;53;950,6;0;0;19,2;2,72
17/10/2017;19:00;61;"Buena / ";68;142;52;950,5;0;0,1;19,7;1,66
17/10/2017;18:00;50;"Muy buena / ";69;155;50;950,7;0;0,8;20,4;1,22
17/10/2017;17:00;62;"Buena / ";71;177;49;950,6;0;19,4;20,7;2,06
17/10/2017;16:00;69;"Buena / ";70;158;44;950,3;0;83,6;21,9;3,63
17/10/2017;15:00;75;"Buena / ";65;142;44;950,1;0;260;22,3;4,8
17/10/2017;14:00;74;"Buena / ";58;150;42;950,2;0;371,1;23;3,72
17/10/2017;13:00;75;"Buena / ";51;118;44;951,3;0;436,3;22,3;2,48
17/10/2017;12:00;74;"Buena / ";50;75;47;952,1;0;378;21,4;1,37
17/10/2017;11:00;70;"Buena / ";51;89;51;953;0;148,3;20,2;1,24
17/10/2017;10:00;65;"Buena / ";52;90;57;953,7;0;174;18,8;1,4
17/10/2017;09:00;61;"Buena / ";51;14;62;954;0;153,8;18,4;0,33
17/10/2017;08:00;25;"Muy buena / ";49;8;68;954,3;0;76;16,5;0,5
17/10/2017;07:00;16;"Muy buena / ";;317;72;954,4;0;14;15,5;1,3
17/10/2017;06:00;24;"Muy buena / ";;318;70;954,5;0;0;15,9;1,16
17/10/2017;05:00;67;"Buena / ";;70;66;954,7;0;0;16,9;1,13
17/10/2017;04:00;80;"Buena / ";;98;65;954,8;0;0;17,6;2,43
17/10/2017;03:00;81;"Buena / ";;91;62;955,2;0;0;18,3;2,6
17/10/2017;02:00;;"Sin datos / ";;68;65;955,7;0;0;17,3;0,15
17/10/2017;01:00;48;"Muy buena / ";41;76;65;956,1;0;0;17,7;0,75
16/10/2017;24:00;33;"Muy buena / ";45;217;76;956,7;0;0;16,2;0,59
16/10/2017;23:00;28;"Muy buena / ";49;263;80;957,2;0;0;15,7;0,89
16/10/2017;22:00;31;"Muy buena / ";56;226;81;957,4;0;0;15,6;0,95
16/10/2017;21:00;31;"Muy buena / ";62;220;75;957,5;0;0;16,2;1,09
16/10/2017;20:00;37;"Muy buena / ";68;338;73;957,6;0;0;18,2;0,51
16/10/2017;19:00;47;"Muy buena / ";73;41;61;957,6;0;0;20,5;1,32
16/10/2017;18:00;71;"Buena / ";76;91;47;957,4;0;7,6;22,7;2,66
16/10/2017;17:00;72;"Buena / ";76;107;42;957,1;0;97,2;24,3;2,14
16/10/2017;16:00;77;"Buena / ";73;110;37;957,1;0;176,9;25,3;2,94
16/10/2017;15:00;81;"Buena / ";66;;;;0;351,9;;
16/10/2017;14:00;80;"Buena / ";58;;;;0;434,4;;
16/10/2017;13:00;79;"Buena / ";55;;;;0;465,9;;
16/10/2017;12:00;76;"Buena / ";53;353;51;958,4;0;421,5;22,9;0,74
16/10/2017;11:00;74;"Buena / ";53;56;56;958,6;0;155,8;21,4;1,22
16/10/2017;10:00;67;"Buena / ";53;358;57;958,9;0;242,9;21,2;0,45
16/10/2017;09:00;52;"Muy buena / ";50;312;64;958,8;0;151,4;19,7;0,31
16/10/2017;08:00;18;"Muy buena / ";50;197;71;958,2;0;82,7;17,7;0,57
16/10/2017;07:00;21;"Muy buena / ";;130;76;957,7;0;11,3;16,3;0,74
