Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA
25/10/2017;24:00;7;12;Muy buena / Oso ona;22;;"Sin datos / ";4;22;Muy buena / Oso ona;17;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;23:00;7;14;Muy buena / Oso ona;26;1;"Muy buena / ";8;27;Muy buena / Oso ona;18;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;22:00;13;17;Muy buena / Oso ona;36;2;"Muy buena / ";15;29;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;21:00;16;22;Muy buena / Oso ona;46;1;"Muy buena / ";23;30;Muy buena / Oso ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona
25/10/2017;20:00;18;25;Muy buena / Oso ona;52;1;"Muy buena / ";31;37;Muy buena / Oso ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona
25/10/2017;19:00;17;22;Muy buena / Oso ona;49;1;"Muy buena / ";34;49;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona
25/10/2017;18:00;6;32;Muy buena / Oso ona;42;5;"Muy buena / ";36;54;Buena / Ona;21;Muy buena / Oso ona;17;Muy buena / Oso ona
25/10/2017;17:00;7;36;Muy buena / Oso ona;46;13;"Muy buena / ";37;46;Buena / Ona;19;Muy buena / Oso ona;25;Muy buena / Oso ona
25/10/2017;16:00;5;25;Muy buena / Oso ona;33;31;"Muy buena / ";36;27;Muy buena / Oso ona;9;Muy buena / Oso ona;25;Muy buena / Oso ona
25/10/2017;15:00;;;Sin datos / Daturik gabe;16;64;"Buena / ";32;24;Muy buena / Oso ona;0;Muy buena / Oso ona;6;Muy buena / Oso ona
25/10/2017;14:00;;;Sin datos / Daturik gabe;10;70;"Buena / ";25;15;Muy buena / Oso ona;1;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;13:00;;;Sin datos / Daturik gabe;10;59;"Muy buena / ";16;4;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;12:00;11;18;Muy buena / Oso ona;34;26;"Muy buena / ";8;10;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona
25/10/2017;11:00;10;14;Muy buena / Oso ona;28;22;"Muy buena / ";5;6;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;10:00;14;13;Muy buena / Oso ona;35;14;"Muy buena / ";3;7;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;09:00;45;15;Muy buena / Oso ona;83;3;"Muy buena / ";1;9;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;08:00;52;11;Muy buena / Oso ona;90;1;"Muy buena / ";1;14;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;07:00;30;9;Muy buena / Oso ona;55;1;"Muy buena / ";1;13;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;06:00;14;7;Muy buena / Oso ona;28;0;"Muy buena / ";1;10;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;05:00;3;5;Muy buena / Oso ona;10;0;"Muy buena / ";1;10;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;04:00;;;Sin datos / Daturik gabe;7;1;"Muy buena / ";1;11;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;03:00;;;Sin datos / Daturik gabe;6;1;"Muy buena / ";2;13;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;02:00;;;Sin datos / Daturik gabe;7;1;"Muy buena / ";2;10;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;01:00;;;Sin datos / Daturik gabe;9;1;"Muy buena / ";4;8;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;24:00;;;Sin datos / Daturik gabe;8;;"Sin datos / ";11;11;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;23:00;1;9;Muy buena / Oso ona;11;3;"Muy buena / ";16;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;22:00;3;12;Muy buena / Oso ona;16;2;"Muy buena / ";23;16;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;21:00;5;15;Muy buena / Oso ona;22;2;"Muy buena / ";31;25;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;20:00;8;20;Muy buena / Oso ona;32;3;"Muy buena / ";36;29;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;19:00;7;24;Muy buena / Oso ona;35;3;"Muy buena / ";40;36;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;18:00;4;26;Muy buena / Oso ona;31;14;"Muy buena / ";47;41;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona
24/10/2017;17:00;;;Sin datos / Daturik gabe;19;39;"Muy buena / ";;29;Muy buena / Oso ona;10;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;16:00;2;20;Muy buena / Oso ona;20;50;"Muy buena / ";;14;Muy buena / Oso ona;4;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;15:00;;;Sin datos / Daturik gabe;6;72;"Buena / ";;19;Muy buena / Oso ona;1;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;14:00;;;Sin datos / Daturik gabe;9;66;"Buena / ";;8;Muy buena / Oso ona;1;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;13:00;3;11;Muy buena / Oso ona;15;39;"Muy buena / ";;6;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;12:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
24/10/2017;11:00;;;Sin datos / Daturik gabe;;;"Sin datos / ";2;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
24/10/2017;10:00;23;13;Muy buena / Oso ona;47;10;"Muy buena / ";2;2;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;09:00;31;11;Muy buena / Oso ona;58;5;"Muy buena / ";2;2;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;08:00;34;8;Muy buena / Oso ona;59;2;"Muy buena / ";1;5;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;07:00;18;7;Muy buena / Oso ona;34;1;"Muy buena / ";1;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;06:00;11;6;Muy buena / Oso ona;22;1;"Muy buena / ";1;6;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;05:00;4;5;Muy buena / Oso ona;11;1;"Muy buena / ";2;6;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;04:00;2;5;Muy buena / Oso ona;8;1;"Muy buena / ";2;9;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;03:00;1;5;Muy buena / Oso ona;7;1;"Muy buena / ";3;10;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;02:00;1;5;Muy buena / Oso ona;7;1;"Muy buena / ";5;8;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;01:00;1;6;Muy buena / Oso ona;8;2;"Muy buena / ";10;10;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;24:00;;;Sin datos / Daturik gabe;7;;"Sin datos / ";19;10;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;23:00;;;Sin datos / Daturik gabe;10;2;"Muy buena / ";26;11;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;22:00;1;9;Muy buena / Oso ona;11;4;"Muy buena / ";30;13;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;21:00;2;11;Muy buena / Oso ona;15;4;"Muy buena / ";37;17;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;20:00;1;13;Muy buena / Oso ona;16;6;"Muy buena / ";43;22;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;19:00;1;15;Muy buena / Oso ona;16;12;"Muy buena / ";48;24;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;18:00;;;Sin datos / Daturik gabe;11;32;"Muy buena / ";49;19;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona
23/10/2017;17:00;;;Sin datos / Daturik gabe;4;57;"Muy buena / ";47;15;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona
23/10/2017;16:00;;;Sin datos / Daturik gabe;4;65;"Buena / ";41;16;Muy buena / Oso ona;5;Muy buena / Oso ona;11;Muy buena / Oso ona
23/10/2017;15:00;;;Sin datos / Daturik gabe;8;57;"Muy buena / ";33;24;Muy buena / Oso ona;4;Muy buena / Oso ona;12;Muy buena / Oso ona
23/10/2017;14:00;;;Sin datos / Daturik gabe;3;61;"Buena / ";26;6;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona
23/10/2017;13:00;;;Sin datos / Daturik gabe;5;52;"Muy buena / ";19;2;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;12:00;2;7;Muy buena / Oso ona;8;44;"Muy buena / ";14;2;Muy buena / Oso ona;1;Muy buena / Oso ona;2;Muy buena / Oso ona
23/10/2017;11:00;8;9;Muy buena / Oso ona;21;24;"Muy buena / ";9;2;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona
23/10/2017;10:00;17;9;Muy buena / Oso ona;35;14;"Muy buena / ";7;2;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona
23/10/2017;09:00;16;8;Muy buena / Oso ona;32;7;"Muy buena / ";6;5;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;08:00;14;10;Muy buena / Oso ona;32;4;"Muy buena / ";6;8;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;07:00;5;8;Muy buena / Oso ona;15;3;"Muy buena / ";6;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;06:00;;;Sin datos / Daturik gabe;8;5;"Muy buena / ";7;10;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;05:00;;;Sin datos / Daturik gabe;5;8;"Muy buena / ";9;6;Muy buena / Oso ona;5;Muy buena / Oso ona;0;Muy buena / Oso ona
23/10/2017;04:00;;;Sin datos / Daturik gabe;3;5;"Muy buena / ";13;7;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;03:00;;;Sin datos / Daturik gabe;2;6;"Muy buena / ";20;8;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;02:00;;;Sin datos / Daturik gabe;2;7;"Muy buena / ";28;8;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;01:00;;;Sin datos / Daturik gabe;2;9;"Muy buena / ";36;11;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;24:00;;;Sin datos / Daturik gabe;2;;"Sin datos / ";46;14;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;23:00;;;Sin datos / Daturik gabe;4;13;"Muy buena / ";48;10;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;22:00;;;Sin datos / Daturik gabe;4;21;"Muy buena / ";50;13;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;21:00;;;Sin datos / Daturik gabe;5;29;"Muy buena / ";56;16;Muy buena / Oso ona;5;Muy buena / Oso ona;0;Muy buena / Oso ona
22/10/2017;20:00;;;Sin datos / Daturik gabe;3;47;"Muy buena / ";60;15;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;19:00;;;Sin datos / Daturik gabe;3;53;"Muy buena / ";62;18;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;18:00;;;Sin datos / Daturik gabe;3;58;"Muy buena / ";62;16;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;17:00;;;Sin datos / Daturik gabe;;65;"Buena / ";61;14;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;16:00;;;Sin datos / Daturik gabe;;65;"Buena / ";57;16;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;15:00;;;Sin datos / Daturik gabe;;65;"Buena / ";54;7;Muy buena / Oso ona;1;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;14:00;;;Sin datos / Daturik gabe;;68;"Buena / ";51;5;Muy buena / Oso ona;1;Muy buena / Oso ona;1;Muy buena / Oso ona
