Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
26/10/2017;17:00;11;43;Muy buena / Oso ona;59;50;"Muy buena / ";46;29;Muy buena / Oso ona;22;Muy buena / Oso ona;4;Muy buena / Oso ona;279;56;1012,7;0;25,3;20,4;2,06
26/10/2017;16:00;7;24;Muy buena / Oso ona;35;75;"Buena / ";41;23;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;284;48;1012,1;0;190,6;23,1;2,08
26/10/2017;15:00;9;26;Muy buena / Oso ona;40;75;"Buena / ";32;20;Muy buena / Oso ona;17;Muy buena / Oso ona;4;Muy buena / Oso ona;284;48;1011,8;0;351,8;23,4;2,7
26/10/2017;14:00;9;25;Muy buena / Oso ona;39;68;"Buena / ";26;31;Muy buena / Oso ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona;285;52;1011,5;0;470;22,9;3,58
26/10/2017;13:00;14;35;Muy buena / Oso ona;55;44;"Muy buena / ";20;32;Muy buena / Oso ona;23;Muy buena / Oso ona;5;Muy buena / Oso ona;289;52;1011,2;0;541,1;23,1;3,35
26/10/2017;12:00;32;52;Muy buena / Oso ona;101;22;"Muy buena / ";16;47;Buena / Ona;24;Muy buena / Oso ona;5;Muy buena / Oso ona;291;50;1011;0;558,4;23,6;2,73
26/10/2017;11:00;36;60;Muy buena / Oso ona;115;22;"Muy buena / ";15;55;Buena / Ona;23;Muy buena / Oso ona;9;Muy buena / Oso ona;303;44;1010,8;0;525;23,6;2,03
26/10/2017;10:00;56;81;Muy buena / Oso ona;167;11;"Muy buena / ";17;36;Muy buena / Oso ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;307;46;1010,5;0;431,9;23,3;0,65
26/10/2017;09:00;32;64;Muy buena / Oso ona;113;10;"Muy buena / ";18;19;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona;130;49;1010,2;0;295;20,8;1,6
26/10/2017;08:00;55;71;Muy buena / Oso ona;154;7;"Muy buena / ";20;22;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;119;52;1009,6;0;107,6;18,4;2
26/10/2017;07:00;19;49;Muy buena / Oso ona;78;25;"Muy buena / ";22;21;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;165;44;1008,8;0;2,8;20,1;2,4
26/10/2017;06:00;28;49;Muy buena / Oso ona;91;21;"Muy buena / ";22;20;Muy buena / Oso ona;18;Muy buena / Oso ona;3;Muy buena / Oso ona;207;46;1008,2;0;0;20,6;2,22
26/10/2017;05:00;20;49;Muy buena / Oso ona;79;7;"Muy buena / ";21;22;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona;152;52;1007,7;0;0;18,4;0,71
26/10/2017;04:00;11;33;Muy buena / Oso ona;49;18;"Muy buena / ";21;22;Muy buena / Oso ona;17;Muy buena / Oso ona;2;Muy buena / Oso ona;141;57;1007,2;0;0;17,6;1,28
26/10/2017;03:00;6;21;Muy buena / Oso ona;31;34;"Muy buena / ";19;20;Muy buena / Oso ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;131;58;1007,3;0;0;17,4;2,16
26/10/2017;02:00;7;27;Muy buena / Oso ona;37;23;"Muy buena / ";14;36;Muy buena / Oso ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona;127;65;1007,3;0;0;16,3;1,61
26/10/2017;01:00;7;23;Muy buena / Oso ona;34;24;"Muy buena / ";11;38;Muy buena / Oso ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;116;64;1007,2;0;0;16,5;1,91
25/10/2017;24:00;7;33;Muy buena / Oso ona;44;25;"Muy buena / ";8;45;Buena / Ona;20;Muy buena / Oso ona;4;Muy buena / Oso ona;132;66;1007,2;0;0;16,5;2,82
25/10/2017;23:00;9;33;Muy buena / Oso ona;46;25;"Muy buena / ";10;38;Muy buena / Oso ona;22;Muy buena / Oso ona;2;Muy buena / Oso ona;131;67;1007,5;0;0;16,6;3,17
25/10/2017;22:00;10;47;Muy buena / Oso ona;62;13;"Muy buena / ";13;31;Muy buena / Oso ona;27;Buena / Ona;2;Muy buena / Oso ona;133;75;1007,3;0;0;16,1;2,71
25/10/2017;21:00;21;47;Muy buena / Oso ona;79;7;"Muy buena / ";19;22;Muy buena / Oso ona;26;Buena / Ona;2;Muy buena / Oso ona;136;78;1007,1;0;0;15,7;1,29
25/10/2017;20:00;24;48;Muy buena / Oso ona;85;6;"Muy buena / ";24;24;Muy buena / Oso ona;30;Buena / Ona;2;Muy buena / Oso ona;134;76;1006,8;0;0;16,2;1,51
25/10/2017;19:00;59;64;Muy buena / Oso ona;155;1;"Muy buena / ";28;28;Muy buena / Oso ona;36;Buena / Ona;2;Muy buena / Oso ona;132;71;1006,8;0;0;17,3;1,04
25/10/2017;18:00;82;78;Muy buena / Oso ona;204;1;"Muy buena / ";30;36;Muy buena / Oso ona;34;Buena / Ona;3;Muy buena / Oso ona;85;61;1006,6;0;0,7;19,9;0,33
25/10/2017;17:00;77;82;Muy buena / Oso ona;200;5;"Muy buena / ";31;23;Muy buena / Oso ona;18;Muy buena / Oso ona;3;Muy buena / Oso ona;306;44;1006;0;19,6;23;0,58
25/10/2017;16:00;39;72;Muy buena / Oso ona;132;19;"Muy buena / ";31;34;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;183;27;1005,5;0;207,1;28,4;1,06
25/10/2017;15:00;18;42;Muy buena / Oso ona;70;53;"Muy buena / ";29;26;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;130;25;1005,6;0;371,3;29,6;1,04
25/10/2017;14:00;13;33;Muy buena / Oso ona;52;59;"Muy buena / ";22;21;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;117;28;1006,1;0;489,4;29,1;0,96
25/10/2017;13:00;14;34;Muy buena / Oso ona;54;51;"Muy buena / ";15;29;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;108;31;1006,7;0;557,2;27,4;1,22
25/10/2017;12:00;17;40;Muy buena / Oso ona;67;38;"Muy buena / ";9;38;Muy buena / Oso ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;132;35;1007,5;0;578,7;25,2;1,04
25/10/2017;11:00;28;52;Muy buena / Oso ona;94;17;"Muy buena / ";4;45;Buena / Ona;21;Muy buena / Oso ona;10;Muy buena / Oso ona;124;43;1008;0;535,1;22,1;0,61
25/10/2017;10:00;53;58;Muy buena / Oso ona;138;6;"Muy buena / ";3;57;Buena / Ona;35;Buena / Ona;12;Muy buena / Oso ona;136;55;1008,3;0;432,5;17,8;0,88
25/10/2017;09:00;114;54;Muy buena / Oso ona;229;3;"Muy buena / ";3;63;Mejorable / Hobetzeko modukoa;43;Mejorable / Hobetzeko modukoa;8;Muy buena / Oso ona;157;78;1008,4;0;288,5;14,3;0,3
25/10/2017;08:00;168;53;Muy buena / Oso ona;310;2;"Muy buena / ";4;60;Buena / Ona;37;Buena / Ona;3;Muy buena / Oso ona;159;99;1007,9;0;108,1;10,2;0,29
25/10/2017;07:00;181;59;Muy buena / Oso ona;336;1;"Muy buena / ";4;43;Buena / Ona;28;Buena / Ona;3;Muy buena / Oso ona;126;99;1007,3;0;3,4;9;0,52
25/10/2017;06:00;80;37;Muy buena / Oso ona;160;0;"Muy buena / ";5;31;Muy buena / Oso ona;21;Muy buena / Oso ona;2;Muy buena / Oso ona;132;99;1007,2;0;0;9,2;0,53
25/10/2017;05:00;33;30;Muy buena / Oso ona;80;1;"Muy buena / ";6;21;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona;116;98;1007,2;0;0;9,4;0,3
25/10/2017;04:00;21;25;Muy buena / Oso ona;57;5;"Muy buena / ";6;18;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona;288;97;1006,8;0;0;9,7;0,27
25/10/2017;03:00;15;20;Muy buena / Oso ona;44;7;"Muy buena / ";5;29;Muy buena / Oso ona;21;Muy buena / Oso ona;1;Muy buena / Oso ona;121;97;1006,9;0;0;10,1;0,65
25/10/2017;02:00;14;25;Muy buena / Oso ona;46;4;"Muy buena / ";5;28;Muy buena / Oso ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona;136;96;1007,2;0;0;10,3;0,29
25/10/2017;01:00;14;26;Muy buena / Oso ona;47;8;"Muy buena / ";4;16;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;135;95;1007,2;0;0;10,8;0,64
24/10/2017;24:00;14;18;Muy buena / Oso ona;39;11;"Muy buena / ";4;20;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;125;94;1007,3;0;0;11,2;1,24
24/10/2017;23:00;15;25;Muy buena / Oso ona;47;9;"Muy buena / ";6;15;Muy buena / Oso ona;18;Muy buena / Oso ona;1;Muy buena / Oso ona;126;92;1007,8;0;0;11,6;1,17
24/10/2017;22:00;22;34;Muy buena / Oso ona;67;5;"Muy buena / ";5;14;Muy buena / Oso ona;21;Muy buena / Oso ona;1;Muy buena / Oso ona;126;89;1008;0;0;12,3;1,26
24/10/2017;21:00;33;45;Muy buena / Oso ona;95;3;"Muy buena / ";5;22;Muy buena / Oso ona;26;Buena / Ona;1;Muy buena / Oso ona;132;85;1007,7;0;0;13,3;0,88
24/10/2017;20:00;58;56;Muy buena / Oso ona;145;2;"Muy buena / ";12;28;Muy buena / Oso ona;30;Buena / Ona;2;Muy buena / Oso ona;127;79;1007,3;0;0;14,5;0,89
24/10/2017;19:00;83;78;Muy buena / Oso ona;205;1;"Muy buena / ";18;37;Muy buena / Oso ona;35;Buena / Ona;4;Muy buena / Oso ona;299;64;1007,1;0;0;17,2;0,42
24/10/2017;18:00;105;84;Muy buena / Oso ona;245;3;"Muy buena / ";22;37;Muy buena / Oso ona;32;Buena / Ona;3;Muy buena / Oso ona;299;57;1006,8;0;1,2;19,2;0,89
24/10/2017;17:00;124;82;Muy buena / Oso ona;272;3;"Muy buena / ";24;37;Muy buena / Oso ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona;290;47;1006,2;0;31,1;22;0,41
24/10/2017;16:00;59;71;Muy buena / Oso ona;161;18;"Muy buena / ";24;23;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;233;31;1006;0;226,2;27,6;0,48
24/10/2017;15:00;49;61;Muy buena / Oso ona;136;34;"Muy buena / ";21;15;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;242;29;1006;0;318,6;27,9;0,63
24/10/2017;14:00;;;Sin datos / Daturik gabe;;43;"Muy buena / ";18;10;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;243;28;1006,2;0;456,1;28;0,88
24/10/2017;13:00;;;Sin datos / Daturik gabe;;44;"Muy buena / ";18;23;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;128;30;1006,6;0;572,8;26,8;0,77
24/10/2017;12:00;;;Sin datos / Daturik gabe;;36;"Muy buena / ";12;29;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;138;35;1007,4;0;537,9;23,3;1,65
24/10/2017;11:00;;;Sin datos / Daturik gabe;;30;"Muy buena / ";8;40;Muy buena / Oso ona;21;Muy buena / Oso ona;2;Muy buena / Oso ona;134;38;1008,3;0;518;21,2;1,53
24/10/2017;10:00;;;Sin datos / Daturik gabe;;10;"Muy buena / ";6;55;Buena / Ona;29;Buena / Ona;2;Muy buena / Oso ona;110;53;1009,1;0;425,8;17,2;0,97
24/10/2017;09:00;;;Sin datos / Daturik gabe;;3;"Muy buena / ";7;43;Buena / Ona;32;Buena / Ona;2;Muy buena / Oso ona;118;68;1009,6;0;281,8;12,3;1,54
24/10/2017;08:00;;;Sin datos / Daturik gabe;;1;"Muy buena / ";9;48;Buena / Ona;30;Buena / Ona;2;Muy buena / Oso ona;128;86;1009,8;0;125,4;8,6;1,19
24/10/2017;07:00;;;Sin datos / Daturik gabe;;1;"Muy buena / ";10;34;Muy buena / Oso ona;22;Muy buena / Oso ona;2;Muy buena / Oso ona;128;93;1009,7;0;4,8;7,2;1,15
24/10/2017;06:00;;;Sin datos / Daturik gabe;;1;"Muy buena / ";13;25;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;129;93;1009,9;0;0;7,3;1,48
24/10/2017;05:00;;;Sin datos / Daturik gabe;;2;"Muy buena / ";13;18;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;128;93;1010,2;0;0;7,4;1,25
24/10/2017;04:00;;;Sin datos / Daturik gabe;;10;"Muy buena / ";13;10;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;135;93;1010,3;0;0;7,7;1,49
24/10/2017;03:00;;;Sin datos / Daturik gabe;;15;"Muy buena / ";12;25;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;127;94;1010,8;0;0;7,8;1
24/10/2017;02:00;;;Sin datos / Daturik gabe;;15;"Muy buena / ";10;13;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;127;92;1011,1;0;0;8,3;1,24
24/10/2017;01:00;;;Sin datos / Daturik gabe;;17;"Muy buena / ";8;11;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;134;91;1011,6;0;0;8,6;1,36
23/10/2017;24:00;;;Sin datos / Daturik gabe;;19;"Muy buena / ";9;11;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;129;91;1011,9;0;0;9,2;1,11
