Date;Hour;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
20/10/2017;05:00;38;82;1001,2;0;14;1,06
20/10/2017;04:00;32;80;1000,9;0;14,3;0,68
20/10/2017;03:00;19;81;1000,8;0;14,3;0,76
20/10/2017;02:00;38;78;1000,5;0;14,6;1,67
20/10/2017;01:00;177;72;1000,5;0;15,5;0,78
19/10/2017;24:00;137;74;1000,2;0;15,1;0,13
19/10/2017;23:00;53;72;999,6;0;15,4;0,53
19/10/2017;22:00;99;74;999;0;14,9;0,33
19/10/2017;21:00;16;78;998,4;0;14,6;0,41
19/10/2017;20:00;42;79;997,9;0;14,6;1,43
19/10/2017;19:00;66;79;997,5;0;15,6;1,33
19/10/2017;18:00;50;81;996,9;0;16,5;0,97
19/10/2017;17:00;72;68;996,5;41,1;19,3;1,19
19/10/2017;16:00;90;56;996,2;137,1;20,9;1,18
19/10/2017;15:00;75;57;996;226,8;20,8;1,14
19/10/2017;14:00;62;58;996,3;434,7;21,2;1,33
19/10/2017;13:00;82;59;996,7;475,5;20,3;0,92
19/10/2017;12:00;172;63;997,6;549,8;19;1,87
19/10/2017;11:00;197;69;998,1;486,4;18,1;1,98
19/10/2017;10:00;193;75;997,9;410,6;17,1;0,89
19/10/2017;09:00;50;82;997,5;187,3;15,9;0,65
19/10/2017;08:00;15;95;997,4;96,7;12,9;0,43
19/10/2017;07:00;10;97;997,2;5,1;12;0,42
19/10/2017;06:00;354;97;997;2,7;11,7;0,85
19/10/2017;05:00;28;96;996,8;2,8;12;0,99
19/10/2017;04:00;318;95;996,8;2,4;12,3;0,49
19/10/2017;03:00;31;94;996,8;0;12,5;0,42
19/10/2017;02:00;278;91;996,8;0;12,7;0,27
19/10/2017;01:00;262;91;996,7;0,2;12,8;1,82
18/10/2017;24:00;255;94;996,8;2;13;1,9
18/10/2017;23:00;258;96;996,9;5,6;13,1;2,04
18/10/2017;22:00;267;96;997;6;13,3;0,79
18/10/2017;21:00;250;96;996,7;6,7;13,3;0,79
18/10/2017;20:00;263;96;996,4;5,6;13,3;0,89
18/10/2017;19:00;259;95;996,1;0,5;13,4;1,81
18/10/2017;18:00;273;93;995,6;0,2;14,6;1,06
18/10/2017;17:00;43;93;995,4;5,2;14,9;0,6
18/10/2017;16:00;355;91;995,2;26,8;15,2;0,18
18/10/2017;15:00;279;90;995,3;73,6;15,2;0,9
18/10/2017;14:00;27;90;995,2;86,3;14,8;1,03
18/10/2017;13:00;264;88;995,3;137;14,8;0,5
18/10/2017;12:00;241;89;995,8;45,1;14,6;2,45
18/10/2017;11:00;279;84;995,7;56,7;16,2;1,52
18/10/2017;10:00;196;77;995,9;44,9;17,4;0,34
18/10/2017;09:00;143;76;996,4;61,2;17,1;0,42
18/10/2017;08:00;44;78;996,5;20,5;16,4;1,07
18/10/2017;07:00;67;79;996,5;0,1;16,1;0,88
18/10/2017;06:00;48;80;996,8;0;15,8;0,58
18/10/2017;05:00;53;87;997,1;0;14,9;0,44
18/10/2017;04:00;71;86;997,5;0;15,4;0,9
18/10/2017;03:00;72;81;997,9;0;16,8;0,57
18/10/2017;02:00;42;80;998,3;0;17,6;0,59
18/10/2017;01:00;53;80;990,2;0;17,9;0,48
17/10/2017;24:00;55;89;999,3;0,5;17,6;1,35
17/10/2017;23:00;269;98;1000,2;2,1;16,7;0,47
17/10/2017;22:00;324;97;1000,2;0,3;16,6;0,34
17/10/2017;21:00;257;97;1000,4;0;16,8;0,39
17/10/2017;20:00;262;95;1000,5;0;17;0,77
17/10/2017;19:00;288;93;1000,6;0;17,4;0,53
17/10/2017;18:00;260;91;1000,6;0;18,1;1,37
17/10/2017;17:00;266;81;1000,2;14,3;19,9;1,82
17/10/2017;16:00;201;48;999,7;55,7;24,6;2,04
17/10/2017;15:00;177;47;999,7;85,5;24,9;1,37
17/10/2017;14:00;176;44;999,9;217,6;25,5;1,61
17/10/2017;13:00;194;46;1000,8;428,9;25,3;2,6
17/10/2017;12:00;185;47;1001,7;366,5;24,4;3,79
17/10/2017;11:00;186;48;1002,5;415,9;24,3;2,97
17/10/2017;10:00;95;53;1003;416,1;23,1;2,41
17/10/2017;09:00;101;57;1003,4;259,2;21,9;1,65
17/10/2017;08:00;108;61;1003,5;83,5;20;0,76
17/10/2017;07:00;83;61;1003,4;4,5;19,8;1,72
17/10/2017;06:00;83;63;1003,5;0;19,5;1,35
17/10/2017;05:00;83;68;1003,6;0;18,8;0,96
17/10/2017;04:00;61;74;1003,8;0;17,5;0,89
17/10/2017;03:00;289;95;1004,2;0,7;13,8;0,23
17/10/2017;02:00;346;96;1005;0,4;13,7;0,32
17/10/2017;01:00;20;95;1005,7;0;14;0,51
16/10/2017;24:00;76;95;1006,6;0;14,1;0,91
16/10/2017;23:00;79;95;1007,6;0;14,8;0,83
16/10/2017;22:00;348;95;1008,4;0;15,3;0,11
16/10/2017;21:00;243;93;1008,8;0;16;0,32
16/10/2017;20:00;268;90;1009;0;16,7;0,16
16/10/2017;19:00;296;88;1009,1;0;17,4;0,24
16/10/2017;18:00;323;84;1009;0,8;18,3;0,45
16/10/2017;17:00;336;77;1008,7;38,3;20,1;1,02
16/10/2017;16:00;302;73;1008,4;200,1;22,4;1,31
16/10/2017;15:00;254;72;1008,3;381,8;23,4;2,72
16/10/2017;14:00;261;69;1008,2;479,9;24,2;2,31
16/10/2017;13:00;256;62;1007,9;529,5;25,9;2,2
16/10/2017;12:00;157;44;1008,1;558,3;28,2;1,04
16/10/2017;11:00;97;47;1007,8;454,6;27;1,43
16/10/2017;10:00;158;51;1007,9;374,4;25,6;1,57
16/10/2017;09:00;183;54;1007,8;259,4;24,3;2,29
16/10/2017;08:00;188;56;1006,9;96,4;23,2;2,34
16/10/2017;07:00;181;55;1006;2,3;22,9;1,95
16/10/2017;06:00;169;55;1005,7;0;23,2;1,6
16/10/2017;05:00;91;58;1005,2;0;23,2;1,94
16/10/2017;04:00;172;59;1005;0;23;0,79
16/10/2017;03:00;187;59;1005;0;23,4;1,25
16/10/2017;02:00;186;59;1005,2;0;23,7;0,77
16/10/2017;01:00;299;60;1005,4;0;23,9;1,22
15/10/2017;24:00;327;59;1006,1;0;24,1;0,32
15/10/2017;23:00;81;55;1006,1;0;24,8;2,91
15/10/2017;22:00;84;54;1006,2;0;24,8;3,24
15/10/2017;21:00;115;54;1006;0;24,4;1,34
15/10/2017;20:00;167;53;1005,9;0;24,5;0,53
15/10/2017;19:00;172;52;1005,9;0;25,4;0,82
15/10/2017;18:00;76;51;1005,6;0;26;0,77
15/10/2017;17:00;74;48;1005,5;61,2;27,9;1,75
15/10/2017;16:00;80;44;1005,4;220,6;29,7;1,85
15/10/2017;15:00;80;43;1005,6;377,8;30,4;2,29
15/10/2017;14:00;81;43;1006,1;487,3;30;2,36
15/10/2017;13:00;96;43;1006,8;543,6;30,1;1,32
15/10/2017;12:00;82;48;1007,8;544,1;28,8;1,69
15/10/2017;11:00;87;53;1008,5;453,6;26,9;1,58
15/10/2017;10:00;74;60;1008,8;387,6;24,7;2,62
15/10/2017;09:00;94;62;1008,9;276,2;23,6;1,52
15/10/2017;08:00;168;68;1008,6;95,3;21,5;1,35
15/10/2017;07:00;172;70;1008,3;4,2;20,7;0,88
15/10/2017;06:00;163;69;1008,1;0;21;1,06
15/10/2017;05:00;181;69;1007,8;0;21,3;0,79
15/10/2017;04:00;163;67;1007,6;0;21,9;1,21
15/10/2017;03:00;103;65;1007,6;0;22,6;0,83
15/10/2017;02:00;112;66;1007,8;0;22,7;0,65
15/10/2017;01:00;109;66;1007,9;0;22,8;0,45
14/10/2017;24:00;203;68;1007,9;0;22,6;0,99
14/10/2017;23:00;205;68;1007,9;0;22,4;0,64
14/10/2017;22:00;225;68;1007,8;0;22,2;0,62
14/10/2017;21:00;239;65;1007,7;0;22,9;0,5
14/10/2017;20:00;333;62;1007,5;0;23,5;0,31
14/10/2017;19:00;25;62;1007,2;0;23,7;0,2
14/10/2017;18:00;66;57;1006,7;1,2;25,9;0,49
14/10/2017;17:00;78;47;1006,3;87,8;29,2;1,76
14/10/2017;16:00;83;44;1006,3;230,5;30,6;2,28
14/10/2017;15:00;101;40;1006,3;359,3;31,7;1,11
14/10/2017;14:00;108;41;1006,4;450,8;31,1;1,46
14/10/2017;13:00;181;44;1007,2;500,8;29,9;2,11
14/10/2017;12:00;98;51;1008,2;508,7;28,3;1,28
14/10/2017;11:00;112;58;1008,9;506,5;25,7;0,8
14/10/2017;10:00;113;68;1009,3;383,3;22,9;0,38
14/10/2017;09:00;60;86;1009,4;193,6;18,2;1,16
14/10/2017;08:00;67;94;1009,3;42;15,8;1,54
14/10/2017;07:00;71;94;1009,2;0,1;15,8;1,73
14/10/2017;06:00;67;93;1009,3;0;16,2;1,67
14/10/2017;05:00;44;92;1009,5;0;16,4;0,98
14/10/2017;04:00;7;91;1009,6;0;16,6;0,73
14/10/2017;03:00;216;92;1010;0;16,7;0,69
14/10/2017;02:00;291;92;1010,5;0;16,7;0,39
14/10/2017;01:00;337;92;1010,7;0;16,7;0,45
13/10/2017;24:00;5;91;1010,9;0;16,8;0,59
13/10/2017;23:00;292;91;1011,1;0;17;0,67
13/10/2017;22:00;303;90;1011,1;0;16,9;0,48
13/10/2017;21:00;271;90;1011,1;0;17;0,93
13/10/2017;20:00;292;89;1010,9;0;17,2;1,02
13/10/2017;19:00;280;89;1010,6;0;17,5;0,98
13/10/2017;18:00;259;88;1010,3;0;18;1,71
13/10/2017;17:00;255;87;1009,9;36,6;18,6;2,16
13/10/2017;16:00;263;82;1009,6;163,2;20,8;2,31
13/10/2017;15:00;256;79;1009,1;374,7;22,5;3,63
13/10/2017;14:00;258;72;1008,5;504,9;25,4;2,94
13/10/2017;13:00;267;58;1008,5;578,1;28,8;1,45
13/10/2017;12:00;97;45;1009,2;585,7;29,3;0,52
13/10/2017;11:00;60;55;1009,7;494,4;26,2;0,41
13/10/2017;10:00;62;73;1009,9;394,5;21,8;1,37
13/10/2017;09:00;231;83;1009,7;264,3;18,6;0,3
13/10/2017;08:00;357;93;1009,3;115;15,1;0,28
13/10/2017;07:00;271;98;1008,9;8,5;13;0,21
13/10/2017;06:00;267;98;1008,7;0,4;13,2;0,49
13/10/2017;05:00;304;98;1008,5;0,3;13,3;0,19
13/10/2017;04:00;278;98;1008,5;0,2;13,2;0,39
13/10/2017;03:00;192;98;1008,7;0,2;13,2;0,34
13/10/2017;02:00;104;98;1009;0,1;13,6;0,28
13/10/2017;01:00;57;98;1009,2;0,1;14;0,49
12/10/2017;24:00;66;98;1009,4;0;14,3;1,1
12/10/2017;23:00;67;98;1009,6;0;14,6;1,21
12/10/2017;22:00;75;97;1009,9;0;14,7;0,4
12/10/2017;21:00;66;95;1009,9;0;15,2;0,18
12/10/2017;20:00;13;93;1009,6;0;16,1;0,23
12/10/2017;19:00;45;91;1009,6;0;17,1;1,15
12/10/2017;18:00;29;81;1009,4;2;19,5;0,78
12/10/2017;17:00;256;68;1009;102,4;23,6;1,11
12/10/2017;16:00;69;65;1008,7;276,5;25,1;2
12/10/2017;15:00;75;61;1008,7;432,6;25,9;2,01
12/10/2017;14:00;85;57;1009,1;541,8;25,9;1,82
12/10/2017;13:00;52;53;1009,8;593,8;26;0,37
12/10/2017;12:00;72;59;1010,7;583,1;22,9;1,35
12/10/2017;11:00;72;73;1011,1;508,8;20,4;1,38
12/10/2017;10:00;77;87;1011,4;424,1;17,7;1,12
12/10/2017;09:00;58;98;1011,3;196,2;14,3;1,6
12/10/2017;08:00;65;99;1011,1;52,7;12,5;1,36
12/10/2017;07:00;65;99;1011;13,3;12,1;1,46
12/10/2017;06:00;79;99;1010,8;6,4;12;1,74
12/10/2017;05:00;74;99;1010,6;5,8;12,3;1,64
12/10/2017;04:00;62;99;1010,5;5,3;12,6;1,16
12/10/2017;03:00;72;98;1010,4;0,7;12,5;1,22
12/10/2017;02:00;57;98;1010,6;0;13,2;0,8
12/10/2017;01:00;60;98;1010,7;0;13,8;1,74
11/10/2017;24:00;61;98;1010,7;0;14,2;1,8
11/10/2017;23:00;354;98;1010,7;0;14,4;0,35
11/10/2017;22:00;278;97;1010,8;0;14,7;0,3
11/10/2017;21:00;5;94;1010,6;0;15,5;0,23
11/10/2017;20:00;31;92;1010,3;0;16,3;0,37
11/10/2017;19:00;232;91;1009,6;0;16,5;0,85
11/10/2017;18:00;257;88;1008,8;0,4;17,4;1,44
11/10/2017;17:00;275;81;1008;58,9;19,7;1,64
11/10/2017;16:00;308;75;1007,3;226,7;22;1,43
11/10/2017;15:00;320;59;1006,9;376;23,7;1,47
11/10/2017;14:00;311;49;1006,4;502,4;24,8;1,57
11/10/2017;13:00;312;47;1006;540;26;1,73
11/10/2017;12:00;240;37;1005,8;602,6;27,7;1,63
11/10/2017;11:00;63;46;1005,9;529,1;25,5;0,18
11/10/2017;10:00;340;54;1005,8;412,8;23,5;0,35
11/10/2017;09:00;313;71;1005,4;239,6;18,5;0,6
11/10/2017;08:00;31;78;1005;137,8;14,7;0,83
11/10/2017;07:00;43;90;1004,6;10,1;11,5;0,58
11/10/2017;06:00;37;95;1004,4;0,5;11,8;1,99
11/10/2017;05:00;42;98;1004,4;0,9;11,1;1,13
11/10/2017;04:00;49;98;1004,4;0,5;11,5;0,5
11/10/2017;03:00;37;98;1004,5;0,5;12,6;1,44
11/10/2017;02:00;41;98;1004,8;0,2;12,8;1,99
11/10/2017;01:00;61;98;1005,1;0,1;13;2,11
10/10/2017;24:00;59;98;1005,2;0;13,3;2,36
10/10/2017;23:00;70;97;1005,6;0;14,2;2,5
10/10/2017;22:00;69;97;1005,9;0;14,9;2,08
10/10/2017;21:00;45;97;1006;0;15,3;1,99
10/10/2017;20:00;307;96;1005,9;0;15,2;0,2
10/10/2017;19:00;29;91;1005,7;0;16,6;0,07
10/10/2017;18:00;244;85;1005,4;5,2;18,8;0,93
