Date;Hour;CO (mg/m3);CO - ICA;CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA
26/10/2017;02:00;0,36;"Muy buena / ";;39;44;Muy buena / Oso ona;104;31;Muy buena / Oso ona;18;Muy buena / Oso ona;2;Muy buena / Oso ona
26/10/2017;01:00;0,37;"Muy buena / ";;26;48;Muy buena / Oso ona;89;46;Buena / Ona;22;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;24:00;0,61;"Muy buena / ";;81;59;Muy buena / Oso ona;182;48;Buena / Ona;26;Buena / Ona;3;Muy buena / Oso ona
25/10/2017;23:00;0,87;"Muy buena / ";;145;77;Muy buena / Oso ona;299;44;Buena / Ona;27;Buena / Ona;4;Muy buena / Oso ona
25/10/2017;22:00;0,78;"Muy buena / ";;115;81;Muy buena / Oso ona;257;49;Buena / Ona;29;Buena / Ona;3;Muy buena / Oso ona
25/10/2017;21:00;;"Sin datos / ";;222;106;Buena / Ona;446;58;Buena / Ona;27;Buena / Ona;5;Muy buena / Oso ona
25/10/2017;20:00;;"Sin datos / ";;207;111;Buena / Ona;428;60;Buena / Ona;21;Muy buena / Oso ona;4;Muy buena / Oso ona
25/10/2017;19:00;;"Sin datos / ";;227;121;Buena / Ona;468;45;Buena / Ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona
25/10/2017;18:00;0,87;"Muy buena / ";;115;108;Buena / Ona;284;46;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona
25/10/2017;17:00;0,56;"Muy buena / ";;77;98;Muy buena / Oso ona;216;26;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;16:00;0,15;"Muy buena / ";;15;41;Muy buena / Oso ona;63;18;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;15:00;;"Sin datos / ";;7;23;Muy buena / Oso ona;33;19;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;14:00;;"Sin datos / ";;9;32;Muy buena / Oso ona;46;17;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;13:00;;"Sin datos / ";;10;31;Muy buena / Oso ona;46;4;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;12:00;;"Sin datos / ";0,52;14;36;Muy buena / Oso ona;56;17;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;11:00;;"Sin datos / ";0,49;33;50;Muy buena / Oso ona;99;40;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;10:00;0,46;"Muy buena / ";0,46;112;67;Muy buena / Oso ona;239;38;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona
25/10/2017;09:00;0,65;"Muy buena / ";0,44;128;61;Muy buena / Oso ona;257;42;Buena / Ona;24;Muy buena / Oso ona;3;Muy buena / Oso ona
25/10/2017;08:00;0,58;"Muy buena / ";0,39;140;50;Muy buena / Oso ona;265;62;Mejorable / Hobetzeko modukoa;36;Buena / Ona;3;Muy buena / Oso ona
25/10/2017;07:00;0,5;"Muy buena / ";0,37;138;45;Muy buena / Oso ona;255;74;Mejorable / Hobetzeko modukoa;26;Buena / Ona;4;Muy buena / Oso ona
25/10/2017;06:00;0,51;"Muy buena / ";0,34;120;39;Muy buena / Oso ona;223;35;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona
25/10/2017;05:00;0,46;"Muy buena / ";0,32;49;35;Muy buena / Oso ona;110;18;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;04:00;0,29;"Muy buena / ";0,37;17;34;Muy buena / Oso ona;59;22;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;03:00;0,29;"Muy buena / ";0,39;10;35;Muy buena / Oso ona;49;35;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona
25/10/2017;02:00;0,27;"Muy buena / ";;20;36;Muy buena / Oso ona;67;33;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona
25/10/2017;01:00;0,27;"Muy buena / ";;18;39;Muy buena / Oso ona;66;25;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;24:00;0,22;"Muy buena / ";;8;40;Muy buena / Oso ona;52;14;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;23:00;0,28;"Muy buena / ";;13;38;Muy buena / Oso ona;59;20;Muy buena / Oso ona;17;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;22:00;0,43;"Muy buena / ";;44;66;Muy buena / Oso ona;133;35;Muy buena / Oso ona;20;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;21:00;;"Sin datos / ";;231;94;Muy buena / Oso ona;402;39;Muy buena / Oso ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona
24/10/2017;20:00;0,77;"Muy buena / ";;164;94;Muy buena / Oso ona;345;45;Buena / Ona;25;Muy buena / Oso ona;4;Muy buena / Oso ona
24/10/2017;19:00;;"Sin datos / ";0,2;238;110;Buena / Ona;420;58;Buena / Ona;23;Muy buena / Oso ona;5;Muy buena / Oso ona
24/10/2017;18:00;;"Sin datos / ";0,21;;;Sin datos / Daturik gabe;;34;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona
24/10/2017;17:00;0,43;"Muy buena / ";0,23;77;89;Muy buena / Oso ona;206;19;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;16:00;0,13;"Muy buena / ";0,24;15;43;Muy buena / Oso ona;65;20;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;15:00;;"Sin datos / ";0,29;11;41;Muy buena / Oso ona;58;18;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;14:00;0,18;"Muy buena / ";0,33;21;50;Muy buena / Oso ona;82;14;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;13:00;0,16;"Muy buena / ";0,38;15;43;Muy buena / Oso ona;65;32;Muy buena / Oso ona;21;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;12:00;0,22;"Muy buena / ";0,43;40;75;Muy buena / Oso ona;136;46;Buena / Ona;19;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;11:00;0,28;"Muy buena / ";0,44;47;68;Muy buena / Oso ona;139;37;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;10:00;0,4;"Muy buena / ";0,44;56;58;Muy buena / Oso ona;144;23;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona
24/10/2017;09:00;0,49;"Muy buena / ";0,41;83;50;Muy buena / Oso ona;177;29;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona
24/10/2017;08:00;0,5;"Muy buena / ";0,39;109;56;Muy buena / Oso ona;222;28;Muy buena / Oso ona;26;Buena / Ona;3;Muy buena / Oso ona
24/10/2017;07:00;0,45;"Muy buena / ";0,37;74;48;Muy buena / Oso ona;161;33;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona
24/10/2017;06:00;0,6;"Muy buena / ";0,36;77;42;Muy buena / Oso ona;160;68;Mejorable / Hobetzeko modukoa;;Sin datos / Daturik gabe;3;Muy buena / Oso ona
24/10/2017;05:00;0,5;"Muy buena / ";0,33;27;33;Muy buena / Oso ona;74;44;Buena / Ona;26;Buena / Ona;2;Muy buena / Oso ona
24/10/2017;04:00;0,33;"Muy buena / ";0,3;12;24;Muy buena / Oso ona;43;31;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;03:00;0,25;"Muy buena / ";0,3;4;15;Muy buena / Oso ona;21;20;Muy buena / Oso ona;22;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;02:00;0,18;"Muy buena / ";0,31;3;25;Muy buena / Oso ona;30;31;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
24/10/2017;01:00;0,27;"Muy buena / ";0,32;5;26;Muy buena / Oso ona;33;20;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;24:00;0,28;"Muy buena / ";0,32;2;26;Muy buena / Oso ona;29;23;Muy buena / Oso ona;24;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;23:00;0,41;"Muy buena / ";0,29;11;43;Muy buena / Oso ona;60;33;Muy buena / Oso ona;19;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;22:00;0,39;"Muy buena / ";0,26;26;59;Muy buena / Oso ona;98;19;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;21:00;0,28;"Muy buena / ";0,24;14;59;Muy buena / Oso ona;80;25;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;20:00;0,35;"Muy buena / ";0,22;11;59;Muy buena / Oso ona;75;22;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;19:00;0,27;"Muy buena / ";0,2;10;48;Muy buena / Oso ona;64;19;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;18:00;0,28;"Muy buena / ";0,21;16;53;Muy buena / Oso ona;77;25;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;17:00;0,23;"Muy buena / ";0,21;12;39;Muy buena / Oso ona;57;10;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;16:00;0,13;"Muy buena / ";0,22;13;33;Muy buena / Oso ona;53;17;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;15:00;0,16;"Muy buena / ";0,23;17;39;Muy buena / Oso ona;64;64;Mejorable / Hobetzeko modukoa;26;Buena / Ona;1;Muy buena / Oso ona
23/10/2017;14:00;0,19;"Muy buena / ";0,25;20;43;Muy buena / Oso ona;74;52;Buena / Ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;13:00;0,15;"Muy buena / ";0,25;22;41;Muy buena / Oso ona;75;24;Muy buena / Oso ona;1;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;12:00;0,16;"Muy buena / ";0,25;25;36;Muy buena / Oso ona;73;17;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;11:00;0,21;"Muy buena / ";0,24;27;33;Muy buena / Oso ona;74;24;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;10:00;0,34;"Muy buena / ";0,23;41;47;Muy buena / Oso ona;110;19;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;09:00;0,3;"Muy buena / ";0,21;29;48;Muy buena / Oso ona;92;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;08:00;0,22;"Muy buena / ";0,19;27;45;Muy buena / Oso ona;87;17;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;07:00;0,28;"Muy buena / ";;53;46;Muy buena / Oso ona;127;18;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona
23/10/2017;06:00;0,24;"Muy buena / ";;33;42;Muy buena / Oso ona;93;3;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;05:00;0,18;"Muy buena / ";;20;37;Muy buena / Oso ona;68;19;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;04:00;0,16;"Muy buena / ";;20;32;Muy buena / Oso ona;63;48;Buena / Ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;03:00;0,12;"Muy buena / ";;2;14;Muy buena / Oso ona;17;11;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;02:00;;"Sin datos / ";0,2;4;18;Muy buena / Oso ona;24;14;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;01:00;0,14;"Muy buena / ";0,19;3;23;Muy buena / Oso ona;27;14;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;24:00;;"Sin datos / ";0,22;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
22/10/2017;23:00;;"Sin datos / ";0,21;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
22/10/2017;22:00;0,23;"Muy buena / ";0,21;3;28;Muy buena / Oso ona;32;15;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;21:00;0,18;"Muy buena / ";0,2;4;25;Muy buena / Oso ona;31;15;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;20:00;0,23;"Muy buena / ";0,2;6;26;Muy buena / Oso ona;35;10;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;19:00;0,22;"Muy buena / ";0,2;7;21;Muy buena / Oso ona;31;11;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;18:00;0,2;"Muy buena / ";0,19;4;18;Muy buena / Oso ona;24;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona
