Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
26/10/2017;07:00;4;10;Muy buena / Oso ona;17;64;"Buena / ";53;14;Muy buena / Oso ona;1;3;Muy buena / Oso ona;189;41;1019,5;0;3,9;21;1,46
26/10/2017;06:00;4;7;Muy buena / Oso ona;13;66;"Buena / ";45;12;Muy buena / Oso ona;1;3;Muy buena / Oso ona;173;42;1018,7;0;0;21;1,01
26/10/2017;05:00;5;7;Muy buena / Oso ona;14;65;"Buena / ";36;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;191;43;1018;0;0;21;2,34
26/10/2017;04:00;5;15;Muy buena / Oso ona;23;49;"Muy buena / ";27;15;Muy buena / Oso ona;1;5;Muy buena / Oso ona;158;53;1018,1;0;0;19;1,27
26/10/2017;03:00;5;14;Muy buena / Oso ona;21;52;"Muy buena / ";21;13;Muy buena / Oso ona;1;5;Muy buena / Oso ona;153;52;1018,1;0;0;20;1,46
26/10/2017;02:00;5;14;Muy buena / Oso ona;22;51;"Muy buena / ";16;14;Muy buena / Oso ona;1;6;Muy buena / Oso ona;180;53;1018,3;0;0;20;1,64
26/10/2017;01:00;6;30;Muy buena / Oso ona;39;27;"Muy buena / ";12;14;Muy buena / Oso ona;1;8;Muy buena / Oso ona;158;65;1018,3;0;0;17;1,57
25/10/2017;24:00;14;52;Muy buena / Oso ona;73;8;"Muy buena / ";12;19;Muy buena / Oso ona;2;10;Muy buena / Oso ona;146;76;1018,5;0;0;16;1,79
25/10/2017;23:00;20;50;Muy buena / Oso ona;80;4;"Muy buena / ";12;21;Muy buena / Oso ona;2;7;Muy buena / Oso ona;175;88;1018,6;0;0;15;1,09
25/10/2017;22:00;10;47;Muy buena / Oso ona;63;5;"Muy buena / ";14;23;Muy buena / Oso ona;2;5;Muy buena / Oso ona;184;90;1018,7;0;0;14;0,84
25/10/2017;21:00;11;43;Muy buena / Oso ona;59;4;"Muy buena / ";19;21;Muy buena / Oso ona;2;5;Muy buena / Oso ona;159;90;1018,5;0;0;14;0,74
25/10/2017;20:00;10;45;Muy buena / Oso ona;60;5;"Muy buena / ";23;19;Muy buena / Oso ona;2;6;Muy buena / Oso ona;171;88;1018,2;0;0;15;0,85
25/10/2017;19:00;6;42;Muy buena / Oso ona;52;16;"Muy buena / ";26;19;Muy buena / Oso ona;2;6;Muy buena / Oso ona;171;85;1018,1;0;0;16;0,89
25/10/2017;18:00;4;43;Muy buena / Oso ona;49;23;"Muy buena / ";26;20;Muy buena / Oso ona;2;7;Muy buena / Oso ona;178;80;1018,3;0;2,6;17;0,58
25/10/2017;17:00;6;47;Muy buena / Oso ona;56;28;"Muy buena / ";27;27;Muy buena / Oso ona;1;9;Muy buena / Oso ona;215;72;1018,2;0;63,3;19;0,95
25/10/2017;16:00;11;45;Muy buena / Oso ona;61;;"Sin datos / ";25;39;Muy buena / Oso ona;2;13;Muy buena / Oso ona;338;66;1018;0;379,1;21;0,79
25/10/2017;15:00;13;46;Muy buena / Oso ona;65;46;"Muy buena / ";22;42;Buena / Ona;2;19;Muy buena / Oso ona;360;59;1018;0;591,5;21;1,7
25/10/2017;14:00;19;46;Muy buena / Oso ona;75;40;"Muy buena / ";20;45;Buena / Ona;2;17;Muy buena / Oso ona;9;58;1018,1;0;812,9;21;2,38
25/10/2017;13:00;46;66;Muy buena / Oso ona;137;23;"Muy buena / ";16;67;Mejorable / Hobetzeko modukoa;2;34;Muy buena / Oso ona;9;50;1018,4;0;926,8;23;1,57
25/10/2017;12:00;46;61;Muy buena / Oso ona;131;23;"Muy buena / ";15;52;Buena / Ona;2;43;Muy buena / Oso ona;25;48;1019;0;929,9;23;0,93
25/10/2017;11:00;53;49;Muy buena / Oso ona;130;18;"Muy buena / ";13;39;Muy buena / Oso ona;2;19;Muy buena / Oso ona;93;53;1019,5;0;805,9;21;0,37
25/10/2017;10:00;16;19;Muy buena / Oso ona;43;28;"Muy buena / ";13;23;Muy buena / Oso ona;1;6;Muy buena / Oso ona;227;65;1019,7;0;591,9;18;1,46
25/10/2017;09:00;29;23;Muy buena / Oso ona;68;18;"Muy buena / ";10;28;Muy buena / Oso ona;1;6;Muy buena / Oso ona;213;73;1019,6;0;444,3;15;0,87
25/10/2017;08:00;37;27;Muy buena / Oso ona;83;7;"Muy buena / ";9;24;Muy buena / Oso ona;2;5;Muy buena / Oso ona;167;85;1019,4;0;228,8;12;0,68
25/10/2017;07:00;23;28;Muy buena / Oso ona;63;5;"Muy buena / ";9;18;Muy buena / Oso ona;1;5;Muy buena / Oso ona;197;88;1018,9;0;4,3;11;0,92
25/10/2017;06:00;14;26;Muy buena / Oso ona;47;9;"Muy buena / ";10;13;Muy buena / Oso ona;1;5;Muy buena / Oso ona;172;87;1018,6;0;0;12;0,87
25/10/2017;05:00;10;23;Muy buena / Oso ona;39;11;"Muy buena / ";10;13;Muy buena / Oso ona;1;5;Muy buena / Oso ona;183;86;1018,5;0;0;12;1,07
25/10/2017;04:00;8;25;Muy buena / Oso ona;37;11;"Muy buena / ";11;15;Muy buena / Oso ona;2;5;Muy buena / Oso ona;178;86;1018,5;0;0;12;1,2
25/10/2017;03:00;7;23;Muy buena / Oso ona;34;14;"Muy buena / ";12;14;Muy buena / Oso ona;1;6;Muy buena / Oso ona;197;85;1018,5;0;0;13;1,68
25/10/2017;02:00;8;35;Muy buena / Oso ona;47;8;"Muy buena / ";15;22;Muy buena / Oso ona;1;8;Muy buena / Oso ona;183;84;1018,3;0;0;13;0,74
25/10/2017;01:00;10;41;Muy buena / Oso ona;55;5;"Muy buena / ";18;18;Muy buena / Oso ona;1;8;Muy buena / Oso ona;183;85;1018,3;0;0;13;0,97
24/10/2017;24:00;7;35;Muy buena / Oso ona;45;9;"Muy buena / ";20;17;Muy buena / Oso ona;1;8;Muy buena / Oso ona;184;84;1018,6;0;0;13;0,75
24/10/2017;23:00;7;37;Muy buena / Oso ona;47;9;"Muy buena / ";20;19;Muy buena / Oso ona;1;10;Muy buena / Oso ona;170;85;1018,9;0;0;13;0,99
24/10/2017;22:00;6;28;Muy buena / Oso ona;37;14;"Muy buena / ";26;16;Muy buena / Oso ona;1;9;Muy buena / Oso ona;173;86;1019;0;0;13;0,84
24/10/2017;21:00;6;26;Muy buena / Oso ona;36;14;"Muy buena / ";30;12;Muy buena / Oso ona;1;4;Muy buena / Oso ona;162;86;1019,1;0;0;14;0,7
24/10/2017;20:00;8;26;Muy buena / Oso ona;38;22;"Muy buena / ";32;13;Muy buena / Oso ona;1;5;Muy buena / Oso ona;163;82;1019;0;0;14;0,85
24/10/2017;19:00;5;25;Muy buena / Oso ona;32;30;"Muy buena / ";31;11;Muy buena / Oso ona;1;6;Muy buena / Oso ona;150;77;1019;0;0;15;1,34
24/10/2017;18:00;2;28;Muy buena / Oso ona;31;32;"Muy buena / ";29;20;Muy buena / Oso ona;1;7;Muy buena / Oso ona;145;69;1018,8;0;3,3;18;1,22
24/10/2017;17:00;2;31;Muy buena / Oso ona;34;;"Sin datos / ";25;23;Muy buena / Oso ona;2;6;Muy buena / Oso ona;36;60;1018,5;0;84,2;21;0,06
24/10/2017;16:00;6;32;Muy buena / Oso ona;41;50;"Muy buena / ";23;33;Muy buena / Oso ona;2;9;Muy buena / Oso ona;59;59;1018,2;0;370,6;22;0,64
24/10/2017;15:00;11;40;Muy buena / Oso ona;57;45;"Muy buena / ";21;48;Buena / Ona;2;11;Muy buena / Oso ona;14;55;1017,7;0;532,8;23;1,71
24/10/2017;14:00;24;51;Muy buena / Oso ona;87;34;"Muy buena / ";16;36;Muy buena / Oso ona;2;13;Muy buena / Oso ona;50;42;1017,4;0;724,9;26;1,01
24/10/2017;13:00;32;53;Muy buena / Oso ona;102;26;"Muy buena / ";12;33;Muy buena / Oso ona;2;10;Muy buena / Oso ona;140;40;1017,8;0;869,5;25;1,14
24/10/2017;12:00;41;52;Muy buena / Oso ona;114;21;"Muy buena / ";9;39;Muy buena / Oso ona;2;10;Muy buena / Oso ona;129;45;1018,4;0;895,2;23;1,25
24/10/2017;11:00;66;55;Muy buena / Oso ona;156;13;"Muy buena / ";6;46;Buena / Ona;2;11;Muy buena / Oso ona;107;53;1019,2;0;650,1;20;1,91
24/10/2017;10:00;78;50;Muy buena / Oso ona;169;10;"Muy buena / ";6;44;Buena / Ona;2;11;Muy buena / Oso ona;124;61;1019,7;0;576;17;1,53
24/10/2017;09:00;67;44;Muy buena / Oso ona;146;10;"Muy buena / ";5;34;Muy buena / Oso ona;2;9;Muy buena / Oso ona;122;67;1020;0;378,9;14;1,77
24/10/2017;08:00;54;43;Muy buena / Oso ona;126;7;"Muy buena / ";5;27;Muy buena / Oso ona;2;9;Muy buena / Oso ona;120;75;1020,2;0;256,2;12;1,86
24/10/2017;07:00;40;40;Muy buena / Oso ona;102;3;"Muy buena / ";5;18;Muy buena / Oso ona;2;7;Muy buena / Oso ona;129;84;1020,3;0;5,6;10;1,35
24/10/2017;06:00;21;37;Muy buena / Oso ona;69;2;"Muy buena / ";7;14;Muy buena / Oso ona;1;5;Muy buena / Oso ona;147;87;1020,7;0;0;9;1,41
24/10/2017;05:00;14;36;Muy buena / Oso ona;57;2;"Muy buena / ";10;15;Muy buena / Oso ona;1;6;Muy buena / Oso ona;141;88;1021,1;0;0;10;1,49
24/10/2017;04:00;9;34;Muy buena / Oso ona;47;4;"Muy buena / ";13;14;Muy buena / Oso ona;1;5;Muy buena / Oso ona;145;89;1021,3;0;0;10;1,42
24/10/2017;03:00;6;30;Muy buena / Oso ona;39;8;"Muy buena / ";16;13;Muy buena / Oso ona;1;4;Muy buena / Oso ona;153;88;1021,8;0;0;10;1,29
24/10/2017;02:00;9;33;Muy buena / Oso ona;46;6;"Muy buena / ";20;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;142;89;1022,3;0;0;10;1,51
24/10/2017;01:00;6;29;Muy buena / Oso ona;38;8;"Muy buena / ";22;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;160;88;1022,8;0;0;10;0,99
23/10/2017;24:00;6;23;Muy buena / Oso ona;31;11;"Muy buena / ";;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;169;89;1023,4;0;0;10;0,8
23/10/2017;23:00;4;20;Muy buena / Oso ona;26;18;"Muy buena / ";33;9;Muy buena / Oso ona;1;4;Muy buena / Oso ona;188;88;1023,7;0;0;11;0,81
23/10/2017;22:00;3;20;Muy buena / Oso ona;24;23;"Muy buena / ";41;10;Muy buena / Oso ona;1;5;Muy buena / Oso ona;194;85;1023,4;0;0;12;0,93
23/10/2017;21:00;4;23;Muy buena / Oso ona;29;21;"Muy buena / ";47;11;Muy buena / Oso ona;1;6;Muy buena / Oso ona;173;84;1023,2;0;0;12;0,9
23/10/2017;20:00;2;18;Muy buena / Oso ona;21;25;"Muy buena / ";52;10;Muy buena / Oso ona;1;5;Muy buena / Oso ona;179;84;1023,3;0;0;12;0,74
23/10/2017;19:00;2;15;Muy buena / Oso ona;17;37;"Muy buena / ";56;11;Muy buena / Oso ona;1;7;Muy buena / Oso ona;185;80;1023,1;0;0;13;0,87
23/10/2017;18:00;2;16;Muy buena / Oso ona;19;;"Sin datos / ";59;10;Muy buena / Oso ona;1;9;Muy buena / Oso ona;166;78;1023;0;3,1;15;0,73
23/10/2017;17:00;3;17;Muy buena / Oso ona;21;54;"Muy buena / ";57;16;Muy buena / Oso ona;1;4;Muy buena / Oso ona;197;67;1023,1;0;123,8;17;0,91
23/10/2017;16:00;4;16;Muy buena / Oso ona;21;72;"Buena / ";54;14;Muy buena / Oso ona;1;5;Muy buena / Oso ona;291;59;1023,2;0;437;19;1,58
23/10/2017;15:00;6;17;Muy buena / Oso ona;27;69;"Buena / ";49;14;Muy buena / Oso ona;1;9;Muy buena / Oso ona;303;57;1023,1;0;635,4;19;1,26
23/10/2017;14:00;6;18;Muy buena / Oso ona;27;56;"Muy buena / ";42;22;Muy buena / Oso ona;2;4;Muy buena / Oso ona;325;60;1023,4;0;865,6;19;1,96
23/10/2017;13:00;7;19;Muy buena / Oso ona;29;52;"Muy buena / ";37;18;Muy buena / Oso ona;1;4;Muy buena / Oso ona;322;52;1023,2;0;988,1;20;1,34
23/10/2017;12:00;5;11;Muy buena / Oso ona;18;51;"Muy buena / ";32;12;Muy buena / Oso ona;1;2;Muy buena / Oso ona;190;54;1023,1;0;986;19;1,29
23/10/2017;11:00;3;6;Muy buena / Oso ona;10;51;"Muy buena / ";28;8;Muy buena / Oso ona;1;2;Muy buena / Oso ona;185;60;1023,3;0;848,9;17;1,44
23/10/2017;10:00;3;6;Muy buena / Oso ona;11;47;"Muy buena / ";28;7;Muy buena / Oso ona;1;2;Muy buena / Oso ona;171;67;1023,9;0;625,3;15;1,4
23/10/2017;09:00;9;17;Muy buena / Oso ona;31;37;"Muy buena / ";27;9;Muy buena / Oso ona;1;2;Muy buena / Oso ona;161;72;1024,2;0;476,6;13;1,3
23/10/2017;08:00;12;23;Muy buena / Oso ona;40;29;"Muy buena / ";29;8;Muy buena / Oso ona;1;2;Muy buena / Oso ona;164;81;1023,9;0;256,4;11;1,05
23/10/2017;07:00;13;29;Muy buena / Oso ona;49;15;"Muy buena / ";28;7;Muy buena / Oso ona;1;2;Muy buena / Oso ona;134;88;1023,6;0;5,5;9;1,25
23/10/2017;06:00;7;26;Muy buena / Oso ona;36;14;"Muy buena / ";33;8;Muy buena / Oso ona;1;2;Muy buena / Oso ona;135;92;1024;0;0;9;1,2
23/10/2017;05:00;4;18;Muy buena / Oso ona;24;14;"Muy buena / ";38;8;Muy buena / Oso ona;1;2;Muy buena / Oso ona;150;94;1024,2;0;0;9;0,94
