OBJECTID	CENTRO	DIRECCION	CAPACIDAD	PROBLEMAS
1283	"Biblioteca ""MarÝa Zambrano"""	Av. Complutense, s.n.	20	false
1284	JardÝn Botßnico Universidad Complutense	Av. Complutense - JosÚ Antonio Novais	12	false
1285	JardÝn Botßnico Universidad Complutense	Av. Complutense - JosÚ Antonio Novais	12	false
1286	JardÝn Botßnico Universidad Complutense	Av. Complutense - JosÚ Antonio Novais	25	false
1287	Plaza del Cardenal Cisneros	Plaza del Cardenal Cisneros	10	true
1264	Jardines del Maestro Padilla	Paseo Virgen del Puerto	10	false
1265	Estadio Vicente Calder¾n	Paseo Virgen del Puerto	10	false
1262	Parque del Manzanares	Embajadores	10	false
1263	Parque del Manzanares	Embajadores	10	false
1266	"Poilideportivo ""JosÚ MarÝa Cajigal"""	Santa Pola, 22	12	false
1267	Residencia JoaquÝn Blume	Pintor el Greco, s/n	10	false
1268	Residencia JoaquÝn Blume	Pintor el Greco, s/n	5	false
1270	"Instalaciones Deportivas ""La Almudena"""	Nicolßs Almerón, 4	0	true
1272	"Instalaciones Deportivas ""Entrevias"""	Ronda del Sur	0	false
1273	Instalaciones Deportivas Casa de Campo	Casa de Campo	0	false
1274	Instalaciones Deportivas Tenis Casa de Campo	Casa de Campo	0	false
1290	McDonald's	Av. de la Peseta	3	false
1293	"Centro Comercial ""La Vaguada"""	Av. Monforte de Lemos, 32	10	false
1294	"Parque ""AgustÝn RodrÝguez Sahag·n"""	Paseo de la Dirección	5	false
1295	"Complejo Empresarial ""Ciudad de Telef¾nica"""	Portico de la Gloria	10	false
1296	"Complejo Empresarial ""Ciudad de Telef¾nica"""	Ronda de la Comunicación	10	false
1297	"Complejo Empresarial ""Ciudad de Telef¾nica"""	Ronda de la Comunicación	10	false
1298	"Complejo Empresarial ""Ciudad de Telef¾nica"""	Portico de la Gloria	10	false
1365	"Facultad ""Informßtica UNED"""	Juan del Risco	6	false
1366	"Facultad ""PsicologÝa UNED"""	Juan del Risco	10	false
1367	"Facultad ""Informßtica"""	Av. Complutense, s.n.	48	false
1368	"Restaurante ""El Ninot"""	Nuestra Se±ora de Valverde	6	false
1369	"Parque ""AgustÝn RodrÝguez Sahag·n"""	Paseo de la Dirección	5	false
1370	"Parque ""AgustÝn RodrÝguez Sahag·n"""	Paseo de la Dirección	5	false
1371	"Parque ""AgustÝn RodrÝguez Sahag·n"""	Paseo de la Dirección	5	false
1372	"Parque ""AgustÝn RodrÝguez Sahag·n"""	Paseo de la Dirección	10	false
